# _root_ Beyond the advertisements , the syndicator is planning a traveling arena show , new TV specials for CBS and even an exhibit at the Smithsonian Institute .
#goldHeads=7,3,1,7,6,7,0,7,12,12,12,19,19,16,16,19,16,17,8,22,22,19,22,26,26,23,7,
#predictedHeads=7,3,1,7,6,7,0,7,12,12,12,8,12,16,16,19,16,17,12,22,22,19,22,26,26,23,7,
(12,8),(12,4),(12,-1),-0.274272 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,7),(12,6),(12,5),-0.0200422 # DEPENDENCYPART_TRISIBL
(12,7),(12,6),(12,4),-0.0631714 # DEPENDENCYPART_TRISIBL
(12,7),(12,6),(12,-1),-0.180059 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,7),(12,5),(12,4),-0.0710351 # DEPENDENCYPART_TRISIBL
(12,7),(12,5),(12,-1),-0.0620004 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,7),(12,4),(12,-1),-0.290685 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,6),(12,5),(12,4),-0.167631 # DEPENDENCYPART_TRISIBL
(12,6),(12,5),(12,-1),-0.0484799 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,6),(12,4),(12,-1),-0.198942 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,5),(12,4),(12,-1),-0.182828 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,15),(14,17),-0.0656311 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,18),-0.161756 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,28),-0.104001 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,17),(14,18),-0.118753 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,17),(14,28),-0.143623 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,18),(14,28),-0.107902 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,15),(14,17),(14,18),-0.105094 # DEPENDENCYPART_TRISIBL
(14,15),(14,17),(14,28),-0.0485168 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,15),(14,18),(14,28),-0.0860068 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,17),(14,18),(14,28),-0.0307297 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,13),(14,12),0.0316289 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,13),(14,-1),-0.470502 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,12),(14,-1),-0.107811 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,12),(14,-1),-0.141564 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,16),(15,17),-0.0675377 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,18),-0.10128 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,28),-0.104206 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,15),(15,17),(15,18),-0.128022 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,17),(15,28),-0.104888 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,15),(15,18),(15,28),-0.114182 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,16),(15,17),(15,18),-0.0990805 # DEPENDENCYPART_TRISIBL
(15,16),(15,17),(15,28),-0.0904526 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,16),(15,18),(15,28),-0.114075 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,17),(15,18),(15,28),-0.0398394 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,14),(15,13),-0.192209 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,14),(15,12),-0.123446 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,14),(15,10),-0.126086 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,14),(15,9),-0.21936 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,14),(15,-1),-0.10608 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,13),(15,12),-0.137582 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,13),(15,10),-0.20673 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,13),(15,9),-0.157319 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,13),(15,-1),-0.477618 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,12),(15,10),-0.161798 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,12),(15,9),-0.0713252 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,12),(15,-1),-0.187416 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,10),(15,9),-0.0883176 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,10),(15,-1),-0.235375 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,9),(15,-1),-0.228306 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,14),(15,13),(15,12),-0.129402 # DEPENDENCYPART_TRISIBL
(15,14),(15,13),(15,10),0.00754554 # DEPENDENCYPART_TRISIBL
(15,14),(15,13),(15,9),-0.0451333 # DEPENDENCYPART_TRISIBL
(15,14),(15,13),(15,-1),-0.353023 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,14),(15,12),(15,10),-0.0692534 # DEPENDENCYPART_TRISIBL
(15,14),(15,12),(15,9),0.0177701 # DEPENDENCYPART_TRISIBL
(15,14),(15,12),(15,-1),-0.126243 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,14),(15,10),(15,9),0.0208592 # DEPENDENCYPART_TRISIBL
(15,14),(15,10),(15,-1),-0.163624 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,14),(15,9),(15,-1),0.0509536 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,13),(15,12),(15,10),-0.106492 # DEPENDENCYPART_TRISIBL
(15,13),(15,12),(15,9),-0.0295305 # DEPENDENCYPART_TRISIBL
(15,13),(15,12),(15,-1),-0.138705 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,13),(15,10),(15,9),0.0487765 # DEPENDENCYPART_TRISIBL
(15,13),(15,10),(15,-1),-0.0679414 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,13),(15,9),(15,-1),-0.270895 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,12),(15,10),(15,9),0.0683119 # DEPENDENCYPART_TRISIBL
(15,12),(15,10),(15,-1),-0.238806 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,12),(15,9),(15,-1),-0.0522189 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,10),(15,9),(15,-1),0.00194515 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,17),(16,18),-0.127567 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,19),-0.135912 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,20),-0.10092 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,22),-0.121594 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,23),-0.0478323 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,25),-0.121577 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,26),-0.12353 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,27),-0.14597 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,28),-0.103933 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,18),(16,19),-0.124103 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,20),-0.0953797 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,22),-0.0916019 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,23),-0.0754838 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,25),-0.0915769 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,26),-0.0939501 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,27),-0.113251 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,28),-0.112898 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,19),(16,20),-0.112376 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,22),-0.117809 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,23),-0.0653504 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,25),-0.117792 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,26),-0.119455 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,27),-0.0114325 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,28),-0.0759014 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,20),(16,22),-0.128366 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,23),-0.0756149 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,25),-0.128347 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,26),-0.13001 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,27),-0.155451 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,28),-0.133975 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,22),(16,23),-0.0809024 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,22),(16,25),-0.0948553 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,22),(16,26),-0.0972285 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,22),(16,27),-0.11174 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,22),(16,28),-0.105117 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,23),(16,25),-0.147178 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,23),(16,26),-0.149131 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,23),(16,27),-0.177043 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,23),(16,28),-0.104863 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,25),(16,26),-0.097209 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,25),(16,27),-0.113227 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,25),(16,28),-0.102923 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,26),(16,27),-0.113228 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,26),(16,28),-0.0977139 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,27),(16,28),-0.19253 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,17),(16,18),(16,19),-0.0844346 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,20),-0.0837355 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,22),-0.013283 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,23),-0.0340232 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,25),-0.0132829 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,26),-0.0133094 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,27),-0.09321 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,28),-0.0398382 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,19),(16,20),-0.0770194 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,22),-0.0156481 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,23),-0.0402558 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,25),-0.0156481 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,26),-0.0156744 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,27),-0.118071 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,28),-0.0953022 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,20),(16,22),-0.016439 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,23),0.0289536 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,25),-0.016439 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,26),-0.0164654 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,27),-0.0865062 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,28),-0.118656 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,22),(16,23),-0.0340232 # DEPENDENCYPART_TRISIBL
(16,17),(16,22),(16,25),-0.0132818 # DEPENDENCYPART_TRISIBL
(16,17),(16,22),(16,26),-0.0133082 # DEPENDENCYPART_TRISIBL
(16,17),(16,22),(16,27),-0.09321 # DEPENDENCYPART_TRISIBL
(16,17),(16,22),(16,28),-0.0398159 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,23),(16,25),0.00234234 # DEPENDENCYPART_TRISIBL
(16,17),(16,23),(16,26),0.00231599 # DEPENDENCYPART_TRISIBL
(16,17),(16,23),(16,27),-0.0785454 # DEPENDENCYPART_TRISIBL
(16,17),(16,23),(16,28),-0.0198225 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,25),(16,26),-0.0133082 # DEPENDENCYPART_TRISIBL
(16,17),(16,25),(16,27),-0.09321 # DEPENDENCYPART_TRISIBL
(16,17),(16,25),(16,28),-0.0398159 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,26),(16,27),-0.0934879 # DEPENDENCYPART_TRISIBL
(16,17),(16,26),(16,28),-0.0398168 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,27),(16,28),-0.053476 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,19),(16,20),-0.0575167 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,22),-0.0857079 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,23),-0.0469321 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,25),-0.0856995 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,26),-0.0860222 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,27),-0.0823802 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,28),-0.181183 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,20),(16,22),-0.0793058 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,23),-0.0566452 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,25),-0.0792974 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,26),-0.0796202 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,27),-0.0793968 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,28),-0.0798804 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,22),(16,23),-0.0536552 # DEPENDENCYPART_TRISIBL
(16,18),(16,22),(16,25),-0.0760661 # DEPENDENCYPART_TRISIBL
(16,18),(16,22),(16,26),-0.0763889 # DEPENDENCYPART_TRISIBL
(16,18),(16,22),(16,27),-0.069599 # DEPENDENCYPART_TRISIBL
(16,18),(16,22),(16,28),-0.112757 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,23),(16,25),-0.0916498 # DEPENDENCYPART_TRISIBL
(16,18),(16,23),(16,26),-0.0919729 # DEPENDENCYPART_TRISIBL
(16,18),(16,23),(16,27),-0.0688983 # DEPENDENCYPART_TRISIBL
(16,18),(16,23),(16,28),-0.107003 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,25),(16,26),-0.0763889 # DEPENDENCYPART_TRISIBL
(16,18),(16,25),(16,27),-0.069599 # DEPENDENCYPART_TRISIBL
(16,18),(16,25),(16,28),-0.112756 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,26),(16,27),-0.069599 # DEPENDENCYPART_TRISIBL
(16,18),(16,26),(16,28),-0.112756 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,27),(16,28),-0.0148842 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,20),(16,22),-0.0985029 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,23),-0.0069254 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,25),-0.0985029 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,26),-0.0985029 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,27),-0.0490597 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,28),-0.0971427 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,22),(16,23),-0.0176799 # DEPENDENCYPART_TRISIBL
(16,19),(16,22),(16,25),-0.0989492 # DEPENDENCYPART_TRISIBL
(16,19),(16,22),(16,26),-0.0989492 # DEPENDENCYPART_TRISIBL
(16,19),(16,22),(16,27),-0.0786325 # DEPENDENCYPART_TRISIBL
(16,19),(16,22),(16,28),-0.13203 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,23),(16,25),-0.0875288 # DEPENDENCYPART_TRISIBL
(16,19),(16,23),(16,26),-0.0875288 # DEPENDENCYPART_TRISIBL
(16,19),(16,23),(16,27),-0.0611899 # DEPENDENCYPART_TRISIBL
(16,19),(16,23),(16,28),-0.0967189 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,25),(16,26),-0.0989492 # DEPENDENCYPART_TRISIBL
(16,19),(16,25),(16,27),-0.0786325 # DEPENDENCYPART_TRISIBL
(16,19),(16,25),(16,28),-0.13203 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,26),(16,27),-0.0786325 # DEPENDENCYPART_TRISIBL
(16,19),(16,26),(16,28),-0.13203 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,27),(16,28),-0.0698248 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,20),(16,22),(16,23),-0.0656422 # DEPENDENCYPART_TRISIBL
(16,20),(16,22),(16,25),-0.0515596 # DEPENDENCYPART_TRISIBL
(16,20),(16,22),(16,26),-0.0515596 # DEPENDENCYPART_TRISIBL
(16,20),(16,22),(16,27),-0.0369784 # DEPENDENCYPART_TRISIBL
(16,20),(16,22),(16,28),-0.0860761 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,20),(16,23),(16,25),-0.0352956 # DEPENDENCYPART_TRISIBL
(16,20),(16,23),(16,26),-0.0352956 # DEPENDENCYPART_TRISIBL
(16,20),(16,23),(16,27),-0.0358275 # DEPENDENCYPART_TRISIBL
(16,20),(16,23),(16,28),-0.114708 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,20),(16,25),(16,26),-0.0515596 # DEPENDENCYPART_TRISIBL
(16,20),(16,25),(16,27),-0.0369764 # DEPENDENCYPART_TRISIBL
(16,20),(16,25),(16,28),-0.0860684 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,20),(16,26),(16,27),-0.0369764 # DEPENDENCYPART_TRISIBL
(16,20),(16,26),(16,28),-0.0860684 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,20),(16,27),(16,28),-0.194351 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,22),(16,23),(16,25),-0.0962246 # DEPENDENCYPART_TRISIBL
(16,22),(16,23),(16,26),-0.0965476 # DEPENDENCYPART_TRISIBL
(16,22),(16,23),(16,27),-0.0749073 # DEPENDENCYPART_TRISIBL
(16,22),(16,23),(16,28),-0.10947 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,22),(16,25),(16,26),-0.0809355 # DEPENDENCYPART_TRISIBL
(16,22),(16,25),(16,27),-0.0774678 # DEPENDENCYPART_TRISIBL
(16,22),(16,25),(16,28),-0.11259 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,22),(16,26),(16,27),-0.0774678 # DEPENDENCYPART_TRISIBL
(16,22),(16,26),(16,28),-0.11259 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,22),(16,27),(16,28),-0.0132437 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,23),(16,25),(16,26),-0.0500578 # DEPENDENCYPART_TRISIBL
(16,23),(16,25),(16,27),-0.0691807 # DEPENDENCYPART_TRISIBL
(16,23),(16,25),(16,28),-0.090262 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,23),(16,26),(16,27),-0.0694586 # DEPENDENCYPART_TRISIBL
(16,23),(16,26),(16,28),-0.0902629 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,23),(16,27),(16,28),-0.0943936 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,25),(16,26),(16,27),-0.0759655 # DEPENDENCYPART_TRISIBL
(16,25),(16,26),(16,28),-0.11406 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,25),(16,27),(16,28),-0.0161994 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,26),(16,27),(16,28),-0.0176856 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,15),(16,14),-0.0476337 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,15),(16,13),-0.237446 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,15),(16,12),-0.209518 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,15),(16,11),-0.218254 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,15),(16,10),-0.16136 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,15),(16,9),-0.0668193 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,15),(16,8),-0.162381 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,15),(16,-1),-0.18648 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,14),(16,13),-0.192209 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,14),(16,12),-0.122704 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,14),(16,11),-0.133692 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,14),(16,10),-0.125208 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,14),(16,9),-0.217508 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,14),(16,8),-0.126162 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,14),(16,-1),-0.102428 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,13),(16,12),-0.136835 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,13),(16,11),-0.148244 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,13),(16,10),-0.20629 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,13),(16,9),-0.156387 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,13),(16,8),-0.208054 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,13),(16,-1),-0.474263 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,12),(16,11),-0.220513 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,12),(16,10),-0.161359 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,12),(16,9),-0.0703824 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,12),(16,8),-0.162379 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,12),(16,-1),-0.186038 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,11),(16,10),-0.16135 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,11),(16,9),-0.0703766 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,11),(16,8),-0.162371 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,11),(16,-1),-0.189032 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,10),(16,9),-0.0873853 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,10),(16,8),-0.123866 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,10),(16,-1),-0.232019 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,9),(16,8),-0.187487 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,9),(16,-1),-0.222203 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,8),(16,-1),-0.23876 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,15),(16,14),(16,13),-0.126952 # DEPENDENCYPART_TRISIBL
(16,15),(16,14),(16,12),-0.0717896 # DEPENDENCYPART_TRISIBL
(16,15),(16,14),(16,11),-0.07111 # DEPENDENCYPART_TRISIBL
(16,15),(16,14),(16,10),-0.125073 # DEPENDENCYPART_TRISIBL
(16,15),(16,14),(16,9),0.0444519 # DEPENDENCYPART_TRISIBL
(16,15),(16,14),(16,8),-0.127128 # DEPENDENCYPART_TRISIBL
(16,15),(16,14),(16,-1),-0.102408 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,15),(16,13),(16,12),-0.117229 # DEPENDENCYPART_TRISIBL
(16,15),(16,13),(16,11),-0.119717 # DEPENDENCYPART_TRISIBL
(16,15),(16,13),(16,10),-0.0618048 # DEPENDENCYPART_TRISIBL
(16,15),(16,13),(16,9),-0.0228832 # DEPENDENCYPART_TRISIBL
(16,15),(16,13),(16,8),-0.065575 # DEPENDENCYPART_TRISIBL
(16,15),(16,13),(16,-1),-0.21617 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,15),(16,12),(16,11),-0.0704209 # DEPENDENCYPART_TRISIBL
(16,15),(16,12),(16,10),-0.0417891 # DEPENDENCYPART_TRISIBL
(16,15),(16,12),(16,9),-0.00558441 # DEPENDENCYPART_TRISIBL
(16,15),(16,12),(16,8),-0.0438457 # DEPENDENCYPART_TRISIBL
(16,15),(16,12),(16,-1),-0.144787 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,15),(16,11),(16,10),-0.0416484 # DEPENDENCYPART_TRISIBL
(16,15),(16,11),(16,9),-0.00557115 # DEPENDENCYPART_TRISIBL
(16,15),(16,11),(16,8),-0.043705 # DEPENDENCYPART_TRISIBL
(16,15),(16,11),(16,-1),-0.144275 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,15),(16,10),(16,9),0.0773591 # DEPENDENCYPART_TRISIBL
(16,15),(16,10),(16,8),-0.120297 # DEPENDENCYPART_TRISIBL
(16,15),(16,10),(16,-1),-0.238872 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,15),(16,9),(16,8),-0.117508 # DEPENDENCYPART_TRISIBL
(16,15),(16,9),(16,-1),-0.0493818 # DEPENDENCYPART_TRISIBL_LAST_SIBS
