# _root_ Back when the Burgess fauna were flourishing , it seems , human evolutionary hopes hung on the survival of a little worm with a backbone called Pikaia .
#goldHeads=15,7,5,5,6,1,6,10,10,15,10,14,14,15,0,15,18,16,18,22,22,19,22,25,23,22,26,15,
#predictedHeads=6,7,5,5,6,0,6,10,10,15,10,14,14,15,7,15,18,16,18,22,22,19,22,25,23,25,26,6,
(18,20),(18,25),(18,28),-0.0447072 # DEPENDENCYPART_TRISIBL
(18,20),(18,25),(18,29),-0.105083 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,20),(18,26),(18,27),-0.0698349 # DEPENDENCYPART_TRISIBL
(18,20),(18,26),(18,28),-0.0386871 # DEPENDENCYPART_TRISIBL
(18,20),(18,26),(18,29),-0.121368 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,20),(18,27),(18,28),-0.0447072 # DEPENDENCYPART_TRISIBL
(18,20),(18,27),(18,29),-0.105083 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,20),(18,28),(18,29),-0.111794 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,21),(18,22),(18,23),-0.0411142 # DEPENDENCYPART_TRISIBL
(18,21),(18,22),(18,24),-0.0663791 # DEPENDENCYPART_TRISIBL
(18,21),(18,22),(18,25),-0.0463653 # DEPENDENCYPART_TRISIBL
(18,21),(18,22),(18,26),-0.0586381 # DEPENDENCYPART_TRISIBL
(18,21),(18,22),(18,27),-0.0463653 # DEPENDENCYPART_TRISIBL
(18,21),(18,22),(18,28),-0.0980969 # DEPENDENCYPART_TRISIBL
(18,21),(18,22),(18,29),-0.0920935 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,21),(18,23),(18,24),-0.0663179 # DEPENDENCYPART_TRISIBL
(18,21),(18,23),(18,25),-0.0685768 # DEPENDENCYPART_TRISIBL
(18,21),(18,23),(18,26),-0.072236 # DEPENDENCYPART_TRISIBL
(18,21),(18,23),(18,27),-0.0685768 # DEPENDENCYPART_TRISIBL
(18,21),(18,23),(18,28),-0.0786032 # DEPENDENCYPART_TRISIBL
(18,21),(18,23),(18,29),-0.0995563 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,21),(18,24),(18,25),-0.0582043 # DEPENDENCYPART_TRISIBL
(18,21),(18,24),(18,26),-0.0579815 # DEPENDENCYPART_TRISIBL
(18,21),(18,24),(18,27),-0.0582043 # DEPENDENCYPART_TRISIBL
(18,21),(18,24),(18,28),-0.0797384 # DEPENDENCYPART_TRISIBL
(18,21),(18,24),(18,29),-0.0924153 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,21),(18,25),(18,26),-0.0586381 # DEPENDENCYPART_TRISIBL
(18,21),(18,25),(18,27),-0.0463653 # DEPENDENCYPART_TRISIBL
(18,21),(18,25),(18,28),-0.0980969 # DEPENDENCYPART_TRISIBL
(18,21),(18,25),(18,29),-0.0920935 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,21),(18,26),(18,27),-0.056077 # DEPENDENCYPART_TRISIBL
(18,21),(18,26),(18,28),-0.103384 # DEPENDENCYPART_TRISIBL
(18,21),(18,26),(18,29),-0.102548 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,21),(18,27),(18,28),-0.0980969 # DEPENDENCYPART_TRISIBL
(18,21),(18,27),(18,29),-0.0920935 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,21),(18,28),(18,29),-0.0993038 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,22),(18,23),(18,24),-0.0680784 # DEPENDENCYPART_TRISIBL
(18,22),(18,23),(18,25),-0.104987 # DEPENDENCYPART_TRISIBL
(18,22),(18,23),(18,26),-0.0827992 # DEPENDENCYPART_TRISIBL
(18,22),(18,23),(18,27),-0.104987 # DEPENDENCYPART_TRISIBL
(18,22),(18,23),(18,28),-0.0692301 # DEPENDENCYPART_TRISIBL
(18,22),(18,23),(18,29),-0.104435 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,22),(18,24),(18,25),-0.0722506 # DEPENDENCYPART_TRISIBL
(18,22),(18,24),(18,26),-0.0948854 # DEPENDENCYPART_TRISIBL
(18,22),(18,24),(18,27),-0.0722506 # DEPENDENCYPART_TRISIBL
(18,22),(18,24),(18,28),-0.083473 # DEPENDENCYPART_TRISIBL
(18,22),(18,24),(18,29),-0.0767965 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,22),(18,25),(18,26),-0.102286 # DEPENDENCYPART_TRISIBL
(18,22),(18,25),(18,27),-0.0806127 # DEPENDENCYPART_TRISIBL
(18,22),(18,25),(18,28),-0.0759655 # DEPENDENCYPART_TRISIBL
(18,22),(18,25),(18,29),-0.11329 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,22),(18,26),(18,27),-0.0809524 # DEPENDENCYPART_TRISIBL
(18,22),(18,26),(18,28),-0.0782596 # DEPENDENCYPART_TRISIBL
(18,22),(18,26),(18,29),-0.124328 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,22),(18,27),(18,28),-0.0759655 # DEPENDENCYPART_TRISIBL
(18,22),(18,27),(18,29),-0.113078 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,22),(18,28),(18,29),-0.015218 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,23),(18,24),(18,25),-0.0471596 # DEPENDENCYPART_TRISIBL
(18,23),(18,24),(18,26),-0.0656106 # DEPENDENCYPART_TRISIBL
(18,23),(18,24),(18,27),-0.0471596 # DEPENDENCYPART_TRISIBL
(18,23),(18,24),(18,28),-0.102607 # DEPENDENCYPART_TRISIBL
(18,23),(18,24),(18,29),-0.097903 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,23),(18,25),(18,26),-0.0635709 # DEPENDENCYPART_TRISIBL
(18,23),(18,25),(18,27),-0.051933 # DEPENDENCYPART_TRISIBL
(18,23),(18,25),(18,28),-0.0896564 # DEPENDENCYPART_TRISIBL
(18,23),(18,25),(18,29),-0.0224021 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,23),(18,26),(18,27),-0.0353027 # DEPENDENCYPART_TRISIBL
(18,23),(18,26),(18,28),-0.124226 # DEPENDENCYPART_TRISIBL
(18,23),(18,26),(18,29),0.000813046 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,23),(18,27),(18,28),-0.0896564 # DEPENDENCYPART_TRISIBL
(18,23),(18,27),(18,29),-0.0223121 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,23),(18,28),(18,29),-0.0317617 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,24),(18,25),(18,26),-0.090389 # DEPENDENCYPART_TRISIBL
(18,24),(18,25),(18,27),-0.0750651 # DEPENDENCYPART_TRISIBL
(18,24),(18,25),(18,28),-0.0447072 # DEPENDENCYPART_TRISIBL
(18,24),(18,25),(18,29),-0.105083 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,24),(18,26),(18,27),-0.0698349 # DEPENDENCYPART_TRISIBL
(18,24),(18,26),(18,28),-0.0386871 # DEPENDENCYPART_TRISIBL
(18,24),(18,26),(18,29),-0.121368 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,24),(18,27),(18,28),-0.0447072 # DEPENDENCYPART_TRISIBL
(18,24),(18,27),(18,29),-0.105083 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,24),(18,28),(18,29),-0.111794 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,25),(18,26),(18,27),-0.0809524 # DEPENDENCYPART_TRISIBL
(18,25),(18,26),(18,28),-0.0782596 # DEPENDENCYPART_TRISIBL
(18,25),(18,26),(18,29),-0.125309 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,25),(18,27),(18,28),-0.0759655 # DEPENDENCYPART_TRISIBL
(18,25),(18,27),(18,29),-0.11406 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,25),(18,28),(18,29),-0.0161994 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,26),(18,27),(18,28),-0.0511721 # DEPENDENCYPART_TRISIBL
(18,26),(18,27),(18,29),-0.113682 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,26),(18,28),(18,29),-0.0708961 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,27),(18,28),(18,29),-0.0161994 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,18),(18,17),(18,16),-0.218531 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,17),(18,13),-0.144618 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,17),(18,12),-0.144167 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,17),(18,-1),-0.156799 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,18),(18,16),(18,13),-0.210817 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,16),(18,12),-0.210366 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,16),(18,-1),-0.12775 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,18),(18,13),(18,12),-0.208915 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,13),(18,-1),-0.172361 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,18),(18,12),(18,-1),-0.163756 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,17),(18,16),(18,13),-0.153391 # DEPENDENCYPART_TRISIBL
(18,17),(18,16),(18,12),-0.153391 # DEPENDENCYPART_TRISIBL
(18,17),(18,16),(18,-1),-0.112677 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,17),(18,13),(18,12),-0.149042 # DEPENDENCYPART_TRISIBL
(18,17),(18,13),(18,-1),-0.145264 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,17),(18,12),(18,-1),-0.145264 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,16),(18,13),(18,12),-0.0884985 # DEPENDENCYPART_TRISIBL
(18,16),(18,13),(18,-1),-0.202877 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,16),(18,12),(18,-1),-0.202877 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,13),(18,12),(18,-1),-0.115486 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,19),(19,20),(19,21),-0.127576 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,20),(19,22),0.0487282 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,20),(19,23),-0.190405 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,20),(19,25),0.0484268 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,20),(19,27),0.0487282 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,20),(19,29),0.00747401 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(19,19),(19,21),(19,22),-0.00138354 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,21),(19,23),-0.184321 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,21),(19,25),-0.00168502 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,21),(19,27),-0.00138354 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,21),(19,29),0.0581118 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(19,19),(19,22),(19,23),0.0327286 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,22),(19,25),-0.0271167 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,22),(19,27),-0.0266038 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,22),(19,29),0.385395 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(19,19),(19,23),(19,25),0.0672493 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,23),(19,27),0.0676409 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,23),(19,29),-0.00977494 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(19,19),(19,25),(19,27),-0.0266038 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,25),(19,29),0.386813 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(19,19),(19,27),(19,29),0.386048 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(19,20),(19,21),(19,22),-0.0670523 # DEPENDENCYPART_TRISIBL
(19,20),(19,21),(19,23),-0.0667743 # DEPENDENCYPART_TRISIBL
(19,20),(19,21),(19,25),-0.0670523 # DEPENDENCYPART_TRISIBL
(19,20),(19,21),(19,27),-0.0670523 # DEPENDENCYPART_TRISIBL
(19,20),(19,21),(19,29),-0.0368106 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,20),(19,22),(19,23),-0.00926518 # DEPENDENCYPART_TRISIBL
(19,20),(19,22),(19,25),-0.076804 # DEPENDENCYPART_TRISIBL
(19,20),(19,22),(19,27),-0.076804 # DEPENDENCYPART_TRISIBL
(19,20),(19,22),(19,29),0.0389282 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,20),(19,23),(19,25),-0.0662977 # DEPENDENCYPART_TRISIBL
(19,20),(19,23),(19,27),-0.0662977 # DEPENDENCYPART_TRISIBL
(19,20),(19,23),(19,29),-0.0439305 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,20),(19,25),(19,27),-0.076804 # DEPENDENCYPART_TRISIBL
(19,20),(19,25),(19,29),0.0389282 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,20),(19,27),(19,29),0.0389282 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,21),(19,22),(19,23),-0.04309 # DEPENDENCYPART_TRISIBL
(19,21),(19,22),(19,25),-0.0593651 # DEPENDENCYPART_TRISIBL
(19,21),(19,22),(19,27),-0.0593651 # DEPENDENCYPART_TRISIBL
(19,21),(19,22),(19,29),-0.0573326 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,21),(19,23),(19,25),-0.0773048 # DEPENDENCYPART_TRISIBL
(19,21),(19,23),(19,27),-0.0773048 # DEPENDENCYPART_TRISIBL
(19,21),(19,23),(19,29),-0.0874518 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,21),(19,25),(19,27),-0.0593651 # DEPENDENCYPART_TRISIBL
(19,21),(19,25),(19,29),-0.0573326 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,21),(19,27),(19,29),-0.0573326 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,22),(19,23),(19,25),-0.168172 # DEPENDENCYPART_TRISIBL
(19,22),(19,23),(19,27),-0.168172 # DEPENDENCYPART_TRISIBL
(19,22),(19,23),(19,29),0.0173433 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,22),(19,25),(19,27),-0.163665 # DEPENDENCYPART_TRISIBL
(19,22),(19,25),(19,29),-0.0487147 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,22),(19,27),(19,29),-0.0485033 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,23),(19,25),(19,27),-0.0465318 # DEPENDENCYPART_TRISIBL
(19,23),(19,25),(19,29),0.0183112 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,23),(19,27),(19,29),0.0184013 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,25),(19,27),(19,29),-0.0494848 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,19),(19,18),(19,17),-0.111962 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,18),(19,-1),-0.170792 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,19),(19,17),(19,-1),-0.260272 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,18),(19,17),(19,-1),-0.132924 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,20),(20,21),(20,23),-0.158981 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,21),(20,29),-0.317591 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(20,20),(20,23),(20,29),-0.123131 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(20,21),(20,23),(20,29),-0.0897068 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,21),(21,23),(21,25),-0.123025 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,23),(21,26),-0.0527941 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,23),(21,27),-0.122634 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,23),(21,29),-0.0659259 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(21,21),(21,25),(21,26),-0.0413985 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,25),(21,27),-0.156777 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,25),(21,29),-0.0822383 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(21,21),(21,26),(21,27),-0.127415 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,26),(21,29),-0.0722614 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(21,21),(21,27),(21,29),-0.0826204 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(21,23),(21,25),(21,26),-0.0463622 # DEPENDENCYPART_TRISIBL
(21,23),(21,25),(21,27),-0.0438935 # DEPENDENCYPART_TRISIBL
(21,23),(21,25),(21,29),-0.0348315 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,23),(21,26),(21,27),-0.0171019 # DEPENDENCYPART_TRISIBL
(21,23),(21,26),(21,29),-0.0353172 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,23),(21,27),(21,29),-0.0347414 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,25),(21,26),(21,27),-0.0897914 # DEPENDENCYPART_TRISIBL
(21,25),(21,26),(21,29),-0.0710342 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,25),(21,27),(21,29),-0.0830402 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,26),(21,27),(21,29),-0.0695514 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,21),(21,20),(21,-1),-0.172076 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,22),(22,23),(22,24),-0.156379 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,25),-0.135525 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,26),-0.0926142 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,27),-0.135133 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,28),-0.167737 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,29),-0.0463258 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,24),(22,25),-0.16895 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,26),-0.115612 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,27),-0.168649 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,28),-0.149693 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,29),-0.184693 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,25),(22,26),-0.0696308 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,25),(22,27),-0.0948358 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,25),(22,28),-0.113227 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,25),(22,29),-0.103535 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,26),(22,27),-0.14556 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,26),(22,28),-0.082113 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,26),(22,29),-0.0713092 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,27),(22,28),-0.113227 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,27),(22,29),-0.103918 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,28),(22,29),-0.193525 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,23),(22,24),(22,25),-0.0471596 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,26),-0.0656106 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,27),-0.0471596 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,28),-0.102607 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,29),-0.097903 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,23),(22,25),(22,26),-0.0635709 # DEPENDENCYPART_TRISIBL
(22,23),(22,25),(22,27),-0.051933 # DEPENDENCYPART_TRISIBL
(22,23),(22,25),(22,28),-0.0896564 # DEPENDENCYPART_TRISIBL
(22,23),(22,25),(22,29),-0.0224021 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,23),(22,26),(22,27),-0.0353027 # DEPENDENCYPART_TRISIBL
(22,23),(22,26),(22,28),-0.124226 # DEPENDENCYPART_TRISIBL
(22,23),(22,26),(22,29),0.000813046 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,23),(22,27),(22,28),-0.0896564 # DEPENDENCYPART_TRISIBL
(22,23),(22,27),(22,29),-0.0223121 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,23),(22,28),(22,29),-0.0317617 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,24),(22,25),(22,26),-0.090389 # DEPENDENCYPART_TRISIBL
(22,24),(22,25),(22,27),-0.0750651 # DEPENDENCYPART_TRISIBL
(22,24),(22,25),(22,28),-0.0447072 # DEPENDENCYPART_TRISIBL
(22,24),(22,25),(22,29),-0.105083 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,24),(22,26),(22,27),-0.0698349 # DEPENDENCYPART_TRISIBL
(22,24),(22,26),(22,28),-0.0386871 # DEPENDENCYPART_TRISIBL
(22,24),(22,26),(22,29),-0.121368 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,24),(22,27),(22,28),-0.0447072 # DEPENDENCYPART_TRISIBL
(22,24),(22,27),(22,29),-0.105083 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,24),(22,28),(22,29),-0.111794 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,25),(22,26),(22,27),-0.0809524 # DEPENDENCYPART_TRISIBL
(22,25),(22,26),(22,28),-0.0782596 # DEPENDENCYPART_TRISIBL
(22,25),(22,26),(22,29),-0.125309 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,25),(22,27),(22,28),-0.0759655 # DEPENDENCYPART_TRISIBL
(22,25),(22,27),(22,29),-0.11406 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,25),(22,28),(22,29),-0.0161994 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,26),(22,27),(22,28),-0.0511721 # DEPENDENCYPART_TRISIBL
(22,26),(22,27),(22,29),-0.113682 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,26),(22,28),(22,29),-0.0708961 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,27),(22,28),(22,29),-0.0161994 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,22),(22,21),(22,20),-0.181559 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,19),-0.1996 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,18),-0.158843 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,17),-0.158515 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,12),-0.20981 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,-1),-0.120934 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,22),(22,20),(22,19),-0.227099 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,18),-0.251074 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,17),-0.23468 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,12),-0.122373 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,-1),-0.222203 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,22),(22,19),(22,18),-0.0445877 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,17),-0.118488 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,12),-0.216234 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,-1),-0.101541 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,22),(22,18),(22,17),-0.0798963 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,18),(22,12),-0.0984405 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,18),(22,-1),-0.189031 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,22),(22,17),(22,12),-0.144167 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,17),(22,-1),-0.157349 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,22),(22,12),(22,-1),-0.1643 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,21),(22,20),(22,19),-0.0770607 # DEPENDENCYPART_TRISIBL
(22,21),(22,20),(22,18),-0.03017 # DEPENDENCYPART_TRISIBL
(22,21),(22,20),(22,17),0.0120979 # DEPENDENCYPART_TRISIBL
(22,21),(22,20),(22,12),-0.0706839 # DEPENDENCYPART_TRISIBL
(22,21),(22,20),(22,-1),-0.0367406 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,21),(22,19),(22,18),-0.091265 # DEPENDENCYPART_TRISIBL
(22,21),(22,19),(22,17),0.0223055 # DEPENDENCYPART_TRISIBL
(22,21),(22,19),(22,12),-0.0860929 # DEPENDENCYPART_TRISIBL
(22,21),(22,19),(22,-1),-0.162796 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,21),(22,18),(22,17),0.0487234 # DEPENDENCYPART_TRISIBL
(22,21),(22,18),(22,12),-0.0468188 # DEPENDENCYPART_TRISIBL
(22,21),(22,18),(22,-1),-0.187475 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,21),(22,17),(22,12),-0.0835714 # DEPENDENCYPART_TRISIBL
(22,21),(22,17),(22,-1),-0.0277339 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,21),(22,12),(22,-1),-0.129107 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,20),(22,19),(22,18),-0.172902 # DEPENDENCYPART_TRISIBL
(22,20),(22,19),(22,17),-0.282682 # DEPENDENCYPART_TRISIBL
(22,20),(22,19),(22,12),-0.13313 # DEPENDENCYPART_TRISIBL
(22,20),(22,19),(22,-1),-0.124024 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,20),(22,18),(22,17),-0.344273 # DEPENDENCYPART_TRISIBL
(22,20),(22,18),(22,12),-0.204573 # DEPENDENCYPART_TRISIBL
(22,20),(22,18),(22,-1),-0.0986665 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,20),(22,17),(22,12),-0.135833 # DEPENDENCYPART_TRISIBL
(22,20),(22,17),(22,-1),-0.223474 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,20),(22,12),(22,-1),-0.109861 # DEPENDENCYPART_TRISIBL_LAST_SIBS
