# _root_ It starts with conception , taking the sperm 's point of view , then progresses to the baby 's point of view .
#goldHeads=2,0,2,3,2,2,8,10,8,6,10,11,2,15,2,15,18,20,18,16,20,21,2,
#predictedHeads=2,0,2,3,2,2,8,10,8,6,10,11,6,15,6,15,18,20,18,16,20,21,2,
(2,2),(2,6),(2,14),-0.0525635 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,15),-0.00862814 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,23),0.00340091 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,24),0.0193676 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,10),(2,13),0.00350504 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,10),(2,14),0.0104975 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,10),(2,15),-0.00808672 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,10),(2,23),-0.00519911 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,10),(2,24),-0.00543315 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,13),(2,14),-0.143115 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,13),(2,15),-0.14316 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,13),(2,23),-0.0724008 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,13),(2,24),-0.157425 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,14),(2,15),0.0124166 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,14),(2,23),-0.0260657 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,14),(2,24),-0.0277302 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,15),(2,23),0.0126696 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,15),(2,24),0.00292681 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,23),(2,24),-0.160715 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,3),(2,4),(2,5),-0.0621016 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,6),-0.0467324 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,10),-0.0731833 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,13),-0.0621016 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,14),-0.110145 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,15),-0.0510976 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,23),-0.07408 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,24),-0.0254778 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,5),(2,6),-0.0407447 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,10),0.0661757 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,13),-0.0970171 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,14),-0.0467432 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,15),-0.0473062 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,23),-0.0114802 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,24),-0.137325 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,6),(2,10),-0.0585366 # DEPENDENCYPART_TRISIBL
(2,3),(2,6),(2,13),-0.0595009 # DEPENDENCYPART_TRISIBL
(2,3),(2,6),(2,14),-0.102516 # DEPENDENCYPART_TRISIBL
(2,3),(2,6),(2,15),-0.0598329 # DEPENDENCYPART_TRISIBL
(2,3),(2,6),(2,23),-0.0636534 # DEPENDENCYPART_TRISIBL
(2,3),(2,6),(2,24),-0.0253786 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,10),(2,13),-0.0625032 # DEPENDENCYPART_TRISIBL
(2,3),(2,10),(2,14),-0.110145 # DEPENDENCYPART_TRISIBL
(2,3),(2,10),(2,15),-0.0511059 # DEPENDENCYPART_TRISIBL
(2,3),(2,10),(2,23),-0.0746112 # DEPENDENCYPART_TRISIBL
(2,3),(2,10),(2,24),-0.0268747 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,13),(2,14),-0.0467432 # DEPENDENCYPART_TRISIBL
(2,3),(2,13),(2,15),-0.0473062 # DEPENDENCYPART_TRISIBL
(2,3),(2,13),(2,23),-0.0114802 # DEPENDENCYPART_TRISIBL
(2,3),(2,13),(2,24),-0.137325 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,14),(2,15),-0.109909 # DEPENDENCYPART_TRISIBL
(2,3),(2,14),(2,23),-0.00324401 # DEPENDENCYPART_TRISIBL
(2,3),(2,14),(2,24),-0.0999933 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,15),(2,23),-0.0629882 # DEPENDENCYPART_TRISIBL
(2,3),(2,15),(2,24),-0.0284823 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,23),(2,24),-0.0251947 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,5),(2,6),-0.0323664 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,10),-0.208785 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,13),0.00371221 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,14),-0.01995 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,15),-0.0447568 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,23),-0.120506 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,24),-0.0749915 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,6),(2,10),-0.120268 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,13),-0.00986646 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,14),-0.0640401 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,15),-0.099072 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,23),-0.056304 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,24),-0.0481433 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,10),(2,13),-0.00786266 # DEPENDENCYPART_TRISIBL
(2,4),(2,10),(2,14),-0.103334 # DEPENDENCYPART_TRISIBL
(2,4),(2,10),(2,15),-0.0678304 # DEPENDENCYPART_TRISIBL
(2,4),(2,10),(2,23),-0.0551333 # DEPENDENCYPART_TRISIBL
(2,4),(2,10),(2,24),-0.0216426 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,13),(2,14),-0.01995 # DEPENDENCYPART_TRISIBL
(2,4),(2,13),(2,15),-0.0447568 # DEPENDENCYPART_TRISIBL
(2,4),(2,13),(2,23),-0.120506 # DEPENDENCYPART_TRISIBL
(2,4),(2,13),(2,24),-0.0749915 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,14),(2,15),-0.107476 # DEPENDENCYPART_TRISIBL
(2,4),(2,14),(2,23),-0.0964304 # DEPENDENCYPART_TRISIBL
(2,4),(2,14),(2,24),-0.0457728 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,15),(2,23),-0.0563028 # DEPENDENCYPART_TRISIBL
(2,4),(2,15),(2,24),-0.0445774 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,23),(2,24),0.00592211 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,6),(2,10),-0.0744485 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,13),0.234353 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,14),-0.0632787 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,15),-0.0301762 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,23),0.0580119 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,24),0.0227814 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,10),(2,13),0.196357 # DEPENDENCYPART_TRISIBL
(2,5),(2,10),(2,14),-0.0774888 # DEPENDENCYPART_TRISIBL
(2,5),(2,10),(2,15),-0.044586 # DEPENDENCYPART_TRISIBL
(2,5),(2,10),(2,23),-0.0740643 # DEPENDENCYPART_TRISIBL
(2,5),(2,10),(2,24),-0.0172574 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,13),(2,14),-0.0634208 # DEPENDENCYPART_TRISIBL
(2,5),(2,13),(2,15),-0.0639928 # DEPENDENCYPART_TRISIBL
(2,5),(2,13),(2,23),-0.0475817 # DEPENDENCYPART_TRISIBL
(2,5),(2,13),(2,24),-0.072515 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,14),(2,15),0.0448838 # DEPENDENCYPART_TRISIBL
(2,5),(2,14),(2,23),0.020417 # DEPENDENCYPART_TRISIBL
(2,5),(2,14),(2,24),-0.0284012 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,15),(2,23),0.046892 # DEPENDENCYPART_TRISIBL
(2,5),(2,15),(2,24),0.0231274 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,23),(2,24),-0.138918 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,10),(2,13),-0.0995092 # DEPENDENCYPART_TRISIBL
(2,6),(2,10),(2,14),-0.0867467 # DEPENDENCYPART_TRISIBL
(2,6),(2,10),(2,15),-0.0886245 # DEPENDENCYPART_TRISIBL
(2,6),(2,10),(2,23),-0.0192524 # DEPENDENCYPART_TRISIBL
(2,6),(2,10),(2,24),-0.0595889 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,13),(2,14),-0.0176964 # DEPENDENCYPART_TRISIBL
(2,6),(2,13),(2,15),-0.0490549 # DEPENDENCYPART_TRISIBL
(2,6),(2,13),(2,23),-0.105435 # DEPENDENCYPART_TRISIBL
(2,6),(2,13),(2,24),-0.0845898 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,14),(2,15),-0.110584 # DEPENDENCYPART_TRISIBL
(2,6),(2,14),(2,23),-0.0299657 # DEPENDENCYPART_TRISIBL
(2,6),(2,14),(2,24),-0.114918 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,15),(2,23),-0.11834 # DEPENDENCYPART_TRISIBL
(2,6),(2,15),(2,24),-0.0544099 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,23),(2,24),0.015629 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,10),(2,13),(2,14),-0.020661 # DEPENDENCYPART_TRISIBL
(2,10),(2,13),(2,15),-0.0299445 # DEPENDENCYPART_TRISIBL
(2,10),(2,13),(2,23),-0.113902 # DEPENDENCYPART_TRISIBL
(2,10),(2,13),(2,24),-0.0636644 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,10),(2,14),(2,15),-0.101802 # DEPENDENCYPART_TRISIBL
(2,10),(2,14),(2,23),-0.0898267 # DEPENDENCYPART_TRISIBL
(2,10),(2,14),(2,24),-0.0343215 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,10),(2,15),(2,23),-0.0498739 # DEPENDENCYPART_TRISIBL
(2,10),(2,15),(2,24),-0.0340043 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,10),(2,23),(2,24),0.0332405 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,13),(2,14),(2,15),0.0448838 # DEPENDENCYPART_TRISIBL
(2,13),(2,14),(2,23),0.020417 # DEPENDENCYPART_TRISIBL
(2,13),(2,14),(2,24),-0.0284012 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,13),(2,15),(2,23),0.046892 # DEPENDENCYPART_TRISIBL
(2,13),(2,15),(2,24),0.0231274 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,13),(2,23),(2,24),-0.138918 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,14),(2,15),(2,23),0.00400354 # DEPENDENCYPART_TRISIBL
(2,14),(2,15),(2,24),0.0543875 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,14),(2,23),(2,24),-0.0354605 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,15),(2,23),(2,24),0.0076077 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,2),(2,1),(2,-1),-0.0513511 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,3),(3,4),(3,5),0.0647015 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,6),-0.134555 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,10),-0.108888 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,15),-0.130936 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,16),0.00523408 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,24),0.221877 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,5),(3,6),-0.129619 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,10),-0.129694 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,15),-0.126667 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,16),-0.138038 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,24),-0.265836 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,6),(3,10),-0.0628475 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,15),-0.130248 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,16),-0.0628129 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,24),0.127284 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,10),(3,15),-0.132088 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,16),0.00621001 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,24),0.232567 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,15),(3,16),-0.0628129 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,15),(3,24),0.110664 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,16),(3,24),-0.098275 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,4),(3,5),(3,6),-0.00247345 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,10),-0.1719 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,15),-0.0101754 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,16),0.00466951 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,24),-0.0277195 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,6),(3,10),-0.114193 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,15),-0.0657905 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,16),-0.046308 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,24),-0.116754 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,10),(3,15),-0.0594086 # DEPENDENCYPART_TRISIBL
(3,4),(3,10),(3,16),-0.0618093 # DEPENDENCYPART_TRISIBL
(3,4),(3,10),(3,24),-0.0982842 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,15),(3,16),-0.046308 # DEPENDENCYPART_TRISIBL
(3,4),(3,15),(3,24),-0.11486 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,16),(3,24),-0.103265 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,5),(3,6),(3,10),-0.0677367 # DEPENDENCYPART_TRISIBL
(3,5),(3,6),(3,15),-0.0544176 # DEPENDENCYPART_TRISIBL
(3,5),(3,6),(3,16),-0.0893702 # DEPENDENCYPART_TRISIBL
(3,5),(3,6),(3,24),-0.107076 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,5),(3,10),(3,15),-0.0560466 # DEPENDENCYPART_TRISIBL
(3,5),(3,10),(3,16),-0.0995049 # DEPENDENCYPART_TRISIBL
(3,5),(3,10),(3,24),-0.162028 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,5),(3,15),(3,16),-0.0893702 # DEPENDENCYPART_TRISIBL
(3,5),(3,15),(3,24),-0.106397 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,5),(3,16),(3,24),-0.0985761 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,6),(3,10),(3,15),-0.0967877 # DEPENDENCYPART_TRISIBL
(3,6),(3,10),(3,16),-0.0733166 # DEPENDENCYPART_TRISIBL
(3,6),(3,10),(3,24),-0.0771668 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,6),(3,15),(3,16),-0.0699847 # DEPENDENCYPART_TRISIBL
(3,6),(3,15),(3,24),-0.0706745 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,6),(3,16),(3,24),-0.0707719 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,10),(3,15),(3,16),-0.0465056 # DEPENDENCYPART_TRISIBL
(3,10),(3,15),(3,24),-0.108691 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,10),(3,16),(3,24),-0.0943399 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,15),(3,16),(3,24),-0.0804373 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,5),(4,6),-0.150768 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,8),-0.0543666 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,10),-0.0608181 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,11),-0.227725 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,12),-0.0543181 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,13),-0.206723 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,15),-0.149314 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,16),-0.247955 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,20),-0.0608181 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,24),-0.680489 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,6),(4,8),-0.14037 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,10),-0.146903 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,11),-0.112248 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,12),-0.139527 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,13),-0.0519532 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,15),-0.0927585 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,16),-0.0877659 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,20),-0.146903 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,24),-0.0840118 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,8),(4,10),-0.124526 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,11),-0.0750234 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,12),-0.114829 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,13),-0.119002 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,15),-0.1071 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,16),-0.0977853 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,20),-0.124526 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,24),-0.115623 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,10),(4,11),-0.071333 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,10),(4,12),-0.115183 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,10),(4,13),-0.115369 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,10),(4,15),-0.108252 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,10),(4,16),-0.0970045 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,10),(4,20),-0.12488 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,10),(4,24),-0.110746 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,11),(4,12),-0.142397 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,11),(4,13),-0.0433669 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,11),(4,15),-0.141186 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,11),(4,16),-0.0401995 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,11),(4,20),-0.150218 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,11),(4,24),-0.0608333 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,12),(4,13),-0.115896 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,12),(4,15),-0.107238 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,12),(4,16),-0.0977853 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,12),(4,20),-0.124532 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,12),(4,24),-0.112411 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,13),(4,15),-0.149314 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,13),(4,16),-0.247955 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,13),(4,20),-0.0608181 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,13),(4,24),-0.680489 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,15),(4,16),-0.0877659 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,15),(4,20),-0.146089 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,15),(4,24),-0.0999845 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,16),(4,20),-0.148611 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,16),(4,24),-0.103573 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,20),(4,24),-0.110746 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,5),(4,6),(4,8),-0.0200306 # DEPENDENCYPART_TRISIBL
(4,5),(4,6),(4,10),-0.0200316 # DEPENDENCYPART_TRISIBL
(4,5),(4,6),(4,11),-0.0263617 # DEPENDENCYPART_TRISIBL
(4,5),(4,6),(4,12),-0.0200317 # DEPENDENCYPART_TRISIBL
(4,5),(4,6),(4,13),0.567726 # DEPENDENCYPART_TRISIBL
(4,5),(4,6),(4,15),-0.0598245 # DEPENDENCYPART_TRISIBL
(4,5),(4,6),(4,16),-0.0967501 # DEPENDENCYPART_TRISIBL
(4,5),(4,6),(4,20),-0.0200316 # DEPENDENCYPART_TRISIBL
(4,5),(4,6),(4,24),-0.0616423 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,8),(4,10),-0.0825837 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,11),-0.0392148 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,12),-0.0825834 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,13),0.507475 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,15),-0.052276 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,16),-0.110371 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,20),-0.0825837 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,24),-0.0989002 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,10),(4,11),-0.0392148 # DEPENDENCYPART_TRISIBL
(4,5),(4,10),(4,12),-0.0825834 # DEPENDENCYPART_TRISIBL
(4,5),(4,10),(4,13),0.507447 # DEPENDENCYPART_TRISIBL
(4,5),(4,10),(4,15),-0.052276 # DEPENDENCYPART_TRISIBL
(4,5),(4,10),(4,16),-0.110371 # DEPENDENCYPART_TRISIBL
(4,5),(4,10),(4,20),-0.0825837 # DEPENDENCYPART_TRISIBL
(4,5),(4,10),(4,24),-0.0989996 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,11),(4,12),0.0113597 # DEPENDENCYPART_TRISIBL
(4,5),(4,11),(4,13),0.34289 # DEPENDENCYPART_TRISIBL
(4,5),(4,11),(4,15),0.0270864 # DEPENDENCYPART_TRISIBL
(4,5),(4,11),(4,16),-0.107695 # DEPENDENCYPART_TRISIBL
(4,5),(4,11),(4,20),0.0113598 # DEPENDENCYPART_TRISIBL
(4,5),(4,11),(4,24),-0.0725196 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,12),(4,13),0.507467 # DEPENDENCYPART_TRISIBL
(4,5),(4,12),(4,15),-0.052276 # DEPENDENCYPART_TRISIBL
(4,5),(4,12),(4,16),-0.110371 # DEPENDENCYPART_TRISIBL
(4,5),(4,12),(4,20),-0.0825837 # DEPENDENCYPART_TRISIBL
(4,5),(4,12),(4,24),-0.0995621 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,13),(4,15),-0.0553567 # DEPENDENCYPART_TRISIBL
(4,5),(4,13),(4,16),-0.0967908 # DEPENDENCYPART_TRISIBL
(4,5),(4,13),(4,20),-0.000275272 # DEPENDENCYPART_TRISIBL
(4,5),(4,13),(4,24),-0.229749 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,15),(4,16),-0.0967501 # DEPENDENCYPART_TRISIBL
(4,5),(4,15),(4,20),-0.0200316 # DEPENDENCYPART_TRISIBL
(4,5),(4,15),(4,24),-0.061289 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,16),(4,20),0.00835652 # DEPENDENCYPART_TRISIBL
(4,5),(4,16),(4,24),-0.189759 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,20),(4,24),-0.0989996 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,6),(4,8),(4,10),-0.0713092 # DEPENDENCYPART_TRISIBL
(4,6),(4,8),(4,11),-0.00606829 # DEPENDENCYPART_TRISIBL
(4,6),(4,8),(4,12),-0.0713081 # DEPENDENCYPART_TRISIBL
(4,6),(4,8),(4,13),-0.085837 # DEPENDENCYPART_TRISIBL
(4,6),(4,8),(4,15),-0.101593 # DEPENDENCYPART_TRISIBL
(4,6),(4,8),(4,16),-0.0748885 # DEPENDENCYPART_TRISIBL
(4,6),(4,8),(4,20),-0.0713092 # DEPENDENCYPART_TRISIBL
(4,6),(4,8),(4,24),-0.116649 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,6),(4,10),(4,11),-0.00606829 # DEPENDENCYPART_TRISIBL
