# _root_ He received $ 724,579 for the shares , according to insider filings with the Securities and Exchange Commission .
#goldHeads=2,0,4,2,2,7,5,2,2,9,12,10,12,18,16,18,16,13,2,
#predictedHeads=2,0,4,2,2,7,5,2,2,9,12,10,12,18,16,18,16,13,2,
(18,16),(18,15),(18,14),0.0506227 # DEPENDENCYPART_TRISIBL
(18,16),(18,15),(18,12),0.00891336 # DEPENDENCYPART_TRISIBL
(18,16),(18,15),(18,11),0.00893044 # DEPENDENCYPART_TRISIBL
(18,16),(18,15),(18,-1),-0.120234 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,16),(18,14),(18,12),0.00819402 # DEPENDENCYPART_TRISIBL
(18,16),(18,14),(18,11),0.00821149 # DEPENDENCYPART_TRISIBL
(18,16),(18,14),(18,-1),-0.0513313 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,16),(18,12),(18,11),0.00893842 # DEPENDENCYPART_TRISIBL
(18,16),(18,12),(18,-1),-0.120236 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,16),(18,11),(18,-1),-0.12143 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,15),(18,14),(18,12),-0.144134 # DEPENDENCYPART_TRISIBL
(18,15),(18,14),(18,11),-0.144009 # DEPENDENCYPART_TRISIBL
(18,15),(18,14),(18,-1),-0.0220155 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,15),(18,12),(18,11),-0.0334413 # DEPENDENCYPART_TRISIBL
(18,15),(18,12),(18,-1),-0.0978214 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,15),(18,11),(18,-1),-0.0978143 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,14),(18,12),(18,11),-0.166698 # DEPENDENCYPART_TRISIBL
(18,14),(18,12),(18,-1),-0.111944 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,14),(18,11),(18,-1),-0.111944 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,12),(18,11),(18,-1),-0.10977 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,2),(2,1),0.362752 # DEPENDENCYPART_HEADBIGRAM
(0,2),(16,1),0.0969731 # DEPENDENCYPART_HEADBIGRAM
(0,3),(0,2),0.093895 # DEPENDENCYPART_HEADBIGRAM
(0,3),(1,2),0.0931338 # DEPENDENCYPART_HEADBIGRAM
(0,3),(7,2),0.0748123 # DEPENDENCYPART_HEADBIGRAM
(0,3),(9,2),0.0795725 # DEPENDENCYPART_HEADBIGRAM
(0,3),(16,2),0.0808616 # DEPENDENCYPART_HEADBIGRAM
(0,4),(0,3),0.0932205 # DEPENDENCYPART_HEADBIGRAM
(0,4),(2,3),0.0916633 # DEPENDENCYPART_HEADBIGRAM
(0,4),(4,3),0.0913839 # DEPENDENCYPART_HEADBIGRAM
(0,4),(5,3),0.0810437 # DEPENDENCYPART_HEADBIGRAM
(0,4),(7,3),0.0811604 # DEPENDENCYPART_HEADBIGRAM
(0,4),(11,3),0.0811781 # DEPENDENCYPART_HEADBIGRAM
(0,4),(16,3),0.0811196 # DEPENDENCYPART_HEADBIGRAM
(0,9),(2,8),0.181916 # DEPENDENCYPART_HEADBIGRAM
(0,9),(3,8),0.0966279 # DEPENDENCYPART_HEADBIGRAM
(0,9),(4,8),0.121121 # DEPENDENCYPART_HEADBIGRAM
(0,9),(5,8),0.124426 # DEPENDENCYPART_HEADBIGRAM
(0,9),(6,8),0.108443 # DEPENDENCYPART_HEADBIGRAM
(0,9),(7,8),0.24789 # DEPENDENCYPART_HEADBIGRAM
(0,9),(9,8),0.161571 # DEPENDENCYPART_HEADBIGRAM
(0,9),(10,8),0.0811155 # DEPENDENCYPART_HEADBIGRAM
(0,9),(12,8),0.154735 # DEPENDENCYPART_HEADBIGRAM
(0,9),(16,8),0.106246 # DEPENDENCYPART_HEADBIGRAM
(0,10),(0,9),0.0931357 # DEPENDENCYPART_HEADBIGRAM
(0,10),(2,9),0.0945199 # DEPENDENCYPART_HEADBIGRAM
(0,10),(3,9),0.0945213 # DEPENDENCYPART_HEADBIGRAM
(0,10),(4,9),0.0913163 # DEPENDENCYPART_HEADBIGRAM
(0,10),(5,9),0.0913136 # DEPENDENCYPART_HEADBIGRAM
(0,10),(6,9),0.091315 # DEPENDENCYPART_HEADBIGRAM
(0,10),(7,9),0.0946177 # DEPENDENCYPART_HEADBIGRAM
(0,10),(8,9),0.094617 # DEPENDENCYPART_HEADBIGRAM
(0,10),(12,9),0.0811836 # DEPENDENCYPART_HEADBIGRAM
(0,10),(16,9),0.0811384 # DEPENDENCYPART_HEADBIGRAM
(0,16),(9,15),0.121716 # DEPENDENCYPART_HEADBIGRAM
(0,16),(10,15),0.39031 # DEPENDENCYPART_HEADBIGRAM
(0,16),(11,15),0.0331015 # DEPENDENCYPART_HEADBIGRAM
(0,16),(12,15),0.0366904 # DEPENDENCYPART_HEADBIGRAM
(0,16),(13,15),0.0108012 # DEPENDENCYPART_HEADBIGRAM
(0,16),(16,15),-0.48454 # DEPENDENCYPART_HEADBIGRAM
(0,16),(18,15),-0.0182685 # DEPENDENCYPART_HEADBIGRAM
(1,2),(2,1),0.00142752 # DEPENDENCYPART_HEADBIGRAM
(1,2),(16,1),0.0742478 # DEPENDENCYPART_HEADBIGRAM
(1,5),(0,4),-0.057752 # DEPENDENCYPART_HEADBIGRAM
(1,5),(2,4),0.114428 # DEPENDENCYPART_HEADBIGRAM
(1,5),(3,4),0.114425 # DEPENDENCYPART_HEADBIGRAM
(1,5),(5,4),0.0652434 # DEPENDENCYPART_HEADBIGRAM
(1,5),(7,4),0.0753364 # DEPENDENCYPART_HEADBIGRAM
(1,5),(11,4),0.0802003 # DEPENDENCYPART_HEADBIGRAM
(1,5),(12,4),0.0802003 # DEPENDENCYPART_HEADBIGRAM
(1,5),(16,4),0.081104 # DEPENDENCYPART_HEADBIGRAM
(2,3),(0,2),-0.0571477 # DEPENDENCYPART_HEADBIGRAM
(2,3),(1,2),-0.0587769 # DEPENDENCYPART_HEADBIGRAM
(2,3),(7,2),0.0763347 # DEPENDENCYPART_HEADBIGRAM
(2,3),(9,2),0.0905742 # DEPENDENCYPART_HEADBIGRAM
(2,3),(16,2),0.0917266 # DEPENDENCYPART_HEADBIGRAM
(2,4),(0,3),-0.0584754 # DEPENDENCYPART_HEADBIGRAM
(2,4),(2,3),0.103171 # DEPENDENCYPART_HEADBIGRAM
(2,4),(4,3),0.245949 # DEPENDENCYPART_HEADBIGRAM
(2,4),(5,3),0.0809046 # DEPENDENCYPART_HEADBIGRAM
(2,4),(7,3),0.0808275 # DEPENDENCYPART_HEADBIGRAM
(2,4),(11,3),0.0811749 # DEPENDENCYPART_HEADBIGRAM
(2,4),(16,3),0.0802019 # DEPENDENCYPART_HEADBIGRAM
(2,5),(0,4),-0.0604162 # DEPENDENCYPART_HEADBIGRAM
(2,5),(2,4),0.139126 # DEPENDENCYPART_HEADBIGRAM
(2,5),(3,4),0.0792311 # DEPENDENCYPART_HEADBIGRAM
(2,5),(5,4),0.0523178 # DEPENDENCYPART_HEADBIGRAM
(2,5),(7,4),0.0650273 # DEPENDENCYPART_HEADBIGRAM
(2,5),(11,4),0.0719838 # DEPENDENCYPART_HEADBIGRAM
(2,5),(12,4),0.0745292 # DEPENDENCYPART_HEADBIGRAM
(2,5),(16,4),0.0832021 # DEPENDENCYPART_HEADBIGRAM
(2,7),(3,6),0.0880279 # DEPENDENCYPART_HEADBIGRAM
(2,7),(4,6),0.0747662 # DEPENDENCYPART_HEADBIGRAM
(2,7),(5,6),0.0554729 # DEPENDENCYPART_HEADBIGRAM
(2,7),(7,6),0.0876266 # DEPENDENCYPART_HEADBIGRAM
(2,7),(12,6),-0.0133309 # DEPENDENCYPART_HEADBIGRAM
(2,7),(16,6),0.0807765 # DEPENDENCYPART_HEADBIGRAM
(2,8),(2,7),0.0339512 # DEPENDENCYPART_HEADBIGRAM
(2,8),(3,7),0.072104 # DEPENDENCYPART_HEADBIGRAM
(2,8),(5,7),0.253353 # DEPENDENCYPART_HEADBIGRAM
(2,8),(9,7),0.0738636 # DEPENDENCYPART_HEADBIGRAM
(2,8),(12,7),-0.0170839 # DEPENDENCYPART_HEADBIGRAM
(2,8),(16,7),0.0185621 # DEPENDENCYPART_HEADBIGRAM
(2,9),(2,8),0.394154 # DEPENDENCYPART_HEADBIGRAM
(2,9),(3,8),0.0772242 # DEPENDENCYPART_HEADBIGRAM
(2,9),(4,8),0.0948823 # DEPENDENCYPART_HEADBIGRAM
(2,9),(5,8),0.0446803 # DEPENDENCYPART_HEADBIGRAM
(2,9),(6,8),0.0941406 # DEPENDENCYPART_HEADBIGRAM
(2,9),(7,8),0.141765 # DEPENDENCYPART_HEADBIGRAM
(2,9),(9,8),0.0929453 # DEPENDENCYPART_HEADBIGRAM
(2,9),(10,8),0.0807395 # DEPENDENCYPART_HEADBIGRAM
(2,9),(12,8),0.0775798 # DEPENDENCYPART_HEADBIGRAM
(2,9),(16,8),0.0592617 # DEPENDENCYPART_HEADBIGRAM
(2,10),(0,9),-0.0242707 # DEPENDENCYPART_HEADBIGRAM
(2,10),(2,9),0.0628987 # DEPENDENCYPART_HEADBIGRAM
(2,10),(3,9),0.0891514 # DEPENDENCYPART_HEADBIGRAM
(2,10),(4,9),0.0956516 # DEPENDENCYPART_HEADBIGRAM
(2,10),(5,9),0.133802 # DEPENDENCYPART_HEADBIGRAM
(2,10),(6,9),0.0908614 # DEPENDENCYPART_HEADBIGRAM
(2,10),(7,9),0.074838 # DEPENDENCYPART_HEADBIGRAM
(2,10),(8,9),0.0891265 # DEPENDENCYPART_HEADBIGRAM
(2,10),(12,9),0.062041 # DEPENDENCYPART_HEADBIGRAM
(2,10),(16,9),0.0518909 # DEPENDENCYPART_HEADBIGRAM
(2,12),(9,11),0.0278375 # DEPENDENCYPART_HEADBIGRAM
(2,12),(10,11),0.060238 # DEPENDENCYPART_HEADBIGRAM
(2,12),(12,11),0.164501 # DEPENDENCYPART_HEADBIGRAM
(2,12),(13,11),0.0780433 # DEPENDENCYPART_HEADBIGRAM
(2,12),(16,11),0.0128261 # DEPENDENCYPART_HEADBIGRAM
(2,12),(18,11),0.0747604 # DEPENDENCYPART_HEADBIGRAM
(2,13),(2,12),0.22404 # DEPENDENCYPART_HEADBIGRAM
(2,13),(5,12),0.149006 # DEPENDENCYPART_HEADBIGRAM
(2,13),(7,12),-0.0269917 # DEPENDENCYPART_HEADBIGRAM
(2,13),(9,12),0.0922681 # DEPENDENCYPART_HEADBIGRAM
(2,13),(10,12),0.159181 # DEPENDENCYPART_HEADBIGRAM
(2,13),(11,12),-0.0263428 # DEPENDENCYPART_HEADBIGRAM
(2,13),(13,12),0.129447 # DEPENDENCYPART_HEADBIGRAM
(2,13),(16,12),-0.00698942 # DEPENDENCYPART_HEADBIGRAM
(2,13),(18,12),-0.0225191 # DEPENDENCYPART_HEADBIGRAM
(2,16),(9,15),0.106455 # DEPENDENCYPART_HEADBIGRAM
(2,16),(10,15),0.0721118 # DEPENDENCYPART_HEADBIGRAM
(2,16),(11,15),0.0953315 # DEPENDENCYPART_HEADBIGRAM
(2,16),(12,15),0.0668688 # DEPENDENCYPART_HEADBIGRAM
(2,16),(13,15),0.168371 # DEPENDENCYPART_HEADBIGRAM
(2,16),(16,15),0.0460013 # DEPENDENCYPART_HEADBIGRAM
(2,16),(18,15),0.0388046 # DEPENDENCYPART_HEADBIGRAM
(2,19),(4,18),0.120496 # DEPENDENCYPART_HEADBIGRAM
(2,19),(5,18),0.133281 # DEPENDENCYPART_HEADBIGRAM
(2,19),(11,18),0.0954452 # DEPENDENCYPART_HEADBIGRAM
(2,19),(12,18),0.141356 # DEPENDENCYPART_HEADBIGRAM
(2,19),(13,18),0.105066 # DEPENDENCYPART_HEADBIGRAM
(2,19),(15,18),0.0893284 # DEPENDENCYPART_HEADBIGRAM
(2,19),(16,18),0.352674 # DEPENDENCYPART_HEADBIGRAM
(2,19),(17,18),0.133515 # DEPENDENCYPART_HEADBIGRAM
(3,4),(0,3),-0.0535742 # DEPENDENCYPART_HEADBIGRAM
(3,4),(2,3),-0.117576 # DEPENDENCYPART_HEADBIGRAM
(3,4),(4,3),-0.146933 # DEPENDENCYPART_HEADBIGRAM
(3,4),(5,3),0.0684812 # DEPENDENCYPART_HEADBIGRAM
(3,4),(7,3),0.21924 # DEPENDENCYPART_HEADBIGRAM
(3,4),(11,3),0.180177 # DEPENDENCYPART_HEADBIGRAM
(3,4),(16,3),0.0444658 # DEPENDENCYPART_HEADBIGRAM
(3,5),(0,4),-0.0600561 # DEPENDENCYPART_HEADBIGRAM
(3,5),(2,4),-0.0613555 # DEPENDENCYPART_HEADBIGRAM
(3,5),(3,4),0.227353 # DEPENDENCYPART_HEADBIGRAM
(3,5),(5,4),0.0701925 # DEPENDENCYPART_HEADBIGRAM
(3,5),(7,4),0.0759753 # DEPENDENCYPART_HEADBIGRAM
(3,5),(11,4),0.0778111 # DEPENDENCYPART_HEADBIGRAM
(3,5),(12,4),0.0778111 # DEPENDENCYPART_HEADBIGRAM
(3,5),(16,4),0.0796937 # DEPENDENCYPART_HEADBIGRAM
(3,6),(1,5),-0.0574058 # DEPENDENCYPART_HEADBIGRAM
(3,6),(2,5),-0.0419443 # DEPENDENCYPART_HEADBIGRAM
(3,6),(3,5),0.0834599 # DEPENDENCYPART_HEADBIGRAM
(3,6),(4,5),0.097021 # DEPENDENCYPART_HEADBIGRAM
(3,6),(6,5),0.0832817 # DEPENDENCYPART_HEADBIGRAM
(3,6),(7,5),0.0896509 # DEPENDENCYPART_HEADBIGRAM
(3,6),(9,5),0.0979797 # DEPENDENCYPART_HEADBIGRAM
(3,6),(12,5),0.0885236 # DEPENDENCYPART_HEADBIGRAM
(3,6),(16,5),0.0790365 # DEPENDENCYPART_HEADBIGRAM
(3,7),(3,6),0.0885895 # DEPENDENCYPART_HEADBIGRAM
(3,7),(4,6),0.0720432 # DEPENDENCYPART_HEADBIGRAM
(3,7),(5,6),0.0753781 # DEPENDENCYPART_HEADBIGRAM
(3,7),(7,6),0.0557767 # DEPENDENCYPART_HEADBIGRAM
(3,7),(12,6),0.0712574 # DEPENDENCYPART_HEADBIGRAM
(3,7),(16,6),0.0740476 # DEPENDENCYPART_HEADBIGRAM
(3,8),(2,7),-0.0498975 # DEPENDENCYPART_HEADBIGRAM
(3,8),(3,7),0.129883 # DEPENDENCYPART_HEADBIGRAM
(3,8),(5,7),0.105919 # DEPENDENCYPART_HEADBIGRAM
(3,8),(9,7),0.062593 # DEPENDENCYPART_HEADBIGRAM
(3,8),(12,7),0.0666111 # DEPENDENCYPART_HEADBIGRAM
(3,8),(16,7),0.0598912 # DEPENDENCYPART_HEADBIGRAM
(3,9),(2,8),-0.0456782 # DEPENDENCYPART_HEADBIGRAM
(3,9),(3,8),0.0205633 # DEPENDENCYPART_HEADBIGRAM
(3,9),(4,8),0.0844281 # DEPENDENCYPART_HEADBIGRAM
(3,9),(5,8),0.0870278 # DEPENDENCYPART_HEADBIGRAM
(3,9),(6,8),0.0968163 # DEPENDENCYPART_HEADBIGRAM
(3,9),(7,8),0.105504 # DEPENDENCYPART_HEADBIGRAM
(3,9),(9,8),0.107274 # DEPENDENCYPART_HEADBIGRAM
(3,9),(10,8),0.08116 # DEPENDENCYPART_HEADBIGRAM
(3,9),(12,8),0.0840149 # DEPENDENCYPART_HEADBIGRAM
(3,9),(16,8),0.0785687 # DEPENDENCYPART_HEADBIGRAM
(3,13),(2,12),-0.0531925 # DEPENDENCYPART_HEADBIGRAM
(3,13),(5,12),0.0308957 # DEPENDENCYPART_HEADBIGRAM
(3,13),(7,12),0.0913986 # DEPENDENCYPART_HEADBIGRAM
(3,13),(9,12),0.0812304 # DEPENDENCYPART_HEADBIGRAM
(3,13),(10,12),0.115095 # DEPENDENCYPART_HEADBIGRAM
(3,13),(11,12),0.115562 # DEPENDENCYPART_HEADBIGRAM
(3,13),(13,12),0.0804188 # DEPENDENCYPART_HEADBIGRAM
(3,13),(16,12),0.0631755 # DEPENDENCYPART_HEADBIGRAM
(3,13),(18,12),0.0651053 # DEPENDENCYPART_HEADBIGRAM
(3,19),(4,18),0.0621951 # DEPENDENCYPART_HEADBIGRAM
(3,19),(5,18),0.0806155 # DEPENDENCYPART_HEADBIGRAM
(3,19),(11,18),0.12015 # DEPENDENCYPART_HEADBIGRAM
(3,19),(12,18),0.120144 # DEPENDENCYPART_HEADBIGRAM
(3,19),(13,18),0.116686 # DEPENDENCYPART_HEADBIGRAM
(3,19),(15,18),0.10281 # DEPENDENCYPART_HEADBIGRAM
(3,19),(16,18),0.175491 # DEPENDENCYPART_HEADBIGRAM
(3,19),(17,18),0.175782 # DEPENDENCYPART_HEADBIGRAM
(4,3),(0,2),0.000357124 # DEPENDENCYPART_HEADBIGRAM
(4,3),(1,2),-0.0807433 # DEPENDENCYPART_HEADBIGRAM
(4,3),(7,2),0.0845141 # DEPENDENCYPART_HEADBIGRAM
(4,3),(9,2),0.103794 # DEPENDENCYPART_HEADBIGRAM
(4,3),(16,2),0.107895 # DEPENDENCYPART_HEADBIGRAM
(4,5),(0,4),-0.0800376 # DEPENDENCYPART_HEADBIGRAM
(4,5),(2,4),0.0192133 # DEPENDENCYPART_HEADBIGRAM
(4,5),(3,4),-0.106101 # DEPENDENCYPART_HEADBIGRAM
(4,5),(5,4),0.0363891 # DEPENDENCYPART_HEADBIGRAM
(4,5),(7,4),0.0424278 # DEPENDENCYPART_HEADBIGRAM
(4,5),(11,4),0.0505357 # DEPENDENCYPART_HEADBIGRAM
(4,5),(12,4),0.0647685 # DEPENDENCYPART_HEADBIGRAM
(4,5),(16,4),0.207179 # DEPENDENCYPART_HEADBIGRAM
(4,6),(1,5),-0.0611418 # DEPENDENCYPART_HEADBIGRAM
(4,6),(2,5),-0.0579899 # DEPENDENCYPART_HEADBIGRAM
(4,6),(3,5),-0.06675 # DEPENDENCYPART_HEADBIGRAM
(4,6),(4,5),0.081477 # DEPENDENCYPART_HEADBIGRAM
(4,6),(6,5),0.0806837 # DEPENDENCYPART_HEADBIGRAM
(4,6),(7,5),0.0751695 # DEPENDENCYPART_HEADBIGRAM
(4,6),(9,5),0.0825035 # DEPENDENCYPART_HEADBIGRAM
(4,6),(12,5),0.0758949 # DEPENDENCYPART_HEADBIGRAM
(4,6),(16,5),0.0949808 # DEPENDENCYPART_HEADBIGRAM
(4,8),(2,7),-0.0591467 # DEPENDENCYPART_HEADBIGRAM
(4,8),(3,7),-0.0596105 # DEPENDENCYPART_HEADBIGRAM
(4,8),(5,7),0.100986 # DEPENDENCYPART_HEADBIGRAM
(4,8),(9,7),0.053101 # DEPENDENCYPART_HEADBIGRAM
(4,8),(12,7),0.0736113 # DEPENDENCYPART_HEADBIGRAM
(4,8),(16,7),0.0839409 # DEPENDENCYPART_HEADBIGRAM
(4,9),(2,8),-0.0589036 # DEPENDENCYPART_HEADBIGRAM
(4,9),(3,8),-0.0570384 # DEPENDENCYPART_HEADBIGRAM
(4,9),(4,8),0.0811051 # DEPENDENCYPART_HEADBIGRAM
(4,9),(5,8),0.0880558 # DEPENDENCYPART_HEADBIGRAM
(4,9),(6,8),0.079036 # DEPENDENCYPART_HEADBIGRAM
(4,9),(7,8),0.0777653 # DEPENDENCYPART_HEADBIGRAM
(4,9),(9,8),0.00963549 # DEPENDENCYPART_HEADBIGRAM
(4,9),(10,8),0.0805929 # DEPENDENCYPART_HEADBIGRAM
(4,9),(12,8),0.0780647 # DEPENDENCYPART_HEADBIGRAM
(4,9),(16,8),0.0778561 # DEPENDENCYPART_HEADBIGRAM
(4,13),(2,12),-0.0280226 # DEPENDENCYPART_HEADBIGRAM
(4,13),(5,12),0.094484 # DEPENDENCYPART_HEADBIGRAM
(4,13),(7,12),0.104373 # DEPENDENCYPART_HEADBIGRAM
(4,13),(9,12),0.109436 # DEPENDENCYPART_HEADBIGRAM
(4,13),(10,12),0.125938 # DEPENDENCYPART_HEADBIGRAM
(4,13),(11,12),0.128533 # DEPENDENCYPART_HEADBIGRAM
(4,13),(13,12),0.0855703 # DEPENDENCYPART_HEADBIGRAM
(4,13),(16,12),0.0621723 # DEPENDENCYPART_HEADBIGRAM
(4,13),(18,12),0.0754117 # DEPENDENCYPART_HEADBIGRAM
(4,16),(9,15),0.0898349 # DEPENDENCYPART_HEADBIGRAM
(4,16),(10,15),0.104928 # DEPENDENCYPART_HEADBIGRAM
(4,16),(11,15),0.104457 # DEPENDENCYPART_HEADBIGRAM
(4,16),(12,15),0.103377 # DEPENDENCYPART_HEADBIGRAM
(4,16),(13,15),0.114677 # DEPENDENCYPART_HEADBIGRAM
(4,16),(16,15),-0.0126441 # DEPENDENCYPART_HEADBIGRAM
(4,16),(18,15),0.0617192 # DEPENDENCYPART_HEADBIGRAM
(4,18),(10,17),0.101228 # DEPENDENCYPART_HEADBIGRAM
(4,18),(12,17),0.0910392 # DEPENDENCYPART_HEADBIGRAM
(4,18),(13,17),0.0883661 # DEPENDENCYPART_HEADBIGRAM
(4,18),(16,17),0.0665928 # DEPENDENCYPART_HEADBIGRAM
(4,18),(18,17),0.041357 # DEPENDENCYPART_HEADBIGRAM
(5,3),(0,2),-0.081429 # DEPENDENCYPART_HEADBIGRAM
(5,3),(1,2),-0.0807433 # DEPENDENCYPART_HEADBIGRAM
(5,3),(7,2),0.0835596 # DEPENDENCYPART_HEADBIGRAM
(5,3),(9,2),0.0914651 # DEPENDENCYPART_HEADBIGRAM
(5,3),(16,2),0.0839485 # DEPENDENCYPART_HEADBIGRAM
(5,4),(0,3),-0.106189 # DEPENDENCYPART_HEADBIGRAM
(5,4),(2,3),-0.116412 # DEPENDENCYPART_HEADBIGRAM
(5,4),(4,3),-0.126925 # DEPENDENCYPART_HEADBIGRAM
(5,4),(5,3),0.0665046 # DEPENDENCYPART_HEADBIGRAM
(5,4),(7,3),0.075826 # DEPENDENCYPART_HEADBIGRAM
(5,4),(11,3),0.0831731 # DEPENDENCYPART_HEADBIGRAM
(5,4),(16,3),0.0819016 # DEPENDENCYPART_HEADBIGRAM
(5,6),(1,5),-0.075258 # DEPENDENCYPART_HEADBIGRAM
(5,6),(2,5),-0.0705551 # DEPENDENCYPART_HEADBIGRAM
(5,6),(3,5),-0.0405736 # DEPENDENCYPART_HEADBIGRAM
(5,6),(4,5),-0.0514168 # DEPENDENCYPART_HEADBIGRAM
(5,6),(6,5),0.0515915 # DEPENDENCYPART_HEADBIGRAM
(5,6),(7,5),0.107957 # DEPENDENCYPART_HEADBIGRAM
(5,6),(9,5),0.112602 # DEPENDENCYPART_HEADBIGRAM
(5,6),(12,5),0.10381 # DEPENDENCYPART_HEADBIGRAM
(5,6),(16,5),0.0770314 # DEPENDENCYPART_HEADBIGRAM
(5,7),(3,6),-0.0619127 # DEPENDENCYPART_HEADBIGRAM
(5,7),(4,6),-0.0631738 # DEPENDENCYPART_HEADBIGRAM
(5,7),(5,6),0.144114 # DEPENDENCYPART_HEADBIGRAM
(5,7),(7,6),0.241856 # DEPENDENCYPART_HEADBIGRAM
(5,7),(12,6),0.0119841 # DEPENDENCYPART_HEADBIGRAM
(5,7),(16,6),0.0606542 # DEPENDENCYPART_HEADBIGRAM
(5,8),(2,7),-0.0478366 # DEPENDENCYPART_HEADBIGRAM
(5,8),(3,7),-0.0592448 # DEPENDENCYPART_HEADBIGRAM
(5,8),(5,7),0.114909 # DEPENDENCYPART_HEADBIGRAM
(5,8),(9,7),0.0603934 # DEPENDENCYPART_HEADBIGRAM
(5,8),(12,7),0.0690981 # DEPENDENCYPART_HEADBIGRAM
(5,8),(16,7),0.109085 # DEPENDENCYPART_HEADBIGRAM
(5,9),(2,8),-0.0654815 # DEPENDENCYPART_HEADBIGRAM
(5,9),(3,8),-0.0570625 # DEPENDENCYPART_HEADBIGRAM
(5,9),(4,8),-0.0572994 # DEPENDENCYPART_HEADBIGRAM
(5,9),(5,8),0.0664223 # DEPENDENCYPART_HEADBIGRAM
(5,9),(6,8),0.0789789 # DEPENDENCYPART_HEADBIGRAM
(5,9),(7,8),0.0730313 # DEPENDENCYPART_HEADBIGRAM
(5,9),(9,8),-0.0137149 # DEPENDENCYPART_HEADBIGRAM
(5,9),(10,8),0.0803383 # DEPENDENCYPART_HEADBIGRAM
(5,9),(12,8),0.0739281 # DEPENDENCYPART_HEADBIGRAM
(5,9),(16,8),0.0738635 # DEPENDENCYPART_HEADBIGRAM
(5,10),(0,9),-0.0694568 # DEPENDENCYPART_HEADBIGRAM
(5,10),(2,9),-0.0611107 # DEPENDENCYPART_HEADBIGRAM
(5,10),(3,9),-0.0582305 # DEPENDENCYPART_HEADBIGRAM
(5,10),(4,9),-0.0585853 # DEPENDENCYPART_HEADBIGRAM
(5,10),(5,9),0.0905049 # DEPENDENCYPART_HEADBIGRAM
(5,10),(6,9),0.0943915 # DEPENDENCYPART_HEADBIGRAM
(5,10),(7,9),0.0912886 # DEPENDENCYPART_HEADBIGRAM
(5,10),(8,9),0.0947111 # DEPENDENCYPART_HEADBIGRAM
(5,10),(12,9),0.0783393 # DEPENDENCYPART_HEADBIGRAM
(5,10),(16,9),0.080575 # DEPENDENCYPART_HEADBIGRAM
(5,12),(9,11),0.0217786 # DEPENDENCYPART_HEADBIGRAM
(5,12),(10,11),0.0261372 # DEPENDENCYPART_HEADBIGRAM
(5,12),(12,11),0.246708 # DEPENDENCYPART_HEADBIGRAM
(5,12),(13,11),0.0618671 # DEPENDENCYPART_HEADBIGRAM
(5,12),(16,11),0.0796673 # DEPENDENCYPART_HEADBIGRAM
(5,12),(18,11),0.0733901 # DEPENDENCYPART_HEADBIGRAM
(5,13),(2,12),-0.0246078 # DEPENDENCYPART_HEADBIGRAM
(5,13),(5,12),-0.0261048 # DEPENDENCYPART_HEADBIGRAM
(5,13),(7,12),0.192366 # DEPENDENCYPART_HEADBIGRAM
(5,13),(9,12),0.114428 # DEPENDENCYPART_HEADBIGRAM
(5,13),(10,12),0.102517 # DEPENDENCYPART_HEADBIGRAM
(5,13),(11,12),0.210737 # DEPENDENCYPART_HEADBIGRAM
(5,13),(13,12),0.0781486 # DEPENDENCYPART_HEADBIGRAM
(5,13),(16,12),0.0178045 # DEPENDENCYPART_HEADBIGRAM
(5,13),(18,12),0.154841 # DEPENDENCYPART_HEADBIGRAM
(5,16),(9,15),0.0876634 # DEPENDENCYPART_HEADBIGRAM
(5,16),(10,15),0.0369568 # DEPENDENCYPART_HEADBIGRAM
(5,16),(11,15),0.0933675 # DEPENDENCYPART_HEADBIGRAM
(5,16),(12,15),0.0757312 # DEPENDENCYPART_HEADBIGRAM
(5,16),(13,15),0.222934 # DEPENDENCYPART_HEADBIGRAM
(5,16),(16,15),0.0830779 # DEPENDENCYPART_HEADBIGRAM
(5,16),(18,15),0.0516185 # DEPENDENCYPART_HEADBIGRAM
(5,18),(10,17),0.0685051 # DEPENDENCYPART_HEADBIGRAM
(5,18),(12,17),0.0951779 # DEPENDENCYPART_HEADBIGRAM
(5,18),(13,17),0.0587516 # DEPENDENCYPART_HEADBIGRAM
(5,18),(16,17),0.0952023 # DEPENDENCYPART_HEADBIGRAM
(5,18),(18,17),0.244269 # DEPENDENCYPART_HEADBIGRAM
(6,5),(0,4),-0.100453 # DEPENDENCYPART_HEADBIGRAM
(6,5),(2,4),-0.102578 # DEPENDENCYPART_HEADBIGRAM
(6,5),(3,4),-0.103922 # DEPENDENCYPART_HEADBIGRAM
(6,5),(5,4),-0.0808493 # DEPENDENCYPART_HEADBIGRAM
(6,5),(7,4),0.0869532 # DEPENDENCYPART_HEADBIGRAM
(6,5),(11,4),0.0863401 # DEPENDENCYPART_HEADBIGRAM
(6,5),(12,4),0.0863401 # DEPENDENCYPART_HEADBIGRAM
