# _root_ Institutional building , such as hospitals and schools , eased in September following a surge in August .
#goldHeads=10,1,1,5,1,7,5,7,1,0,10,11,10,15,13,15,16,10,
#predictedHeads=10,10,2,5,2,7,5,7,10,0,10,11,10,15,13,15,16,10,
(2,2),(2,13),(2,18),0.00370194 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,13),(2,19),-0.00572075 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,16),(2,18),-0.117132 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,16),(2,19),-0.0656084 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,18),(2,19),-0.157281 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,3),(2,4),(2,5),-0.0138815 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,6),-0.0590782 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,7),-0.078564 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,8),-0.0590782 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,9),0.24068 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,10),-0.0264686 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,11),-0.00672883 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,13),-0.0264693 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,16),-0.00672883 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,18),-0.0534403 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,19),-0.0916872 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,5),(2,6),-0.0699577 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,7),-0.0899903 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,8),-0.0699577 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,9),0.200735 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,10),-0.0108066 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,11),-0.109782 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,13),-0.0108073 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,16),-0.109782 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,18),0.0081371 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,19),-0.0381715 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,6),(2,7),-0.0927756 # DEPENDENCYPART_TRISIBL
(2,3),(2,6),(2,8),-0.0979396 # DEPENDENCYPART_TRISIBL
(2,3),(2,6),(2,9),0.20003 # DEPENDENCYPART_TRISIBL
(2,3),(2,6),(2,10),-0.044586 # DEPENDENCYPART_TRISIBL
(2,3),(2,6),(2,11),-0.062238 # DEPENDENCYPART_TRISIBL
(2,3),(2,6),(2,13),-0.0445867 # DEPENDENCYPART_TRISIBL
(2,3),(2,6),(2,16),-0.062238 # DEPENDENCYPART_TRISIBL
(2,3),(2,6),(2,18),-0.074064 # DEPENDENCYPART_TRISIBL
(2,3),(2,6),(2,19),-0.0176603 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,7),(2,8),-0.0770918 # DEPENDENCYPART_TRISIBL
(2,3),(2,7),(2,9),0.153418 # DEPENDENCYPART_TRISIBL
(2,3),(2,7),(2,10),-0.0327592 # DEPENDENCYPART_TRISIBL
(2,3),(2,7),(2,11),-0.0439997 # DEPENDENCYPART_TRISIBL
(2,3),(2,7),(2,13),-0.0327598 # DEPENDENCYPART_TRISIBL
(2,3),(2,7),(2,16),-0.0439997 # DEPENDENCYPART_TRISIBL
(2,3),(2,7),(2,18),0.0263008 # DEPENDENCYPART_TRISIBL
(2,3),(2,7),(2,19),-0.0794693 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,8),(2,9),0.199418 # DEPENDENCYPART_TRISIBL
(2,3),(2,8),(2,10),-0.044586 # DEPENDENCYPART_TRISIBL
(2,3),(2,8),(2,11),-0.062238 # DEPENDENCYPART_TRISIBL
(2,3),(2,8),(2,13),-0.0445867 # DEPENDENCYPART_TRISIBL
(2,3),(2,8),(2,16),-0.062238 # DEPENDENCYPART_TRISIBL
(2,3),(2,8),(2,18),-0.074064 # DEPENDENCYPART_TRISIBL
(2,3),(2,8),(2,19),-0.0181998 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,9),(2,10),-0.0639928 # DEPENDENCYPART_TRISIBL
(2,3),(2,9),(2,11),-0.0498224 # DEPENDENCYPART_TRISIBL
(2,3),(2,9),(2,13),-0.0639935 # DEPENDENCYPART_TRISIBL
(2,3),(2,9),(2,16),-0.0498224 # DEPENDENCYPART_TRISIBL
(2,3),(2,9),(2,18),-0.047582 # DEPENDENCYPART_TRISIBL
(2,3),(2,9),(2,19),-0.0730994 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,10),(2,11),-0.000469592 # DEPENDENCYPART_TRISIBL
(2,3),(2,10),(2,13),-0.0301768 # DEPENDENCYPART_TRISIBL
(2,3),(2,10),(2,16),-0.000469592 # DEPENDENCYPART_TRISIBL
(2,3),(2,10),(2,18),0.0468914 # DEPENDENCYPART_TRISIBL
(2,3),(2,10),(2,19),0.0224815 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,11),(2,13),-0.0149047 # DEPENDENCYPART_TRISIBL
(2,3),(2,11),(2,16),-0.119084 # DEPENDENCYPART_TRISIBL
(2,3),(2,11),(2,18),0.0171116 # DEPENDENCYPART_TRISIBL
(2,3),(2,11),(2,19),-0.0391976 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,13),(2,16),-0.000470994 # DEPENDENCYPART_TRISIBL
(2,3),(2,13),(2,18),0.0433779 # DEPENDENCYPART_TRISIBL
(2,3),(2,13),(2,19),0.0246892 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,16),(2,18),0.0171116 # DEPENDENCYPART_TRISIBL
(2,3),(2,16),(2,19),-0.0391976 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,18),(2,19),-0.139503 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,5),(2,6),-0.11173 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,7),-0.0992553 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,8),-0.111686 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,9),0.0140381 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,10),-0.105184 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,11),-0.117595 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,13),-0.105189 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,16),-0.117595 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,18),-0.00710854 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,19),-0.0484381 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,6),(2,7),-0.0889184 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,8),-0.101863 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,9),-0.027259 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,10),-0.0876082 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,11),-0.068693 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,13),-0.0876127 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,16),-0.068693 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,18),-0.0866211 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,19),-0.0716494 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,7),(2,8),-0.0915271 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,9),-0.0415579 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,10),-0.0820631 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,11),-0.0426018 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,13),-0.0820677 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,16),-0.0426018 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,18),-0.0440568 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,19),-0.104557 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,8),(2,9),-0.0272845 # DEPENDENCYPART_TRISIBL
(2,4),(2,8),(2,10),-0.0877541 # DEPENDENCYPART_TRISIBL
(2,4),(2,8),(2,11),-0.068693 # DEPENDENCYPART_TRISIBL
(2,4),(2,8),(2,13),-0.0877586 # DEPENDENCYPART_TRISIBL
(2,4),(2,8),(2,16),-0.068693 # DEPENDENCYPART_TRISIBL
(2,4),(2,8),(2,18),-0.0866211 # DEPENDENCYPART_TRISIBL
(2,4),(2,8),(2,19),-0.0716494 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,9),(2,10),-0.0369736 # DEPENDENCYPART_TRISIBL
(2,4),(2,9),(2,11),0.045142 # DEPENDENCYPART_TRISIBL
(2,4),(2,9),(2,13),-0.0369805 # DEPENDENCYPART_TRISIBL
(2,4),(2,9),(2,16),0.045142 # DEPENDENCYPART_TRISIBL
(2,4),(2,9),(2,18),-0.0670369 # DEPENDENCYPART_TRISIBL
(2,4),(2,9),(2,19),-0.117733 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,10),(2,11),-0.0397846 # DEPENDENCYPART_TRISIBL
(2,4),(2,10),(2,13),-0.0744739 # DEPENDENCYPART_TRISIBL
(2,4),(2,10),(2,16),-0.0397846 # DEPENDENCYPART_TRISIBL
(2,4),(2,10),(2,18),-0.117709 # DEPENDENCYPART_TRISIBL
(2,4),(2,10),(2,19),-0.0915065 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,11),(2,13),-0.102099 # DEPENDENCYPART_TRISIBL
(2,4),(2,11),(2,16),-0.11904 # DEPENDENCYPART_TRISIBL
(2,4),(2,11),(2,18),0.0353944 # DEPENDENCYPART_TRISIBL
(2,4),(2,11),(2,19),-0.0123554 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,13),(2,16),-0.0397846 # DEPENDENCYPART_TRISIBL
(2,4),(2,13),(2,18),-0.117709 # DEPENDENCYPART_TRISIBL
(2,4),(2,13),(2,19),-0.0915073 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,16),(2,18),0.0353944 # DEPENDENCYPART_TRISIBL
(2,4),(2,16),(2,19),-0.0123554 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,18),(2,19),-0.0402082 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,6),(2,7),-0.107883 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,8),-0.0860454 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,9),-0.049465 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,10),-0.066776 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,11),-0.0900515 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,13),-0.0648917 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,16),-0.0900515 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,18),-0.0801753 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,19),-0.0515068 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,7),(2,8),-0.0746934 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,9),-0.107298 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,10),-0.129794 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,11),-0.126945 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,13),-0.127956 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,16),-0.126945 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,18),-0.120978 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,19),-0.109068 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,8),(2,9),-0.049465 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,10),-0.066776 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,11),-0.0900529 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,13),-0.0648917 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,16),-0.0900529 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,18),-0.0801753 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,19),-0.051502 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,9),(2,10),-0.0561183 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,11),-0.0951081 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,13),-0.0527613 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,16),-0.0951081 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,18),-0.0157651 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,19),-0.173348 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,10),(2,11),-0.111854 # DEPENDENCYPART_TRISIBL
(2,5),(2,10),(2,13),-0.0780705 # DEPENDENCYPART_TRISIBL
(2,5),(2,10),(2,16),-0.111854 # DEPENDENCYPART_TRISIBL
(2,5),(2,10),(2,18),-0.0897466 # DEPENDENCYPART_TRISIBL
(2,5),(2,10),(2,19),-0.0860449 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,11),(2,13),-0.112843 # DEPENDENCYPART_TRISIBL
(2,5),(2,11),(2,16),-0.0687751 # DEPENDENCYPART_TRISIBL
(2,5),(2,11),(2,18),-0.0709709 # DEPENDENCYPART_TRISIBL
(2,5),(2,11),(2,19),-0.0576892 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,13),(2,16),-0.1119 # DEPENDENCYPART_TRISIBL
(2,5),(2,13),(2,18),-0.0877812 # DEPENDENCYPART_TRISIBL
(2,5),(2,13),(2,19),-0.0813785 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,16),(2,18),-0.0709709 # DEPENDENCYPART_TRISIBL
(2,5),(2,16),(2,19),-0.0576892 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,18),(2,19),-0.0320608 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,7),(2,8),-0.136288 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,9),-0.0387629 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,10),-0.0924939 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,11),0.0326045 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,13),-0.0898778 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,16),0.0326045 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,18),-0.0473107 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,19),-0.0909015 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,8),(2,9),-0.00786141 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,10),-0.0678304 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,11),0.00318006 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,13),-0.0643613 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,16),0.00318006 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,18),-0.0502545 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,19),-0.0170159 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,9),(2,10),-0.0447568 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,11),0.0354253 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,13),-0.0421869 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,16),0.0354253 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,18),-0.120506 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,19),-0.0689194 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,10),(2,11),-0.0308783 # DEPENDENCYPART_TRISIBL
(2,6),(2,10),(2,13),-0.0964047 # DEPENDENCYPART_TRISIBL
(2,6),(2,10),(2,16),-0.0308783 # DEPENDENCYPART_TRISIBL
(2,6),(2,10),(2,18),-0.0563077 # DEPENDENCYPART_TRISIBL
(2,6),(2,10),(2,19),-0.0411508 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,11),(2,13),-0.0643063 # DEPENDENCYPART_TRISIBL
(2,6),(2,11),(2,16),-0.0198216 # DEPENDENCYPART_TRISIBL
(2,6),(2,11),(2,18),-0.0595197 # DEPENDENCYPART_TRISIBL
(2,6),(2,11),(2,19),-0.0260553 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,13),(2,16),-0.0318765 # DEPENDENCYPART_TRISIBL
(2,6),(2,13),(2,18),-0.0605187 # DEPENDENCYPART_TRISIBL
(2,6),(2,13),(2,19),-0.0240801 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,16),(2,18),-0.0595197 # DEPENDENCYPART_TRISIBL
(2,6),(2,16),(2,19),-0.0260553 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,18),(2,19),0.0101738 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,8),(2,9),-0.0764992 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,10),-0.02723 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,11),-0.00340136 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,13),-0.0277457 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,16),-0.00340136 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,18),-0.0930261 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,19),-0.0671346 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,9),(2,10),0.0162927 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,11),0.036876 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,13),0.015519 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,16),0.036876 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,18),-0.0823463 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,19),-0.142057 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,10),(2,11),0.0187824 # DEPENDENCYPART_TRISIBL
(2,7),(2,10),(2,13),-0.0279705 # DEPENDENCYPART_TRISIBL
(2,7),(2,10),(2,16),0.0187824 # DEPENDENCYPART_TRISIBL
(2,7),(2,10),(2,18),-0.0882275 # DEPENDENCYPART_TRISIBL
(2,7),(2,10),(2,19),-0.0740818 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,11),(2,13),-0.0476952 # DEPENDENCYPART_TRISIBL
(2,7),(2,11),(2,16),0.0656263 # DEPENDENCYPART_TRISIBL
(2,7),(2,11),(2,18),-0.0694698 # DEPENDENCYPART_TRISIBL
(2,7),(2,11),(2,19),-0.0536933 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,13),(2,16),0.0187824 # DEPENDENCYPART_TRISIBL
(2,7),(2,13),(2,18),-0.0882275 # DEPENDENCYPART_TRISIBL
(2,7),(2,13),(2,19),-0.0740941 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,16),(2,18),-0.0694698 # DEPENDENCYPART_TRISIBL
(2,7),(2,16),(2,19),-0.0536933 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,18),(2,19),-0.0482266 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,9),(2,10),-0.044808 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,11),0.0353997 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,13),-0.0422381 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,16),0.0353997 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,18),-0.120476 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,19),-0.0695521 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,10),(2,11),-0.030904 # DEPENDENCYPART_TRISIBL
(2,8),(2,10),(2,13),-0.0964303 # DEPENDENCYPART_TRISIBL
(2,8),(2,10),(2,16),-0.030904 # DEPENDENCYPART_TRISIBL
(2,8),(2,10),(2,18),-0.0572157 # DEPENDENCYPART_TRISIBL
(2,8),(2,10),(2,19),-0.0415463 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,11),(2,13),-0.0643319 # DEPENDENCYPART_TRISIBL
(2,8),(2,11),(2,16),-0.0198724 # DEPENDENCYPART_TRISIBL
(2,8),(2,11),(2,18),-0.0594904 # DEPENDENCYPART_TRISIBL
(2,8),(2,11),(2,19),-0.022939 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,13),(2,16),-0.0319021 # DEPENDENCYPART_TRISIBL
(2,8),(2,13),(2,18),-0.0614268 # DEPENDENCYPART_TRISIBL
(2,8),(2,13),(2,19),-0.0244756 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,16),(2,18),-0.0594904 # DEPENDENCYPART_TRISIBL
(2,8),(2,16),(2,19),-0.022939 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,18),(2,19),0.00878873 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,10),(2,11),-0.000469592 # DEPENDENCYPART_TRISIBL
(2,9),(2,10),(2,13),-0.0301768 # DEPENDENCYPART_TRISIBL
(2,9),(2,10),(2,16),-0.000469592 # DEPENDENCYPART_TRISIBL
(2,9),(2,10),(2,18),0.0468914 # DEPENDENCYPART_TRISIBL
(2,9),(2,10),(2,19),0.0224815 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,11),(2,13),-0.0149047 # DEPENDENCYPART_TRISIBL
(2,9),(2,11),(2,16),-0.119084 # DEPENDENCYPART_TRISIBL
(2,9),(2,11),(2,18),0.0171116 # DEPENDENCYPART_TRISIBL
(2,9),(2,11),(2,19),-0.0391976 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,13),(2,16),-0.000470994 # DEPENDENCYPART_TRISIBL
(2,9),(2,13),(2,18),0.0433779 # DEPENDENCYPART_TRISIBL
(2,9),(2,13),(2,19),0.0246892 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,16),(2,18),0.0171116 # DEPENDENCYPART_TRISIBL
(2,9),(2,16),(2,19),-0.0391976 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,18),(2,19),-0.139503 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,10),(2,11),(2,13),-0.0891523 # DEPENDENCYPART_TRISIBL
(2,10),(2,11),(2,16),-0.071099 # DEPENDENCYPART_TRISIBL
(2,10),(2,11),(2,18),0.0414635 # DEPENDENCYPART_TRISIBL
(2,10),(2,11),(2,19),-0.000704172 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,10),(2,13),(2,16),-0.0499861 # DEPENDENCYPART_TRISIBL
(2,10),(2,13),(2,18),-0.118579 # DEPENDENCYPART_TRISIBL
(2,10),(2,13),(2,19),-0.0562841 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,10),(2,16),(2,18),0.0414635 # DEPENDENCYPART_TRISIBL
(2,10),(2,16),(2,19),-0.000704172 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,10),(2,18),(2,19),0.00759328 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,11),(2,13),(2,16),-0.0756386 # DEPENDENCYPART_TRISIBL
(2,11),(2,13),(2,18),-0.0887684 # DEPENDENCYPART_TRISIBL
(2,11),(2,13),(2,19),-0.0393397 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,11),(2,16),(2,18),-0.0789213 # DEPENDENCYPART_TRISIBL
(2,11),(2,16),(2,19),-0.0214434 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,11),(2,18),(2,19),-0.0406542 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,13),(2,16),(2,18),0.0626955 # DEPENDENCYPART_TRISIBL
(2,13),(2,16),(2,19),-0.00143807 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,13),(2,18),(2,19),0.00193541 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,16),(2,18),(2,19),-0.0406542 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,3),(3,5),(3,19),-0.437435 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,5),(4,6),-0.0945829 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,7),-0.109613 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,8),-0.0967291 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,9),-0.0860668 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,10),-0.0816024 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,11),-0.0557609 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,15),-0.0993403 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,18),-0.178325 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,19),-0.164873 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,6),(4,7),-0.114301 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,8),-0.141481 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,9),-0.0862583 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,10),-0.0624988 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,11),-0.0237516 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,15),-0.141633 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,18),-0.135351 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,19),-0.175942 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,7),(4,8),-0.129983 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,9),-0.0621423 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,10),-0.0559146 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,11),-0.0583088 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,15),-0.130339 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,18),-0.00914628 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,19),-0.083296 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,8),(4,9),-0.0863668 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,10),-0.063034 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,11),-0.0232733 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
