# _root_ ( After 1992 , the winter and summer Olympics will be held two years apart , with the revised schedule beginning with the winter games in 1994 and the summer games in 1996 . )
#goldHeads=10,10,2,10,9,7,9,7,10,0,10,11,14,15,12,12,12,20,20,21,17,21,25,25,28,25,26,22,31,31,28,31,32,10,10,
#predictedHeads=10,10,2,10,9,7,9,7,10,0,10,11,14,12,12,12,12,20,20,17,20,21,25,25,22,21,26,22,31,31,28,31,32,10,28,
(28,26),(28,25),(28,22),-0.130999 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,21),-0.153725 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,20),-0.124182 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,19),-0.0759394 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,18),-0.070786 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,17),-0.130999 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,16),-0.109951 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,15),-0.0678034 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,14),-0.125124 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,13),-0.0902001 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,12),-0.153894 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,11),-0.15415 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,10),-0.0894804 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,8),-0.125154 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,7),-0.0959643 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,4),-0.109951 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,2),-0.131405 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,-1),-0.0238884 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,24),(28,23),-0.070786 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,22),-0.130999 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,21),-0.153725 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,20),-0.124182 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,19),-0.0759247 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,18),-0.070786 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,17),-0.130999 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,16),-0.109951 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,15),-0.0678034 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,14),-0.125124 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,13),-0.0901997 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,12),-0.153894 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,11),-0.15415 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,10),-0.0894804 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,8),-0.125154 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,7),-0.0959643 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,4),-0.109951 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,2),-0.131405 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,-1),-0.0236364 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,23),(28,22),-0.095667 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,21),-0.130488 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,20),-0.105253 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,19),-0.069531 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,18),-0.0675011 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,17),-0.095667 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,16),-0.111645 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,15),-0.0612357 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,14),-0.105985 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,13),-0.0854639 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,12),-0.130657 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,11),-0.130911 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,10),-0.0882116 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,8),-0.106224 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,7),-0.0943818 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,4),-0.111645 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,2),-0.093398 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,-1),-0.0355782 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,22),(28,21),-0.0841784 # DEPENDENCYPART_TRISIBL
(28,26),(28,22),(28,20),-0.123145 # DEPENDENCYPART_TRISIBL
(28,26),(28,22),(28,19),-0.069216 # DEPENDENCYPART_TRISIBL
(28,26),(28,22),(28,18),-0.0710939 # DEPENDENCYPART_TRISIBL
(28,26),(28,22),(28,17),-0.103538 # DEPENDENCYPART_TRISIBL
(28,26),(28,22),(28,16),-0.111836 # DEPENDENCYPART_TRISIBL
(28,26),(28,22),(28,15),-0.0651353 # DEPENDENCYPART_TRISIBL
(28,26),(28,22),(28,14),-0.124155 # DEPENDENCYPART_TRISIBL
(28,26),(28,22),(28,13),-0.0838127 # DEPENDENCYPART_TRISIBL
(28,26),(28,22),(28,12),-0.0843626 # DEPENDENCYPART_TRISIBL
(28,26),(28,22),(28,11),-0.0846993 # DEPENDENCYPART_TRISIBL
(28,26),(28,22),(28,10),-0.0888866 # DEPENDENCYPART_TRISIBL
(28,26),(28,22),(28,8),-0.124209 # DEPENDENCYPART_TRISIBL
(28,26),(28,22),(28,7),-0.0963507 # DEPENDENCYPART_TRISIBL
(28,26),(28,22),(28,4),-0.111836 # DEPENDENCYPART_TRISIBL
(28,26),(28,22),(28,2),-0.100756 # DEPENDENCYPART_TRISIBL
(28,26),(28,22),(28,-1),-0.0543849 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,21),(28,20),-0.124716 # DEPENDENCYPART_TRISIBL
(28,26),(28,21),(28,19),-0.0698138 # DEPENDENCYPART_TRISIBL
(28,26),(28,21),(28,18),-0.0714949 # DEPENDENCYPART_TRISIBL
(28,26),(28,21),(28,17),-0.1074 # DEPENDENCYPART_TRISIBL
(28,26),(28,21),(28,16),-0.120417 # DEPENDENCYPART_TRISIBL
(28,26),(28,21),(28,15),-0.0604495 # DEPENDENCYPART_TRISIBL
(28,26),(28,21),(28,14),-0.125466 # DEPENDENCYPART_TRISIBL
(28,26),(28,21),(28,13),-0.0842647 # DEPENDENCYPART_TRISIBL
(28,26),(28,21),(28,12),-0.160447 # DEPENDENCYPART_TRISIBL
(28,26),(28,21),(28,11),-0.16086 # DEPENDENCYPART_TRISIBL
(28,26),(28,21),(28,10),-0.0933859 # DEPENDENCYPART_TRISIBL
(28,26),(28,21),(28,8),-0.125687 # DEPENDENCYPART_TRISIBL
(28,26),(28,21),(28,7),-0.0968322 # DEPENDENCYPART_TRISIBL
(28,26),(28,21),(28,4),-0.120417 # DEPENDENCYPART_TRISIBL
(28,26),(28,21),(28,2),-0.104759 # DEPENDENCYPART_TRISIBL
(28,26),(28,21),(28,-1),-0.0895766 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,20),(28,19),-0.0759247 # DEPENDENCYPART_TRISIBL
(28,26),(28,20),(28,18),-0.070786 # DEPENDENCYPART_TRISIBL
(28,26),(28,20),(28,17),-0.130999 # DEPENDENCYPART_TRISIBL
(28,26),(28,20),(28,16),-0.109951 # DEPENDENCYPART_TRISIBL
(28,26),(28,20),(28,15),-0.0678034 # DEPENDENCYPART_TRISIBL
(28,26),(28,20),(28,14),-0.125124 # DEPENDENCYPART_TRISIBL
(28,26),(28,20),(28,13),-0.0901997 # DEPENDENCYPART_TRISIBL
(28,26),(28,20),(28,12),-0.153894 # DEPENDENCYPART_TRISIBL
(28,26),(28,20),(28,11),-0.15415 # DEPENDENCYPART_TRISIBL
(28,26),(28,20),(28,10),-0.0894804 # DEPENDENCYPART_TRISIBL
(28,26),(28,20),(28,8),-0.125154 # DEPENDENCYPART_TRISIBL
(28,26),(28,20),(28,7),-0.0959643 # DEPENDENCYPART_TRISIBL
(28,26),(28,20),(28,4),-0.109951 # DEPENDENCYPART_TRISIBL
(28,26),(28,20),(28,2),-0.131405 # DEPENDENCYPART_TRISIBL
(28,26),(28,20),(28,-1),-0.0236364 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,19),(28,18),-0.0826905 # DEPENDENCYPART_TRISIBL
(28,26),(28,19),(28,17),-0.0911304 # DEPENDENCYPART_TRISIBL
(28,26),(28,19),(28,16),-0.104682 # DEPENDENCYPART_TRISIBL
(28,26),(28,19),(28,15),-0.0565617 # DEPENDENCYPART_TRISIBL
(28,26),(28,19),(28,14),-0.0914769 # DEPENDENCYPART_TRISIBL
(28,26),(28,19),(28,13),-0.084233 # DEPENDENCYPART_TRISIBL
(28,26),(28,19),(28,12),-0.13648 # DEPENDENCYPART_TRISIBL
(28,26),(28,19),(28,11),-0.136734 # DEPENDENCYPART_TRISIBL
(28,26),(28,19),(28,10),-0.0885367 # DEPENDENCYPART_TRISIBL
(28,26),(28,19),(28,8),-0.0917134 # DEPENDENCYPART_TRISIBL
(28,26),(28,19),(28,7),-0.092594 # DEPENDENCYPART_TRISIBL
(28,26),(28,19),(28,4),-0.104682 # DEPENDENCYPART_TRISIBL
(28,26),(28,19),(28,2),-0.0888495 # DEPENDENCYPART_TRISIBL
(28,26),(28,19),(28,-1),-0.0745094 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,18),(28,17),-0.095667 # DEPENDENCYPART_TRISIBL
(28,26),(28,18),(28,16),-0.111645 # DEPENDENCYPART_TRISIBL
(28,26),(28,18),(28,15),-0.0612357 # DEPENDENCYPART_TRISIBL
(28,26),(28,18),(28,14),-0.105985 # DEPENDENCYPART_TRISIBL
(28,26),(28,18),(28,13),-0.0854639 # DEPENDENCYPART_TRISIBL
(28,26),(28,18),(28,12),-0.130657 # DEPENDENCYPART_TRISIBL
(28,26),(28,18),(28,11),-0.130911 # DEPENDENCYPART_TRISIBL
(28,26),(28,18),(28,10),-0.0882116 # DEPENDENCYPART_TRISIBL
(28,26),(28,18),(28,8),-0.106224 # DEPENDENCYPART_TRISIBL
(28,26),(28,18),(28,7),-0.0943818 # DEPENDENCYPART_TRISIBL
(28,26),(28,18),(28,4),-0.111645 # DEPENDENCYPART_TRISIBL
(28,26),(28,18),(28,2),-0.093398 # DEPENDENCYPART_TRISIBL
(28,26),(28,18),(28,-1),-0.0355782 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,17),(28,16),-0.111836 # DEPENDENCYPART_TRISIBL
(28,26),(28,17),(28,15),-0.0651353 # DEPENDENCYPART_TRISIBL
(28,26),(28,17),(28,14),-0.124155 # DEPENDENCYPART_TRISIBL
(28,26),(28,17),(28,13),-0.0838127 # DEPENDENCYPART_TRISIBL
(28,26),(28,17),(28,12),-0.0843626 # DEPENDENCYPART_TRISIBL
(28,26),(28,17),(28,11),-0.0846993 # DEPENDENCYPART_TRISIBL
(28,26),(28,17),(28,10),-0.0888866 # DEPENDENCYPART_TRISIBL
(28,26),(28,17),(28,8),-0.124209 # DEPENDENCYPART_TRISIBL
(28,26),(28,17),(28,7),-0.0963507 # DEPENDENCYPART_TRISIBL
(28,26),(28,17),(28,4),-0.111836 # DEPENDENCYPART_TRISIBL
(28,26),(28,17),(28,2),-0.100756 # DEPENDENCYPART_TRISIBL
(28,26),(28,17),(28,-1),-0.0543849 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,16),(28,15),-0.0481931 # DEPENDENCYPART_TRISIBL
(28,26),(28,16),(28,14),-0.0704293 # DEPENDENCYPART_TRISIBL
(28,26),(28,16),(28,13),-0.0914603 # DEPENDENCYPART_TRISIBL
(28,26),(28,16),(28,12),-0.18782 # DEPENDENCYPART_TRISIBL
(28,26),(28,16),(28,11),-0.187939 # DEPENDENCYPART_TRISIBL
(28,26),(28,16),(28,10),-0.108254 # DEPENDENCYPART_TRISIBL
(28,26),(28,16),(28,8),-0.0711083 # DEPENDENCYPART_TRISIBL
(28,26),(28,16),(28,7),-0.0789562 # DEPENDENCYPART_TRISIBL
(28,26),(28,16),(28,4),-0.104639 # DEPENDENCYPART_TRISIBL
(28,26),(28,16),(28,2),-0.0205004 # DEPENDENCYPART_TRISIBL
(28,26),(28,16),(28,-1),-0.102427 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,15),(28,14),-0.122129 # DEPENDENCYPART_TRISIBL
(28,26),(28,15),(28,13),-0.0866251 # DEPENDENCYPART_TRISIBL
(28,26),(28,15),(28,12),-0.14019 # DEPENDENCYPART_TRISIBL
(28,26),(28,15),(28,11),-0.140443 # DEPENDENCYPART_TRISIBL
(28,26),(28,15),(28,10),-0.0906234 # DEPENDENCYPART_TRISIBL
(28,26),(28,15),(28,8),-0.122368 # DEPENDENCYPART_TRISIBL
(28,26),(28,15),(28,7),-0.101001 # DEPENDENCYPART_TRISIBL
(28,26),(28,15),(28,4),-0.0994877 # DEPENDENCYPART_TRISIBL
(28,26),(28,15),(28,2),-0.098518 # DEPENDENCYPART_TRISIBL
(28,26),(28,15),(28,-1),-0.0225112 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,14),(28,13),-0.0902019 # DEPENDENCYPART_TRISIBL
(28,26),(28,14),(28,12),-0.15391 # DEPENDENCYPART_TRISIBL
(28,26),(28,14),(28,11),-0.154166 # DEPENDENCYPART_TRISIBL
(28,26),(28,14),(28,10),-0.0895001 # DEPENDENCYPART_TRISIBL
(28,26),(28,14),(28,8),-0.125154 # DEPENDENCYPART_TRISIBL
(28,26),(28,14),(28,7),-0.0959643 # DEPENDENCYPART_TRISIBL
(28,26),(28,14),(28,4),-0.109955 # DEPENDENCYPART_TRISIBL
(28,26),(28,14),(28,2),-0.131405 # DEPENDENCYPART_TRISIBL
(28,26),(28,14),(28,-1),-0.00785886 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,13),(28,12),-0.130136 # DEPENDENCYPART_TRISIBL
(28,26),(28,13),(28,11),-0.13039 # DEPENDENCYPART_TRISIBL
(28,26),(28,13),(28,10),-0.0881863 # DEPENDENCYPART_TRISIBL
(28,26),(28,13),(28,8),-0.105886 # DEPENDENCYPART_TRISIBL
(28,26),(28,13),(28,7),-0.0937109 # DEPENDENCYPART_TRISIBL
(28,26),(28,13),(28,4),-0.104176 # DEPENDENCYPART_TRISIBL
(28,26),(28,13),(28,2),-0.0936766 # DEPENDENCYPART_TRISIBL
(28,26),(28,13),(28,-1),-0.0909011 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,12),(28,11),-0.160963 # DEPENDENCYPART_TRISIBL
(28,26),(28,12),(28,10),-0.0933859 # DEPENDENCYPART_TRISIBL
(28,26),(28,12),(28,8),-0.125687 # DEPENDENCYPART_TRISIBL
(28,26),(28,12),(28,7),-0.0968322 # DEPENDENCYPART_TRISIBL
(28,26),(28,12),(28,4),-0.120417 # DEPENDENCYPART_TRISIBL
(28,26),(28,12),(28,2),-0.10476 # DEPENDENCYPART_TRISIBL
(28,26),(28,12),(28,-1),-0.089628 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,11),(28,10),-0.093605 # DEPENDENCYPART_TRISIBL
(28,26),(28,11),(28,8),-0.125695 # DEPENDENCYPART_TRISIBL
(28,26),(28,11),(28,7),-0.0968323 # DEPENDENCYPART_TRISIBL
(28,26),(28,11),(28,4),-0.120417 # DEPENDENCYPART_TRISIBL
(28,26),(28,11),(28,2),-0.104759 # DEPENDENCYPART_TRISIBL
(28,26),(28,11),(28,-1),-0.0895806 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,10),(28,8),-0.110145 # DEPENDENCYPART_TRISIBL
(28,26),(28,10),(28,7),-0.092982 # DEPENDENCYPART_TRISIBL
(28,26),(28,10),(28,4),-0.103618 # DEPENDENCYPART_TRISIBL
(28,26),(28,10),(28,2),-0.0935865 # DEPENDENCYPART_TRISIBL
(28,26),(28,10),(28,-1),-0.0948813 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,8),(28,7),-0.0959644 # DEPENDENCYPART_TRISIBL
(28,26),(28,8),(28,4),-0.109951 # DEPENDENCYPART_TRISIBL
(28,26),(28,8),(28,2),-0.131458 # DEPENDENCYPART_TRISIBL
(28,26),(28,8),(28,-1),-0.0242825 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,7),(28,4),-0.105906 # DEPENDENCYPART_TRISIBL
(28,26),(28,7),(28,2),-0.103763 # DEPENDENCYPART_TRISIBL
(28,26),(28,7),(28,-1),-0.0557281 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,4),(28,2),-0.0205004 # DEPENDENCYPART_TRISIBL
(28,26),(28,4),(28,-1),-0.102427 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,2),(28,-1),-0.052814 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,25),(28,24),(28,23),0.0573795 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,22),-0.152637 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,21),-0.197527 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,20),-0.147491 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,19),0.037237 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,18),0.0573795 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,17),-0.152637 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,16),-0.153436 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,15),-0.0440423 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,14),-0.133648 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,13),-0.00528251 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,12),-0.190027 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,11),-0.198085 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,10),-0.124421 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,8),-0.142775 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,7),-0.148179 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,4),-0.153436 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,2),-0.148135 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,-1),-0.0539311 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,25),(28,23),(28,22),-0.111241 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,21),-0.192492 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,20),-0.141054 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,19),0.00389588 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,18),0.044109 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,17),-0.111241 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,16),-0.113833 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,15),-0.046858 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,14),-0.127618 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,13),-0.0575741 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,12),-0.188694 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,11),-0.193202 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,10),-0.120772 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,8),-0.136041 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,7),-0.12728 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,4),-0.113833 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,2),-0.107248 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,-1),0.0727111 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,25),(28,22),(28,21),-0.211166 # DEPENDENCYPART_TRISIBL
(28,25),(28,22),(28,20),-0.13486 # DEPENDENCYPART_TRISIBL
(28,25),(28,22),(28,19),-0.00196126 # DEPENDENCYPART_TRISIBL
(28,25),(28,22),(28,18),0.0632532 # DEPENDENCYPART_TRISIBL
(28,25),(28,22),(28,17),-0.104684 # DEPENDENCYPART_TRISIBL
(28,25),(28,22),(28,16),-0.097899 # DEPENDENCYPART_TRISIBL
(28,25),(28,22),(28,15),-0.0365628 # DEPENDENCYPART_TRISIBL
(28,25),(28,22),(28,14),-0.111158 # DEPENDENCYPART_TRISIBL
(28,25),(28,22),(28,13),-0.0598366 # DEPENDENCYPART_TRISIBL
(28,25),(28,22),(28,12),-0.207368 # DEPENDENCYPART_TRISIBL
(28,25),(28,22),(28,11),-0.211733 # DEPENDENCYPART_TRISIBL
(28,25),(28,22),(28,10),-0.128826 # DEPENDENCYPART_TRISIBL
(28,25),(28,22),(28,8),-0.129918 # DEPENDENCYPART_TRISIBL
(28,25),(28,22),(28,7),-0.124705 # DEPENDENCYPART_TRISIBL
(28,25),(28,22),(28,4),-0.097899 # DEPENDENCYPART_TRISIBL
(28,25),(28,22),(28,2),-0.0993435 # DEPENDENCYPART_TRISIBL
(28,25),(28,22),(28,-1),-0.0195626 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,25),(28,21),(28,20),-0.130888 # DEPENDENCYPART_TRISIBL
(28,25),(28,21),(28,19),0.00348565 # DEPENDENCYPART_TRISIBL
(28,25),(28,21),(28,18),0.0889629 # DEPENDENCYPART_TRISIBL
(28,25),(28,21),(28,17),-0.0753214 # DEPENDENCYPART_TRISIBL
(28,25),(28,21),(28,16),-0.113561 # DEPENDENCYPART_TRISIBL
(28,25),(28,21),(28,15),-0.0503956 # DEPENDENCYPART_TRISIBL
(28,25),(28,21),(28,14),-0.117043 # DEPENDENCYPART_TRISIBL
(28,25),(28,21),(28,13),-0.0583866 # DEPENDENCYPART_TRISIBL
(28,25),(28,21),(28,12),-0.221705 # DEPENDENCYPART_TRISIBL
(28,25),(28,21),(28,11),-0.226168 # DEPENDENCYPART_TRISIBL
(28,25),(28,21),(28,10),-0.137551 # DEPENDENCYPART_TRISIBL
(28,25),(28,21),(28,8),-0.125876 # DEPENDENCYPART_TRISIBL
(28,25),(28,21),(28,7),-0.123367 # DEPENDENCYPART_TRISIBL
(28,25),(28,21),(28,4),-0.113561 # DEPENDENCYPART_TRISIBL
(28,25),(28,21),(28,2),-0.0782896 # DEPENDENCYPART_TRISIBL
(28,25),(28,21),(28,-1),-0.101545 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,25),(28,20),(28,19),0.0372369 # DEPENDENCYPART_TRISIBL
(28,25),(28,20),(28,18),0.0572269 # DEPENDENCYPART_TRISIBL
(28,25),(28,20),(28,17),-0.152636 # DEPENDENCYPART_TRISIBL
(28,25),(28,20),(28,16),-0.153436 # DEPENDENCYPART_TRISIBL
(28,25),(28,20),(28,15),-0.0440423 # DEPENDENCYPART_TRISIBL
(28,25),(28,20),(28,14),-0.133648 # DEPENDENCYPART_TRISIBL
(28,25),(28,20),(28,13),-0.00528247 # DEPENDENCYPART_TRISIBL
(28,25),(28,20),(28,12),-0.190027 # DEPENDENCYPART_TRISIBL
(28,25),(28,20),(28,11),-0.198085 # DEPENDENCYPART_TRISIBL
(28,25),(28,20),(28,10),-0.124421 # DEPENDENCYPART_TRISIBL
(28,25),(28,20),(28,8),-0.142774 # DEPENDENCYPART_TRISIBL
(28,25),(28,20),(28,7),-0.148179 # DEPENDENCYPART_TRISIBL
(28,25),(28,20),(28,4),-0.153436 # DEPENDENCYPART_TRISIBL
(28,25),(28,20),(28,2),-0.148134 # DEPENDENCYPART_TRISIBL
(28,25),(28,20),(28,-1),-0.0539311 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,25),(28,19),(28,18),0.148553 # DEPENDENCYPART_TRISIBL
(28,25),(28,19),(28,17),-0.0559509 # DEPENDENCYPART_TRISIBL
(28,25),(28,19),(28,16),-0.110019 # DEPENDENCYPART_TRISIBL
(28,25),(28,19),(28,15),-0.079964 # DEPENDENCYPART_TRISIBL
(28,25),(28,19),(28,14),-0.0769074 # DEPENDENCYPART_TRISIBL
(28,25),(28,19),(28,13),-0.00952096 # DEPENDENCYPART_TRISIBL
(28,25),(28,19),(28,12),-0.183068 # DEPENDENCYPART_TRISIBL
(28,25),(28,19),(28,11),-0.187262 # DEPENDENCYPART_TRISIBL
(28,25),(28,19),(28,10),-0.122979 # DEPENDENCYPART_TRISIBL
(28,25),(28,19),(28,8),-0.0857249 # DEPENDENCYPART_TRISIBL
(28,25),(28,19),(28,7),-0.133169 # DEPENDENCYPART_TRISIBL
(28,25),(28,19),(28,4),-0.110019 # DEPENDENCYPART_TRISIBL
(28,25),(28,19),(28,2),-0.0576763 # DEPENDENCYPART_TRISIBL
(28,25),(28,19),(28,-1),-0.00071641 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,25),(28,18),(28,17),-0.111241 # DEPENDENCYPART_TRISIBL
(28,25),(28,18),(28,16),-0.113833 # DEPENDENCYPART_TRISIBL
(28,25),(28,18),(28,15),-0.046858 # DEPENDENCYPART_TRISIBL
(28,25),(28,18),(28,14),-0.127618 # DEPENDENCYPART_TRISIBL
(28,25),(28,18),(28,13),-0.0575741 # DEPENDENCYPART_TRISIBL
(28,25),(28,18),(28,12),-0.188694 # DEPENDENCYPART_TRISIBL
(28,25),(28,18),(28,11),-0.193202 # DEPENDENCYPART_TRISIBL
(28,25),(28,18),(28,10),-0.120772 # DEPENDENCYPART_TRISIBL
(28,25),(28,18),(28,8),-0.136041 # DEPENDENCYPART_TRISIBL
(28,25),(28,18),(28,7),-0.12728 # DEPENDENCYPART_TRISIBL
(28,25),(28,18),(28,4),-0.113833 # DEPENDENCYPART_TRISIBL
(28,25),(28,18),(28,2),-0.107248 # DEPENDENCYPART_TRISIBL
(28,25),(28,18),(28,-1),0.0727111 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,25),(28,17),(28,16),-0.097899 # DEPENDENCYPART_TRISIBL
(28,25),(28,17),(28,15),-0.0365628 # DEPENDENCYPART_TRISIBL
(28,25),(28,17),(28,14),-0.111158 # DEPENDENCYPART_TRISIBL
(28,25),(28,17),(28,13),-0.0598366 # DEPENDENCYPART_TRISIBL
(28,25),(28,17),(28,12),-0.207368 # DEPENDENCYPART_TRISIBL
(28,25),(28,17),(28,11),-0.211733 # DEPENDENCYPART_TRISIBL
(28,25),(28,17),(28,10),-0.128826 # DEPENDENCYPART_TRISIBL
(28,25),(28,17),(28,8),-0.129918 # DEPENDENCYPART_TRISIBL
(28,25),(28,17),(28,7),-0.124705 # DEPENDENCYPART_TRISIBL
(28,25),(28,17),(28,4),-0.097899 # DEPENDENCYPART_TRISIBL
(28,25),(28,17),(28,2),-0.0993435 # DEPENDENCYPART_TRISIBL
(28,25),(28,17),(28,-1),-0.0195626 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,25),(28,16),(28,15),-0.0703092 # DEPENDENCYPART_TRISIBL
(28,25),(28,16),(28,14),0.133225 # DEPENDENCYPART_TRISIBL
