# _root_ Gains in advertising revenue , however , resulted in operating profit of $ 78.4 million -- up 20 % from $ 65.6 million .
#goldHeads=8,1,4,2,8,8,8,0,8,11,9,11,12,13,13,13,13,19,17,17,20,21,21,8,
#predictedHeads=8,1,4,2,8,8,8,0,8,11,9,11,12,13,13,13,13,19,17,17,20,21,21,8,
(1,1),(1,5),(1,9),-0.209478 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,5),(1,11),-0.0841917 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,5),(1,16),-0.211418 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,5),(1,20),-0.22958 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,5),(1,24),-0.22766 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,5),(1,25),-0.72395 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,6),(1,7),-0.115738 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,6),(1,8),-0.112286 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,6),(1,9),-0.0240487 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,6),(1,11),-0.144924 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,6),(1,16),-0.176546 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,6),(1,20),-0.042439 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,6),(1,24),-0.146146 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,6),(1,25),-0.10891 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,7),(1,8),-0.175035 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,7),(1,9),-0.209478 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,7),(1,11),-0.0841917 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,7),(1,16),-0.211418 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,7),(1,20),-0.22958 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,7),(1,24),-0.22766 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,7),(1,25),-0.72395 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,8),(1,9),-0.0638965 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,8),(1,11),-0.152896 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,8),(1,16),-0.0723252 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,8),(1,20),-0.141275 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,8),(1,24),-0.0825713 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,8),(1,25),-0.0936107 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,9),(1,11),-0.126116 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,9),(1,16),-0.167155 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,9),(1,20),-0.125525 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,9),(1,24),-0.163283 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,9),(1,25),-0.10551 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,11),(1,16),-0.204417 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,11),(1,20),-0.0136148 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,11),(1,24),-0.113426 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,11),(1,25),-0.110634 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,16),(1,20),-0.205096 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,16),(1,24),-0.165369 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,16),(1,25),-0.261725 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,20),(1,24),-0.151764 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,20),(1,25),-0.11134 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,24),(1,25),-0.191454 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,2),(1,3),(1,4),-0.0536654 # DEPENDENCYPART_TRISIBL
(1,2),(1,3),(1,5),-0.0614572 # DEPENDENCYPART_TRISIBL
(1,2),(1,3),(1,6),-0.0882722 # DEPENDENCYPART_TRISIBL
(1,2),(1,3),(1,7),-0.0614572 # DEPENDENCYPART_TRISIBL
(1,2),(1,3),(1,8),-0.053074 # DEPENDENCYPART_TRISIBL
(1,2),(1,3),(1,9),-0.0888131 # DEPENDENCYPART_TRISIBL
(1,2),(1,3),(1,11),-0.0535677 # DEPENDENCYPART_TRISIBL
(1,2),(1,3),(1,16),-0.0893949 # DEPENDENCYPART_TRISIBL
(1,2),(1,3),(1,20),-0.0607064 # DEPENDENCYPART_TRISIBL
(1,2),(1,3),(1,24),-0.0798338 # DEPENDENCYPART_TRISIBL
(1,2),(1,3),(1,25),-0.0148926 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,2),(1,4),(1,5),-0.0614602 # DEPENDENCYPART_TRISIBL
(1,2),(1,4),(1,6),-0.0882722 # DEPENDENCYPART_TRISIBL
(1,2),(1,4),(1,7),-0.0614602 # DEPENDENCYPART_TRISIBL
(1,2),(1,4),(1,8),-0.0530741 # DEPENDENCYPART_TRISIBL
(1,2),(1,4),(1,9),-0.0889376 # DEPENDENCYPART_TRISIBL
(1,2),(1,4),(1,11),-0.0535669 # DEPENDENCYPART_TRISIBL
(1,2),(1,4),(1,16),-0.0893949 # DEPENDENCYPART_TRISIBL
(1,2),(1,4),(1,20),-0.060831 # DEPENDENCYPART_TRISIBL
(1,2),(1,4),(1,24),-0.079834 # DEPENDENCYPART_TRISIBL
(1,2),(1,4),(1,25),-0.0131877 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,2),(1,5),(1,6),-0.060258 # DEPENDENCYPART_TRISIBL
(1,2),(1,5),(1,7),-0.0490314 # DEPENDENCYPART_TRISIBL
(1,2),(1,5),(1,8),0.018157 # DEPENDENCYPART_TRISIBL
(1,2),(1,5),(1,9),0.0405399 # DEPENDENCYPART_TRISIBL
(1,2),(1,5),(1,11),0.0743718 # DEPENDENCYPART_TRISIBL
(1,2),(1,5),(1,16),-0.0815868 # DEPENDENCYPART_TRISIBL
(1,2),(1,5),(1,20),0.0553663 # DEPENDENCYPART_TRISIBL
(1,2),(1,5),(1,24),-0.0933351 # DEPENDENCYPART_TRISIBL
(1,2),(1,5),(1,25),-0.16045 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,2),(1,6),(1,7),-0.0243209 # DEPENDENCYPART_TRISIBL
(1,2),(1,6),(1,8),-0.0789923 # DEPENDENCYPART_TRISIBL
(1,2),(1,6),(1,9),-0.0142858 # DEPENDENCYPART_TRISIBL
(1,2),(1,6),(1,11),-0.0581761 # DEPENDENCYPART_TRISIBL
(1,2),(1,6),(1,16),-0.0786538 # DEPENDENCYPART_TRISIBL
(1,2),(1,6),(1,20),0.00876778 # DEPENDENCYPART_TRISIBL
(1,2),(1,6),(1,24),-0.0664939 # DEPENDENCYPART_TRISIBL
(1,2),(1,6),(1,25),-0.114512 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,2),(1,7),(1,8),0.018157 # DEPENDENCYPART_TRISIBL
(1,2),(1,7),(1,9),0.0405399 # DEPENDENCYPART_TRISIBL
(1,2),(1,7),(1,11),0.0743718 # DEPENDENCYPART_TRISIBL
(1,2),(1,7),(1,16),-0.0815868 # DEPENDENCYPART_TRISIBL
(1,2),(1,7),(1,20),0.0553663 # DEPENDENCYPART_TRISIBL
(1,2),(1,7),(1,24),-0.0933351 # DEPENDENCYPART_TRISIBL
(1,2),(1,7),(1,25),-0.16045 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,2),(1,8),(1,9),-0.067619 # DEPENDENCYPART_TRISIBL
(1,2),(1,8),(1,11),-0.0253334 # DEPENDENCYPART_TRISIBL
(1,2),(1,8),(1,16),-0.0271167 # DEPENDENCYPART_TRISIBL
(1,2),(1,8),(1,20),-0.0319604 # DEPENDENCYPART_TRISIBL
(1,2),(1,8),(1,24),-0.105966 # DEPENDENCYPART_TRISIBL
(1,2),(1,8),(1,25),-0.0696218 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,2),(1,9),(1,11),-0.0305635 # DEPENDENCYPART_TRISIBL
(1,2),(1,9),(1,16),-0.0618104 # DEPENDENCYPART_TRISIBL
(1,2),(1,9),(1,20),-0.0370192 # DEPENDENCYPART_TRISIBL
(1,2),(1,9),(1,24),-0.0951786 # DEPENDENCYPART_TRISIBL
(1,2),(1,9),(1,25),-0.0505901 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,2),(1,11),(1,16),-0.0900849 # DEPENDENCYPART_TRISIBL
(1,2),(1,11),(1,20),-0.0618418 # DEPENDENCYPART_TRISIBL
(1,2),(1,11),(1,24),-0.079993 # DEPENDENCYPART_TRISIBL
(1,2),(1,11),(1,25),-0.0108585 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,2),(1,16),(1,20),-0.0167616 # DEPENDENCYPART_TRISIBL
(1,2),(1,16),(1,24),-0.0687635 # DEPENDENCYPART_TRISIBL
(1,2),(1,16),(1,25),-0.134422 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,2),(1,20),(1,24),-0.0938202 # DEPENDENCYPART_TRISIBL
(1,2),(1,20),(1,25),-0.0211336 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,2),(1,24),(1,25),-0.0608656 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,3),(1,4),(1,5),-0.0434266 # DEPENDENCYPART_TRISIBL
(1,3),(1,4),(1,6),-0.0691326 # DEPENDENCYPART_TRISIBL
(1,3),(1,4),(1,7),-0.0434266 # DEPENDENCYPART_TRISIBL
(1,3),(1,4),(1,8),-0.100563 # DEPENDENCYPART_TRISIBL
(1,3),(1,4),(1,9),-0.0388969 # DEPENDENCYPART_TRISIBL
(1,3),(1,4),(1,11),-0.0840432 # DEPENDENCYPART_TRISIBL
(1,3),(1,4),(1,16),-0.0941886 # DEPENDENCYPART_TRISIBL
(1,3),(1,4),(1,20),-0.051737 # DEPENDENCYPART_TRISIBL
(1,3),(1,4),(1,24),-0.076823 # DEPENDENCYPART_TRISIBL
(1,3),(1,4),(1,25),-0.119844 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,3),(1,5),(1,6),-0.026079 # DEPENDENCYPART_TRISIBL
(1,3),(1,5),(1,7),-0.0784014 # DEPENDENCYPART_TRISIBL
(1,3),(1,5),(1,8),-0.12669 # DEPENDENCYPART_TRISIBL
(1,3),(1,5),(1,9),-0.0458616 # DEPENDENCYPART_TRISIBL
(1,3),(1,5),(1,11),-0.0775742 # DEPENDENCYPART_TRISIBL
(1,3),(1,5),(1,16),-0.0872604 # DEPENDENCYPART_TRISIBL
(1,3),(1,5),(1,20),-0.0380884 # DEPENDENCYPART_TRISIBL
(1,3),(1,5),(1,24),-0.092508 # DEPENDENCYPART_TRISIBL
(1,3),(1,5),(1,25),-0.0441466 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,3),(1,6),(1,7),-0.0269598 # DEPENDENCYPART_TRISIBL
(1,3),(1,6),(1,8),-0.0960379 # DEPENDENCYPART_TRISIBL
(1,3),(1,6),(1,9),-0.0506342 # DEPENDENCYPART_TRISIBL
(1,3),(1,6),(1,11),-0.0864723 # DEPENDENCYPART_TRISIBL
(1,3),(1,6),(1,16),-0.0777648 # DEPENDENCYPART_TRISIBL
(1,3),(1,6),(1,20),-0.0369313 # DEPENDENCYPART_TRISIBL
(1,3),(1,6),(1,24),-0.0829301 # DEPENDENCYPART_TRISIBL
(1,3),(1,6),(1,25),-0.0793294 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,3),(1,7),(1,8),-0.12669 # DEPENDENCYPART_TRISIBL
(1,3),(1,7),(1,9),-0.0458616 # DEPENDENCYPART_TRISIBL
(1,3),(1,7),(1,11),-0.0775742 # DEPENDENCYPART_TRISIBL
(1,3),(1,7),(1,16),-0.0872604 # DEPENDENCYPART_TRISIBL
(1,3),(1,7),(1,20),-0.0380884 # DEPENDENCYPART_TRISIBL
(1,3),(1,7),(1,24),-0.092508 # DEPENDENCYPART_TRISIBL
(1,3),(1,7),(1,25),-0.0441466 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,3),(1,8),(1,9),-0.0712371 # DEPENDENCYPART_TRISIBL
(1,3),(1,8),(1,11),-0.0835276 # DEPENDENCYPART_TRISIBL
(1,3),(1,8),(1,16),-0.0710525 # DEPENDENCYPART_TRISIBL
(1,3),(1,8),(1,20),-0.0533864 # DEPENDENCYPART_TRISIBL
(1,3),(1,8),(1,24),-0.0773522 # DEPENDENCYPART_TRISIBL
(1,3),(1,8),(1,25),-0.129746 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,3),(1,9),(1,11),-0.111132 # DEPENDENCYPART_TRISIBL
(1,3),(1,9),(1,16),-0.0488115 # DEPENDENCYPART_TRISIBL
(1,3),(1,9),(1,20),-0.0178332 # DEPENDENCYPART_TRISIBL
(1,3),(1,9),(1,24),-0.0779849 # DEPENDENCYPART_TRISIBL
(1,3),(1,9),(1,25),-0.0987627 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,3),(1,11),(1,16),-0.0943276 # DEPENDENCYPART_TRISIBL
(1,3),(1,11),(1,20),-0.0519642 # DEPENDENCYPART_TRISIBL
(1,3),(1,11),(1,24),-0.0742249 # DEPENDENCYPART_TRISIBL
(1,3),(1,11),(1,25),-0.120087 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,3),(1,16),(1,20),-0.0474759 # DEPENDENCYPART_TRISIBL
(1,3),(1,16),(1,24),-0.0971557 # DEPENDENCYPART_TRISIBL
(1,3),(1,16),(1,25),-0.0972812 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,3),(1,20),(1,24),-0.0911719 # DEPENDENCYPART_TRISIBL
(1,3),(1,20),(1,25),-0.0985689 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,3),(1,24),(1,25),-0.0190426 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,5),(1,6),-0.0252867 # DEPENDENCYPART_TRISIBL
(1,4),(1,5),(1,7),-0.0745159 # DEPENDENCYPART_TRISIBL
(1,4),(1,5),(1,8),-0.128063 # DEPENDENCYPART_TRISIBL
(1,4),(1,5),(1,9),-0.0443731 # DEPENDENCYPART_TRISIBL
(1,4),(1,5),(1,11),-0.0742195 # DEPENDENCYPART_TRISIBL
(1,4),(1,5),(1,16),-0.0872415 # DEPENDENCYPART_TRISIBL
(1,4),(1,5),(1,20),-0.0365999 # DEPENDENCYPART_TRISIBL
(1,4),(1,5),(1,24),-0.0921429 # DEPENDENCYPART_TRISIBL
(1,4),(1,5),(1,25),-0.0344979 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,6),(1,7),-0.01907 # DEPENDENCYPART_TRISIBL
(1,4),(1,6),(1,8),-0.0964865 # DEPENDENCYPART_TRISIBL
(1,4),(1,6),(1,9),-0.0497012 # DEPENDENCYPART_TRISIBL
(1,4),(1,6),(1,11),-0.0832958 # DEPENDENCYPART_TRISIBL
(1,4),(1,6),(1,16),-0.0777459 # DEPENDENCYPART_TRISIBL
(1,4),(1,6),(1,20),-0.0359983 # DEPENDENCYPART_TRISIBL
(1,4),(1,6),(1,24),-0.0821436 # DEPENDENCYPART_TRISIBL
(1,4),(1,6),(1,25),-0.0718366 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,7),(1,8),-0.128063 # DEPENDENCYPART_TRISIBL
(1,4),(1,7),(1,9),-0.0443731 # DEPENDENCYPART_TRISIBL
(1,4),(1,7),(1,11),-0.0742195 # DEPENDENCYPART_TRISIBL
(1,4),(1,7),(1,16),-0.0872415 # DEPENDENCYPART_TRISIBL
(1,4),(1,7),(1,20),-0.0365999 # DEPENDENCYPART_TRISIBL
(1,4),(1,7),(1,24),-0.0921429 # DEPENDENCYPART_TRISIBL
(1,4),(1,7),(1,25),-0.0344979 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,8),(1,9),-0.0702198 # DEPENDENCYPART_TRISIBL
(1,4),(1,8),(1,11),-0.0803508 # DEPENDENCYPART_TRISIBL
(1,4),(1,8),(1,16),-0.0710336 # DEPENDENCYPART_TRISIBL
(1,4),(1,8),(1,20),-0.0523691 # DEPENDENCYPART_TRISIBL
(1,4),(1,8),(1,24),-0.0765834 # DEPENDENCYPART_TRISIBL
(1,4),(1,8),(1,25),-0.127709 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,9),(1,11),-0.105193 # DEPENDENCYPART_TRISIBL
(1,4),(1,9),(1,16),-0.0487742 # DEPENDENCYPART_TRISIBL
(1,4),(1,9),(1,20),-0.0168996 # DEPENDENCYPART_TRISIBL
(1,4),(1,9),(1,24),-0.0805231 # DEPENDENCYPART_TRISIBL
(1,4),(1,9),(1,25),-0.0905156 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,11),(1,16),-0.0943082 # DEPENDENCYPART_TRISIBL
(1,4),(1,11),(1,20),-0.050904 # DEPENDENCYPART_TRISIBL
(1,4),(1,11),(1,24),-0.0729207 # DEPENDENCYPART_TRISIBL
(1,4),(1,11),(1,25),-0.113801 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,16),(1,20),-0.0465422 # DEPENDENCYPART_TRISIBL
(1,4),(1,16),(1,24),-0.0961979 # DEPENDENCYPART_TRISIBL
(1,4),(1,16),(1,25),-0.0923107 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,20),(1,24),-0.0937102 # DEPENDENCYPART_TRISIBL
(1,4),(1,20),(1,25),-0.0903218 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,24),(1,25),-0.0157072 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,6),(1,7),0.200764 # DEPENDENCYPART_TRISIBL
(1,5),(1,6),(1,8),-0.0454827 # DEPENDENCYPART_TRISIBL
(1,5),(1,6),(1,9),-0.0400094 # DEPENDENCYPART_TRISIBL
(1,5),(1,6),(1,11),0.168172 # DEPENDENCYPART_TRISIBL
(1,5),(1,6),(1,16),0.0756286 # DEPENDENCYPART_TRISIBL
(1,5),(1,6),(1,20),-0.0491369 # DEPENDENCYPART_TRISIBL
(1,5),(1,6),(1,24),-0.125606 # DEPENDENCYPART_TRISIBL
(1,5),(1,6),(1,25),-0.226291 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,7),(1,8),-0.0761841 # DEPENDENCYPART_TRISIBL
(1,5),(1,7),(1,9),-0.053264 # DEPENDENCYPART_TRISIBL
(1,5),(1,7),(1,11),-0.0155302 # DEPENDENCYPART_TRISIBL
(1,5),(1,7),(1,16),0.0344762 # DEPENDENCYPART_TRISIBL
(1,5),(1,7),(1,20),-0.0482947 # DEPENDENCYPART_TRISIBL
(1,5),(1,7),(1,24),-0.105321 # DEPENDENCYPART_TRISIBL
(1,5),(1,7),(1,25),-0.280745 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,8),(1,9),0.00951078 # DEPENDENCYPART_TRISIBL
(1,5),(1,8),(1,11),-0.0248586 # DEPENDENCYPART_TRISIBL
(1,5),(1,8),(1,16),0.018939 # DEPENDENCYPART_TRISIBL
(1,5),(1,8),(1,20),0.0116401 # DEPENDENCYPART_TRISIBL
(1,5),(1,8),(1,24),-0.10119 # DEPENDENCYPART_TRISIBL
(1,5),(1,8),(1,25),-0.0682154 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,9),(1,11),0.00931823 # DEPENDENCYPART_TRISIBL
(1,5),(1,9),(1,16),0.0592349 # DEPENDENCYPART_TRISIBL
(1,5),(1,9),(1,20),-0.0226335 # DEPENDENCYPART_TRISIBL
(1,5),(1,9),(1,24),-0.0977674 # DEPENDENCYPART_TRISIBL
(1,5),(1,9),(1,25),-0.0965289 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,11),(1,16),0.216857 # DEPENDENCYPART_TRISIBL
(1,5),(1,11),(1,20),-0.0510122 # DEPENDENCYPART_TRISIBL
(1,5),(1,11),(1,24),-0.189094 # DEPENDENCYPART_TRISIBL
(1,5),(1,11),(1,25),-0.0826653 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,16),(1,20),-0.0349367 # DEPENDENCYPART_TRISIBL
(1,5),(1,16),(1,24),-0.126061 # DEPENDENCYPART_TRISIBL
(1,5),(1,16),(1,25),-0.226375 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,20),(1,24),-0.101965 # DEPENDENCYPART_TRISIBL
(1,5),(1,20),(1,25),-0.104174 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,24),(1,25),-0.315218 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,7),(1,8),-0.0627204 # DEPENDENCYPART_TRISIBL
(1,6),(1,7),(1,9),-0.0413069 # DEPENDENCYPART_TRISIBL
(1,6),(1,7),(1,11),-0.0340779 # DEPENDENCYPART_TRISIBL
(1,6),(1,7),(1,16),-0.0635656 # DEPENDENCYPART_TRISIBL
(1,6),(1,7),(1,20),-0.0666413 # DEPENDENCYPART_TRISIBL
(1,6),(1,7),(1,24),-0.0549146 # DEPENDENCYPART_TRISIBL
(1,6),(1,7),(1,25),-0.316266 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,8),(1,9),-0.0535153 # DEPENDENCYPART_TRISIBL
(1,6),(1,8),(1,11),-0.0679374 # DEPENDENCYPART_TRISIBL
(1,6),(1,8),(1,16),-0.0542986 # DEPENDENCYPART_TRISIBL
(1,6),(1,8),(1,20),-0.0830966 # DEPENDENCYPART_TRISIBL
(1,6),(1,8),(1,24),-0.0456714 # DEPENDENCYPART_TRISIBL
(1,6),(1,8),(1,25),-0.0934516 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,9),(1,11),-0.0430805 # DEPENDENCYPART_TRISIBL
(1,6),(1,9),(1,16),-0.0697663 # DEPENDENCYPART_TRISIBL
(1,6),(1,9),(1,20),-0.0958558 # DEPENDENCYPART_TRISIBL
(1,6),(1,9),(1,24),-0.0573144 # DEPENDENCYPART_TRISIBL
(1,6),(1,9),(1,25),-0.0773511 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,11),(1,16),-0.0573219 # DEPENDENCYPART_TRISIBL
(1,6),(1,11),(1,20),-0.089056 # DEPENDENCYPART_TRISIBL
(1,6),(1,11),(1,24),-0.0623418 # DEPENDENCYPART_TRISIBL
(1,6),(1,11),(1,25),-0.0795983 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,16),(1,20),-0.0645029 # DEPENDENCYPART_TRISIBL
(1,6),(1,16),(1,24),-0.0401833 # DEPENDENCYPART_TRISIBL
(1,6),(1,16),(1,25),-0.125348 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,20),(1,24),-0.0703803 # DEPENDENCYPART_TRISIBL
(1,6),(1,20),(1,25),-0.046332 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,24),(1,25),-0.161809 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,8),(1,9),0.00951078 # DEPENDENCYPART_TRISIBL
(1,7),(1,8),(1,11),-0.0248586 # DEPENDENCYPART_TRISIBL
(1,7),(1,8),(1,16),0.018939 # DEPENDENCYPART_TRISIBL
(1,7),(1,8),(1,20),0.0116401 # DEPENDENCYPART_TRISIBL
(1,7),(1,8),(1,24),-0.10119 # DEPENDENCYPART_TRISIBL
(1,7),(1,8),(1,25),-0.0682154 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,9),(1,11),0.00931823 # DEPENDENCYPART_TRISIBL
(1,7),(1,9),(1,16),0.0592349 # DEPENDENCYPART_TRISIBL
(1,7),(1,9),(1,20),-0.0226335 # DEPENDENCYPART_TRISIBL
(1,7),(1,9),(1,24),-0.0977674 # DEPENDENCYPART_TRISIBL
(1,7),(1,9),(1,25),-0.0965289 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,11),(1,16),0.216857 # DEPENDENCYPART_TRISIBL
(1,7),(1,11),(1,20),-0.0510122 # DEPENDENCYPART_TRISIBL
(1,7),(1,11),(1,24),-0.189094 # DEPENDENCYPART_TRISIBL
(1,7),(1,11),(1,25),-0.0826653 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,16),(1,20),-0.0349367 # DEPENDENCYPART_TRISIBL
(1,7),(1,16),(1,24),-0.126061 # DEPENDENCYPART_TRISIBL
(1,7),(1,16),(1,25),-0.226375 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,20),(1,24),-0.101965 # DEPENDENCYPART_TRISIBL
(1,7),(1,20),(1,25),-0.104174 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,24),(1,25),-0.315218 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,8),(1,9),(1,11),-0.0635411 # DEPENDENCYPART_TRISIBL
(1,8),(1,9),(1,16),-0.0303088 # DEPENDENCYPART_TRISIBL
(1,8),(1,9),(1,20),-0.0639168 # DEPENDENCYPART_TRISIBL
(1,8),(1,9),(1,24),0.00814112 # DEPENDENCYPART_TRISIBL
(1,8),(1,9),(1,25),-0.0389634 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,8),(1,11),(1,16),-0.0479657 # DEPENDENCYPART_TRISIBL
(1,8),(1,11),(1,20),-0.0120547 # DEPENDENCYPART_TRISIBL
(1,8),(1,11),(1,24),-0.0500872 # DEPENDENCYPART_TRISIBL
(1,8),(1,11),(1,25),-0.120134 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,8),(1,16),(1,20),-0.0300449 # DEPENDENCYPART_TRISIBL
(1,8),(1,16),(1,24),-0.0430101 # DEPENDENCYPART_TRISIBL
(1,8),(1,16),(1,25),-0.0952452 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,8),(1,20),(1,24),-0.00768416 # DEPENDENCYPART_TRISIBL
(1,8),(1,20),(1,25),-0.071901 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,8),(1,24),(1,25),-0.0755834 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,9),(1,11),(1,16),-0.0900849 # DEPENDENCYPART_TRISIBL
(1,9),(1,11),(1,20),-0.0618418 # DEPENDENCYPART_TRISIBL
(1,9),(1,11),(1,24),-0.079993 # DEPENDENCYPART_TRISIBL
(1,9),(1,11),(1,25),-0.0108585 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,9),(1,16),(1,20),-0.0167616 # DEPENDENCYPART_TRISIBL
(1,9),(1,16),(1,24),-0.0687635 # DEPENDENCYPART_TRISIBL
(1,9),(1,16),(1,25),-0.134422 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,9),(1,20),(1,24),-0.0938202 # DEPENDENCYPART_TRISIBL
(1,9),(1,20),(1,25),-0.0211336 # DEPENDENCYPART_TRISIBL_LAST_SIBS
