# _root_ Aaron Ment , Connecticut 's chief court administrator , declined to comment on the suit and the EEOC 's intervention .
#goldHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,15,16,13,18,20,18,16,10,
#predictedHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,15,16,13,18,20,18,16,10,
(4,7),(2,6),-0.0774198 # DEPENDENCYPART_HEADBIGRAM
(4,7),(4,6),0.0768008 # DEPENDENCYPART_HEADBIGRAM
(4,7),(7,6),0.250867 # DEPENDENCYPART_HEADBIGRAM
(4,7),(8,6),0.0749727 # DEPENDENCYPART_HEADBIGRAM
(4,7),(10,6),0.0398123 # DEPENDENCYPART_HEADBIGRAM
(4,7),(16,6),0.0815974 # DEPENDENCYPART_HEADBIGRAM
(4,8),(2,7),-0.0587175 # DEPENDENCYPART_HEADBIGRAM
(4,8),(4,7),0.178088 # DEPENDENCYPART_HEADBIGRAM
(4,8),(6,7),0.160014 # DEPENDENCYPART_HEADBIGRAM
(4,8),(8,7),0.291844 # DEPENDENCYPART_HEADBIGRAM
(4,8),(10,7),0.0640201 # DEPENDENCYPART_HEADBIGRAM
(4,8),(16,7),0.0539482 # DEPENDENCYPART_HEADBIGRAM
(4,9),(0,8),-0.0866102 # DEPENDENCYPART_HEADBIGRAM
(4,9),(1,8),-0.0900406 # DEPENDENCYPART_HEADBIGRAM
(4,9),(2,8),-0.0900406 # DEPENDENCYPART_HEADBIGRAM
(4,9),(4,8),0.212892 # DEPENDENCYPART_HEADBIGRAM
(4,9),(6,8),0.174072 # DEPENDENCYPART_HEADBIGRAM
(4,9),(7,8),0.184297 # DEPENDENCYPART_HEADBIGRAM
(4,9),(10,8),0.0249928 # DEPENDENCYPART_HEADBIGRAM
(4,9),(12,8),0.0437573 # DEPENDENCYPART_HEADBIGRAM
(4,9),(13,8),0.138301 # DEPENDENCYPART_HEADBIGRAM
(4,9),(16,8),0.047278 # DEPENDENCYPART_HEADBIGRAM
(4,10),(1,9),-0.086438 # DEPENDENCYPART_HEADBIGRAM
(4,10),(2,9),-0.086438 # DEPENDENCYPART_HEADBIGRAM
(4,10),(4,9),0.0923196 # DEPENDENCYPART_HEADBIGRAM
(4,10),(6,9),0.104917 # DEPENDENCYPART_HEADBIGRAM
(4,10),(7,9),0.103835 # DEPENDENCYPART_HEADBIGRAM
(4,10),(8,9),0.104269 # DEPENDENCYPART_HEADBIGRAM
(4,10),(10,9),0.0909546 # DEPENDENCYPART_HEADBIGRAM
(4,10),(11,9),0.0976927 # DEPENDENCYPART_HEADBIGRAM
(4,10),(12,9),0.125155 # DEPENDENCYPART_HEADBIGRAM
(4,10),(16,9),0.0689214 # DEPENDENCYPART_HEADBIGRAM
(4,13),(0,12),-0.10705 # DEPENDENCYPART_HEADBIGRAM
(4,13),(2,12),-0.0296196 # DEPENDENCYPART_HEADBIGRAM
(4,13),(8,12),0.146429 # DEPENDENCYPART_HEADBIGRAM
(4,13),(10,12),0.168738 # DEPENDENCYPART_HEADBIGRAM
(4,13),(11,12),0.106148 # DEPENDENCYPART_HEADBIGRAM
(4,13),(13,12),0.101332 # DEPENDENCYPART_HEADBIGRAM
(4,13),(15,12),0.124161 # DEPENDENCYPART_HEADBIGRAM
(4,13),(16,12),0.0466143 # DEPENDENCYPART_HEADBIGRAM
(4,13),(20,12),0.124628 # DEPENDENCYPART_HEADBIGRAM
(5,21),(2,20),-0.0664816 # DEPENDENCYPART_HEADBIGRAM
(5,21),(8,20),0.0606447 # DEPENDENCYPART_HEADBIGRAM
(5,21),(10,20),0.169119 # DEPENDENCYPART_HEADBIGRAM
(5,21),(11,20),0.171593 # DEPENDENCYPART_HEADBIGRAM
(5,21),(12,20),0.169083 # DEPENDENCYPART_HEADBIGRAM
(5,21),(13,20),0.155751 # DEPENDENCYPART_HEADBIGRAM
(5,21),(15,20),0.0978075 # DEPENDENCYPART_HEADBIGRAM
(5,21),(16,20),0.0865821 # DEPENDENCYPART_HEADBIGRAM
(5,21),(18,20),0.173027 # DEPENDENCYPART_HEADBIGRAM
(5,21),(21,20),0.0826039 # DEPENDENCYPART_HEADBIGRAM
(6,2),(2,1),-0.108119 # DEPENDENCYPART_HEADBIGRAM
(6,2),(4,1),-0.126416 # DEPENDENCYPART_HEADBIGRAM
(6,2),(7,1),0.0759678 # DEPENDENCYPART_HEADBIGRAM
(6,2),(8,1),0.0759678 # DEPENDENCYPART_HEADBIGRAM
(6,2),(10,1),0.0593022 # DEPENDENCYPART_HEADBIGRAM
(6,2),(12,1),0.0631957 # DEPENDENCYPART_HEADBIGRAM
(6,2),(16,1),0.0695905 # DEPENDENCYPART_HEADBIGRAM
(6,3),(0,2),-0.147988 # DEPENDENCYPART_HEADBIGRAM
(6,3),(1,2),-0.142951 # DEPENDENCYPART_HEADBIGRAM
(6,3),(4,2),-0.138766 # DEPENDENCYPART_HEADBIGRAM
(6,3),(6,2),0.24236 # DEPENDENCYPART_HEADBIGRAM
(6,3),(7,2),0.089687 # DEPENDENCYPART_HEADBIGRAM
(6,3),(8,2),0.114154 # DEPENDENCYPART_HEADBIGRAM
(6,3),(10,2),0.11147 # DEPENDENCYPART_HEADBIGRAM
(6,3),(12,2),0.111468 # DEPENDENCYPART_HEADBIGRAM
(6,3),(16,2),0.0801126 # DEPENDENCYPART_HEADBIGRAM
(6,4),(1,3),-0.106711 # DEPENDENCYPART_HEADBIGRAM
(6,4),(2,3),-0.106711 # DEPENDENCYPART_HEADBIGRAM
(6,4),(4,3),-0.0994002 # DEPENDENCYPART_HEADBIGRAM
(6,4),(6,3),0.0382278 # DEPENDENCYPART_HEADBIGRAM
(6,4),(7,3),0.132525 # DEPENDENCYPART_HEADBIGRAM
(6,4),(8,3),0.132525 # DEPENDENCYPART_HEADBIGRAM
(6,4),(10,3),0.12044 # DEPENDENCYPART_HEADBIGRAM
(6,4),(12,3),0.12044 # DEPENDENCYPART_HEADBIGRAM
(6,4),(16,3),0.0875748 # DEPENDENCYPART_HEADBIGRAM
(6,5),(1,4),-0.134064 # DEPENDENCYPART_HEADBIGRAM
(6,5),(2,4),-0.179818 # DEPENDENCYPART_HEADBIGRAM
(6,5),(6,4),0.116529 # DEPENDENCYPART_HEADBIGRAM
(6,5),(7,4),0.087217 # DEPENDENCYPART_HEADBIGRAM
(6,5),(8,4),0.087217 # DEPENDENCYPART_HEADBIGRAM
(6,5),(10,4),0.0865563 # DEPENDENCYPART_HEADBIGRAM
(6,5),(16,4),0.0905593 # DEPENDENCYPART_HEADBIGRAM
(6,7),(2,6),0.00626608 # DEPENDENCYPART_HEADBIGRAM
(6,7),(4,6),-0.0101733 # DEPENDENCYPART_HEADBIGRAM
(6,7),(7,6),-0.0295659 # DEPENDENCYPART_HEADBIGRAM
(6,7),(8,6),0.129602 # DEPENDENCYPART_HEADBIGRAM
(6,7),(10,6),0.139506 # DEPENDENCYPART_HEADBIGRAM
(6,7),(16,6),0.0650268 # DEPENDENCYPART_HEADBIGRAM
(6,8),(2,7),-0.0608942 # DEPENDENCYPART_HEADBIGRAM
(6,8),(4,7),-0.0608942 # DEPENDENCYPART_HEADBIGRAM
(6,8),(6,7),0.0888771 # DEPENDENCYPART_HEADBIGRAM
(6,8),(8,7),0.242147 # DEPENDENCYPART_HEADBIGRAM
(6,8),(10,7),0.0787544 # DEPENDENCYPART_HEADBIGRAM
(6,8),(16,7),0.0899727 # DEPENDENCYPART_HEADBIGRAM
(6,9),(0,8),-0.0716258 # DEPENDENCYPART_HEADBIGRAM
(6,9),(1,8),-0.0716506 # DEPENDENCYPART_HEADBIGRAM
(6,9),(2,8),-0.0716506 # DEPENDENCYPART_HEADBIGRAM
(6,9),(4,8),-0.0602521 # DEPENDENCYPART_HEADBIGRAM
(6,9),(6,8),0.0647251 # DEPENDENCYPART_HEADBIGRAM
(6,9),(7,8),0.167273 # DEPENDENCYPART_HEADBIGRAM
(6,9),(10,8),0.0571193 # DEPENDENCYPART_HEADBIGRAM
(6,9),(12,8),0.0796479 # DEPENDENCYPART_HEADBIGRAM
(6,9),(13,8),0.0789031 # DEPENDENCYPART_HEADBIGRAM
(6,9),(16,8),0.0862263 # DEPENDENCYPART_HEADBIGRAM
(7,2),(2,1),-0.121868 # DEPENDENCYPART_HEADBIGRAM
(7,2),(4,1),-0.124485 # DEPENDENCYPART_HEADBIGRAM
(7,2),(7,1),0.270064 # DEPENDENCYPART_HEADBIGRAM
(7,2),(8,1),0.0644734 # DEPENDENCYPART_HEADBIGRAM
(7,2),(10,1),0.0570228 # DEPENDENCYPART_HEADBIGRAM
(7,2),(12,1),0.0609318 # DEPENDENCYPART_HEADBIGRAM
(7,2),(16,1),0.022143 # DEPENDENCYPART_HEADBIGRAM
(7,3),(0,2),-0.173971 # DEPENDENCYPART_HEADBIGRAM
(7,3),(1,2),-0.179803 # DEPENDENCYPART_HEADBIGRAM
(7,3),(4,2),-0.150065 # DEPENDENCYPART_HEADBIGRAM
(7,3),(6,2),-0.132748 # DEPENDENCYPART_HEADBIGRAM
(7,3),(7,2),0.278882 # DEPENDENCYPART_HEADBIGRAM
(7,3),(8,2),0.094584 # DEPENDENCYPART_HEADBIGRAM
(7,3),(10,2),0.0922971 # DEPENDENCYPART_HEADBIGRAM
(7,3),(12,2),0.0886041 # DEPENDENCYPART_HEADBIGRAM
(7,3),(16,2),0.0689975 # DEPENDENCYPART_HEADBIGRAM
(7,4),(1,3),-0.0365997 # DEPENDENCYPART_HEADBIGRAM
(7,4),(2,3),-0.0365997 # DEPENDENCYPART_HEADBIGRAM
(7,4),(4,3),0.179269 # DEPENDENCYPART_HEADBIGRAM
(7,4),(6,3),-0.126873 # DEPENDENCYPART_HEADBIGRAM
(7,4),(7,3),0.0806908 # DEPENDENCYPART_HEADBIGRAM
(7,4),(8,3),0.0855718 # DEPENDENCYPART_HEADBIGRAM
(7,4),(10,3),0.165613 # DEPENDENCYPART_HEADBIGRAM
(7,4),(12,3),0.165714 # DEPENDENCYPART_HEADBIGRAM
(7,4),(16,3),0.258852 # DEPENDENCYPART_HEADBIGRAM
(7,5),(1,4),-0.147219 # DEPENDENCYPART_HEADBIGRAM
(7,5),(2,4),-0.192973 # DEPENDENCYPART_HEADBIGRAM
(7,5),(6,4),-0.123704 # DEPENDENCYPART_HEADBIGRAM
(7,5),(7,4),0.15777 # DEPENDENCYPART_HEADBIGRAM
(7,5),(8,4),0.0730446 # DEPENDENCYPART_HEADBIGRAM
(7,5),(10,4),0.0383455 # DEPENDENCYPART_HEADBIGRAM
(7,5),(16,4),0.0335661 # DEPENDENCYPART_HEADBIGRAM
(7,6),(1,5),-0.0577583 # DEPENDENCYPART_HEADBIGRAM
(7,6),(2,5),-0.0577583 # DEPENDENCYPART_HEADBIGRAM
(7,6),(4,5),0.00543264 # DEPENDENCYPART_HEADBIGRAM
(7,6),(6,5),-0.159864 # DEPENDENCYPART_HEADBIGRAM
(7,6),(7,5),0.0690373 # DEPENDENCYPART_HEADBIGRAM
(7,8),(2,7),0.0498582 # DEPENDENCYPART_HEADBIGRAM
(7,8),(4,7),0.0498582 # DEPENDENCYPART_HEADBIGRAM
(7,8),(6,7),-0.0743771 # DEPENDENCYPART_HEADBIGRAM
(7,8),(8,7),-0.105186 # DEPENDENCYPART_HEADBIGRAM
(7,8),(10,7),0.0939136 # DEPENDENCYPART_HEADBIGRAM
(7,8),(16,7),0.0290153 # DEPENDENCYPART_HEADBIGRAM
(7,9),(0,8),-0.0738836 # DEPENDENCYPART_HEADBIGRAM
(7,9),(1,8),-0.0773287 # DEPENDENCYPART_HEADBIGRAM
(7,9),(2,8),-0.0773287 # DEPENDENCYPART_HEADBIGRAM
(7,9),(4,8),-0.0799024 # DEPENDENCYPART_HEADBIGRAM
(7,9),(6,8),-0.0578293 # DEPENDENCYPART_HEADBIGRAM
(7,9),(7,8),0.129043 # DEPENDENCYPART_HEADBIGRAM
(7,9),(10,8),0.0494289 # DEPENDENCYPART_HEADBIGRAM
(7,9),(12,8),0.0511166 # DEPENDENCYPART_HEADBIGRAM
(7,9),(13,8),0.144211 # DEPENDENCYPART_HEADBIGRAM
(7,9),(16,8),0.0552932 # DEPENDENCYPART_HEADBIGRAM
(7,10),(1,9),-0.108475 # DEPENDENCYPART_HEADBIGRAM
(7,10),(2,9),-0.108475 # DEPENDENCYPART_HEADBIGRAM
(7,10),(4,9),-0.0967951 # DEPENDENCYPART_HEADBIGRAM
(7,10),(6,9),-0.0468859 # DEPENDENCYPART_HEADBIGRAM
(7,10),(7,9),0.0434049 # DEPENDENCYPART_HEADBIGRAM
(7,10),(8,9),0.0470776 # DEPENDENCYPART_HEADBIGRAM
(7,10),(10,9),-0.0153235 # DEPENDENCYPART_HEADBIGRAM
(7,10),(11,9),0.0973475 # DEPENDENCYPART_HEADBIGRAM
(7,10),(12,9),0.126537 # DEPENDENCYPART_HEADBIGRAM
(7,10),(16,9),0.0688042 # DEPENDENCYPART_HEADBIGRAM
(8,2),(2,1),-0.0235202 # DEPENDENCYPART_HEADBIGRAM
(8,2),(4,1),-0.125115 # DEPENDENCYPART_HEADBIGRAM
(8,2),(7,1),-0.123208 # DEPENDENCYPART_HEADBIGRAM
(8,2),(8,1),0.152761 # DEPENDENCYPART_HEADBIGRAM
(8,2),(10,1),0.0708619 # DEPENDENCYPART_HEADBIGRAM
(8,2),(12,1),0.0690473 # DEPENDENCYPART_HEADBIGRAM
(8,2),(16,1),0.0300937 # DEPENDENCYPART_HEADBIGRAM
(8,3),(0,2),-0.173971 # DEPENDENCYPART_HEADBIGRAM
(8,3),(1,2),-0.179788 # DEPENDENCYPART_HEADBIGRAM
(8,3),(4,2),-0.15005 # DEPENDENCYPART_HEADBIGRAM
(8,3),(6,2),-0.132748 # DEPENDENCYPART_HEADBIGRAM
(8,3),(7,2),-0.15481 # DEPENDENCYPART_HEADBIGRAM
(8,3),(8,2),0.12543 # DEPENDENCYPART_HEADBIGRAM
(8,3),(10,2),0.093404 # DEPENDENCYPART_HEADBIGRAM
(8,3),(12,2),0.089711 # DEPENDENCYPART_HEADBIGRAM
(8,3),(16,2),0.069293 # DEPENDENCYPART_HEADBIGRAM
(8,4),(1,3),-0.0365972 # DEPENDENCYPART_HEADBIGRAM
(8,4),(2,3),-0.0365972 # DEPENDENCYPART_HEADBIGRAM
(8,4),(4,3),0.179304 # DEPENDENCYPART_HEADBIGRAM
(8,4),(6,3),-0.126872 # DEPENDENCYPART_HEADBIGRAM
(8,4),(7,3),-0.11853 # DEPENDENCYPART_HEADBIGRAM
(8,4),(8,3),0.0808917 # DEPENDENCYPART_HEADBIGRAM
(8,4),(10,3),0.166619 # DEPENDENCYPART_HEADBIGRAM
(8,4),(12,3),0.166721 # DEPENDENCYPART_HEADBIGRAM
(8,4),(16,3),0.258852 # DEPENDENCYPART_HEADBIGRAM
(8,6),(1,5),-0.0555387 # DEPENDENCYPART_HEADBIGRAM
(8,6),(2,5),-0.0555387 # DEPENDENCYPART_HEADBIGRAM
(8,6),(4,5),0.00765226 # DEPENDENCYPART_HEADBIGRAM
(8,6),(6,5),-0.159864 # DEPENDENCYPART_HEADBIGRAM
(8,6),(7,5),-0.0873643 # DEPENDENCYPART_HEADBIGRAM
(8,7),(2,6),-0.16697 # DEPENDENCYPART_HEADBIGRAM
(8,7),(4,6),-0.218143 # DEPENDENCYPART_HEADBIGRAM
(8,7),(7,6),-0.148475 # DEPENDENCYPART_HEADBIGRAM
(8,7),(8,6),0.108005 # DEPENDENCYPART_HEADBIGRAM
(8,7),(10,6),0.0517669 # DEPENDENCYPART_HEADBIGRAM
(8,7),(16,6),0.0941513 # DEPENDENCYPART_HEADBIGRAM
(8,9),(0,8),-0.0968018 # DEPENDENCYPART_HEADBIGRAM
(8,9),(1,8),-0.061798 # DEPENDENCYPART_HEADBIGRAM
(8,9),(2,8),-0.061798 # DEPENDENCYPART_HEADBIGRAM
(8,9),(4,8),-0.0115276 # DEPENDENCYPART_HEADBIGRAM
(8,9),(6,8),-0.0608781 # DEPENDENCYPART_HEADBIGRAM
(8,9),(7,8),-0.0551206 # DEPENDENCYPART_HEADBIGRAM
(8,9),(10,8),0.0268153 # DEPENDENCYPART_HEADBIGRAM
(8,9),(12,8),0.15501 # DEPENDENCYPART_HEADBIGRAM
(8,9),(13,8),0.0862138 # DEPENDENCYPART_HEADBIGRAM
(8,9),(16,8),0.381431 # DEPENDENCYPART_HEADBIGRAM
(8,10),(1,9),-0.113648 # DEPENDENCYPART_HEADBIGRAM
(8,10),(2,9),-0.113648 # DEPENDENCYPART_HEADBIGRAM
(8,10),(4,9),-0.106649 # DEPENDENCYPART_HEADBIGRAM
(8,10),(6,9),-0.0568472 # DEPENDENCYPART_HEADBIGRAM
(8,10),(7,9),-0.102379 # DEPENDENCYPART_HEADBIGRAM
(8,10),(8,9),0.102804 # DEPENDENCYPART_HEADBIGRAM
(8,10),(10,9),0.0284881 # DEPENDENCYPART_HEADBIGRAM
(8,10),(11,9),0.0977601 # DEPENDENCYPART_HEADBIGRAM
(8,10),(12,9),0.126188 # DEPENDENCYPART_HEADBIGRAM
(8,10),(16,9),0.0668467 # DEPENDENCYPART_HEADBIGRAM
(8,12),(10,11),0.0366591 # DEPENDENCYPART_HEADBIGRAM
(8,12),(12,11),0.319928 # DEPENDENCYPART_HEADBIGRAM
(8,12),(13,11),0.0877433 # DEPENDENCYPART_HEADBIGRAM
(8,12),(16,11),0.0949463 # DEPENDENCYPART_HEADBIGRAM
(8,13),(0,12),-0.108003 # DEPENDENCYPART_HEADBIGRAM
(8,13),(2,12),-0.0333597 # DEPENDENCYPART_HEADBIGRAM
(8,13),(8,12),0.0997514 # DEPENDENCYPART_HEADBIGRAM
(8,13),(10,12),0.244085 # DEPENDENCYPART_HEADBIGRAM
(8,13),(11,12),0.181496 # DEPENDENCYPART_HEADBIGRAM
(8,13),(13,12),0.103049 # DEPENDENCYPART_HEADBIGRAM
(8,13),(15,12),0.122863 # DEPENDENCYPART_HEADBIGRAM
(8,13),(16,12),0.0453154 # DEPENDENCYPART_HEADBIGRAM
(8,13),(20,12),0.12415 # DEPENDENCYPART_HEADBIGRAM
(8,15),(12,14),0.102364 # DEPENDENCYPART_HEADBIGRAM
(8,15),(13,14),0.0963607 # DEPENDENCYPART_HEADBIGRAM
(8,15),(15,14),0.151906 # DEPENDENCYPART_HEADBIGRAM
(8,15),(16,14),0.117247 # DEPENDENCYPART_HEADBIGRAM
(8,15),(18,14),0.0719855 # DEPENDENCYPART_HEADBIGRAM
(8,15),(20,14),0.0717998 # DEPENDENCYPART_HEADBIGRAM
(8,16),(2,15),-0.0620753 # DEPENDENCYPART_HEADBIGRAM
(8,16),(8,15),0.0434109 # DEPENDENCYPART_HEADBIGRAM
(8,16),(10,15),0.164277 # DEPENDENCYPART_HEADBIGRAM
(8,16),(11,15),0.22879 # DEPENDENCYPART_HEADBIGRAM
(8,16),(12,15),0.171461 # DEPENDENCYPART_HEADBIGRAM
(8,16),(13,15),0.214632 # DEPENDENCYPART_HEADBIGRAM
(8,16),(14,15),0.203141 # DEPENDENCYPART_HEADBIGRAM
(8,16),(16,15),0.186105 # DEPENDENCYPART_HEADBIGRAM
(8,16),(18,15),0.0694681 # DEPENDENCYPART_HEADBIGRAM
(8,16),(20,15),0.0693375 # DEPENDENCYPART_HEADBIGRAM
(8,20),(16,19),0.14117 # DEPENDENCYPART_HEADBIGRAM
(8,20),(18,19),0.0949124 # DEPENDENCYPART_HEADBIGRAM
(8,20),(20,19),0.0439678 # DEPENDENCYPART_HEADBIGRAM
(8,21),(2,20),-0.051554 # DEPENDENCYPART_HEADBIGRAM
(8,21),(8,20),0.094659 # DEPENDENCYPART_HEADBIGRAM
(8,21),(10,20),0.13265 # DEPENDENCYPART_HEADBIGRAM
(8,21),(11,20),0.113654 # DEPENDENCYPART_HEADBIGRAM
(8,21),(12,20),0.136268 # DEPENDENCYPART_HEADBIGRAM
(8,21),(13,20),0.177574 # DEPENDENCYPART_HEADBIGRAM
(8,21),(15,20),0.129915 # DEPENDENCYPART_HEADBIGRAM
(8,21),(16,20),0.0963471 # DEPENDENCYPART_HEADBIGRAM
(8,21),(18,20),0.201699 # DEPENDENCYPART_HEADBIGRAM
(8,21),(21,20),0.0639103 # DEPENDENCYPART_HEADBIGRAM
(10,2),(2,1),0.0648582 # DEPENDENCYPART_HEADBIGRAM
(10,2),(4,1),-0.135409 # DEPENDENCYPART_HEADBIGRAM
(10,2),(7,1),-0.1335 # DEPENDENCYPART_HEADBIGRAM
(10,2),(8,1),-0.133499 # DEPENDENCYPART_HEADBIGRAM
(10,2),(10,1),-0.0447536 # DEPENDENCYPART_HEADBIGRAM
(10,2),(12,1),0.0975786 # DEPENDENCYPART_HEADBIGRAM
(10,2),(16,1),-0.0336405 # DEPENDENCYPART_HEADBIGRAM
(10,3),(0,2),-0.15367 # DEPENDENCYPART_HEADBIGRAM
(10,3),(1,2),-0.201536 # DEPENDENCYPART_HEADBIGRAM
(10,3),(4,2),-0.252936 # DEPENDENCYPART_HEADBIGRAM
(10,3),(6,2),-0.139753 # DEPENDENCYPART_HEADBIGRAM
(10,3),(7,2),-0.233947 # DEPENDENCYPART_HEADBIGRAM
(10,3),(8,2),-0.222845 # DEPENDENCYPART_HEADBIGRAM
(10,3),(10,2),0.172041 # DEPENDENCYPART_HEADBIGRAM
(10,3),(12,2),0.147661 # DEPENDENCYPART_HEADBIGRAM
(10,3),(16,2),-0.00653196 # DEPENDENCYPART_HEADBIGRAM
(10,4),(1,3),-0.19197 # DEPENDENCYPART_HEADBIGRAM
(10,4),(2,3),-0.19197 # DEPENDENCYPART_HEADBIGRAM
(10,4),(4,3),-0.262001 # DEPENDENCYPART_HEADBIGRAM
(10,4),(6,3),-0.109587 # DEPENDENCYPART_HEADBIGRAM
(10,4),(7,3),-0.174418 # DEPENDENCYPART_HEADBIGRAM
(10,4),(8,3),-0.174417 # DEPENDENCYPART_HEADBIGRAM
(10,4),(10,3),0.111593 # DEPENDENCYPART_HEADBIGRAM
(10,4),(12,3),0.0669079 # DEPENDENCYPART_HEADBIGRAM
(10,4),(16,3),0.127053 # DEPENDENCYPART_HEADBIGRAM
(10,6),(1,5),-0.127915 # DEPENDENCYPART_HEADBIGRAM
(10,6),(2,5),-0.127915 # DEPENDENCYPART_HEADBIGRAM
(10,6),(4,5),-0.122804 # DEPENDENCYPART_HEADBIGRAM
(10,6),(6,5),-0.127303 # DEPENDENCYPART_HEADBIGRAM
(10,6),(7,5),-0.120884 # DEPENDENCYPART_HEADBIGRAM
(10,7),(2,6),-0.166618 # DEPENDENCYPART_HEADBIGRAM
(10,7),(4,6),-0.184782 # DEPENDENCYPART_HEADBIGRAM
(10,7),(7,6),-0.0767575 # DEPENDENCYPART_HEADBIGRAM
(10,7),(8,6),-0.162536 # DEPENDENCYPART_HEADBIGRAM
(10,7),(10,6),-0.0333644 # DEPENDENCYPART_HEADBIGRAM
(10,7),(16,6),0.114762 # DEPENDENCYPART_HEADBIGRAM
(10,8),(2,7),-0.176811 # DEPENDENCYPART_HEADBIGRAM
(10,8),(4,7),-0.176811 # DEPENDENCYPART_HEADBIGRAM
(10,8),(6,7),-0.251687 # DEPENDENCYPART_HEADBIGRAM
(10,8),(8,7),-0.0901142 # DEPENDENCYPART_HEADBIGRAM
(10,8),(10,7),0.173602 # DEPENDENCYPART_HEADBIGRAM
(10,8),(16,7),-0.0700447 # DEPENDENCYPART_HEADBIGRAM
(10,9),(0,8),-0.192972 # DEPENDENCYPART_HEADBIGRAM
(10,9),(1,8),-0.241189 # DEPENDENCYPART_HEADBIGRAM
(10,9),(2,8),-0.241189 # DEPENDENCYPART_HEADBIGRAM
(10,9),(4,8),-0.188662 # DEPENDENCYPART_HEADBIGRAM
(10,9),(6,8),-0.0882519 # DEPENDENCYPART_HEADBIGRAM
(10,9),(7,8),-0.15191 # DEPENDENCYPART_HEADBIGRAM
(10,9),(10,8),0.010893 # DEPENDENCYPART_HEADBIGRAM
(10,9),(12,8),0.161423 # DEPENDENCYPART_HEADBIGRAM
(10,9),(13,8),0.15099 # DEPENDENCYPART_HEADBIGRAM
(10,9),(16,8),0.0174096 # DEPENDENCYPART_HEADBIGRAM
(10,11),(0,10),-0.000844751 # DEPENDENCYPART_HEADBIGRAM
(10,11),(1,10),-0.00721662 # DEPENDENCYPART_HEADBIGRAM
(10,11),(2,10),-0.00721662 # DEPENDENCYPART_HEADBIGRAM
(10,11),(4,10),0.0103666 # DEPENDENCYPART_HEADBIGRAM
(10,11),(7,10),-0.00161286 # DEPENDENCYPART_HEADBIGRAM
(10,11),(8,10),0.0202491 # DEPENDENCYPART_HEADBIGRAM
(10,11),(12,10),0.169559 # DEPENDENCYPART_HEADBIGRAM
(10,11),(16,10),0.0246124 # DEPENDENCYPART_HEADBIGRAM
(10,12),(10,11),0.0519006 # DEPENDENCYPART_HEADBIGRAM
(10,12),(12,11),0.580208 # DEPENDENCYPART_HEADBIGRAM
(10,12),(13,11),0.0953528 # DEPENDENCYPART_HEADBIGRAM
(10,12),(16,11),0.0970246 # DEPENDENCYPART_HEADBIGRAM
(10,13),(0,12),-0.09236 # DEPENDENCYPART_HEADBIGRAM
(10,13),(2,12),-0.0896441 # DEPENDENCYPART_HEADBIGRAM
(10,13),(8,12),-0.0675956 # DEPENDENCYPART_HEADBIGRAM
(10,13),(10,12),0.0272049 # DEPENDENCYPART_HEADBIGRAM
(10,13),(11,12),0.158426 # DEPENDENCYPART_HEADBIGRAM
(10,13),(13,12),0.0949812 # DEPENDENCYPART_HEADBIGRAM
(10,13),(15,12),0.0667106 # DEPENDENCYPART_HEADBIGRAM
(10,13),(16,12),0.00075793 # DEPENDENCYPART_HEADBIGRAM
(10,13),(20,12),0.0692697 # DEPENDENCYPART_HEADBIGRAM
(10,15),(12,14),0.0626269 # DEPENDENCYPART_HEADBIGRAM
(10,15),(13,14),0.0582951 # DEPENDENCYPART_HEADBIGRAM
(10,15),(15,14),0.105543 # DEPENDENCYPART_HEADBIGRAM
(10,15),(16,14),0.107395 # DEPENDENCYPART_HEADBIGRAM
(10,15),(18,14),-0.0335228 # DEPENDENCYPART_HEADBIGRAM
(10,15),(20,14),-0.0187596 # DEPENDENCYPART_HEADBIGRAM
(10,16),(2,15),-0.0742393 # DEPENDENCYPART_HEADBIGRAM
(10,16),(8,15),-0.0683613 # DEPENDENCYPART_HEADBIGRAM
(10,16),(10,15),0.0280936 # DEPENDENCYPART_HEADBIGRAM
(10,16),(11,15),0.135184 # DEPENDENCYPART_HEADBIGRAM
(10,16),(12,15),0.159011 # DEPENDENCYPART_HEADBIGRAM
(10,16),(13,15),0.306873 # DEPENDENCYPART_HEADBIGRAM
(10,16),(14,15),0.182287 # DEPENDENCYPART_HEADBIGRAM
(10,16),(16,15),0.231736 # DEPENDENCYPART_HEADBIGRAM
(10,16),(18,15),0.0599784 # DEPENDENCYPART_HEADBIGRAM
(10,16),(20,15),0.0608664 # DEPENDENCYPART_HEADBIGRAM
(10,20),(16,19),0.100991 # DEPENDENCYPART_HEADBIGRAM
(10,20),(18,19),0.264397 # DEPENDENCYPART_HEADBIGRAM
(10,20),(20,19),0.0634894 # DEPENDENCYPART_HEADBIGRAM
(10,21),(2,20),-0.0859142 # DEPENDENCYPART_HEADBIGRAM
(10,21),(8,20),-0.0892506 # DEPENDENCYPART_HEADBIGRAM
(10,21),(10,20),0.105764 # DEPENDENCYPART_HEADBIGRAM
(10,21),(11,20),0.187282 # DEPENDENCYPART_HEADBIGRAM
(10,21),(12,20),0.124796 # DEPENDENCYPART_HEADBIGRAM
(10,21),(13,20),0.179357 # DEPENDENCYPART_HEADBIGRAM
(10,21),(15,20),0.0588771 # DEPENDENCYPART_HEADBIGRAM
