# _root_ `` Psyllium 's not a good crop , '' complains Sooraji Jath , a 26-year-old farmer from the village of Lakshmipura . ``
#goldHeads=10,3,10,3,7,7,3,10,10,0,12,10,12,16,16,12,16,19,17,19,20,10,10,
#predictedHeads=10,3,10,3,7,7,3,10,10,0,12,10,12,16,16,12,16,19,17,19,20,10,10,
(19,16),(16,16),(16,12),-0.131973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,16),(16,16),(16,11),-0.131973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,16),(16,16),(16,8),0.133636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,16),(16,16),(16,7),-0.131973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,16),(16,16),(16,6),-0.0429296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,16),(16,16),(16,5),-0.0491679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,16),(16,16),(16,-1),0.134892 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,16),(16,15),(16,14),-0.043429 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,15),(16,13),-0.0272133 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,15),(16,12),-0.0388087 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,15),(16,11),-0.0388087 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,15),(16,8),-0.0272133 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,15),(16,7),-0.0388087 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,15),(16,6),-0.0312175 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,15),(16,5),-0.043429 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,15),(16,-1),-0.0294546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,16),(16,14),(16,13),-0.0207824 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,14),(16,12),-0.0115753 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,14),(16,11),-0.0115753 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,14),(16,8),-0.0207824 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,14),(16,7),-0.0115753 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,14),(16,6),-0.0214603 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,14),(16,5),-0.0113748 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,14),(16,-1),-0.0720426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,16),(16,13),(16,12),0.134904 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,13),(16,11),0.134904 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,13),(16,8),-0.0232074 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,13),(16,7),0.134904 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,13),(16,6),-0.0310298 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,13),(16,5),-0.0236052 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,13),(16,-1),-0.020159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,16),(16,12),(16,11),-0.00139317 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,12),(16,8),0.00445263 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,12),(16,7),-0.00139317 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,12),(16,6),-0.0323083 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,12),(16,5),-0.0260996 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,12),(16,-1),0.0256463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,16),(16,11),(16,8),0.00445263 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,11),(16,7),-0.00139317 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,11),(16,6),-0.0323083 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,11),(16,5),-0.0260996 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,11),(16,-1),0.0256463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,16),(16,8),(16,7),0.134904 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,8),(16,6),-0.0310298 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,8),(16,5),-0.0236052 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,8),(16,-1),-0.020159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,16),(16,7),(16,6),-0.0323083 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,7),(16,5),-0.0260996 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,7),(16,-1),0.0256463 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,16),(16,6),(16,5),-0.0439609 # DEPENDENCYPART_GRANDSIBL
(19,16),(16,6),(16,-1),-0.0297232 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,16),(16,5),(16,-1),-0.0720426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,17),(17,18),0.12029 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,19),-0.161203 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,20),-0.145024 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,21),-0.161203 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,23),-0.147261 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,24),-0.108104 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,17),(17,18),(17,19),-0.144702 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,18),(17,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,18),(17,21),-0.144702 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,18),(17,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,18),(17,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,18),(17,24),-0.165059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,19),(17,20),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,19),(17,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,19),(17,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,19),(17,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,19),(17,24),-0.196677 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,17),(17,20),(17,21),-0.144702 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,20),(17,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,20),(17,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,20),(17,24),-0.145835 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,21),(17,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,21),(17,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,21),(17,24),-0.196677 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,22),(17,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,22),(17,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,23),(17,24),-0.154764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,17),(17,16),0.0958711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,15),-0.0141765 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,17),(17,17),(17,-1),-0.353523 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,17),(17,16),(17,15),-0.0211363 # DEPENDENCYPART_GRANDSIBL
(19,17),(17,16),(17,-1),0.0268294 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,17),(17,15),(17,-1),-0.00947831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,18),(18,20),-0.147612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,18),(18,18),(18,24),0.09527 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,18),(18,20),(18,24),-0.173678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,18),(18,-1),0.214465 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,20),(20,20),(20,21),0.125687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,23),0.011399 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,24),-0.376972 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,20),(20,21),(20,22),-0.0194428 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,21),(20,23),-0.0213544 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,21),(20,24),0.0408734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,22),(20,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,22),(20,24),-0.0246046 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,23),(20,24),-0.02476 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,20),(20,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,16),-0.162051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,-1),-0.0535783 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,20),(20,18),(20,16),-0.144702 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,18),(20,-1),-0.169261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,16),(20,-1),-0.195162 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,21),(21,21),(21,22),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,21),(21,23),-0.0324136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,21),(21,24),0.134108 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,21),(21,22),(21,23),-0.0196249 # DEPENDENCYPART_GRANDSIBL
(19,21),(21,22),(21,24),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,21),(21,23),(21,24),-0.0283036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,21),(21,21),(21,20),0.200237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,21),(21,19),0.161031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,21),(21,18),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,21),(21,-1),-0.0183774 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,21),(21,20),(21,19),0.101972 # DEPENDENCYPART_GRANDSIBL
(19,21),(21,20),(21,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,21),(21,20),(21,-1),-0.0828516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,21),(21,19),(21,18),-0.145039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,19),(21,-1),-0.173847 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,21),(21,18),(21,-1),-0.159238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,22),(22,24),0.00397616 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,22),(22,22),(22,20),0.109123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,-1),-0.112606 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,22),(22,20),(22,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,-1),-0.145167 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,17),(22,-1),-0.145072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,23),(23,23),(23,24),-0.0602178 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,23),(23,23),(23,-1),-0.181854 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,16),(16,16),(16,17),0.142722 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,18),0.0673731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,19),0.169726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,20),-0.156415 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,21),-0.151026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,24),-0.129722 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,16),(16,17),(16,18),0.100956 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,17),(16,19),0.0928187 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,17),(16,20),-0.145166 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,17),(16,21),-0.144709 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,17),(16,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,17),(16,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,17),(16,24),-0.134624 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,18),(16,19),0.0805801 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,18),(16,20),-0.144725 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,18),(16,21),-0.144876 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,18),(16,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,18),(16,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,18),(16,24),-0.0635346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,19),(16,20),-0.145021 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,19),(16,21),-0.149089 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,19),(16,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,19),(16,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,19),(16,24),-0.119961 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,20),(16,21),-0.144711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,20),(16,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,20),(16,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,20),(16,24),-0.126868 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,16),(16,21),(16,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,21),(16,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,21),(16,24),-0.119961 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,22),(16,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,22),(16,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,23),(16,24),-0.13623 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,16),(16,15),-0.00321455 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,14),0.0283805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,13),-0.0482695 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,12),-0.160672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,11),-0.160672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,8),-0.0482695 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,7),-0.160673 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,6),-0.0058129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,5),0.0283805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,-1),0.27322 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,16),(16,15),(16,14),-0.0207094 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,15),(16,13),0.0257146 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,15),(16,12),-0.0127935 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,15),(16,11),-0.0127935 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,15),(16,8),0.0257146 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,15),(16,7),-0.0127935 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,15),(16,6),-0.0236863 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,15),(16,5),-0.0207094 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,15),(16,-1),-0.0342083 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,14),(16,13),-0.0168975 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,14),(16,12),-0.0199798 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,14),(16,11),-0.0199798 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,14),(16,8),-0.0168975 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,14),(16,7),-0.0199798 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,14),(16,6),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,14),(16,5),-0.0194409 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,14),(16,-1),0.0335342 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,13),(16,12),-0.0793666 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,13),(16,11),-0.0793666 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,13),(16,8),-0.0493614 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,13),(16,7),-0.0793666 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,13),(16,6),0.00421674 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,13),(16,5),-0.00588655 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,13),(16,-1),-0.0153656 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,12),(16,11),-0.0344774 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,12),(16,8),-0.0667826 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,12),(16,7),-0.0344774 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,12),(16,6),-0.0225477 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,12),(16,5),-0.020918 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,12),(16,-1),-0.0760874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,11),(16,8),-0.0667826 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,11),(16,7),-0.0344774 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,11),(16,6),-0.0225477 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,11),(16,5),-0.020918 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,11),(16,-1),-0.0760874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,8),(16,7),-0.0793666 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,8),(16,6),0.00421674 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,8),(16,5),-0.00588655 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,8),(16,-1),-0.0153656 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,7),(16,6),-0.0225477 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,7),(16,5),-0.020918 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,7),(16,-1),-0.0761701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,6),(16,5),-0.0228256 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,6),(16,-1),-0.0346904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,5),(16,-1),0.0335342 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,18),(18,20),-0.149884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,24),-0.183078 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,18),(18,20),(18,24),-0.151515 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,18),(18,18),(18,-1),-0.0577061 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,21),(21,22),-0.0455796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,23),-0.0257647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,24),0.266942 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,22),(21,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,22),(21,24),-0.0440198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,23),(21,24),-0.0278003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,21),(21,20),0.145331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,19),-0.151026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,18),-0.148729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,-1),-0.128787 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,20),(21,19),-0.144711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,20),(21,18),-0.144719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,20),(21,-1),-0.126868 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,19),(21,18),-0.148744 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,19),(21,-1),-0.119961 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,18),(21,-1),-0.0643375 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,22),(22,24),-0.0823498 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,22),(22,20),0.105607 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,-1),-0.198108 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,20),(22,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,-1),-0.147823 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,17),(22,-1),-0.147651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,23),(23,24),0.0106735 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,23),(23,23),(23,-1),-0.11421 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,18),(18,18),(18,20),0.0817206 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,24),0.0952689 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,18),(18,20),(18,24),-0.173678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,18),(18,-1),0.214463 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,19),(19,19),(19,20),0.200235 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,21),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,24),-0.0183774 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,19),(19,20),(19,21),-0.145255 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,20),(19,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,20),(19,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,20),(19,24),-0.0828539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,21),(19,22),-0.144801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,21),(19,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,21),(19,24),-0.173847 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,19),(19,22),(19,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,22),(19,24),-0.151487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,23),(19,24),-0.125565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,19),(19,18),-0.00805584 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,17),-0.0192293 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,16),-0.131973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,15),-0.0415639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,14),-0.0491709 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,-1),0.134101 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,19),(19,18),(19,17),-0.0221574 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,16),-0.0169578 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,15),-0.0227806 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,14),-0.014412 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,18),(19,-1),-0.00947579 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,17),(19,16),-0.0211627 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,15),-0.0184824 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,14),-0.0194464 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,17),(19,-1),-0.0204251 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,16),(19,15),-0.0323083 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,14),-0.0260996 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,16),(19,-1),0.0259137 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,15),(19,14),-0.043429 # DEPENDENCYPART_GRANDSIBL
(21,19),(19,15),(19,-1),-0.0294546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,14),(19,-1),-0.0720456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
