# _root_ The marriage of news and theater , if not exactly inevitable , has been consummated nonetheless .
#goldHeads=2,13,2,5,3,5,13,11,11,11,13,13,0,13,14,15,13,
#predictedHeads=2,13,2,5,3,5,2,11,11,11,2,2,0,13,14,15,13,
(14,14),(14,12),(14,2),-0.224148 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,12),(14,-1),-0.333955 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,11),(14,10),-0.0924952 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,11),(14,9),-0.0465921 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,11),(14,8),0.125278 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,11),(14,6),-0.119648 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,11),(14,2),-0.119648 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,11),(14,-1),-0.0865121 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,10),(14,9),-0.0965842 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,10),(14,8),-0.0603257 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,10),(14,6),-0.00278347 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,10),(14,2),-0.00278366 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,10),(14,-1),-0.130084 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,9),(14,8),-0.0630681 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,9),(14,6),-0.0101057 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,9),(14,2),-0.0101059 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,9),(14,-1),-0.147445 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,8),(14,6),-0.032269 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,8),(14,2),-0.0322692 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,8),(14,-1),-0.176667 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,6),(14,2),-0.0748325 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,6),(14,-1),-0.0235904 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,2),(14,-1),-0.0238791 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,12),(14,11),-0.0386005 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,10),0.00404162 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,9),0.00881718 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,8),0.0042221 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,6),0.11858 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,2),0.11858 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,-1),-0.187197 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,11),(14,10),-0.0535743 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,9),-0.0480883 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,8),-0.0426013 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,6),-0.0695078 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,2),-0.0695078 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,-1),-0.0518585 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,10),(14,9),-0.0301524 # DEPENDENCYPART_TRISIBL
(14,13),(14,10),(14,8),-0.0403411 # DEPENDENCYPART_TRISIBL
(14,13),(14,10),(14,6),-0.0928416 # DEPENDENCYPART_TRISIBL
(14,13),(14,10),(14,2),-0.0928416 # DEPENDENCYPART_TRISIBL
(14,13),(14,10),(14,-1),0.0138833 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,9),(14,8),-0.0404313 # DEPENDENCYPART_TRISIBL
(14,13),(14,9),(14,6),-0.0867495 # DEPENDENCYPART_TRISIBL
(14,13),(14,9),(14,2),-0.0867495 # DEPENDENCYPART_TRISIBL
(14,13),(14,9),(14,-1),0.0233364 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,8),(14,6),-0.0799319 # DEPENDENCYPART_TRISIBL
(14,13),(14,8),(14,2),-0.0799319 # DEPENDENCYPART_TRISIBL
(14,13),(14,8),(14,-1),0.0462498 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,6),(14,2),-0.113095 # DEPENDENCYPART_TRISIBL
(14,13),(14,6),(14,-1),-0.0396487 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,2),(14,-1),-0.0396487 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,11),(14,10),-0.0603154 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,9),-0.0537671 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,8),-0.0136783 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,6),-0.141284 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,2),-0.141547 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,-1),0.00240059 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,10),(14,9),-0.0674583 # DEPENDENCYPART_TRISIBL
(14,12),(14,10),(14,8),-0.00721269 # DEPENDENCYPART_TRISIBL
(14,12),(14,10),(14,6),-0.187804 # DEPENDENCYPART_TRISIBL
(14,12),(14,10),(14,2),-0.188067 # DEPENDENCYPART_TRISIBL
(14,12),(14,10),(14,-1),-0.0677092 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,9),(14,8),-0.0077401 # DEPENDENCYPART_TRISIBL
(14,12),(14,9),(14,6),-0.187804 # DEPENDENCYPART_TRISIBL
(14,12),(14,9),(14,2),-0.188067 # DEPENDENCYPART_TRISIBL
(14,12),(14,9),(14,-1),-0.0598394 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,8),(14,6),-0.0874621 # DEPENDENCYPART_TRISIBL
(14,12),(14,8),(14,2),-0.087725 # DEPENDENCYPART_TRISIBL
(14,12),(14,8),(14,-1),-0.045589 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,6),(14,2),-0.135726 # DEPENDENCYPART_TRISIBL
(14,12),(14,6),(14,-1),0.0112933 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,2),(14,-1),0.0116664 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,10),(14,9),-0.0558495 # DEPENDENCYPART_TRISIBL
(14,11),(14,10),(14,8),-0.0674509 # DEPENDENCYPART_TRISIBL
(14,11),(14,10),(14,6),-0.0794628 # DEPENDENCYPART_TRISIBL
(14,11),(14,10),(14,2),-0.0794624 # DEPENDENCYPART_TRISIBL
(14,11),(14,10),(14,-1),-0.0497253 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,9),(14,8),-0.0641802 # DEPENDENCYPART_TRISIBL
(14,11),(14,9),(14,6),-0.0795011 # DEPENDENCYPART_TRISIBL
(14,11),(14,9),(14,2),-0.0795007 # DEPENDENCYPART_TRISIBL
(14,11),(14,9),(14,-1),-0.0537768 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,8),(14,6),-0.0729117 # DEPENDENCYPART_TRISIBL
(14,11),(14,8),(14,2),-0.0729113 # DEPENDENCYPART_TRISIBL
(14,11),(14,8),(14,-1),-0.0169549 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,6),(14,2),-0.0602852 # DEPENDENCYPART_TRISIBL
(14,11),(14,6),(14,-1),-0.101431 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,2),(14,-1),-0.101431 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,10),(14,9),(14,8),-0.0510913 # DEPENDENCYPART_TRISIBL
(14,10),(14,9),(14,6),-0.00447995 # DEPENDENCYPART_TRISIBL
(14,10),(14,9),(14,2),-0.0044795 # DEPENDENCYPART_TRISIBL
(14,10),(14,9),(14,-1),-0.100166 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,10),(14,8),(14,6),-0.0494178 # DEPENDENCYPART_TRISIBL
(14,10),(14,8),(14,2),-0.0494174 # DEPENDENCYPART_TRISIBL
(14,10),(14,8),(14,-1),-0.0531893 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,10),(14,6),(14,2),-0.0940745 # DEPENDENCYPART_TRISIBL
(14,10),(14,6),(14,-1),-0.0541254 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,10),(14,2),(14,-1),-0.0541254 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,9),(14,8),(14,6),-0.0360978 # DEPENDENCYPART_TRISIBL
(14,9),(14,8),(14,2),-0.0360974 # DEPENDENCYPART_TRISIBL
(14,9),(14,8),(14,-1),-0.0475149 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,9),(14,6),(14,2),-0.0791685 # DEPENDENCYPART_TRISIBL
(14,9),(14,6),(14,-1),-0.0665737 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,9),(14,2),(14,-1),-0.0665737 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,8),(14,6),(14,2),-0.150497 # DEPENDENCYPART_TRISIBL
(14,8),(14,6),(14,-1),0.00684298 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,8),(14,2),(14,-1),0.00684298 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,6),(14,2),(14,-1),-0.0965151 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,16),(15,17),-0.0315169 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,18),-0.0348854 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,15),(15,17),(15,18),-0.155688 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,16),(15,17),(15,18),-0.0655063 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,12),(15,11),-0.185362 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,12),(15,10),-0.202224 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,12),(15,9),-0.154337 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,12),(15,8),-0.0527517 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,12),(15,7),-0.158173 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,12),(15,6),-0.223141 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,12),(15,5),-0.128261 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,12),(15,4),-0.200477 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,12),(15,3),-0.284572 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,12),(15,2),-0.223141 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,12),(15,-1),-0.316296 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,11),(15,10),-0.0918762 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,11),(15,9),-0.0459731 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,11),(15,8),0.126715 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,11),(15,7),0.0080592 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,11),(15,6),-0.118641 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,11),(15,5),-0.0921657 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,11),(15,4),-0.0997821 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,11),(15,3),-0.126178 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,11),(15,2),-0.118641 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,11),(15,-1),-0.0679543 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,10),(15,9),-0.0953517 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,10),(15,8),-0.0587358 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,10),(15,7),-0.197308 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,10),(15,6),-0.00112971 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,10),(15,5),-0.138855 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,10),(15,4),0.0194812 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,10),(15,3),-0.307303 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,10),(15,2),-0.0011299 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,10),(15,-1),-0.104058 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,9),(15,8),-0.0614782 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,9),(15,7),-0.179812 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,9),(15,6),-0.00845197 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,9),(15,5),-0.143613 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,9),(15,4),0.0121589 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,9),(15,3),-0.310046 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,9),(15,2),-0.00845215 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,9),(15,-1),-0.121419 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,8),(15,7),-0.0621051 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,8),(15,6),-0.0312011 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,8),(15,5),-0.178295 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,8),(15,4),-0.0130338 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,8),(15,3),-0.274939 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,8),(15,2),-0.0312013 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,8),(15,-1),-0.152497 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,7),(15,6),-0.223141 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,7),(15,5),-0.128261 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,7),(15,4),-0.200477 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,7),(15,3),-0.284572 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,7),(15,2),-0.223141 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,7),(15,-1),-0.316296 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,6),(15,5),-0.0982685 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,6),(15,4),-0.0556513 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,6),(15,3),-0.136605 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,6),(15,2),-0.0738258 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,6),(15,-1),0.00323931 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,5),(15,4),-0.0920965 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,5),(15,3),-0.0454931 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,5),(15,2),-0.110739 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,5),(15,-1),-0.0548421 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,4),(15,3),-0.139112 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,4),(15,2),-0.0730653 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,4),(15,-1),-0.0025781 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,3),(15,2),-0.044534 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,3),(15,-1),-0.119867 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,2),(15,-1),0.00295064 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,12),(15,11),(15,10),-0.0603154 # DEPENDENCYPART_TRISIBL
(15,12),(15,11),(15,9),-0.0537671 # DEPENDENCYPART_TRISIBL
(15,12),(15,11),(15,8),-0.0136769 # DEPENDENCYPART_TRISIBL
(15,12),(15,11),(15,7),0.246307 # DEPENDENCYPART_TRISIBL
(15,12),(15,11),(15,6),-0.141284 # DEPENDENCYPART_TRISIBL
(15,12),(15,11),(15,5),-0.0255778 # DEPENDENCYPART_TRISIBL
(15,12),(15,11),(15,4),-0.141292 # DEPENDENCYPART_TRISIBL
(15,12),(15,11),(15,3),-0.0160626 # DEPENDENCYPART_TRISIBL
(15,12),(15,11),(15,2),-0.141547 # DEPENDENCYPART_TRISIBL
(15,12),(15,11),(15,-1),0.00245818 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,12),(15,10),(15,9),-0.0674583 # DEPENDENCYPART_TRISIBL
(15,12),(15,10),(15,8),-0.00721134 # DEPENDENCYPART_TRISIBL
(15,12),(15,10),(15,7),0.455886 # DEPENDENCYPART_TRISIBL
(15,12),(15,10),(15,6),-0.187804 # DEPENDENCYPART_TRISIBL
(15,12),(15,10),(15,5),-0.0499804 # DEPENDENCYPART_TRISIBL
(15,12),(15,10),(15,4),-0.187812 # DEPENDENCYPART_TRISIBL
(15,12),(15,10),(15,3),-0.00937641 # DEPENDENCYPART_TRISIBL
(15,12),(15,10),(15,2),-0.188067 # DEPENDENCYPART_TRISIBL
(15,12),(15,10),(15,-1),-0.0676515 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,12),(15,9),(15,8),-0.00773875 # DEPENDENCYPART_TRISIBL
(15,12),(15,9),(15,7),0.456687 # DEPENDENCYPART_TRISIBL
(15,12),(15,9),(15,6),-0.187804 # DEPENDENCYPART_TRISIBL
(15,12),(15,9),(15,5),-0.0505059 # DEPENDENCYPART_TRISIBL
(15,12),(15,9),(15,4),-0.187812 # DEPENDENCYPART_TRISIBL
(15,12),(15,9),(15,3),-0.00990382 # DEPENDENCYPART_TRISIBL
(15,12),(15,9),(15,2),-0.188067 # DEPENDENCYPART_TRISIBL
(15,12),(15,9),(15,-1),-0.0597817 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,12),(15,8),(15,7),0.496727 # DEPENDENCYPART_TRISIBL
(15,12),(15,8),(15,6),-0.0874621 # DEPENDENCYPART_TRISIBL
(15,12),(15,8),(15,5),0.00747627 # DEPENDENCYPART_TRISIBL
(15,12),(15,8),(15,4),-0.0874703 # DEPENDENCYPART_TRISIBL
(15,12),(15,8),(15,3),0.0712174 # DEPENDENCYPART_TRISIBL
(15,12),(15,8),(15,2),-0.087725 # DEPENDENCYPART_TRISIBL
(15,12),(15,8),(15,-1),-0.0454956 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,12),(15,7),(15,6),-0.202614 # DEPENDENCYPART_TRISIBL
(15,12),(15,7),(15,5),-0.0572935 # DEPENDENCYPART_TRISIBL
(15,12),(15,7),(15,4),-0.202622 # DEPENDENCYPART_TRISIBL
(15,12),(15,7),(15,3),-0.0461604 # DEPENDENCYPART_TRISIBL
(15,12),(15,7),(15,2),-0.202877 # DEPENDENCYPART_TRISIBL
(15,12),(15,7),(15,-1),-0.12815 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,12),(15,6),(15,5),-0.0318466 # DEPENDENCYPART_TRISIBL
(15,12),(15,6),(15,4),-0.135213 # DEPENDENCYPART_TRISIBL
(15,12),(15,6),(15,3),0.0785123 # DEPENDENCYPART_TRISIBL
(15,12),(15,6),(15,2),-0.135726 # DEPENDENCYPART_TRISIBL
(15,12),(15,6),(15,-1),0.011357 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,12),(15,5),(15,4),-0.137017 # DEPENDENCYPART_TRISIBL
(15,12),(15,5),(15,3),-0.0269954 # DEPENDENCYPART_TRISIBL
(15,12),(15,5),(15,2),-0.137272 # DEPENDENCYPART_TRISIBL
(15,12),(15,5),(15,-1),-0.0231273 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,12),(15,4),(15,3),0.0777383 # DEPENDENCYPART_TRISIBL
(15,12),(15,4),(15,2),-0.135728 # DEPENDENCYPART_TRISIBL
(15,12),(15,4),(15,-1),0.0100464 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,12),(15,3),(15,2),-0.087742 # DEPENDENCYPART_TRISIBL
(15,12),(15,3),(15,-1),-0.0316496 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,12),(15,2),(15,-1),0.01173 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,11),(15,10),(15,9),-0.0558495 # DEPENDENCYPART_TRISIBL
(15,11),(15,10),(15,8),-0.0674509 # DEPENDENCYPART_TRISIBL
(15,11),(15,10),(15,7),-0.0604774 # DEPENDENCYPART_TRISIBL
(15,11),(15,10),(15,6),-0.0794628 # DEPENDENCYPART_TRISIBL
(15,11),(15,10),(15,5),-0.128296 # DEPENDENCYPART_TRISIBL
(15,11),(15,10),(15,4),-0.0794657 # DEPENDENCYPART_TRISIBL
(15,11),(15,10),(15,3),-0.0586093 # DEPENDENCYPART_TRISIBL
(15,11),(15,10),(15,2),-0.0794624 # DEPENDENCYPART_TRISIBL
(15,11),(15,10),(15,-1),-0.0497246 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,11),(15,9),(15,8),-0.0641802 # DEPENDENCYPART_TRISIBL
(15,11),(15,9),(15,7),-0.0604811 # DEPENDENCYPART_TRISIBL
(15,11),(15,9),(15,6),-0.0795011 # DEPENDENCYPART_TRISIBL
(15,11),(15,9),(15,5),-0.1283 # DEPENDENCYPART_TRISIBL
(15,11),(15,9),(15,4),-0.0795041 # DEPENDENCYPART_TRISIBL
(15,11),(15,9),(15,3),-0.0553386 # DEPENDENCYPART_TRISIBL
(15,11),(15,9),(15,2),-0.0795007 # DEPENDENCYPART_TRISIBL
(15,11),(15,9),(15,-1),-0.0537761 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,11),(15,8),(15,7),-0.0660916 # DEPENDENCYPART_TRISIBL
(15,11),(15,8),(15,6),-0.0729117 # DEPENDENCYPART_TRISIBL
(15,11),(15,8),(15,5),-0.123219 # DEPENDENCYPART_TRISIBL
(15,11),(15,8),(15,4),-0.0729147 # DEPENDENCYPART_TRISIBL
(15,11),(15,8),(15,3),-0.0487384 # DEPENDENCYPART_TRISIBL
(15,11),(15,8),(15,2),-0.0729113 # DEPENDENCYPART_TRISIBL
(15,11),(15,8),(15,-1),-0.0169535 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,11),(15,7),(15,6),-0.032859 # DEPENDENCYPART_TRISIBL
(15,11),(15,7),(15,5),-0.129709 # DEPENDENCYPART_TRISIBL
(15,11),(15,7),(15,4),-0.0328618 # DEPENDENCYPART_TRISIBL
(15,11),(15,7),(15,3),-0.0403397 # DEPENDENCYPART_TRISIBL
(15,11),(15,7),(15,2),-0.0328584 # DEPENDENCYPART_TRISIBL
(15,11),(15,7),(15,-1),-0.165758 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,11),(15,6),(15,5),-0.128407 # DEPENDENCYPART_TRISIBL
(15,11),(15,6),(15,4),-0.0602919 # DEPENDENCYPART_TRISIBL
(15,11),(15,6),(15,3),-0.0680078 # DEPENDENCYPART_TRISIBL
(15,11),(15,6),(15,2),-0.0602852 # DEPENDENCYPART_TRISIBL
(15,11),(15,6),(15,-1),-0.10143 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,11),(15,5),(15,4),-0.0803819 # DEPENDENCYPART_TRISIBL
(15,11),(15,5),(15,3),-0.0629455 # DEPENDENCYPART_TRISIBL
(15,11),(15,5),(15,2),-0.0803785 # DEPENDENCYPART_TRISIBL
(15,11),(15,5),(15,-1),-0.111214 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,11),(15,4),(15,3),-0.0680078 # DEPENDENCYPART_TRISIBL
(15,11),(15,4),(15,2),-0.0602852 # DEPENDENCYPART_TRISIBL
(15,11),(15,4),(15,-1),-0.10143 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,11),(15,3),(15,2),-0.0730928 # DEPENDENCYPART_TRISIBL
(15,11),(15,3),(15,-1),-0.0221547 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,11),(15,2),(15,-1),-0.10143 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,10),(15,9),(15,8),-0.0509486 # DEPENDENCYPART_TRISIBL
(15,10),(15,9),(15,7),-0.0440031 # DEPENDENCYPART_TRISIBL
(15,10),(15,9),(15,6),-0.00447995 # DEPENDENCYPART_TRISIBL
(15,10),(15,9),(15,5),-0.11302 # DEPENDENCYPART_TRISIBL
(15,10),(15,9),(15,4),-0.00619555 # DEPENDENCYPART_TRISIBL
(15,10),(15,9),(15,3),-0.0712121 # DEPENDENCYPART_TRISIBL
(15,10),(15,9),(15,2),-0.0044795 # DEPENDENCYPART_TRISIBL
(15,10),(15,9),(15,-1),-0.0977965 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,10),(15,8),(15,7),-0.0227931 # DEPENDENCYPART_TRISIBL
(15,10),(15,8),(15,6),-0.0494178 # DEPENDENCYPART_TRISIBL
(15,10),(15,8),(15,5),-0.130936 # DEPENDENCYPART_TRISIBL
(15,10),(15,8),(15,4),-0.0511334 # DEPENDENCYPART_TRISIBL
(15,10),(15,8),(15,3),-0.0896723 # DEPENDENCYPART_TRISIBL
(15,10),(15,8),(15,2),-0.0494174 # DEPENDENCYPART_TRISIBL
(15,10),(15,8),(15,-1),-0.051278 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,10),(15,7),(15,6),0.0558607 # DEPENDENCYPART_TRISIBL
(15,10),(15,7),(15,5),-0.151853 # DEPENDENCYPART_TRISIBL
(15,10),(15,7),(15,4),0.0538034 # DEPENDENCYPART_TRISIBL
(15,10),(15,7),(15,3),-0.0618612 # DEPENDENCYPART_TRISIBL
(15,10),(15,7),(15,2),0.0558616 # DEPENDENCYPART_TRISIBL
(15,10),(15,7),(15,-1),-0.189906 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,10),(15,6),(15,5),-0.138571 # DEPENDENCYPART_TRISIBL
(15,10),(15,6),(15,4),-0.0966046 # DEPENDENCYPART_TRISIBL
(15,10),(15,6),(15,3),-0.0662386 # DEPENDENCYPART_TRISIBL
(15,10),(15,6),(15,2),-0.0940745 # DEPENDENCYPART_TRISIBL
(15,10),(15,6),(15,-1),-0.0518652 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,10),(15,5),(15,4),-0.050922 # DEPENDENCYPART_TRISIBL
(15,10),(15,5),(15,3),-0.0678211 # DEPENDENCYPART_TRISIBL
(15,10),(15,5),(15,2),-0.0492059 # DEPENDENCYPART_TRISIBL
