# _root_ But Mr. Schulte , the bondholders ' adviser , said Revco was dragging its feet in responding to the proposal .
#goldHeads=10,3,10,3,6,8,6,3,3,0,12,10,12,15,13,13,16,17,20,18,10,
#predictedHeads=10,3,10,3,6,8,6,3,3,0,12,10,12,15,13,13,16,17,20,18,10,
(17,18),(18,20),(18,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(17,18),(18,20),(18,22),0.0664416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,21),(18,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,18),(18,18),(18,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,18),(18,18),(18,-1),0.133522 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,18),(18,16),(18,-1),-0.155146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,19),(19,19),(19,22),-0.0560366 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,19),(19,19),(19,-1),-0.325252 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,20),(20,21),0.00656601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,22),0.065931 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,21),(20,22),-0.0121011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,20),(20,19),0.0998303 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,18),0.151789 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,17),0.131507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,16),-0.0791663 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,15),-0.0538684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,14),-0.151153 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,20),(20,-1),-0.183009 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,19),(20,18),0.10363 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,17),0.1201 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,16),-0.134871 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,15),-0.144795 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,19),(20,-1),-0.226938 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,18),(20,17),0.105642 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,16),-0.147986 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,15),-0.144848 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,18),(20,-1),-0.0583638 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,17),(20,16),-0.146868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,17),(20,15),-0.142064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,17),(20,14),-0.14475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,20),(20,17),(20,-1),-0.138298 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,20),(20,16),(20,15),-0.146059 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,16),(20,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,16),(20,-1),-0.0524593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,15),(20,14),-0.144962 # DEPENDENCYPART_GRANDSIBL
(17,20),(20,15),(20,-1),-0.116054 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,20),(20,14),(20,-1),-0.20829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(17,21),(21,21),(21,22),-0.00833887 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,21),(21,21),(21,20),0.0732956 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(17,21),(21,21),(21,-1),0.0180326 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(17,21),(21,20),(21,-1),-0.177564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,16),(16,17),0.108773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,20),-0.146609 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,22),-0.174357 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,16),(16,17),(16,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,17),(16,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,17),(16,22),-0.146108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,18),(16,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,18),(16,22),-0.146041 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,16),(16,20),(16,22),-0.107096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,16),(16,15),-0.0282669 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,16),(16,16),(16,-1),-0.0434914 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,16),(16,15),(16,-1),-0.036847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,19),(19,22),-0.0405666 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,19),(19,19),(19,-1),-0.157738 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,20),(20,20),(20,21),-0.0237383 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,20),(20,20),(20,22),0.17458 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,20),(20,21),(20,22),-0.0263237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,20),(20,20),(20,19),0.154357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,20),(20,20),(20,18),0.0943058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,20),(20,20),(20,17),-0.150649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,20),(20,20),(20,16),-0.145285 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,20),(20,20),(20,15),-0.145835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,20),(20,20),(20,14),-0.147399 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,20),(20,20),(20,-1),-0.260094 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,20),(20,19),(20,18),0.10954 # DEPENDENCYPART_GRANDSIBL
(18,20),(20,19),(20,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,20),(20,19),(20,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,20),(20,19),(20,15),-0.144811 # DEPENDENCYPART_GRANDSIBL
(18,20),(20,19),(20,14),-0.144703 # DEPENDENCYPART_GRANDSIBL
(18,20),(20,19),(20,-1),-0.138195 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,20),(20,18),(20,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,20),(20,18),(20,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,20),(20,18),(20,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,20),(20,18),(20,14),-0.145311 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,20),(20,18),(20,-1),-0.159048 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,20),(20,17),(20,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,20),(20,17),(20,15),-0.144721 # DEPENDENCYPART_GRANDSIBL
(18,20),(20,17),(20,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,20),(20,17),(20,-1),-0.171896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,20),(20,16),(20,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,20),(20,16),(20,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,20),(20,16),(20,-1),-0.130854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,20),(20,15),(20,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(18,20),(20,15),(20,-1),-0.0928673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,20),(20,14),(20,-1),-0.122303 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,21),(21,21),(21,22),-0.018958 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,21),(21,21),(21,20),0.109512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,-1),-0.144077 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,21),(21,20),(21,-1),-0.144726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,14),(14,14),(14,22),-0.0699536 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,14),(14,14),(14,-1),0.0452158 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,15),(15,15),(15,16),0.16223 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,17),0.0931337 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,18),0.162999 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,20),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,22),-0.0122592 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,15),(15,16),(15,17),0.109389 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,16),(15,18),0.108868 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,16),(15,20),-0.144983 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,16),(15,22),-0.104033 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,17),(15,18),0.107486 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,17),(15,20),-0.14472 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,17),(15,22),-0.196552 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,18),(15,20),-0.144785 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,18),(15,22),-0.1075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,20),(15,22),-0.174851 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,15),(15,15),(15,14),-0.0278562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,13),0.0478703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,11),-0.131975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,10),0.0472615 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,8),-0.132694 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,-1),0.135886 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,15),(15,14),(15,13),-0.0198376 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,14),(15,11),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,14),(15,10),-0.0198376 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,14),(15,8),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,14),(15,-1),-0.0132778 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,13),(15,11),-0.0233145 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,13),(15,10),-0.0237863 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,13),(15,8),-0.0233145 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,13),(15,-1),0.00233587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,11),(15,10),-0.0208484 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,11),(15,8),-0.00139317 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,11),(15,-1),0.0257744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,10),(15,8),-0.0235046 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,10),(15,-1),0.00189908 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,8),(15,-1),0.0257709 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,16),(16,17),0.100746 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,18),0.161575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,20),-0.162245 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,22),-0.137273 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,16),(16,17),(16,18),0.109509 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,17),(16,20),-0.144786 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,17),(16,22),-0.156228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,18),(16,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,18),(16,22),-0.159119 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,20),(16,22),-0.193051 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,16),(16,16),(16,15),0.136754 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,16),(16,16),(16,-1),-0.349901 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,16),(16,15),(16,-1),0.0690318 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,17),(17,17),(17,18),0.188316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,17),(17,17),(17,19),0.0896582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,17),(17,17),(17,20),-0.193413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,17),(17,17),(17,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,17),(17,17),(17,22),-0.0155247 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,17),(17,18),(17,19),0.109523 # DEPENDENCYPART_GRANDSIBL
(20,17),(17,18),(17,20),-0.144744 # DEPENDENCYPART_GRANDSIBL
(20,17),(17,18),(17,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,17),(17,18),(17,22),-0.0883656 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,17),(17,19),(17,20),-0.144878 # DEPENDENCYPART_GRANDSIBL
(20,17),(17,19),(17,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,17),(17,19),(17,22),-0.163179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,17),(17,20),(17,21),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,17),(17,20),(17,22),-0.0859958 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,17),(17,21),(17,22),-0.145637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,17),(17,17),(17,16),0.000393886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,17),(17,17),(17,15),-0.0137578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,17),(17,17),(17,-1),0.0554339 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,17),(17,16),(17,15),-0.0134152 # DEPENDENCYPART_GRANDSIBL
(20,17),(17,16),(17,-1),0.0251738 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,17),(17,15),(17,-1),-0.0215893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,18),(18,19),0.109468 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,20),-0.148261 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,22),-0.0991585 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,18),(18,19),(18,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,19),(18,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,19),(18,22),-0.144774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,20),(18,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,20),(18,22),-0.170299 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,18),(18,21),(18,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,18),(18,16),-0.0286922 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,-1),-0.21652 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,18),(18,16),(18,-1),-0.0138597 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,19),(19,19),(19,22),0.103559 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,19),(19,19),(19,-1),0.222752 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,21),(21,22),0.00382631 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,21),(21,20),0.107958 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,-1),-0.112755 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,20),(21,-1),-0.1457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,20),(20,20),(20,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,20),(20,22),-0.226117 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,20),(20,21),(20,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,20),(20,20),(20,19),-0.0318334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,20),(20,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,20),(20,17),-0.0209994 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,20),(20,16),-0.0199294 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,20),(20,15),-0.0312489 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,20),(20,14),-0.0194481 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,20),(20,-1),-0.0378867 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,20),(20,19),(20,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,19),(20,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,19),(20,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,19),(20,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,19),(20,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,19),(20,-1),-0.0364262 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,20),(20,18),(20,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,18),(20,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,18),(20,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,18),(20,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,18),(20,-1),-0.0194405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,20),(20,17),(20,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,17),(20,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,17),(20,14),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,17),(20,-1),-0.0209993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,20),(20,16),(20,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,16),(20,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,16),(20,-1),-0.0199823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,20),(20,15),(20,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(21,20),(20,15),(20,-1),-0.0311565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,20),(20,14),(20,-1),-0.0194512 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,0),(0,1),(0,3),-0.136293 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,1),(0,8),-0.130338 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,1),(0,10),-0.196709 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,1),(0,12),-0.17507 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,1),(0,13),-0.1896 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,1),(0,22),0.421322 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,3),(0,8),-0.154014 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,3),(0,10),-0.18846 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,3),(0,12),-0.165784 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,3),(0,13),-0.180451 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,3),(0,22),0.279656 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,8),(0,10),-0.18846 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,8),(0,12),-0.165784 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,8),(0,13),-0.180451 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,8),(0,22),0.276094 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,10),(0,12),-0.252631 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,10),(0,13),-0.279394 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,10),(0,22),0.804097 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,12),(0,13),-0.268618 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,12),(0,22),0.770053 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,13),(0,22),0.737734 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,1),(0,3),(0,8),-0.0832031 # DEPENDENCYPART_TRISIBL
(0,1),(0,3),(0,10),-0.0729201 # DEPENDENCYPART_TRISIBL
(0,1),(0,3),(0,12),-0.0751363 # DEPENDENCYPART_TRISIBL
(0,1),(0,3),(0,13),-0.0712744 # DEPENDENCYPART_TRISIBL
(0,1),(0,3),(0,22),-0.171107 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,1),(0,8),(0,10),-0.0729201 # DEPENDENCYPART_TRISIBL
(0,1),(0,8),(0,12),-0.0751363 # DEPENDENCYPART_TRISIBL
(0,1),(0,8),(0,13),-0.0712744 # DEPENDENCYPART_TRISIBL
(0,1),(0,8),(0,22),-0.171107 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,1),(0,10),(0,12),-0.09205 # DEPENDENCYPART_TRISIBL
(0,1),(0,10),(0,13),-0.0879453 # DEPENDENCYPART_TRISIBL
(0,1),(0,10),(0,22),-0.21883 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,1),(0,12),(0,13),-0.0871487 # DEPENDENCYPART_TRISIBL
(0,1),(0,12),(0,22),-0.219794 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,1),(0,13),(0,22),-0.216228 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(0,8),(0,10),-0.0823038 # DEPENDENCYPART_TRISIBL
(0,3),(0,8),(0,12),-0.0684386 # DEPENDENCYPART_TRISIBL
(0,3),(0,8),(0,13),-0.0764614 # DEPENDENCYPART_TRISIBL
(0,3),(0,8),(0,22),-0.128155 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(0,10),(0,12),-0.0845648 # DEPENDENCYPART_TRISIBL
(0,3),(0,10),(0,13),-0.0897454 # DEPENDENCYPART_TRISIBL
(0,3),(0,10),(0,22),-0.123387 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(0,12),(0,13),-0.0927384 # DEPENDENCYPART_TRISIBL
(0,3),(0,12),(0,22),-0.127554 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(0,13),(0,22),-0.121639 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,8),(0,10),(0,12),-0.084565 # DEPENDENCYPART_TRISIBL
(0,8),(0,10),(0,13),-0.0897457 # DEPENDENCYPART_TRISIBL
(0,8),(0,10),(0,22),-0.123651 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,8),(0,12),(0,13),-0.0927386 # DEPENDENCYPART_TRISIBL
(0,8),(0,12),(0,22),-0.127817 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,8),(0,13),(0,22),-0.121902 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,10),(0,12),(0,13),-0.150795 # DEPENDENCYPART_TRISIBL
(0,10),(0,12),(0,22),-0.229098 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,10),(0,13),(0,22),-0.237155 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,12),(0,13),(0,22),-0.252768 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,1),(1,2),(1,3),-0.142209 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,4),0.00911964 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,8),-0.136277 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,9),0.00911964 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,10),-0.0640875 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,12),-0.0422859 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,13),-0.0561175 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,17),-0.0573282 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,21),-0.151708 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,22),-0.11736 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,3),(1,4),0.0112273 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,3),(1,8),-0.134641 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,3),(1,9),0.0112273 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,3),(1,10),-0.0635307 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,3),(1,12),-0.041729 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,3),(1,13),-0.0555607 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
