# _root_ When the plant was destroyed , `` I think everyone got concerned that the same thing would happen at our plant , '' a KerrMcGee spokeswoman said .
#goldHeads=5,3,4,9,4,9,9,9,27,11,9,11,17,16,16,17,12,17,18,21,19,27,27,26,26,27,0,27,
#predictedHeads=5,3,4,27,4,9,9,9,27,11,9,11,17,16,16,17,12,17,18,21,19,27,27,26,26,27,0,27,
(4,10),(4,23),(4,28),-0.077723 # DEPENDENCYPART_TRISIBL
(4,10),(4,23),(4,29),-0.0882541 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,10),(4,28),(4,29),0.0020205 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,11),(4,17),(4,22),-0.103835 # DEPENDENCYPART_TRISIBL
(4,11),(4,17),(4,23),-0.0223248 # DEPENDENCYPART_TRISIBL
(4,11),(4,17),(4,28),-0.114403 # DEPENDENCYPART_TRISIBL
(4,11),(4,17),(4,29),-0.0799991 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,11),(4,22),(4,23),0.0635232 # DEPENDENCYPART_TRISIBL
(4,11),(4,22),(4,28),-0.113057 # DEPENDENCYPART_TRISIBL
(4,11),(4,22),(4,29),-0.10741 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,11),(4,23),(4,28),-0.0823571 # DEPENDENCYPART_TRISIBL
(4,11),(4,23),(4,29),-0.0776573 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,11),(4,28),(4,29),-0.0175715 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,17),(4,22),(4,23),-0.035982 # DEPENDENCYPART_TRISIBL
(4,17),(4,22),(4,28),-0.135689 # DEPENDENCYPART_TRISIBL
(4,17),(4,22),(4,29),-0.116481 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,17),(4,23),(4,28),-0.125083 # DEPENDENCYPART_TRISIBL
(4,17),(4,23),(4,29),-0.0915939 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,17),(4,28),(4,29),-0.0322252 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,22),(4,23),(4,28),-0.070936 # DEPENDENCYPART_TRISIBL
(4,22),(4,23),(4,29),0.0352011 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,22),(4,28),(4,29),-0.135087 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,23),(4,28),(4,29),-0.09466 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,3),(4,2),-0.0457573 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,3),(4,1),0.123239 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,3),(4,-1),0.0514719 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,2),(4,1),0.070358 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,2),(4,-1),-0.0275424 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,1),(4,-1),0.138802 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,3),(4,2),(4,1),-0.0854086 # DEPENDENCYPART_TRISIBL
(4,3),(4,2),(4,-1),0.0208216 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,3),(4,1),(4,-1),0.085344 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,2),(4,1),(4,-1),-0.0791904 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,5),(5,6),(5,7),0.0392094 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,9),-0.126946 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,10),-0.254219 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,11),-0.145855 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,12),-0.127043 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,17),-0.0979216 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,18),-0.139393 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,22),-0.113123 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,27),-0.143245 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,28),-0.0724008 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,29),-0.152398 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,7),(5,9),-0.092926 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,10),-0.0260408 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,11),-0.109201 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,12),-0.0307458 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,17),-0.0945187 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,18),-0.103187 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,22),-0.0865713 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,27),-0.102636 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,28),-0.0884747 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,29),-0.251276 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,9),(5,10),-0.0504782 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,9),(5,11),-0.00344584 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,9),(5,12),-0.103796 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,9),(5,17),-0.0897527 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,9),(5,18),0.00285743 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,9),(5,22),0.00544444 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,9),(5,27),-0.00384649 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,9),(5,28),0.00263393 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,9),(5,29),0.021316 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,10),(5,11),-0.0134172 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,10),(5,12),-0.0666353 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,10),(5,17),-0.0278865 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,10),(5,18),-0.00570201 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,10),(5,22),-0.00345136 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,10),(5,27),-0.00582508 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,10),(5,28),-0.0276491 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,10),(5,29),0.00461857 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,11),(5,12),-0.103795 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,11),(5,17),-0.0896638 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,11),(5,18),-0.00549943 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,11),(5,22),0.0227202 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,11),(5,27),-0.0122033 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,11),(5,28),0.0160663 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,11),(5,29),0.00797007 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,12),(5,17),-0.0613375 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,12),(5,18),0.018587 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,12),(5,22),-0.0390597 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,12),(5,27),0.026135 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,12),(5,28),-0.0248489 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,12),(5,29),-0.0165487 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,17),(5,18),-0.00167972 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,17),(5,22),0.0245398 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,17),(5,27),-0.000454875 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,17),(5,28),0.0451999 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,17),(5,29),0.00518226 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,18),(5,22),0.00966029 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,18),(5,27),-0.0115645 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,18),(5,28),0.0126681 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,18),(5,29),0.003115 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,22),(5,27),-0.143245 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,22),(5,28),-0.0724008 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,22),(5,29),-0.152398 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,27),(5,28),0.0399908 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,27),(5,29),0.0211384 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,28),(5,29),-0.155688 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,6),(5,7),(5,9),0.0484366 # DEPENDENCYPART_TRISIBL
(5,6),(5,7),(5,10),-0.0344727 # DEPENDENCYPART_TRISIBL
(5,6),(5,7),(5,11),0.050277 # DEPENDENCYPART_TRISIBL
(5,6),(5,7),(5,12),-0.0617908 # DEPENDENCYPART_TRISIBL
(5,6),(5,7),(5,17),-0.0456211 # DEPENDENCYPART_TRISIBL
(5,6),(5,7),(5,18),0.0506046 # DEPENDENCYPART_TRISIBL
(5,6),(5,7),(5,22),0.110734 # DEPENDENCYPART_TRISIBL
(5,6),(5,7),(5,27),0.0429513 # DEPENDENCYPART_TRISIBL
(5,6),(5,7),(5,28),-0.0342836 # DEPENDENCYPART_TRISIBL
(5,6),(5,7),(5,29),-0.0186503 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,9),(5,10),-0.0744479 # DEPENDENCYPART_TRISIBL
(5,6),(5,9),(5,11),-0.0305044 # DEPENDENCYPART_TRISIBL
(5,6),(5,9),(5,12),-0.0840345 # DEPENDENCYPART_TRISIBL
(5,6),(5,9),(5,17),-0.0606965 # DEPENDENCYPART_TRISIBL
(5,6),(5,9),(5,18),-0.0301767 # DEPENDENCYPART_TRISIBL
(5,6),(5,9),(5,22),0.23354 # DEPENDENCYPART_TRISIBL
(5,6),(5,9),(5,27),-0.0378069 # DEPENDENCYPART_TRISIBL
(5,6),(5,9),(5,28),0.0522506 # DEPENDENCYPART_TRISIBL
(5,6),(5,9),(5,29),0.0216364 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,10),(5,11),-0.0449147 # DEPENDENCYPART_TRISIBL
(5,6),(5,10),(5,12),-0.0717636 # DEPENDENCYPART_TRISIBL
(5,6),(5,10),(5,17),-0.0652274 # DEPENDENCYPART_TRISIBL
(5,6),(5,10),(5,18),-0.0445863 # DEPENDENCYPART_TRISIBL
(5,6),(5,10),(5,22),0.196287 # DEPENDENCYPART_TRISIBL
(5,6),(5,10),(5,27),-0.0532457 # DEPENDENCYPART_TRISIBL
(5,6),(5,10),(5,28),-0.0740637 # DEPENDENCYPART_TRISIBL
(5,6),(5,10),(5,29),-0.0165304 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,11),(5,12),-0.0840345 # DEPENDENCYPART_TRISIBL
(5,6),(5,11),(5,17),-0.0606965 # DEPENDENCYPART_TRISIBL
(5,6),(5,11),(5,18),-0.0303261 # DEPENDENCYPART_TRISIBL
(5,6),(5,11),(5,22),0.234289 # DEPENDENCYPART_TRISIBL
(5,6),(5,11),(5,27),-0.0379563 # DEPENDENCYPART_TRISIBL
(5,6),(5,11),(5,28),0.0464977 # DEPENDENCYPART_TRISIBL
(5,6),(5,11),(5,29),0.0251402 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,12),(5,17),-0.0549296 # DEPENDENCYPART_TRISIBL
(5,6),(5,12),(5,18),-0.0264357 # DEPENDENCYPART_TRISIBL
(5,6),(5,12),(5,22),0.236755 # DEPENDENCYPART_TRISIBL
(5,6),(5,12),(5,27),-0.0340173 # DEPENDENCYPART_TRISIBL
(5,6),(5,12),(5,28),-0.0534264 # DEPENDENCYPART_TRISIBL
(5,6),(5,12),(5,29),-0.0820434 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,17),(5,18),-0.0236078 # DEPENDENCYPART_TRISIBL
(5,6),(5,17),(5,22),0.202526 # DEPENDENCYPART_TRISIBL
(5,6),(5,17),(5,27),-0.0311859 # DEPENDENCYPART_TRISIBL
(5,6),(5,17),(5,28),-0.00443035 # DEPENDENCYPART_TRISIBL
(5,6),(5,17),(5,29),-0.0378259 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,18),(5,22),0.234354 # DEPENDENCYPART_TRISIBL
(5,6),(5,18),(5,27),-0.0378066 # DEPENDENCYPART_TRISIBL
(5,6),(5,18),(5,28),0.046892 # DEPENDENCYPART_TRISIBL
(5,6),(5,18),(5,29),0.0236714 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,22),(5,27),-0.0715834 # DEPENDENCYPART_TRISIBL
(5,6),(5,22),(5,28),-0.0475817 # DEPENDENCYPART_TRISIBL
(5,6),(5,22),(5,29),-0.071971 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,27),(5,28),0.0277137 # DEPENDENCYPART_TRISIBL
(5,6),(5,27),(5,29),0.0149448 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,28),(5,29),-0.138374 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,9),(5,10),-0.0871513 # DEPENDENCYPART_TRISIBL
(5,7),(5,9),(5,11),-0.0967827 # DEPENDENCYPART_TRISIBL
(5,7),(5,9),(5,12),-0.0786894 # DEPENDENCYPART_TRISIBL
(5,7),(5,9),(5,17),-0.0860703 # DEPENDENCYPART_TRISIBL
(5,7),(5,9),(5,18),-0.0967827 # DEPENDENCYPART_TRISIBL
(5,7),(5,9),(5,22),-0.0480294 # DEPENDENCYPART_TRISIBL
(5,7),(5,9),(5,27),-0.0968818 # DEPENDENCYPART_TRISIBL
(5,7),(5,9),(5,28),0.0433341 # DEPENDENCYPART_TRISIBL
(5,7),(5,9),(5,29),0.0121868 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,10),(5,11),-0.0924378 # DEPENDENCYPART_TRISIBL
(5,7),(5,10),(5,12),-0.0808797 # DEPENDENCYPART_TRISIBL
(5,7),(5,10),(5,17),-0.0923601 # DEPENDENCYPART_TRISIBL
(5,7),(5,10),(5,18),-0.0924378 # DEPENDENCYPART_TRISIBL
(5,7),(5,10),(5,22),0.0099222 # DEPENDENCYPART_TRISIBL
(5,7),(5,10),(5,27),-0.0924947 # DEPENDENCYPART_TRISIBL
(5,7),(5,10),(5,28),0.00678583 # DEPENDENCYPART_TRISIBL
(5,7),(5,10),(5,29),-0.0205335 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,11),(5,12),-0.0786894 # DEPENDENCYPART_TRISIBL
(5,7),(5,11),(5,17),-0.0860703 # DEPENDENCYPART_TRISIBL
(5,7),(5,11),(5,18),-0.0967827 # DEPENDENCYPART_TRISIBL
(5,7),(5,11),(5,22),-0.0480294 # DEPENDENCYPART_TRISIBL
(5,7),(5,11),(5,27),-0.0968818 # DEPENDENCYPART_TRISIBL
(5,7),(5,11),(5,28),0.0455124 # DEPENDENCYPART_TRISIBL
(5,7),(5,11),(5,29),0.00754692 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,12),(5,17),-0.0892431 # DEPENDENCYPART_TRISIBL
(5,7),(5,12),(5,18),-0.0887673 # DEPENDENCYPART_TRISIBL
(5,7),(5,12),(5,22),-0.0206172 # DEPENDENCYPART_TRISIBL
(5,7),(5,12),(5,27),-0.088821 # DEPENDENCYPART_TRISIBL
(5,7),(5,12),(5,28),-0.00087173 # DEPENDENCYPART_TRISIBL
(5,7),(5,12),(5,29),-0.014159 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,17),(5,18),-0.0892537 # DEPENDENCYPART_TRISIBL
(5,7),(5,17),(5,22),-0.00545449 # DEPENDENCYPART_TRISIBL
(5,7),(5,17),(5,27),-0.0893074 # DEPENDENCYPART_TRISIBL
(5,7),(5,17),(5,28),0.0424872 # DEPENDENCYPART_TRISIBL
(5,7),(5,17),(5,29),-0.03035 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,18),(5,22),-0.0480295 # DEPENDENCYPART_TRISIBL
(5,7),(5,18),(5,27),-0.0968818 # DEPENDENCYPART_TRISIBL
(5,7),(5,18),(5,28),0.0433728 # DEPENDENCYPART_TRISIBL
(5,7),(5,18),(5,29),0.0082657 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,22),(5,27),-0.0887874 # DEPENDENCYPART_TRISIBL
(5,7),(5,22),(5,28),-0.000819562 # DEPENDENCYPART_TRISIBL
(5,7),(5,22),(5,29),-0.082334 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,27),(5,28),0.0401248 # DEPENDENCYPART_TRISIBL
(5,7),(5,27),(5,29),0.00822965 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,28),(5,29),-0.0529691 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,9),(5,10),(5,11),-0.0913668 # DEPENDENCYPART_TRISIBL
(5,9),(5,10),(5,12),-0.0680226 # DEPENDENCYPART_TRISIBL
(5,9),(5,10),(5,17),-0.0909426 # DEPENDENCYPART_TRISIBL
(5,9),(5,10),(5,18),-0.0908763 # DEPENDENCYPART_TRISIBL
(5,9),(5,10),(5,22),-0.0995092 # DEPENDENCYPART_TRISIBL
(5,9),(5,10),(5,27),-0.0976818 # DEPENDENCYPART_TRISIBL
(5,9),(5,10),(5,28),-0.0187859 # DEPENDENCYPART_TRISIBL
(5,9),(5,10),(5,29),-0.0601001 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,9),(5,11),(5,12),-0.0712852 # DEPENDENCYPART_TRISIBL
(5,9),(5,11),(5,17),-0.0937202 # DEPENDENCYPART_TRISIBL
(5,9),(5,11),(5,18),-0.121168 # DEPENDENCYPART_TRISIBL
(5,9),(5,11),(5,22),-0.115367 # DEPENDENCYPART_TRISIBL
(5,9),(5,11),(5,27),-0.12887 # DEPENDENCYPART_TRISIBL
(5,9),(5,11),(5,28),-0.118191 # DEPENDENCYPART_TRISIBL
(5,9),(5,11),(5,29),-0.0481287 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,9),(5,12),(5,17),-0.085078 # DEPENDENCYPART_TRISIBL
(5,9),(5,12),(5,18),-0.0977497 # DEPENDENCYPART_TRISIBL
(5,9),(5,12),(5,22),-0.101853 # DEPENDENCYPART_TRISIBL
(5,9),(5,12),(5,27),-0.104328 # DEPENDENCYPART_TRISIBL
(5,9),(5,12),(5,28),-0.0549566 # DEPENDENCYPART_TRISIBL
(5,9),(5,12),(5,29),-0.0787271 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,9),(5,17),(5,18),-0.0896816 # DEPENDENCYPART_TRISIBL
(5,9),(5,17),(5,22),-0.101482 # DEPENDENCYPART_TRISIBL
(5,9),(5,17),(5,27),-0.0964281 # DEPENDENCYPART_TRISIBL
(5,9),(5,17),(5,28),-0.106426 # DEPENDENCYPART_TRISIBL
(5,9),(5,17),(5,29),-0.0589464 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,9),(5,18),(5,22),-0.115367 # DEPENDENCYPART_TRISIBL
(5,9),(5,18),(5,27),-0.128794 # DEPENDENCYPART_TRISIBL
(5,9),(5,18),(5,28),-0.118191 # DEPENDENCYPART_TRISIBL
(5,9),(5,18),(5,29),-0.0475829 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,9),(5,22),(5,27),-0.0650823 # DEPENDENCYPART_TRISIBL
(5,9),(5,22),(5,28),-0.105249 # DEPENDENCYPART_TRISIBL
(5,9),(5,22),(5,29),-0.0863825 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,9),(5,27),(5,28),-0.125247 # DEPENDENCYPART_TRISIBL
(5,9),(5,27),(5,29),-0.052179 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,9),(5,28),(5,29),0.0134146 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,10),(5,11),(5,12),-0.0997476 # DEPENDENCYPART_TRISIBL
(5,10),(5,11),(5,17),-0.105592 # DEPENDENCYPART_TRISIBL
(5,10),(5,11),(5,18),-0.0993968 # DEPENDENCYPART_TRISIBL
(5,10),(5,11),(5,22),-0.0106307 # DEPENDENCYPART_TRISIBL
(5,10),(5,11),(5,27),-0.110649 # DEPENDENCYPART_TRISIBL
(5,10),(5,11),(5,28),-0.0616611 # DEPENDENCYPART_TRISIBL
(5,10),(5,11),(5,29),-0.0666797 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,10),(5,12),(5,17),-0.111943 # DEPENDENCYPART_TRISIBL
(5,10),(5,12),(5,18),-0.0796892 # DEPENDENCYPART_TRISIBL
(5,10),(5,12),(5,22),-0.0262241 # DEPENDENCYPART_TRISIBL
(5,10),(5,12),(5,27),-0.0908748 # DEPENDENCYPART_TRISIBL
(5,10),(5,12),(5,28),-0.0664768 # DEPENDENCYPART_TRISIBL
(5,10),(5,12),(5,29),-0.0492141 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,10),(5,17),(5,18),-0.0913822 # DEPENDENCYPART_TRISIBL
(5,10),(5,17),(5,22),0.00727944 # DEPENDENCYPART_TRISIBL
(5,10),(5,17),(5,27),-0.102534 # DEPENDENCYPART_TRISIBL
(5,10),(5,17),(5,28),-0.120249 # DEPENDENCYPART_TRISIBL
(5,10),(5,17),(5,29),-0.067582 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,10),(5,18),(5,22),-0.0106306 # DEPENDENCYPART_TRISIBL
(5,10),(5,18),(5,27),-0.110648 # DEPENDENCYPART_TRISIBL
(5,10),(5,18),(5,28),-0.0616737 # DEPENDENCYPART_TRISIBL
(5,10),(5,18),(5,29),-0.0632757 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,10),(5,22),(5,27),-0.0588576 # DEPENDENCYPART_TRISIBL
(5,10),(5,22),(5,28),-0.123545 # DEPENDENCYPART_TRISIBL
(5,10),(5,22),(5,29),-0.0929859 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,10),(5,27),(5,28),-0.0693822 # DEPENDENCYPART_TRISIBL
(5,10),(5,27),(5,29),-0.0644317 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,10),(5,28),(5,29),-0.012378 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,11),(5,12),(5,17),-0.0849613 # DEPENDENCYPART_TRISIBL
(5,11),(5,12),(5,18),-0.0955426 # DEPENDENCYPART_TRISIBL
(5,11),(5,12),(5,22),-0.101853 # DEPENDENCYPART_TRISIBL
(5,11),(5,12),(5,27),-0.102121 # DEPENDENCYPART_TRISIBL
(5,11),(5,12),(5,28),-0.0549272 # DEPENDENCYPART_TRISIBL
(5,11),(5,12),(5,29),-0.0861204 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,11),(5,17),(5,18),-0.087464 # DEPENDENCYPART_TRISIBL
(5,11),(5,17),(5,22),-0.101483 # DEPENDENCYPART_TRISIBL
(5,11),(5,17),(5,27),-0.0942105 # DEPENDENCYPART_TRISIBL
(5,11),(5,17),(5,28),-0.106397 # DEPENDENCYPART_TRISIBL
(5,11),(5,17),(5,29),-0.0662323 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,11),(5,18),(5,22),-0.115367 # DEPENDENCYPART_TRISIBL
(5,11),(5,18),(5,27),-0.126315 # DEPENDENCYPART_TRISIBL
(5,11),(5,18),(5,28),-0.118125 # DEPENDENCYPART_TRISIBL
(5,11),(5,18),(5,29),-0.0642568 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,11),(5,22),(5,27),-0.0609657 # DEPENDENCYPART_TRISIBL
(5,11),(5,22),(5,28),-0.105219 # DEPENDENCYPART_TRISIBL
(5,11),(5,22),(5,29),-0.0927348 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,11),(5,27),(5,28),-0.125181 # DEPENDENCYPART_TRISIBL
(5,11),(5,27),(5,29),-0.0688528 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,11),(5,28),(5,29),0.00491131 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,12),(5,17),(5,18),-0.0771588 # DEPENDENCYPART_TRISIBL
(5,12),(5,17),(5,22),-0.0318696 # DEPENDENCYPART_TRISIBL
(5,12),(5,17),(5,27),-0.0755103 # DEPENDENCYPART_TRISIBL
(5,12),(5,17),(5,28),-0.0534794 # DEPENDENCYPART_TRISIBL
(5,12),(5,17),(5,29),-0.0419437 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,12),(5,18),(5,22),0.0348017 # DEPENDENCYPART_TRISIBL
(5,12),(5,18),(5,27),-0.0661018 # DEPENDENCYPART_TRISIBL
(5,12),(5,18),(5,28),-0.110805 # DEPENDENCYPART_TRISIBL
(5,12),(5,18),(5,29),-0.0643745 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,12),(5,22),(5,27),-0.0349373 # DEPENDENCYPART_TRISIBL
(5,12),(5,22),(5,28),-0.0625794 # DEPENDENCYPART_TRISIBL
(5,12),(5,22),(5,29),-0.0979108 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,12),(5,27),(5,28),-0.106144 # DEPENDENCYPART_TRISIBL
(5,12),(5,27),(5,29),-0.067922 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,12),(5,28),(5,29),-0.0115009 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,17),(5,18),(5,22),-0.0773034 # DEPENDENCYPART_TRISIBL
(5,17),(5,18),(5,27),-0.0281284 # DEPENDENCYPART_TRISIBL
(5,17),(5,18),(5,28),-0.133051 # DEPENDENCYPART_TRISIBL
(5,17),(5,18),(5,29),-0.0786048 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,17),(5,22),(5,27),0.110607 # DEPENDENCYPART_TRISIBL
(5,17),(5,22),(5,28),-0.135688 # DEPENDENCYPART_TRISIBL
(5,17),(5,22),(5,29),-0.112634 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,17),(5,27),(5,28),-0.133051 # DEPENDENCYPART_TRISIBL
(5,17),(5,27),(5,29),-0.0788173 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,17),(5,28),(5,29),-0.0245676 # DEPENDENCYPART_TRISIBL_LAST_SIBS
