# _root_ `` It 's the whole uncertainty about what 's happening around us , '' said Valentin Von Korff , a trader at Credit Suisse First Boston in Frankfurt .
#goldHeads=15,3,15,6,6,3,6,9,7,9,10,11,15,15,0,18,18,15,18,21,18,21,26,26,26,22,26,27,15,
#predictedHeads=15,3,15,6,6,3,6,9,7,9,10,11,15,15,0,18,18,15,18,21,18,21,26,26,26,22,26,27,15,
(23,25),(23,27),(23,30),-0.0922436 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,24),(24,25),(24,26),-0.102205 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(24,24),(24,25),(24,27),-0.0195739 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(24,24),(24,25),(24,30),-0.100911 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(24,24),(24,26),(24,27),-0.0175262 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(24,24),(24,26),(24,30),-0.105578 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(24,24),(24,27),(24,30),-0.111716 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(24,25),(24,26),(24,27),-0.042161 # DEPENDENCYPART_TRISIBL
(24,25),(24,26),(24,30),-0.117549 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,25),(24,27),(24,30),-0.091429 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,26),(24,27),(24,30),-0.0950512 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,24),(24,23),(24,20),-0.0792699 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(24,24),(24,23),(24,-1),-0.203464 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,24),(24,20),(24,-1),-0.22143 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,23),(24,20),(24,-1),-0.0828222 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,25),(25,26),(25,27),-0.0128598 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(25,25),(25,26),(25,28),-0.0954524 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(25,25),(25,26),(25,30),-0.0951398 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(25,25),(25,27),(25,28),-0.118545 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(25,25),(25,27),(25,30),-0.110119 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(25,25),(25,28),(25,30),-0.0887162 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(25,26),(25,27),(25,28),-0.106673 # DEPENDENCYPART_TRISIBL
(25,26),(25,27),(25,30),-0.0965002 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,26),(25,28),(25,30),-0.118629 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,27),(25,28),(25,30),-0.011387 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,25),(25,24),(25,23),-0.218528 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(25,25),(25,24),(25,21),-0.219399 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(25,25),(25,24),(25,20),-0.0704517 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(25,25),(25,24),(25,-1),-0.191762 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,25),(25,23),(25,21),-0.212758 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(25,25),(25,23),(25,20),-0.0793417 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(25,25),(25,23),(25,-1),-0.207741 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,25),(25,21),(25,20),-0.0704525 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(25,25),(25,21),(25,-1),-0.190154 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,25),(25,20),(25,-1),-0.205553 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,24),(25,23),(25,21),-0.0748317 # DEPENDENCYPART_TRISIBL
(25,24),(25,23),(25,20),-0.0161586 # DEPENDENCYPART_TRISIBL
(25,24),(25,23),(25,-1),-0.121171 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,24),(25,21),(25,20),-0.0161528 # DEPENDENCYPART_TRISIBL
(25,24),(25,21),(25,-1),-0.125021 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,24),(25,20),(25,-1),-0.0436191 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,23),(25,21),(25,20),-0.0142271 # DEPENDENCYPART_TRISIBL
(25,23),(25,21),(25,-1),-0.151026 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,23),(25,20),(25,-1),-0.0827107 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,21),(25,20),(25,-1),-0.0484239 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,26),(26,27),(26,28),-0.119227 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,27),(26,29),-0.164602 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,27),(26,30),-0.12938 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(26,26),(26,28),(26,29),-0.114554 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,28),(26,30),-0.117052 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(26,26),(26,29),(26,30),-0.205021 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(26,27),(26,28),(26,29),-0.0798298 # DEPENDENCYPART_TRISIBL
(26,27),(26,28),(26,30),-0.0170041 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,27),(26,29),(26,30),-0.0655043 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,28),(26,29),(26,30),-0.0161133 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,26),(26,25),(26,24),-0.214823 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,25),(26,23),-0.215705 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,25),(26,21),-0.216577 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,25),(26,20),-0.0703548 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,25),(26,18),-0.214818 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,25),(26,17),-0.215405 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,25),(26,16),-0.214818 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,25),(26,-1),-0.219559 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,26),(26,24),(26,23),-0.211217 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,24),(26,21),-0.212089 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,24),(26,20),-0.0703769 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,24),(26,18),-0.21033 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,24),(26,17),-0.210917 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,24),(26,16),-0.21033 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,24),(26,-1),-0.180631 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,26),(26,23),(26,21),-0.205447 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,23),(26,20),-0.0792669 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,23),(26,18),-0.203689 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,23),(26,17),-0.204275 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,23),(26,16),-0.203689 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,23),(26,-1),-0.19661 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,26),(26,21),(26,20),-0.0703777 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,21),(26,18),-0.210349 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,21),(26,17),-0.210936 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,21),(26,16),-0.210349 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,21),(26,-1),-0.179023 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,26),(26,20),(26,18),-0.245797 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,20),(26,17),-0.246374 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,20),(26,16),-0.245797 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,20),(26,-1),-0.215427 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,26),(26,18),(26,17),-0.210911 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,18),(26,16),-0.210324 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,18),(26,-1),-0.180628 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,26),(26,17),(26,16),-0.201958 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(26,26),(26,17),(26,-1),-0.184133 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,26),(26,16),(26,-1),-0.180628 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,25),(26,24),(26,23),-0.0718125 # DEPENDENCYPART_TRISIBL
(26,25),(26,24),(26,21),-0.0779056 # DEPENDENCYPART_TRISIBL
(26,25),(26,24),(26,20),0.00372531 # DEPENDENCYPART_TRISIBL
(26,25),(26,24),(26,18),-0.077678 # DEPENDENCYPART_TRISIBL
(26,25),(26,24),(26,17),-0.0800409 # DEPENDENCYPART_TRISIBL
(26,25),(26,24),(26,16),-0.077678 # DEPENDENCYPART_TRISIBL
(26,25),(26,24),(26,-1),-0.102549 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,25),(26,23),(26,21),-0.0828577 # DEPENDENCYPART_TRISIBL
(26,25),(26,23),(26,20),0.00371349 # DEPENDENCYPART_TRISIBL
(26,25),(26,23),(26,18),-0.0826301 # DEPENDENCYPART_TRISIBL
(26,25),(26,23),(26,17),-0.0849931 # DEPENDENCYPART_TRISIBL
(26,25),(26,23),(26,16),-0.0826301 # DEPENDENCYPART_TRISIBL
(26,25),(26,23),(26,-1),-0.0962458 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,25),(26,21),(26,20),0.00371929 # DEPENDENCYPART_TRISIBL
(26,25),(26,21),(26,18),-0.0816699 # DEPENDENCYPART_TRISIBL
(26,25),(26,21),(26,17),-0.0840329 # DEPENDENCYPART_TRISIBL
(26,25),(26,21),(26,16),-0.0816699 # DEPENDENCYPART_TRISIBL
(26,25),(26,21),(26,-1),-0.100096 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,25),(26,20),(26,18),-0.193151 # DEPENDENCYPART_TRISIBL
(26,25),(26,20),(26,17),-0.194726 # DEPENDENCYPART_TRISIBL
(26,25),(26,20),(26,16),-0.193151 # DEPENDENCYPART_TRISIBL
(26,25),(26,20),(26,-1),-0.0181485 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,25),(26,18),(26,17),-0.0840227 # DEPENDENCYPART_TRISIBL
(26,25),(26,18),(26,16),-0.0816598 # DEPENDENCYPART_TRISIBL
(26,25),(26,18),(26,-1),-0.0992217 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,25),(26,17),(26,16),-0.0832823 # DEPENDENCYPART_TRISIBL
(26,25),(26,17),(26,-1),-0.0995306 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,25),(26,16),(26,-1),-0.0992217 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,24),(26,23),(26,21),-0.075356 # DEPENDENCYPART_TRISIBL
(26,24),(26,23),(26,20),-0.0161587 # DEPENDENCYPART_TRISIBL
(26,24),(26,23),(26,18),-0.0751285 # DEPENDENCYPART_TRISIBL
(26,24),(26,23),(26,17),-0.0774914 # DEPENDENCYPART_TRISIBL
(26,24),(26,23),(26,16),-0.0751285 # DEPENDENCYPART_TRISIBL
(26,24),(26,23),(26,-1),-0.115963 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,24),(26,21),(26,20),-0.0161529 # DEPENDENCYPART_TRISIBL
(26,24),(26,21),(26,18),-0.0741683 # DEPENDENCYPART_TRISIBL
(26,24),(26,21),(26,17),-0.0765312 # DEPENDENCYPART_TRISIBL
(26,24),(26,21),(26,16),-0.0741683 # DEPENDENCYPART_TRISIBL
(26,24),(26,21),(26,-1),-0.119813 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,24),(26,20),(26,18),-0.188019 # DEPENDENCYPART_TRISIBL
(26,24),(26,20),(26,17),-0.189594 # DEPENDENCYPART_TRISIBL
(26,24),(26,20),(26,16),-0.188019 # DEPENDENCYPART_TRISIBL
(26,24),(26,20),(26,-1),-0.0417638 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,24),(26,18),(26,17),-0.076521 # DEPENDENCYPART_TRISIBL
(26,24),(26,18),(26,16),-0.0741581 # DEPENDENCYPART_TRISIBL
(26,24),(26,18),(26,-1),-0.118939 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,24),(26,17),(26,16),-0.0757806 # DEPENDENCYPART_TRISIBL
(26,24),(26,17),(26,-1),-0.119248 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,24),(26,16),(26,-1),-0.118939 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,23),(26,21),(26,20),-0.0142271 # DEPENDENCYPART_TRISIBL
(26,23),(26,21),(26,18),-0.0620873 # DEPENDENCYPART_TRISIBL
(26,23),(26,21),(26,17),-0.0644503 # DEPENDENCYPART_TRISIBL
(26,23),(26,21),(26,16),-0.0620873 # DEPENDENCYPART_TRISIBL
(26,23),(26,21),(26,-1),-0.145818 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,23),(26,20),(26,18),-0.181339 # DEPENDENCYPART_TRISIBL
(26,23),(26,20),(26,17),-0.182914 # DEPENDENCYPART_TRISIBL
(26,23),(26,20),(26,16),-0.181339 # DEPENDENCYPART_TRISIBL
(26,23),(26,20),(26,-1),-0.0808555 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,23),(26,18),(26,17),-0.0644401 # DEPENDENCYPART_TRISIBL
(26,23),(26,18),(26,16),-0.0620772 # DEPENDENCYPART_TRISIBL
(26,23),(26,18),(26,-1),-0.144944 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,23),(26,17),(26,16),-0.0636997 # DEPENDENCYPART_TRISIBL
(26,23),(26,17),(26,-1),-0.145253 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,23),(26,16),(26,-1),-0.144944 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,21),(26,20),(26,18),-0.189971 # DEPENDENCYPART_TRISIBL
(26,21),(26,20),(26,17),-0.191546 # DEPENDENCYPART_TRISIBL
(26,21),(26,20),(26,16),-0.189971 # DEPENDENCYPART_TRISIBL
(26,21),(26,20),(26,-1),-0.0465686 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,21),(26,18),(26,17),-0.0783879 # DEPENDENCYPART_TRISIBL
(26,21),(26,18),(26,16),-0.076025 # DEPENDENCYPART_TRISIBL
(26,21),(26,18),(26,-1),-0.128331 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,21),(26,17),(26,16),-0.0776475 # DEPENDENCYPART_TRISIBL
(26,21),(26,17),(26,-1),-0.12864 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,21),(26,16),(26,-1),-0.128331 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,20),(26,18),(26,17),-0.176184 # DEPENDENCYPART_TRISIBL
(26,20),(26,18),(26,16),-0.176184 # DEPENDENCYPART_TRISIBL
(26,20),(26,18),(26,-1),-0.0986665 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,20),(26,17),(26,16),-0.176184 # DEPENDENCYPART_TRISIBL
(26,20),(26,17),(26,-1),-0.0986665 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,20),(26,16),(26,-1),-0.0986665 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,18),(26,17),(26,16),-0.0755375 # DEPENDENCYPART_TRISIBL
(26,18),(26,17),(26,-1),-0.129034 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,18),(26,16),(26,-1),-0.128725 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,17),(26,16),(26,-1),-0.118197 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,27),(27,28),(27,30),0.356388 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(28,28),(28,26),(28,25),-0.20941 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,26),(28,24),-0.214247 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,26),(28,23),-0.215129 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,26),(28,-1),-0.188019 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,28),(28,25),(28,24),-0.221827 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,25),(28,23),-0.222709 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,25),(28,-1),-0.228187 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,28),(28,24),(28,23),-0.218221 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,24),(28,-1),-0.189259 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,28),(28,23),(28,-1),-0.205238 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,25),(28,24),-0.0935466 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,23),-0.0886501 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,-1),-0.0977792 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,24),(28,23),-0.0748889 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,-1),-0.122113 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,23),(28,-1),-0.115809 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,25),(28,24),(28,23),-0.0712882 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,-1),-0.108175 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,25),(28,23),(28,-1),-0.101871 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,24),(28,23),(28,-1),-0.121588 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,29),(29,26),(29,-1),-0.637446 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(3,2),0.19144 # DEPENDENCYPART_HEADBIGRAM
(0,3),(5,2),0.0874431 # DEPENDENCYPART_HEADBIGRAM
(0,3),(6,2),0.0828106 # DEPENDENCYPART_HEADBIGRAM
(0,3),(9,2),0.0371023 # DEPENDENCYPART_HEADBIGRAM
(0,3),(15,2),0.0375 # DEPENDENCYPART_HEADBIGRAM
(0,9),(7,8),0.110768 # DEPENDENCYPART_HEADBIGRAM
(0,9),(9,8),-0.191927 # DEPENDENCYPART_HEADBIGRAM
(0,9),(10,8),-0.00847148 # DEPENDENCYPART_HEADBIGRAM
(0,9),(11,8),0.104144 # DEPENDENCYPART_HEADBIGRAM
(0,9),(15,8),-0.00150077 # DEPENDENCYPART_HEADBIGRAM
(0,9),(21,8),0.12012 # DEPENDENCYPART_HEADBIGRAM
(0,10),(0,9),0.00847314 # DEPENDENCYPART_HEADBIGRAM
(0,10),(2,9),0.105165 # DEPENDENCYPART_HEADBIGRAM
(0,10),(3,9),0.165493 # DEPENDENCYPART_HEADBIGRAM
(0,10),(5,9),0.0793749 # DEPENDENCYPART_HEADBIGRAM
(0,10),(6,9),0.060242 # DEPENDENCYPART_HEADBIGRAM
(0,10),(7,9),0.157128 # DEPENDENCYPART_HEADBIGRAM
(0,10),(8,9),0.177438 # DEPENDENCYPART_HEADBIGRAM
(0,10),(10,9),0.0395945 # DEPENDENCYPART_HEADBIGRAM
(0,10),(15,9),0.119901 # DEPENDENCYPART_HEADBIGRAM
(0,15),(3,14),0.226615 # DEPENDENCYPART_HEADBIGRAM
(0,15),(4,14),0.144747 # DEPENDENCYPART_HEADBIGRAM
(0,15),(6,14),0.141098 # DEPENDENCYPART_HEADBIGRAM
(0,15),(7,14),0.16191 # DEPENDENCYPART_HEADBIGRAM
(0,15),(9,14),0.214178 # DEPENDENCYPART_HEADBIGRAM
(0,15),(10,14),0.233693 # DEPENDENCYPART_HEADBIGRAM
(0,15),(11,14),0.120849 # DEPENDENCYPART_HEADBIGRAM
(0,15),(15,14),0.293316 # DEPENDENCYPART_HEADBIGRAM
(0,15),(16,14),0.0965201 # DEPENDENCYPART_HEADBIGRAM
(0,15),(17,14),0.096428 # DEPENDENCYPART_HEADBIGRAM
(0,18),(15,17),0.0757908 # DEPENDENCYPART_HEADBIGRAM
(0,18),(16,17),0.0789455 # DEPENDENCYPART_HEADBIGRAM
(0,18),(18,17),0.270126 # DEPENDENCYPART_HEADBIGRAM
(0,18),(21,17),0.095308 # DEPENDENCYPART_HEADBIGRAM
(0,18),(26,17),0.0957021 # DEPENDENCYPART_HEADBIGRAM
(2,3),(3,2),0.00631235 # DEPENDENCYPART_HEADBIGRAM
(2,3),(5,2),0.0972949 # DEPENDENCYPART_HEADBIGRAM
(2,3),(6,2),0.100609 # DEPENDENCYPART_HEADBIGRAM
(2,3),(9,2),0.0829937 # DEPENDENCYPART_HEADBIGRAM
(2,3),(15,2),0.078675 # DEPENDENCYPART_HEADBIGRAM
(2,6),(3,5),0.211631 # DEPENDENCYPART_HEADBIGRAM
(2,6),(4,5),0.211796 # DEPENDENCYPART_HEADBIGRAM
(2,6),(6,5),0.159396 # DEPENDENCYPART_HEADBIGRAM
(2,6),(7,5),0.095027 # DEPENDENCYPART_HEADBIGRAM
(2,6),(9,5),0.0922533 # DEPENDENCYPART_HEADBIGRAM
(2,7),(2,6),0.148853 # DEPENDENCYPART_HEADBIGRAM
(2,7),(3,6),0.165707 # DEPENDENCYPART_HEADBIGRAM
(2,7),(7,6),0.155792 # DEPENDENCYPART_HEADBIGRAM
(2,7),(9,6),0.0681344 # DEPENDENCYPART_HEADBIGRAM
(2,7),(10,6),0.0681376 # DEPENDENCYPART_HEADBIGRAM
(2,7),(11,6),0.0578334 # DEPENDENCYPART_HEADBIGRAM
(2,7),(15,6),0.0938012 # DEPENDENCYPART_HEADBIGRAM
(2,9),(7,8),0.109988 # DEPENDENCYPART_HEADBIGRAM
(2,9),(9,8),0.0875922 # DEPENDENCYPART_HEADBIGRAM
(2,9),(10,8),0.0933546 # DEPENDENCYPART_HEADBIGRAM
(2,9),(11,8),0.0902732 # DEPENDENCYPART_HEADBIGRAM
(2,9),(15,8),0.0894192 # DEPENDENCYPART_HEADBIGRAM
(2,9),(21,8),0.0979506 # DEPENDENCYPART_HEADBIGRAM
(3,2),(3,1),0.153284 # DEPENDENCYPART_HEADBIGRAM
(3,2),(5,1),0.0689403 # DEPENDENCYPART_HEADBIGRAM
(3,2),(6,1),0.0906972 # DEPENDENCYPART_HEADBIGRAM
(3,2),(9,1),0.0750378 # DEPENDENCYPART_HEADBIGRAM
(3,2),(15,1),0.160169 # DEPENDENCYPART_HEADBIGRAM
(3,4),(0,3),0.00484817 # DEPENDENCYPART_HEADBIGRAM
(3,4),(2,3),-0.0588477 # DEPENDENCYPART_HEADBIGRAM
(3,4),(6,3),0.0968468 # DEPENDENCYPART_HEADBIGRAM
(3,4),(9,3),0.103369 # DEPENDENCYPART_HEADBIGRAM
(3,4),(15,3),0.0874329 # DEPENDENCYPART_HEADBIGRAM
(3,5),(3,4),0.0724213 # DEPENDENCYPART_HEADBIGRAM
(3,5),(5,4),0.205085 # DEPENDENCYPART_HEADBIGRAM
(3,5),(6,4),0.0896597 # DEPENDENCYPART_HEADBIGRAM
(3,5),(9,4),0.0898755 # DEPENDENCYPART_HEADBIGRAM
(3,6),(3,5),0.0428407 # DEPENDENCYPART_HEADBIGRAM
(3,6),(4,5),0.208051 # DEPENDENCYPART_HEADBIGRAM
(3,6),(6,5),0.169248 # DEPENDENCYPART_HEADBIGRAM
(3,6),(7,5),0.0794162 # DEPENDENCYPART_HEADBIGRAM
(3,6),(9,5),0.0669493 # DEPENDENCYPART_HEADBIGRAM
(3,7),(2,6),-0.0179821 # DEPENDENCYPART_HEADBIGRAM
(3,7),(3,6),0.171102 # DEPENDENCYPART_HEADBIGRAM
(3,7),(7,6),0.209512 # DEPENDENCYPART_HEADBIGRAM
(3,7),(9,6),0.0615034 # DEPENDENCYPART_HEADBIGRAM
(3,7),(10,6),0.0607819 # DEPENDENCYPART_HEADBIGRAM
(3,7),(11,6),0.0804592 # DEPENDENCYPART_HEADBIGRAM
(3,7),(15,6),0.0692987 # DEPENDENCYPART_HEADBIGRAM
(3,9),(7,8),0.101644 # DEPENDENCYPART_HEADBIGRAM
(3,9),(9,8),0.154633 # DEPENDENCYPART_HEADBIGRAM
(3,9),(10,8),0.073821 # DEPENDENCYPART_HEADBIGRAM
(3,9),(11,8),0.0858761 # DEPENDENCYPART_HEADBIGRAM
(3,9),(15,8),0.0698855 # DEPENDENCYPART_HEADBIGRAM
(3,9),(21,8),0.094997 # DEPENDENCYPART_HEADBIGRAM
(3,10),(0,9),-0.0630938 # DEPENDENCYPART_HEADBIGRAM
(3,10),(2,9),-0.0567232 # DEPENDENCYPART_HEADBIGRAM
(3,10),(3,9),-0.00641609 # DEPENDENCYPART_HEADBIGRAM
(3,10),(5,9),0.0997712 # DEPENDENCYPART_HEADBIGRAM
(3,10),(6,9),0.0674855 # DEPENDENCYPART_HEADBIGRAM
(3,10),(7,9),0.166394 # DEPENDENCYPART_HEADBIGRAM
(3,10),(8,9),0.171171 # DEPENDENCYPART_HEADBIGRAM
(3,10),(10,9),0.026321 # DEPENDENCYPART_HEADBIGRAM
(3,10),(15,9),0.110434 # DEPENDENCYPART_HEADBIGRAM
(3,11),(0,10),-0.084005 # DEPENDENCYPART_HEADBIGRAM
(3,11),(3,10),0.020271 # DEPENDENCYPART_HEADBIGRAM
(3,11),(4,10),0.0990585 # DEPENDENCYPART_HEADBIGRAM
(3,11),(5,10),0.125324 # DEPENDENCYPART_HEADBIGRAM
(3,11),(6,10),0.0863374 # DEPENDENCYPART_HEADBIGRAM
(3,11),(7,10),0.128666 # DEPENDENCYPART_HEADBIGRAM
(3,11),(9,10),0.0764857 # DEPENDENCYPART_HEADBIGRAM
(3,11),(11,10),0.0942319 # DEPENDENCYPART_HEADBIGRAM
(3,11),(15,10),0.0973733 # DEPENDENCYPART_HEADBIGRAM
(3,13),(10,12),0.157921 # DEPENDENCYPART_HEADBIGRAM
(3,13),(11,12),0.15759 # DEPENDENCYPART_HEADBIGRAM
(3,13),(15,12),0.112857 # DEPENDENCYPART_HEADBIGRAM
(3,13),(16,12),0.0911544 # DEPENDENCYPART_HEADBIGRAM
(3,13),(17,12),0.0913462 # DEPENDENCYPART_HEADBIGRAM
(3,14),(3,13),0.236141 # DEPENDENCYPART_HEADBIGRAM
(3,14),(4,13),0.109313 # DEPENDENCYPART_HEADBIGRAM
(3,14),(6,13),0.0475943 # DEPENDENCYPART_HEADBIGRAM
(3,14),(7,13),0.112916 # DEPENDENCYPART_HEADBIGRAM
(3,14),(9,13),0.0736839 # DEPENDENCYPART_HEADBIGRAM
(3,14),(10,13),0.074775 # DEPENDENCYPART_HEADBIGRAM
(3,14),(11,13),0.107678 # DEPENDENCYPART_HEADBIGRAM
(3,14),(12,13),0.102972 # DEPENDENCYPART_HEADBIGRAM
