# _root_ The contract was first proposed more than two years ago , but shortly afterward , the colony 's markets were hit hard by the October 1987 global stock crash .
#goldHeads=2,3,12,3,3,7,9,7,10,5,12,0,20,13,20,17,19,17,20,12,20,21,21,29,29,29,29,29,23,12,
#predictedHeads=2,3,12,3,3,7,9,7,10,5,12,0,20,13,20,17,19,17,20,12,20,21,21,29,29,25,29,29,23,12,
(12,11),(12,4),(12,2),-0.0970188 # DEPENDENCYPART_TRISIBL
(12,11),(12,4),(12,-1),-0.0458349 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,11),(12,3),(12,2),-0.00977985 # DEPENDENCYPART_TRISIBL
(12,11),(12,3),(12,-1),-0.0721824 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,11),(12,2),(12,-1),-0.056838 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,9),(12,8),-0.103555 # DEPENDENCYPART_TRISIBL
(12,10),(12,9),(12,7),-0.0345714 # DEPENDENCYPART_TRISIBL
(12,10),(12,9),(12,6),-0.090559 # DEPENDENCYPART_TRISIBL
(12,10),(12,9),(12,5),-0.18088 # DEPENDENCYPART_TRISIBL
(12,10),(12,9),(12,4),-0.128986 # DEPENDENCYPART_TRISIBL
(12,10),(12,9),(12,3),-0.174133 # DEPENDENCYPART_TRISIBL
(12,10),(12,9),(12,2),-0.121303 # DEPENDENCYPART_TRISIBL
(12,10),(12,9),(12,-1),-0.0920108 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,8),(12,7),-0.0803147 # DEPENDENCYPART_TRISIBL
(12,10),(12,8),(12,6),-0.0787839 # DEPENDENCYPART_TRISIBL
(12,10),(12,8),(12,5),-0.152036 # DEPENDENCYPART_TRISIBL
(12,10),(12,8),(12,4),-0.112275 # DEPENDENCYPART_TRISIBL
(12,10),(12,8),(12,3),-0.145199 # DEPENDENCYPART_TRISIBL
(12,10),(12,8),(12,2),-0.0940903 # DEPENDENCYPART_TRISIBL
(12,10),(12,8),(12,-1),-0.112274 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,7),(12,6),-0.0572964 # DEPENDENCYPART_TRISIBL
(12,10),(12,7),(12,5),-0.161642 # DEPENDENCYPART_TRISIBL
(12,10),(12,7),(12,4),-0.113042 # DEPENDENCYPART_TRISIBL
(12,10),(12,7),(12,3),-0.154805 # DEPENDENCYPART_TRISIBL
(12,10),(12,7),(12,2),-0.0984295 # DEPENDENCYPART_TRISIBL
(12,10),(12,7),(12,-1),-0.101054 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,6),(12,5),-0.150961 # DEPENDENCYPART_TRISIBL
(12,10),(12,6),(12,4),-0.114262 # DEPENDENCYPART_TRISIBL
(12,10),(12,6),(12,3),-0.14416 # DEPENDENCYPART_TRISIBL
(12,10),(12,6),(12,2),-0.097527 # DEPENDENCYPART_TRISIBL
(12,10),(12,6),(12,-1),-0.101135 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,5),(12,4),-0.113935 # DEPENDENCYPART_TRISIBL
(12,10),(12,5),(12,3),-0.167815 # DEPENDENCYPART_TRISIBL
(12,10),(12,5),(12,2),-0.106155 # DEPENDENCYPART_TRISIBL
(12,10),(12,5),(12,-1),-0.155892 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,4),(12,3),-0.151404 # DEPENDENCYPART_TRISIBL
(12,10),(12,4),(12,2),-0.0713069 # DEPENDENCYPART_TRISIBL
(12,10),(12,4),(12,-1),-0.093233 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,3),(12,2),-0.106183 # DEPENDENCYPART_TRISIBL
(12,10),(12,3),(12,-1),-0.15667 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,2),(12,-1),-0.0902551 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,9),(12,8),(12,7),-0.0286417 # DEPENDENCYPART_TRISIBL
(12,9),(12,8),(12,6),-0.069239 # DEPENDENCYPART_TRISIBL
(12,9),(12,8),(12,5),-0.181152 # DEPENDENCYPART_TRISIBL
(12,9),(12,8),(12,4),-0.0803507 # DEPENDENCYPART_TRISIBL
(12,9),(12,8),(12,3),-0.182813 # DEPENDENCYPART_TRISIBL
(12,9),(12,8),(12,2),-0.127005 # DEPENDENCYPART_TRISIBL
(12,9),(12,8),(12,-1),-0.119883 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,9),(12,7),(12,6),-0.0734436 # DEPENDENCYPART_TRISIBL
(12,9),(12,7),(12,5),-0.203831 # DEPENDENCYPART_TRISIBL
(12,9),(12,7),(12,4),-0.085225 # DEPENDENCYPART_TRISIBL
(12,9),(12,7),(12,3),-0.205889 # DEPENDENCYPART_TRISIBL
(12,9),(12,7),(12,2),-0.150323 # DEPENDENCYPART_TRISIBL
(12,9),(12,7),(12,-1),-0.0190915 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,9),(12,6),(12,5),-0.17589 # DEPENDENCYPART_TRISIBL
(12,9),(12,6),(12,4),-0.122659 # DEPENDENCYPART_TRISIBL
(12,9),(12,6),(12,3),-0.177316 # DEPENDENCYPART_TRISIBL
(12,9),(12,6),(12,2),-0.121277 # DEPENDENCYPART_TRISIBL
(12,9),(12,6),(12,-1),-0.0322533 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,9),(12,5),(12,4),-0.0726461 # DEPENDENCYPART_TRISIBL
(12,9),(12,5),(12,3),-0.222256 # DEPENDENCYPART_TRISIBL
(12,9),(12,5),(12,2),-0.164639 # DEPENDENCYPART_TRISIBL
(12,9),(12,5),(12,-1),-0.126467 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,9),(12,4),(12,3),-0.180961 # DEPENDENCYPART_TRISIBL
(12,9),(12,4),(12,2),-0.158613 # DEPENDENCYPART_TRISIBL
(12,9),(12,4),(12,-1),-0.0625503 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,9),(12,3),(12,2),-0.165307 # DEPENDENCYPART_TRISIBL
(12,9),(12,3),(12,-1),-0.113835 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,9),(12,2),(12,-1),-0.0926795 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,8),(12,7),(12,6),-0.111833 # DEPENDENCYPART_TRISIBL
(12,8),(12,7),(12,5),-0.129205 # DEPENDENCYPART_TRISIBL
(12,8),(12,7),(12,4),-0.1016 # DEPENDENCYPART_TRISIBL
(12,8),(12,7),(12,3),-0.129034 # DEPENDENCYPART_TRISIBL
(12,8),(12,7),(12,2),-0.113584 # DEPENDENCYPART_TRISIBL
(12,8),(12,7),(12,-1),-0.00952341 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,8),(12,6),(12,5),-0.130053 # DEPENDENCYPART_TRISIBL
(12,8),(12,6),(12,4),-0.116884 # DEPENDENCYPART_TRISIBL
(12,8),(12,6),(12,3),-0.129866 # DEPENDENCYPART_TRISIBL
(12,8),(12,6),(12,2),-0.101606 # DEPENDENCYPART_TRISIBL
(12,8),(12,6),(12,-1),-0.136855 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,8),(12,5),(12,4),-0.112948 # DEPENDENCYPART_TRISIBL
(12,8),(12,5),(12,3),-0.137353 # DEPENDENCYPART_TRISIBL
(12,8),(12,5),(12,2),-0.105878 # DEPENDENCYPART_TRISIBL
(12,8),(12,5),(12,-1),-0.109443 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,8),(12,4),(12,3),-0.129866 # DEPENDENCYPART_TRISIBL
(12,8),(12,4),(12,2),-0.106758 # DEPENDENCYPART_TRISIBL
(12,8),(12,4),(12,-1),-0.0586671 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,8),(12,3),(12,2),-0.105887 # DEPENDENCYPART_TRISIBL
(12,8),(12,3),(12,-1),-0.109429 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,8),(12,2),(12,-1),-0.0768205 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,7),(12,6),(12,5),-0.154702 # DEPENDENCYPART_TRISIBL
(12,7),(12,6),(12,4),-0.0929108 # DEPENDENCYPART_TRISIBL
(12,7),(12,6),(12,3),-0.160379 # DEPENDENCYPART_TRISIBL
(12,7),(12,6),(12,2),-0.131058 # DEPENDENCYPART_TRISIBL
(12,7),(12,6),(12,-1),-0.00528319 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,7),(12,5),(12,4),-0.103864 # DEPENDENCYPART_TRISIBL
(12,7),(12,5),(12,3),-0.189671 # DEPENDENCYPART_TRISIBL
(12,7),(12,5),(12,2),-0.153502 # DEPENDENCYPART_TRISIBL
(12,7),(12,5),(12,-1),-0.0766227 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,7),(12,4),(12,3),-0.157129 # DEPENDENCYPART_TRISIBL
(12,7),(12,4),(12,2),-0.158674 # DEPENDENCYPART_TRISIBL
(12,7),(12,4),(12,-1),0.026364 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,7),(12,3),(12,2),-0.153762 # DEPENDENCYPART_TRISIBL
(12,7),(12,3),(12,-1),-0.0778587 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,7),(12,2),(12,-1),-0.00963497 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,6),(12,5),(12,4),-0.0811506 # DEPENDENCYPART_TRISIBL
(12,6),(12,5),(12,3),-0.14924 # DEPENDENCYPART_TRISIBL
(12,6),(12,5),(12,2),-0.124395 # DEPENDENCYPART_TRISIBL
(12,6),(12,5),(12,-1),-0.121312 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,6),(12,4),(12,3),-0.141138 # DEPENDENCYPART_TRISIBL
(12,6),(12,4),(12,2),-0.114889 # DEPENDENCYPART_TRISIBL
(12,6),(12,4),(12,-1),-0.0402374 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,6),(12,3),(12,2),-0.124524 # DEPENDENCYPART_TRISIBL
(12,6),(12,3),(12,-1),-0.125737 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,6),(12,2),(12,-1),-0.0559357 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,5),(12,4),(12,3),-0.22634 # DEPENDENCYPART_TRISIBL
(12,5),(12,4),(12,2),0.102746 # DEPENDENCYPART_TRISIBL
(12,5),(12,4),(12,-1),-0.0972417 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,5),(12,3),(12,2),-0.076785 # DEPENDENCYPART_TRISIBL
(12,5),(12,3),(12,-1),-0.105938 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,5),(12,2),(12,-1),-0.0265211 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,4),(12,3),(12,2),-0.106666 # DEPENDENCYPART_TRISIBL
(12,4),(12,3),(12,-1),-0.141564 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,4),(12,2),(12,-1),-0.0652717 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,3),(12,2),(12,-1),0.0104604 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,14),(13,15),-0.126482 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,17),-0.147397 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,19),-0.144805 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,20),-0.105757 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,22),-0.0282114 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,23),-0.0538817 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,31),-0.0921941 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,15),(13,17),-0.247299 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,15),(13,19),-0.247188 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,15),(13,20),-0.111245 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,15),(13,22),-0.177157 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,15),(13,23),-0.253262 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,15),(13,31),-0.279392 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,17),(13,19),-0.136946 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,20),-0.0933752 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,22),-0.0591341 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,23),-0.0271026 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,31),-0.105165 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,19),(13,20),-0.0948631 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,19),(13,22),-0.064086 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,19),(13,23),-0.0256349 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,19),(13,31),-0.0983541 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,20),(13,22),-0.0966852 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,20),(13,23),-0.0406776 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,20),(13,31),-0.1979 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,22),(13,23),-0.0485888 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,22),(13,31),-0.0984321 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,23),(13,31),-0.237223 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,14),(13,15),(13,17),-0.0454846 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,19),-0.0454873 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,20),-0.0585191 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,22),-0.0774641 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,23),-0.0579049 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,31),-0.205644 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,17),(13,19),-0.0617035 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,20),-0.0394292 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,22),-0.0906571 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,23),-0.0768392 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,31),-0.0518797 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,19),(13,20),-0.0394292 # DEPENDENCYPART_TRISIBL
(13,14),(13,19),(13,22),-0.0906571 # DEPENDENCYPART_TRISIBL
(13,14),(13,19),(13,23),-0.0768392 # DEPENDENCYPART_TRISIBL
(13,14),(13,19),(13,31),-0.0520163 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,20),(13,22),-0.102419 # DEPENDENCYPART_TRISIBL
(13,14),(13,20),(13,23),-0.04155 # DEPENDENCYPART_TRISIBL
(13,14),(13,20),(13,31),-0.0691896 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,22),(13,23),-0.102997 # DEPENDENCYPART_TRISIBL
(13,14),(13,22),(13,31),-0.148427 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,23),(13,31),-0.108361 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,17),(13,19),-0.0832832 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,20),-0.0435296 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,22),-0.0666551 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,23),-0.0654541 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,31),-0.184304 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,19),(13,20),-0.0435296 # DEPENDENCYPART_TRISIBL
(13,15),(13,19),(13,22),-0.0666551 # DEPENDENCYPART_TRISIBL
(13,15),(13,19),(13,23),-0.0654541 # DEPENDENCYPART_TRISIBL
(13,15),(13,19),(13,31),-0.186646 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,20),(13,22),-0.0589124 # DEPENDENCYPART_TRISIBL
(13,15),(13,20),(13,23),-0.0265412 # DEPENDENCYPART_TRISIBL
(13,15),(13,20),(13,31),-0.0809108 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,22),(13,23),-0.0399864 # DEPENDENCYPART_TRISIBL
(13,15),(13,22),(13,31),-0.21258 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,23),(13,31),-0.189451 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,17),(13,19),(13,20),-0.0707042 # DEPENDENCYPART_TRISIBL
(13,17),(13,19),(13,22),-0.0605661 # DEPENDENCYPART_TRISIBL
(13,17),(13,19),(13,23),-0.0481652 # DEPENDENCYPART_TRISIBL
(13,17),(13,19),(13,31),-0.0856916 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,17),(13,20),(13,22),-0.0504849 # DEPENDENCYPART_TRISIBL
(13,17),(13,20),(13,23),-0.0494669 # DEPENDENCYPART_TRISIBL
(13,17),(13,20),(13,31),-0.0989538 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,17),(13,22),(13,23),-0.0458954 # DEPENDENCYPART_TRISIBL
(13,17),(13,22),(13,31),-0.0600049 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,17),(13,23),(13,31),-0.0607453 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,19),(13,20),(13,22),-0.0471596 # DEPENDENCYPART_TRISIBL
(13,19),(13,20),(13,23),-0.050164 # DEPENDENCYPART_TRISIBL
(13,19),(13,20),(13,31),-0.107024 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,19),(13,22),(13,23),-0.0470673 # DEPENDENCYPART_TRISIBL
(13,19),(13,22),(13,31),-0.0713936 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,19),(13,23),(13,31),-0.0583382 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,20),(13,22),(13,23),0.0156955 # DEPENDENCYPART_TRISIBL
(13,20),(13,22),(13,31),-0.11959 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,20),(13,23),(13,31),-0.0661552 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,22),(13,23),(13,31),-0.0952901 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,12),(13,-1),-0.126733 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,15),(14,16),-0.117231 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,17),-0.247295 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,19),-0.247184 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,20),-0.111243 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,31),-0.276443 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,16),(14,17),-0.175562 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,16),(14,19),-0.172971 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,16),(14,20),-0.0974884 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,16),(14,31),-0.197068 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,17),(14,19),-0.136941 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,17),(14,20),-0.0933715 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,17),(14,31),-0.102245 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,19),(14,20),-0.0948594 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,19),(14,31),-0.0954338 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,20),(14,31),-0.194969 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,15),(14,16),(14,17),-0.0555353 # DEPENDENCYPART_TRISIBL
(14,15),(14,16),(14,19),-0.055664 # DEPENDENCYPART_TRISIBL
(14,15),(14,16),(14,20),-0.0378984 # DEPENDENCYPART_TRISIBL
(14,15),(14,16),(14,31),-0.150579 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,15),(14,17),(14,19),-0.0832841 # DEPENDENCYPART_TRISIBL
(14,15),(14,17),(14,20),-0.0435296 # DEPENDENCYPART_TRISIBL
(14,15),(14,17),(14,31),-0.1843 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,15),(14,19),(14,20),-0.0435296 # DEPENDENCYPART_TRISIBL
(14,15),(14,19),(14,31),-0.186642 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,15),(14,20),(14,31),-0.0809104 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,16),(14,17),(14,19),-0.0762915 # DEPENDENCYPART_TRISIBL
(14,16),(14,17),(14,20),-0.0915485 # DEPENDENCYPART_TRISIBL
(14,16),(14,17),(14,31),-0.066897 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,16),(14,19),(14,20),-0.0915485 # DEPENDENCYPART_TRISIBL
(14,16),(14,19),(14,31),-0.0668974 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,16),(14,20),(14,31),-0.007787 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,17),(14,19),(14,20),-0.0707042 # DEPENDENCYPART_TRISIBL
(14,17),(14,19),(14,31),-0.0856922 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,17),(14,20),(14,31),-0.0989547 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,19),(14,20),(14,31),-0.107025 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,13),(14,12),-0.193311 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,13),(14,11),-0.122006 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,13),(14,9),-0.138928 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,13),(14,2),-0.117121 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,13),(14,-1),-0.246153 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,12),(14,11),-0.0583123 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,12),(14,9),-0.136105 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,12),(14,2),-0.120188 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,12),(14,-1),-0.116749 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,11),(14,9),-0.163797 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,11),(14,2),-0.146139 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,11),(14,-1),-0.274844 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,9),(14,2),-0.163944 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,9),(14,-1),-0.0102631 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,2),(14,-1),-0.0820523 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,12),(14,11),-0.0425163 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,9),-0.0799403 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,2),-0.0761775 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,-1),-0.23958 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,11),(14,9),0.0232152 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,2),0.028871 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,-1),-0.313104 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,9),(14,2),-0.0930765 # DEPENDENCYPART_TRISIBL
(14,13),(14,9),(14,-1),-0.183708 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,2),(14,-1),-0.181953 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,11),(14,9),-0.0254104 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,2),-0.0257026 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,-1),-0.137743 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,9),(14,2),-0.0871104 # DEPENDENCYPART_TRISIBL
(14,12),(14,9),(14,-1),-0.0743685 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,2),(14,-1),-0.0743636 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,9),(14,2),-0.0117326 # DEPENDENCYPART_TRISIBL
(14,11),(14,9),(14,-1),-0.0235244 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,2),(14,-1),-0.0139835 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,9),(14,2),(14,-1),-0.152153 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,14),(15,-1),-0.498793 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,21),(16,31),-0.221184 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,18),(17,21),-0.110202 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,22),-0.0926871 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,23),-0.111962 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,25),-0.149903 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,26),-0.193099 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,30),-0.13949 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,31),0.0518348 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,21),(17,22),-0.0489661 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,21),(17,23),-0.107336 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,21),(17,25),-0.145622 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,21),(17,26),-0.158954 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,21),(17,30),-0.0929985 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,21),(17,31),-0.112059 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,22),(17,23),-0.0505085 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,22),(17,25),-0.136659 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,22),(17,26),-0.155892 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,22),(17,30),-0.153181 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,22),(17,31),-0.104274 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,23),(17,25),-0.125039 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,23),(17,26),-0.211624 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
