# _root_ Because we refuse to face the tough answers , the questions continue as fodder for the commissions and committees , for the media and politicians .
#goldHeads=3,3,12,5,3,8,8,5,12,11,12,0,12,13,14,18,18,15,18,15,15,24,24,21,24,12,
#predictedHeads=3,3,12,5,3,8,8,5,12,11,12,0,12,13,14,18,18,15,18,18,18,24,24,21,24,12,
(18,13),(18,6),(18,-1),-0.0191177 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,13),(18,5),(18,4),-0.0875215 # DEPENDENCYPART_TRISIBL
(18,13),(18,5),(18,3),-0.154184 # DEPENDENCYPART_TRISIBL
(18,13),(18,5),(18,2),-0.0814028 # DEPENDENCYPART_TRISIBL
(18,13),(18,5),(18,1),-0.106992 # DEPENDENCYPART_TRISIBL
(18,13),(18,5),(18,-1),-0.0736041 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,13),(18,4),(18,3),-0.129136 # DEPENDENCYPART_TRISIBL
(18,13),(18,4),(18,2),-0.0679922 # DEPENDENCYPART_TRISIBL
(18,13),(18,4),(18,1),-0.0973687 # DEPENDENCYPART_TRISIBL
(18,13),(18,4),(18,-1),-0.0645773 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,13),(18,3),(18,2),-0.0814028 # DEPENDENCYPART_TRISIBL
(18,13),(18,3),(18,1),-0.106976 # DEPENDENCYPART_TRISIBL
(18,13),(18,3),(18,-1),-0.0736041 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,13),(18,2),(18,1),-0.0961287 # DEPENDENCYPART_TRISIBL
(18,13),(18,2),(18,-1),-0.0572627 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,13),(18,1),(18,-1),-0.0663534 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,12),(18,11),(18,10),-0.0618801 # DEPENDENCYPART_TRISIBL
(18,12),(18,11),(18,9),0.0409929 # DEPENDENCYPART_TRISIBL
(18,12),(18,11),(18,8),-0.0492163 # DEPENDENCYPART_TRISIBL
(18,12),(18,11),(18,7),-0.0301579 # DEPENDENCYPART_TRISIBL
(18,12),(18,11),(18,6),-0.0618801 # DEPENDENCYPART_TRISIBL
(18,12),(18,11),(18,5),-0.201145 # DEPENDENCYPART_TRISIBL
(18,12),(18,11),(18,4),-0.0540125 # DEPENDENCYPART_TRISIBL
(18,12),(18,11),(18,3),-0.201145 # DEPENDENCYPART_TRISIBL
(18,12),(18,11),(18,2),-0.096145 # DEPENDENCYPART_TRISIBL
(18,12),(18,11),(18,1),0.125931 # DEPENDENCYPART_TRISIBL
(18,12),(18,11),(18,-1),-0.0400162 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,12),(18,10),(18,9),-0.0100937 # DEPENDENCYPART_TRISIBL
(18,12),(18,10),(18,8),-0.0261629 # DEPENDENCYPART_TRISIBL
(18,12),(18,10),(18,7),-0.0270032 # DEPENDENCYPART_TRISIBL
(18,12),(18,10),(18,6),-0.0494297 # DEPENDENCYPART_TRISIBL
(18,12),(18,10),(18,5),-0.152585 # DEPENDENCYPART_TRISIBL
(18,12),(18,10),(18,4),-0.027604 # DEPENDENCYPART_TRISIBL
(18,12),(18,10),(18,3),-0.152585 # DEPENDENCYPART_TRISIBL
(18,12),(18,10),(18,2),-0.0646986 # DEPENDENCYPART_TRISIBL
(18,12),(18,10),(18,1),0.070914 # DEPENDENCYPART_TRISIBL
(18,12),(18,10),(18,-1),-0.0241784 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,12),(18,9),(18,8),-0.07727 # DEPENDENCYPART_TRISIBL
(18,12),(18,9),(18,7),0.0100928 # DEPENDENCYPART_TRISIBL
(18,12),(18,9),(18,6),-0.0443437 # DEPENDENCYPART_TRISIBL
(18,12),(18,9),(18,5),-0.0318 # DEPENDENCYPART_TRISIBL
(18,12),(18,9),(18,4),-0.0565633 # DEPENDENCYPART_TRISIBL
(18,12),(18,9),(18,3),-0.0318 # DEPENDENCYPART_TRISIBL
(18,12),(18,9),(18,2),-0.0862628 # DEPENDENCYPART_TRISIBL
(18,12),(18,9),(18,1),0.101719 # DEPENDENCYPART_TRISIBL
(18,12),(18,9),(18,-1),-0.146678 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,12),(18,8),(18,7),-0.0301579 # DEPENDENCYPART_TRISIBL
(18,12),(18,8),(18,6),-0.0618801 # DEPENDENCYPART_TRISIBL
(18,12),(18,8),(18,5),-0.201145 # DEPENDENCYPART_TRISIBL
(18,12),(18,8),(18,4),-0.0540125 # DEPENDENCYPART_TRISIBL
(18,12),(18,8),(18,3),-0.201145 # DEPENDENCYPART_TRISIBL
(18,12),(18,8),(18,2),-0.096145 # DEPENDENCYPART_TRISIBL
(18,12),(18,8),(18,1),0.125931 # DEPENDENCYPART_TRISIBL
(18,12),(18,8),(18,-1),-0.0396943 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,12),(18,7),(18,6),-0.0504781 # DEPENDENCYPART_TRISIBL
(18,12),(18,7),(18,5),-0.1491 # DEPENDENCYPART_TRISIBL
(18,12),(18,7),(18,4),-0.0519071 # DEPENDENCYPART_TRISIBL
(18,12),(18,7),(18,3),-0.1491 # DEPENDENCYPART_TRISIBL
(18,12),(18,7),(18,2),-0.0713801 # DEPENDENCYPART_TRISIBL
(18,12),(18,7),(18,1),0.0162649 # DEPENDENCYPART_TRISIBL
(18,12),(18,7),(18,-1),-0.0352712 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,12),(18,6),(18,5),-0.152585 # DEPENDENCYPART_TRISIBL
(18,12),(18,6),(18,4),-0.027604 # DEPENDENCYPART_TRISIBL
(18,12),(18,6),(18,3),-0.152585 # DEPENDENCYPART_TRISIBL
(18,12),(18,6),(18,2),-0.0646986 # DEPENDENCYPART_TRISIBL
(18,12),(18,6),(18,1),0.070914 # DEPENDENCYPART_TRISIBL
(18,12),(18,6),(18,-1),-0.0241784 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,12),(18,5),(18,4),-0.0635529 # DEPENDENCYPART_TRISIBL
(18,12),(18,5),(18,3),-0.182478 # DEPENDENCYPART_TRISIBL
(18,12),(18,5),(18,2),-0.104314 # DEPENDENCYPART_TRISIBL
(18,12),(18,5),(18,1),-0.0165524 # DEPENDENCYPART_TRISIBL
(18,12),(18,5),(18,-1),-0.105563 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,12),(18,4),(18,3),-0.22518 # DEPENDENCYPART_TRISIBL
(18,12),(18,4),(18,2),-0.0162181 # DEPENDENCYPART_TRISIBL
(18,12),(18,4),(18,1),0.0162893 # DEPENDENCYPART_TRISIBL
(18,12),(18,4),(18,-1),0.0227744 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,12),(18,3),(18,2),-0.104314 # DEPENDENCYPART_TRISIBL
(18,12),(18,3),(18,1),-0.0165524 # DEPENDENCYPART_TRISIBL
(18,12),(18,3),(18,-1),-0.105563 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,12),(18,2),(18,1),0.0484139 # DEPENDENCYPART_TRISIBL
(18,12),(18,2),(18,-1),-0.0358003 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,12),(18,1),(18,-1),0.028152 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,11),(18,10),(18,9),-0.113833 # DEPENDENCYPART_TRISIBL
(18,11),(18,10),(18,8),-0.141027 # DEPENDENCYPART_TRISIBL
(18,11),(18,10),(18,7),0.00522611 # DEPENDENCYPART_TRISIBL
(18,11),(18,10),(18,6),0.0441142 # DEPENDENCYPART_TRISIBL
(18,11),(18,10),(18,5),-0.190122 # DEPENDENCYPART_TRISIBL
(18,11),(18,10),(18,4),-0.123899 # DEPENDENCYPART_TRISIBL
(18,11),(18,10),(18,3),-0.190116 # DEPENDENCYPART_TRISIBL
(18,11),(18,10),(18,2),-0.0538662 # DEPENDENCYPART_TRISIBL
(18,11),(18,10),(18,1),-0.114096 # DEPENDENCYPART_TRISIBL
(18,11),(18,10),(18,-1),0.069692 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,11),(18,9),(18,8),0.117923 # DEPENDENCYPART_TRISIBL
(18,11),(18,9),(18,7),0.0371431 # DEPENDENCYPART_TRISIBL
(18,11),(18,9),(18,6),0.0386634 # DEPENDENCYPART_TRISIBL
(18,11),(18,9),(18,5),-0.213884 # DEPENDENCYPART_TRISIBL
(18,11),(18,9),(18,4),-0.0927183 # DEPENDENCYPART_TRISIBL
(18,11),(18,9),(18,3),-0.213875 # DEPENDENCYPART_TRISIBL
(18,11),(18,9),(18,2),-0.064871 # DEPENDENCYPART_TRISIBL
(18,11),(18,9),(18,1),-0.0762774 # DEPENDENCYPART_TRISIBL
(18,11),(18,9),(18,-1),-0.233813 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,11),(18,8),(18,7),0.0382638 # DEPENDENCYPART_TRISIBL
(18,11),(18,8),(18,6),0.0572351 # DEPENDENCYPART_TRISIBL
(18,11),(18,8),(18,5),-0.193331 # DEPENDENCYPART_TRISIBL
(18,11),(18,8),(18,4),-0.13506 # DEPENDENCYPART_TRISIBL
(18,11),(18,8),(18,3),-0.193324 # DEPENDENCYPART_TRISIBL
(18,11),(18,8),(18,2),0.0100505 # DEPENDENCYPART_TRISIBL
(18,11),(18,8),(18,1),-0.141096 # DEPENDENCYPART_TRISIBL
(18,11),(18,8),(18,-1),-0.0570107 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,11),(18,7),(18,6),0.146862 # DEPENDENCYPART_TRISIBL
(18,11),(18,7),(18,5),-0.184338 # DEPENDENCYPART_TRISIBL
(18,11),(18,7),(18,4),-0.109787 # DEPENDENCYPART_TRISIBL
(18,11),(18,7),(18,3),-0.184332 # DEPENDENCYPART_TRISIBL
(18,11),(18,7),(18,2),-0.0751728 # DEPENDENCYPART_TRISIBL
(18,11),(18,7),(18,1),-0.0651318 # DEPENDENCYPART_TRISIBL
(18,11),(18,7),(18,-1),0.0017618 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,11),(18,6),(18,5),-0.190122 # DEPENDENCYPART_TRISIBL
(18,11),(18,6),(18,4),-0.123899 # DEPENDENCYPART_TRISIBL
(18,11),(18,6),(18,3),-0.190116 # DEPENDENCYPART_TRISIBL
(18,11),(18,6),(18,2),-0.0538662 # DEPENDENCYPART_TRISIBL
(18,11),(18,6),(18,1),-0.114096 # DEPENDENCYPART_TRISIBL
(18,11),(18,6),(18,-1),0.069692 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,11),(18,5),(18,4),-0.141657 # DEPENDENCYPART_TRISIBL
(18,11),(18,5),(18,3),-0.223348 # DEPENDENCYPART_TRISIBL
(18,11),(18,5),(18,2),-0.0635233 # DEPENDENCYPART_TRISIBL
(18,11),(18,5),(18,1),-0.0851125 # DEPENDENCYPART_TRISIBL
(18,11),(18,5),(18,-1),-0.109016 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,11),(18,4),(18,3),-0.179578 # DEPENDENCYPART_TRISIBL
(18,11),(18,4),(18,2),-0.0534582 # DEPENDENCYPART_TRISIBL
(18,11),(18,4),(18,1),-0.0908516 # DEPENDENCYPART_TRISIBL
(18,11),(18,4),(18,-1),-0.0919744 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,11),(18,3),(18,2),-0.0635233 # DEPENDENCYPART_TRISIBL
(18,11),(18,3),(18,1),-0.0851143 # DEPENDENCYPART_TRISIBL
(18,11),(18,3),(18,-1),-0.104472 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,11),(18,2),(18,1),-0.0999268 # DEPENDENCYPART_TRISIBL
(18,11),(18,2),(18,-1),0.0056659 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,11),(18,1),(18,-1),0.0144977 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,10),(18,9),(18,8),-0.119811 # DEPENDENCYPART_TRISIBL
(18,10),(18,9),(18,7),-0.0972546 # DEPENDENCYPART_TRISIBL
(18,10),(18,9),(18,6),-0.142081 # DEPENDENCYPART_TRISIBL
(18,10),(18,9),(18,5),-0.0870698 # DEPENDENCYPART_TRISIBL
(18,10),(18,9),(18,4),-0.064851 # DEPENDENCYPART_TRISIBL
(18,10),(18,9),(18,3),-0.0870688 # DEPENDENCYPART_TRISIBL
(18,10),(18,9),(18,2),-0.0770925 # DEPENDENCYPART_TRISIBL
(18,10),(18,9),(18,1),-0.042304 # DEPENDENCYPART_TRISIBL
(18,10),(18,9),(18,-1),-0.118899 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,10),(18,8),(18,7),-0.0995298 # DEPENDENCYPART_TRISIBL
(18,10),(18,8),(18,6),-0.156051 # DEPENDENCYPART_TRISIBL
(18,10),(18,8),(18,5),-0.100945 # DEPENDENCYPART_TRISIBL
(18,10),(18,8),(18,4),-0.0678236 # DEPENDENCYPART_TRISIBL
(18,10),(18,8),(18,3),-0.100945 # DEPENDENCYPART_TRISIBL
(18,10),(18,8),(18,2),-0.0735167 # DEPENDENCYPART_TRISIBL
(18,10),(18,8),(18,1),-0.0491175 # DEPENDENCYPART_TRISIBL
(18,10),(18,8),(18,-1),-0.126489 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,10),(18,7),(18,6),-0.166165 # DEPENDENCYPART_TRISIBL
(18,10),(18,7),(18,5),-0.0913688 # DEPENDENCYPART_TRISIBL
(18,10),(18,7),(18,4),-0.0677402 # DEPENDENCYPART_TRISIBL
(18,10),(18,7),(18,3),-0.0913683 # DEPENDENCYPART_TRISIBL
(18,10),(18,7),(18,2),-0.0724154 # DEPENDENCYPART_TRISIBL
(18,10),(18,7),(18,1),-0.0634051 # DEPENDENCYPART_TRISIBL
(18,10),(18,7),(18,-1),-0.0970513 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,10),(18,6),(18,5),-0.0928571 # DEPENDENCYPART_TRISIBL
(18,10),(18,6),(18,4),-0.0680247 # DEPENDENCYPART_TRISIBL
(18,10),(18,6),(18,3),-0.0928566 # DEPENDENCYPART_TRISIBL
(18,10),(18,6),(18,2),-0.0706443 # DEPENDENCYPART_TRISIBL
(18,10),(18,6),(18,1),-0.062889 # DEPENDENCYPART_TRISIBL
(18,10),(18,6),(18,-1),-0.120599 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,10),(18,5),(18,4),-0.0689241 # DEPENDENCYPART_TRISIBL
(18,10),(18,5),(18,3),-0.110589 # DEPENDENCYPART_TRISIBL
(18,10),(18,5),(18,2),-0.063101 # DEPENDENCYPART_TRISIBL
(18,10),(18,5),(18,1),-0.0667274 # DEPENDENCYPART_TRISIBL
(18,10),(18,5),(18,-1),-0.133217 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,10),(18,4),(18,3),-0.0931825 # DEPENDENCYPART_TRISIBL
(18,10),(18,4),(18,2),-0.0706722 # DEPENDENCYPART_TRISIBL
(18,10),(18,4),(18,1),-0.0640412 # DEPENDENCYPART_TRISIBL
(18,10),(18,4),(18,-1),-0.0758145 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,10),(18,3),(18,2),-0.063101 # DEPENDENCYPART_TRISIBL
(18,10),(18,3),(18,1),-0.0667274 # DEPENDENCYPART_TRISIBL
(18,10),(18,3),(18,-1),-0.133217 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,10),(18,2),(18,1),-0.0374233 # DEPENDENCYPART_TRISIBL
(18,10),(18,2),(18,-1),-0.0979692 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,10),(18,1),(18,-1),-0.0319748 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,9),(18,8),(18,7),0.0607506 # DEPENDENCYPART_TRISIBL
(18,9),(18,8),(18,6),0.0228953 # DEPENDENCYPART_TRISIBL
(18,9),(18,8),(18,5),-0.095695 # DEPENDENCYPART_TRISIBL
(18,9),(18,8),(18,4),-0.0378968 # DEPENDENCYPART_TRISIBL
(18,9),(18,8),(18,3),-0.0956927 # DEPENDENCYPART_TRISIBL
(18,9),(18,8),(18,2),0.0439833 # DEPENDENCYPART_TRISIBL
(18,9),(18,8),(18,1),-0.0673439 # DEPENDENCYPART_TRISIBL
(18,9),(18,8),(18,-1),-0.00184358 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,9),(18,7),(18,6),0.0231793 # DEPENDENCYPART_TRISIBL
(18,9),(18,7),(18,5),-0.117522 # DEPENDENCYPART_TRISIBL
(18,9),(18,7),(18,4),-0.0343069 # DEPENDENCYPART_TRISIBL
(18,9),(18,7),(18,3),-0.117521 # DEPENDENCYPART_TRISIBL
(18,9),(18,7),(18,2),0.021467 # DEPENDENCYPART_TRISIBL
(18,9),(18,7),(18,1),0.0205369 # DEPENDENCYPART_TRISIBL
(18,9),(18,7),(18,-1),0.0743646 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,9),(18,6),(18,5),-0.114121 # DEPENDENCYPART_TRISIBL
(18,9),(18,6),(18,4),-0.0343108 # DEPENDENCYPART_TRISIBL
(18,9),(18,6),(18,3),-0.11412 # DEPENDENCYPART_TRISIBL
(18,9),(18,6),(18,2),0.0288879 # DEPENDENCYPART_TRISIBL
(18,9),(18,6),(18,1),-0.0335346 # DEPENDENCYPART_TRISIBL
(18,9),(18,6),(18,-1),-0.0881219 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,9),(18,5),(18,4),0.00577305 # DEPENDENCYPART_TRISIBL
(18,9),(18,5),(18,3),-0.192686 # DEPENDENCYPART_TRISIBL
(18,9),(18,5),(18,2),0.112181 # DEPENDENCYPART_TRISIBL
(18,9),(18,5),(18,1),-0.0188416 # DEPENDENCYPART_TRISIBL
(18,9),(18,5),(18,-1),-0.000573102 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,9),(18,4),(18,3),-0.113704 # DEPENDENCYPART_TRISIBL
(18,9),(18,4),(18,2),0.019534 # DEPENDENCYPART_TRISIBL
(18,9),(18,4),(18,1),-0.0226542 # DEPENDENCYPART_TRISIBL
(18,9),(18,4),(18,-1),0.0439779 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,9),(18,3),(18,2),0.112181 # DEPENDENCYPART_TRISIBL
(18,9),(18,3),(18,1),-0.0188403 # DEPENDENCYPART_TRISIBL
(18,9),(18,3),(18,-1),-0.00302129 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,9),(18,2),(18,1),-0.0300561 # DEPENDENCYPART_TRISIBL
(18,9),(18,2),(18,-1),-0.0832915 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,9),(18,1),(18,-1),-0.00377732 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,8),(18,7),(18,6),0.146862 # DEPENDENCYPART_TRISIBL
(18,8),(18,7),(18,5),-0.184041 # DEPENDENCYPART_TRISIBL
(18,8),(18,7),(18,4),-0.109787 # DEPENDENCYPART_TRISIBL
(18,8),(18,7),(18,3),-0.184034 # DEPENDENCYPART_TRISIBL
(18,8),(18,7),(18,2),-0.0751728 # DEPENDENCYPART_TRISIBL
(18,8),(18,7),(18,1),-0.0651318 # DEPENDENCYPART_TRISIBL
(18,8),(18,7),(18,-1),0.00282373 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,8),(18,6),(18,5),-0.189825 # DEPENDENCYPART_TRISIBL
(18,8),(18,6),(18,4),-0.123899 # DEPENDENCYPART_TRISIBL
(18,8),(18,6),(18,3),-0.189818 # DEPENDENCYPART_TRISIBL
(18,8),(18,6),(18,2),-0.0538662 # DEPENDENCYPART_TRISIBL
(18,8),(18,6),(18,1),-0.114096 # DEPENDENCYPART_TRISIBL
(18,8),(18,6),(18,-1),0.070962 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,8),(18,5),(18,4),-0.141657 # DEPENDENCYPART_TRISIBL
(18,8),(18,5),(18,3),-0.222829 # DEPENDENCYPART_TRISIBL
(18,8),(18,5),(18,2),-0.0635233 # DEPENDENCYPART_TRISIBL
(18,8),(18,5),(18,1),-0.0851125 # DEPENDENCYPART_TRISIBL
(18,8),(18,5),(18,-1),-0.107743 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,8),(18,4),(18,3),-0.179281 # DEPENDENCYPART_TRISIBL
(18,8),(18,4),(18,2),-0.0534582 # DEPENDENCYPART_TRISIBL
(18,8),(18,4),(18,1),-0.0908516 # DEPENDENCYPART_TRISIBL
(18,8),(18,4),(18,-1),-0.0907116 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,8),(18,3),(18,2),-0.0635233 # DEPENDENCYPART_TRISIBL
(18,8),(18,3),(18,1),-0.0851143 # DEPENDENCYPART_TRISIBL
(18,8),(18,3),(18,-1),-0.1032 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,8),(18,2),(18,1),-0.0999268 # DEPENDENCYPART_TRISIBL
(18,8),(18,2),(18,-1),0.00660423 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,8),(18,1),(18,-1),0.0175362 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,7),(18,6),(18,5),-0.14843 # DEPENDENCYPART_TRISIBL
(18,7),(18,6),(18,4),-0.0769077 # DEPENDENCYPART_TRISIBL
(18,7),(18,6),(18,3),-0.148427 # DEPENDENCYPART_TRISIBL
(18,7),(18,6),(18,2),-0.0479132 # DEPENDENCYPART_TRISIBL
(18,7),(18,6),(18,1),-0.0888912 # DEPENDENCYPART_TRISIBL
(18,7),(18,6),(18,-1),0.0625078 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,7),(18,5),(18,4),-0.077472 # DEPENDENCYPART_TRISIBL
(18,7),(18,5),(18,3),-0.147209 # DEPENDENCYPART_TRISIBL
(18,7),(18,5),(18,2),-0.0566268 # DEPENDENCYPART_TRISIBL
(18,7),(18,5),(18,1),-0.0986776 # DEPENDENCYPART_TRISIBL
(18,7),(18,5),(18,-1),-0.081756 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,7),(18,4),(18,3),-0.132109 # DEPENDENCYPART_TRISIBL
(18,7),(18,4),(18,2),-0.05501 # DEPENDENCYPART_TRISIBL
(18,7),(18,4),(18,1),-0.0969195 # DEPENDENCYPART_TRISIBL
(18,7),(18,4),(18,-1),-0.0226396 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,7),(18,3),(18,2),-0.0566268 # DEPENDENCYPART_TRISIBL
(18,7),(18,3),(18,1),-0.0986776 # DEPENDENCYPART_TRISIBL
(18,7),(18,3),(18,-1),-0.0817557 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,7),(18,2),(18,1),-0.104787 # DEPENDENCYPART_TRISIBL
(18,7),(18,2),(18,-1),0.00886169 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,7),(18,1),(18,-1),0.0281154 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,6),(18,5),(18,4),-0.0689241 # DEPENDENCYPART_TRISIBL
(18,6),(18,5),(18,3),-0.110589 # DEPENDENCYPART_TRISIBL
(18,6),(18,5),(18,2),-0.063101 # DEPENDENCYPART_TRISIBL
(18,6),(18,5),(18,1),-0.0667274 # DEPENDENCYPART_TRISIBL
(18,6),(18,5),(18,-1),-0.133217 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,6),(18,4),(18,3),-0.0931825 # DEPENDENCYPART_TRISIBL
(18,6),(18,4),(18,2),-0.0706722 # DEPENDENCYPART_TRISIBL
(18,6),(18,4),(18,1),-0.0640412 # DEPENDENCYPART_TRISIBL
(18,6),(18,4),(18,-1),-0.0758145 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,6),(18,3),(18,2),-0.063101 # DEPENDENCYPART_TRISIBL
(18,6),(18,3),(18,1),-0.0667274 # DEPENDENCYPART_TRISIBL
(18,6),(18,3),(18,-1),-0.133217 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,6),(18,2),(18,1),-0.0374233 # DEPENDENCYPART_TRISIBL
(18,6),(18,2),(18,-1),-0.0979692 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,6),(18,1),(18,-1),-0.0319748 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,5),(18,4),(18,3),-0.225144 # DEPENDENCYPART_TRISIBL
(18,5),(18,4),(18,2),-0.0162181 # DEPENDENCYPART_TRISIBL
(18,5),(18,4),(18,1),0.0156432 # DEPENDENCYPART_TRISIBL
(18,5),(18,4),(18,-1),0.0220236 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,5),(18,3),(18,2),-0.104314 # DEPENDENCYPART_TRISIBL
(18,5),(18,3),(18,1),-0.0171984 # DEPENDENCYPART_TRISIBL
(18,5),(18,3),(18,-1),-0.106557 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,5),(18,2),(18,1),0.0477677 # DEPENDENCYPART_TRISIBL
(18,5),(18,2),(18,-1),-0.0447146 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,5),(18,1),(18,-1),0.0273833 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,4),(18,3),(18,2),-0.049376 # DEPENDENCYPART_TRISIBL
(18,4),(18,3),(18,1),-0.0400693 # DEPENDENCYPART_TRISIBL
(18,4),(18,3),(18,-1),-0.0838007 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,4),(18,2),(18,1),-0.0125165 # DEPENDENCYPART_TRISIBL
(18,4),(18,2),(18,-1),-0.0615251 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,4),(18,1),(18,-1),-0.0715425 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,3),(18,2),(18,1),0.0485459 # DEPENDENCYPART_TRISIBL
(18,3),(18,2),(18,-1),-0.0475444 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,3),(18,1),(18,-1),0.0242014 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,2),(18,1),(18,-1),0.0244231 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,19),(19,20),(19,21),-0.232127 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,20),(19,22),-0.127261 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,20),(19,23),-0.054744 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,20),(19,24),-0.0180331 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,20),(19,25),-0.0688777 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,20),(19,26),-0.200598 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,20),(19,27),-0.68242 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(19,19),(19,21),(19,22),-0.162412 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,21),(19,23),-0.15146 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,21),(19,24),-0.138872 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,21),(19,25),-0.160853 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,21),(19,26),-0.144661 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,21),(19,27),-0.117951 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(19,19),(19,22),(19,23),-0.20074 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,22),(19,24),-0.117788 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,22),(19,25),-0.210149 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,22),(19,26),-0.134616 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,22),(19,27),-0.230973 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
