# _root_ The group 's bid for $ 34.2 million of wastewater treatment bonds , Series 1989 B , produced a 7.0808 % true interest cost .
#goldHeads=2,4,2,18,4,5,6,6,6,12,12,9,12,16,16,12,12,0,24,21,24,24,24,18,18,
#predictedHeads=2,4,2,18,4,5,6,6,6,12,12,9,12,16,16,12,12,0,24,21,24,24,24,18,18,
(18,16),(16,13),(16,12),-0.050793 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,13),(16,11),-0.0500956 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,13),(16,10),-0.0500956 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,13),(16,-1),-0.0668748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,12),(16,11),-0.0148779 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,12),(16,10),-0.0148779 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,12),(16,-1),-0.00693721 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,11),(16,10),-0.0148779 # DEPENDENCYPART_GRANDSIBL
(18,16),(16,11),(16,-1),-0.00608835 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,16),(16,10),(16,-1),-0.00608824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,17),(17,17),(17,26),-0.111302 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,17),(17,17),(17,-1),0.0310992 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,19),(19,19),(19,20),-0.0221212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,19),(19,19),(19,26),-0.059194 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,19),(19,20),(19,26),-0.0204934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,19),(19,19),(19,-1),-0.330055 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,20),(20,20),(20,21),-0.0707338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,20),(20,20),(20,22),-0.0107575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,20),(20,20),(20,23),-0.0662903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,20),(20,20),(20,24),-0.0662902 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,20),(20,20),(20,26),-0.171118 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,20),(20,21),(20,22),-0.0210962 # DEPENDENCYPART_GRANDSIBL
(18,20),(20,21),(20,23),-0.0203476 # DEPENDENCYPART_GRANDSIBL
(18,20),(20,21),(20,24),-0.0203476 # DEPENDENCYPART_GRANDSIBL
(18,20),(20,21),(20,26),-0.0588484 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,20),(20,22),(20,23),-0.0199326 # DEPENDENCYPART_GRANDSIBL
(18,20),(20,22),(20,24),-0.0199326 # DEPENDENCYPART_GRANDSIBL
(18,20),(20,22),(20,26),-0.0222927 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,20),(20,23),(20,24),-0.0203445 # DEPENDENCYPART_GRANDSIBL
(18,20),(20,23),(20,26),-0.0505761 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,20),(20,24),(20,26),-0.050576 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,20),(20,20),(20,19),0.115413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,20),(20,20),(20,-1),-0.406864 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,20),(20,19),(20,-1),-0.135782 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,21),(21,21),(21,22),-0.0232449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,23),0.0511193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,24),0.0440246 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,25),0.00656601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,26),0.0669156 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,21),(21,22),(21,23),-0.00337494 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,22),(21,24),-0.00337494 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,22),(21,25),-0.0194731 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,22),(21,26),-0.0311928 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,21),(21,23),(21,24),-0.00562349 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,23),(21,25),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,23),(21,26),-2.27752e-05 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,21),(21,24),(21,25),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,24),(21,26),0.000184158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,21),(21,25),(21,26),-0.0121011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,21),(21,21),(21,20),0.150942 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,19),0.0986433 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,15),-0.142213 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,21),(21,21),(21,-1),-0.193567 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,21),(21,20),(21,19),0.0935029 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,20),(21,15),-0.144709 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,20),(21,-1),-0.0588174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,21),(21,19),(21,15),-0.144936 # DEPENDENCYPART_GRANDSIBL
(18,21),(21,19),(21,-1),-0.186741 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,21),(21,15),(21,-1),-0.0623215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,22),(22,22),(22,23),-0.0255955 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,24),-0.023749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,25),-0.0240891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,26),-0.0594052 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,22),(22,23),(22,24),-0.0205425 # DEPENDENCYPART_GRANDSIBL
(18,22),(22,23),(22,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(18,22),(22,23),(22,26),-0.080212 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,22),(22,24),(22,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(18,22),(22,24),(22,26),-0.0783914 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,22),(22,25),(22,26),-0.026084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,22),(22,22),(22,21),0.170483 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,20),0.113306 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,19),0.0666372 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,22),(22,22),(22,-1),-0.233625 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,22),(22,21),(22,20),0.109268 # DEPENDENCYPART_GRANDSIBL
(18,22),(22,21),(22,19),0.106583 # DEPENDENCYPART_GRANDSIBL
(18,22),(22,21),(22,-1),-0.0326671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,22),(22,20),(22,19),0.108454 # DEPENDENCYPART_GRANDSIBL
(18,22),(22,20),(22,-1),-0.140092 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,22),(22,19),(22,-1),-0.228512 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,23),(23,24),0.0458622 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,23),(23,26),0.0481451 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,23),(23,24),(23,26),0.0144435 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,23),(23,22),0.125441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,23),(23,21),0.0453905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,23),(23,20),0.137171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,23),(23,19),0.100582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,23),(23,23),(23,-1),-0.192447 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,23),(23,22),(23,21),0.057641 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,22),(23,20),0.110046 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,22),(23,19),0.142407 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,22),(23,-1),-0.0856218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,21),(23,20),0.102081 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,19),0.0629028 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,21),(23,-1),-0.102819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,20),(23,19),0.0979239 # DEPENDENCYPART_GRANDSIBL
(18,23),(23,20),(23,-1),-0.0951966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,23),(23,19),(23,-1),-0.172604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,24),(24,24),(24,25),0.00656601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,24),(24,24),(24,26),0.050782 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,24),(24,25),(24,26),-0.0121011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,24),(24,24),(24,23),0.0366926 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,24),(24,24),(24,22),0.121295 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,24),(24,24),(24,21),0.0429802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,24),(24,24),(24,20),0.138105 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,24),(24,24),(24,19),0.0950206 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,24),(24,24),(24,15),-0.142201 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,24),(24,24),(24,14),-0.0538672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,24),(24,24),(24,-1),-0.186332 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,24),(24,23),(24,22),0.10976 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,23),(24,21),0.104101 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,23),(24,20),0.113987 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,23),(24,19),0.0571641 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,23),(24,15),-0.145154 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,23),(24,14),-0.139044 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,23),(24,-1),-0.104372 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,24),(24,22),(24,21),0.0629427 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,22),(24,20),0.110039 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,22),(24,19),0.13668 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,22),(24,15),-0.145001 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,22),(24,14),-0.14492 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,22),(24,-1),-0.0890747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,24),(24,21),(24,20),0.104206 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,21),(24,19),0.0663361 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,21),(24,15),-0.145154 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,21),(24,14),-0.139081 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,21),(24,-1),-0.106422 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,24),(24,20),(24,19),0.0979239 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,20),(24,15),-0.144709 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,20),(24,14),-0.144801 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,20),(24,-1),-0.0921444 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,24),(24,19),(24,15),-0.144936 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,19),(24,14),-0.144889 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,19),(24,-1),-0.179375 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,24),(24,15),(24,14),-0.144801 # DEPENDENCYPART_GRANDSIBL
(18,24),(24,15),(24,-1),-0.0956484 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,24),(24,14),(24,-1),-0.115501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(18,25),(25,25),(25,26),-0.00570165 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,25),(25,25),(25,24),0.0719478 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(18,25),(25,25),(25,-1),0.0213453 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(18,25),(25,24),(25,-1),-0.178911 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,20),(20,21),-0.0203643 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,22),-0.0209505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,23),-0.0203594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,24),-0.0203594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,26),-0.0234842 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,20),(20,21),(20,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,21),(20,23),-0.0196496 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,21),(20,24),-0.0196496 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,21),(20,26),-0.020859 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,22),(20,23),-0.0196753 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,22),(20,24),-0.0196753 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,22),(20,26),-0.0204806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,23),(20,24),-0.0196496 # DEPENDENCYPART_GRANDSIBL
(19,20),(20,23),(20,26),-0.0208541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,24),(20,26),-0.0208541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,20),(20,19),0.108677 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,-1),-0.158375 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,20),(20,19),(20,-1),-0.145564 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,19),(19,19),(19,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,19),(19,19),(19,26),-0.0924762 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,19),(19,20),(19,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,19),(19,19),(19,-1),0.0273009 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,21),(21,22),-0.0256246 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,23),-0.016376 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,24),-0.0163758 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,25),-0.0195776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,26),0.0149783 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,22),(21,23),-0.0195818 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,22),(21,24),-0.0195818 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,22),(21,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,22),(21,26),-0.0253518 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,23),(21,24),-0.0143387 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,23),(21,25),-0.0195014 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,23),(21,26),-0.0145456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,24),(21,25),-0.0195014 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,24),(21,26),-0.0145456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,25),(21,26),-0.0196793 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,21),(21,20),0.162802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,19),-0.144861 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,15),-0.145884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,-1),-0.269288 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,20),(21,19),-0.144863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,20),(21,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,20),(21,-1),-0.0939913 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,19),(21,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,19),(21,-1),-0.106173 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,15),(21,-1),-0.0940573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,22),(22,23),-0.0266305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,24),-0.0266305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,26),-0.00338361 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,23),(22,24),-0.0196287 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,23),(22,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,23),(22,26),-0.02615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,24),(22,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,24),(22,26),-0.02615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,25),(22,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,22),(22,21),0.100965 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,20),0.107881 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,-1),-0.12896 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,21),(22,20),0.109534 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,-1),-0.152686 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,20),(22,19),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,20),(22,-1),-0.146322 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,19),(22,-1),-0.149706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,23),(23,24),-0.0150133 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,26),0.00248056 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,23),(23,24),(23,26),-0.0129251 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,23),(23,22),0.10361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,21),0.0843014 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,20),0.165876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,19),-0.144861 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,-1),-0.281869 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,23),(23,22),(23,21),0.113057 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,20),0.108738 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,-1),-0.160903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,21),(23,20),0.108118 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,21),(23,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,21),(23,-1),-0.139771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,20),(23,19),-0.144863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,20),(23,-1),-0.0918177 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,23),(23,19),(23,-1),-0.10616 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,24),(24,25),-0.0195483 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,26),0.00178583 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,24),(24,25),(24,26),-0.0196196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,24),(24,23),0.0876979 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,22),0.10361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,21),0.0843006 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,20),0.165876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,19),-0.144861 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,15),-0.145883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,14),-0.144865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,-1),-0.281793 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,24),(24,23),(24,22),0.106534 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,23),(24,21),0.107187 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,23),(24,20),0.108147 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,23),(24,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,23),(24,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,23),(24,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,23),(24,-1),-0.138902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,22),(24,21),0.113057 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,22),(24,20),0.108738 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,22),(24,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,22),(24,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,22),(24,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,22),(24,-1),-0.160903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,21),(24,20),0.108118 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,21),(24,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,21),(24,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,21),(24,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,21),(24,-1),-0.139772 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,20),(24,19),-0.144863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,20),(24,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,20),(24,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,20),(24,-1),-0.0918177 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,24),(24,19),(24,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,19),(24,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,19),(24,-1),-0.107553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,15),(24,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,15),(24,-1),-0.0918838 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,14),(24,-1),-0.136814 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,15),(15,16),0.170594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,18),0.105877 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,24),-0.145751 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,26),0.000425364 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,15),(15,16),(15,18),0.109536 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,16),(15,24),-0.144703 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,16),(15,26),-0.0862249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,18),(15,24),-0.144702 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,18),(15,26),-0.149297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,24),(15,26),-0.0862249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,15),(15,14),-0.039152 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,-1),0.212876 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,15),(15,14),(15,-1),-0.0479416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,19),(19,20),0.137092 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,19),(19,19),(19,26),0.0557979 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,19),(19,20),(19,26),-0.120527 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,19),(19,-1),0.176855 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,20),(20,20),(20,21),-0.145751 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,20),(20,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,20),(20,23),-0.145751 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,20),(20,24),-0.145751 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,20),(20,20),(20,26),-0.00488039 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
