# _root_ The ordinance , in Moon Township , prohibits locating a group home for the handicapped within a mile of another such facility .
#goldHeads=2,8,8,8,6,4,8,0,8,12,12,9,12,15,13,9,18,16,18,22,22,19,8,
#predictedHeads=2,8,8,8,6,4,8,0,8,12,12,9,12,15,13,15,18,16,18,22,22,19,8,
(2,3),(2,12),(2,23),-0.189096 # DEPENDENCYPART_TRISIBL
(2,3),(2,12),(2,24),-0.0785109 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,13),(2,16),-0.022236 # DEPENDENCYPART_TRISIBL
(2,3),(2,13),(2,23),-0.0973352 # DEPENDENCYPART_TRISIBL
(2,3),(2,13),(2,24),-0.0817888 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,16),(2,23),-0.0974168 # DEPENDENCYPART_TRISIBL
(2,3),(2,16),(2,24),-0.0848434 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,23),(2,24),-0.304943 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,5),(2,6),-0.0533072 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,7),-0.0614534 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,8),-0.0488169 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,9),-0.0488169 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,12),-0.0533292 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,13),-0.0730567 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,16),-0.0894154 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,23),-0.0798298 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,24),-0.0183213 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,6),(2,7),-0.0614534 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,8),-0.0488169 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,9),-0.0488169 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,12),-0.0533292 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,13),-0.0730567 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,16),-0.0894154 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,23),-0.0798298 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,24),-0.0183213 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,7),(2,8),0.0248255 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,9),0.0248255 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,12),0.0746297 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,13),0.0499432 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,16),0.0293313 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,23),-0.0933311 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,24),-0.166664 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,8),(2,9),-0.0899428 # DEPENDENCYPART_TRISIBL
(2,4),(2,8),(2,12),-0.0251109 # DEPENDENCYPART_TRISIBL
(2,4),(2,8),(2,13),-0.0467185 # DEPENDENCYPART_TRISIBL
(2,4),(2,8),(2,16),-0.0666407 # DEPENDENCYPART_TRISIBL
(2,4),(2,8),(2,23),-0.10595 # DEPENDENCYPART_TRISIBL
(2,4),(2,8),(2,24),-0.0755994 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,9),(2,12),-0.0251111 # DEPENDENCYPART_TRISIBL
(2,4),(2,9),(2,13),-0.0467185 # DEPENDENCYPART_TRISIBL
(2,4),(2,9),(2,16),-0.0666407 # DEPENDENCYPART_TRISIBL
(2,4),(2,9),(2,23),-0.10595 # DEPENDENCYPART_TRISIBL
(2,4),(2,9),(2,24),-0.0755994 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,12),(2,13),-0.0743913 # DEPENDENCYPART_TRISIBL
(2,4),(2,12),(2,16),-0.0907501 # DEPENDENCYPART_TRISIBL
(2,4),(2,12),(2,23),-0.0798311 # DEPENDENCYPART_TRISIBL
(2,4),(2,12),(2,24),-0.0184506 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,13),(2,16),-0.0797137 # DEPENDENCYPART_TRISIBL
(2,4),(2,13),(2,23),-0.0945254 # DEPENDENCYPART_TRISIBL
(2,4),(2,13),(2,24),-0.044615 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,16),(2,23),-0.0861824 # DEPENDENCYPART_TRISIBL
(2,4),(2,16),(2,24),-0.0704142 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,23),(2,24),-0.0670739 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,6),(2,7),-0.0434148 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,8),-0.0969869 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,9),-0.0969748 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,12),-0.0865768 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,13),-0.0586407 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,16),-0.0640709 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,23),-0.0759656 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,24),-0.115726 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,7),(2,8),-0.123528 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,9),-0.123503 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,12),-0.0845853 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,13),-0.0550524 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,16),-0.0395939 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,23),-0.0919976 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,24),-0.0344512 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,8),(2,9),-0.0960038 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,12),-0.0868909 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,13),-0.0781015 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,16),-0.0669876 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,23),-0.0766813 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,24),-0.125298 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,9),(2,12),-0.0868909 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,13),-0.0781015 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,16),-0.0669876 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,23),-0.0766813 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,24),-0.12526 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,12),(2,13),-0.0587164 # DEPENDENCYPART_TRISIBL
(2,5),(2,12),(2,16),-0.0641466 # DEPENDENCYPART_TRISIBL
(2,5),(2,12),(2,23),-0.0759659 # DEPENDENCYPART_TRISIBL
(2,5),(2,12),(2,24),-0.110143 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,13),(2,16),-0.0541892 # DEPENDENCYPART_TRISIBL
(2,5),(2,13),(2,23),-0.0774101 # DEPENDENCYPART_TRISIBL
(2,5),(2,13),(2,24),-0.0914596 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,16),(2,23),-0.078484 # DEPENDENCYPART_TRISIBL
(2,5),(2,16),(2,24),-0.105242 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,23),(2,24),-0.0170982 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,7),(2,8),-0.123369 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,9),-0.123344 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,12),-0.0845746 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,13),-0.0547447 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,16),-0.0392861 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,23),-0.0919974 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,24),-0.0335627 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,8),(2,9),-0.0956859 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,12),-0.0868855 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,13),-0.0779477 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,16),-0.0668338 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,23),-0.076681 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,24),-0.124408 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,9),(2,12),-0.0868855 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,13),-0.0779477 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,16),-0.0668338 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,23),-0.076681 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,24),-0.124371 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,12),(2,13),-0.0585625 # DEPENDENCYPART_TRISIBL
(2,6),(2,12),(2,16),-0.0639927 # DEPENDENCYPART_TRISIBL
(2,6),(2,12),(2,23),-0.0759658 # DEPENDENCYPART_TRISIBL
(2,6),(2,12),(2,24),-0.108494 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,13),(2,16),-0.0540353 # DEPENDENCYPART_TRISIBL
(2,6),(2,13),(2,23),-0.07741 # DEPENDENCYPART_TRISIBL
(2,6),(2,13),(2,24),-0.0904401 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,16),(2,23),-0.0784839 # DEPENDENCYPART_TRISIBL
(2,6),(2,16),(2,24),-0.104223 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,23),(2,24),-0.0162092 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,8),(2,9),-0.0693486 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,12),-0.0247011 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,13),0.0264391 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,16),0.0190304 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,23),-0.100981 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,24),-0.0507843 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,9),(2,12),-0.0247011 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,13),0.0264391 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,16),0.0190304 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,23),-0.100969 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,24),-0.0508458 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,12),(2,13),-0.0304223 # DEPENDENCYPART_TRISIBL
(2,7),(2,12),(2,16),-0.0428495 # DEPENDENCYPART_TRISIBL
(2,7),(2,12),(2,23),-0.189096 # DEPENDENCYPART_TRISIBL
(2,7),(2,12),(2,24),-0.0785109 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,13),(2,16),-0.022236 # DEPENDENCYPART_TRISIBL
(2,7),(2,13),(2,23),-0.0973352 # DEPENDENCYPART_TRISIBL
(2,7),(2,13),(2,24),-0.0817888 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,16),(2,23),-0.0974168 # DEPENDENCYPART_TRISIBL
(2,7),(2,16),(2,24),-0.0848434 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,23),(2,24),-0.304943 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,9),(2,12),-0.0668247 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,13),-0.00701218 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,16),-0.0144215 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,23),-0.0840729 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,24),-0.125875 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,12),(2,13),-0.0122589 # DEPENDENCYPART_TRISIBL
(2,8),(2,12),(2,16),-0.0155915 # DEPENDENCYPART_TRISIBL
(2,8),(2,12),(2,23),-0.0498364 # DEPENDENCYPART_TRISIBL
(2,8),(2,12),(2,24),-0.119818 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,13),(2,16),-0.0512763 # DEPENDENCYPART_TRISIBL
(2,8),(2,13),(2,23),0.00110217 # DEPENDENCYPART_TRISIBL
(2,8),(2,13),(2,24),-0.0571328 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,16),(2,23),0.00429376 # DEPENDENCYPART_TRISIBL
(2,8),(2,16),(2,24),-0.0589061 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,23),(2,24),-0.0760355 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,12),(2,13),-0.0122589 # DEPENDENCYPART_TRISIBL
(2,9),(2,12),(2,16),-0.0155915 # DEPENDENCYPART_TRISIBL
(2,9),(2,12),(2,23),-0.0498364 # DEPENDENCYPART_TRISIBL
(2,9),(2,12),(2,24),-0.119806 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,13),(2,16),-0.0512763 # DEPENDENCYPART_TRISIBL
(2,9),(2,13),(2,23),0.00110217 # DEPENDENCYPART_TRISIBL
(2,9),(2,13),(2,24),-0.0571209 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,16),(2,23),0.00429376 # DEPENDENCYPART_TRISIBL
(2,9),(2,16),(2,24),-0.0588941 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,23),(2,24),-0.0760114 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,12),(2,13),(2,16),-0.0558137 # DEPENDENCYPART_TRISIBL
(2,12),(2,13),(2,23),-0.0782128 # DEPENDENCYPART_TRISIBL
(2,12),(2,13),(2,24),-0.0806431 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,12),(2,16),(2,23),-0.0792867 # DEPENDENCYPART_TRISIBL
(2,12),(2,16),(2,24),-0.0944257 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,12),(2,23),(2,24),-0.00825487 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,13),(2,16),(2,23),-0.0809887 # DEPENDENCYPART_TRISIBL
(2,13),(2,16),(2,24),-0.0656296 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,13),(2,23),(2,24),-0.0550458 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,16),(2,23),(2,24),-0.0644627 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,2),(2,1),(2,-1),-0.157349 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,3),(3,4),(3,24),-0.427949 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,5),(4,6),-0.0587285 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,7),0.103045 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,9),-0.0705852 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,24),0.345589 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,6),(4,7),0.103241 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,9),-0.0704262 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,24),0.348292 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,7),(4,9),-0.13238 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,24),-0.270497 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,9),(4,24),0.0981716 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,5),(4,6),(4,7),-0.05934 # DEPENDENCYPART_TRISIBL
(4,5),(4,6),(4,9),-0.0696791 # DEPENDENCYPART_TRISIBL
(4,5),(4,6),(4,24),-0.0123442 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,7),(4,9),-0.0432979 # DEPENDENCYPART_TRISIBL
(4,5),(4,7),(4,24),0.0638364 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,9),(4,24),-0.0188819 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,6),(4,7),(4,9),-0.043139 # DEPENDENCYPART_TRISIBL
(4,6),(4,7),(4,24),0.0643464 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,6),(4,9),(4,24),-0.0183718 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,9),(4,24),-0.0869 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,3),(4,2),-0.0834411 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,3),(4,-1),-0.226198 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,2),(4,-1),-0.194624 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,3),(4,2),(4,-1),-0.128691 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,5),(5,6),(5,7),-0.118709 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,24),-0.101914 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,7),(5,24),-0.724681 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,6),(5,7),(5,24),-0.0307233 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,5),(5,3),(5,-1),-0.472549 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,7),(6,8),-0.163663 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,9),-0.163718 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,12),-0.0629517 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,15),-0.0717875 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,18),-0.0725164 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,24),-0.72447 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,8),(6,9),-0.0641787 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,12),-0.13804 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,15),-0.142603 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,18),-0.143331 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,24),-0.0931392 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,9),(6,12),-0.13804 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,15),-0.142603 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,18),-0.143331 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,24),-0.0951772 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,12),(6,15),-0.0947169 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,12),(6,18),-0.0954458 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,12),(6,24),-0.104019 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,15),(6,18),-0.0945527 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,15),(6,24),-0.102632 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,18),(6,24),-0.106381 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,7),(6,8),(6,9),-0.0693504 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,12),-0.0247011 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,15),-0.0246418 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,18),-0.0246418 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,24),-0.0497488 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,9),(6,12),-0.0247011 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,15),-0.0246418 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,18),-0.0246418 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,24),-0.0498103 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,12),(6,15),-0.0679044 # DEPENDENCYPART_TRISIBL
(6,7),(6,12),(6,18),-0.0679044 # DEPENDENCYPART_TRISIBL
(6,7),(6,12),(6,24),-0.0757951 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,15),(6,18),-0.0679044 # DEPENDENCYPART_TRISIBL
(6,7),(6,15),(6,24),-0.0767542 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,18),(6,24),-0.0767542 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,8),(6,9),(6,12),-0.0668248 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,15),-0.0668243 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,18),-0.0668584 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,24),-0.125876 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,8),(6,12),(6,15),-0.0727018 # DEPENDENCYPART_TRISIBL
(6,8),(6,12),(6,18),-0.0727359 # DEPENDENCYPART_TRISIBL
(6,8),(6,12),(6,24),-0.119821 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,8),(6,15),(6,18),-0.0727336 # DEPENDENCYPART_TRISIBL
(6,8),(6,15),(6,24),-0.119501 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,8),(6,18),(6,24),-0.119501 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,9),(6,12),(6,15),-0.0727018 # DEPENDENCYPART_TRISIBL
(6,9),(6,12),(6,18),-0.0727359 # DEPENDENCYPART_TRISIBL
(6,9),(6,12),(6,24),-0.119809 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,9),(6,15),(6,18),-0.0727336 # DEPENDENCYPART_TRISIBL
(6,9),(6,15),(6,24),-0.11949 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,9),(6,18),(6,24),-0.11949 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,12),(6,15),(6,18),-0.0789578 # DEPENDENCYPART_TRISIBL
(6,12),(6,15),(6,24),-0.104324 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,12),(6,18),(6,24),-0.104324 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,15),(6,18),(6,24),-0.114768 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,5),(6,4),-0.245152 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,5),(6,3),-0.237241 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,5),(6,2),-0.217938 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,5),(6,1),-0.079894 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,5),(6,-1),-0.187355 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,4),(6,3),-0.141156 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,4),(6,2),-0.0314647 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,4),(6,1),-0.115102 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,4),(6,-1),-0.14632 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,3),(6,2),-0.148784 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,3),(6,1),-0.146283 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,3),(6,-1),-0.474242 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,2),(6,1),-0.079894 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,2),(6,-1),-0.188998 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,1),(6,-1),-0.157329 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,5),(6,4),(6,3),-0.11019 # DEPENDENCYPART_TRISIBL
(6,5),(6,4),(6,2),-0.106793 # DEPENDENCYPART_TRISIBL
(6,5),(6,4),(6,1),0.0261466 # DEPENDENCYPART_TRISIBL
(6,5),(6,4),(6,-1),-0.126733 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,5),(6,3),(6,2),-0.124866 # DEPENDENCYPART_TRISIBL
(6,5),(6,3),(6,1),-0.0153194 # DEPENDENCYPART_TRISIBL
(6,5),(6,3),(6,-1),-0.211183 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,5),(6,2),(6,1),0.0368831 # DEPENDENCYPART_TRISIBL
(6,5),(6,2),(6,-1),-0.133563 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,5),(6,1),(6,-1),-0.0720469 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,4),(6,3),(6,2),-0.0742673 # DEPENDENCYPART_TRISIBL
(6,4),(6,3),(6,1),-0.0720906 # DEPENDENCYPART_TRISIBL
(6,4),(6,3),(6,-1),-0.185064 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,4),(6,2),(6,1),-0.0959803 # DEPENDENCYPART_TRISIBL
(6,4),(6,2),(6,-1),-0.192441 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,4),(6,1),(6,-1),-0.156657 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,3),(6,2),(6,1),-0.0531582 # DEPENDENCYPART_TRISIBL
(6,3),(6,2),(6,-1),-0.137088 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,3),(6,1),(6,-1),-0.276008 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,2),(6,1),(6,-1),-0.0723832 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,4),(7,-1),-0.411619 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,9),(8,10),-0.0896914 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,11),-0.0273331 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,12),-0.02155 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,13),0.022079 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,15),-0.0241103 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,16),-0.00127343 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,18),-0.0255661 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,23),0.0134652 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,24),0.0110745 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,10),(8,11),-0.0848368 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
