# _root_ Ms. Johnson tells them that , if the appliances ca n't be salvaged , their policy covers the replacement cost .
#goldHeads=2,3,0,3,17,17,10,9,10,17,10,10,12,17,16,17,3,20,20,17,3,
#predictedHeads=2,3,0,3,10,10,10,9,10,3,10,10,12,17,16,17,13,20,20,17,3,
(5,6),(5,7),(5,22),-0.100467 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,9),(5,10),-0.0616942 # DEPENDENCYPART_TRISIBL
(5,6),(5,9),(5,22),-0.158992 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,10),(5,22),-0.13128 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,9),(5,10),-0.0732166 # DEPENDENCYPART_TRISIBL
(5,7),(5,9),(5,22),-0.0329326 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,10),(5,22),-0.12677 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,9),(5,10),(5,22),-0.0602841 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,8),(7,9),-0.0447367 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,10),-0.0830435 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,11),-0.111168 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,12),-0.127181 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,16),-0.0495018 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,17),-0.130163 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,22),-0.286682 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,9),(7,10),-0.0395585 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,11),-0.0992938 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,12),-0.130925 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,16),-0.105907 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,17),-0.128541 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,22),-0.0459858 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,10),(7,11),-0.083549 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,12),-0.0910419 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,16),-0.0738785 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,17),-0.0994892 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,22),-0.229753 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,11),(7,12),-0.0581949 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,16),-0.0597508 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,17),-0.0583729 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,22),-0.133708 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,12),(7,16),-0.0646293 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,12),(7,17),-0.122196 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,12),(7,22),-0.108735 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,16),(7,17),-0.126242 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,16),(7,22),-0.0645889 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,17),(7,22),-0.118472 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,8),(7,9),(7,10),-0.0695838 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,11),-0.0748058 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,12),-0.0813871 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,16),-0.0828134 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,17),-0.0813537 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,22),-0.0507542 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,10),(7,11),-0.071545 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,12),-0.0791964 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,16),-0.076107 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,17),-0.0791652 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,22),-0.0743507 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,11),(7,12),-0.0802624 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,16),-0.0715225 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,17),-0.0802312 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,22),-0.0782138 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,12),(7,16),-0.0783936 # DEPENDENCYPART_TRISIBL
(7,8),(7,12),(7,17),-0.0796423 # DEPENDENCYPART_TRISIBL
(7,8),(7,12),(7,22),-0.0865533 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,16),(7,17),-0.0813537 # DEPENDENCYPART_TRISIBL
(7,8),(7,16),(7,22),-0.0507542 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,17),(7,22),-0.0855458 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,10),(7,11),-0.0675301 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,12),-0.0685656 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,16),-0.109597 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,17),-0.0626303 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,22),-0.0607562 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,11),(7,12),-0.076051 # DEPENDENCYPART_TRISIBL
(7,9),(7,11),(7,16),-0.124047 # DEPENDENCYPART_TRISIBL
(7,9),(7,11),(7,17),-0.0705811 # DEPENDENCYPART_TRISIBL
(7,9),(7,11),(7,22),-0.0761326 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,12),(7,16),-0.113078 # DEPENDENCYPART_TRISIBL
(7,9),(7,12),(7,17),-0.0657219 # DEPENDENCYPART_TRISIBL
(7,9),(7,12),(7,22),-0.105715 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,16),(7,17),-0.059282 # DEPENDENCYPART_TRISIBL
(7,9),(7,16),(7,22),-0.0856274 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,17),(7,22),-0.103191 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,11),(7,12),-0.0543898 # DEPENDENCYPART_TRISIBL
(7,10),(7,11),(7,16),-0.0654702 # DEPENDENCYPART_TRISIBL
(7,10),(7,11),(7,17),-0.0541881 # DEPENDENCYPART_TRISIBL
(7,10),(7,11),(7,22),-0.0655582 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,12),(7,16),-0.0650486 # DEPENDENCYPART_TRISIBL
(7,10),(7,12),(7,17),-0.0542601 # DEPENDENCYPART_TRISIBL
(7,10),(7,12),(7,22),-0.080668 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,16),(7,17),-0.0525204 # DEPENDENCYPART_TRISIBL
(7,10),(7,16),(7,22),-0.0840907 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,17),(7,22),-0.0845659 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,11),(7,12),(7,16),-0.0941945 # DEPENDENCYPART_TRISIBL
(7,11),(7,12),(7,17),-0.0699805 # DEPENDENCYPART_TRISIBL
(7,11),(7,12),(7,22),-0.0424127 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,11),(7,16),(7,17),-0.0268617 # DEPENDENCYPART_TRISIBL
(7,11),(7,16),(7,22),-0.0745145 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,11),(7,17),(7,22),-0.042032 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,12),(7,16),(7,17),-0.101494 # DEPENDENCYPART_TRISIBL
(7,12),(7,16),(7,22),-0.0722038 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,12),(7,17),(7,22),-0.067747 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,16),(7,17),(7,22),-0.108821 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,6),(7,5),-0.209712 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,6),(7,-1),-0.196904 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,5),(7,-1),-0.178275 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,6),(7,5),(7,-1),-0.192798 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,10),(8,13),-0.082837 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,22),-0.175168 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,13),(8,22),-0.174461 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,10),(8,13),(8,22),-0.088725 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,7),(8,-1),-0.366315 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,10),(9,11),-0.0800525 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,12),-0.0868812 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,13),-0.0938264 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,14),-0.0573324 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,16),-0.151537 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,17),-0.0930027 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,20),-0.151332 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,22),-0.0884553 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,11),(9,12),-0.103667 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,11),(9,13),-0.100695 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,11),(9,14),-0.140847 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,11),(9,16),-0.14347 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,11),(9,17),-0.101519 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,11),(9,20),-0.142659 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,11),(9,22),-0.116654 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,12),(9,13),-0.0871684 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,14),-0.0558665 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,16),-0.144349 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,17),-0.0863446 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,20),-0.144149 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,22),-0.0907095 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,13),(9,14),-0.0519487 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,13),(9,16),-0.142927 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,13),(9,17),-0.0919346 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,13),(9,20),-0.142727 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,13),(9,22),-0.0973402 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,14),(9,16),-0.0577401 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,14),(9,17),-0.147171 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,14),(9,20),-0.0572873 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,14),(9,22),-0.677844 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,16),(9,17),-0.103977 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,16),(9,20),-0.12087 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,16),(9,22),-0.12149 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,17),(9,20),-0.142727 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,17),(9,22),-0.098273 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,20),(9,22),-0.114785 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,10),(9,11),(9,12),-0.054258 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,13),-0.0538881 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,14),-0.0725658 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,16),-0.0632773 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,17),-0.0538881 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,20),-0.0632773 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,22),-0.0745573 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,12),(9,13),-0.0562554 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,14),-0.0753732 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,16),-0.063129 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,17),-0.0562554 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,20),-0.063129 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,22),-0.116303 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,13),(9,14),-0.0753711 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,16),-0.0631206 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,17),-0.0557316 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,20),-0.0631206 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,22),-0.119638 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,14),(9,16),-0.0402837 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,17),-0.00351807 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,20),-0.0402837 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,22),-0.0635921 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,16),(9,17),-0.0523695 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,20),-0.0626136 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,22),-0.105388 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,17),(9,20),-0.0631206 # DEPENDENCYPART_TRISIBL
(9,10),(9,17),(9,22),-0.119638 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,20),(9,22),-0.105388 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,12),(9,13),-0.0778498 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,14),-0.0377284 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,16),-0.0909893 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,17),-0.0778498 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,20),-0.090995 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,22),-0.041368 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,13),(9,14),-0.0405775 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,16),-0.0909784 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,17),-0.0725099 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,20),-0.0909841 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,22),-0.0392117 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,14),(9,16),-0.0582209 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,17),-0.0692623 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,20),-0.0582287 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,22),-0.255185 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,16),(9,17),-0.0321703 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,20),-0.0827666 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,22),-0.0229476 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,17),(9,20),-0.0909841 # DEPENDENCYPART_TRISIBL
(9,11),(9,17),(9,22),-0.0393065 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,20),(9,22),-0.0223487 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,13),(9,14),-0.0807074 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,16),-0.0722979 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,17),-0.120302 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,20),-0.0721452 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,22),-0.111664 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,14),(9,16),-0.0843534 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,17),-0.0779928 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,20),-0.0842802 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,22),-0.0422121 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,16),(9,17),-0.106384 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,20),-0.0732818 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,22),-0.118198 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,17),(9,20),-0.0721452 # DEPENDENCYPART_TRISIBL
(9,12),(9,17),(9,22),-0.111664 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,20),(9,22),-0.118602 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,14),(9,16),-0.0820284 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,17),-0.0677323 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,20),-0.0819552 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,22),-0.0490094 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,16),(9,17),-0.101548 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,20),-0.0711658 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,22),-0.121847 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,17),(9,20),-0.0701195 # DEPENDENCYPART_TRISIBL
(9,13),(9,17),(9,22),-0.112315 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,20),(9,22),-0.122251 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,16),(9,17),-0.052276 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,20),-0.0825844 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,22),-0.0989108 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,17),(9,20),-0.0200328 # DEPENDENCYPART_TRISIBL
(9,14),(9,17),(9,22),-0.0593537 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,20),(9,22),-0.0984075 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,16),(9,17),(9,20),-0.071684 # DEPENDENCYPART_TRISIBL
(9,16),(9,17),(9,22),-0.137739 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,16),(9,20),(9,22),-0.137454 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,17),(9,20),(9,22),-0.119872 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,8),(9,7),-0.0596076 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,8),(9,6),0.00291371 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,8),(9,5),-0.1743 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,8),(9,-1),-0.0822689 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,7),(9,6),-0.0597818 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,7),(9,5),-0.197186 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,7),(9,-1),-0.102978 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,6),(9,5),-0.218994 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,6),(9,-1),-0.400829 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,5),(9,-1),-0.0681823 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,8),(9,7),(9,6),-0.0750227 # DEPENDENCYPART_TRISIBL
(9,8),(9,7),(9,5),-0.050739 # DEPENDENCYPART_TRISIBL
(9,8),(9,7),(9,-1),-0.0621075 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,8),(9,6),(9,5),0.0105881 # DEPENDENCYPART_TRISIBL
(9,8),(9,6),(9,-1),-0.123017 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,8),(9,5),(9,-1),-0.0642091 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,7),(9,6),(9,5),-0.0528017 # DEPENDENCYPART_TRISIBL
(9,7),(9,6),(9,-1),0.0162634 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,7),(9,5),(9,-1),-0.0360806 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,6),(9,5),(9,-1),-0.186434 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,10),(10,11),(10,12),0.075569 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,11),(10,13),0.0705493 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,11),(10,14),-0.154367 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,11),(10,17),0.0684893 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,11),(10,21),-0.0599817 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,11),(10,22),-0.0815552 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(10,10),(10,12),(10,13),-0.10741 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,12),(10,14),-0.0315813 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,12),(10,17),-0.107822 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,12),(10,21),0.0870444 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,12),(10,22),0.155622 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(10,10),(10,13),(10,14),-0.0292301 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,13),(10,17),-0.106895 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,13),(10,21),0.0770332 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,13),(10,22),0.148135 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(10,10),(10,14),(10,17),-0.0229577 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,14),(10,21),-0.0841973 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,14),(10,22),-0.265012 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(10,10),(10,17),(10,21),0.0816997 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,17),(10,22),0.148033 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(10,10),(10,21),(10,22),-0.171509 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(10,11),(10,12),(10,13),-0.0537122 # DEPENDENCYPART_TRISIBL
(10,11),(10,12),(10,14),-0.136813 # DEPENDENCYPART_TRISIBL
(10,11),(10,12),(10,17),-0.0537122 # DEPENDENCYPART_TRISIBL
(10,11),(10,12),(10,21),-0.0116056 # DEPENDENCYPART_TRISIBL
(10,11),(10,12),(10,22),0.167886 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,11),(10,13),(10,14),-0.142512 # DEPENDENCYPART_TRISIBL
(10,11),(10,13),(10,17),-0.0444508 # DEPENDENCYPART_TRISIBL
(10,11),(10,13),(10,21),-0.0115321 # DEPENDENCYPART_TRISIBL
(10,11),(10,13),(10,22),0.158559 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,11),(10,14),(10,17),0.0137481 # DEPENDENCYPART_TRISIBL
(10,11),(10,14),(10,21),-0.00238011 # DEPENDENCYPART_TRISIBL
(10,11),(10,14),(10,22),-0.12458 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,11),(10,17),(10,21),-0.0130853 # DEPENDENCYPART_TRISIBL
(10,11),(10,17),(10,22),0.158464 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,11),(10,21),(10,22),-0.104376 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,12),(10,13),(10,14),-0.108099 # DEPENDENCYPART_TRISIBL
(10,12),(10,13),(10,17),-0.115887 # DEPENDENCYPART_TRISIBL
(10,12),(10,13),(10,21),-0.136464 # DEPENDENCYPART_TRISIBL
(10,12),(10,13),(10,22),-0.105918 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,12),(10,14),(10,17),-0.155198 # DEPENDENCYPART_TRISIBL
(10,12),(10,14),(10,21),-0.095749 # DEPENDENCYPART_TRISIBL
(10,12),(10,14),(10,22),0.0423704 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,12),(10,17),(10,21),-0.136464 # DEPENDENCYPART_TRISIBL
(10,12),(10,17),(10,22),-0.105918 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,12),(10,21),(10,22),0.158241 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,13),(10,14),(10,17),-0.138535 # DEPENDENCYPART_TRISIBL
(10,13),(10,14),(10,21),-0.0943718 # DEPENDENCYPART_TRISIBL
(10,13),(10,14),(10,22),-0.00989756 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,13),(10,17),(10,21),-0.13349 # DEPENDENCYPART_TRISIBL
(10,13),(10,17),(10,22),-0.130681 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,13),(10,21),(10,22),0.10847 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,14),(10,17),(10,21),-0.086969 # DEPENDENCYPART_TRISIBL
(10,14),(10,17),(10,22),-0.0496734 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,14),(10,21),(10,22),-0.178045 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,17),(10,21),(10,22),0.11324 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,10),(10,9),(10,8),-0.0849918 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
