# _root_ `` We wo n't have any more of this wayward behavior , '' says Sir Peter Hordern , a backbench Tory member of Parliament .
#goldHeads=14,3,14,3,3,7,5,7,11,11,8,14,14,0,17,17,14,17,22,22,22,17,22,23,14,
#predictedHeads=14,3,14,3,3,7,5,7,11,11,8,14,14,0,17,17,14,17,22,22,22,17,22,23,14,
(8,8),(8,9),(8,11),0.0130001 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,12),-0.0302065 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,13),-0.179102 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,14),-0.115418 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,17),0.0134081 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,22),0.0125249 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,26),0.0888293 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,10),(8,11),6.99999e-05 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,12),-0.0577361 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,13),-0.162702 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,14),-0.0323433 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,17),0.000478029 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,22),-0.00108453 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,26),0.0610244 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,11),(8,12),0.0852914 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,11),(8,13),-0.186141 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,11),(8,14),-0.091713 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,11),(8,17),-0.0279299 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,11),(8,22),-0.0270772 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,11),(8,26),0.392661 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,12),(8,13),-0.160877 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,12),(8,14),-0.148972 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,12),(8,17),-0.110375 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,12),(8,22),-0.113041 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,12),(8,26),-0.23899 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,13),(8,14),-0.12313 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,13),(8,17),0.0473021 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,13),(8,22),0.0466094 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,13),(8,26),-0.0609416 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,14),(8,17),-0.0248855 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,14),(8,22),-0.0256026 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,14),(8,26),0.131439 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,17),(8,22),-0.025751 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,17),(8,26),0.386048 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,22),(8,26),0.382643 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,9),(8,10),(8,11),-0.0646168 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,12),-0.0746561 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,13),-0.0645355 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,14),-0.0852192 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,17),-0.0646168 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,22),-0.0646212 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,26),-0.0670577 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,11),(8,12),-0.0769294 # DEPENDENCYPART_TRISIBL
(8,9),(8,11),(8,13),-0.0641437 # DEPENDENCYPART_TRISIBL
(8,9),(8,11),(8,14),-0.0896117 # DEPENDENCYPART_TRISIBL
(8,9),(8,11),(8,17),-0.0755599 # DEPENDENCYPART_TRISIBL
(8,9),(8,11),(8,22),-0.0755651 # DEPENDENCYPART_TRISIBL
(8,9),(8,11),(8,26),-0.029228 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,12),(8,13),-0.0701036 # DEPENDENCYPART_TRISIBL
(8,9),(8,12),(8,14),-0.0981039 # DEPENDENCYPART_TRISIBL
(8,9),(8,12),(8,17),-0.0717534 # DEPENDENCYPART_TRISIBL
(8,9),(8,12),(8,22),-0.0717571 # DEPENDENCYPART_TRISIBL
(8,9),(8,12),(8,26),-0.0358895 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,13),(8,14),-0.0847271 # DEPENDENCYPART_TRISIBL
(8,9),(8,13),(8,17),-0.0633008 # DEPENDENCYPART_TRISIBL
(8,9),(8,13),(8,22),-0.0633045 # DEPENDENCYPART_TRISIBL
(8,9),(8,13),(8,26),-0.062649 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,14),(8,17),-0.0642608 # DEPENDENCYPART_TRISIBL
(8,9),(8,14),(8,22),-0.0642645 # DEPENDENCYPART_TRISIBL
(8,9),(8,14),(8,26),-0.055621 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,17),(8,22),-0.0755651 # DEPENDENCYPART_TRISIBL
(8,9),(8,17),(8,26),-0.029228 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,22),(8,26),-0.0293508 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,11),(8,12),-0.0461059 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,13),-0.0690717 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,14),-0.0652596 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,17),-0.0590879 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,22),-0.0594025 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,26),-0.0506221 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,12),(8,13),-0.0527296 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,14),-0.0348987 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,17),-0.0697961 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,22),-0.0701107 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,26),-0.11924 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,13),(8,14),-0.0568082 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,17),-0.0743812 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,22),-0.0746958 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,26),-0.0735869 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,14),(8,17),-0.0658784 # DEPENDENCYPART_TRISIBL
(8,10),(8,14),(8,22),-0.066193 # DEPENDENCYPART_TRISIBL
(8,10),(8,14),(8,26),-0.0797841 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,17),(8,22),-0.0594025 # DEPENDENCYPART_TRISIBL
(8,10),(8,17),(8,26),-0.0506221 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,22),(8,26),-0.0506251 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,12),(8,13),0.0517716 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,14),-0.0527199 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,17),-0.194497 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,22),-0.193148 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,26),0.00171497 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,13),(8,14),-0.0667848 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,17),-0.132889 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,22),-0.132309 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,26),-0.00194158 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,14),(8,17),-0.1341 # DEPENDENCYPART_TRISIBL
(8,11),(8,14),(8,22),-0.133519 # DEPENDENCYPART_TRISIBL
(8,11),(8,14),(8,26),-0.0744957 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,17),(8,22),-0.163271 # DEPENDENCYPART_TRISIBL
(8,11),(8,17),(8,26),-0.0526374 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,22),(8,26),-0.0485175 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,13),(8,14),0.000541221 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,17),-0.00512069 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,22),-0.00342509 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,26),-0.0501339 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,14),(8,17),-0.0712776 # DEPENDENCYPART_TRISIBL
(8,12),(8,14),(8,22),-0.0695792 # DEPENDENCYPART_TRISIBL
(8,12),(8,14),(8,26),-0.0919023 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,17),(8,22),-0.0840415 # DEPENDENCYPART_TRISIBL
(8,12),(8,17),(8,26),-0.118443 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,22),(8,26),-0.121669 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,13),(8,14),(8,17),-0.0450669 # DEPENDENCYPART_TRISIBL
(8,13),(8,14),(8,22),-0.045067 # DEPENDENCYPART_TRISIBL
(8,13),(8,14),(8,26),-0.0987302 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,13),(8,17),(8,22),-0.0572996 # DEPENDENCYPART_TRISIBL
(8,13),(8,17),(8,26),-0.0325372 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,13),(8,22),(8,26),-0.0325436 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,14),(8,17),(8,22),-0.0673679 # DEPENDENCYPART_TRISIBL
(8,14),(8,17),(8,26),-0.0753028 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,14),(8,22),(8,26),-0.0753125 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,17),(8,22),(8,26),-0.0453649 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,7),(8,6),-0.155606 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,7),(8,-1),-0.278725 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,6),(8,-1),-0.282899 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,7),(8,6),(8,-1),-0.0926699 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,10),(9,12),-0.0902193 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,13),-0.12959 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,26),-0.287456 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,12),(9,13),-0.131423 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,26),-0.380326 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,13),(9,26),-0.281438 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,10),(9,12),(9,13),-0.0495018 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,26),-0.0972106 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,13),(9,26),-0.0752477 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,13),(9,26),-0.0836173 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,10),(10,12),(10,13),-0.157639 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,12),(10,14),-0.150716 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,12),(10,22),-0.269377 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,12),(10,26),-0.282657 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(10,10),(10,13),(10,14),-0.103774 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,13),(10,22),-0.141613 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,13),(10,26),-0.168053 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(10,10),(10,14),(10,22),-0.12917 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,14),(10,26),-0.0773907 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(10,10),(10,22),(10,26),-0.0816614 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(10,12),(10,13),(10,14),-0.0153553 # DEPENDENCYPART_TRISIBL
(10,12),(10,13),(10,22),0.0117 # DEPENDENCYPART_TRISIBL
(10,12),(10,13),(10,26),-0.0624839 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,12),(10,14),(10,22),-0.0544545 # DEPENDENCYPART_TRISIBL
(10,12),(10,14),(10,26),-0.0885943 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,12),(10,22),(10,26),-0.063545 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,13),(10,14),(10,22),-0.00322825 # DEPENDENCYPART_TRISIBL
(10,13),(10,14),(10,26),-0.102169 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,13),(10,22),(10,26),-0.0445706 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,14),(10,22),(10,26),-0.0603233 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,10),(10,9),(10,8),-0.159187 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,9),(10,7),-0.124063 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,9),(10,6),-0.19718 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,9),(10,-1),-0.194623 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,10),(10,8),(10,7),-0.0879186 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,8),(10,6),-0.162352 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,8),(10,-1),-0.201262 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,10),(10,7),(10,6),-0.15483 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,7),(10,-1),-0.181674 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,10),(10,6),(10,-1),-0.199826 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,9),(10,8),(10,7),-0.107627 # DEPENDENCYPART_TRISIBL
(10,9),(10,8),(10,6),-0.148724 # DEPENDENCYPART_TRISIBL
(10,9),(10,8),(10,-1),-0.0625516 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,9),(10,7),(10,6),-0.172482 # DEPENDENCYPART_TRISIBL
(10,9),(10,7),(10,-1),-0.122965 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,9),(10,6),(10,-1),-0.14397 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,8),(10,7),(10,6),-0.0863848 # DEPENDENCYPART_TRISIBL
(10,8),(10,7),(10,-1),-0.115575 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,8),(10,6),(10,-1),-0.139636 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,7),(10,6),(10,-1),-0.0769841 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,11),(11,12),(11,13),-0.0435119 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,14),-0.176041 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,15),-0.0771003 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,16),-0.0800816 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,17),-0.0767397 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,18),-0.270869 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,20),-0.17028 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,22),-0.0770819 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,23),-0.22942 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,26),-0.725644 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,13),(11,14),-0.127476 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,15),-0.18108 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,16),-0.182962 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,17),-0.180719 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,18),-0.0704088 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,20),-0.137737 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,22),-0.179088 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,23),-0.0808695 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,26),-0.159646 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,14),(11,15),-0.148434 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,16),-0.150316 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,17),-0.148073 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,18),-0.0350449 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,20),-0.0931775 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,22),-0.146466 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,23),-0.12936 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,26),-0.102911 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,15),(11,16),-0.100027 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,15),(11,17),-0.097764 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,15),(11,18),-0.118817 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,15),(11,20),-0.10571 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,15),(11,22),-0.0945871 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,15),(11,23),-0.0431687 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,15),(11,26),-0.107424 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,16),(11,17),-0.0959803 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,16),(11,18),-0.118508 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,16),(11,20),-0.10571 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,16),(11,22),-0.0928033 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,16),(11,23),-0.0431687 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,16),(11,26),-0.10417 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,17),(11,18),-0.118507 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,17),(11,20),-0.10571 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,17),(11,22),-0.0927842 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,17),(11,23),-0.0431687 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,17),(11,26),-0.103812 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,18),(11,20),-0.17028 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,18),(11,22),-0.0770819 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,18),(11,23),-0.22942 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,18),(11,26),-0.725644 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,20),(11,22),-0.172967 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,20),(11,23),-0.0926287 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,20),(11,26),-0.111174 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,22),(11,23),-0.0436241 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,22),(11,26),-0.106572 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,23),(11,26),-0.0419808 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,12),(11,13),(11,14),0.081694 # DEPENDENCYPART_TRISIBL
(11,12),(11,13),(11,15),0.169368 # DEPENDENCYPART_TRISIBL
(11,12),(11,13),(11,16),0.169368 # DEPENDENCYPART_TRISIBL
(11,12),(11,13),(11,17),0.169368 # DEPENDENCYPART_TRISIBL
(11,12),(11,13),(11,18),0.252359 # DEPENDENCYPART_TRISIBL
(11,12),(11,13),(11,20),-0.0761838 # DEPENDENCYPART_TRISIBL
(11,12),(11,13),(11,22),0.172763 # DEPENDENCYPART_TRISIBL
(11,12),(11,13),(11,23),0.0630032 # DEPENDENCYPART_TRISIBL
(11,12),(11,13),(11,26),-0.193686 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,12),(11,14),(11,15),-0.0251968 # DEPENDENCYPART_TRISIBL
(11,12),(11,14),(11,16),-0.0251968 # DEPENDENCYPART_TRISIBL
(11,12),(11,14),(11,17),-0.0251968 # DEPENDENCYPART_TRISIBL
(11,12),(11,14),(11,18),0.531466 # DEPENDENCYPART_TRISIBL
(11,12),(11,14),(11,20),-0.0823511 # DEPENDENCYPART_TRISIBL
(11,12),(11,14),(11,22),-0.0217995 # DEPENDENCYPART_TRISIBL
(11,12),(11,14),(11,23),0.00242731 # DEPENDENCYPART_TRISIBL
(11,12),(11,14),(11,26),-0.0620124 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,12),(11,15),(11,16),-0.0682188 # DEPENDENCYPART_TRISIBL
(11,12),(11,15),(11,17),-0.0682188 # DEPENDENCYPART_TRISIBL
(11,12),(11,15),(11,18),0.452172 # DEPENDENCYPART_TRISIBL
(11,12),(11,15),(11,20),-0.0659101 # DEPENDENCYPART_TRISIBL
(11,12),(11,15),(11,22),-0.0630675 # DEPENDENCYPART_TRISIBL
(11,12),(11,15),(11,23),-0.0594612 # DEPENDENCYPART_TRISIBL
(11,12),(11,15),(11,26),-0.079517 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,12),(11,16),(11,17),-0.0683781 # DEPENDENCYPART_TRISIBL
(11,12),(11,16),(11,18),0.451044 # DEPENDENCYPART_TRISIBL
(11,12),(11,16),(11,20),-0.0659101 # DEPENDENCYPART_TRISIBL
(11,12),(11,16),(11,22),-0.0632269 # DEPENDENCYPART_TRISIBL
(11,12),(11,16),(11,23),-0.0594612 # DEPENDENCYPART_TRISIBL
(11,12),(11,16),(11,26),-0.0804399 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,12),(11,17),(11,18),0.452172 # DEPENDENCYPART_TRISIBL
(11,12),(11,17),(11,20),-0.0659101 # DEPENDENCYPART_TRISIBL
(11,12),(11,17),(11,22),-0.0630675 # DEPENDENCYPART_TRISIBL
(11,12),(11,17),(11,23),-0.0594612 # DEPENDENCYPART_TRISIBL
(11,12),(11,17),(11,26),-0.079517 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,12),(11,18),(11,20),-0.0791749 # DEPENDENCYPART_TRISIBL
(11,12),(11,18),(11,22),-0.0122313 # DEPENDENCYPART_TRISIBL
(11,12),(11,18),(11,23),-0.0560127 # DEPENDENCYPART_TRISIBL
(11,12),(11,18),(11,26),-0.270506 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,12),(11,20),(11,22),0.0570482 # DEPENDENCYPART_TRISIBL
(11,12),(11,20),(11,23),-0.0774443 # DEPENDENCYPART_TRISIBL
(11,12),(11,20),(11,26),-0.171814 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,12),(11,22),(11,23),-0.0595533 # DEPENDENCYPART_TRISIBL
(11,12),(11,22),(11,26),-0.0859222 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,12),(11,23),(11,26),-0.0895051 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,13),(11,14),(11,15),-0.0409842 # DEPENDENCYPART_TRISIBL
(11,13),(11,14),(11,16),-0.0409842 # DEPENDENCYPART_TRISIBL
(11,13),(11,14),(11,17),-0.0409842 # DEPENDENCYPART_TRISIBL
(11,13),(11,14),(11,18),0.168896 # DEPENDENCYPART_TRISIBL
(11,13),(11,14),(11,20),-0.0670681 # DEPENDENCYPART_TRISIBL
(11,13),(11,14),(11,22),-0.0409842 # DEPENDENCYPART_TRISIBL
(11,13),(11,14),(11,23),-0.027813 # DEPENDENCYPART_TRISIBL
(11,13),(11,14),(11,26),-0.0545483 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,13),(11,15),(11,16),-0.0536301 # DEPENDENCYPART_TRISIBL
(11,13),(11,15),(11,17),-0.0536301 # DEPENDENCYPART_TRISIBL
(11,13),(11,15),(11,18),0.198811 # DEPENDENCYPART_TRISIBL
(11,13),(11,15),(11,20),-0.0672732 # DEPENDENCYPART_TRISIBL
(11,13),(11,15),(11,22),-0.0536301 # DEPENDENCYPART_TRISIBL
(11,13),(11,15),(11,23),0.0363969 # DEPENDENCYPART_TRISIBL
(11,13),(11,15),(11,26),-0.0522884 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,13),(11,16),(11,17),-0.0536301 # DEPENDENCYPART_TRISIBL
(11,13),(11,16),(11,18),0.198811 # DEPENDENCYPART_TRISIBL
(11,13),(11,16),(11,20),-0.0672732 # DEPENDENCYPART_TRISIBL
(11,13),(11,16),(11,22),-0.0536301 # DEPENDENCYPART_TRISIBL
(11,13),(11,16),(11,23),0.0363969 # DEPENDENCYPART_TRISIBL
(11,13),(11,16),(11,26),-0.0522884 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,13),(11,17),(11,18),0.198811 # DEPENDENCYPART_TRISIBL
(11,13),(11,17),(11,20),-0.0672732 # DEPENDENCYPART_TRISIBL
(11,13),(11,17),(11,22),-0.0536301 # DEPENDENCYPART_TRISIBL
(11,13),(11,17),(11,23),0.0363969 # DEPENDENCYPART_TRISIBL
(11,13),(11,17),(11,26),-0.0522884 # DEPENDENCYPART_TRISIBL_LAST_SIBS
