# _root_ For holders who decide not to tender their shares , Sea Containers will issue one share of preferred stock with a stated value of $ 25 , plus a cash dividend on the common stock .
#goldHeads=13,1,4,2,7,7,4,9,7,13,12,13,0,13,16,28,16,19,17,19,23,23,20,23,26,24,28,14,31,31,28,31,35,35,32,13,
#predictedHeads=13,1,4,2,4,7,4,9,7,13,12,13,0,13,16,14,16,19,17,14,23,23,28,23,26,24,28,20,31,31,28,31,35,35,32,13,
(28,24),(28,13),(28,11),-0.117819 # DEPENDENCYPART_TRISIBL
(28,24),(28,13),(28,10),-0.128583 # DEPENDENCYPART_TRISIBL
(28,24),(28,13),(28,9),-0.119835 # DEPENDENCYPART_TRISIBL
(28,24),(28,13),(28,7),-0.150305 # DEPENDENCYPART_TRISIBL
(28,24),(28,13),(28,6),-0.113122 # DEPENDENCYPART_TRISIBL
(28,24),(28,13),(28,5),-0.11148 # DEPENDENCYPART_TRISIBL
(28,24),(28,13),(28,4),-0.150305 # DEPENDENCYPART_TRISIBL
(28,24),(28,13),(28,3),-0.0972956 # DEPENDENCYPART_TRISIBL
(28,24),(28,13),(28,2),-0.117822 # DEPENDENCYPART_TRISIBL
(28,24),(28,13),(28,1),-0.124632 # DEPENDENCYPART_TRISIBL
(28,24),(28,13),(28,-1),-0.140838 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,24),(28,12),(28,11),-0.124722 # DEPENDENCYPART_TRISIBL
(28,24),(28,12),(28,10),-0.12834 # DEPENDENCYPART_TRISIBL
(28,24),(28,12),(28,9),-0.126746 # DEPENDENCYPART_TRISIBL
(28,24),(28,12),(28,7),-0.16445 # DEPENDENCYPART_TRISIBL
(28,24),(28,12),(28,6),-0.116601 # DEPENDENCYPART_TRISIBL
(28,24),(28,12),(28,5),-0.114081 # DEPENDENCYPART_TRISIBL
(28,24),(28,12),(28,4),-0.16445 # DEPENDENCYPART_TRISIBL
(28,24),(28,12),(28,3),-0.0986867 # DEPENDENCYPART_TRISIBL
(28,24),(28,12),(28,2),-0.124724 # DEPENDENCYPART_TRISIBL
(28,24),(28,12),(28,1),-0.155365 # DEPENDENCYPART_TRISIBL
(28,24),(28,12),(28,-1),-0.0735901 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,24),(28,11),(28,10),-0.12834 # DEPENDENCYPART_TRISIBL
(28,24),(28,11),(28,9),-0.126746 # DEPENDENCYPART_TRISIBL
(28,24),(28,11),(28,7),-0.16445 # DEPENDENCYPART_TRISIBL
(28,24),(28,11),(28,6),-0.116601 # DEPENDENCYPART_TRISIBL
(28,24),(28,11),(28,5),-0.114081 # DEPENDENCYPART_TRISIBL
(28,24),(28,11),(28,4),-0.16445 # DEPENDENCYPART_TRISIBL
(28,24),(28,11),(28,3),-0.0986867 # DEPENDENCYPART_TRISIBL
(28,24),(28,11),(28,2),-0.124724 # DEPENDENCYPART_TRISIBL
(28,24),(28,11),(28,1),-0.155365 # DEPENDENCYPART_TRISIBL
(28,24),(28,11),(28,-1),-0.0735901 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,24),(28,10),(28,9),-0.094697 # DEPENDENCYPART_TRISIBL
(28,24),(28,10),(28,7),-0.216136 # DEPENDENCYPART_TRISIBL
(28,24),(28,10),(28,6),-0.115485 # DEPENDENCYPART_TRISIBL
(28,24),(28,10),(28,5),-0.1326 # DEPENDENCYPART_TRISIBL
(28,24),(28,10),(28,4),-0.216136 # DEPENDENCYPART_TRISIBL
(28,24),(28,10),(28,3),-0.0915549 # DEPENDENCYPART_TRISIBL
(28,24),(28,10),(28,2),-0.0915806 # DEPENDENCYPART_TRISIBL
(28,24),(28,10),(28,1),-0.0176759 # DEPENDENCYPART_TRISIBL
(28,24),(28,10),(28,-1),-0.182879 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,24),(28,9),(28,7),-0.16445 # DEPENDENCYPART_TRISIBL
(28,24),(28,9),(28,6),-0.116601 # DEPENDENCYPART_TRISIBL
(28,24),(28,9),(28,5),-0.114081 # DEPENDENCYPART_TRISIBL
(28,24),(28,9),(28,4),-0.16445 # DEPENDENCYPART_TRISIBL
(28,24),(28,9),(28,3),-0.0986867 # DEPENDENCYPART_TRISIBL
(28,24),(28,9),(28,2),-0.124724 # DEPENDENCYPART_TRISIBL
(28,24),(28,9),(28,1),-0.155366 # DEPENDENCYPART_TRISIBL
(28,24),(28,9),(28,-1),-0.0736246 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,24),(28,7),(28,6),-0.126416 # DEPENDENCYPART_TRISIBL
(28,24),(28,7),(28,5),-0.113759 # DEPENDENCYPART_TRISIBL
(28,24),(28,7),(28,4),-0.183337 # DEPENDENCYPART_TRISIBL
(28,24),(28,7),(28,3),-0.103108 # DEPENDENCYPART_TRISIBL
(28,24),(28,7),(28,2),-0.142964 # DEPENDENCYPART_TRISIBL
(28,24),(28,7),(28,1),-0.138578 # DEPENDENCYPART_TRISIBL
(28,24),(28,7),(28,-1),-0.1354 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,24),(28,6),(28,5),-0.107396 # DEPENDENCYPART_TRISIBL
(28,24),(28,6),(28,4),-0.151957 # DEPENDENCYPART_TRISIBL
(28,24),(28,6),(28,3),-0.0972279 # DEPENDENCYPART_TRISIBL
(28,24),(28,6),(28,2),-0.128116 # DEPENDENCYPART_TRISIBL
(28,24),(28,6),(28,1),-0.12336 # DEPENDENCYPART_TRISIBL
(28,24),(28,6),(28,-1),-0.13195 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,24),(28,5),(28,4),-0.151225 # DEPENDENCYPART_TRISIBL
(28,24),(28,5),(28,3),-0.0992055 # DEPENDENCYPART_TRISIBL
(28,24),(28,5),(28,2),-0.147665 # DEPENDENCYPART_TRISIBL
(28,24),(28,5),(28,1),-0.126718 # DEPENDENCYPART_TRISIBL
(28,24),(28,5),(28,-1),-0.0189274 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,24),(28,4),(28,3),-0.103108 # DEPENDENCYPART_TRISIBL
(28,24),(28,4),(28,2),-0.142964 # DEPENDENCYPART_TRISIBL
(28,24),(28,4),(28,1),-0.138578 # DEPENDENCYPART_TRISIBL
(28,24),(28,4),(28,-1),-0.135399 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,24),(28,3),(28,2),-0.126749 # DEPENDENCYPART_TRISIBL
(28,24),(28,3),(28,1),-0.12337 # DEPENDENCYPART_TRISIBL
(28,24),(28,3),(28,-1),-0.108592 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,24),(28,2),(28,1),-0.155365 # DEPENDENCYPART_TRISIBL
(28,24),(28,2),(28,-1),-0.0741095 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,24),(28,1),(28,-1),-0.127363 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,22),(28,21),0.119465 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,20),-0.113282 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,19),-0.0997545 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,18),0.0317222 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,17),-0.134549 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,16),-0.100014 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,15),-0.0337535 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,14),-0.168397 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,13),-0.154102 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,12),-0.0975224 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,11),-0.0975208 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,10),-0.151252 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,9),-0.100184 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,7),-0.167214 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,6),-0.111597 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,5),-0.119791 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,4),-0.167237 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,3),-0.0907067 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,2),-0.102405 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,1),-0.143499 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,-1),-0.0322867 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,21),(28,20),-0.120918 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,19),-0.151786 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,18),-0.0373497 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,17),-0.141973 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,16),-0.152499 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,15),-0.101918 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,14),-0.178738 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,13),-0.152435 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,12),-0.149891 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,11),-0.149889 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,10),-0.140121 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,9),-0.152539 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,7),-0.177555 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,6),-0.130242 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,5),-0.0633312 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,4),-0.177577 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,3),-0.104248 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,2),-0.154773 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,1),-0.149195 # DEPENDENCYPART_TRISIBL
(28,23),(28,21),(28,-1),0.0371125 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,20),(28,19),-0.13215 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,18),-0.0342572 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,17),-0.133318 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,16),-0.133739 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,15),-0.104208 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,14),-0.197186 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,13),-0.156487 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,12),-0.130669 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,11),-0.130668 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,10),-0.133805 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,9),-0.133369 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,7),-0.196004 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,6),-0.132178 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,5),-0.0788976 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,4),-0.196027 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,3),-0.10446 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,2),-0.135551 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,1),-0.149774 # DEPENDENCYPART_TRISIBL
(28,23),(28,20),(28,-1),-0.0612147 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,19),(28,18),0.0295303 # DEPENDENCYPART_TRISIBL
(28,23),(28,19),(28,17),-0.195045 # DEPENDENCYPART_TRISIBL
(28,23),(28,19),(28,16),-0.103632 # DEPENDENCYPART_TRISIBL
(28,23),(28,19),(28,15),-0.0615248 # DEPENDENCYPART_TRISIBL
(28,23),(28,19),(28,14),-0.173901 # DEPENDENCYPART_TRISIBL
(28,23),(28,19),(28,13),-0.160311 # DEPENDENCYPART_TRISIBL
(28,23),(28,19),(28,12),-0.101046 # DEPENDENCYPART_TRISIBL
(28,23),(28,19),(28,11),-0.101044 # DEPENDENCYPART_TRISIBL
(28,23),(28,19),(28,10),-0.220994 # DEPENDENCYPART_TRISIBL
(28,23),(28,19),(28,9),-0.104176 # DEPENDENCYPART_TRISIBL
(28,23),(28,19),(28,7),-0.172645 # DEPENDENCYPART_TRISIBL
(28,23),(28,19),(28,6),-0.130292 # DEPENDENCYPART_TRISIBL
(28,23),(28,19),(28,5),-0.0627382 # DEPENDENCYPART_TRISIBL
(28,23),(28,19),(28,4),-0.172689 # DEPENDENCYPART_TRISIBL
(28,23),(28,19),(28,3),-0.0800528 # DEPENDENCYPART_TRISIBL
(28,23),(28,19),(28,2),-0.105974 # DEPENDENCYPART_TRISIBL
(28,23),(28,19),(28,1),-0.214462 # DEPENDENCYPART_TRISIBL
(28,23),(28,19),(28,-1),-0.0886954 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,18),(28,17),-0.13455 # DEPENDENCYPART_TRISIBL
(28,23),(28,18),(28,16),-0.0998175 # DEPENDENCYPART_TRISIBL
(28,23),(28,18),(28,15),-0.0345549 # DEPENDENCYPART_TRISIBL
(28,23),(28,18),(28,14),-0.168399 # DEPENDENCYPART_TRISIBL
(28,23),(28,18),(28,13),-0.154172 # DEPENDENCYPART_TRISIBL
(28,23),(28,18),(28,12),-0.0973255 # DEPENDENCYPART_TRISIBL
(28,23),(28,18),(28,11),-0.097324 # DEPENDENCYPART_TRISIBL
(28,23),(28,18),(28,10),-0.151256 # DEPENDENCYPART_TRISIBL
(28,23),(28,18),(28,9),-0.0999872 # DEPENDENCYPART_TRISIBL
(28,23),(28,18),(28,7),-0.167216 # DEPENDENCYPART_TRISIBL
(28,23),(28,18),(28,6),-0.111597 # DEPENDENCYPART_TRISIBL
(28,23),(28,18),(28,5),-0.119791 # DEPENDENCYPART_TRISIBL
(28,23),(28,18),(28,4),-0.167238 # DEPENDENCYPART_TRISIBL
(28,23),(28,18),(28,3),-0.0907067 # DEPENDENCYPART_TRISIBL
(28,23),(28,18),(28,2),-0.102208 # DEPENDENCYPART_TRISIBL
(28,23),(28,18),(28,1),-0.1435 # DEPENDENCYPART_TRISIBL
(28,23),(28,18),(28,-1),-0.0262899 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,17),(28,16),-0.132723 # DEPENDENCYPART_TRISIBL
(28,23),(28,17),(28,15),-0.104909 # DEPENDENCYPART_TRISIBL
(28,23),(28,17),(28,14),-0.197795 # DEPENDENCYPART_TRISIBL
(28,23),(28,17),(28,13),-0.156393 # DEPENDENCYPART_TRISIBL
(28,23),(28,17),(28,12),-0.129653 # DEPENDENCYPART_TRISIBL
(28,23),(28,17),(28,11),-0.129651 # DEPENDENCYPART_TRISIBL
(28,23),(28,17),(28,10),-0.135711 # DEPENDENCYPART_TRISIBL
(28,23),(28,17),(28,9),-0.132353 # DEPENDENCYPART_TRISIBL
(28,23),(28,17),(28,7),-0.196613 # DEPENDENCYPART_TRISIBL
(28,23),(28,17),(28,6),-0.132584 # DEPENDENCYPART_TRISIBL
(28,23),(28,17),(28,5),-0.0803995 # DEPENDENCYPART_TRISIBL
(28,23),(28,17),(28,4),-0.196636 # DEPENDENCYPART_TRISIBL
(28,23),(28,17),(28,3),-0.10446 # DEPENDENCYPART_TRISIBL
(28,23),(28,17),(28,2),-0.134535 # DEPENDENCYPART_TRISIBL
(28,23),(28,17),(28,1),-0.150449 # DEPENDENCYPART_TRISIBL
(28,23),(28,17),(28,-1),-0.0867248 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,16),(28,15),-0.0607007 # DEPENDENCYPART_TRISIBL
(28,23),(28,16),(28,14),-0.166904 # DEPENDENCYPART_TRISIBL
(28,23),(28,16),(28,13),-0.160311 # DEPENDENCYPART_TRISIBL
(28,23),(28,16),(28,12),-0.110555 # DEPENDENCYPART_TRISIBL
(28,23),(28,16),(28,11),-0.110554 # DEPENDENCYPART_TRISIBL
(28,23),(28,16),(28,10),-0.219953 # DEPENDENCYPART_TRISIBL
(28,23),(28,16),(28,9),-0.113685 # DEPENDENCYPART_TRISIBL
(28,23),(28,16),(28,7),-0.165648 # DEPENDENCYPART_TRISIBL
(28,23),(28,16),(28,6),-0.130319 # DEPENDENCYPART_TRISIBL
(28,23),(28,16),(28,5),-0.0627416 # DEPENDENCYPART_TRISIBL
(28,23),(28,16),(28,4),-0.165692 # DEPENDENCYPART_TRISIBL
(28,23),(28,16),(28,3),-0.0803883 # DEPENDENCYPART_TRISIBL
(28,23),(28,16),(28,2),-0.115483 # DEPENDENCYPART_TRISIBL
(28,23),(28,16),(28,1),-0.214439 # DEPENDENCYPART_TRISIBL
(28,23),(28,16),(28,-1),-0.0765632 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,15),(28,14),-0.174667 # DEPENDENCYPART_TRISIBL
(28,23),(28,15),(28,13),-0.155852 # DEPENDENCYPART_TRISIBL
(28,23),(28,15),(28,12),-0.101475 # DEPENDENCYPART_TRISIBL
(28,23),(28,15),(28,11),-0.101473 # DEPENDENCYPART_TRISIBL
(28,23),(28,15),(28,10),-0.10351 # DEPENDENCYPART_TRISIBL
(28,23),(28,15),(28,9),-0.104124 # DEPENDENCYPART_TRISIBL
(28,23),(28,15),(28,7),-0.173486 # DEPENDENCYPART_TRISIBL
(28,23),(28,15),(28,6),-0.115524 # DEPENDENCYPART_TRISIBL
(28,23),(28,15),(28,5),-0.0729037 # DEPENDENCYPART_TRISIBL
(28,23),(28,15),(28,4),-0.173508 # DEPENDENCYPART_TRISIBL
(28,23),(28,15),(28,3),-0.103272 # DEPENDENCYPART_TRISIBL
(28,23),(28,15),(28,2),-0.106514 # DEPENDENCYPART_TRISIBL
(28,23),(28,15),(28,1),-0.0746794 # DEPENDENCYPART_TRISIBL
(28,23),(28,15),(28,-1),-0.121408 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,14),(28,13),-0.167253 # DEPENDENCYPART_TRISIBL
(28,23),(28,14),(28,12),-0.140448 # DEPENDENCYPART_TRISIBL
(28,23),(28,14),(28,11),-0.140446 # DEPENDENCYPART_TRISIBL
(28,23),(28,14),(28,10),-0.106809 # DEPENDENCYPART_TRISIBL
(28,23),(28,14),(28,9),-0.143097 # DEPENDENCYPART_TRISIBL
(28,23),(28,14),(28,7),-0.212483 # DEPENDENCYPART_TRISIBL
(28,23),(28,14),(28,6),-0.151248 # DEPENDENCYPART_TRISIBL
(28,23),(28,14),(28,5),-0.0687134 # DEPENDENCYPART_TRISIBL
(28,23),(28,14),(28,4),-0.212505 # DEPENDENCYPART_TRISIBL
(28,23),(28,14),(28,3),-0.111761 # DEPENDENCYPART_TRISIBL
(28,23),(28,14),(28,2),-0.14533 # DEPENDENCYPART_TRISIBL
(28,23),(28,14),(28,1),-0.127275 # DEPENDENCYPART_TRISIBL
(28,23),(28,14),(28,-1),-0.129362 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,13),(28,12),-0.119147 # DEPENDENCYPART_TRISIBL
(28,23),(28,13),(28,11),-0.119145 # DEPENDENCYPART_TRISIBL
(28,23),(28,13),(28,10),-0.110084 # DEPENDENCYPART_TRISIBL
(28,23),(28,13),(28,9),-0.121795 # DEPENDENCYPART_TRISIBL
(28,23),(28,13),(28,7),-0.162838 # DEPENDENCYPART_TRISIBL
(28,23),(28,13),(28,6),-0.120158 # DEPENDENCYPART_TRISIBL
(28,23),(28,13),(28,5),-0.0855156 # DEPENDENCYPART_TRISIBL
(28,23),(28,13),(28,4),-0.16286 # DEPENDENCYPART_TRISIBL
(28,23),(28,13),(28,3),-0.1027 # DEPENDENCYPART_TRISIBL
(28,23),(28,13),(28,2),-0.124029 # DEPENDENCYPART_TRISIBL
(28,23),(28,13),(28,1),-0.138937 # DEPENDENCYPART_TRISIBL
(28,23),(28,13),(28,-1),-0.135082 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,12),(28,11),-0.109898 # DEPENDENCYPART_TRISIBL
(28,23),(28,12),(28,10),-0.219953 # DEPENDENCYPART_TRISIBL
(28,23),(28,12),(28,9),-0.11303 # DEPENDENCYPART_TRISIBL
(28,23),(28,12),(28,7),-0.165646 # DEPENDENCYPART_TRISIBL
(28,23),(28,12),(28,6),-0.130292 # DEPENDENCYPART_TRISIBL
(28,23),(28,12),(28,5),-0.0627381 # DEPENDENCYPART_TRISIBL
(28,23),(28,12),(28,4),-0.165691 # DEPENDENCYPART_TRISIBL
(28,23),(28,12),(28,3),-0.0800528 # DEPENDENCYPART_TRISIBL
(28,23),(28,12),(28,2),-0.114827 # DEPENDENCYPART_TRISIBL
(28,23),(28,12),(28,1),-0.214428 # DEPENDENCYPART_TRISIBL
(28,23),(28,12),(28,-1),-0.090671 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,11),(28,10),-0.219953 # DEPENDENCYPART_TRISIBL
(28,23),(28,11),(28,9),-0.11303 # DEPENDENCYPART_TRISIBL
(28,23),(28,11),(28,7),-0.165646 # DEPENDENCYPART_TRISIBL
(28,23),(28,11),(28,6),-0.130292 # DEPENDENCYPART_TRISIBL
(28,23),(28,11),(28,5),-0.0627381 # DEPENDENCYPART_TRISIBL
(28,23),(28,11),(28,4),-0.165691 # DEPENDENCYPART_TRISIBL
(28,23),(28,11),(28,3),-0.0800528 # DEPENDENCYPART_TRISIBL
(28,23),(28,11),(28,2),-0.114827 # DEPENDENCYPART_TRISIBL
(28,23),(28,11),(28,1),-0.214428 # DEPENDENCYPART_TRISIBL
(28,23),(28,11),(28,-1),-0.090671 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,10),(28,9),0.0730466 # DEPENDENCYPART_TRISIBL
(28,23),(28,10),(28,7),-0.171942 # DEPENDENCYPART_TRISIBL
(28,23),(28,10),(28,6),-0.0813307 # DEPENDENCYPART_TRISIBL
(28,23),(28,10),(28,5),-0.109417 # DEPENDENCYPART_TRISIBL
(28,23),(28,10),(28,4),-0.171966 # DEPENDENCYPART_TRISIBL
(28,23),(28,10),(28,3),-0.108442 # DEPENDENCYPART_TRISIBL
(28,23),(28,10),(28,2),0.0697973 # DEPENDENCYPART_TRISIBL
(28,23),(28,10),(28,1),-0.0932326 # DEPENDENCYPART_TRISIBL
(28,23),(28,10),(28,-1),-0.28088 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,9),(28,7),-0.166509 # DEPENDENCYPART_TRISIBL
(28,23),(28,9),(28,6),-0.130294 # DEPENDENCYPART_TRISIBL
(28,23),(28,9),(28,5),-0.0630024 # DEPENDENCYPART_TRISIBL
(28,23),(28,9),(28,4),-0.166553 # DEPENDENCYPART_TRISIBL
(28,23),(28,9),(28,3),-0.0800529 # DEPENDENCYPART_TRISIBL
(28,23),(28,9),(28,2),-0.115655 # DEPENDENCYPART_TRISIBL
(28,23),(28,9),(28,1),-0.214436 # DEPENDENCYPART_TRISIBL
(28,23),(28,9),(28,-1),-0.0902487 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,7),(28,6),-0.15123 # DEPENDENCYPART_TRISIBL
(28,23),(28,7),(28,5),-0.0687094 # DEPENDENCYPART_TRISIBL
(28,23),(28,7),(28,4),-0.212504 # DEPENDENCYPART_TRISIBL
(28,23),(28,7),(28,3),-0.111761 # DEPENDENCYPART_TRISIBL
(28,23),(28,7),(28,2),-0.145258 # DEPENDENCYPART_TRISIBL
(28,23),(28,7),(28,1),-0.127261 # DEPENDENCYPART_TRISIBL
(28,23),(28,7),(28,-1),-0.12733 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,6),(28,5),-0.0933346 # DEPENDENCYPART_TRISIBL
(28,23),(28,6),(28,4),-0.166077 # DEPENDENCYPART_TRISIBL
(28,23),(28,6),(28,3),-0.102859 # DEPENDENCYPART_TRISIBL
(28,23),(28,6),(28,2),-0.156789 # DEPENDENCYPART_TRISIBL
(28,23),(28,6),(28,1),-0.138259 # DEPENDENCYPART_TRISIBL
(28,23),(28,6),(28,-1),-0.0827289 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,5),(28,4),-0.173792 # DEPENDENCYPART_TRISIBL
(28,23),(28,5),(28,3),-0.104744 # DEPENDENCYPART_TRISIBL
(28,23),(28,5),(28,2),-0.13401 # DEPENDENCYPART_TRISIBL
(28,23),(28,5),(28,1),-0.142224 # DEPENDENCYPART_TRISIBL
(28,23),(28,5),(28,-1),-0.0747022 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,4),(28,3),-0.111761 # DEPENDENCYPART_TRISIBL
(28,23),(28,4),(28,2),-0.145258 # DEPENDENCYPART_TRISIBL
(28,23),(28,4),(28,1),-0.127261 # DEPENDENCYPART_TRISIBL
(28,23),(28,4),(28,-1),-0.127351 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,3),(28,2),-0.112476 # DEPENDENCYPART_TRISIBL
(28,23),(28,3),(28,1),-0.135939 # DEPENDENCYPART_TRISIBL
(28,23),(28,3),(28,-1),-0.0647008 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,2),(28,1),-0.214428 # DEPENDENCYPART_TRISIBL
(28,23),(28,2),(28,-1),-0.0934224 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,1),(28,-1),-0.00753028 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,22),(28,21),(28,20),-0.127112 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,19),-0.0957649 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,18),-0.057425 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,17),-0.123434 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,16),-0.111346 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,15),-0.102472 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,14),-0.140398 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,13),-0.104853 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,12),-0.108924 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,11),-0.108924 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,10),-0.122846 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,9),-0.109418 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,7),-0.140355 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,6),-0.13584 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,5),-0.0660524 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,4),-0.140355 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,3),-0.0763005 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,2),-0.108974 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,1),-0.130666 # DEPENDENCYPART_TRISIBL
(28,22),(28,21),(28,-1),0.0460643 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,22),(28,20),(28,19),-0.0942327 # DEPENDENCYPART_TRISIBL
(28,22),(28,20),(28,18),-0.0672946 # DEPENDENCYPART_TRISIBL
(28,22),(28,20),(28,17),-0.121444 # DEPENDENCYPART_TRISIBL
(28,22),(28,20),(28,16),-0.106056 # DEPENDENCYPART_TRISIBL
(28,22),(28,20),(28,15),-0.0983278 # DEPENDENCYPART_TRISIBL
(28,22),(28,20),(28,14),-0.135416 # DEPENDENCYPART_TRISIBL
