# _root_ Spencer J. Volk , president and chief operating officer of this consumer and industrial products company , was elected a director .
#goldHeads=3,3,18,3,6,3,9,9,6,6,13,13,10,13,13,13,3,0,18,21,19,18,
#predictedHeads=3,3,18,3,6,3,9,9,6,6,13,13,10,13,13,13,3,0,18,21,19,18,
(3,12),(3,13),(3,17),-0.0472193 # DEPENDENCYPART_TRISIBL
(3,12),(3,13),(3,18),-0.0999114 # DEPENDENCYPART_TRISIBL
(3,12),(3,13),(3,21),-0.0966596 # DEPENDENCYPART_TRISIBL
(3,12),(3,13),(3,22),-0.0854062 # DEPENDENCYPART_TRISIBL
(3,12),(3,13),(3,23),-0.181264 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,12),(3,16),(3,17),-0.0438548 # DEPENDENCYPART_TRISIBL
(3,12),(3,16),(3,18),-0.0932292 # DEPENDENCYPART_TRISIBL
(3,12),(3,16),(3,21),-0.0886778 # DEPENDENCYPART_TRISIBL
(3,12),(3,16),(3,22),-0.0761074 # DEPENDENCYPART_TRISIBL
(3,12),(3,16),(3,23),-0.101795 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,12),(3,17),(3,18),-0.130885 # DEPENDENCYPART_TRISIBL
(3,12),(3,17),(3,21),-0.0831153 # DEPENDENCYPART_TRISIBL
(3,12),(3,17),(3,22),-0.0920015 # DEPENDENCYPART_TRISIBL
(3,12),(3,17),(3,23),-0.0322937 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,12),(3,18),(3,21),-0.0849982 # DEPENDENCYPART_TRISIBL
(3,12),(3,18),(3,22),-0.0756842 # DEPENDENCYPART_TRISIBL
(3,12),(3,18),(3,23),-0.135446 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,12),(3,21),(3,22),-0.0762144 # DEPENDENCYPART_TRISIBL
(3,12),(3,21),(3,23),-0.115089 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,12),(3,22),(3,23),-0.0149418 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,13),(3,16),(3,17),-0.0549487 # DEPENDENCYPART_TRISIBL
(3,13),(3,16),(3,18),-0.0805147 # DEPENDENCYPART_TRISIBL
(3,13),(3,16),(3,21),-0.0991224 # DEPENDENCYPART_TRISIBL
(3,13),(3,16),(3,22),-0.0786722 # DEPENDENCYPART_TRISIBL
(3,13),(3,16),(3,23),-0.132758 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,13),(3,17),(3,18),-0.0186983 # DEPENDENCYPART_TRISIBL
(3,13),(3,17),(3,21),-0.153377 # DEPENDENCYPART_TRISIBL
(3,13),(3,17),(3,22),-0.0722574 # DEPENDENCYPART_TRISIBL
(3,13),(3,17),(3,23),-0.0401922 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,13),(3,18),(3,21),-0.0932698 # DEPENDENCYPART_TRISIBL
(3,13),(3,18),(3,22),-0.0782977 # DEPENDENCYPART_TRISIBL
(3,13),(3,18),(3,23),-0.104351 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,13),(3,21),(3,22),-0.0787388 # DEPENDENCYPART_TRISIBL
(3,13),(3,21),(3,23),-0.132089 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,13),(3,22),(3,23),-0.0698248 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,16),(3,17),(3,18),-0.11645 # DEPENDENCYPART_TRISIBL
(3,16),(3,17),(3,21),-0.0823579 # DEPENDENCYPART_TRISIBL
(3,16),(3,17),(3,22),-0.0945629 # DEPENDENCYPART_TRISIBL
(3,16),(3,17),(3,23),-0.0163139 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,16),(3,18),(3,21),-0.0830514 # DEPENDENCYPART_TRISIBL
(3,16),(3,18),(3,22),-0.0774342 # DEPENDENCYPART_TRISIBL
(3,16),(3,18),(3,23),-0.136548 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,16),(3,21),(3,22),-0.0783744 # DEPENDENCYPART_TRISIBL
(3,16),(3,21),(3,23),-0.104263 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,16),(3,22),(3,23),-0.0204394 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,17),(3,18),(3,21),-0.0252973 # DEPENDENCYPART_TRISIBL
(3,17),(3,18),(3,22),-0.119371 # DEPENDENCYPART_TRISIBL
(3,17),(3,18),(3,23),-0.0389984 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,17),(3,21),(3,22),-0.189307 # DEPENDENCYPART_TRISIBL
(3,17),(3,21),(3,23),-0.0395641 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,17),(3,22),(3,23),-0.304943 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,18),(3,21),(3,22),-0.0482535 # DEPENDENCYPART_TRISIBL
(3,18),(3,21),(3,23),-0.120629 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,18),(3,22),(3,23),-0.0780187 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,21),(3,22),(3,23),-0.00498221 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,3),(3,2),(3,1),-0.207429 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,2),(3,-1),-0.201051 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,3),(3,1),(3,-1),-0.192811 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,2),(3,1),(3,-1),-0.132853 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,5),(5,10),(5,23),-0.0323095 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,4),(5,3),-0.159008 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,4),(5,2),-0.138436 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,4),(5,1),-0.159009 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,4),(5,-1),-0.462749 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,5),(5,3),(5,2),-0.195025 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,3),(5,1),-0.226997 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,3),(5,-1),-0.175655 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,5),(5,2),(5,1),-0.217104 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,2),(5,-1),-0.187674 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,5),(5,1),(5,-1),-0.179434 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,4),(5,3),(5,2),-0.0504512 # DEPENDENCYPART_TRISIBL
(5,4),(5,3),(5,1),-0.0489332 # DEPENDENCYPART_TRISIBL
(5,4),(5,3),(5,-1),-0.147925 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,4),(5,2),(5,1),-0.0489731 # DEPENDENCYPART_TRISIBL
(5,4),(5,2),(5,-1),-0.14801 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,4),(5,1),(5,-1),-0.147871 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,3),(5,2),(5,1),-0.0822112 # DEPENDENCYPART_TRISIBL
(5,3),(5,2),(5,-1),-0.138432 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,3),(5,1),(5,-1),-0.144871 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,2),(5,1),(5,-1),-0.143879 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,7),(6,8),-0.0928347 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,9),-0.0916679 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,10),-0.0478022 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,11),-0.132977 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,12),-0.0837563 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,13),-0.10109 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,14),-0.0824398 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,15),-0.0761862 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,16),-0.0465805 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,17),-0.00143275 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,18),-0.00795719 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,19),-0.0072376 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,22),-0.104716 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,23),0.0305968 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,8),(6,9),-0.106827 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,10),-0.0536371 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,11),-0.132977 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,12),-0.0989155 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,13),-0.100233 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,14),-0.0811664 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,15),-0.0913453 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,16),-0.0617396 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,17),0.000417003 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,18),-0.00566236 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,19),-0.00494277 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,22),-0.114973 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,23),0.0478956 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,9),(6,10),-0.0135715 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,11),-0.133424 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,12),-0.0913965 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,13),-0.100609 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,14),-0.0812448 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,15),-0.0838263 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,16),-0.0542206 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,17),0.00139106 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,18),-0.00680554 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,19),-0.00608595 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,22),-0.10393 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,23),0.066337 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,10),(6,11),-0.122328 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,12),0.0044945 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,13),-0.110129 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,14),-0.0876887 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,15),0.0139694 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,16),0.0373073 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,17),-0.0536986 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,18),-0.0727273 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,19),-0.0731123 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,22),-0.172273 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,23),-0.0779496 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,11),(6,12),-0.0770259 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,11),(6,13),-0.0980904 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,11),(6,14),-0.10988 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,11),(6,15),-0.0676983 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,11),(6,16),-0.0415588 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,11),(6,17),-0.0768306 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,11),(6,18),-0.0724824 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,11),(6,19),-0.0777292 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,11),(6,22),-0.133138 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,11),(6,23),-0.0191126 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,12),(6,13),-0.100397 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,12),(6,14),-0.0811671 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,12),(6,15),-0.086549 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,12),(6,16),-0.0569433 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,12),(6,17),0.00120956 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,12),(6,18),-0.00564307 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,12),(6,19),-0.00492348 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,12),(6,22),-0.10145 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,12),(6,23),0.0432038 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,13),(6,14),-0.0927324 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,13),(6,15),-0.0583401 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,13),(6,16),-0.0321472 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,13),(6,17),-0.0325372 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,13),(6,18),-0.000243658 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,13),(6,19),-0.00805486 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,13),(6,22),0.0810048 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,13),(6,23),-0.00787318 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,14),(6,15),-0.0125359 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,14),(6,16),0.0107142 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,14),(6,17),-0.0861979 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,14),(6,18),-0.0086803 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,14),(6,19),-0.00387597 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,14),(6,22),-0.234653 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,14),(6,23),0.0202414 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,15),(6,16),-0.0581634 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,15),(6,17),-0.00137681 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,15),(6,18),-0.00525094 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,15),(6,19),-0.00453135 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,15),(6,22),-0.101925 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,15),(6,23),0.0624485 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,16),(6,17),-0.00193415 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,16),(6,18),-0.00942958 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,16),(6,19),-0.00870999 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,16),(6,22),-0.113279 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,16),(6,23),0.0324844 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,17),(6,18),0.0426928 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,17),(6,19),0.00830937 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,17),(6,22),-0.0831197 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,17),(6,23),-0.281856 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,18),(6,19),-0.0546701 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,18),(6,22),0.172388 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,18),(6,23),0.0444477 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,19),(6,22),0.156571 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,19),(6,23),0.0272781 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,22),(6,23),-0.0696927 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,7),(6,8),(6,9),-0.0889074 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,10),0.0619841 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,11),-0.0715838 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,12),-0.0867823 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,13),-0.137449 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,14),-0.0812427 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,15),-0.0869418 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,16),-0.0866703 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,17),-0.0621364 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,18),-0.0661675 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,19),-0.0657525 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,22),-0.142906 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,23),-0.0594907 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,9),(6,10),0.0548322 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,11),-0.0715838 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,12),-0.0871718 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,13),-0.137449 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,14),-0.0812427 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,15),-0.0873314 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,16),-0.0870598 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,17),-0.0514139 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,18),-0.0661779 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,19),-0.0657629 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,22),-0.143007 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,23),-0.0612289 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,10),(6,11),-0.0640614 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,12),-0.125397 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,13),-0.0989515 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,14),-0.0903441 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,15),-0.125549 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,16),-0.129392 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,17),0.0163367 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,18),-0.035916 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,19),-0.0351274 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,22),-0.137094 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,23),0.0154524 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,11),(6,12),-0.0838554 # DEPENDENCYPART_TRISIBL
(6,7),(6,11),(6,13),-0.102563 # DEPENDENCYPART_TRISIBL
(6,7),(6,11),(6,14),-0.0817781 # DEPENDENCYPART_TRISIBL
(6,7),(6,11),(6,15),-0.0840006 # DEPENDENCYPART_TRISIBL
(6,7),(6,11),(6,16),-0.087848 # DEPENDENCYPART_TRISIBL
(6,7),(6,11),(6,17),-0.0495534 # DEPENDENCYPART_TRISIBL
(6,7),(6,11),(6,18),-0.0694373 # DEPENDENCYPART_TRISIBL
(6,7),(6,11),(6,19),-0.0655507 # DEPENDENCYPART_TRISIBL
(6,7),(6,11),(6,22),-0.109929 # DEPENDENCYPART_TRISIBL
(6,7),(6,11),(6,23),-0.0819826 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,12),(6,13),-0.137449 # DEPENDENCYPART_TRISIBL
(6,7),(6,12),(6,14),-0.0812427 # DEPENDENCYPART_TRISIBL
(6,7),(6,12),(6,15),-0.0868967 # DEPENDENCYPART_TRISIBL
(6,7),(6,12),(6,16),-0.0866251 # DEPENDENCYPART_TRISIBL
(6,7),(6,12),(6,17),-0.0621364 # DEPENDENCYPART_TRISIBL
(6,7),(6,12),(6,18),-0.0661675 # DEPENDENCYPART_TRISIBL
(6,7),(6,12),(6,19),-0.0657525 # DEPENDENCYPART_TRISIBL
(6,7),(6,12),(6,22),-0.142906 # DEPENDENCYPART_TRISIBL
(6,7),(6,12),(6,23),-0.0552146 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,13),(6,14),-0.0850852 # DEPENDENCYPART_TRISIBL
(6,7),(6,13),(6,15),-0.101136 # DEPENDENCYPART_TRISIBL
(6,7),(6,13),(6,16),-0.104928 # DEPENDENCYPART_TRISIBL
(6,7),(6,13),(6,17),-0.0303827 # DEPENDENCYPART_TRISIBL
(6,7),(6,13),(6,18),-0.0797401 # DEPENDENCYPART_TRISIBL
(6,7),(6,13),(6,19),-0.0754066 # DEPENDENCYPART_TRISIBL
(6,7),(6,13),(6,22),-0.106679 # DEPENDENCYPART_TRISIBL
(6,7),(6,13),(6,23),-0.128618 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,14),(6,15),-0.0415052 # DEPENDENCYPART_TRISIBL
(6,7),(6,14),(6,16),-0.0453431 # DEPENDENCYPART_TRISIBL
(6,7),(6,14),(6,17),-0.0576906 # DEPENDENCYPART_TRISIBL
(6,7),(6,14),(6,18),-0.0718132 # DEPENDENCYPART_TRISIBL
(6,7),(6,14),(6,19),-0.0678813 # DEPENDENCYPART_TRISIBL
(6,7),(6,14),(6,22),-0.0949382 # DEPENDENCYPART_TRISIBL
(6,7),(6,14),(6,23),-0.0457778 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,15),(6,16),-0.0801529 # DEPENDENCYPART_TRISIBL
(6,7),(6,15),(6,17),-0.0627114 # DEPENDENCYPART_TRISIBL
(6,7),(6,15),(6,18),-0.0664399 # DEPENDENCYPART_TRISIBL
(6,7),(6,15),(6,19),-0.0660249 # DEPENDENCYPART_TRISIBL
(6,7),(6,15),(6,22),-0.142906 # DEPENDENCYPART_TRISIBL
(6,7),(6,15),(6,23),-0.0565888 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,16),(6,17),-0.0627148 # DEPENDENCYPART_TRISIBL
(6,7),(6,16),(6,18),-0.0668019 # DEPENDENCYPART_TRISIBL
(6,7),(6,16),(6,19),-0.0663869 # DEPENDENCYPART_TRISIBL
(6,7),(6,16),(6,22),-0.143015 # DEPENDENCYPART_TRISIBL
(6,7),(6,16),(6,23),-0.0322239 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,17),(6,18),-0.0561672 # DEPENDENCYPART_TRISIBL
(6,7),(6,17),(6,19),-0.0439098 # DEPENDENCYPART_TRISIBL
(6,7),(6,17),(6,22),-0.124306 # DEPENDENCYPART_TRISIBL
(6,7),(6,17),(6,23),-0.10367 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,18),(6,19),-0.0640038 # DEPENDENCYPART_TRISIBL
(6,7),(6,18),(6,22),-0.0687848 # DEPENDENCYPART_TRISIBL
(6,7),(6,18),(6,23),-0.049447 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,19),(6,22),-0.0691006 # DEPENDENCYPART_TRISIBL
(6,7),(6,19),(6,23),-0.0369271 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,22),(6,23),-0.122147 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,8),(6,9),(6,10),0.0236353 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,11),-0.0716573 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,12),-0.092549 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,13),-0.136694 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,14),-0.0812427 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,15),-0.0927086 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,16),-0.092437 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,17),-0.0657157 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,18),-0.0658508 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,19),-0.0654358 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,22),-0.143792 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,23),-0.063037 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,8),(6,10),(6,11),-0.0640981 # DEPENDENCYPART_TRISIBL
(6,8),(6,10),(6,12),-0.127369 # DEPENDENCYPART_TRISIBL
(6,8),(6,10),(6,13),-0.098198 # DEPENDENCYPART_TRISIBL
(6,8),(6,10),(6,14),-0.0903441 # DEPENDENCYPART_TRISIBL
(6,8),(6,10),(6,15),-0.127521 # DEPENDENCYPART_TRISIBL
(6,8),(6,10),(6,16),-0.131364 # DEPENDENCYPART_TRISIBL
(6,8),(6,10),(6,17),0.00930722 # DEPENDENCYPART_TRISIBL
(6,8),(6,10),(6,18),-0.035654 # DEPENDENCYPART_TRISIBL
(6,8),(6,10),(6,19),-0.0348653 # DEPENDENCYPART_TRISIBL
(6,8),(6,10),(6,22),-0.137143 # DEPENDENCYPART_TRISIBL
(6,8),(6,10),(6,23),0.00394303 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,8),(6,11),(6,12),-0.0856509 # DEPENDENCYPART_TRISIBL
(6,8),(6,11),(6,13),-0.10181 # DEPENDENCYPART_TRISIBL
(6,8),(6,11),(6,14),-0.0817781 # DEPENDENCYPART_TRISIBL
