# _root_ That may leave a lot of leeway for U.S. Bankruptcy Judge Burton R. Lifland to decide what , if anything , the pilots actually collect .
#goldHeads=2,0,2,5,3,5,6,16,14,14,14,14,14,16,16,7,25,25,20,25,25,23,25,25,16,2,
#predictedHeads=2,0,2,5,3,5,6,7,14,14,14,14,14,8,16,5,25,25,25,19,25,23,25,25,16,2,
(25,16),(16,17),(16,19),0.117588 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,17),(16,20),0.116792 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,17),(16,21),0.144796 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,17),(16,22),0.119152 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,17),(16,23),0.116792 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,17),(16,24),0.127936 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,17),(16,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,17),(16,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,17),(16,27),-0.11835 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,18),(16,19),0.0738637 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,18),(16,20),0.132409 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,18),(16,21),0.1202 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,18),(16,22),0.115785 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,18),(16,23),0.129071 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,18),(16,24),0.135959 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,18),(16,25),-0.149349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,18),(16,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,18),(16,27),-0.122063 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,19),(16,20),0.123881 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,19),(16,21),0.0628943 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,19),(16,22),0.117171 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,19),(16,23),0.12388 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,19),(16,24),0.197758 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,19),(16,25),-0.126775 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,19),(16,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,19),(16,27),-0.0798287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,20),(16,21),0.130193 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,20),(16,22),0.16084 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,20),(16,23),0.108423 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,20),(16,24),0.118246 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,20),(16,25),-0.12319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,20),(16,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,20),(16,27),-0.123242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,21),(16,22),0.115785 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,21),(16,23),0.129071 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,21),(16,24),0.135959 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,21),(16,25),-0.149349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,21),(16,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,21),(16,27),-0.122063 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,22),(16,23),0.115332 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,22),(16,24),0.121711 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,22),(16,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,22),(16,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,22),(16,27),-0.104802 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,23),(16,24),0.118246 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,23),(16,25),-0.12319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,23),(16,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,23),(16,27),-0.119681 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,24),(16,25),-0.127387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,24),(16,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,24),(16,27),-0.0992714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,25),(16,26),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,25),(16,27),-0.122597 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,16),(16,26),(16,27),-0.14435 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,16),(16,15),0.0667358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,14),0.0148127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,13),0.0146469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,12),0.0148127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,11),0.0140882 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,10),0.014812 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,9),0.0184058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,8),-0.0408764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,7),0.0148127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,6),-0.080352 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,5),0.013422 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,16),(16,16),(16,-1),0.0465614 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,16),(16,15),(16,14),-0.0504063 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,15),(16,13),-0.0504063 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,15),(16,12),-0.0504063 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,15),(16,11),-0.0504068 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,15),(16,10),-0.0504063 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,15),(16,9),-0.0506152 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,15),(16,8),-0.0280906 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,15),(16,7),-0.0504063 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,15),(16,6),-0.0250313 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,15),(16,5),-0.0504063 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,15),(16,-1),-0.017237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,14),(16,13),-0.00618678 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,14),(16,12),-0.00618678 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,14),(16,11),-0.00621624 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,14),(16,10),-0.00618678 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,14),(16,9),-0.00739927 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,14),(16,8),-0.0999047 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,14),(16,7),-0.00618678 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,14),(16,6),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,14),(16,5),-0.00656288 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,14),(16,-1),-0.0745352 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,13),(16,12),-0.00618707 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,13),(16,11),-0.00621653 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,13),(16,10),-0.00618707 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,13),(16,9),-0.00739956 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,13),(16,8),-0.0999136 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,13),(16,7),-0.00618707 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,13),(16,6),-0.0420202 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,13),(16,5),-0.00656317 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,13),(16,-1),-0.0745355 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,12),(16,11),-0.00621624 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,12),(16,10),-0.00618678 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,12),(16,9),-0.00739927 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,12),(16,8),-0.0999047 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,12),(16,7),-0.00618678 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,12),(16,6),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,12),(16,5),-0.00656288 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,12),(16,-1),-0.0745352 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,11),(16,10),-0.00638864 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,11),(16,9),-0.00760114 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,11),(16,8),-0.0999841 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,11),(16,7),-0.00638864 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,11),(16,6),-0.0420907 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,11),(16,5),-0.00676474 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,11),(16,-1),-0.0762752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,10),(16,9),-0.00739927 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,10),(16,8),-0.0999047 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,10),(16,7),-0.00618678 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,10),(16,6),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,10),(16,5),-0.00656288 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,10),(16,-1),-0.074536 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,9),(16,8),-0.0990245 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,9),(16,7),-0.00618898 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,9),(16,6),-0.0411311 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,9),(16,5),-0.00656508 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,9),(16,-1),-0.0724108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,8),(16,7),-0.0275909 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,8),(16,6),-0.085309 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,8),(16,5),-0.0276882 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,8),(16,-1),-0.0142522 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,7),(16,6),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,7),(16,5),-0.00656288 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,7),(16,-1),-0.0745352 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,6),(16,5),-0.0218182 # DEPENDENCYPART_GRANDSIBL
(25,16),(16,6),(16,-1),-0.0175482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,16),(16,5),(16,-1),-0.0835749 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,17),(17,17),(17,19),0.110292 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,17),(17,17),(17,25),-0.0830199 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,17),(17,17),(17,27),-0.0771451 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,17),(17,19),(17,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,17),(17,19),(17,27),-0.106265 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,17),(17,25),(17,27),-0.12645 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,17),(17,17),(17,-1),0.0274837 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,18),(18,18),(18,19),0.121222 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,18),(18,18),(18,27),-0.0760601 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,18),(18,19),(18,27),-0.123227 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,18),(18,18),(18,-1),0.0118205 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,19),(19,19),(19,20),0.0958958 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,23),0.0976796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,24),0.170212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,27),0.0580939 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,19),(19,20),(19,23),0.115387 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,20),(19,24),0.114641 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,20),(19,27),-0.190759 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,23),(19,24),0.114641 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,23),(19,27),-0.188975 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,24),(19,27),-0.0919775 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,19),(19,18),-0.0525892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,17),-0.0909197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,-1),-0.0673642 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,19),(19,18),(19,17),-0.0430622 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,18),(19,-1),0.0276073 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,17),(19,-1),-0.0916343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,20),(20,21),0.0388968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,22),0.109372 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,23),0.0394728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,24),0.137301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,25),-0.0934837 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,20),(20,20),(20,26),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,27),-0.132509 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,20),(20,21),(20,22),0.113806 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,21),(20,23),0.20224 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,21),(20,24),0.0976268 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,21),(20,25),-0.141133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,21),(20,26),-0.125335 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,21),(20,27),-0.125235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,22),(20,23),0.144755 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,22),(20,24),0.123331 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,22),(20,25),-0.124886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,22),(20,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,22),(20,27),-0.21403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,23),(20,24),0.127254 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,23),(20,25),-0.125993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,23),(20,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,23),(20,27),-0.108735 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,24),(20,25),-0.1254 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,24),(20,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,24),(20,27),-0.0590249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,25),(20,26),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,25),(20,27),-0.0802685 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,20),(20,26),(20,27),-0.139005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,20),(20,19),-0.0923774 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,18),0.039507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,17),0.0044891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,-1),0.049194 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,20),(20,19),(20,18),0.0116267 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,19),(20,17),-0.0462735 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,19),(20,-1),-0.0586138 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,18),(20,17),-0.0420414 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,18),(20,-1),-0.0314826 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,17),(20,-1),-0.00771127 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,21),(21,21),(21,27),-0.0760601 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,21),(21,21),(21,-1),0.0118205 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,22),(22,22),(22,27),-0.298148 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,22),(22,22),(22,-1),-0.0993852 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,23),(23,23),(23,24),0.137669 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,23),(23,23),(23,25),-0.0934837 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,23),(23,23),(23,26),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,23),(23,23),(23,27),-0.16767 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,23),(23,24),(23,25),-0.1254 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,23),(23,24),(23,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,23),(23,24),(23,27),-0.0585246 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,23),(23,25),(23,26),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,23),(23,25),(23,27),-0.0773688 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,23),(23,26),(23,27),-0.139005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,23),(23,23),(23,22),-0.130202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,23),(23,23),(23,20),0.00408773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,23),(23,23),(23,19),-0.105238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,23),(23,23),(23,17),0.00554192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,23),(23,23),(23,-1),0.0712421 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,23),(23,22),(23,20),-0.0639165 # DEPENDENCYPART_GRANDSIBL
(25,23),(23,22),(23,19),-0.0343697 # DEPENDENCYPART_GRANDSIBL
(25,23),(23,22),(23,17),-0.051586 # DEPENDENCYPART_GRANDSIBL
(25,23),(23,22),(23,-1),0.0670959 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,23),(23,20),(23,19),-0.0644324 # DEPENDENCYPART_GRANDSIBL
(25,23),(23,20),(23,17),-0.0498801 # DEPENDENCYPART_GRANDSIBL
(25,23),(23,20),(23,-1),-0.0221058 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,23),(23,19),(23,17),-0.0462735 # DEPENDENCYPART_GRANDSIBL
(25,23),(23,19),(23,-1),-0.0678922 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,23),(23,17),(23,-1),-0.00665845 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,24),(24,24),(24,25),-0.103119 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,24),(24,24),(24,26),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,24),(24,24),(24,27),-0.0750271 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,24),(24,25),(24,26),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,24),(24,25),(24,27),-0.157669 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,24),(24,26),(24,27),-0.126626 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,24),(24,24),(24,23),-0.0114511 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,24),(24,24),(24,22),-0.0345381 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,24),(24,24),(24,20),-0.0122098 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,24),(24,24),(24,19),-0.0401375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,24),(24,24),(24,15),-0.0102403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,24),(24,24),(24,5),-0.0114901 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,24),(24,24),(24,-1),0.0674772 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,24),(24,23),(24,22),-0.0420386 # DEPENDENCYPART_GRANDSIBL
(25,24),(24,23),(24,20),-0.0433839 # DEPENDENCYPART_GRANDSIBL
(25,24),(24,23),(24,19),-0.0691091 # DEPENDENCYPART_GRANDSIBL
(25,24),(24,23),(24,15),-0.0395974 # DEPENDENCYPART_GRANDSIBL
(25,24),(24,23),(24,5),-0.0433839 # DEPENDENCYPART_GRANDSIBL
(25,24),(24,23),(24,-1),0.0582455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,24),(24,22),(24,20),-0.039265 # DEPENDENCYPART_GRANDSIBL
(25,24),(24,22),(24,19),-0.0403594 # DEPENDENCYPART_GRANDSIBL
(25,24),(24,22),(24,15),-0.0422597 # DEPENDENCYPART_GRANDSIBL
(25,24),(24,22),(24,5),-0.039265 # DEPENDENCYPART_GRANDSIBL
(25,24),(24,22),(24,-1),-0.0560522 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,24),(24,20),(24,19),-0.0691091 # DEPENDENCYPART_GRANDSIBL
(25,24),(24,20),(24,15),-0.0395974 # DEPENDENCYPART_GRANDSIBL
(25,24),(24,20),(24,5),-0.043392 # DEPENDENCYPART_GRANDSIBL
(25,24),(24,20),(24,-1),0.0572723 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,24),(24,19),(24,15),-0.0458778 # DEPENDENCYPART_GRANDSIBL
(25,24),(24,19),(24,5),-0.0473511 # DEPENDENCYPART_GRANDSIBL
(25,24),(24,19),(24,-1),-0.0629877 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,24),(24,15),(24,5),-0.0444585 # DEPENDENCYPART_GRANDSIBL
(25,24),(24,15),(24,-1),0.0376695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,24),(24,5),(24,-1),0.0580611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,26),(26,26),(26,27),-0.0433491 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,26),(26,26),(26,-1),-0.0095098 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,0),(0,1),(0,2),-0.10757 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,1),(0,3),-0.230321 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,1),(0,25),-0.221965 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,1),(0,27),0.271983 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,2),(0,3),-0.245474 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,2),(0,25),-0.237119 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,2),(0,27),0.617614 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,3),(0,25),-0.3128 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,3),(0,27),0.865567 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,25),(0,27),0.849304 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,1),(0,2),(0,3),-0.0955865 # DEPENDENCYPART_TRISIBL
(0,1),(0,2),(0,25),-0.0955846 # DEPENDENCYPART_TRISIBL
(0,1),(0,2),(0,27),-0.105121 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,1),(0,3),(0,25),-0.097871 # DEPENDENCYPART_TRISIBL
(0,1),(0,3),(0,27),-0.0996958 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,1),(0,25),(0,27),-0.0996958 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,2),(0,3),(0,25),-0.0615431 # DEPENDENCYPART_TRISIBL
(0,2),(0,3),(0,27),-0.11341 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,2),(0,25),(0,27),-0.11341 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(0,25),(0,27),-0.294233 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,1),(1,2),(1,3),-0.107518 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,27),-0.307543 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,3),(1,27),-0.306443 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,2),(1,3),(1,27),-0.0691866 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,2),(2,3),(2,5),-0.0291528 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,6),-0.0444842 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,7),-0.0303611 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,8),-0.00155558 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,16),-0.152678 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,18),-0.00808007 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,21),-0.00808007 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
