# _root_ The issue is one of a judge 's experience , his competence and his physical ability to serve on the bench , '' Justice Rubin said .
#goldHeads=2,3,26,3,4,7,9,7,13,13,12,13,5,16,16,13,18,16,18,21,19,26,26,25,26,0,26,
#predictedHeads=2,3,26,3,4,7,9,7,5,4,12,13,4,16,16,13,18,16,18,21,19,26,26,25,26,0,26,
(26,15),(26,10),(26,2),-0.0520192 # DEPENDENCYPART_TRISIBL
(26,15),(26,10),(26,-1),-0.234491 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,15),(26,9),(26,7),-0.100072 # DEPENDENCYPART_TRISIBL
(26,15),(26,9),(26,4),-0.0904161 # DEPENDENCYPART_TRISIBL
(26,15),(26,9),(26,3),-0.100324 # DEPENDENCYPART_TRISIBL
(26,15),(26,9),(26,2),-0.100101 # DEPENDENCYPART_TRISIBL
(26,15),(26,9),(26,-1),-0.107775 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,15),(26,7),(26,4),-0.0904161 # DEPENDENCYPART_TRISIBL
(26,15),(26,7),(26,3),-0.100324 # DEPENDENCYPART_TRISIBL
(26,15),(26,7),(26,2),-0.100119 # DEPENDENCYPART_TRISIBL
(26,15),(26,7),(26,-1),-0.107732 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,15),(26,4),(26,3),-0.100077 # DEPENDENCYPART_TRISIBL
(26,15),(26,4),(26,2),-0.0867941 # DEPENDENCYPART_TRISIBL
(26,15),(26,4),(26,-1),-0.0798508 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,15),(26,3),(26,2),-0.0955469 # DEPENDENCYPART_TRISIBL
(26,15),(26,3),(26,-1),-0.160894 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,15),(26,2),(26,-1),-0.108348 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,13),(26,12),(26,10),-0.0301084 # DEPENDENCYPART_TRISIBL
(26,13),(26,12),(26,9),-0.128291 # DEPENDENCYPART_TRISIBL
(26,13),(26,12),(26,7),-0.128321 # DEPENDENCYPART_TRISIBL
(26,13),(26,12),(26,4),-0.100686 # DEPENDENCYPART_TRISIBL
(26,13),(26,12),(26,3),-0.0919418 # DEPENDENCYPART_TRISIBL
(26,13),(26,12),(26,2),-0.128376 # DEPENDENCYPART_TRISIBL
(26,13),(26,12),(26,-1),-0.113727 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,13),(26,10),(26,9),-0.0540191 # DEPENDENCYPART_TRISIBL
(26,13),(26,10),(26,7),-0.0540496 # DEPENDENCYPART_TRISIBL
(26,13),(26,10),(26,4),-0.0693215 # DEPENDENCYPART_TRISIBL
(26,13),(26,10),(26,3),-0.0121465 # DEPENDENCYPART_TRISIBL
(26,13),(26,10),(26,2),-0.0540757 # DEPENDENCYPART_TRISIBL
(26,13),(26,10),(26,-1),-0.194471 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,13),(26,9),(26,7),-0.128321 # DEPENDENCYPART_TRISIBL
(26,13),(26,9),(26,4),-0.100686 # DEPENDENCYPART_TRISIBL
(26,13),(26,9),(26,3),-0.0919459 # DEPENDENCYPART_TRISIBL
(26,13),(26,9),(26,2),-0.128376 # DEPENDENCYPART_TRISIBL
(26,13),(26,9),(26,-1),-0.113727 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,13),(26,7),(26,4),-0.100686 # DEPENDENCYPART_TRISIBL
(26,13),(26,7),(26,3),-0.0919418 # DEPENDENCYPART_TRISIBL
(26,13),(26,7),(26,2),-0.128376 # DEPENDENCYPART_TRISIBL
(26,13),(26,7),(26,-1),-0.11373 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,13),(26,4),(26,3),-0.0877507 # DEPENDENCYPART_TRISIBL
(26,13),(26,4),(26,2),-0.0927479 # DEPENDENCYPART_TRISIBL
(26,13),(26,4),(26,-1),-0.119034 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,13),(26,3),(26,2),-0.121424 # DEPENDENCYPART_TRISIBL
(26,13),(26,3),(26,-1),-0.196287 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,13),(26,2),(26,-1),-0.113747 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,12),(26,10),(26,9),-0.25227 # DEPENDENCYPART_TRISIBL
(26,12),(26,10),(26,7),-0.246031 # DEPENDENCYPART_TRISIBL
(26,12),(26,10),(26,4),-0.171435 # DEPENDENCYPART_TRISIBL
(26,12),(26,10),(26,3),0.0267059 # DEPENDENCYPART_TRISIBL
(26,12),(26,10),(26,2),-0.254225 # DEPENDENCYPART_TRISIBL
(26,12),(26,10),(26,-1),-0.113395 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,12),(26,9),(26,7),-0.273194 # DEPENDENCYPART_TRISIBL
(26,12),(26,9),(26,4),-0.110606 # DEPENDENCYPART_TRISIBL
(26,12),(26,9),(26,3),-0.15842 # DEPENDENCYPART_TRISIBL
(26,12),(26,9),(26,2),-0.291019 # DEPENDENCYPART_TRISIBL
(26,12),(26,9),(26,-1),-0.102352 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,12),(26,7),(26,4),-0.110989 # DEPENDENCYPART_TRISIBL
(26,12),(26,7),(26,3),-0.158609 # DEPENDENCYPART_TRISIBL
(26,12),(26,7),(26,2),-0.286999 # DEPENDENCYPART_TRISIBL
(26,12),(26,7),(26,-1),-0.0962174 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,12),(26,4),(26,3),-0.144656 # DEPENDENCYPART_TRISIBL
(26,12),(26,4),(26,2),-0.209118 # DEPENDENCYPART_TRISIBL
(26,12),(26,4),(26,-1),-0.103279 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,12),(26,3),(26,2),-0.261625 # DEPENDENCYPART_TRISIBL
(26,12),(26,3),(26,-1),-0.0549871 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,12),(26,2),(26,-1),-0.103882 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,10),(26,9),(26,7),-0.177917 # DEPENDENCYPART_TRISIBL
(26,10),(26,9),(26,4),-0.120843 # DEPENDENCYPART_TRISIBL
(26,10),(26,9),(26,3),-0.111618 # DEPENDENCYPART_TRISIBL
(26,10),(26,9),(26,2),-0.177284 # DEPENDENCYPART_TRISIBL
(26,10),(26,9),(26,-1),-0.0285696 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,10),(26,7),(26,4),-0.120843 # DEPENDENCYPART_TRISIBL
(26,10),(26,7),(26,3),-0.111612 # DEPENDENCYPART_TRISIBL
(26,10),(26,7),(26,2),-0.177361 # DEPENDENCYPART_TRISIBL
(26,10),(26,7),(26,-1),-0.0281698 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,10),(26,4),(26,3),-0.125742 # DEPENDENCYPART_TRISIBL
(26,10),(26,4),(26,2),-0.186528 # DEPENDENCYPART_TRISIBL
(26,10),(26,4),(26,-1),-0.135798 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,10),(26,3),(26,2),-0.229934 # DEPENDENCYPART_TRISIBL
(26,10),(26,3),(26,-1),0.0465154 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,10),(26,2),(26,-1),-0.0313289 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,9),(26,7),(26,4),-0.110989 # DEPENDENCYPART_TRISIBL
(26,9),(26,7),(26,3),-0.157213 # DEPENDENCYPART_TRISIBL
(26,9),(26,7),(26,2),-0.287354 # DEPENDENCYPART_TRISIBL
(26,9),(26,7),(26,-1),-0.0952007 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,9),(26,4),(26,3),-0.14326 # DEPENDENCYPART_TRISIBL
(26,9),(26,4),(26,2),-0.20943 # DEPENDENCYPART_TRISIBL
(26,9),(26,4),(26,-1),-0.102246 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,9),(26,3),(26,2),-0.261937 # DEPENDENCYPART_TRISIBL
(26,9),(26,3),(26,-1),-0.053956 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,9),(26,2),(26,-1),-0.102865 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,7),(26,4),(26,3),-0.147571 # DEPENDENCYPART_TRISIBL
(26,7),(26,4),(26,2),-0.212457 # DEPENDENCYPART_TRISIBL
(26,7),(26,4),(26,-1),-0.117156 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,7),(26,3),(26,2),-0.265258 # DEPENDENCYPART_TRISIBL
(26,7),(26,3),(26,-1),-0.0656108 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,7),(26,2),(26,-1),-0.118496 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,4),(26,3),(26,2),-0.125759 # DEPENDENCYPART_TRISIBL
(26,4),(26,3),(26,-1),-0.125082 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,4),(26,2),(26,-1),-0.1291 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,3),(26,2),(26,-1),-0.119023 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(3,2),0.187953 # DEPENDENCYPART_HEADBIGRAM
(0,3),(4,2),0.0917938 # DEPENDENCYPART_HEADBIGRAM
(0,3),(5,2),0.229024 # DEPENDENCYPART_HEADBIGRAM
(0,3),(7,2),0.0403513 # DEPENDENCYPART_HEADBIGRAM
(0,3),(9,2),0.0409701 # DEPENDENCYPART_HEADBIGRAM
(0,3),(13,2),0.114071 # DEPENDENCYPART_HEADBIGRAM
(0,3),(18,2),-0.00474482 # DEPENDENCYPART_HEADBIGRAM
(0,3),(26,2),-0.0126875 # DEPENDENCYPART_HEADBIGRAM
(0,13),(3,12),0.0296092 # DEPENDENCYPART_HEADBIGRAM
(0,13),(4,12),0.196878 # DEPENDENCYPART_HEADBIGRAM
(0,13),(5,12),0.115088 # DEPENDENCYPART_HEADBIGRAM
(0,13),(7,12),0.0404189 # DEPENDENCYPART_HEADBIGRAM
(0,13),(9,12),0.040434 # DEPENDENCYPART_HEADBIGRAM
(0,13),(13,12),-0.527233 # DEPENDENCYPART_HEADBIGRAM
(0,13),(15,12),0.0627141 # DEPENDENCYPART_HEADBIGRAM
(0,13),(16,12),-0.0494183 # DEPENDENCYPART_HEADBIGRAM
(0,13),(18,12),0.0249332 # DEPENDENCYPART_HEADBIGRAM
(0,13),(26,12),-0.0225651 # DEPENDENCYPART_HEADBIGRAM
(0,26),(13,25),0.268816 # DEPENDENCYPART_HEADBIGRAM
(0,26),(16,25),0.0289926 # DEPENDENCYPART_HEADBIGRAM
(0,26),(18,25),0.0498905 # DEPENDENCYPART_HEADBIGRAM
(0,26),(19,25),0.311652 # DEPENDENCYPART_HEADBIGRAM
(0,26),(21,25),0.0197226 # DEPENDENCYPART_HEADBIGRAM
(0,26),(24,25),0.042169 # DEPENDENCYPART_HEADBIGRAM
(0,26),(26,25),0.435619 # DEPENDENCYPART_HEADBIGRAM
(1,3),(3,2),0.130979 # DEPENDENCYPART_HEADBIGRAM
(1,3),(4,2),0.0979461 # DEPENDENCYPART_HEADBIGRAM
(1,3),(5,2),0.106361 # DEPENDENCYPART_HEADBIGRAM
(1,3),(7,2),0.0965158 # DEPENDENCYPART_HEADBIGRAM
(1,3),(9,2),0.0977209 # DEPENDENCYPART_HEADBIGRAM
(1,3),(13,2),0.0973154 # DEPENDENCYPART_HEADBIGRAM
(1,3),(18,2),0.0968437 # DEPENDENCYPART_HEADBIGRAM
(1,3),(26,2),0.097689 # DEPENDENCYPART_HEADBIGRAM
(1,5),(2,4),0.132694 # DEPENDENCYPART_HEADBIGRAM
(1,5),(3,4),0.132805 # DEPENDENCYPART_HEADBIGRAM
(1,5),(5,4),0.0855545 # DEPENDENCYPART_HEADBIGRAM
(1,5),(7,4),0.0949635 # DEPENDENCYPART_HEADBIGRAM
(1,5),(9,4),0.0949635 # DEPENDENCYPART_HEADBIGRAM
(1,5),(12,4),0.0955461 # DEPENDENCYPART_HEADBIGRAM
(1,5),(13,4),0.0956692 # DEPENDENCYPART_HEADBIGRAM
(1,5),(26,4),0.098349 # DEPENDENCYPART_HEADBIGRAM
(2,3),(3,2),-0.188865 # DEPENDENCYPART_HEADBIGRAM
(2,3),(4,2),0.0790265 # DEPENDENCYPART_HEADBIGRAM
(2,3),(5,2),0.128604 # DEPENDENCYPART_HEADBIGRAM
(2,3),(7,2),0.217719 # DEPENDENCYPART_HEADBIGRAM
(2,3),(9,2),0.14073 # DEPENDENCYPART_HEADBIGRAM
(2,3),(13,2),0.181688 # DEPENDENCYPART_HEADBIGRAM
(2,3),(18,2),0.0746372 # DEPENDENCYPART_HEADBIGRAM
(2,3),(26,2),0.0306523 # DEPENDENCYPART_HEADBIGRAM
(2,4),(0,3),-0.0516249 # DEPENDENCYPART_HEADBIGRAM
(2,4),(1,3),-0.0596595 # DEPENDENCYPART_HEADBIGRAM
(2,4),(2,3),0.084713 # DEPENDENCYPART_HEADBIGRAM
(2,4),(7,3),0.10706 # DEPENDENCYPART_HEADBIGRAM
(2,4),(13,3),0.207855 # DEPENDENCYPART_HEADBIGRAM
(2,4),(18,3),0.0945184 # DEPENDENCYPART_HEADBIGRAM
(2,4),(26,3),0.0865249 # DEPENDENCYPART_HEADBIGRAM
(2,5),(2,4),0.132588 # DEPENDENCYPART_HEADBIGRAM
(2,5),(3,4),0.128156 # DEPENDENCYPART_HEADBIGRAM
(2,5),(5,4),0.164566 # DEPENDENCYPART_HEADBIGRAM
(2,5),(7,4),0.0963572 # DEPENDENCYPART_HEADBIGRAM
(2,5),(9,4),0.0963626 # DEPENDENCYPART_HEADBIGRAM
(2,5),(12,4),0.0969452 # DEPENDENCYPART_HEADBIGRAM
(2,5),(13,4),0.0843081 # DEPENDENCYPART_HEADBIGRAM
(2,5),(26,4),0.0959385 # DEPENDENCYPART_HEADBIGRAM
(2,13),(3,12),0.117573 # DEPENDENCYPART_HEADBIGRAM
(2,13),(4,12),0.12377 # DEPENDENCYPART_HEADBIGRAM
(2,13),(5,12),0.328532 # DEPENDENCYPART_HEADBIGRAM
(2,13),(7,12),0.113845 # DEPENDENCYPART_HEADBIGRAM
(2,13),(9,12),0.114374 # DEPENDENCYPART_HEADBIGRAM
(2,13),(13,12),0.0373596 # DEPENDENCYPART_HEADBIGRAM
(2,13),(15,12),0.0693672 # DEPENDENCYPART_HEADBIGRAM
(2,13),(16,12),0.0593345 # DEPENDENCYPART_HEADBIGRAM
(2,13),(18,12),0.0820995 # DEPENDENCYPART_HEADBIGRAM
(2,13),(26,12),0.10589 # DEPENDENCYPART_HEADBIGRAM
(3,2),(2,1),0.031042 # DEPENDENCYPART_HEADBIGRAM
(3,2),(3,1),0.0971371 # DEPENDENCYPART_HEADBIGRAM
(3,2),(4,1),0.106928 # DEPENDENCYPART_HEADBIGRAM
(3,2),(13,1),0.109986 # DEPENDENCYPART_HEADBIGRAM
(3,4),(0,3),-0.0538507 # DEPENDENCYPART_HEADBIGRAM
(3,4),(1,3),-0.0432634 # DEPENDENCYPART_HEADBIGRAM
(3,4),(2,3),-0.0266394 # DEPENDENCYPART_HEADBIGRAM
(3,4),(7,3),0.0972417 # DEPENDENCYPART_HEADBIGRAM
(3,4),(13,3),0.0267265 # DEPENDENCYPART_HEADBIGRAM
(3,4),(18,3),0.124023 # DEPENDENCYPART_HEADBIGRAM
(3,4),(26,3),0.116341 # DEPENDENCYPART_HEADBIGRAM
(3,5),(2,4),-0.0684738 # DEPENDENCYPART_HEADBIGRAM
(3,5),(3,4),0.0739657 # DEPENDENCYPART_HEADBIGRAM
(3,5),(5,4),0.0300931 # DEPENDENCYPART_HEADBIGRAM
(3,5),(7,4),0.0740403 # DEPENDENCYPART_HEADBIGRAM
(3,5),(9,4),0.0740179 # DEPENDENCYPART_HEADBIGRAM
(3,5),(12,4),0.0782354 # DEPENDENCYPART_HEADBIGRAM
(3,5),(13,4),0.0699159 # DEPENDENCYPART_HEADBIGRAM
(3,5),(26,4),0.100548 # DEPENDENCYPART_HEADBIGRAM
(3,7),(4,6),0.0596561 # DEPENDENCYPART_HEADBIGRAM
(3,7),(5,6),0.0489215 # DEPENDENCYPART_HEADBIGRAM
(3,7),(7,6),0.0300745 # DEPENDENCYPART_HEADBIGRAM
(3,7),(9,6),-0.0184098 # DEPENDENCYPART_HEADBIGRAM
(3,7),(12,6),-0.00364556 # DEPENDENCYPART_HEADBIGRAM
(3,7),(13,6),0.108696 # DEPENDENCYPART_HEADBIGRAM
(3,7),(16,6),-0.00364814 # DEPENDENCYPART_HEADBIGRAM
(3,8),(3,7),0.09214 # DEPENDENCYPART_HEADBIGRAM
(3,8),(4,7),0.104602 # DEPENDENCYPART_HEADBIGRAM
(3,8),(5,7),0.0647662 # DEPENDENCYPART_HEADBIGRAM
(3,8),(9,7),0.096062 # DEPENDENCYPART_HEADBIGRAM
(3,8),(12,7),0.0959282 # DEPENDENCYPART_HEADBIGRAM
(3,8),(13,7),0.0930384 # DEPENDENCYPART_HEADBIGRAM
(3,8),(16,7),0.0962726 # DEPENDENCYPART_HEADBIGRAM
(3,8),(26,7),0.0965712 # DEPENDENCYPART_HEADBIGRAM
(3,9),(3,8),0.098222 # DEPENDENCYPART_HEADBIGRAM
(3,9),(7,8),0.253737 # DEPENDENCYPART_HEADBIGRAM
(3,9),(9,8),0.0616228 # DEPENDENCYPART_HEADBIGRAM
(3,10),(3,9),0.128694 # DEPENDENCYPART_HEADBIGRAM
(3,10),(4,9),0.0982045 # DEPENDENCYPART_HEADBIGRAM
(3,10),(5,9),0.0409896 # DEPENDENCYPART_HEADBIGRAM
(3,10),(7,9),0.0687441 # DEPENDENCYPART_HEADBIGRAM
(3,10),(12,9),0.000152139 # DEPENDENCYPART_HEADBIGRAM
(3,10),(13,9),0.0505911 # DEPENDENCYPART_HEADBIGRAM
(3,10),(15,9),0.0779217 # DEPENDENCYPART_HEADBIGRAM
(3,10),(16,9),0.000839832 # DEPENDENCYPART_HEADBIGRAM
(3,10),(18,9),0.0978407 # DEPENDENCYPART_HEADBIGRAM
(3,10),(26,9),0.113855 # DEPENDENCYPART_HEADBIGRAM
(3,12),(12,11),0.168814 # DEPENDENCYPART_HEADBIGRAM
(3,12),(13,11),0.084588 # DEPENDENCYPART_HEADBIGRAM
(3,12),(16,11),0.0613712 # DEPENDENCYPART_HEADBIGRAM
(3,12),(21,11),0.0650767 # DEPENDENCYPART_HEADBIGRAM
(3,13),(3,12),0.0190141 # DEPENDENCYPART_HEADBIGRAM
(3,13),(4,12),0.103921 # DEPENDENCYPART_HEADBIGRAM
(3,13),(5,12),0.309551 # DEPENDENCYPART_HEADBIGRAM
(3,13),(7,12),0.139332 # DEPENDENCYPART_HEADBIGRAM
(3,13),(9,12),0.133414 # DEPENDENCYPART_HEADBIGRAM
(3,13),(13,12),0.259865 # DEPENDENCYPART_HEADBIGRAM
(3,13),(15,12),0.0779975 # DEPENDENCYPART_HEADBIGRAM
(3,13),(16,12),0.0601179 # DEPENDENCYPART_HEADBIGRAM
(3,13),(18,12),0.10436 # DEPENDENCYPART_HEADBIGRAM
(3,13),(26,12),0.134562 # DEPENDENCYPART_HEADBIGRAM
(3,15),(13,14),0.1077 # DEPENDENCYPART_HEADBIGRAM
(3,15),(15,14),0.0969736 # DEPENDENCYPART_HEADBIGRAM
(3,15),(16,14),0.0953103 # DEPENDENCYPART_HEADBIGRAM
(3,15),(21,14),0.0953036 # DEPENDENCYPART_HEADBIGRAM
(3,16),(3,15),0.0374208 # DEPENDENCYPART_HEADBIGRAM
(3,16),(9,15),0.0785557 # DEPENDENCYPART_HEADBIGRAM
(3,16),(12,15),0.0761867 # DEPENDENCYPART_HEADBIGRAM
(3,16),(13,15),0.191985 # DEPENDENCYPART_HEADBIGRAM
(3,16),(16,15),0.114673 # DEPENDENCYPART_HEADBIGRAM
(3,16),(18,15),0.0765159 # DEPENDENCYPART_HEADBIGRAM
(3,16),(25,15),0.0515897 # DEPENDENCYPART_HEADBIGRAM
(3,16),(26,15),0.0742676 # DEPENDENCYPART_HEADBIGRAM
(3,17),(3,16),0.0853395 # DEPENDENCYPART_HEADBIGRAM
(3,17),(4,16),0.110388 # DEPENDENCYPART_HEADBIGRAM
(3,17),(5,16),0.0931479 # DEPENDENCYPART_HEADBIGRAM
(3,17),(7,16),0.0516615 # DEPENDENCYPART_HEADBIGRAM
(3,17),(9,16),0.075793 # DEPENDENCYPART_HEADBIGRAM
(3,17),(12,16),0.0683271 # DEPENDENCYPART_HEADBIGRAM
(3,17),(13,16),0.127485 # DEPENDENCYPART_HEADBIGRAM
(3,17),(17,16),0.13189 # DEPENDENCYPART_HEADBIGRAM
(3,17),(18,16),0.106853 # DEPENDENCYPART_HEADBIGRAM
(3,17),(26,16),0.110533 # DEPENDENCYPART_HEADBIGRAM
(3,18),(3,17),0.0572087 # DEPENDENCYPART_HEADBIGRAM
(3,18),(7,17),0.0927528 # DEPENDENCYPART_HEADBIGRAM
(3,18),(9,17),0.0927528 # DEPENDENCYPART_HEADBIGRAM
(3,18),(12,17),0.0880742 # DEPENDENCYPART_HEADBIGRAM
(3,18),(13,17),0.102578 # DEPENDENCYPART_HEADBIGRAM
(3,18),(15,17),0.0774806 # DEPENDENCYPART_HEADBIGRAM
(3,18),(16,17),0.0772552 # DEPENDENCYPART_HEADBIGRAM
(3,18),(18,17),0.346062 # DEPENDENCYPART_HEADBIGRAM
(3,18),(19,17),0.0953667 # DEPENDENCYPART_HEADBIGRAM
(3,18),(26,17),0.0590868 # DEPENDENCYPART_HEADBIGRAM
(3,22),(9,21),0.00357573 # DEPENDENCYPART_HEADBIGRAM
(3,22),(13,21),0.143447 # DEPENDENCYPART_HEADBIGRAM
(3,22),(16,21),0.0376662 # DEPENDENCYPART_HEADBIGRAM
(3,22),(17,21),0.180688 # DEPENDENCYPART_HEADBIGRAM
(3,22),(18,21),0.238123 # DEPENDENCYPART_HEADBIGRAM
(3,22),(19,21),0.203012 # DEPENDENCYPART_HEADBIGRAM
(3,22),(20,21),0.147282 # DEPENDENCYPART_HEADBIGRAM
(3,22),(24,21),0.0117227 # DEPENDENCYPART_HEADBIGRAM
(3,22),(25,21),-0.00232878 # DEPENDENCYPART_HEADBIGRAM
(3,22),(26,21),0.112869 # DEPENDENCYPART_HEADBIGRAM
(3,23),(3,22),0.235848 # DEPENDENCYPART_HEADBIGRAM
(3,23),(4,22),0.100993 # DEPENDENCYPART_HEADBIGRAM
(3,23),(9,22),0.0456444 # DEPENDENCYPART_HEADBIGRAM
(3,23),(13,22),0.0942571 # DEPENDENCYPART_HEADBIGRAM
(3,23),(16,22),0.0453321 # DEPENDENCYPART_HEADBIGRAM
(3,23),(18,22),0.0710173 # DEPENDENCYPART_HEADBIGRAM
(3,23),(19,22),0.109055 # DEPENDENCYPART_HEADBIGRAM
(3,23),(21,22),0.0410188 # DEPENDENCYPART_HEADBIGRAM
(3,23),(25,22),0.053621 # DEPENDENCYPART_HEADBIGRAM
(3,23),(26,22),0.0616742 # DEPENDENCYPART_HEADBIGRAM
(3,26),(13,25),0.0879917 # DEPENDENCYPART_HEADBIGRAM
(3,26),(16,25),0.0673787 # DEPENDENCYPART_HEADBIGRAM
(3,26),(18,25),0.0700299 # DEPENDENCYPART_HEADBIGRAM
(3,26),(19,25),0.00516935 # DEPENDENCYPART_HEADBIGRAM
(3,26),(21,25),0.0581057 # DEPENDENCYPART_HEADBIGRAM
(3,26),(24,25),0.0805598 # DEPENDENCYPART_HEADBIGRAM
(3,26),(26,25),0.292843 # DEPENDENCYPART_HEADBIGRAM
(3,27),(0,26),-0.0808881 # DEPENDENCYPART_HEADBIGRAM
(3,27),(3,26),0.0435403 # DEPENDENCYPART_HEADBIGRAM
(3,27),(13,26),0.190661 # DEPENDENCYPART_HEADBIGRAM
(3,27),(16,26),0.0276445 # DEPENDENCYPART_HEADBIGRAM
(3,27),(18,26),0.0833394 # DEPENDENCYPART_HEADBIGRAM
(3,27),(19,26),0.0686225 # DEPENDENCYPART_HEADBIGRAM
(3,27),(21,26),0.0708691 # DEPENDENCYPART_HEADBIGRAM
(3,27),(25,26),0.0616745 # DEPENDENCYPART_HEADBIGRAM
(4,2),(2,1),-0.101403 # DEPENDENCYPART_HEADBIGRAM
(4,2),(3,1),-0.12633 # DEPENDENCYPART_HEADBIGRAM
(4,2),(4,1),0.0428579 # DEPENDENCYPART_HEADBIGRAM
(4,2),(13,1),0.0883302 # DEPENDENCYPART_HEADBIGRAM
(4,5),(2,4),-0.0234256 # DEPENDENCYPART_HEADBIGRAM
(4,5),(3,4),0.162399 # DEPENDENCYPART_HEADBIGRAM
(4,5),(5,4),-0.0182339 # DEPENDENCYPART_HEADBIGRAM
(4,5),(7,4),0.0558752 # DEPENDENCYPART_HEADBIGRAM
(4,5),(9,4),0.054801 # DEPENDENCYPART_HEADBIGRAM
(4,5),(12,4),0.0638213 # DEPENDENCYPART_HEADBIGRAM
(4,5),(13,4),0.24802 # DEPENDENCYPART_HEADBIGRAM
(4,5),(26,4),0.302819 # DEPENDENCYPART_HEADBIGRAM
(4,6),(1,5),-0.0504462 # DEPENDENCYPART_HEADBIGRAM
(4,6),(2,5),-0.077915 # DEPENDENCYPART_HEADBIGRAM
(4,6),(3,5),-0.060915 # DEPENDENCYPART_HEADBIGRAM
(4,6),(4,5),0.0972779 # DEPENDENCYPART_HEADBIGRAM
(4,6),(7,5),0.0758966 # DEPENDENCYPART_HEADBIGRAM
(4,6),(9,5),0.0773063 # DEPENDENCYPART_HEADBIGRAM
(4,6),(13,5),0.109383 # DEPENDENCYPART_HEADBIGRAM
(4,6),(18,5),0.0937736 # DEPENDENCYPART_HEADBIGRAM
(4,7),(4,6),0.0933538 # DEPENDENCYPART_HEADBIGRAM
(4,7),(5,6),0.0678415 # DEPENDENCYPART_HEADBIGRAM
(4,7),(7,6),0.101402 # DEPENDENCYPART_HEADBIGRAM
(4,7),(9,6),0.0775142 # DEPENDENCYPART_HEADBIGRAM
(4,7),(12,6),0.0922774 # DEPENDENCYPART_HEADBIGRAM
(4,7),(13,6),0.0899917 # DEPENDENCYPART_HEADBIGRAM
(4,7),(16,6),0.0922774 # DEPENDENCYPART_HEADBIGRAM
(4,9),(3,8),-0.0575715 # DEPENDENCYPART_HEADBIGRAM
(4,9),(7,8),0.206673 # DEPENDENCYPART_HEADBIGRAM
(4,9),(9,8),0.114693 # DEPENDENCYPART_HEADBIGRAM
(4,10),(3,9),-0.0632662 # DEPENDENCYPART_HEADBIGRAM
(4,10),(4,9),0.0554233 # DEPENDENCYPART_HEADBIGRAM
(4,10),(5,9),0.148772 # DEPENDENCYPART_HEADBIGRAM
(4,10),(7,9),0.176357 # DEPENDENCYPART_HEADBIGRAM
(4,10),(12,9),0.0969438 # DEPENDENCYPART_HEADBIGRAM
(4,10),(13,9),0.143593 # DEPENDENCYPART_HEADBIGRAM
(4,10),(15,9),0.0863538 # DEPENDENCYPART_HEADBIGRAM
(4,10),(16,9),0.0933638 # DEPENDENCYPART_HEADBIGRAM
(4,10),(18,9),0.079228 # DEPENDENCYPART_HEADBIGRAM
(4,10),(26,9),0.0904211 # DEPENDENCYPART_HEADBIGRAM
(4,12),(12,11),0.0835415 # DEPENDENCYPART_HEADBIGRAM
(4,12),(13,11),0.0982586 # DEPENDENCYPART_HEADBIGRAM
(4,12),(16,11),0.107289 # DEPENDENCYPART_HEADBIGRAM
(4,12),(21,11),0.110994 # DEPENDENCYPART_HEADBIGRAM
(4,13),(3,12),-0.0576584 # DEPENDENCYPART_HEADBIGRAM
(4,13),(4,12),0.105008 # DEPENDENCYPART_HEADBIGRAM
(4,13),(5,12),0.107292 # DEPENDENCYPART_HEADBIGRAM
