# _root_ Meanwhile , the average yield on taxable funds dropped nearly a tenth of a percentage point , the largest drop since midsummer .
#goldHeads=9,9,5,5,9,5,8,6,0,12,12,9,12,16,16,13,9,20,20,9,20,21,9,
#predictedHeads=9,9,5,5,9,5,8,6,0,12,12,9,12,16,16,13,16,20,20,16,20,21,9,
(12,14),(12,16),(12,21),-0.0604981 # DEPENDENCYPART_TRISIBL
(12,14),(12,16),(12,22),-0.0782202 # DEPENDENCYPART_TRISIBL
(12,14),(12,16),(12,23),-0.0500638 # DEPENDENCYPART_TRISIBL
(12,14),(12,16),(12,24),-0.11177 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,14),(12,17),(12,20),-0.0766381 # DEPENDENCYPART_TRISIBL
(12,14),(12,17),(12,21),-0.0756089 # DEPENDENCYPART_TRISIBL
(12,14),(12,17),(12,22),-0.0765953 # DEPENDENCYPART_TRISIBL
(12,14),(12,17),(12,23),-0.0606412 # DEPENDENCYPART_TRISIBL
(12,14),(12,17),(12,24),-0.138158 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,14),(12,20),(12,21),-0.0605261 # DEPENDENCYPART_TRISIBL
(12,14),(12,20),(12,22),-0.0782203 # DEPENDENCYPART_TRISIBL
(12,14),(12,20),(12,23),-0.0500775 # DEPENDENCYPART_TRISIBL
(12,14),(12,20),(12,24),-0.111528 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,14),(12,21),(12,22),-0.0766483 # DEPENDENCYPART_TRISIBL
(12,14),(12,21),(12,23),-0.0596513 # DEPENDENCYPART_TRISIBL
(12,14),(12,21),(12,24),-0.134405 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,14),(12,22),(12,23),-0.0500638 # DEPENDENCYPART_TRISIBL
(12,14),(12,22),(12,24),-0.111528 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,14),(12,23),(12,24),-0.134962 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,15),(12,16),(12,17),-0.0455133 # DEPENDENCYPART_TRISIBL
(12,15),(12,16),(12,20),-0.0664013 # DEPENDENCYPART_TRISIBL
(12,15),(12,16),(12,21),-0.0886723 # DEPENDENCYPART_TRISIBL
(12,15),(12,16),(12,22),-0.0691615 # DEPENDENCYPART_TRISIBL
(12,15),(12,16),(12,23),-0.091166 # DEPENDENCYPART_TRISIBL
(12,15),(12,16),(12,24),-0.132691 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,15),(12,17),(12,20),-0.0782272 # DEPENDENCYPART_TRISIBL
(12,15),(12,17),(12,21),-0.0774904 # DEPENDENCYPART_TRISIBL
(12,15),(12,17),(12,22),-0.0825013 # DEPENDENCYPART_TRISIBL
(12,15),(12,17),(12,23),-0.125298 # DEPENDENCYPART_TRISIBL
(12,15),(12,17),(12,24),-0.0370613 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,15),(12,20),(12,21),-0.0875954 # DEPENDENCYPART_TRISIBL
(12,15),(12,20),(12,22),-0.0691615 # DEPENDENCYPART_TRISIBL
(12,15),(12,20),(12,23),-0.0890227 # DEPENDENCYPART_TRISIBL
(12,15),(12,20),(12,24),-0.129595 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,15),(12,21),(12,22),-0.0841241 # DEPENDENCYPART_TRISIBL
(12,15),(12,21),(12,23),-0.0913915 # DEPENDENCYPART_TRISIBL
(12,15),(12,21),(12,24),-0.125809 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,15),(12,22),(12,23),-0.0887266 # DEPENDENCYPART_TRISIBL
(12,15),(12,22),(12,24),-0.132689 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,15),(12,23),(12,24),-0.0455742 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,16),(12,17),(12,20),-0.0787408 # DEPENDENCYPART_TRISIBL
(12,16),(12,17),(12,21),-0.0788633 # DEPENDENCYPART_TRISIBL
(12,16),(12,17),(12,22),-0.0830149 # DEPENDENCYPART_TRISIBL
(12,16),(12,17),(12,23),-0.120236 # DEPENDENCYPART_TRISIBL
(12,16),(12,17),(12,24),-0.0280677 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,16),(12,20),(12,21),-0.0885595 # DEPENDENCYPART_TRISIBL
(12,16),(12,20),(12,22),-0.0696749 # DEPENDENCYPART_TRISIBL
(12,16),(12,20),(12,23),-0.0839583 # DEPENDENCYPART_TRISIBL
(12,16),(12,20),(12,24),-0.118728 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,16),(12,21),(12,22),-0.0846375 # DEPENDENCYPART_TRISIBL
(12,16),(12,21),(12,23),-0.0815397 # DEPENDENCYPART_TRISIBL
(12,16),(12,21),(12,24),-0.114827 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,16),(12,22),(12,23),-0.0836623 # DEPENDENCYPART_TRISIBL
(12,16),(12,22),(12,24),-0.121822 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,16),(12,23),(12,24),-0.0230232 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,17),(12,20),(12,21),-0.036485 # DEPENDENCYPART_TRISIBL
(12,17),(12,20),(12,22),-0.0825822 # DEPENDENCYPART_TRISIBL
(12,17),(12,20),(12,23),-0.240275 # DEPENDENCYPART_TRISIBL
(12,17),(12,20),(12,24),-0.10148 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,17),(12,21),(12,22),0.0128525 # DEPENDENCYPART_TRISIBL
(12,17),(12,21),(12,23),-0.103353 # DEPENDENCYPART_TRISIBL
(12,17),(12,21),(12,24),-0.0835684 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,17),(12,22),(12,23),-0.240184 # DEPENDENCYPART_TRISIBL
(12,17),(12,22),(12,24),-0.0989002 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,17),(12,23),(12,24),-0.278389 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,20),(12,21),(12,22),-0.0841281 # DEPENDENCYPART_TRISIBL
(12,20),(12,21),(12,23),-0.0921901 # DEPENDENCYPART_TRISIBL
(12,20),(12,21),(12,24),-0.114031 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,20),(12,22),(12,23),-0.0876546 # DEPENDENCYPART_TRISIBL
(12,20),(12,22),(12,24),-0.123069 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,20),(12,23),(12,24),-0.0296151 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,21),(12,22),(12,23),-0.080374 # DEPENDENCYPART_TRISIBL
(12,21),(12,22),(12,24),-0.0734404 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,21),(12,23),(12,24),-0.0990736 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,22),(12,23),(12,24),-0.0376906 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,11),(12,10),-0.135577 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,11),(12,8),-0.160148 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,11),(12,7),-0.135163 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,11),(12,3),-0.116871 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,11),(12,2),-0.00728229 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,11),(12,-1),-0.167555 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,10),(12,8),-0.105737 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,10),(12,7),-0.119245 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,10),(12,3),-0.0333229 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,10),(12,2),-0.119608 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,10),(12,-1),-0.0603204 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,8),(12,7),-0.0848472 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,8),(12,3),-0.0352478 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,8),(12,2),-0.178328 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,8),(12,-1),-0.177957 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,7),(12,3),-0.0983185 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,7),(12,2),-0.115189 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,7),(12,-1),-0.109363 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,3),(12,2),0.00291371 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,3),(12,-1),-0.0811943 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,2),(12,-1),-0.399755 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,11),(12,10),(12,8),-0.112887 # DEPENDENCYPART_TRISIBL
(12,11),(12,10),(12,7),-0.101246 # DEPENDENCYPART_TRISIBL
(12,11),(12,10),(12,3),-0.242952 # DEPENDENCYPART_TRISIBL
(12,11),(12,10),(12,2),-0.0750688 # DEPENDENCYPART_TRISIBL
(12,11),(12,10),(12,-1),-0.0776943 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,11),(12,8),(12,7),-0.142974 # DEPENDENCYPART_TRISIBL
(12,11),(12,8),(12,3),-0.242357 # DEPENDENCYPART_TRISIBL
(12,11),(12,8),(12,2),-0.0752146 # DEPENDENCYPART_TRISIBL
(12,11),(12,8),(12,-1),-0.0839756 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,11),(12,7),(12,3),-0.256611 # DEPENDENCYPART_TRISIBL
(12,11),(12,7),(12,2),-0.0735698 # DEPENDENCYPART_TRISIBL
(12,11),(12,7),(12,-1),-0.0750071 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,11),(12,3),(12,2),-0.0737475 # DEPENDENCYPART_TRISIBL
(12,11),(12,3),(12,-1),-0.1753 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,11),(12,2),(12,-1),-0.146769 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,8),(12,7),-0.072754 # DEPENDENCYPART_TRISIBL
(12,10),(12,8),(12,3),-0.155518 # DEPENDENCYPART_TRISIBL
(12,10),(12,8),(12,2),0.015374 # DEPENDENCYPART_TRISIBL
(12,10),(12,8),(12,-1),-0.0794925 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,7),(12,3),-0.129812 # DEPENDENCYPART_TRISIBL
(12,10),(12,7),(12,2),-0.0217701 # DEPENDENCYPART_TRISIBL
(12,10),(12,7),(12,-1),-0.102046 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,3),(12,2),-0.0227305 # DEPENDENCYPART_TRISIBL
(12,10),(12,3),(12,-1),-0.026446 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,2),(12,-1),-0.183715 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,8),(12,7),(12,3),0.0365729 # DEPENDENCYPART_TRISIBL
(12,8),(12,7),(12,2),-0.146692 # DEPENDENCYPART_TRISIBL
(12,8),(12,7),(12,-1),-0.0880725 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,8),(12,3),(12,2),-0.154891 # DEPENDENCYPART_TRISIBL
(12,8),(12,3),(12,-1),-0.0320341 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,8),(12,2),(12,-1),-0.238614 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,7),(12,3),(12,2),-0.0492877 # DEPENDENCYPART_TRISIBL
(12,7),(12,3),(12,-1),0.0371558 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,7),(12,2),(12,-1),-0.240472 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,3),(12,2),(12,-1),-0.123017 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,14),(13,15),-0.0102461 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,16),-0.0152535 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,17),-0.0383306 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,20),-0.0125665 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,22),-0.00823251 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,23),-0.13805 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,24),0.0060826 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,15),(13,16),-0.119932 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,15),(13,17),0.0754369 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,15),(13,20),-0.111807 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,15),(13,22),-0.110763 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,15),(13,23),-0.167132 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,15),(13,24),0.326479 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,16),(13,17),0.078333 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,16),(13,20),-0.112153 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,16),(13,22),-0.111108 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,16),(13,23),-0.152302 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,16),(13,24),0.33452 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,17),(13,20),-0.138733 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,22),-0.13191 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,23),-0.152143 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,24),-0.21382 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,20),(13,22),-0.110774 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,20),(13,23),-0.159799 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,20),(13,24),0.331488 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,22),(13,23),-0.163371 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,22),(13,24),0.32383 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,23),(13,24),-0.0561743 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,14),(13,15),(13,16),-0.0782384 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,17),-0.0902683 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,20),-0.0782809 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,22),-0.0782381 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,23),-0.0491331 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,24),0.0180163 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,16),(13,17),-0.0902802 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,20),-0.0782809 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,22),-0.0782381 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,23),-0.0491331 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,24),0.0175395 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,17),(13,20),-0.0732799 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,22),-0.0732371 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,23),-0.063152 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,24),-0.0330839 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,20),(13,22),-0.0782383 # DEPENDENCYPART_TRISIBL
(13,14),(13,20),(13,23),-0.0491468 # DEPENDENCYPART_TRISIBL
(13,14),(13,20),(13,24),0.0180244 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,22),(13,23),-0.0491331 # DEPENDENCYPART_TRISIBL
(13,14),(13,22),(13,24),0.0180244 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,23),(13,24),-0.0632429 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,16),(13,17),-0.0430348 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,20),-0.142348 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,22),-0.14359 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,23),-0.0947016 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,24),-0.107385 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,17),(13,20),-0.176091 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,22),-0.178848 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,23),-0.11158 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,24),-0.0327151 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,20),(13,22),-0.14359 # DEPENDENCYPART_TRISIBL
(13,15),(13,20),(13,23),-0.0925579 # DEPENDENCYPART_TRISIBL
(13,15),(13,20),(13,24),-0.105885 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,22),(13,23),-0.0922622 # DEPENDENCYPART_TRISIBL
(13,15),(13,22),(13,24),-0.107383 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,23),(13,24),-0.117254 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,17),(13,20),-0.176603 # DEPENDENCYPART_TRISIBL
(13,16),(13,17),(13,22),-0.179359 # DEPENDENCYPART_TRISIBL
(13,16),(13,17),(13,23),-0.106518 # DEPENDENCYPART_TRISIBL
(13,16),(13,17),(13,24),-0.0212328 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,20),(13,22),-0.144102 # DEPENDENCYPART_TRISIBL
(13,16),(13,20),(13,23),-0.0874936 # DEPENDENCYPART_TRISIBL
(13,16),(13,20),(13,24),-0.0935603 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,22),(13,23),-0.0871979 # DEPENDENCYPART_TRISIBL
(13,16),(13,22),(13,24),-0.0950581 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,23),(13,24),-0.0932303 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,17),(13,20),(13,22),-0.0918293 # DEPENDENCYPART_TRISIBL
(13,17),(13,20),(13,23),-0.132115 # DEPENDENCYPART_TRISIBL
(13,17),(13,20),(13,24),-0.162349 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,17),(13,22),(13,23),-0.132024 # DEPENDENCYPART_TRISIBL
(13,17),(13,22),(13,24),-0.162188 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,17),(13,23),(13,24),-0.214 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,20),(13,22),(13,23),-0.0911902 # DEPENDENCYPART_TRISIBL
(13,20),(13,22),(13,24),-0.097302 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,20),(13,23),(13,24),-0.100816 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,22),(13,23),(13,24),-0.107852 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,12),(13,11),-0.0706423 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,10),-0.0771181 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,-1),-0.202253 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,11),(13,10),-0.0986781 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,-1),-0.262692 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,10),(13,-1),-0.164734 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,11),(13,10),-0.0255066 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,-1),-0.0905275 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,10),(13,-1),-0.113322 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,11),(13,10),(13,-1),-0.119957 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,15),(14,24),-0.184582 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,15),(15,16),(15,20),-0.120624 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,22),-0.116028 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,24),-0.109406 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,15),(15,20),(15,22),-0.115694 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,20),(15,24),-0.12145 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,15),(15,22),(15,24),-0.114283 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,16),(15,20),(15,22),-0.0696749 # DEPENDENCYPART_TRISIBL
(15,16),(15,20),(15,24),-0.11873 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,16),(15,22),(15,24),-0.121823 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,20),(15,22),(15,24),-0.123071 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,14),(15,10),-0.13599 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,14),(15,-1),-0.176485 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,10),(15,-1),-0.0715776 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,14),(15,10),(15,-1),-0.0790236 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,17),(16,18),-0.127263 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,19),-0.111235 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,20),-0.0656242 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,21),-0.20911 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,22),-0.0552488 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,23),-0.198197 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,24),-0.677913 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,18),(16,19),-0.0269298 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,20),-0.209104 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,21),-0.124874 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,22),-0.201219 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,23),-0.132212 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,24),-0.226466 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,19),(16,20),-0.191125 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,21),-0.102253 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,22),-0.183286 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,23),-0.141843 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,24),-0.069978 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,20),(16,21),-0.0662589 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,22),-0.116439 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,23),-0.11029 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,24),-0.118669 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,21),(16,22),-0.168702 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,21),(16,23),-0.160261 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,21),(16,24),-0.167909 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,22),(16,23),-0.11386 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,22),(16,24),-0.111502 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,23),(16,24),-0.213947 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,17),(16,18),(16,19),-0.0619767 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,20),0.00482013 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,21),-0.0760892 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,22),0.00488327 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,23),-0.11725 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,24),-0.133693 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,19),(16,20),0.0520544 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,21),-0.0804571 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,22),0.0521176 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,23),-0.13991 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,24),-0.165539 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,20),(16,21),-0.0364859 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,22),-0.0825861 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,23),-0.240277 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,24),-0.102304 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,21),(16,22),0.0128486 # DEPENDENCYPART_TRISIBL
(16,17),(16,21),(16,23),-0.103355 # DEPENDENCYPART_TRISIBL
(16,17),(16,21),(16,24),-0.0849604 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,22),(16,23),-0.240185 # DEPENDENCYPART_TRISIBL
(16,17),(16,22),(16,24),-0.0997239 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,23),(16,24),-0.279205 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,19),(16,20),-0.0797675 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,21),-0.0783117 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,22),-0.0797247 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,23),-0.0605741 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,24),-0.0563272 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,20),(16,21),-0.074625 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,22),-0.0806183 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,23),-0.0472948 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,24),-0.125891 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,21),(16,22),-0.079054 # DEPENDENCYPART_TRISIBL
(16,18),(16,21),(16,23),-0.0571448 # DEPENDENCYPART_TRISIBL
(16,18),(16,21),(16,24),-0.134588 # DEPENDENCYPART_TRISIBL_LAST_SIBS
