# _root_ As they did when the Philippines was a colony of the U.S. , teachers for the most part teach in English , even though it is a foreign language for most Philippine children .
#goldHeads=3,3,19,7,6,7,3,9,7,9,12,10,19,19,19,18,18,15,0,19,20,19,26,26,26,19,29,29,26,26,33,33,30,19,
#predictedHeads=3,3,19,7,6,7,3,9,7,9,12,10,19,19,14,18,18,15,0,19,20,19,26,26,26,19,29,29,26,29,33,33,30,19,
(3,9),(3,22),(3,35),-0.0821031 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,9),(3,26),(3,34),-0.0423542 # DEPENDENCYPART_TRISIBL
(3,9),(3,26),(3,35),-0.0232552 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,9),(3,34),(3,35),0.00439543 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,10),(3,12),(3,13),-0.060222 # DEPENDENCYPART_TRISIBL
(3,10),(3,12),(3,15),-0.106077 # DEPENDENCYPART_TRISIBL
(3,10),(3,12),(3,19),-0.0630235 # DEPENDENCYPART_TRISIBL
(3,10),(3,12),(3,22),-0.060222 # DEPENDENCYPART_TRISIBL
(3,10),(3,12),(3,26),-0.0966055 # DEPENDENCYPART_TRISIBL
(3,10),(3,12),(3,34),-0.0766507 # DEPENDENCYPART_TRISIBL
(3,10),(3,12),(3,35),-0.0251171 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,10),(3,13),(3,15),-0.0701238 # DEPENDENCYPART_TRISIBL
(3,10),(3,13),(3,19),-0.0805081 # DEPENDENCYPART_TRISIBL
(3,10),(3,13),(3,22),-0.0723448 # DEPENDENCYPART_TRISIBL
(3,10),(3,13),(3,26),-0.118165 # DEPENDENCYPART_TRISIBL
(3,10),(3,13),(3,34),-0.101506 # DEPENDENCYPART_TRISIBL
(3,10),(3,13),(3,35),-0.238881 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,10),(3,15),(3,19),-0.109018 # DEPENDENCYPART_TRISIBL
(3,10),(3,15),(3,22),-0.100932 # DEPENDENCYPART_TRISIBL
(3,10),(3,15),(3,26),-0.146136 # DEPENDENCYPART_TRISIBL
(3,10),(3,15),(3,34),-0.0872425 # DEPENDENCYPART_TRISIBL
(3,10),(3,15),(3,35),-0.0633139 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,10),(3,19),(3,22),-0.042672 # DEPENDENCYPART_TRISIBL
(3,10),(3,19),(3,26),-0.118312 # DEPENDENCYPART_TRISIBL
(3,10),(3,19),(3,34),-0.11523 # DEPENDENCYPART_TRISIBL
(3,10),(3,19),(3,35),-0.0666692 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,10),(3,22),(3,26),-0.118165 # DEPENDENCYPART_TRISIBL
(3,10),(3,22),(3,34),-0.101506 # DEPENDENCYPART_TRISIBL
(3,10),(3,22),(3,35),-0.238881 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,10),(3,26),(3,34),-0.133941 # DEPENDENCYPART_TRISIBL
(3,10),(3,26),(3,35),-0.0796554 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,10),(3,34),(3,35),-0.0224266 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,12),(3,13),(3,15),-0.00547563 # DEPENDENCYPART_TRISIBL
(3,12),(3,13),(3,19),-0.0432729 # DEPENDENCYPART_TRISIBL
(3,12),(3,13),(3,22),-0.0522274 # DEPENDENCYPART_TRISIBL
(3,12),(3,13),(3,26),-0.062598 # DEPENDENCYPART_TRISIBL
(3,12),(3,13),(3,34),-0.0427753 # DEPENDENCYPART_TRISIBL
(3,12),(3,13),(3,35),-0.0865982 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,12),(3,15),(3,19),-0.0457428 # DEPENDENCYPART_TRISIBL
(3,12),(3,15),(3,22),0.0209841 # DEPENDENCYPART_TRISIBL
(3,12),(3,15),(3,26),-0.0535036 # DEPENDENCYPART_TRISIBL
(3,12),(3,15),(3,34),-0.0120505 # DEPENDENCYPART_TRISIBL
(3,12),(3,15),(3,35),-0.0642256 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,12),(3,19),(3,22),-0.00950541 # DEPENDENCYPART_TRISIBL
(3,12),(3,19),(3,26),-0.073828 # DEPENDENCYPART_TRISIBL
(3,12),(3,19),(3,34),-0.0319196 # DEPENDENCYPART_TRISIBL
(3,12),(3,19),(3,35),-0.0499831 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,12),(3,22),(3,26),-0.062598 # DEPENDENCYPART_TRISIBL
(3,12),(3,22),(3,34),-0.0427753 # DEPENDENCYPART_TRISIBL
(3,12),(3,22),(3,35),-0.0865982 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,12),(3,26),(3,34),-0.0387952 # DEPENDENCYPART_TRISIBL
(3,12),(3,26),(3,35),-0.0303378 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,12),(3,34),(3,35),-0.00264866 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,13),(3,15),(3,19),0.0132206 # DEPENDENCYPART_TRISIBL
(3,13),(3,15),(3,22),0.210873 # DEPENDENCYPART_TRISIBL
(3,13),(3,15),(3,26),0.0307115 # DEPENDENCYPART_TRISIBL
(3,13),(3,15),(3,34),-0.00805275 # DEPENDENCYPART_TRISIBL
(3,13),(3,15),(3,35),-0.0167141 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,13),(3,19),(3,22),0.219703 # DEPENDENCYPART_TRISIBL
(3,13),(3,19),(3,26),-0.0097749 # DEPENDENCYPART_TRISIBL
(3,13),(3,19),(3,34),0.0452791 # DEPENDENCYPART_TRISIBL
(3,13),(3,19),(3,35),0.042052 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,13),(3,22),(3,26),-0.049619 # DEPENDENCYPART_TRISIBL
(3,13),(3,22),(3,34),0.0263173 # DEPENDENCYPART_TRISIBL
(3,13),(3,22),(3,35),-0.0459995 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,13),(3,26),(3,34),0.0554728 # DEPENDENCYPART_TRISIBL
(3,13),(3,26),(3,35),0.044901 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,13),(3,34),(3,35),-0.0733579 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,15),(3,19),(3,22),-0.0448192 # DEPENDENCYPART_TRISIBL
(3,15),(3,19),(3,26),-0.106978 # DEPENDENCYPART_TRISIBL
(3,15),(3,19),(3,34),-0.0734081 # DEPENDENCYPART_TRISIBL
(3,15),(3,19),(3,35),-0.0627946 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,15),(3,22),(3,26),-0.130877 # DEPENDENCYPART_TRISIBL
(3,15),(3,22),(3,34),-0.0654816 # DEPENDENCYPART_TRISIBL
(3,15),(3,22),(3,35),-0.194518 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,15),(3,26),(3,34),-0.0921199 # DEPENDENCYPART_TRISIBL
(3,15),(3,26),(3,35),-0.0757808 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,15),(3,34),(3,35),-0.0167661 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,19),(3,22),(3,26),-0.033854 # DEPENDENCYPART_TRISIBL
(3,19),(3,22),(3,34),-0.0543423 # DEPENDENCYPART_TRISIBL
(3,19),(3,22),(3,35),-0.0789435 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,19),(3,26),(3,34),-0.0934997 # DEPENDENCYPART_TRISIBL
(3,19),(3,26),(3,35),-0.0522993 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,19),(3,34),(3,35),0.0132316 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,22),(3,26),(3,34),0.0554728 # DEPENDENCYPART_TRISIBL
(3,22),(3,26),(3,35),0.044901 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,22),(3,34),(3,35),-0.0733579 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,26),(3,34),(3,35),0.00856635 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,3),(3,2),(3,1),0.0177145 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,2),(3,-1),-0.0287118 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,3),(3,1),(3,-1),-0.15013 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,2),(3,1),(3,-1),0.0859008 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,5),(5,7),(5,35),-0.205444 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,7),(6,9),-0.146894 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,10),-0.139887 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,12),-0.164566 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,14),-0.146893 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,35),-0.119933 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,9),(6,10),-0.0427645 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,12),-0.116001 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,14),-0.0965491 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,35),-0.105362 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,10),(6,12),-0.136963 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,14),-0.115043 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,35),-0.0465552 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,12),(6,14),-0.100093 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,12),(6,35),-0.122372 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,14),(6,35),-0.105963 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,7),(6,9),(6,10),-0.0103369 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,12),-0.0758016 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,14),-0.0757969 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,35),-0.120439 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,10),(6,12),-0.0786342 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,14),-0.0786295 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,35),-0.0721359 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,12),(6,14),-0.0758804 # DEPENDENCYPART_TRISIBL
(6,7),(6,12),(6,35),-0.120508 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,14),(6,35),-0.120439 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,9),(6,10),(6,12),-0.103513 # DEPENDENCYPART_TRISIBL
(6,9),(6,10),(6,14),-0.102809 # DEPENDENCYPART_TRISIBL
(6,9),(6,10),(6,35),-0.0752623 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,9),(6,12),(6,14),-0.0815814 # DEPENDENCYPART_TRISIBL
(6,9),(6,12),(6,35),-0.115666 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,9),(6,14),(6,35),-0.114564 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,10),(6,12),(6,14),-0.0306355 # DEPENDENCYPART_TRISIBL
(6,10),(6,12),(6,35),-0.0193707 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,10),(6,14),(6,35),-0.0136061 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,12),(6,14),(6,35),-0.125113 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,5),(6,3),-0.178346 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,5),(6,2),-0.179536 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,5),(6,-1),-0.15137 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,3),(6,2),-0.0962897 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,3),(6,-1),-0.225013 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,2),(6,-1),-0.110275 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,5),(6,3),(6,2),-0.0622243 # DEPENDENCYPART_TRISIBL
(6,5),(6,3),(6,-1),-0.215355 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,5),(6,2),(6,-1),-0.15387 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,3),(6,2),(6,-1),-0.138913 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,8),(7,9),-0.0938821 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,10),-0.184812 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,11),-0.130751 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,12),-0.110066 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,13),-0.108892 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,14),-0.0938816 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,15),-0.112224 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,18),-0.0862918 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,19),-0.0987582 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,22),-0.108892 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,23),-0.0650765 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,24),-0.179509 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,26),-0.0977998 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,34),-0.0164911 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,35),-0.0249788 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,9),(7,10),-0.0512794 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,11),-0.131124 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,12),-0.0419568 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,13),0.025016 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,14),-0.0245542 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,15),0.0147715 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,18),-0.0311924 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,19),-0.00197852 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,22),0.025016 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,23),-0.00216814 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,24),-0.0447661 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,26),0.00768688 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,34),0.0552763 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,35),0.0656249 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,10),(7,11),-0.105886 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,12),-0.0974492 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,13),-0.0842887 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,14),-0.0775791 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,15),-0.100786 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,18),-0.077658 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,19),-0.109776 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,22),-0.0842887 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,23),-0.0625933 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,24),-0.172745 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,26),-0.12032 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,34),-0.0343593 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,35),0.00916365 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,11),(7,12),-0.132496 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,13),-0.101317 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,14),-0.116312 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,15),-0.10114 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,18),-0.108722 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,19),-0.106937 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,22),-0.101317 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,23),-0.061731 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,24),-0.168425 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,26),-0.105979 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,34),-0.0246668 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,35),-0.0528047 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,12),(7,13),0.0315338 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,12),(7,14),-0.0311863 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,12),(7,15),0.0168932 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,12),(7,18),-0.0378246 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,12),(7,19),-0.00218094 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,12),(7,22),0.0315338 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,12),(7,23),-0.00228998 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,12),(7,24),-0.0426444 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,12),(7,26),0.00748445 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,12),(7,34),0.0551651 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,12),(7,35),0.0443706 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,13),(7,14),-0.284842 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,13),(7,15),-0.224471 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,13),(7,18),-0.289936 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,13),(7,19),-0.189612 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,13),(7,22),-0.147084 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,13),(7,23),-0.232952 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,13),(7,24),-0.284884 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,13),(7,26),-0.170559 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,13),(7,34),-0.0340346 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,13),(7,35),-0.135462 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,14),(7,15),0.0147722 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,18),-0.0311924 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,19),-0.00197852 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,22),0.025016 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,23),-0.00216814 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,24),-0.0447654 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,26),0.00768688 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,34),0.0552763 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,35),0.0650981 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,15),(7,18),-0.0638481 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,15),(7,19),-0.127379 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,15),(7,22),-0.0537602 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,15),(7,23),-0.0827493 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,15),(7,24),-0.115374 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,15),(7,26),-0.137923 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,15),(7,34),-0.0630517 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,15),(7,35),-0.0220485 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,18),(7,19),6.72005e-08 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,18),(7,22),0.0422523 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,18),(7,23),-0.0022254 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,18),(7,24),-0.0507637 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,18),(7,26),0.00966547 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,18),(7,34),0.0492149 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,18),(7,35),0.0618476 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,19),(7,22),-0.00109112 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,19),(7,23),-0.0667931 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,19),(7,24),-0.0948403 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,19),(7,26),-0.0462001 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,19),(7,34),0.0822345 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,19),(7,35),0.0921547 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,22),(7,23),-0.232952 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,22),(7,24),-0.284884 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,22),(7,26),-0.170559 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,22),(7,34),-0.0340346 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,22),(7,35),-0.135462 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,23),(7,24),-0.0943783 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,23),(7,26),-0.0812424 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,23),(7,34),-0.00150837 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,23),(7,35),-0.0153037 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,24),(7,26),-0.104388 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,24),(7,34),-0.055752 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,24),(7,35),-0.0598467 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,26),(7,34),0.10958 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,26),(7,35),0.0826956 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,34),(7,35),-0.115338 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,8),(7,9),(7,10),-0.0672045 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,11),-0.0630614 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,12),-0.0913047 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,13),-0.0830284 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,14),-0.0913045 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,15),-0.0887093 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,18),-0.091315 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,19),-0.109799 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,22),-0.0830284 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,23),-0.0651541 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,24),-0.0842332 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,26),-0.11169 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,34),0.0218088 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,35),-0.0341182 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,10),(7,11),-0.0628102 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,12),-0.0725331 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,13),-0.0794043 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,14),-0.0725329 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,15),-0.112161 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,18),-0.0725402 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,19),-0.083227 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,22),-0.0794043 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,23),-0.0640775 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,24),-0.106768 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,26),-0.0849091 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,34),-0.0670747 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,35),-0.00664574 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,11),(7,12),-0.0674393 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,13),-0.0794874 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,14),-0.067439 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,15),-0.0899643 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,18),-0.0674463 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,19),-0.0927177 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,22),-0.0794874 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,23),-0.063925 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,24),-0.086037 # DEPENDENCYPART_TRISIBL
