# _root_ `` Because of distance , it takes a while for them to appreciate the economic stability we 've achieved , '' says one economic policymaker .
#goldHeads=22,7,2,2,7,7,22,9,7,13,13,13,7,16,16,13,18,16,18,22,22,0,25,25,22,22,
#predictedHeads=22,7,2,2,7,7,22,9,7,13,13,13,7,16,16,13,18,16,18,22,22,0,25,25,22,22,
(25,18),(18,18),(18,15),-0.00802338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,18),(18,18),(18,14),-0.0388569 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,18),(18,18),(18,13),-0.0372282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,18),(18,18),(18,12),-0.0588036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,18),(18,18),(18,11),-0.0673698 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,18),(18,18),(18,10),-0.0510906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,18),(18,18),(18,9),-0.0338343 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,18),(18,18),(18,7),-0.0372282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,18),(18,18),(18,5),-0.0734848 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,18),(18,18),(18,4),-0.0268281 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,18),(18,18),(18,3),-0.0370707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,18),(18,18),(18,2),-0.0367806 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,18),(18,18),(18,1),-0.0507973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,18),(18,18),(18,-1),0.0653515 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,18),(18,17),(18,16),-0.0400907 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,17),(18,15),-0.0447799 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,17),(18,14),-0.0420048 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,17),(18,13),-0.038696 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,17),(18,12),-0.0427936 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,17),(18,11),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,17),(18,10),-0.0413302 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,17),(18,9),-0.0400907 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,17),(18,7),-0.038696 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,17),(18,5),-0.0482487 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,17),(18,4),-0.0400907 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,17),(18,3),-0.0409503 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,17),(18,2),-0.0413861 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,17),(18,1),-0.0455713 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,17),(18,-1),-0.066288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,18),(18,16),(18,15),-0.038947 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,16),(18,14),-0.0426119 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,16),(18,13),-0.0538322 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,16),(18,12),-0.0612975 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,16),(18,11),-0.0387387 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,16),(18,10),-0.00447358 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,16),(18,9),-0.037932 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,16),(18,7),-0.055114 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,16),(18,5),-0.0662857 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,16),(18,4),-0.0341321 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,16),(18,3),-0.0145513 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,16),(18,2),-0.00760631 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,16),(18,1),-0.046493 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,16),(18,-1),-0.0508112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,18),(18,15),(18,14),-0.0419995 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,15),(18,13),-0.0551824 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,15),(18,12),-0.0441902 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,15),(18,11),-0.041999 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,15),(18,10),-0.0464393 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,15),(18,9),-0.0401813 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,15),(18,7),-0.0551824 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,15),(18,5),-0.0349983 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,15),(18,4),-0.0400417 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,15),(18,3),-0.0504785 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,15),(18,2),-0.0508684 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,15),(18,1),-0.0426926 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,15),(18,-1),0.0347797 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,18),(18,14),(18,13),-0.038842 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,14),(18,12),-0.0428284 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,14),(18,11),-0.0420003 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,14),(18,10),-0.0521648 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,14),(18,9),-0.0440846 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,14),(18,7),-0.038842 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,14),(18,5),-0.042167 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,14),(18,4),-0.0440846 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,14),(18,3),-0.0532414 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,14),(18,2),-0.0521563 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,14),(18,1),-0.0420039 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,14),(18,-1),-0.0355693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,18),(18,13),(18,12),-0.0481233 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,13),(18,11),-0.0424043 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,13),(18,10),-0.050197 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,13),(18,9),-0.0470011 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,13),(18,7),-0.0436735 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,13),(18,5),-0.0347739 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,13),(18,4),-0.0470011 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,13),(18,3),-0.04753 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,13),(18,2),-0.0473279 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,13),(18,1),-0.0425582 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,13),(18,-1),-0.0762883 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,18),(18,12),(18,11),-0.0421064 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,12),(18,10),-0.0667577 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,12),(18,9),-0.0631864 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,12),(18,7),-0.0593019 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,12),(18,5),-0.0532386 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,12),(18,4),-0.0631862 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,12),(18,3),-0.0551903 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,12),(18,2),-0.0551647 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,12),(18,1),-0.0420167 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,12),(18,-1),-0.0462536 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,18),(18,11),(18,10),-0.0426297 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,11),(18,9),-0.0401307 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,11),(18,7),-0.0403039 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,11),(18,5),-0.0490442 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,11),(18,4),-0.0401307 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,11),(18,3),-0.0422497 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,11),(18,2),-0.0426856 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,11),(18,1),-0.0450863 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,11),(18,-1),-0.0643122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,18),(18,10),(18,9),-0.034911 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,10),(18,7),-0.0398303 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,10),(18,5),-0.0221419 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,10),(18,4),-0.034911 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,10),(18,3),-0.0432742 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,10),(18,2),-0.0409773 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,10),(18,1),-0.0392883 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,10),(18,-1),-0.0293588 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,18),(18,9),(18,7),-0.055114 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,9),(18,5),-0.0662857 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,9),(18,4),-0.0341321 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,9),(18,3),-0.0151005 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,9),(18,2),-0.00815551 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,9),(18,1),-0.046493 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,9),(18,-1),-0.0616545 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,18),(18,7),(18,5),-0.0347739 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,7),(18,4),-0.0470823 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,7),(18,3),-0.04753 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,7),(18,2),-0.0473279 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,7),(18,1),-0.0425582 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,7),(18,-1),-0.0776632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,18),(18,5),(18,4),-0.0356703 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,5),(18,3),-0.0631773 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,5),(18,2),-0.0614148 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,5),(18,1),-0.0218883 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,5),(18,-1),-0.0932716 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,18),(18,4),(18,3),-0.0145513 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,4),(18,2),-0.00760631 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,4),(18,1),-0.046493 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,4),(18,-1),-0.0508312 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,18),(18,3),(18,2),-0.0513369 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,3),(18,1),-0.0392749 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,3),(18,-1),-0.0200213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,18),(18,2),(18,1),-0.0392749 # DEPENDENCYPART_GRANDSIBL
(25,18),(18,2),(18,-1),-0.0208858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,18),(18,1),(18,-1),-0.0434942 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,19),(19,20),0.139982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,21),0.103047 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,22),0.166075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,23),0.0703171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,25),-0.175297 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,19),(19,19),(19,26),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,27),0.0506893 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,19),(19,20),(19,21),0.118785 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,20),(19,22),0.127555 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,20),(19,23),0.117795 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,20),(19,25),-0.125259 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,20),(19,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,20),(19,27),-0.188082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,21),(19,22),0.119093 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,21),(19,23),0.118913 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,21),(19,25),-0.124921 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,21),(19,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,21),(19,27),-0.158506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,22),(19,23),0.119122 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,22),(19,25),-0.124893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,22),(19,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,22),(19,27),-0.146347 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,23),(19,25),-0.124935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,23),(19,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,23),(19,27),-0.194755 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,25),(19,26),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,25),(19,27),-0.0300048 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,19),(19,26),(19,27),-0.127823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,19),(19,18),-0.0408162 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,17),-0.0609213 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,16),-0.0273179 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,15),-0.00802338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,10),-0.0443687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,9),-0.0343441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,5),-0.0734363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,2),-0.0300588 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,19),(19,19),(19,-1),0.0675265 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,19),(19,18),(19,17),-0.0424043 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,18),(19,16),-0.0470011 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,18),(19,15),-0.0433435 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,18),(19,10),-0.0500108 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,18),(19,9),-0.0470011 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,18),(19,5),-0.0347739 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,18),(19,2),-0.0471417 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,18),(19,-1),-0.0849361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,17),(19,16),-0.0400907 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,17),(19,15),-0.0447799 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,17),(19,10),-0.0413302 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,17),(19,9),-0.0400907 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,17),(19,5),-0.0482487 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,17),(19,2),-0.0413861 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,17),(19,-1),-0.0649538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,16),(19,15),-0.038947 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,16),(19,10),-0.00447358 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,16),(19,9),-0.037932 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,16),(19,5),-0.0663227 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,16),(19,2),-0.00760631 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,16),(19,-1),-0.0511608 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,15),(19,10),-0.0464393 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,15),(19,9),-0.0401813 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,15),(19,5),-0.0349983 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,15),(19,2),-0.0508684 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,15),(19,-1),0.0347797 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,10),(19,9),-0.034911 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,10),(19,5),-0.0221419 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,10),(19,2),-0.0409773 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,10),(19,-1),-0.0224501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,9),(19,5),-0.0663227 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,9),(19,2),-0.00815551 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,9),(19,-1),-0.0620041 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,5),(19,2),-0.0614148 # DEPENDENCYPART_GRANDSIBL
(25,19),(19,5),(19,-1),-0.0933079 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,19),(19,2),(19,-1),-0.0139772 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,20),(20,27),-0.091128 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,20),(20,20),(20,-1),-0.00625752 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,21),(21,21),(21,27),-0.122933 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,21),(21,21),(21,-1),-0.041507 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,22),(22,22),(22,23),0.0699891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,24),0.0474907 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,25),-0.175359 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,22),(22,22),(22,26),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,27),0.0190798 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,22),(22,23),(22,24),0.118957 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,23),(22,25),-0.124935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,22),(22,23),(22,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,23),(22,27),-0.195028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,22),(22,24),(22,25),-0.124907 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,22),(22,24),(22,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,24),(22,27),-0.203767 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,22),(22,25),(22,26),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,25),(22,27),-0.0274529 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,22),(22,26),(22,27),-0.127823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,22),(22,22),(22,21),-0.0323553 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,20),-0.0663192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,19),-0.0199707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,18),-0.0206082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,17),-0.0617321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,16),-0.041427 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,15),-0.0080459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,14),-0.0400739 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,13),-0.019969 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,11),-0.0668389 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,10),-0.053966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,9),-0.0484532 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,7),-0.019969 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,5),-0.0663192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,4),-0.041447 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,2),-0.039656 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,1),-0.0516316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,22),(22,22),(22,-1),0.0620098 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,22),(22,21),(22,20),-0.0467425 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,21),(22,19),-0.0383524 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,21),(22,18),-0.0383524 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,21),(22,17),-0.0417284 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,21),(22,16),-0.0284415 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,21),(22,15),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,21),(22,14),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,21),(22,13),-0.0383524 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,21),(22,11),-0.0417284 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,21),(22,10),-0.0440685 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,21),(22,9),-0.0284415 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,21),(22,7),-0.0383524 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,21),(22,5),-0.0467425 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,21),(22,4),-0.0284415 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,21),(22,2),-0.0410415 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,21),(22,1),-0.0419997 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,21),(22,-1),-0.0196887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,22),(22,20),(22,19),-0.0742826 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,20),(22,18),-0.0742826 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,20),(22,17),-0.0420329 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,20),(22,16),-0.0361499 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,20),(22,15),-0.0402567 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,20),(22,14),-0.0437822 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,20),(22,13),-0.0742826 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,20),(22,11),-0.0420329 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,20),(22,10),-0.0643585 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,20),(22,9),-0.0370573 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,20),(22,7),-0.0742826 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,20),(22,5),-0.0295626 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,20),(22,4),-0.0361499 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,20),(22,2),-0.0617222 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,20),(22,1),-0.0208716 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,20),(22,-1),-0.0857587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,22),(22,19),(22,18),-0.0439136 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,19),(22,17),-0.0424043 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,19),(22,16),-0.0470011 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,19),(22,15),-0.0433435 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,19),(22,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,19),(22,13),-0.0439136 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,19),(22,11),-0.0424043 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,19),(22,10),-0.0500187 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,19),(22,9),-0.0470011 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,19),(22,7),-0.0439136 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,19),(22,5),-0.0354572 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,19),(22,4),-0.0470011 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,19),(22,2),-0.0471496 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,19),(22,1),-0.0426239 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,19),(22,-1),-0.0656104 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,22),(22,18),(22,17),-0.0424043 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,18),(22,16),-0.0470011 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,18),(22,15),-0.0433435 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,18),(22,14),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,18),(22,13),-0.0439136 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,18),(22,11),-0.0424043 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,18),(22,10),-0.0500187 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,18),(22,9),-0.0470011 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,18),(22,7),-0.0439136 # DEPENDENCYPART_GRANDSIBL
(25,22),(22,18),(22,5),-0.0354572 # DEPENDENCYPART_GRANDSIBL
