# _root_ Under the circumstances , it wo n't be easy for GM to exceed its record 1988 fourth-quarter net of $ 1.4 billion , the spokesman acknowledged .
#goldHeads=6,3,1,6,6,26,6,6,8,13,13,13,8,18,18,18,18,13,18,19,20,20,26,25,26,0,26,
#predictedHeads=6,3,1,6,6,26,6,6,8,13,13,13,8,18,18,18,18,13,18,19,20,20,26,25,26,0,26,
(8,17),(8,26),(8,27),-0.110753 # DEPENDENCYPART_TRISIBL
(8,17),(8,26),(8,28),-0.0556366 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,17),(8,27),(8,28),-0.00869096 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,18),(8,23),(8,26),-0.0547436 # DEPENDENCYPART_TRISIBL
(8,18),(8,23),(8,27),-0.123881 # DEPENDENCYPART_TRISIBL
(8,18),(8,23),(8,28),-0.106142 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,18),(8,26),(8,27),-0.0601386 # DEPENDENCYPART_TRISIBL
(8,18),(8,26),(8,28),-0.0769287 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,18),(8,27),(8,28),-0.0218785 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,23),(8,26),(8,27),0.0467424 # DEPENDENCYPART_TRISIBL
(8,23),(8,26),(8,28),0.0294833 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,23),(8,27),(8,28),-0.129273 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,26),(8,27),(8,28),0.00874518 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,7),(8,6),-0.0758494 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,7),(8,5),-0.0048609 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,7),(8,4),-0.201382 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,7),(8,3),-0.00795568 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,7),(8,1),-0.21531 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,7),(8,-1),-0.213342 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,6),(8,5),-0.128549 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,6),(8,4),-0.0361216 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,6),(8,3),-0.0739354 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,6),(8,1),-0.102019 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,6),(8,-1),-0.156566 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,5),(8,4),-0.0416103 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,5),(8,3),-0.0829414 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,5),(8,1),-0.0748376 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,5),(8,-1),-0.0979739 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,4),(8,3),-0.217915 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,4),(8,1),-0.190746 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,4),(8,-1),-0.364886 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,3),(8,1),-0.0015651 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,3),(8,-1),-0.050551 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,1),(8,-1),-0.188751 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,7),(8,6),(8,5),-0.101739 # DEPENDENCYPART_TRISIBL
(8,7),(8,6),(8,4),-0.0366052 # DEPENDENCYPART_TRISIBL
(8,7),(8,6),(8,3),0.0382679 # DEPENDENCYPART_TRISIBL
(8,7),(8,6),(8,1),-0.0723206 # DEPENDENCYPART_TRISIBL
(8,7),(8,6),(8,-1),-0.135619 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,7),(8,5),(8,4),-0.000671802 # DEPENDENCYPART_TRISIBL
(8,7),(8,5),(8,3),-0.0537094 # DEPENDENCYPART_TRISIBL
(8,7),(8,5),(8,1),-0.0678172 # DEPENDENCYPART_TRISIBL
(8,7),(8,5),(8,-1),-0.0380887 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,7),(8,4),(8,3),0.0770562 # DEPENDENCYPART_TRISIBL
(8,7),(8,4),(8,1),-0.0566322 # DEPENDENCYPART_TRISIBL
(8,7),(8,4),(8,-1),-0.219405 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,7),(8,3),(8,1),-0.062679 # DEPENDENCYPART_TRISIBL
(8,7),(8,3),(8,-1),-0.0914004 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,7),(8,1),(8,-1),-0.0901994 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,6),(8,5),(8,4),-0.063796 # DEPENDENCYPART_TRISIBL
(8,6),(8,5),(8,3),-0.0689931 # DEPENDENCYPART_TRISIBL
(8,6),(8,5),(8,1),-0.0580136 # DEPENDENCYPART_TRISIBL
(8,6),(8,5),(8,-1),-0.0720989 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,6),(8,4),(8,3),-0.0650929 # DEPENDENCYPART_TRISIBL
(8,6),(8,4),(8,1),-0.0579934 # DEPENDENCYPART_TRISIBL
(8,6),(8,4),(8,-1),-0.0919642 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,6),(8,3),(8,1),-0.065736 # DEPENDENCYPART_TRISIBL
(8,6),(8,3),(8,-1),-0.0455446 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,6),(8,1),(8,-1),-0.0623884 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,5),(8,4),(8,3),-0.00705437 # DEPENDENCYPART_TRISIBL
(8,5),(8,4),(8,1),0.0723257 # DEPENDENCYPART_TRISIBL
(8,5),(8,4),(8,-1),-0.146114 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,5),(8,3),(8,1),-0.0719362 # DEPENDENCYPART_TRISIBL
(8,5),(8,3),(8,-1),-0.0415405 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,5),(8,1),(8,-1),0.0232995 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,4),(8,3),(8,1),0.0828119 # DEPENDENCYPART_TRISIBL
(8,4),(8,3),(8,-1),0.00766054 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,4),(8,1),(8,-1),-0.0508255 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,3),(8,1),(8,-1),-0.00185237 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,10),(9,11),-0.119475 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,12),-0.0885812 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,13),-0.101618 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,15),-0.0677588 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,17),-0.0633442 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,18),-0.119416 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,19),-0.0830916 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,25),-0.119504 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,27),-0.150776 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,28),-0.125692 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,11),(9,12),0.0203564 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,11),(9,13),-0.0680713 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,11),(9,15),-0.0810612 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,11),(9,17),-0.0747908 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,11),(9,18),-0.146654 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,11),(9,19),-0.0511826 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,11),(9,25),-0.14676 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,11),(9,27),-0.136475 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,11),(9,28),-0.137609 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,12),(9,13),-0.0855638 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,15),-0.0874055 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,17),-0.0836134 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,18),-0.128801 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,19),-0.0666747 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,25),-0.128877 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,27),-0.131663 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,28),-0.0520419 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,13),(9,15),-0.0997269 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,13),(9,17),-0.0956858 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,13),(9,18),-0.112467 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,13),(9,19),-0.0743363 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,13),(9,25),-0.112556 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,13),(9,27),-0.0316273 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,13),(9,28),-0.0889802 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,15),(9,17),-0.081749 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,15),(9,18),-0.135416 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,15),(9,19),-0.111927 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,15),(9,25),-0.135657 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,15),(9,27),-0.133185 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,15),(9,28),-0.0287017 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,17),(9,18),-0.133004 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,17),(9,19),-0.112208 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,17),(9,25),-0.133245 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,17),(9,27),-0.134492 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,17),(9,28),-0.0440084 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,18),(9,19),-0.0529477 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,18),(9,25),-0.147558 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,18),(9,27),-0.134853 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,18),(9,28),-0.146409 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,19),(9,25),-0.0984186 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,19),(9,27),-0.165284 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,19),(9,28),-0.070739 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,25),(9,27),-0.134006 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,25),(9,28),-0.153317 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,27),(9,28),-0.204975 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,10),(9,11),(9,12),-0.0663085 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,13),-0.0820617 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,15),-0.0504402 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,17),-0.0504249 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,18),-0.0544253 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,19),-0.111251 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,25),-0.0544437 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,27),-0.058316 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,28),-0.0544208 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,12),(9,13),-0.0861275 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,15),-0.0497916 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,17),-0.0497763 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,18),-0.0512806 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,19),-0.0917963 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,25),-0.051293 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,27),-0.0583127 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,28),-0.106707 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,13),(9,15),-0.0502088 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,17),-0.0501936 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,18),-0.0442689 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,19),-0.0954593 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,25),-0.0442808 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,27),-0.0534898 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,28),-0.0905441 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,15),(9,17),-0.0503485 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,18),-0.0471036 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,19),-0.104843 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,25),-0.047116 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,27),-0.0696716 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,28),-0.0695303 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,17),(9,18),-0.0470856 # DEPENDENCYPART_TRISIBL
(9,10),(9,17),(9,19),-0.104843 # DEPENDENCYPART_TRISIBL
(9,10),(9,17),(9,25),-0.047098 # DEPENDENCYPART_TRISIBL
(9,10),(9,17),(9,27),-0.0696518 # DEPENDENCYPART_TRISIBL
(9,10),(9,17),(9,28),-0.0691357 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,18),(9,19),-0.111251 # DEPENDENCYPART_TRISIBL
(9,10),(9,18),(9,25),-0.0544446 # DEPENDENCYPART_TRISIBL
(9,10),(9,18),(9,27),-0.058316 # DEPENDENCYPART_TRISIBL
(9,10),(9,18),(9,28),-0.0544585 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,19),(9,25),-0.0455646 # DEPENDENCYPART_TRISIBL
(9,10),(9,19),(9,27),-0.0425971 # DEPENDENCYPART_TRISIBL
(9,10),(9,19),(9,28),-0.076862 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,25),(9,27),-0.0583209 # DEPENDENCYPART_TRISIBL
(9,10),(9,25),(9,28),-0.0544108 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,27),(9,28),-0.0783066 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,12),(9,13),-0.0806373 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,15),-0.0786452 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,17),-0.0786118 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,18),-0.0686193 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,19),-0.0625251 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,25),-0.0692082 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,27),-0.0863087 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,28),-0.0437257 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,13),(9,15),-0.082105 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,17),-0.082077 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,18),-0.0867957 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,19),-0.0661368 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,25),-0.0873939 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,27),-0.0792339 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,28),-0.0830258 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,15),(9,17),-0.0786928 # DEPENDENCYPART_TRISIBL
(9,11),(9,15),(9,18),-0.0899349 # DEPENDENCYPART_TRISIBL
(9,11),(9,15),(9,19),-0.0596531 # DEPENDENCYPART_TRISIBL
(9,11),(9,15),(9,25),-0.0905331 # DEPENDENCYPART_TRISIBL
(9,11),(9,15),(9,27),-0.0885817 # DEPENDENCYPART_TRISIBL
(9,11),(9,15),(9,28),-0.0700802 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,17),(9,18),-0.089934 # DEPENDENCYPART_TRISIBL
(9,11),(9,17),(9,19),-0.0596531 # DEPENDENCYPART_TRISIBL
(9,11),(9,17),(9,25),-0.0905322 # DEPENDENCYPART_TRISIBL
(9,11),(9,17),(9,27),-0.0885817 # DEPENDENCYPART_TRISIBL
(9,11),(9,17),(9,28),-0.0677869 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,18),(9,19),-0.0529047 # DEPENDENCYPART_TRISIBL
(9,11),(9,18),(9,25),-0.0943208 # DEPENDENCYPART_TRISIBL
(9,11),(9,18),(9,27),-0.0884876 # DEPENDENCYPART_TRISIBL
(9,11),(9,18),(9,28),-0.0937496 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,19),(9,25),-0.0958775 # DEPENDENCYPART_TRISIBL
(9,11),(9,19),(9,27),-0.0850601 # DEPENDENCYPART_TRISIBL
(9,11),(9,19),(9,28),-0.0457858 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,25),(9,27),-0.0884876 # DEPENDENCYPART_TRISIBL
(9,11),(9,25),(9,28),-0.093786 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,27),(9,28),-0.0942644 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,13),(9,15),-0.0774422 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,17),-0.0774422 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,18),-0.052047 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,19),-0.0552701 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,25),-0.052047 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,27),-0.0711031 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,28),-0.0942909 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,15),(9,17),-0.0771411 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,18),-0.0590714 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,19),-0.0538889 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,25),-0.0590714 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,27),-0.0690045 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,28),-0.0966693 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,17),(9,18),-0.0590712 # DEPENDENCYPART_TRISIBL
(9,12),(9,17),(9,19),-0.0538889 # DEPENDENCYPART_TRISIBL
(9,12),(9,17),(9,25),-0.0590712 # DEPENDENCYPART_TRISIBL
(9,12),(9,17),(9,27),-0.0690045 # DEPENDENCYPART_TRISIBL
(9,12),(9,17),(9,28),-0.0966639 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,18),(9,19),-0.0508429 # DEPENDENCYPART_TRISIBL
(9,12),(9,18),(9,25),-0.0582471 # DEPENDENCYPART_TRISIBL
(9,12),(9,18),(9,27),-0.0519283 # DEPENDENCYPART_TRISIBL
(9,12),(9,18),(9,28),-0.0889369 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,19),(9,25),-0.0645527 # DEPENDENCYPART_TRISIBL
(9,12),(9,19),(9,27),-0.0489525 # DEPENDENCYPART_TRISIBL
(9,12),(9,19),(9,28),-0.0798435 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,25),(9,27),-0.0519283 # DEPENDENCYPART_TRISIBL
(9,12),(9,25),(9,28),-0.088937 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,27),(9,28),-0.0771984 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,15),(9,17),-0.0629316 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,18),-0.0629954 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,19),-0.00553633 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,25),-0.0629967 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,27),-0.0542204 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,28),-0.109977 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,17),(9,18),-0.0629954 # DEPENDENCYPART_TRISIBL
(9,13),(9,17),(9,19),-0.00553633 # DEPENDENCYPART_TRISIBL
(9,13),(9,17),(9,25),-0.0629967 # DEPENDENCYPART_TRISIBL
(9,13),(9,17),(9,27),-0.0539829 # DEPENDENCYPART_TRISIBL
(9,13),(9,17),(9,28),-0.109977 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,18),(9,19),0.0254206 # DEPENDENCYPART_TRISIBL
(9,13),(9,18),(9,25),-0.069441 # DEPENDENCYPART_TRISIBL
(9,13),(9,18),(9,27),-0.0248255 # DEPENDENCYPART_TRISIBL
(9,13),(9,18),(9,28),-0.10359 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,19),(9,25),-0.0642219 # DEPENDENCYPART_TRISIBL
(9,13),(9,19),(9,27),0.00403121 # DEPENDENCYPART_TRISIBL
(9,13),(9,19),(9,28),-0.09191 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,25),(9,27),-0.0248251 # DEPENDENCYPART_TRISIBL
(9,13),(9,25),(9,28),-0.103604 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,27),(9,28),-0.024607 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,17),(9,18),-0.0633576 # DEPENDENCYPART_TRISIBL
(9,15),(9,17),(9,19),-0.0368928 # DEPENDENCYPART_TRISIBL
(9,15),(9,17),(9,25),-0.0633584 # DEPENDENCYPART_TRISIBL
(9,15),(9,17),(9,27),-0.0717254 # DEPENDENCYPART_TRISIBL
(9,15),(9,17),(9,28),-0.117749 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,18),(9,19),-0.0493411 # DEPENDENCYPART_TRISIBL
(9,15),(9,18),(9,25),-0.0586046 # DEPENDENCYPART_TRISIBL
(9,15),(9,18),(9,27),-0.0853632 # DEPENDENCYPART_TRISIBL
(9,15),(9,18),(9,28),-0.113292 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,19),(9,25),-0.0757881 # DEPENDENCYPART_TRISIBL
(9,15),(9,19),(9,27),-0.0405448 # DEPENDENCYPART_TRISIBL
(9,15),(9,19),(9,28),-0.0965901 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,25),(9,27),-0.0853632 # DEPENDENCYPART_TRISIBL
(9,15),(9,25),(9,28),-0.112936 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,27),(9,28),-0.11124 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,17),(9,18),(9,19),-0.0481429 # DEPENDENCYPART_TRISIBL
(9,17),(9,18),(9,25),-0.0585992 # DEPENDENCYPART_TRISIBL
(9,17),(9,18),(9,27),-0.0849687 # DEPENDENCYPART_TRISIBL
(9,17),(9,18),(9,28),-0.108275 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,17),(9,19),(9,25),-0.0757827 # DEPENDENCYPART_TRISIBL
(9,17),(9,19),(9,27),-0.0398966 # DEPENDENCYPART_TRISIBL
(9,17),(9,19),(9,28),-0.0939186 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,17),(9,25),(9,27),-0.0849687 # DEPENDENCYPART_TRISIBL
(9,17),(9,25),(9,28),-0.107919 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,17),(9,27),(9,28),-0.1087 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,18),(9,19),(9,25),-0.09565 # DEPENDENCYPART_TRISIBL
(9,18),(9,19),(9,27),-0.0876515 # DEPENDENCYPART_TRISIBL
(9,18),(9,19),(9,28),-0.0451981 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,18),(9,25),(9,27),-0.0896303 # DEPENDENCYPART_TRISIBL
(9,18),(9,25),(9,28),-0.0941195 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,18),(9,27),(9,28),-0.092033 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,19),(9,25),(9,27),-0.0616585 # DEPENDENCYPART_TRISIBL
(9,19),(9,25),(9,28),-0.0315195 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,19),(9,27),(9,28),-0.0905056 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,25),(9,27),(9,28),-0.080186 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,8),(9,7),-0.103184 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,8),(9,5),-0.100423 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,8),(9,-1),-0.193313 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,7),(9,5),-0.0950783 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,7),(9,-1),-0.224667 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,5),(9,-1),-0.201352 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,8),(9,7),(9,5),-0.0577149 # DEPENDENCYPART_TRISIBL
(9,8),(9,7),(9,-1),-0.0736356 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,8),(9,5),(9,-1),-0.0749871 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,7),(9,5),(9,-1),-0.132377 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,10),(10,11),(10,12),0.00484694 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,11),(10,13),-0.1393 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,11),(10,15),-0.0446663 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
