# _root_ The explosion sent shards of metal flying , severing the DC-10 's hydraulic or control systems , and led to the crash that killed 112 people .
#goldHeads=2,18,18,7,4,5,3,3,3,11,16,11,14,16,14,9,18,0,18,19,22,20,24,22,26,24,18,
#predictedHeads=2,18,18,3,4,5,3,18,18,11,9,11,14,16,14,9,18,0,18,19,22,20,24,22,26,24,18,
(9,8),(9,6),(9,3),-0.107095 # DEPENDENCYPART_TRISIBL
(9,8),(9,6),(9,-1),0.0117872 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,8),(9,5),(9,4),-0.0874792 # DEPENDENCYPART_TRISIBL
(9,8),(9,5),(9,3),-0.105536 # DEPENDENCYPART_TRISIBL
(9,8),(9,5),(9,-1),-0.0316496 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,8),(9,4),(9,3),-0.107095 # DEPENDENCYPART_TRISIBL
(9,8),(9,4),(9,-1),0.0118026 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,8),(9,3),(9,-1),-0.0131497 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,6),(9,5),(9,4),-0.15551 # DEPENDENCYPART_TRISIBL
(9,6),(9,5),(9,3),-0.129613 # DEPENDENCYPART_TRISIBL
(9,6),(9,5),(9,-1),-0.0521281 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,6),(9,4),(9,3),-0.108701 # DEPENDENCYPART_TRISIBL
(9,6),(9,4),(9,-1),-0.103811 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,6),(9,3),(9,-1),-0.084514 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,5),(9,4),(9,3),-0.124398 # DEPENDENCYPART_TRISIBL
(9,5),(9,4),(9,-1),-0.0951843 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,5),(9,3),(9,-1),-0.14332 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,4),(9,3),(9,-1),-0.0797008 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,10),(10,12),(10,28),-0.162019 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,12),(11,13),-0.104309 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,14),-0.124371 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,16),-0.135882 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,28),-0.0702466 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,13),(11,14),-0.109199 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,16),-0.179124 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,28),-0.0803177 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,14),(11,16),-0.152259 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,28),-0.0764295 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,16),(11,28),-0.121282 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,12),(11,13),(11,14),-0.104357 # DEPENDENCYPART_TRISIBL
(11,12),(11,13),(11,16),-0.0462132 # DEPENDENCYPART_TRISIBL
(11,12),(11,13),(11,28),-0.114358 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,12),(11,14),(11,16),-0.0491418 # DEPENDENCYPART_TRISIBL
(11,12),(11,14),(11,28),-0.160493 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,12),(11,16),(11,28),-0.108204 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,13),(11,14),(11,16),-0.0721447 # DEPENDENCYPART_TRISIBL
(11,13),(11,14),(11,28),-0.107053 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,13),(11,16),(11,28),-0.092398 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,14),(11,16),(11,28),-0.159225 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,11),(11,10),(11,9),-0.13856 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,10),(11,-1),-0.0811943 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,11),(11,9),(11,-1),-0.205367 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,10),(11,9),(11,-1),-0.158989 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,13),(12,14),-0.0624876 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,15),-0.0505824 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,16),-0.0395719 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,17),-0.0402666 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,18),-0.0502481 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,19),0.0466953 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,20),-0.000632662 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,22),-0.042139 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,24),0.0422336 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,27),-0.0272238 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,28),-0.0621923 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(12,12),(12,14),(12,15),-0.0325598 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,14),(12,16),-0.021094 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,14),(12,17),0.00488723 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,14),(12,18),-0.0563763 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,14),(12,19),0.0255185 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,14),(12,20),0.0499505 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,14),(12,22),-0.0242384 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,14),(12,24),0.0210539 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,14),(12,27),0.00577961 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,14),(12,28),-0.0522866 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(12,12),(12,15),(12,16),-0.0348347 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,15),(12,17),-0.0236344 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,15),(12,18),-0.0269482 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,15),(12,19),0.00918761 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,15),(12,20),0.0857339 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,15),(12,22),-0.0400363 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,15),(12,24),0.00182082 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,15),(12,27),-0.0269815 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,15),(12,28),-0.025624 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(12,12),(12,16),(12,17),-0.0306924 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,16),(12,18),-0.0216334 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,16),(12,19),0.00701891 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,16),(12,20),0.0758069 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,16),(12,22),-0.0330136 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,16),(12,24),-0.000347883 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,16),(12,27),-0.0148225 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,16),(12,28),-0.0458662 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(12,12),(12,17),(12,18),-0.0967529 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,17),(12,19),-0.136193 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,17),(12,20),-0.151054 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,17),(12,22),-0.241708 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,17),(12,24),-0.137896 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,17),(12,27),-0.0686049 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,17),(12,28),-0.186675 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(12,12),(12,18),(12,19),0.0342934 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,18),(12,20),0.0593171 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,18),(12,22),-0.0219945 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,18),(12,24),0.0298289 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,18),(12,27),0.0623511 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,18),(12,28),-0.0523471 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(12,12),(12,19),(12,20),-0.0596565 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,19),(12,22),-0.038555 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,19),(12,24),-0.00609404 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,19),(12,27),0.0103455 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,19),(12,28),-0.0359458 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(12,12),(12,20),(12,22),-0.0316402 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,20),(12,24),-0.0800276 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,20),(12,27),-0.128551 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,20),(12,28),-0.0929805 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(12,12),(12,22),(12,24),0.0010834 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,22),(12,27),-0.0184861 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,22),(12,28),-0.0176406 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(12,12),(12,24),(12,27),0.010301 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,24),(12,28),-0.0326454 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(12,12),(12,27),(12,28),-0.19144 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(12,13),(12,14),(12,15),-0.0880187 # DEPENDENCYPART_TRISIBL
(12,13),(12,14),(12,16),-0.0855688 # DEPENDENCYPART_TRISIBL
(12,13),(12,14),(12,17),-0.0386481 # DEPENDENCYPART_TRISIBL
(12,13),(12,14),(12,18),-0.0595654 # DEPENDENCYPART_TRISIBL
(12,13),(12,14),(12,19),-0.0770174 # DEPENDENCYPART_TRISIBL
(12,13),(12,14),(12,20),-0.0328116 # DEPENDENCYPART_TRISIBL
(12,13),(12,14),(12,22),-0.0880175 # DEPENDENCYPART_TRISIBL
(12,13),(12,14),(12,24),-0.0769587 # DEPENDENCYPART_TRISIBL
(12,13),(12,14),(12,27),-0.0265195 # DEPENDENCYPART_TRISIBL
(12,13),(12,14),(12,28),-0.0867894 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,13),(12,15),(12,16),-0.0941812 # DEPENDENCYPART_TRISIBL
(12,13),(12,15),(12,17),-0.024942 # DEPENDENCYPART_TRISIBL
(12,13),(12,15),(12,18),-0.0872156 # DEPENDENCYPART_TRISIBL
(12,13),(12,15),(12,19),-0.0838472 # DEPENDENCYPART_TRISIBL
(12,13),(12,15),(12,20),-0.0250811 # DEPENDENCYPART_TRISIBL
(12,13),(12,15),(12,22),-0.0991206 # DEPENDENCYPART_TRISIBL
(12,13),(12,15),(12,24),-0.0837886 # DEPENDENCYPART_TRISIBL
(12,13),(12,15),(12,27),-0.068946 # DEPENDENCYPART_TRISIBL
(12,13),(12,15),(12,28),-0.0319567 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,13),(12,16),(12,17),-0.0251039 # DEPENDENCYPART_TRISIBL
(12,13),(12,16),(12,18),-0.0873461 # DEPENDENCYPART_TRISIBL
(12,13),(12,16),(12,19),-0.0838473 # DEPENDENCYPART_TRISIBL
(12,13),(12,16),(12,20),-0.0250811 # DEPENDENCYPART_TRISIBL
(12,13),(12,16),(12,22),-0.0991218 # DEPENDENCYPART_TRISIBL
(12,13),(12,16),(12,24),-0.0837887 # DEPENDENCYPART_TRISIBL
(12,13),(12,16),(12,27),-0.068946 # DEPENDENCYPART_TRISIBL
(12,13),(12,16),(12,28),-0.0326619 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,13),(12,17),(12,18),-0.106657 # DEPENDENCYPART_TRISIBL
(12,13),(12,17),(12,19),-0.031057 # DEPENDENCYPART_TRISIBL
(12,13),(12,17),(12,20),-0.0454737 # DEPENDENCYPART_TRISIBL
(12,13),(12,17),(12,22),-0.108918 # DEPENDENCYPART_TRISIBL
(12,13),(12,17),(12,24),-0.0309691 # DEPENDENCYPART_TRISIBL
(12,13),(12,17),(12,27),-0.0487792 # DEPENDENCYPART_TRISIBL
(12,13),(12,17),(12,28),-0.0932925 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,13),(12,18),(12,19),-0.0774408 # DEPENDENCYPART_TRISIBL
(12,13),(12,18),(12,20),-0.0328233 # DEPENDENCYPART_TRISIBL
(12,13),(12,18),(12,22),-0.088644 # DEPENDENCYPART_TRISIBL
(12,13),(12,18),(12,24),-0.0773822 # DEPENDENCYPART_TRISIBL
(12,13),(12,18),(12,27),-0.0240735 # DEPENDENCYPART_TRISIBL
(12,13),(12,18),(12,28),-0.0765621 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,13),(12,19),(12,20),-0.0371371 # DEPENDENCYPART_TRISIBL
(12,13),(12,19),(12,22),-0.0616206 # DEPENDENCYPART_TRISIBL
(12,13),(12,19),(12,24),-0.0679166 # DEPENDENCYPART_TRISIBL
(12,13),(12,19),(12,27),-0.0826308 # DEPENDENCYPART_TRISIBL
(12,13),(12,19),(12,28),-0.0581502 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,13),(12,20),(12,22),-0.105805 # DEPENDENCYPART_TRISIBL
(12,13),(12,20),(12,24),-0.0708384 # DEPENDENCYPART_TRISIBL
(12,13),(12,20),(12,27),0.00841821 # DEPENDENCYPART_TRISIBL
(12,13),(12,20),(12,28),-0.0947125 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,13),(12,22),(12,24),-0.0837886 # DEPENDENCYPART_TRISIBL
(12,13),(12,22),(12,27),-0.068946 # DEPENDENCYPART_TRISIBL
(12,13),(12,22),(12,28),-0.0318096 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,13),(12,24),(12,27),-0.0826308 # DEPENDENCYPART_TRISIBL
(12,13),(12,24),(12,28),-0.0581458 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,13),(12,27),(12,28),-0.00609408 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,14),(12,15),(12,16),-0.0904041 # DEPENDENCYPART_TRISIBL
(12,14),(12,15),(12,17),-0.0668334 # DEPENDENCYPART_TRISIBL
(12,14),(12,15),(12,18),-0.12784 # DEPENDENCYPART_TRISIBL
(12,14),(12,15),(12,19),-0.0209138 # DEPENDENCYPART_TRISIBL
(12,14),(12,15),(12,20),-0.0639483 # DEPENDENCYPART_TRISIBL
(12,14),(12,15),(12,22),-0.0904041 # DEPENDENCYPART_TRISIBL
(12,14),(12,15),(12,24),-0.0209153 # DEPENDENCYPART_TRISIBL
(12,14),(12,15),(12,27),-0.0986526 # DEPENDENCYPART_TRISIBL
(12,14),(12,15),(12,28),-0.0821455 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,14),(12,16),(12,17),-0.0668326 # DEPENDENCYPART_TRISIBL
(12,14),(12,16),(12,18),-0.12784 # DEPENDENCYPART_TRISIBL
(12,14),(12,16),(12,19),-0.0209138 # DEPENDENCYPART_TRISIBL
(12,14),(12,16),(12,20),-0.0639483 # DEPENDENCYPART_TRISIBL
(12,14),(12,16),(12,22),-0.0904058 # DEPENDENCYPART_TRISIBL
(12,14),(12,16),(12,24),-0.0209153 # DEPENDENCYPART_TRISIBL
(12,14),(12,16),(12,27),-0.0986564 # DEPENDENCYPART_TRISIBL
(12,14),(12,16),(12,28),-0.0820891 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,14),(12,17),(12,18),-0.154529 # DEPENDENCYPART_TRISIBL
(12,14),(12,17),(12,19),0.00673606 # DEPENDENCYPART_TRISIBL
(12,14),(12,17),(12,20),-0.0647485 # DEPENDENCYPART_TRISIBL
(12,14),(12,17),(12,22),-0.104968 # DEPENDENCYPART_TRISIBL
(12,14),(12,17),(12,24),0.00673456 # DEPENDENCYPART_TRISIBL
(12,14),(12,17),(12,27),-0.0890476 # DEPENDENCYPART_TRISIBL
(12,14),(12,17),(12,28),-0.149114 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,14),(12,18),(12,19),-0.0376719 # DEPENDENCYPART_TRISIBL
(12,14),(12,18),(12,20),-0.0635496 # DEPENDENCYPART_TRISIBL
(12,14),(12,18),(12,22),-0.0857099 # DEPENDENCYPART_TRISIBL
(12,14),(12,18),(12,24),-0.0376741 # DEPENDENCYPART_TRISIBL
(12,14),(12,18),(12,27),-0.104609 # DEPENDENCYPART_TRISIBL
(12,14),(12,18),(12,28),-0.137859 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,14),(12,19),(12,20),-0.0652635 # DEPENDENCYPART_TRISIBL
(12,14),(12,19),(12,22),-0.0890799 # DEPENDENCYPART_TRISIBL
(12,14),(12,19),(12,24),-0.0311003 # DEPENDENCYPART_TRISIBL
(12,14),(12,19),(12,27),-0.0819651 # DEPENDENCYPART_TRISIBL
(12,14),(12,19),(12,28),-0.0594434 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,14),(12,20),(12,22),-0.085286 # DEPENDENCYPART_TRISIBL
(12,14),(12,20),(12,24),-0.0362312 # DEPENDENCYPART_TRISIBL
(12,14),(12,20),(12,27),-0.0801484 # DEPENDENCYPART_TRISIBL
(12,14),(12,20),(12,28),-0.0500663 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,14),(12,22),(12,24),-0.0209153 # DEPENDENCYPART_TRISIBL
(12,14),(12,22),(12,27),-0.0986522 # DEPENDENCYPART_TRISIBL
(12,14),(12,22),(12,28),-0.0820918 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,14),(12,24),(12,27),-0.0819666 # DEPENDENCYPART_TRISIBL
(12,14),(12,24),(12,28),-0.0594434 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,14),(12,27),(12,28),-0.0469925 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,15),(12,16),(12,17),-0.0104495 # DEPENDENCYPART_TRISIBL
(12,15),(12,16),(12,18),-0.18369 # DEPENDENCYPART_TRISIBL
(12,15),(12,16),(12,19),-0.0697548 # DEPENDENCYPART_TRISIBL
(12,15),(12,16),(12,20),-0.0948098 # DEPENDENCYPART_TRISIBL
(12,15),(12,16),(12,22),-0.124884 # DEPENDENCYPART_TRISIBL
(12,15),(12,16),(12,24),-0.0695648 # DEPENDENCYPART_TRISIBL
(12,15),(12,16),(12,27),-0.059579 # DEPENDENCYPART_TRISIBL
(12,15),(12,16),(12,28),-0.0202866 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,15),(12,17),(12,18),-0.133583 # DEPENDENCYPART_TRISIBL
(12,15),(12,17),(12,19),-0.0464137 # DEPENDENCYPART_TRISIBL
(12,15),(12,17),(12,20),-0.0174263 # DEPENDENCYPART_TRISIBL
(12,15),(12,17),(12,22),-0.204405 # DEPENDENCYPART_TRISIBL
(12,15),(12,17),(12,24),-0.0462188 # DEPENDENCYPART_TRISIBL
(12,15),(12,17),(12,27),-0.129192 # DEPENDENCYPART_TRISIBL
(12,15),(12,17),(12,28),-0.0748701 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,15),(12,18),(12,19),-0.0943081 # DEPENDENCYPART_TRISIBL
(12,15),(12,18),(12,20),-0.0578153 # DEPENDENCYPART_TRISIBL
(12,15),(12,18),(12,22),-0.129529 # DEPENDENCYPART_TRISIBL
(12,15),(12,18),(12,24),-0.0941181 # DEPENDENCYPART_TRISIBL
(12,15),(12,18),(12,27),-0.0588565 # DEPENDENCYPART_TRISIBL
(12,15),(12,18),(12,28),-0.0907272 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,15),(12,19),(12,20),-0.0581384 # DEPENDENCYPART_TRISIBL
(12,15),(12,19),(12,22),-0.113107 # DEPENDENCYPART_TRISIBL
(12,15),(12,19),(12,24),-0.100859 # DEPENDENCYPART_TRISIBL
(12,15),(12,19),(12,27),-0.0596079 # DEPENDENCYPART_TRISIBL
(12,15),(12,19),(12,28),-0.0372377 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,15),(12,20),(12,22),-0.113118 # DEPENDENCYPART_TRISIBL
(12,15),(12,20),(12,24),-0.0819522 # DEPENDENCYPART_TRISIBL
(12,15),(12,20),(12,27),-0.0800818 # DEPENDENCYPART_TRISIBL
(12,15),(12,20),(12,28),-0.0275712 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,15),(12,22),(12,24),-0.0695645 # DEPENDENCYPART_TRISIBL
(12,15),(12,22),(12,27),-0.0594115 # DEPENDENCYPART_TRISIBL
(12,15),(12,22),(12,28),-0.0247099 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,15),(12,24),(12,27),-0.064859 # DEPENDENCYPART_TRISIBL
(12,15),(12,24),(12,28),-0.0377731 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,15),(12,27),(12,28),0.0044911 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,16),(12,17),(12,18),-0.133583 # DEPENDENCYPART_TRISIBL
(12,16),(12,17),(12,19),-0.0579643 # DEPENDENCYPART_TRISIBL
(12,16),(12,17),(12,20),-0.0174263 # DEPENDENCYPART_TRISIBL
(12,16),(12,17),(12,22),-0.216361 # DEPENDENCYPART_TRISIBL
(12,16),(12,17),(12,24),-0.0577694 # DEPENDENCYPART_TRISIBL
(12,16),(12,17),(12,27),-0.124076 # DEPENDENCYPART_TRISIBL
(12,16),(12,17),(12,28),-0.0733625 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,16),(12,18),(12,19),-0.098655 # DEPENDENCYPART_TRISIBL
(12,16),(12,18),(12,20),-0.0578153 # DEPENDENCYPART_TRISIBL
(12,16),(12,18),(12,22),-0.14128 # DEPENDENCYPART_TRISIBL
(12,16),(12,18),(12,24),-0.098465 # DEPENDENCYPART_TRISIBL
(12,16),(12,18),(12,27),-0.0537408 # DEPENDENCYPART_TRISIBL
(12,16),(12,18),(12,28),-0.0840524 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,16),(12,19),(12,20),-0.0581384 # DEPENDENCYPART_TRISIBL
(12,16),(12,19),(12,22),-0.124848 # DEPENDENCYPART_TRISIBL
(12,16),(12,19),(12,24),-0.105236 # DEPENDENCYPART_TRISIBL
(12,16),(12,19),(12,27),-0.0541303 # DEPENDENCYPART_TRISIBL
(12,16),(12,19),(12,28),-0.0387656 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,16),(12,20),(12,22),-0.124859 # DEPENDENCYPART_TRISIBL
(12,16),(12,20),(12,24),-0.0863285 # DEPENDENCYPART_TRISIBL
(12,16),(12,20),(12,27),-0.0705041 # DEPENDENCYPART_TRISIBL
(12,16),(12,20),(12,28),-0.0409529 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,16),(12,22),(12,24),-0.0739431 # DEPENDENCYPART_TRISIBL
(12,16),(12,22),(12,27),-0.0552687 # DEPENDENCYPART_TRISIBL
(12,16),(12,22),(12,28),-0.0173184 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,16),(12,24),(12,27),-0.0593813 # DEPENDENCYPART_TRISIBL
(12,16),(12,24),(12,28),-0.039301 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,16),(12,27),(12,28),0.0159496 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,17),(12,18),(12,19),-0.0386739 # DEPENDENCYPART_TRISIBL
(12,17),(12,18),(12,20),-0.101186 # DEPENDENCYPART_TRISIBL
(12,17),(12,18),(12,22),-0.077098 # DEPENDENCYPART_TRISIBL
(12,17),(12,18),(12,24),-0.0386306 # DEPENDENCYPART_TRISIBL
(12,17),(12,18),(12,27),0.0231707 # DEPENDENCYPART_TRISIBL
(12,17),(12,18),(12,28),-0.0823808 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,17),(12,19),(12,20),-0.100236 # DEPENDENCYPART_TRISIBL
(12,17),(12,19),(12,22),-0.0744542 # DEPENDENCYPART_TRISIBL
(12,17),(12,19),(12,24),-0.0360476 # DEPENDENCYPART_TRISIBL
(12,17),(12,19),(12,27),0.0423581 # DEPENDENCYPART_TRISIBL
(12,17),(12,19),(12,28),0.0172735 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,17),(12,20),(12,22),-0.0628067 # DEPENDENCYPART_TRISIBL
(12,17),(12,20),(12,24),-0.0374816 # DEPENDENCYPART_TRISIBL
(12,17),(12,20),(12,27),-0.0185778 # DEPENDENCYPART_TRISIBL
(12,17),(12,20),(12,28),-0.0423245 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,17),(12,22),(12,24),-0.0504575 # DEPENDENCYPART_TRISIBL
(12,17),(12,22),(12,27),-0.0796483 # DEPENDENCYPART_TRISIBL
(12,17),(12,22),(12,28),-0.0211746 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,17),(12,24),(12,27),0.042504 # DEPENDENCYPART_TRISIBL
(12,17),(12,24),(12,28),0.0173917 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,17),(12,27),(12,28),-0.142517 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,18),(12,19),(12,20),-0.0621521 # DEPENDENCYPART_TRISIBL
(12,18),(12,19),(12,22),-0.0905015 # DEPENDENCYPART_TRISIBL
(12,18),(12,19),(12,24),-0.0219351 # DEPENDENCYPART_TRISIBL
(12,18),(12,19),(12,27),-0.090014 # DEPENDENCYPART_TRISIBL
(12,18),(12,19),(12,28),-0.0798329 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,18),(12,20),(12,22),-0.085282 # DEPENDENCYPART_TRISIBL
(12,18),(12,20),(12,24),-0.0280995 # DEPENDENCYPART_TRISIBL
(12,18),(12,20),(12,27),-0.0758111 # DEPENDENCYPART_TRISIBL
(12,18),(12,20),(12,28),-0.0435277 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,18),(12,22),(12,24),-0.0217153 # DEPENDENCYPART_TRISIBL
(12,18),(12,22),(12,27),-0.0943112 # DEPENDENCYPART_TRISIBL
(12,18),(12,22),(12,28),-0.0723306 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,18),(12,24),(12,27),-0.0900155 # DEPENDENCYPART_TRISIBL
