# _root_ With the golden share as protection , Jaguar officials have rebuffed Ford 's overtures , and moved instead to forge an alliance with GM .
#goldHeads=10,4,4,1,4,5,10,9,10,0,16,14,12,11,16,10,16,17,20,17,22,20,22,23,10,
#predictedHeads=10,4,4,1,4,5,10,9,10,16,10,14,12,11,16,0,16,17,20,17,22,20,22,23,16,
(20,16),(16,14),(16,2),0.0236601 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,14),(16,1),-0.0296848 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,14),(16,-1),0.0184978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,12),(16,11),-0.0380943 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,12),(16,10),-0.0403541 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,12),(16,9),0.0602458 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,12),(16,8),0.0602458 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,12),(16,7),-0.114313 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,12),(16,6),0.0602458 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,12),(16,5),-0.0324472 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,12),(16,4),0.0601416 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,12),(16,3),0.0173088 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,12),(16,2),0.0236601 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,12),(16,1),-0.0296848 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,12),(16,-1),0.0184715 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,11),(16,10),-0.0338608 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,11),(16,9),-0.0559124 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,11),(16,8),-0.0554032 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,11),(16,7),-0.00822161 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,11),(16,6),-0.0554782 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,11),(16,5),-0.0069323 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,11),(16,4),-0.0522118 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,11),(16,3),-0.0307204 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,11),(16,2),-0.00999019 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,11),(16,1),-0.000852422 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,11),(16,-1),-0.101833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,10),(16,9),-0.0566987 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,10),(16,8),-0.0561895 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,10),(16,7),-0.00342238 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,10),(16,6),-0.0562645 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,10),(16,5),-0.00116145 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,10),(16,4),-0.0529981 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,10),(16,3),-0.0307624 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,10),(16,2),-0.0101118 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,10),(16,1),0.00491843 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,10),(16,-1),-0.117197 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,9),(16,8),0.0626041 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,9),(16,7),-0.114388 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,9),(16,6),0.0626041 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,9),(16,5),-0.0330983 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,9),(16,4),0.0624999 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,9),(16,3),0.016971 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,9),(16,2),0.023068 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,9),(16,1),-0.0303358 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,9),(16,-1),0.0173498 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,8),(16,7),-0.114313 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,8),(16,6),0.0601872 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,8),(16,5),-0.0324472 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,8),(16,4),0.0600829 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,8),(16,3),0.0173082 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,8),(16,2),0.0236601 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,8),(16,1),-0.0296848 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,8),(16,-1),0.0183414 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,7),(16,6),0.00360695 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,7),(16,5),-0.0770549 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,7),(16,4),0.00356686 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,7),(16,3),-0.0227007 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,7),(16,2),-0.0320649 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,7),(16,1),-0.072446 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,7),(16,-1),0.00159354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,6),(16,5),-0.0324472 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,6),(16,4),0.0601362 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,6),(16,3),0.0173088 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,6),(16,2),0.0236601 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,6),(16,1),-0.0296848 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,6),(16,-1),0.0177437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,5),(16,4),-0.0365985 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,5),(16,3),-0.0269423 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,5),(16,2),-0.0227586 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,5),(16,1),-0.0248937 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,5),(16,-1),0.000437873 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,4),(16,3),0.0173088 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,4),(16,2),0.0236599 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,4),(16,1),-0.0264525 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,4),(16,-1),0.0204946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,3),(16,2),-0.00205504 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,3),(16,1),0.0132092 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,3),(16,-1),-0.0485893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,2),(16,1),-0.0153645 # DEPENDENCYPART_GRANDSIBL
(20,16),(16,2),(16,-1),0.0340795 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,16),(16,1),(16,-1),0.00600263 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,18),(18,19),0.114053 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,20),-0.138208 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,22),-0.1487 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,23),-0.134719 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,26),-0.0615994 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,18),(18,19),(18,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,19),(18,22),-0.144901 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,19),(18,23),-0.144722 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,19),(18,26),-0.144379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,20),(18,22),-0.144703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,20),(18,23),-0.144706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,20),(18,26),-0.163528 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,18),(18,22),(18,23),-0.144777 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,22),(18,26),-0.14534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,23),(18,26),-0.120947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,18),(18,16),-0.0497069 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,15),-0.0447475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,14),0.0115546 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,9),0.0114474 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,4),0.0111808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,18),(18,18),(18,-1),0.0727042 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,18),(18,16),(18,15),0.447219 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,16),(18,14),0.086082 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,16),(18,9),-0.0236889 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,16),(18,4),-0.0549137 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,16),(18,-1),-0.0352734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,15),(18,14),-0.0275077 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,15),(18,9),-0.0275077 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,15),(18,4),-0.0275077 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,15),(18,-1),-0.0640534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,14),(18,9),-0.0213799 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,14),(18,4),-0.0216291 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,14),(18,-1),0.0602446 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,9),(18,4),-0.0216291 # DEPENDENCYPART_GRANDSIBL
(20,18),(18,9),(18,-1),0.0601374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,18),(18,4),(18,-1),0.059792 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,19),(19,19),(19,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,19),(19,19),(19,22),-0.177568 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,19),(19,19),(19,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,19),(19,19),(19,24),-0.177568 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,19),(19,19),(19,26),0.129787 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,19),(19,20),(19,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,19),(19,20),(19,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,19),(19,20),(19,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,19),(19,20),(19,26),-0.159062 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,19),(19,22),(19,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,19),(19,22),(19,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,19),(19,22),(19,26),-0.217848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,19),(19,23),(19,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,19),(19,23),(19,26),-0.155116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,19),(19,24),(19,26),-0.217848 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,19),(19,19),(19,18),-0.046604 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,19),(19,19),(19,-1),-0.106708 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,19),(19,18),(19,-1),-0.0476459 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,21),(21,23),-0.0112547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,26),-0.0362423 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,23),(21,26),-0.0191591 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,21),(21,-1),-0.30442 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,22),(22,23),-0.0874743 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,24),0.035286 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,25),0.00656601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,26),0.0601733 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,23),(22,24),-0.0353354 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,23),(22,25),-0.0213923 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,23),(22,26),-0.0540385 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,24),(22,25),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,24),(22,26),-0.00332846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,25),(22,26),-0.0121011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,22),(22,21),0.100226 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,19),-0.14731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,18),-0.145925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,-1),-0.184364 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,21),(22,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,18),-0.144716 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,21),(22,-1),-0.174112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,19),(22,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,22),(22,19),(22,-1),-0.0583516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,18),(22,-1),-0.122302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,23),(23,24),0.0466819 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,26),-0.10534 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,23),(23,24),(23,26),0.120155 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,23),(23,22),0.0668013 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,21),0.110892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,-1),0.0617553 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,23),(23,22),(23,21),0.107966 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,-1),-0.207531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,21),(23,-1),-0.174669 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,24),(24,25),0.00656601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,26),0.0638063 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,24),(24,25),(24,26),-0.0121011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,24),(24,23),0.15742 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,22),0.0232624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,21),0.100226 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,-1),-0.185107 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,24),(24,23),(24,22),0.116234 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,23),(24,21),0.103434 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,23),(24,-1),-0.0451366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,22),(24,21),0.0601557 # DEPENDENCYPART_GRANDSIBL
(20,24),(24,22),(24,-1),-0.114714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,21),(24,-1),-0.174449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,25),(25,25),(25,26),-0.00722781 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,25),(25,25),(25,23),0.0996076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,25),(25,25),(25,-1),0.0191436 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,25),(25,23),(25,-1),-0.164963 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,23),(23,24),0.0161149 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,26),-0.0801419 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,23),(23,24),(23,26),0.0188875 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,23),(23,22),0.109331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,21),0.107209 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,23),(23,23),(23,-1),-0.126347 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,23),(23,22),(23,21),0.109527 # DEPENDENCYPART_GRANDSIBL
(21,23),(23,22),(23,-1),-0.148371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,23),(23,21),(23,-1),-0.147691 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,18),(18,18),(18,19),0.11153 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,20),0.147049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,22),-0.145509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,23),-0.144837 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,26),-0.253553 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,18),(18,19),(18,20),0.10954 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,19),(18,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,19),(18,23),-0.144708 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,19),(18,26),-0.160096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,20),(18,22),-0.144702 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,20),(18,23),-0.144707 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,20),(18,26),-0.109295 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,22),(18,23),-0.144768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,22),(18,26),-0.16752 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,18),(18,23),(18,26),-0.135573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,18),(18,16),-0.0106744 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,15),-0.0308306 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,14),0.0188286 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,9),0.0188286 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,4),0.0188211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,-1),-0.000190431 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,18),(18,16),(18,15),0.164455 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,16),(18,14),0.0869186 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,16),(18,9),0.0642654 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,16),(18,4),0.078478 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,16),(18,-1),-0.0237553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,15),(18,14),-0.0199503 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,15),(18,9),-0.0199533 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,15),(18,4),-0.0199503 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,15),(18,-1),0.0286353 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,14),(18,9),-0.0198505 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,14),(18,4),-0.0198505 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,14),(18,-1),-0.066833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,9),(18,4),-0.0198505 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,9),(18,-1),-0.0668361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,4),(18,-1),-0.0668405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,19),(19,20),0.108004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,22),-0.148261 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,23),-0.144706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,24),-0.148261 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,26),-0.09656 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,19),(19,20),(19,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,20),(19,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,20),(19,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,20),(19,26),-0.146241 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,22),(19,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,22),(19,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,22),(19,26),-0.170299 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,19),(19,23),(19,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,19),(19,23),(19,26),-0.145625 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,24),(19,26),-0.170303 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,19),(19,19),(19,18),-0.0255876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,19),(19,19),(19,-1),-0.21652 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,19),(19,18),(19,-1),-0.0379478 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,21),(21,23),-0.146288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,26),0.0508085 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,21),(21,23),(21,26),-0.162883 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,21),(21,-1),0.17231 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,23),(23,23),(23,24),0.131931 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,23),(23,26),-0.348088 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,23),(23,24),(23,26),0.0727947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,23),(23,22),0.0419848 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,23),(23,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,23),(23,-1),-0.111094 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,23),(23,22),(23,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,-1),-0.194414 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,23),(23,21),(23,-1),-0.167852 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,24),(24,24),(24,25),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,24),(24,24),(24,26),0.133223 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,24),(24,25),(24,26),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,24),(24,24),(24,23),0.162867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,24),(24,24),(24,22),0.161031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,24),(24,24),(24,21),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,24),(24,24),(24,-1),-0.0203318 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,24),(24,23),(24,22),0.104698 # DEPENDENCYPART_GRANDSIBL
(22,24),(24,23),(24,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,24),(24,23),(24,-1),-0.10373 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,24),(24,22),(24,21),-0.144975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,24),(24,22),(24,-1),-0.173937 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,24),(24,21),(24,-1),-0.121563 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,25),(25,25),(25,26),0.00397969 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,25),(25,25),(25,23),0.109218 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,25),(25,25),(25,-1),-0.112602 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,25),(25,23),(25,-1),-0.145072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,21),(21,21),(21,23),-0.147372 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,21),(21,21),(21,26),-0.168248 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,21),(21,23),(21,26),-0.148795 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,21),(21,21),(21,-1),-0.0319753 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,22),(22,22),(22,23),-0.152087 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,22),(22,22),(22,24),-0.150312 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,22),(22,22),(22,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,22),(22,22),(22,26),-0.175734 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,22),(22,23),(22,24),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,22),(22,23),(22,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,22),(22,23),(22,26),-0.140863 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,22),(22,24),(22,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
