# _root_ And some carriers are facing other unexpected headaches : USAir , for example , blamed some of its loss on merger expenses and on disruptions caused by Hurricane Hugo last month .
#goldHeads=4,3,4,0,4,8,8,5,4,15,15,15,12,15,4,15,16,19,17,23,22,20,15,23,24,25,26,29,27,31,26,4,
#predictedHeads=4,3,4,0,4,8,8,5,4,15,15,15,12,15,4,15,16,19,17,23,22,20,15,23,24,25,26,29,27,31,26,4,
(5,19),(22,18),0.0556377 # DEPENDENCYPART_HEADBIGRAM
(5,19),(23,18),0.0614157 # DEPENDENCYPART_HEADBIGRAM
(5,19),(25,18),0.0556392 # DEPENDENCYPART_HEADBIGRAM
(5,20),(5,19),0.180551 # DEPENDENCYPART_HEADBIGRAM
(5,20),(8,19),-0.00923054 # DEPENDENCYPART_HEADBIGRAM
(5,20),(10,19),-0.00770455 # DEPENDENCYPART_HEADBIGRAM
(5,20),(13,19),-0.00774247 # DEPENDENCYPART_HEADBIGRAM
(5,20),(15,19),0.0949998 # DEPENDENCYPART_HEADBIGRAM
(5,20),(17,19),0.190756 # DEPENDENCYPART_HEADBIGRAM
(5,20),(20,19),0.109187 # DEPENDENCYPART_HEADBIGRAM
(5,20),(22,19),-0.026214 # DEPENDENCYPART_HEADBIGRAM
(5,20),(23,19),-0.0343162 # DEPENDENCYPART_HEADBIGRAM
(5,20),(26,19),0.100812 # DEPENDENCYPART_HEADBIGRAM
(5,23),(8,22),0.0715136 # DEPENDENCYPART_HEADBIGRAM
(5,23),(13,22),0.0665422 # DEPENDENCYPART_HEADBIGRAM
(5,23),(15,22),0.116801 # DEPENDENCYPART_HEADBIGRAM
(5,23),(17,22),0.161328 # DEPENDENCYPART_HEADBIGRAM
(5,23),(19,22),0.0857318 # DEPENDENCYPART_HEADBIGRAM
(5,23),(20,22),0.181715 # DEPENDENCYPART_HEADBIGRAM
(5,23),(21,22),0.0814494 # DEPENDENCYPART_HEADBIGRAM
(5,23),(23,22),0.0462127 # DEPENDENCYPART_HEADBIGRAM
(5,23),(25,22),0.0356891 # DEPENDENCYPART_HEADBIGRAM
(5,23),(26,22),0.0854695 # DEPENDENCYPART_HEADBIGRAM
(5,32),(15,31),0.0992348 # DEPENDENCYPART_HEADBIGRAM
(5,32),(23,31),0.245491 # DEPENDENCYPART_HEADBIGRAM
(5,32),(24,31),0.166441 # DEPENDENCYPART_HEADBIGRAM
(5,32),(25,31),0.05429 # DEPENDENCYPART_HEADBIGRAM
(5,32),(26,31),0.0805738 # DEPENDENCYPART_HEADBIGRAM
(5,32),(27,31),0.0944897 # DEPENDENCYPART_HEADBIGRAM
(5,32),(28,31),0.0744336 # DEPENDENCYPART_HEADBIGRAM
(5,32),(29,31),0.103155 # DEPENDENCYPART_HEADBIGRAM
(5,32),(30,31),0.0872803 # DEPENDENCYPART_HEADBIGRAM
(5,32),(32,31),0.00941306 # DEPENDENCYPART_HEADBIGRAM
(6,2),(0,1),-0.152334 # DEPENDENCYPART_HEADBIGRAM
(6,2),(3,1),-0.0965767 # DEPENDENCYPART_HEADBIGRAM
(6,2),(4,1),-0.110432 # DEPENDENCYPART_HEADBIGRAM
(6,2),(5,1),-0.11307 # DEPENDENCYPART_HEADBIGRAM
(6,2),(6,1),0.0728082 # DEPENDENCYPART_HEADBIGRAM
(6,2),(7,1),0.0750787 # DEPENDENCYPART_HEADBIGRAM
(6,2),(8,1),0.094646 # DEPENDENCYPART_HEADBIGRAM
(6,2),(15,1),0.07998 # DEPENDENCYPART_HEADBIGRAM
(6,2),(23,1),0.0784768 # DEPENDENCYPART_HEADBIGRAM
(6,3),(1,2),-0.0922763 # DEPENDENCYPART_HEADBIGRAM
(6,3),(3,2),-0.0480226 # DEPENDENCYPART_HEADBIGRAM
(6,3),(4,2),-0.110544 # DEPENDENCYPART_HEADBIGRAM
(6,3),(6,2),0.05783 # DEPENDENCYPART_HEADBIGRAM
(6,3),(8,2),0.167472 # DEPENDENCYPART_HEADBIGRAM
(6,3),(10,2),0.167472 # DEPENDENCYPART_HEADBIGRAM
(6,3),(15,2),0.0846082 # DEPENDENCYPART_HEADBIGRAM
(6,3),(23,2),0.0872842 # DEPENDENCYPART_HEADBIGRAM
(6,7),(1,6),-0.0745183 # DEPENDENCYPART_HEADBIGRAM
(6,7),(3,6),-0.0501948 # DEPENDENCYPART_HEADBIGRAM
(6,7),(4,6),-0.11042 # DEPENDENCYPART_HEADBIGRAM
(6,7),(5,6),-0.108747 # DEPENDENCYPART_HEADBIGRAM
(6,7),(7,6),0.0205464 # DEPENDENCYPART_HEADBIGRAM
(6,7),(8,6),0.118976 # DEPENDENCYPART_HEADBIGRAM
(6,7),(10,6),0.119846 # DEPENDENCYPART_HEADBIGRAM
(6,7),(13,6),0.109044 # DEPENDENCYPART_HEADBIGRAM
(6,7),(15,6),0.0599788 # DEPENDENCYPART_HEADBIGRAM
(6,7),(23,6),0.0769942 # DEPENDENCYPART_HEADBIGRAM
(6,8),(4,7),-0.061057 # DEPENDENCYPART_HEADBIGRAM
(6,8),(5,7),-0.0640322 # DEPENDENCYPART_HEADBIGRAM
(6,8),(6,7),0.0993794 # DEPENDENCYPART_HEADBIGRAM
(6,8),(8,7),0.145837 # DEPENDENCYPART_HEADBIGRAM
(6,8),(10,7),0.0760394 # DEPENDENCYPART_HEADBIGRAM
(6,8),(15,7),0.0779093 # DEPENDENCYPART_HEADBIGRAM
(6,8),(23,7),0.0773047 # DEPENDENCYPART_HEADBIGRAM
(6,9),(1,8),-0.06028 # DEPENDENCYPART_HEADBIGRAM
(6,9),(3,8),-0.0592058 # DEPENDENCYPART_HEADBIGRAM
(6,9),(4,8),-0.053267 # DEPENDENCYPART_HEADBIGRAM
(6,9),(5,8),-0.0542657 # DEPENDENCYPART_HEADBIGRAM
(6,9),(6,8),0.12025 # DEPENDENCYPART_HEADBIGRAM
(6,9),(7,8),0.0972994 # DEPENDENCYPART_HEADBIGRAM
(6,9),(10,8),0.0721789 # DEPENDENCYPART_HEADBIGRAM
(6,9),(13,8),0.0742021 # DEPENDENCYPART_HEADBIGRAM
(6,9),(15,8),0.0840263 # DEPENDENCYPART_HEADBIGRAM
(6,9),(23,8),0.0793312 # DEPENDENCYPART_HEADBIGRAM
(6,10),(1,9),-0.0618061 # DEPENDENCYPART_HEADBIGRAM
(6,10),(3,9),-0.062388 # DEPENDENCYPART_HEADBIGRAM
(6,10),(4,9),-0.0644492 # DEPENDENCYPART_HEADBIGRAM
(6,10),(5,9),-0.0644492 # DEPENDENCYPART_HEADBIGRAM
(6,10),(6,9),0.0830476 # DEPENDENCYPART_HEADBIGRAM
(6,10),(7,9),0.0897258 # DEPENDENCYPART_HEADBIGRAM
(6,10),(8,9),0.088874 # DEPENDENCYPART_HEADBIGRAM
(6,10),(10,9),0.0707887 # DEPENDENCYPART_HEADBIGRAM
(6,10),(15,9),0.0752917 # DEPENDENCYPART_HEADBIGRAM
(6,10),(23,9),0.0808402 # DEPENDENCYPART_HEADBIGRAM
(6,11),(1,10),-0.0710749 # DEPENDENCYPART_HEADBIGRAM
(6,11),(3,10),-0.0682935 # DEPENDENCYPART_HEADBIGRAM
(6,11),(5,10),-0.0624482 # DEPENDENCYPART_HEADBIGRAM
(6,11),(6,10),0.133996 # DEPENDENCYPART_HEADBIGRAM
(6,11),(7,10),0.101908 # DEPENDENCYPART_HEADBIGRAM
(6,11),(8,10),0.111345 # DEPENDENCYPART_HEADBIGRAM
(6,11),(13,10),0.0732762 # DEPENDENCYPART_HEADBIGRAM
(6,11),(15,10),0.0686271 # DEPENDENCYPART_HEADBIGRAM
(6,11),(23,10),0.0745487 # DEPENDENCYPART_HEADBIGRAM
(6,12),(1,11),-0.0673199 # DEPENDENCYPART_HEADBIGRAM
(6,12),(4,11),-0.0580757 # DEPENDENCYPART_HEADBIGRAM
(6,12),(5,11),-0.0579331 # DEPENDENCYPART_HEADBIGRAM
(6,12),(6,11),0.109484 # DEPENDENCYPART_HEADBIGRAM
(6,12),(8,11),0.0866791 # DEPENDENCYPART_HEADBIGRAM
(6,12),(10,11),0.0780384 # DEPENDENCYPART_HEADBIGRAM
(6,12),(12,11),0.0704502 # DEPENDENCYPART_HEADBIGRAM
(6,12),(13,11),0.0703112 # DEPENDENCYPART_HEADBIGRAM
(6,12),(15,11),0.0747666 # DEPENDENCYPART_HEADBIGRAM
(6,12),(23,11),0.069461 # DEPENDENCYPART_HEADBIGRAM
(6,13),(4,12),-0.0483735 # DEPENDENCYPART_HEADBIGRAM
(6,13),(5,12),-0.048058 # DEPENDENCYPART_HEADBIGRAM
(6,13),(6,12),0.102856 # DEPENDENCYPART_HEADBIGRAM
(6,13),(8,12),0.101701 # DEPENDENCYPART_HEADBIGRAM
(6,13),(10,12),0.0973816 # DEPENDENCYPART_HEADBIGRAM
(6,13),(11,12),0.0875599 # DEPENDENCYPART_HEADBIGRAM
(6,13),(13,12),0.102734 # DEPENDENCYPART_HEADBIGRAM
(6,13),(15,12),0.09174 # DEPENDENCYPART_HEADBIGRAM
(6,13),(23,12),0.0853634 # DEPENDENCYPART_HEADBIGRAM
(6,13),(26,12),0.0917081 # DEPENDENCYPART_HEADBIGRAM
(6,15),(3,14),-0.0552972 # DEPENDENCYPART_HEADBIGRAM
(6,15),(4,14),-0.0339315 # DEPENDENCYPART_HEADBIGRAM
(6,15),(5,14),-0.0337834 # DEPENDENCYPART_HEADBIGRAM
(6,15),(8,14),0.120405 # DEPENDENCYPART_HEADBIGRAM
(6,15),(10,14),0.0972268 # DEPENDENCYPART_HEADBIGRAM
(6,15),(12,14),0.096519 # DEPENDENCYPART_HEADBIGRAM
(6,15),(13,14),0.10625 # DEPENDENCYPART_HEADBIGRAM
(6,15),(15,14),0.104624 # DEPENDENCYPART_HEADBIGRAM
(6,15),(23,14),0.0771036 # DEPENDENCYPART_HEADBIGRAM
(6,15),(26,14),0.0914765 # DEPENDENCYPART_HEADBIGRAM
(7,3),(1,2),-0.0922763 # DEPENDENCYPART_HEADBIGRAM
(7,3),(3,2),-0.0477303 # DEPENDENCYPART_HEADBIGRAM
(7,3),(4,2),-0.110544 # DEPENDENCYPART_HEADBIGRAM
(7,3),(6,2),-0.115157 # DEPENDENCYPART_HEADBIGRAM
(7,3),(8,2),0.168708 # DEPENDENCYPART_HEADBIGRAM
(7,3),(10,2),0.168708 # DEPENDENCYPART_HEADBIGRAM
(7,3),(15,2),0.0846082 # DEPENDENCYPART_HEADBIGRAM
(7,3),(23,2),0.0872842 # DEPENDENCYPART_HEADBIGRAM
(7,6),(0,5),-0.138269 # DEPENDENCYPART_HEADBIGRAM
(7,6),(1,5),-0.111539 # DEPENDENCYPART_HEADBIGRAM
(7,6),(2,5),-0.137253 # DEPENDENCYPART_HEADBIGRAM
(7,6),(3,5),-0.0970335 # DEPENDENCYPART_HEADBIGRAM
(7,6),(4,5),-0.108707 # DEPENDENCYPART_HEADBIGRAM
(7,6),(8,5),0.101158 # DEPENDENCYPART_HEADBIGRAM
(7,6),(15,5),0.112656 # DEPENDENCYPART_HEADBIGRAM
(7,6),(23,5),0.107535 # DEPENDENCYPART_HEADBIGRAM
(7,8),(4,7),-0.003842 # DEPENDENCYPART_HEADBIGRAM
(7,8),(5,7),-0.0117446 # DEPENDENCYPART_HEADBIGRAM
(7,8),(6,7),-0.0679148 # DEPENDENCYPART_HEADBIGRAM
(7,8),(8,7),-0.0042338 # DEPENDENCYPART_HEADBIGRAM
(7,8),(10,7),0.114125 # DEPENDENCYPART_HEADBIGRAM
(7,8),(15,7),0.120833 # DEPENDENCYPART_HEADBIGRAM
(7,8),(23,7),0.0643471 # DEPENDENCYPART_HEADBIGRAM
(7,9),(1,8),-0.0590948 # DEPENDENCYPART_HEADBIGRAM
(7,9),(3,8),-0.0584091 # DEPENDENCYPART_HEADBIGRAM
(7,9),(4,8),-0.0524702 # DEPENDENCYPART_HEADBIGRAM
(7,9),(5,8),-0.053469 # DEPENDENCYPART_HEADBIGRAM
(7,9),(6,8),-0.0575376 # DEPENDENCYPART_HEADBIGRAM
(7,9),(7,8),0.0958849 # DEPENDENCYPART_HEADBIGRAM
(7,9),(10,8),0.0785123 # DEPENDENCYPART_HEADBIGRAM
(7,9),(13,8),0.0789992 # DEPENDENCYPART_HEADBIGRAM
(7,9),(15,8),0.0839425 # DEPENDENCYPART_HEADBIGRAM
(7,9),(23,8),0.0798041 # DEPENDENCYPART_HEADBIGRAM
(7,10),(1,9),-0.0618061 # DEPENDENCYPART_HEADBIGRAM
(7,10),(3,9),-0.062388 # DEPENDENCYPART_HEADBIGRAM
(7,10),(4,9),-0.0644492 # DEPENDENCYPART_HEADBIGRAM
(7,10),(5,9),-0.0644492 # DEPENDENCYPART_HEADBIGRAM
(7,10),(6,9),-0.0600816 # DEPENDENCYPART_HEADBIGRAM
(7,10),(7,9),0.0911093 # DEPENDENCYPART_HEADBIGRAM
(7,10),(8,9),0.088874 # DEPENDENCYPART_HEADBIGRAM
(7,10),(10,9),0.0707887 # DEPENDENCYPART_HEADBIGRAM
(7,10),(15,9),0.0752917 # DEPENDENCYPART_HEADBIGRAM
(7,10),(23,9),0.0808402 # DEPENDENCYPART_HEADBIGRAM
(7,13),(4,12),-0.0483683 # DEPENDENCYPART_HEADBIGRAM
(7,13),(5,12),-0.0480528 # DEPENDENCYPART_HEADBIGRAM
(7,13),(6,12),-0.0616491 # DEPENDENCYPART_HEADBIGRAM
(7,13),(8,12),0.101704 # DEPENDENCYPART_HEADBIGRAM
(7,13),(10,12),0.097385 # DEPENDENCYPART_HEADBIGRAM
(7,13),(11,12),0.0875599 # DEPENDENCYPART_HEADBIGRAM
(7,13),(13,12),0.102734 # DEPENDENCYPART_HEADBIGRAM
(7,13),(15,12),0.0917452 # DEPENDENCYPART_HEADBIGRAM
(7,13),(23,12),0.0853634 # DEPENDENCYPART_HEADBIGRAM
(7,13),(26,12),0.0917133 # DEPENDENCYPART_HEADBIGRAM
(8,2),(0,1),0.00798558 # DEPENDENCYPART_HEADBIGRAM
(8,2),(3,1),-0.149564 # DEPENDENCYPART_HEADBIGRAM
(8,2),(4,1),-0.0954304 # DEPENDENCYPART_HEADBIGRAM
(8,2),(5,1),-0.0780433 # DEPENDENCYPART_HEADBIGRAM
(8,2),(6,1),-0.112918 # DEPENDENCYPART_HEADBIGRAM
(8,2),(7,1),-0.11203 # DEPENDENCYPART_HEADBIGRAM
(8,2),(8,1),0.0683411 # DEPENDENCYPART_HEADBIGRAM
(8,2),(15,1),0.146397 # DEPENDENCYPART_HEADBIGRAM
(8,2),(23,1),0.0551888 # DEPENDENCYPART_HEADBIGRAM
(8,3),(1,2),-0.0629602 # DEPENDENCYPART_HEADBIGRAM
(8,3),(3,2),-0.0463697 # DEPENDENCYPART_HEADBIGRAM
(8,3),(4,2),-0.113989 # DEPENDENCYPART_HEADBIGRAM
(8,3),(6,2),-0.115209 # DEPENDENCYPART_HEADBIGRAM
(8,3),(8,2),0.081623 # DEPENDENCYPART_HEADBIGRAM
(8,3),(10,2),0.149442 # DEPENDENCYPART_HEADBIGRAM
(8,3),(15,2),0.0854044 # DEPENDENCYPART_HEADBIGRAM
(8,3),(23,2),0.151994 # DEPENDENCYPART_HEADBIGRAM
(8,5),(0,4),-0.155482 # DEPENDENCYPART_HEADBIGRAM
(8,5),(1,4),-0.0778959 # DEPENDENCYPART_HEADBIGRAM
(8,5),(2,4),-0.0852662 # DEPENDENCYPART_HEADBIGRAM
(8,5),(3,4),-0.0496061 # DEPENDENCYPART_HEADBIGRAM
(8,5),(5,4),-0.100818 # DEPENDENCYPART_HEADBIGRAM
(8,5),(13,4),0.100044 # DEPENDENCYPART_HEADBIGRAM
(8,5),(15,4),0.0944543 # DEPENDENCYPART_HEADBIGRAM
(8,5),(19,4),0.106472 # DEPENDENCYPART_HEADBIGRAM
(8,5),(23,4),0.0902683 # DEPENDENCYPART_HEADBIGRAM
(8,6),(0,5),-0.100491 # DEPENDENCYPART_HEADBIGRAM
(8,6),(1,5),-0.0563803 # DEPENDENCYPART_HEADBIGRAM
(8,6),(2,5),-0.139189 # DEPENDENCYPART_HEADBIGRAM
(8,6),(3,5),-0.118277 # DEPENDENCYPART_HEADBIGRAM
(8,6),(4,5),-0.0661831 # DEPENDENCYPART_HEADBIGRAM
(8,6),(8,5),0.0937067 # DEPENDENCYPART_HEADBIGRAM
(8,6),(15,5),0.108016 # DEPENDENCYPART_HEADBIGRAM
(8,6),(23,5),0.140813 # DEPENDENCYPART_HEADBIGRAM
(8,7),(1,6),-0.107438 # DEPENDENCYPART_HEADBIGRAM
(8,7),(3,6),-0.106412 # DEPENDENCYPART_HEADBIGRAM
(8,7),(4,6),-0.173807 # DEPENDENCYPART_HEADBIGRAM
(8,7),(5,6),-0.166608 # DEPENDENCYPART_HEADBIGRAM
(8,7),(7,6),-0.0581939 # DEPENDENCYPART_HEADBIGRAM
(8,7),(8,6),0.108279 # DEPENDENCYPART_HEADBIGRAM
(8,7),(10,6),0.118111 # DEPENDENCYPART_HEADBIGRAM
(8,7),(13,6),0.0822204 # DEPENDENCYPART_HEADBIGRAM
(8,7),(15,6),0.0646608 # DEPENDENCYPART_HEADBIGRAM
(8,7),(23,6),0.0899927 # DEPENDENCYPART_HEADBIGRAM
(8,9),(1,8),-0.0643943 # DEPENDENCYPART_HEADBIGRAM
(8,9),(3,8),-0.0304528 # DEPENDENCYPART_HEADBIGRAM
(8,9),(4,8),-0.0393654 # DEPENDENCYPART_HEADBIGRAM
(8,9),(5,8),-0.0417038 # DEPENDENCYPART_HEADBIGRAM
(8,9),(6,8),-0.0333901 # DEPENDENCYPART_HEADBIGRAM
(8,9),(7,8),-0.0334012 # DEPENDENCYPART_HEADBIGRAM
(8,9),(10,8),0.0512145 # DEPENDENCYPART_HEADBIGRAM
(8,9),(13,8),0.0454978 # DEPENDENCYPART_HEADBIGRAM
(8,9),(15,8),0.0671844 # DEPENDENCYPART_HEADBIGRAM
(8,9),(23,8),0.0708345 # DEPENDENCYPART_HEADBIGRAM
(8,10),(1,9),-0.0547684 # DEPENDENCYPART_HEADBIGRAM
(8,10),(3,9),-0.0520632 # DEPENDENCYPART_HEADBIGRAM
(8,10),(4,9),-0.0697731 # DEPENDENCYPART_HEADBIGRAM
(8,10),(5,9),-0.0667395 # DEPENDENCYPART_HEADBIGRAM
(8,10),(6,9),-0.0586234 # DEPENDENCYPART_HEADBIGRAM
(8,10),(7,9),-0.0586918 # DEPENDENCYPART_HEADBIGRAM
(8,10),(8,9),0.131606 # DEPENDENCYPART_HEADBIGRAM
(8,10),(10,9),0.0936183 # DEPENDENCYPART_HEADBIGRAM
(8,10),(15,9),0.0696834 # DEPENDENCYPART_HEADBIGRAM
(8,10),(23,9),0.0826402 # DEPENDENCYPART_HEADBIGRAM
(8,11),(1,10),-0.0399015 # DEPENDENCYPART_HEADBIGRAM
(8,11),(3,10),-0.0890672 # DEPENDENCYPART_HEADBIGRAM
(8,11),(5,10),-0.0940156 # DEPENDENCYPART_HEADBIGRAM
(8,11),(6,10),-0.0609024 # DEPENDENCYPART_HEADBIGRAM
(8,11),(7,10),-0.0603251 # DEPENDENCYPART_HEADBIGRAM
(8,11),(8,10),0.0838271 # DEPENDENCYPART_HEADBIGRAM
(8,11),(13,10),0.0365653 # DEPENDENCYPART_HEADBIGRAM
(8,11),(15,10),0.0328093 # DEPENDENCYPART_HEADBIGRAM
(8,11),(23,10),0.0706281 # DEPENDENCYPART_HEADBIGRAM
(8,12),(1,11),-0.0989717 # DEPENDENCYPART_HEADBIGRAM
(8,12),(4,11),-0.0964992 # DEPENDENCYPART_HEADBIGRAM
(8,12),(5,11),-0.100905 # DEPENDENCYPART_HEADBIGRAM
(8,12),(6,11),-0.0638901 # DEPENDENCYPART_HEADBIGRAM
(8,12),(8,11),0.0844901 # DEPENDENCYPART_HEADBIGRAM
(8,12),(10,11),0.0675857 # DEPENDENCYPART_HEADBIGRAM
(8,12),(12,11),0.0409778 # DEPENDENCYPART_HEADBIGRAM
(8,12),(13,11),0.0757446 # DEPENDENCYPART_HEADBIGRAM
(8,12),(15,11),0.0488364 # DEPENDENCYPART_HEADBIGRAM
(8,12),(23,11),0.0337053 # DEPENDENCYPART_HEADBIGRAM
(8,13),(4,12),-0.0849463 # DEPENDENCYPART_HEADBIGRAM
(8,13),(5,12),-0.064153 # DEPENDENCYPART_HEADBIGRAM
(8,13),(6,12),-0.0759378 # DEPENDENCYPART_HEADBIGRAM
(8,13),(8,12),0.0385444 # DEPENDENCYPART_HEADBIGRAM
(8,13),(10,12),0.151866 # DEPENDENCYPART_HEADBIGRAM
(8,13),(11,12),0.0677095 # DEPENDENCYPART_HEADBIGRAM
(8,13),(13,12),0.0746186 # DEPENDENCYPART_HEADBIGRAM
(8,13),(15,12),0.0738916 # DEPENDENCYPART_HEADBIGRAM
(8,13),(23,12),0.13498 # DEPENDENCYPART_HEADBIGRAM
(8,13),(26,12),0.0816176 # DEPENDENCYPART_HEADBIGRAM
(8,14),(5,13),-0.0929196 # DEPENDENCYPART_HEADBIGRAM
(8,14),(6,13),-0.0598065 # DEPENDENCYPART_HEADBIGRAM
(8,14),(7,13),-0.0592292 # DEPENDENCYPART_HEADBIGRAM
(8,14),(8,13),0.115028 # DEPENDENCYPART_HEADBIGRAM
(8,14),(9,13),0.0842405 # DEPENDENCYPART_HEADBIGRAM
(8,14),(10,13),0.0964456 # DEPENDENCYPART_HEADBIGRAM
(8,14),(12,13),0.173333 # DEPENDENCYPART_HEADBIGRAM
(8,14),(15,13),0.0189403 # DEPENDENCYPART_HEADBIGRAM
(8,14),(23,13),0.0678831 # DEPENDENCYPART_HEADBIGRAM
(8,14),(26,13),0.031376 # DEPENDENCYPART_HEADBIGRAM
(8,15),(3,14),-0.088905 # DEPENDENCYPART_HEADBIGRAM
(8,15),(4,14),0.0166765 # DEPENDENCYPART_HEADBIGRAM
(8,15),(5,14),0.0167968 # DEPENDENCYPART_HEADBIGRAM
(8,15),(8,14),0.122561 # DEPENDENCYPART_HEADBIGRAM
(8,15),(10,14),0.0553263 # DEPENDENCYPART_HEADBIGRAM
(8,15),(12,14),0.0762403 # DEPENDENCYPART_HEADBIGRAM
(8,15),(13,14),0.0640744 # DEPENDENCYPART_HEADBIGRAM
(8,15),(15,14),0.053127 # DEPENDENCYPART_HEADBIGRAM
(8,15),(23,14),0.0557961 # DEPENDENCYPART_HEADBIGRAM
(8,15),(26,14),0.101023 # DEPENDENCYPART_HEADBIGRAM
(8,16),(0,15),-0.0367994 # DEPENDENCYPART_HEADBIGRAM
(8,16),(1,15),-0.00292174 # DEPENDENCYPART_HEADBIGRAM
(8,16),(4,15),-0.0531442 # DEPENDENCYPART_HEADBIGRAM
(8,16),(5,15),-0.0666211 # DEPENDENCYPART_HEADBIGRAM
(8,16),(6,15),-0.0632319 # DEPENDENCYPART_HEADBIGRAM
(8,16),(8,15),0.0782033 # DEPENDENCYPART_HEADBIGRAM
(8,16),(10,15),0.069508 # DEPENDENCYPART_HEADBIGRAM
(8,16),(12,15),0.121765 # DEPENDENCYPART_HEADBIGRAM
(8,16),(13,15),0.0690852 # DEPENDENCYPART_HEADBIGRAM
(8,16),(23,15),0.135746 # DEPENDENCYPART_HEADBIGRAM
(8,17),(3,16),-0.0607051 # DEPENDENCYPART_HEADBIGRAM
(8,17),(8,16),0.0709267 # DEPENDENCYPART_HEADBIGRAM
(8,17),(13,16),0.0964336 # DEPENDENCYPART_HEADBIGRAM
(8,17),(15,16),0.0895874 # DEPENDENCYPART_HEADBIGRAM
(8,17),(17,16),0.0662395 # DEPENDENCYPART_HEADBIGRAM
(8,17),(19,16),0.0716177 # DEPENDENCYPART_HEADBIGRAM
(8,17),(21,16),0.0716177 # DEPENDENCYPART_HEADBIGRAM
(8,17),(22,16),0.0733134 # DEPENDENCYPART_HEADBIGRAM
(8,17),(23,16),0.0800603 # DEPENDENCYPART_HEADBIGRAM
(8,17),(25,16),0.0733134 # DEPENDENCYPART_HEADBIGRAM
(8,19),(19,18),0.102877 # DEPENDENCYPART_HEADBIGRAM
(8,19),(21,18),0.0818736 # DEPENDENCYPART_HEADBIGRAM
(8,19),(22,18),0.0818736 # DEPENDENCYPART_HEADBIGRAM
(8,19),(23,18),0.0761493 # DEPENDENCYPART_HEADBIGRAM
(8,19),(25,18),0.0818751 # DEPENDENCYPART_HEADBIGRAM
(8,20),(5,19),-0.0156703 # DEPENDENCYPART_HEADBIGRAM
(8,20),(8,19),0.0349003 # DEPENDENCYPART_HEADBIGRAM
(8,20),(10,19),0.0768026 # DEPENDENCYPART_HEADBIGRAM
(8,20),(13,19),0.0768029 # DEPENDENCYPART_HEADBIGRAM
(8,20),(15,19),0.0592968 # DEPENDENCYPART_HEADBIGRAM
(8,20),(17,19),0.125499 # DEPENDENCYPART_HEADBIGRAM
(8,20),(20,19),0.0711442 # DEPENDENCYPART_HEADBIGRAM
(8,20),(22,19),0.0447151 # DEPENDENCYPART_HEADBIGRAM
(8,20),(23,19),0.0855815 # DEPENDENCYPART_HEADBIGRAM
(8,20),(26,19),0.0859425 # DEPENDENCYPART_HEADBIGRAM
(8,22),(15,21),0.0544435 # DEPENDENCYPART_HEADBIGRAM
(8,22),(17,21),0.0912944 # DEPENDENCYPART_HEADBIGRAM
(8,22),(19,21),0.0799977 # DEPENDENCYPART_HEADBIGRAM
(8,22),(20,21),0.0609647 # DEPENDENCYPART_HEADBIGRAM
(8,22),(22,21),0.147601 # DEPENDENCYPART_HEADBIGRAM
(8,22),(23,21),0.0430432 # DEPENDENCYPART_HEADBIGRAM
(8,22),(25,21),0.0842975 # DEPENDENCYPART_HEADBIGRAM
(8,22),(26,21),0.0433542 # DEPENDENCYPART_HEADBIGRAM
(8,23),(8,22),0.0412603 # DEPENDENCYPART_HEADBIGRAM
(8,23),(13,22),0.0771839 # DEPENDENCYPART_HEADBIGRAM
(8,23),(15,22),0.0666476 # DEPENDENCYPART_HEADBIGRAM
(8,23),(17,22),0.327606 # DEPENDENCYPART_HEADBIGRAM
(8,23),(19,22),0.0984003 # DEPENDENCYPART_HEADBIGRAM
(8,23),(20,22),0.175202 # DEPENDENCYPART_HEADBIGRAM
(8,23),(21,22),0.0996621 # DEPENDENCYPART_HEADBIGRAM
(8,23),(23,22),0.0118448 # DEPENDENCYPART_HEADBIGRAM
(8,23),(25,22),0.047968 # DEPENDENCYPART_HEADBIGRAM
(8,23),(26,22),0.0379517 # DEPENDENCYPART_HEADBIGRAM
(8,26),(15,25),0.0625277 # DEPENDENCYPART_HEADBIGRAM
(8,26),(17,25),0.112809 # DEPENDENCYPART_HEADBIGRAM
(8,26),(19,25),0.110038 # DEPENDENCYPART_HEADBIGRAM
(8,26),(20,25),0.0796645 # DEPENDENCYPART_HEADBIGRAM
(8,26),(22,25),0.0597301 # DEPENDENCYPART_HEADBIGRAM
(8,26),(23,25),0.150799 # DEPENDENCYPART_HEADBIGRAM
(8,26),(24,25),0.143292 # DEPENDENCYPART_HEADBIGRAM
(8,26),(26,25),0.16896 # DEPENDENCYPART_HEADBIGRAM
(8,26),(29,25),0.0714447 # DEPENDENCYPART_HEADBIGRAM
(8,26),(30,25),0.0705679 # DEPENDENCYPART_HEADBIGRAM
(8,32),(15,31),0.0678219 # DEPENDENCYPART_HEADBIGRAM
(8,32),(23,31),0.0637876 # DEPENDENCYPART_HEADBIGRAM
(8,32),(24,31),0.0710978 # DEPENDENCYPART_HEADBIGRAM
(8,32),(25,31),0.105313 # DEPENDENCYPART_HEADBIGRAM
(8,32),(26,31),0.068575 # DEPENDENCYPART_HEADBIGRAM
(8,32),(27,31),0.0690814 # DEPENDENCYPART_HEADBIGRAM
(8,32),(28,31),0.0907755 # DEPENDENCYPART_HEADBIGRAM
