# _root_ Directors of Bergen Bank and Den Norske Creditbank , two of Norway 's leading banks , announced they had agreed to the formal merger of the banks .
#goldHeads=17,1,4,5,2,8,8,5,5,5,10,15,12,15,11,5,0,19,17,19,20,24,24,21,24,27,25,17,
#predictedHeads=17,1,4,5,2,8,8,5,8,8,10,15,12,15,11,8,0,19,17,19,20,24,24,21,24,27,25,17,
(7,13),(7,15),(7,16),-0.119421 # DEPENDENCYPART_TRISIBL
(7,13),(7,15),(7,29),-0.0851108 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,13),(7,16),(7,29),-0.116507 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,15),(7,16),(7,29),-0.0428316 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,6),(7,5),-0.168919 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,6),(7,4),-0.148587 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,6),(7,3),-0.190225 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,6),(7,1),-0.192051 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,6),(7,-1),-0.166734 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,5),(7,4),-0.00937469 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,5),(7,3),-0.0504372 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,5),(7,1),-0.0527666 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,5),(7,-1),-0.155871 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,4),(7,3),-0.187934 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,4),(7,1),-0.18976 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,4),(7,-1),-0.161373 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,3),(7,1),-0.192051 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,3),(7,-1),-0.166734 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,1),(7,-1),-0.176182 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,6),(7,5),(7,4),-0.0459359 # DEPENDENCYPART_TRISIBL
(7,6),(7,5),(7,3),-0.0414807 # DEPENDENCYPART_TRISIBL
(7,6),(7,5),(7,1),-0.0434232 # DEPENDENCYPART_TRISIBL
(7,6),(7,5),(7,-1),-0.264201 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,6),(7,4),(7,3),-0.0434858 # DEPENDENCYPART_TRISIBL
(7,6),(7,4),(7,1),-0.0449689 # DEPENDENCYPART_TRISIBL
(7,6),(7,4),(7,-1),-0.107825 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,6),(7,3),(7,1),-0.0407237 # DEPENDENCYPART_TRISIBL
(7,6),(7,3),(7,-1),-0.108102 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,6),(7,1),(7,-1),-0.108307 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,5),(7,4),(7,3),0.00334947 # DEPENDENCYPART_TRISIBL
(7,5),(7,4),(7,1),0.00334932 # DEPENDENCYPART_TRISIBL
(7,5),(7,4),(7,-1),-0.143019 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,5),(7,3),(7,1),0.00652003 # DEPENDENCYPART_TRISIBL
(7,5),(7,3),(7,-1),-0.142872 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,5),(7,1),(7,-1),-0.142875 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,4),(7,3),(7,1),-0.0548874 # DEPENDENCYPART_TRISIBL
(7,4),(7,3),(7,-1),-0.0760128 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,4),(7,1),(7,-1),-0.0762181 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,3),(7,1),(7,-1),-0.108307 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,9),(8,10),-0.0632048 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,11),-0.227725 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,12),-0.0543666 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,13),-0.0368885 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,15),-0.0634429 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,16),-0.206723 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,17),-0.158975 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,19),-0.143473 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,20),-0.149719 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,24),-0.0554518 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,28),-0.200598 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,29),-0.680489 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,10),(8,11),-0.103857 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,12),-0.191148 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,13),0.017794 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,15),-0.200756 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,16),-0.0116101 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,17),-0.136588 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,19),-0.122386 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,20),-0.127556 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,24),-0.192225 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,28),-0.0923635 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,29),-0.100646 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,11),(8,12),-0.143238 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,11),(8,13),0.031349 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,11),(8,15),-0.152541 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,11),(8,16),-0.0433669 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,11),(8,17),-0.150579 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,11),(8,19),-0.138231 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,11),(8,20),-0.140297 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,11),(8,24),-0.144319 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,11),(8,28),-0.16952 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,11),(8,29),-0.0608333 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,12),(8,13),-0.00471736 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,12),(8,15),-0.125309 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,12),(8,16),-0.119002 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,12),(8,17),-0.118324 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,12),(8,19),-0.0963148 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,12),(8,20),-0.103895 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,12),(8,24),-0.11749 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,12),(8,28),-0.116266 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,12),(8,29),-0.115625 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,13),(8,15),-0.17208 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,13),(8,16),-0.0460459 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,13),(8,17),-0.146344 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,13),(8,19),-0.131815 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,13),(8,20),-0.137235 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,13),(8,24),-0.164125 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,13),(8,28),-0.133945 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,13),(8,29),0.0418691 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,15),(8,16),-0.116452 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,15),(8,17),-0.119117 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,15),(8,19),-0.0971068 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,15),(8,20),-0.104687 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,15),(8,24),-0.117611 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,15),(8,28),-0.117106 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,15),(8,29),-0.135312 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,16),(8,17),-0.158975 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,16),(8,19),-0.143473 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,16),(8,20),-0.149719 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,16),(8,24),-0.0554518 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,16),(8,28),-0.200598 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,16),(8,29),-0.680489 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,17),(8,19),-0.0822058 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,17),(8,20),-0.0923937 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,17),(8,24),-0.140796 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,17),(8,28),-0.061704 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,17),(8,29),-0.090619 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,19),(8,20),-0.0936701 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,19),(8,24),-0.141777 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,19),(8,28),-0.0464269 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,19),(8,29),-0.121278 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,20),(8,24),-0.140642 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,20),(8,28),-0.0555941 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,20),(8,29),-0.0948595 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,24),(8,28),-0.116264 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,24),(8,29),-0.119884 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,28),(8,29),-0.216513 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,9),(8,10),(8,11),-0.0792932 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,12),-0.00830777 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,13),-0.0666378 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,15),-0.00831699 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,16),0.395163 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,17),-0.0353767 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,19),-0.0347209 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,20),-0.0353477 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,24),-0.0083239 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,28),-0.146511 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,29),-0.0748699 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,11),(8,12),0.0113609 # DEPENDENCYPART_TRISIBL
(8,9),(8,11),(8,13),-0.0665699 # DEPENDENCYPART_TRISIBL
(8,9),(8,11),(8,15),0.0113516 # DEPENDENCYPART_TRISIBL
(8,9),(8,11),(8,16),0.34289 # DEPENDENCYPART_TRISIBL
(8,9),(8,11),(8,17),0.0270068 # DEPENDENCYPART_TRISIBL
(8,9),(8,11),(8,19),0.0264844 # DEPENDENCYPART_TRISIBL
(8,9),(8,11),(8,20),0.0270359 # DEPENDENCYPART_TRISIBL
(8,9),(8,11),(8,24),0.0113447 # DEPENDENCYPART_TRISIBL
(8,9),(8,11),(8,28),-0.0967458 # DEPENDENCYPART_TRISIBL
(8,9),(8,11),(8,29),-0.0725196 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,12),(8,13),-0.065535 # DEPENDENCYPART_TRISIBL
(8,9),(8,12),(8,15),-0.0825915 # DEPENDENCYPART_TRISIBL
(8,9),(8,12),(8,16),0.507475 # DEPENDENCYPART_TRISIBL
(8,9),(8,12),(8,17),-0.0523891 # DEPENDENCYPART_TRISIBL
(8,9),(8,12),(8,19),-0.0529712 # DEPENDENCYPART_TRISIBL
(8,9),(8,12),(8,20),-0.0523439 # DEPENDENCYPART_TRISIBL
(8,9),(8,12),(8,24),-0.0825984 # DEPENDENCYPART_TRISIBL
(8,9),(8,12),(8,28),-0.240184 # DEPENDENCYPART_TRISIBL
(8,9),(8,12),(8,29),-0.0989002 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,13),(8,15),0.00767118 # DEPENDENCYPART_TRISIBL
(8,9),(8,13),(8,16),0.344735 # DEPENDENCYPART_TRISIBL
(8,9),(8,13),(8,17),-0.0300053 # DEPENDENCYPART_TRISIBL
(8,9),(8,13),(8,19),-0.0292719 # DEPENDENCYPART_TRISIBL
(8,9),(8,13),(8,20),-0.0299763 # DEPENDENCYPART_TRISIBL
(8,9),(8,13),(8,24),0.00766427 # DEPENDENCYPART_TRISIBL
(8,9),(8,13),(8,28),-0.127585 # DEPENDENCYPART_TRISIBL
(8,9),(8,13),(8,29),-0.192616 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,15),(8,16),0.507122 # DEPENDENCYPART_TRISIBL
(8,9),(8,15),(8,17),-0.0523891 # DEPENDENCYPART_TRISIBL
(8,9),(8,15),(8,19),-0.0529712 # DEPENDENCYPART_TRISIBL
(8,9),(8,15),(8,20),-0.0523439 # DEPENDENCYPART_TRISIBL
(8,9),(8,15),(8,24),-0.082665 # DEPENDENCYPART_TRISIBL
(8,9),(8,15),(8,28),-0.240184 # DEPENDENCYPART_TRISIBL
(8,9),(8,15),(8,29),-0.098981 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,16),(8,17),-0.0554376 # DEPENDENCYPART_TRISIBL
(8,9),(8,16),(8,19),-0.0547029 # DEPENDENCYPART_TRISIBL
(8,9),(8,16),(8,20),-0.0554073 # DEPENDENCYPART_TRISIBL
(8,9),(8,16),(8,24),-0.000290353 # DEPENDENCYPART_TRISIBL
(8,9),(8,16),(8,28),-0.135954 # DEPENDENCYPART_TRISIBL
(8,9),(8,16),(8,29),-0.229749 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,17),(8,19),-0.0594095 # DEPENDENCYPART_TRISIBL
(8,9),(8,17),(8,20),-0.0598875 # DEPENDENCYPART_TRISIBL
(8,9),(8,17),(8,24),-0.0200688 # DEPENDENCYPART_TRISIBL
(8,9),(8,17),(8,28),-0.0845055 # DEPENDENCYPART_TRISIBL
(8,9),(8,17),(8,29),-0.0593201 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,19),(8,20),-0.0599558 # DEPENDENCYPART_TRISIBL
(8,9),(8,19),(8,24),-0.0200467 # DEPENDENCYPART_TRISIBL
(8,9),(8,19),(8,28),-0.0949362 # DEPENDENCYPART_TRISIBL
(8,9),(8,19),(8,29),-0.0644105 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,20),(8,24),-0.0200477 # DEPENDENCYPART_TRISIBL
(8,9),(8,20),(8,28),-0.0865639 # DEPENDENCYPART_TRISIBL
(8,9),(8,20),(8,29),-0.0664337 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,24),(8,28),-0.240184 # DEPENDENCYPART_TRISIBL
(8,9),(8,24),(8,29),-0.0994441 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,28),(8,29),-0.278389 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,11),(8,12),-0.106733 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,13),-0.0685229 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,15),-0.106935 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,16),-0.0497216 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,17),-0.0523964 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,19),-0.053552 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,20),-0.0524027 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,24),-0.106733 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,28),-0.044326 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,29),-0.0936854 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,12),(8,13),-0.0685299 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,15),-0.0943832 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,16),-0.0737884 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,17),-0.0594299 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,19),-0.0605526 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,20),-0.0594391 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,24),-0.0942817 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,28),-0.0680326 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,29),-0.109317 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,13),(8,15),-0.0916051 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,16),-0.0665611 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,17),-0.0576842 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,19),-0.0588069 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,20),-0.0576905 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,24),-0.0915038 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,28),-0.0623843 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,29),-0.0776914 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,15),(8,16),-0.0737909 # DEPENDENCYPART_TRISIBL
(8,10),(8,15),(8,17),-0.0594299 # DEPENDENCYPART_TRISIBL
(8,10),(8,15),(8,19),-0.0605526 # DEPENDENCYPART_TRISIBL
(8,10),(8,15),(8,20),-0.0594391 # DEPENDENCYPART_TRISIBL
(8,10),(8,15),(8,24),-0.0942817 # DEPENDENCYPART_TRISIBL
(8,10),(8,15),(8,28),-0.0680326 # DEPENDENCYPART_TRISIBL
(8,10),(8,15),(8,29),-0.109663 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,16),(8,17),-0.053258 # DEPENDENCYPART_TRISIBL
(8,10),(8,16),(8,19),-0.0562531 # DEPENDENCYPART_TRISIBL
(8,10),(8,16),(8,20),-0.0531113 # DEPENDENCYPART_TRISIBL
(8,10),(8,16),(8,24),-0.0668481 # DEPENDENCYPART_TRISIBL
(8,10),(8,16),(8,28),-0.0656304 # DEPENDENCYPART_TRISIBL
(8,10),(8,16),(8,29),-0.182722 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,17),(8,19),-0.0601605 # DEPENDENCYPART_TRISIBL
(8,10),(8,17),(8,20),-0.0590441 # DEPENDENCYPART_TRISIBL
(8,10),(8,17),(8,24),-0.0903861 # DEPENDENCYPART_TRISIBL
(8,10),(8,17),(8,28),-0.0749353 # DEPENDENCYPART_TRISIBL
(8,10),(8,17),(8,29),-0.0958083 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,19),(8,20),-0.0590448 # DEPENDENCYPART_TRISIBL
(8,10),(8,19),(8,24),-0.0903861 # DEPENDENCYPART_TRISIBL
(8,10),(8,19),(8,28),-0.0750318 # DEPENDENCYPART_TRISIBL
(8,10),(8,19),(8,29),-0.0947293 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,20),(8,24),-0.0903861 # DEPENDENCYPART_TRISIBL
(8,10),(8,20),(8,28),-0.0754056 # DEPENDENCYPART_TRISIBL
(8,10),(8,20),(8,29),-0.0958848 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,24),(8,28),-0.0680326 # DEPENDENCYPART_TRISIBL
(8,10),(8,24),(8,29),-0.109317 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,28),(8,29),-0.116467 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,12),(8,13),-0.0681336 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,15),-0.0612409 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,16),-0.0639945 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,17),-0.0653107 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,19),-0.090159 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,20),-0.0914307 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,24),-0.0617695 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,28),-0.107875 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,29),-0.00379502 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,13),(8,15),-0.0427476 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,16),-0.050971 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,17),-0.0710587 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,19),-0.0942456 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,20),-0.0972141 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,24),-0.0432766 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,28),-0.105131 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,29),-0.0272939 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,15),(8,16),-0.0640044 # DEPENDENCYPART_TRISIBL
(8,11),(8,15),(8,17),-0.0653107 # DEPENDENCYPART_TRISIBL
(8,11),(8,15),(8,19),-0.090159 # DEPENDENCYPART_TRISIBL
(8,11),(8,15),(8,20),-0.0914307 # DEPENDENCYPART_TRISIBL
(8,11),(8,15),(8,24),-0.0617711 # DEPENDENCYPART_TRISIBL
(8,11),(8,15),(8,28),-0.10806 # DEPENDENCYPART_TRISIBL
(8,11),(8,15),(8,29),-0.00405598 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,16),(8,17),0.078828 # DEPENDENCYPART_TRISIBL
(8,11),(8,16),(8,19),0.0490378 # DEPENDENCYPART_TRISIBL
(8,11),(8,16),(8,20),0.0397707 # DEPENDENCYPART_TRISIBL
(8,11),(8,16),(8,24),0.108231 # DEPENDENCYPART_TRISIBL
(8,11),(8,16),(8,28),-0.0985902 # DEPENDENCYPART_TRISIBL
(8,11),(8,16),(8,29),-0.272856 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,17),(8,19),-0.109393 # DEPENDENCYPART_TRISIBL
(8,11),(8,17),(8,20),-0.112333 # DEPENDENCYPART_TRISIBL
(8,11),(8,17),(8,24),-0.0427091 # DEPENDENCYPART_TRISIBL
(8,11),(8,17),(8,28),-0.121432 # DEPENDENCYPART_TRISIBL
(8,11),(8,17),(8,29),-0.0730019 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,19),(8,20),-0.113011 # DEPENDENCYPART_TRISIBL
(8,11),(8,19),(8,24),-0.0427425 # DEPENDENCYPART_TRISIBL
(8,11),(8,19),(8,28),-0.125568 # DEPENDENCYPART_TRISIBL
(8,11),(8,19),(8,29),-0.0769164 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,20),(8,24),-0.0427091 # DEPENDENCYPART_TRISIBL
(8,11),(8,20),(8,28),-0.120708 # DEPENDENCYPART_TRISIBL
(8,11),(8,20),(8,29),-0.0706381 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,24),(8,28),-0.107875 # DEPENDENCYPART_TRISIBL
(8,11),(8,24),(8,29),-0.00379762 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,28),(8,29),-0.0734489 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,13),(8,15),-0.0697997 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,16),-0.0390231 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,17),-0.0856691 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,19),-0.0738988 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,20),-0.0830973 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,24),-0.0697342 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,28),-0.0968792 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,29),-0.0686647 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,15),(8,16),-0.0454858 # DEPENDENCYPART_TRISIBL
(8,12),(8,15),(8,17),-0.0902997 # DEPENDENCYPART_TRISIBL
(8,12),(8,15),(8,19),-0.0759603 # DEPENDENCYPART_TRISIBL
(8,12),(8,15),(8,20),-0.0877288 # DEPENDENCYPART_TRISIBL
(8,12),(8,15),(8,24),-0.069347 # DEPENDENCYPART_TRISIBL
(8,12),(8,15),(8,28),-0.0875284 # DEPENDENCYPART_TRISIBL
(8,12),(8,15),(8,29),-0.128605 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,16),(8,17),-0.105873 # DEPENDENCYPART_TRISIBL
(8,12),(8,16),(8,19),-0.0870301 # DEPENDENCYPART_TRISIBL
(8,12),(8,16),(8,20),-0.101717 # DEPENDENCYPART_TRISIBL
(8,12),(8,16),(8,24),-0.0826868 # DEPENDENCYPART_TRISIBL
(8,12),(8,16),(8,28),-0.123537 # DEPENDENCYPART_TRISIBL
(8,12),(8,16),(8,29),-0.0346451 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,17),(8,19),-0.0841942 # DEPENDENCYPART_TRISIBL
(8,12),(8,17),(8,20),-0.0931958 # DEPENDENCYPART_TRISIBL
(8,12),(8,17),(8,24),-0.0692187 # DEPENDENCYPART_TRISIBL
