# _root_ These procedures consume millions of man-hours of labor and produce tons of paper , and each year , their end product -- the Five Year Defense Plan -- promptly melts away .
#goldHeads=2,9,9,3,4,5,6,7,15,9,10,11,12,15,0,17,30,30,21,21,30,27,27,27,27,27,21,27,30,15,30,15,
#predictedHeads=2,9,9,3,4,5,6,7,15,9,10,11,12,15,0,17,11,11,21,21,30,27,27,27,27,27,21,27,30,15,30,15,
(31,27),(27,24),(27,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,24),(27,21),-0.0232401 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,24),(27,20),-0.0212299 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,24),(27,19),-0.020145 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,24),(27,18),-0.0220453 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,24),(27,17),-0.0232401 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,24),(27,16),-0.0194424 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,24),(27,-1),-0.0102166 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(31,27),(27,23),(27,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,23),(27,21),-0.0194931 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,23),(27,20),-0.0194664 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,23),(27,19),-0.019441 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,23),(27,18),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,23),(27,17),-0.0194931 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,23),(27,16),-0.0198253 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,23),(27,-1),-0.0372453 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(31,27),(27,22),(27,21),-0.0197376 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,22),(27,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,22),(27,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,22),(27,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,22),(27,17),-0.0197376 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,22),(27,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,22),(27,-1),-0.0207524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(31,27),(27,21),(27,20),-0.0206189 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,21),(27,19),-0.0151736 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,21),(27,18),-0.0206958 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,21),(27,17),-0.0166734 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,21),(27,16),-0.011545 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,21),(27,-1),-0.0432095 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(31,27),(27,20),(27,19),-0.0180589 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,20),(27,18),-0.0232459 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,20),(27,17),-0.0148538 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,20),(27,16),-0.037456 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,20),(27,-1),0.00898593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(31,27),(27,19),(27,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,19),(27,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,19),(27,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,19),(27,-1),-0.0174945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(31,27),(27,18),(27,17),-0.0275059 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,18),(27,16),-0.0194426 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,18),(27,-1),-0.0283102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(31,27),(27,17),(27,16),-0.011545 # DEPENDENCYPART_GRANDSIBL
(31,27),(27,17),(27,-1),-0.0433081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(31,27),(27,16),(27,-1),-0.0153323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(31,29),(29,29),(29,31),-0.14737 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(31,29),(29,29),(29,33),-0.103284 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(31,29),(29,31),(29,33),-0.166677 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(31,29),(29,29),(29,28),-0.0194583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(31,29),(29,29),(29,27),-0.0336736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(31,29),(29,29),(29,26),-0.0336736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(31,29),(29,29),(29,25),-0.0340993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(31,29),(29,29),(29,21),-0.0336736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(31,29),(29,29),(29,17),-0.0340993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(31,29),(29,29),(29,13),-0.0336736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(31,29),(29,29),(29,11),-0.0336736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(31,29),(29,29),(29,-1),0.0514021 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(31,29),(29,28),(29,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,28),(29,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,28),(29,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,28),(29,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,28),(29,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,28),(29,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,28),(29,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,28),(29,-1),-0.0194613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(31,29),(29,27),(29,26),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,27),(29,25),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,27),(29,21),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,27),(29,17),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,27),(29,13),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,27),(29,11),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,27),(29,-1),-0.0312367 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(31,29),(29,26),(29,25),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,26),(29,21),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,26),(29,17),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,26),(29,13),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,26),(29,11),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,26),(29,-1),-0.0312367 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(31,29),(29,25),(29,21),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,25),(29,17),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,25),(29,13),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,25),(29,11),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,25),(29,-1),-0.0321847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(31,29),(29,21),(29,17),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,21),(29,13),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,21),(29,11),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,21),(29,-1),-0.0312367 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(31,29),(29,17),(29,13),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,17),(29,11),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,17),(29,-1),-0.0321847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(31,29),(29,13),(29,11),-0.0196158 # DEPENDENCYPART_GRANDSIBL
(31,29),(29,13),(29,-1),-0.0312367 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(31,29),(29,11),(29,-1),-0.0312367 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(31,32),(32,32),(32,33),-0.0659305 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(31,32),(32,32),(32,-1),-0.191064 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,0),(0,2),(0,3),-0.180463 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,2),(0,4),-0.158183 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,2),(0,5),-0.0862889 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,2),(0,9),-0.192407 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,2),(0,10),-0.178062 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,2),(0,15),-0.192407 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,2),(0,30),-0.180463 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,2),(0,33),0.283962 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,3),(0,4),-0.113596 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,3),(0,5),-0.107046 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,3),(0,9),-0.2311 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,3),(0,10),-0.272136 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,3),(0,15),-0.2311 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,3),(0,30),-0.273846 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,3),(0,33),0.737484 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,4),(0,5),-0.0809557 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,4),(0,9),-0.192407 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,4),(0,10),-0.179102 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,4),(0,15),-0.192407 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,4),(0,30),-0.181503 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,4),(0,33),0.276997 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,5),(0,9),-0.163587 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,5),(0,10),-0.210097 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,5),(0,15),-0.163587 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,5),(0,30),-0.213513 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,5),(0,33),0.153238 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,9),(0,10),-0.176486 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,9),(0,15),-0.20721 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,9),(0,30),-0.180268 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,9),(0,33),0.426314 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,10),(0,15),-0.231108 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,10),(0,30),-0.270818 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,10),(0,33),0.748326 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,15),(0,30),-0.180268 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,15),(0,33),0.426314 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,30),(0,33),0.737734 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,2),(0,3),(0,4),-0.0904756 # DEPENDENCYPART_TRISIBL
(0,2),(0,3),(0,5),-0.0648221 # DEPENDENCYPART_TRISIBL
(0,2),(0,3),(0,9),-0.126633 # DEPENDENCYPART_TRISIBL
(0,2),(0,3),(0,10),-0.0916448 # DEPENDENCYPART_TRISIBL
(0,2),(0,3),(0,15),-0.126633 # DEPENDENCYPART_TRISIBL
(0,2),(0,3),(0,30),-0.0923255 # DEPENDENCYPART_TRISIBL
(0,2),(0,3),(0,33),-0.119781 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,2),(0,4),(0,5),-0.0516436 # DEPENDENCYPART_TRISIBL
(0,2),(0,4),(0,9),-0.139962 # DEPENDENCYPART_TRISIBL
(0,2),(0,4),(0,10),-0.0757808 # DEPENDENCYPART_TRISIBL
(0,2),(0,4),(0,15),-0.139962 # DEPENDENCYPART_TRISIBL
(0,2),(0,4),(0,30),-0.0764614 # DEPENDENCYPART_TRISIBL
(0,2),(0,4),(0,33),-0.12574 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,2),(0,5),(0,9),-0.14255 # DEPENDENCYPART_TRISIBL
(0,2),(0,5),(0,10),-0.0621412 # DEPENDENCYPART_TRISIBL
(0,2),(0,5),(0,15),-0.14255 # DEPENDENCYPART_TRISIBL
(0,2),(0,5),(0,30),-0.0638257 # DEPENDENCYPART_TRISIBL
(0,2),(0,5),(0,33),-0.0725424 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,2),(0,9),(0,10),-0.0824793 # DEPENDENCYPART_TRISIBL
(0,2),(0,9),(0,15),-0.130816 # DEPENDENCYPART_TRISIBL
(0,2),(0,9),(0,30),-0.0831174 # DEPENDENCYPART_TRISIBL
(0,2),(0,9),(0,33),-0.170124 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,2),(0,10),(0,15),-0.126633 # DEPENDENCYPART_TRISIBL
(0,2),(0,10),(0,30),-0.0923255 # DEPENDENCYPART_TRISIBL
(0,2),(0,10),(0,33),-0.121256 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,2),(0,15),(0,30),-0.0831174 # DEPENDENCYPART_TRISIBL
(0,2),(0,15),(0,33),-0.170124 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,2),(0,30),(0,33),-0.119781 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(0,4),(0,5),-0.0133313 # DEPENDENCYPART_TRISIBL
(0,3),(0,4),(0,9),-0.125621 # DEPENDENCYPART_TRISIBL
(0,3),(0,4),(0,10),-0.121214 # DEPENDENCYPART_TRISIBL
(0,3),(0,4),(0,15),-0.125621 # DEPENDENCYPART_TRISIBL
(0,3),(0,4),(0,30),-0.120893 # DEPENDENCYPART_TRISIBL
(0,3),(0,4),(0,33),-0.164465 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(0,5),(0,9),-0.140199 # DEPENDENCYPART_TRISIBL
(0,3),(0,5),(0,10),-0.117102 # DEPENDENCYPART_TRISIBL
(0,3),(0,5),(0,15),-0.140199 # DEPENDENCYPART_TRISIBL
(0,3),(0,5),(0,30),-0.116789 # DEPENDENCYPART_TRISIBL
(0,3),(0,5),(0,33),-0.140416 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(0,9),(0,10),-0.153932 # DEPENDENCYPART_TRISIBL
(0,3),(0,9),(0,15),-0.126264 # DEPENDENCYPART_TRISIBL
(0,3),(0,9),(0,30),-0.153619 # DEPENDENCYPART_TRISIBL
(0,3),(0,9),(0,33),-0.238263 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(0,10),(0,15),-0.153779 # DEPENDENCYPART_TRISIBL
(0,3),(0,10),(0,30),-0.154646 # DEPENDENCYPART_TRISIBL
(0,3),(0,10),(0,33),-0.250358 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(0,15),(0,30),-0.153619 # DEPENDENCYPART_TRISIBL
(0,3),(0,15),(0,33),-0.238263 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(0,30),(0,33),-0.248211 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,4),(0,5),(0,9),-0.14255 # DEPENDENCYPART_TRISIBL
(0,4),(0,5),(0,10),-0.0590181 # DEPENDENCYPART_TRISIBL
(0,4),(0,5),(0,15),-0.14255 # DEPENDENCYPART_TRISIBL
(0,4),(0,5),(0,30),-0.0607026 # DEPENDENCYPART_TRISIBL
(0,4),(0,5),(0,33),-0.0666639 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,4),(0,9),(0,10),-0.0810079 # DEPENDENCYPART_TRISIBL
(0,4),(0,9),(0,15),-0.130816 # DEPENDENCYPART_TRISIBL
(0,4),(0,9),(0,30),-0.0816461 # DEPENDENCYPART_TRISIBL
(0,4),(0,9),(0,33),-0.166866 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,4),(0,10),(0,15),-0.126633 # DEPENDENCYPART_TRISIBL
(0,4),(0,10),(0,30),-0.0908541 # DEPENDENCYPART_TRISIBL
(0,4),(0,10),(0,33),-0.119033 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,4),(0,15),(0,30),-0.0816461 # DEPENDENCYPART_TRISIBL
(0,4),(0,15),(0,33),-0.166866 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,4),(0,30),(0,33),-0.117558 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,5),(0,9),(0,10),-0.107483 # DEPENDENCYPART_TRISIBL
(0,5),(0,9),(0,15),-0.0901405 # DEPENDENCYPART_TRISIBL
(0,5),(0,9),(0,30),-0.107175 # DEPENDENCYPART_TRISIBL
(0,5),(0,9),(0,33),-0.0893116 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,5),(0,10),(0,15),-0.0776831 # DEPENDENCYPART_TRISIBL
(0,5),(0,10),(0,30),-0.101494 # DEPENDENCYPART_TRISIBL
(0,5),(0,10),(0,33),-0.0997734 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,5),(0,15),(0,30),-0.107175 # DEPENDENCYPART_TRISIBL
(0,5),(0,15),(0,33),-0.0893116 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,5),(0,30),(0,33),-0.100391 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,9),(0,10),(0,15),-0.128171 # DEPENDENCYPART_TRISIBL
(0,9),(0,10),(0,30),-0.0816452 # DEPENDENCYPART_TRISIBL
(0,9),(0,10),(0,33),-0.221194 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,9),(0,15),(0,30),-0.0750011 # DEPENDENCYPART_TRISIBL
(0,9),(0,15),(0,33),-0.222448 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,9),(0,30),(0,33),-0.221071 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,10),(0,15),(0,30),-0.153779 # DEPENDENCYPART_TRISIBL
(0,10),(0,15),(0,33),-0.239856 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,10),(0,30),(0,33),-0.246777 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,15),(0,30),(0,33),-0.221071 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,1),(1,2),(1,3),-0.0726365 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,33),-0.154658 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,3),(1,33),-0.126815 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,2),(1,3),(1,33),-0.0799326 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,2),(2,3),(2,4),-0.140356 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,5),-0.116748 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,7),-0.116748 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,33),-0.0919217 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,4),(2,5),-0.0712021 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,7),-0.0712021 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,33),-0.114838 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,5),(2,7),-0.0703924 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,33),-0.0583942 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,7),(2,33),-0.0583942 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,3),(2,4),(2,5),-0.00581401 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,7),-0.00581401 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,33),-0.121098 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,5),(2,7),-0.0181385 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,33),-0.0782799 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,7),(2,33),-0.0782799 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,5),(2,7),-0.0876861 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,33),-0.0912568 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,7),(2,33),-0.0912568 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,7),(2,33),-0.0784505 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,2),(2,1),(2,-1),-0.133099 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,3),(3,4),(3,5),-0.00437682 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,6),-0.0390775 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,7),-0.00437682 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,8),-0.0416168 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,9),-0.0248681 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,10),-0.00851255 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,14),-0.00409242 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,15),-0.0248681 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,32),-0.0284437 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,33),-0.0124451 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,5),(3,6),-0.0672724 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,7),-0.167829 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,8),-0.0698526 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,9),-0.0647481 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,10),-0.0982773 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,14),-0.0449964 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,15),-0.0647481 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,32),-0.116488 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,33),-0.05736 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,6),(3,7),-0.0129144 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,8),-0.0415543 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,9),-0.0248681 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,10),-0.00640675 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,14),-0.00343942 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,15),-0.0248681 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,32),-0.0273463 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,33),-0.00615069 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,7),(3,8),-0.0698526 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,9),-0.0647481 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,10),-0.0982773 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,14),-0.0449964 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,15),-0.0647481 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,32),-0.116488 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,33),-0.05736 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,8),(3,9),-0.0248681 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,10),-0.00640675 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,14),-0.00343942 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,15),-0.0248681 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,32),-0.0274539 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,33),0.00464341 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,9),(3,10),0.0261786 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,14),0.00749821 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,15),-0.0770081 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,32),0.0527852 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,33),-0.0201571 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,10),(3,14),0.00896596 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,15),-0.0918927 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,32),0.00953877 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,33),0.0192908 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,14),(3,15),-0.0948702 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,14),(3,32),-0.0724008 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,14),(3,33),-0.154257 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,15),(3,32),0.0527852 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,15),(3,33),-0.0201571 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,32),(3,33),-0.157547 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
