# _root_ The French group has an agreement giving it the right to buy all the shares outstanding , and this could be completed within a few months , a BSN spokeswoman said .
#goldHeads=3,3,4,31,6,4,6,7,10,7,10,11,15,15,12,15,4,4,20,18,20,21,22,26,26,23,4,30,30,31,0,31,
#predictedHeads=3,3,4,31,6,4,6,7,10,7,10,11,15,15,12,15,4,4,20,18,20,21,22,26,26,23,31,30,30,31,0,31,
(13,20),(20,19),-0.167301 # DEPENDENCYPART_GRANDPAR
(13,20),(20,21),-0.319023 # DEPENDENCYPART_GRANDPAR
(13,20),(20,22),-0.576948 # DEPENDENCYPART_GRANDPAR
(13,20),(20,23),-0.363191 # DEPENDENCYPART_GRANDPAR
(13,20),(20,26),-0.665206 # DEPENDENCYPART_GRANDPAR
(13,20),(20,27),-0.363871 # DEPENDENCYPART_GRANDPAR
(13,20),(20,30),-0.842989 # DEPENDENCYPART_GRANDPAR
(13,20),(20,32),-1.19145 # DEPENDENCYPART_GRANDPAR
(13,22),(22,19),-0.295952 # DEPENDENCYPART_GRANDPAR
(13,22),(22,23),-0.45583 # DEPENDENCYPART_GRANDPAR
(13,22),(22,24),-0.587856 # DEPENDENCYPART_GRANDPAR
(13,22),(22,25),-0.424888 # DEPENDENCYPART_GRANDPAR
(13,22),(22,26),-0.796848 # DEPENDENCYPART_GRANDPAR
(13,22),(22,27),-0.468258 # DEPENDENCYPART_GRANDPAR
(13,22),(22,30),-0.929463 # DEPENDENCYPART_GRANDPAR
(14,13),(13,14),-1.89833 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,13),(13,15),-0.554586 # DEPENDENCYPART_GRANDPAR
(14,13),(13,16),-0.879742 # DEPENDENCYPART_GRANDPAR
(14,13),(13,17),-0.924008 # DEPENDENCYPART_GRANDPAR
(14,13),(13,18),-0.912175 # DEPENDENCYPART_GRANDPAR
(14,13),(13,20),-1.10707 # DEPENDENCYPART_GRANDPAR
(14,13),(13,22),-1.26518 # DEPENDENCYPART_GRANDPAR
(15,10),(10,5),-0.324998 # DEPENDENCYPART_GRANDPAR
(15,10),(10,6),-0.456252 # DEPENDENCYPART_GRANDPAR
(15,10),(10,7),-0.318862 # DEPENDENCYPART_GRANDPAR
(15,10),(10,8),-0.234054 # DEPENDENCYPART_GRANDPAR
(15,10),(10,9),-0.398669 # DEPENDENCYPART_GRANDPAR
(15,10),(10,11),-0.397673 # DEPENDENCYPART_GRANDPAR
(15,10),(10,12),-0.211462 # DEPENDENCYPART_GRANDPAR
(15,10),(10,13),0.0190371 # DEPENDENCYPART_GRANDPAR
(15,10),(10,15),-1.44044 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,10),(10,16),-0.832407 # DEPENDENCYPART_GRANDPAR
(15,10),(10,17),-1.35897 # DEPENDENCYPART_GRANDPAR
(15,10),(10,18),-1.10694 # DEPENDENCYPART_GRANDPAR
(15,10),(10,20),-1.04322 # DEPENDENCYPART_GRANDPAR
(15,10),(10,22),-0.99837 # DEPENDENCYPART_GRANDPAR
(15,10),(10,27),-0.985186 # DEPENDENCYPART_GRANDPAR
(15,10),(10,30),-0.872508 # DEPENDENCYPART_GRANDPAR
(15,13),(13,14),-0.0712247 # DEPENDENCYPART_GRANDPAR
(15,13),(13,15),-1.3563 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,13),(13,16),-0.710886 # DEPENDENCYPART_GRANDPAR
(15,13),(13,17),-1.17495 # DEPENDENCYPART_GRANDPAR
(15,13),(13,18),-0.932367 # DEPENDENCYPART_GRANDPAR
(15,13),(13,20),-0.992877 # DEPENDENCYPART_GRANDPAR
(15,13),(13,22),-0.905751 # DEPENDENCYPART_GRANDPAR
(15,14),(14,13),-0.182256 # DEPENDENCYPART_GRANDPAR
(15,16),(16,13),-0.633283 # DEPENDENCYPART_GRANDPAR
(15,16),(16,14),-0.680203 # DEPENDENCYPART_GRANDPAR
(15,16),(16,15),-0.825888 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,16),(16,17),-0.720982 # DEPENDENCYPART_GRANDPAR
(15,16),(16,18),-0.636126 # DEPENDENCYPART_GRANDPAR
(15,16),(16,19),-0.570479 # DEPENDENCYPART_GRANDPAR
(15,16),(16,20),-0.613319 # DEPENDENCYPART_GRANDPAR
(15,16),(16,21),-0.432979 # DEPENDENCYPART_GRANDPAR
(15,16),(16,23),-0.459543 # DEPENDENCYPART_GRANDPAR
(15,17),(17,16),-0.284193 # DEPENDENCYPART_GRANDPAR
(15,18),(18,19),-0.537764 # DEPENDENCYPART_GRANDPAR
(15,18),(18,20),-0.739332 # DEPENDENCYPART_GRANDPAR
(15,18),(18,21),-0.457457 # DEPENDENCYPART_GRANDPAR
(15,18),(18,22),-0.591944 # DEPENDENCYPART_GRANDPAR
(15,18),(18,23),-0.630248 # DEPENDENCYPART_GRANDPAR
(15,18),(18,26),-0.180565 # DEPENDENCYPART_GRANDPAR
(15,18),(18,31),-0.979977 # DEPENDENCYPART_GRANDPAR
(15,19),(19,20),-0.326784 # DEPENDENCYPART_GRANDPAR
(15,19),(19,21),-0.165514 # DEPENDENCYPART_GRANDPAR
(15,20),(20,3),-1.05112 # DEPENDENCYPART_GRANDPAR
(15,20),(20,4),-0.877335 # DEPENDENCYPART_GRANDPAR
(15,20),(20,5),-0.71434 # DEPENDENCYPART_GRANDPAR
(15,20),(20,6),-0.900702 # DEPENDENCYPART_GRANDPAR
(15,20),(20,7),-0.745452 # DEPENDENCYPART_GRANDPAR
(15,20),(20,8),-0.658528 # DEPENDENCYPART_GRANDPAR
(15,20),(20,10),-0.697114 # DEPENDENCYPART_GRANDPAR
(15,20),(20,11),-0.847903 # DEPENDENCYPART_GRANDPAR
(15,20),(20,13),-0.549274 # DEPENDENCYPART_GRANDPAR
(15,20),(20,14),-0.594207 # DEPENDENCYPART_GRANDPAR
(15,20),(20,15),-0.784202 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,20),(20,16),-0.255185 # DEPENDENCYPART_GRANDPAR
(15,20),(20,17),-0.765741 # DEPENDENCYPART_GRANDPAR
(15,20),(20,19),-0.491472 # DEPENDENCYPART_GRANDPAR
(15,20),(20,21),-0.015641 # DEPENDENCYPART_GRANDPAR
(15,20),(20,22),-0.445247 # DEPENDENCYPART_GRANDPAR
(15,20),(20,23),-0.313525 # DEPENDENCYPART_GRANDPAR
(15,20),(20,26),-0.523232 # DEPENDENCYPART_GRANDPAR
(15,20),(20,27),-0.285191 # DEPENDENCYPART_GRANDPAR
(15,20),(20,30),-0.219542 # DEPENDENCYPART_GRANDPAR
(15,20),(20,32),-1.06471 # DEPENDENCYPART_GRANDPAR
(15,21),(21,15),-0.772765 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,21),(21,16),-0.197707 # DEPENDENCYPART_GRANDPAR
(15,21),(21,19),-0.565444 # DEPENDENCYPART_GRANDPAR
(15,21),(21,22),-0.298079 # DEPENDENCYPART_GRANDPAR
(15,21),(21,23),-0.344607 # DEPENDENCYPART_GRANDPAR
(15,21),(21,25),-0.686614 # DEPENDENCYPART_GRANDPAR
(15,21),(21,26),-0.614661 # DEPENDENCYPART_GRANDPAR
(15,21),(21,27),-0.261503 # DEPENDENCYPART_GRANDPAR
(15,21),(21,30),-0.21466 # DEPENDENCYPART_GRANDPAR
(15,22),(22,19),-0.722702 # DEPENDENCYPART_GRANDPAR
(15,22),(22,23),-0.273027 # DEPENDENCYPART_GRANDPAR
(15,22),(22,24),-0.697623 # DEPENDENCYPART_GRANDPAR
(15,22),(22,25),-0.739629 # DEPENDENCYPART_GRANDPAR
(15,22),(22,26),-0.598058 # DEPENDENCYPART_GRANDPAR
(15,22),(22,27),-0.22778 # DEPENDENCYPART_GRANDPAR
(15,22),(22,30),-0.219412 # DEPENDENCYPART_GRANDPAR
(15,23),(23,19),-0.520479 # DEPENDENCYPART_GRANDPAR
(15,23),(23,24),-0.634706 # DEPENDENCYPART_GRANDPAR
(15,23),(23,25),-0.732128 # DEPENDENCYPART_GRANDPAR
(15,23),(23,26),-0.678556 # DEPENDENCYPART_GRANDPAR
(15,23),(23,27),-0.282777 # DEPENDENCYPART_GRANDPAR
(15,23),(23,30),-0.253722 # DEPENDENCYPART_GRANDPAR
(15,23),(23,31),-0.856325 # DEPENDENCYPART_GRANDPAR
(15,26),(26,13),-0.72811 # DEPENDENCYPART_GRANDPAR
(15,26),(26,16),-0.13963 # DEPENDENCYPART_GRANDPAR
(15,26),(26,19),-0.53982 # DEPENDENCYPART_GRANDPAR
(15,26),(26,22),-0.267579 # DEPENDENCYPART_GRANDPAR
(15,26),(26,24),-0.454675 # DEPENDENCYPART_GRANDPAR
(15,26),(26,25),-0.631355 # DEPENDENCYPART_GRANDPAR
(15,26),(26,27),-0.0710897 # DEPENDENCYPART_GRANDPAR
(15,26),(26,29),-0.71428 # DEPENDENCYPART_GRANDPAR
(15,26),(26,30),-0.197122 # DEPENDENCYPART_GRANDPAR
(15,26),(26,31),-0.667365 # DEPENDENCYPART_GRANDPAR
(15,30),(30,24),-0.090839 # DEPENDENCYPART_GRANDPAR
(15,30),(30,25),-0.599014 # DEPENDENCYPART_GRANDPAR
(15,30),(30,26),-0.60017 # DEPENDENCYPART_GRANDPAR
(15,30),(30,28),-0.0744685 # DEPENDENCYPART_GRANDPAR
(15,30),(30,29),-0.689639 # DEPENDENCYPART_GRANDPAR
(16,13),(13,14),-0.323936 # DEPENDENCYPART_GRANDPAR
(16,13),(13,15),-0.170519 # DEPENDENCYPART_GRANDPAR
(16,13),(13,16),-1.29276 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,13),(13,17),-0.598785 # DEPENDENCYPART_GRANDPAR
(16,13),(13,18),-0.445268 # DEPENDENCYPART_GRANDPAR
(16,13),(13,20),-0.803148 # DEPENDENCYPART_GRANDPAR
(16,13),(13,22),-0.780965 # DEPENDENCYPART_GRANDPAR
(16,14),(14,13),-0.233087 # DEPENDENCYPART_GRANDPAR
(16,15),(15,10),-0.155804 # DEPENDENCYPART_GRANDPAR
(16,15),(15,13),-0.103756 # DEPENDENCYPART_GRANDPAR
(16,15),(15,14),-0.273856 # DEPENDENCYPART_GRANDPAR
(16,15),(15,16),-1.38106 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,15),(15,17),-0.706776 # DEPENDENCYPART_GRANDPAR
(16,15),(15,18),-0.485478 # DEPENDENCYPART_GRANDPAR
(16,15),(15,19),-0.819976 # DEPENDENCYPART_GRANDPAR
(16,15),(15,20),-0.798476 # DEPENDENCYPART_GRANDPAR
(16,15),(15,21),-0.765542 # DEPENDENCYPART_GRANDPAR
(16,15),(15,22),-0.811682 # DEPENDENCYPART_GRANDPAR
(16,15),(15,23),-0.684618 # DEPENDENCYPART_GRANDPAR
(16,15),(15,26),-1.1718 # DEPENDENCYPART_GRANDPAR
(16,15),(15,27),-1.10146 # DEPENDENCYPART_GRANDPAR
(16,15),(15,30),-1.31364 # DEPENDENCYPART_GRANDPAR
(16,17),(17,16),-0.942346 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,18),(18,19),-0.161912 # DEPENDENCYPART_GRANDPAR
(16,18),(18,20),-0.450087 # DEPENDENCYPART_GRANDPAR
(16,18),(18,21),-0.374896 # DEPENDENCYPART_GRANDPAR
(16,18),(18,22),-0.146845 # DEPENDENCYPART_GRANDPAR
(16,18),(18,23),-0.374534 # DEPENDENCYPART_GRANDPAR
(16,18),(18,26),-0.587254 # DEPENDENCYPART_GRANDPAR
(16,18),(18,31),-0.666942 # DEPENDENCYPART_GRANDPAR
(16,19),(19,20),-0.251864 # DEPENDENCYPART_GRANDPAR
(16,19),(19,21),-0.335545 # DEPENDENCYPART_GRANDPAR
(16,20),(20,3),-0.681984 # DEPENDENCYPART_GRANDPAR
(16,20),(20,4),-0.678249 # DEPENDENCYPART_GRANDPAR
(16,20),(20,5),-0.641846 # DEPENDENCYPART_GRANDPAR
(16,20),(20,6),-0.610138 # DEPENDENCYPART_GRANDPAR
(16,20),(20,7),-0.648036 # DEPENDENCYPART_GRANDPAR
(16,20),(20,8),-0.600167 # DEPENDENCYPART_GRANDPAR
(16,20),(20,10),-0.558398 # DEPENDENCYPART_GRANDPAR
(16,20),(20,11),-0.427591 # DEPENDENCYPART_GRANDPAR
(16,20),(20,13),-0.609739 # DEPENDENCYPART_GRANDPAR
(16,20),(20,14),-0.731325 # DEPENDENCYPART_GRANDPAR
(16,20),(20,15),-0.533642 # DEPENDENCYPART_GRANDPAR
(16,20),(20,16),-0.963578 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,20),(20,17),-0.294808 # DEPENDENCYPART_GRANDPAR
(16,20),(20,19),-0.202425 # DEPENDENCYPART_GRANDPAR
(16,20),(20,21),-0.111107 # DEPENDENCYPART_GRANDPAR
(16,20),(20,22),-0.302364 # DEPENDENCYPART_GRANDPAR
(16,20),(20,23),-0.320687 # DEPENDENCYPART_GRANDPAR
(16,20),(20,26),-0.624705 # DEPENDENCYPART_GRANDPAR
(16,20),(20,27),-0.473853 # DEPENDENCYPART_GRANDPAR
(16,20),(20,30),-0.804464 # DEPENDENCYPART_GRANDPAR
(16,20),(20,32),-0.301104 # DEPENDENCYPART_GRANDPAR
(16,21),(21,15),-0.580908 # DEPENDENCYPART_GRANDPAR
(16,21),(21,16),-0.951939 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,21),(21,19),-0.334656 # DEPENDENCYPART_GRANDPAR
(16,21),(21,22),-0.171471 # DEPENDENCYPART_GRANDPAR
(16,21),(21,23),-0.377339 # DEPENDENCYPART_GRANDPAR
(16,21),(21,25),-0.139868 # DEPENDENCYPART_GRANDPAR
(16,21),(21,26),-0.704286 # DEPENDENCYPART_GRANDPAR
(16,21),(21,27),-0.490351 # DEPENDENCYPART_GRANDPAR
(16,21),(21,30),-0.843503 # DEPENDENCYPART_GRANDPAR
(16,23),(23,19),-0.290759 # DEPENDENCYPART_GRANDPAR
(16,23),(23,24),-0.318258 # DEPENDENCYPART_GRANDPAR
(16,23),(23,25),-0.28475 # DEPENDENCYPART_GRANDPAR
(16,23),(23,26),-0.6273 # DEPENDENCYPART_GRANDPAR
(16,23),(23,27),-0.485401 # DEPENDENCYPART_GRANDPAR
(16,23),(23,30),-0.819012 # DEPENDENCYPART_GRANDPAR
(16,23),(23,31),-0.625217 # DEPENDENCYPART_GRANDPAR
(17,16),(16,13),-0.213817 # DEPENDENCYPART_GRANDPAR
(17,16),(16,14),-0.213236 # DEPENDENCYPART_GRANDPAR
(17,16),(16,15),-0.0836399 # DEPENDENCYPART_GRANDPAR
(17,16),(16,17),-1.70054 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,16),(16,18),-0.475483 # DEPENDENCYPART_GRANDPAR
(17,16),(16,19),-0.707123 # DEPENDENCYPART_GRANDPAR
(17,16),(16,20),-0.557824 # DEPENDENCYPART_GRANDPAR
(17,16),(16,21),-0.797917 # DEPENDENCYPART_GRANDPAR
(17,16),(16,23),-0.814475 # DEPENDENCYPART_GRANDPAR
(18,19),(19,20),0.877468 # DEPENDENCYPART_GRANDPAR
(18,19),(19,21),0.9602 # DEPENDENCYPART_GRANDPAR
(18,20),(20,3),-0.48709 # DEPENDENCYPART_GRANDPAR
(18,20),(20,4),-0.547613 # DEPENDENCYPART_GRANDPAR
(18,20),(20,5),-0.684888 # DEPENDENCYPART_GRANDPAR
(18,20),(20,6),-0.513123 # DEPENDENCYPART_GRANDPAR
(18,20),(20,7),-0.518381 # DEPENDENCYPART_GRANDPAR
(18,20),(20,8),-0.356289 # DEPENDENCYPART_GRANDPAR
(18,20),(20,10),-0.482215 # DEPENDENCYPART_GRANDPAR
(18,20),(20,11),-0.605908 # DEPENDENCYPART_GRANDPAR
(18,20),(20,13),-0.675446 # DEPENDENCYPART_GRANDPAR
(18,20),(20,14),-0.61 # DEPENDENCYPART_GRANDPAR
(18,20),(20,15),-0.501542 # DEPENDENCYPART_GRANDPAR
(18,20),(20,16),-0.771837 # DEPENDENCYPART_GRANDPAR
(18,20),(20,17),-0.710972 # DEPENDENCYPART_GRANDPAR
(18,20),(20,19),0.444102 # DEPENDENCYPART_GRANDPAR
(18,20),(20,21),1.1773 # DEPENDENCYPART_GRANDPAR
(18,20),(20,22),0.289357 # DEPENDENCYPART_GRANDPAR
(18,20),(20,23),0.0152137 # DEPENDENCYPART_GRANDPAR
(18,20),(20,26),0.197203 # DEPENDENCYPART_GRANDPAR
(18,20),(20,27),0.0748037 # DEPENDENCYPART_GRANDPAR
(18,20),(20,30),-0.361282 # DEPENDENCYPART_GRANDPAR
(18,20),(20,32),-1.21057 # DEPENDENCYPART_GRANDPAR
(18,21),(21,15),-0.519182 # DEPENDENCYPART_GRANDPAR
(18,21),(21,16),-0.741431 # DEPENDENCYPART_GRANDPAR
(18,21),(21,19),0.487657 # DEPENDENCYPART_GRANDPAR
(18,21),(21,22),0.622427 # DEPENDENCYPART_GRANDPAR
(18,21),(21,23),0.152315 # DEPENDENCYPART_GRANDPAR
(18,21),(21,25),-0.00777544 # DEPENDENCYPART_GRANDPAR
(18,21),(21,26),0.314316 # DEPENDENCYPART_GRANDPAR
(18,21),(21,27),0.164145 # DEPENDENCYPART_GRANDPAR
(18,21),(21,30),-0.179321 # DEPENDENCYPART_GRANDPAR
(18,22),(22,19),0.337935 # DEPENDENCYPART_GRANDPAR
(18,22),(22,23),0.0267803 # DEPENDENCYPART_GRANDPAR
(18,22),(22,24),-0.300448 # DEPENDENCYPART_GRANDPAR
(18,22),(22,25),-0.13922 # DEPENDENCYPART_GRANDPAR
(18,22),(22,26),0.183852 # DEPENDENCYPART_GRANDPAR
(18,22),(22,27),0.231545 # DEPENDENCYPART_GRANDPAR
(18,22),(22,30),-0.238471 # DEPENDENCYPART_GRANDPAR
(18,23),(23,19),0.280369 # DEPENDENCYPART_GRANDPAR
(18,23),(23,24),-0.414395 # DEPENDENCYPART_GRANDPAR
(18,23),(23,25),-0.312565 # DEPENDENCYPART_GRANDPAR
(18,23),(23,26),0.158853 # DEPENDENCYPART_GRANDPAR
(18,23),(23,27),-0.164562 # DEPENDENCYPART_GRANDPAR
(18,23),(23,30),-0.403554 # DEPENDENCYPART_GRANDPAR
(18,23),(23,31),0.244027 # DEPENDENCYPART_GRANDPAR
(18,26),(26,13),-0.906269 # DEPENDENCYPART_GRANDPAR
(18,26),(26,16),-0.980653 # DEPENDENCYPART_GRANDPAR
(18,26),(26,19),0.483279 # DEPENDENCYPART_GRANDPAR
(18,26),(26,22),0.534682 # DEPENDENCYPART_GRANDPAR
(18,26),(26,24),-0.339408 # DEPENDENCYPART_GRANDPAR
(18,26),(26,25),-0.108184 # DEPENDENCYPART_GRANDPAR
(18,26),(26,27),-0.0274302 # DEPENDENCYPART_GRANDPAR
(18,26),(26,29),-0.215687 # DEPENDENCYPART_GRANDPAR
(18,26),(26,30),-0.475967 # DEPENDENCYPART_GRANDPAR
(18,26),(26,31),0.296821 # DEPENDENCYPART_GRANDPAR
(18,31),(31,3),-0.562341 # DEPENDENCYPART_GRANDPAR
(18,31),(31,4),-0.577644 # DEPENDENCYPART_GRANDPAR
(18,31),(31,6),-0.587918 # DEPENDENCYPART_GRANDPAR
(18,31),(31,7),-0.560831 # DEPENDENCYPART_GRANDPAR
(18,31),(31,8),-0.387292 # DEPENDENCYPART_GRANDPAR
(18,31),(31,10),-0.55439 # DEPENDENCYPART_GRANDPAR
(18,31),(31,11),-0.650633 # DEPENDENCYPART_GRANDPAR
(18,31),(31,13),-0.72392 # DEPENDENCYPART_GRANDPAR
(18,31),(31,15),-0.552176 # DEPENDENCYPART_GRANDPAR
(18,31),(31,16),-0.813292 # DEPENDENCYPART_GRANDPAR
(18,31),(31,17),-0.763147 # DEPENDENCYPART_GRANDPAR
(18,31),(31,18),-0.867482 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,31),(31,19),0.347942 # DEPENDENCYPART_GRANDPAR
(18,31),(31,20),0.738253 # DEPENDENCYPART_GRANDPAR
(18,31),(31,21),0.722334 # DEPENDENCYPART_GRANDPAR
(18,31),(31,22),0.238714 # DEPENDENCYPART_GRANDPAR
(18,31),(31,23),0.144072 # DEPENDENCYPART_GRANDPAR
(18,31),(31,24),-0.482114 # DEPENDENCYPART_GRANDPAR
(18,31),(31,25),-0.448189 # DEPENDENCYPART_GRANDPAR
(18,31),(31,26),0.134344 # DEPENDENCYPART_GRANDPAR
(18,31),(31,27),0.0238568 # DEPENDENCYPART_GRANDPAR
(18,31),(31,28),-0.489848 # DEPENDENCYPART_GRANDPAR
(18,31),(31,29),-0.188885 # DEPENDENCYPART_GRANDPAR
(18,31),(31,30),-0.284413 # DEPENDENCYPART_GRANDPAR
(18,31),(31,32),-1.0456 # DEPENDENCYPART_GRANDPAR
(19,20),(20,3),-1.59582 # DEPENDENCYPART_GRANDPAR
(19,20),(20,4),-1.41358 # DEPENDENCYPART_GRANDPAR
(19,20),(20,5),-1.54006 # DEPENDENCYPART_GRANDPAR
(19,20),(20,6),-1.55726 # DEPENDENCYPART_GRANDPAR
(19,20),(20,7),-1.40041 # DEPENDENCYPART_GRANDPAR
(19,20),(20,8),-1.41996 # DEPENDENCYPART_GRANDPAR
(19,20),(20,10),-1.54545 # DEPENDENCYPART_GRANDPAR
(19,20),(20,11),-1.40656 # DEPENDENCYPART_GRANDPAR
(19,20),(20,13),-1.51284 # DEPENDENCYPART_GRANDPAR
(19,20),(20,14),-1.50774 # DEPENDENCYPART_GRANDPAR
(19,20),(20,15),-1.40818 # DEPENDENCYPART_GRANDPAR
(19,20),(20,16),-1.43217 # DEPENDENCYPART_GRANDPAR
(19,20),(20,17),-1.41139 # DEPENDENCYPART_GRANDPAR
(19,20),(20,19),-1.07781 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,20),(20,21),-0.348332 # DEPENDENCYPART_GRANDPAR
(19,20),(20,22),-0.407956 # DEPENDENCYPART_GRANDPAR
(19,20),(20,23),-0.172361 # DEPENDENCYPART_GRANDPAR
(19,20),(20,26),-0.487024 # DEPENDENCYPART_GRANDPAR
(19,20),(20,27),-0.0141033 # DEPENDENCYPART_GRANDPAR
(19,20),(20,30),-0.76443 # DEPENDENCYPART_GRANDPAR
(19,20),(20,32),-1.07149 # DEPENDENCYPART_GRANDPAR
(19,21),(21,15),-1.4385 # DEPENDENCYPART_GRANDPAR
(19,21),(21,16),-1.41409 # DEPENDENCYPART_GRANDPAR
(19,21),(21,19),-1.16255 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,21),(21,22),-0.20268 # DEPENDENCYPART_GRANDPAR
(19,21),(21,23),-0.184396 # DEPENDENCYPART_GRANDPAR
(19,21),(21,25),-0.37343 # DEPENDENCYPART_GRANDPAR
(19,21),(21,26),-0.521842 # DEPENDENCYPART_GRANDPAR
(19,21),(21,27),-0.0281246 # DEPENDENCYPART_GRANDPAR
(19,21),(21,30),-0.765938 # DEPENDENCYPART_GRANDPAR
(20,3),(3,1),-0.0699973 # DEPENDENCYPART_GRANDPAR
(20,3),(3,2),-0.164562 # DEPENDENCYPART_GRANDPAR
(20,3),(3,4),0.055252 # DEPENDENCYPART_GRANDPAR
(20,3),(3,6),-0.247172 # DEPENDENCYPART_GRANDPAR
(20,3),(3,7),-0.135887 # DEPENDENCYPART_GRANDPAR
(20,3),(3,11),0.0618337 # DEPENDENCYPART_GRANDPAR
(20,4),(4,1),-0.190781 # DEPENDENCYPART_GRANDPAR
(20,4),(4,2),-0.200805 # DEPENDENCYPART_GRANDPAR
(20,4),(4,3),-0.556171 # DEPENDENCYPART_GRANDPAR
(20,4),(4,5),0.166819 # DEPENDENCYPART_GRANDPAR
(20,4),(4,6),-0.342789 # DEPENDENCYPART_GRANDPAR
(20,4),(4,7),-0.260868 # DEPENDENCYPART_GRANDPAR
(20,4),(4,8),-0.0508286 # DEPENDENCYPART_GRANDPAR
(20,4),(4,10),-0.278476 # DEPENDENCYPART_GRANDPAR
(20,4),(4,11),-0.0339588 # DEPENDENCYPART_GRANDPAR
(20,4),(4,12),-0.354408 # DEPENDENCYPART_GRANDPAR
(20,4),(4,15),-0.218189 # DEPENDENCYPART_GRANDPAR
(20,4),(4,17),-0.470133 # DEPENDENCYPART_GRANDPAR
(20,4),(4,18),-0.219643 # DEPENDENCYPART_GRANDPAR
(20,4),(4,20),-1.25642 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,4),(4,23),-0.642138 # DEPENDENCYPART_GRANDPAR
(20,4),(4,32),-1.02443 # DEPENDENCYPART_GRANDPAR
(20,5),(5,6),-0.305847 # DEPENDENCYPART_GRANDPAR
(20,5),(5,7),-0.204054 # DEPENDENCYPART_GRANDPAR
(20,5),(5,8),-0.172252 # DEPENDENCYPART_GRANDPAR
(20,5),(5,10),-0.214327 # DEPENDENCYPART_GRANDPAR
(20,5),(5,11),-0.00940066 # DEPENDENCYPART_GRANDPAR
(20,6),(6,1),-0.0778004 # DEPENDENCYPART_GRANDPAR
(20,6),(6,2),-0.165586 # DEPENDENCYPART_GRANDPAR
(20,6),(6,3),-0.549803 # DEPENDENCYPART_GRANDPAR
(20,6),(6,4),-0.167306 # DEPENDENCYPART_GRANDPAR
(20,6),(6,5),0.182054 # DEPENDENCYPART_GRANDPAR
(20,6),(6,7),-0.135053 # DEPENDENCYPART_GRANDPAR
(20,6),(6,8),-0.252379 # DEPENDENCYPART_GRANDPAR
(20,6),(6,10),-0.171136 # DEPENDENCYPART_GRANDPAR
(20,6),(6,11),0.0495197 # DEPENDENCYPART_GRANDPAR
(20,6),(6,17),-0.192281 # DEPENDENCYPART_GRANDPAR
(20,6),(6,18),-0.11601 # DEPENDENCYPART_GRANDPAR
(20,7),(7,3),-0.587652 # DEPENDENCYPART_GRANDPAR
(20,7),(7,4),-0.317914 # DEPENDENCYPART_GRANDPAR
(20,7),(7,5),0.101704 # DEPENDENCYPART_GRANDPAR
(20,7),(7,6),-0.431142 # DEPENDENCYPART_GRANDPAR
(20,7),(7,8),-0.0838353 # DEPENDENCYPART_GRANDPAR
(20,7),(7,9),-0.200195 # DEPENDENCYPART_GRANDPAR
(20,7),(7,10),-0.088868 # DEPENDENCYPART_GRANDPAR
(20,7),(7,11),0.153124 # DEPENDENCYPART_GRANDPAR
(20,7),(7,12),-0.189142 # DEPENDENCYPART_GRANDPAR
(20,7),(7,13),-0.0922257 # DEPENDENCYPART_GRANDPAR
(20,7),(7,15),0.132192 # DEPENDENCYPART_GRANDPAR
(20,7),(7,16),-0.208681 # DEPENDENCYPART_GRANDPAR
(20,7),(7,17),-0.257143 # DEPENDENCYPART_GRANDPAR
(20,7),(7,18),-0.0837877 # DEPENDENCYPART_GRANDPAR
(20,7),(7,20),-1.24531 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,7),(7,21),-0.181597 # DEPENDENCYPART_GRANDPAR
(20,7),(7,22),-0.376071 # DEPENDENCYPART_GRANDPAR
(20,7),(7,23),-0.562351 # DEPENDENCYPART_GRANDPAR
(20,7),(7,26),-0.566504 # DEPENDENCYPART_GRANDPAR
(20,7),(7,27),-0.590038 # DEPENDENCYPART_GRANDPAR
(20,8),(8,7),-0.355683 # DEPENDENCYPART_GRANDPAR
(20,8),(8,9),-0.098272 # DEPENDENCYPART_GRANDPAR
(20,8),(8,10),-0.182593 # DEPENDENCYPART_GRANDPAR
(20,8),(8,11),0.0287956 # DEPENDENCYPART_GRANDPAR
(20,10),(10,5),0.179951 # DEPENDENCYPART_GRANDPAR
(20,10),(10,6),-0.365678 # DEPENDENCYPART_GRANDPAR
(20,10),(10,7),-0.352598 # DEPENDENCYPART_GRANDPAR
