# _root_ The sales are being dragged down by a glut of 1989 vehicles , said Joel Pitcoff , a Ford analyst .
#goldHeads=2,3,14,3,4,5,5,9,7,9,12,10,14,0,16,14,16,20,20,16,14,
#predictedHeads=2,3,14,3,4,5,5,9,7,9,12,10,14,0,16,14,16,20,20,16,14,
(14,14),(14,3),(14,2),0.0188433 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,3),(14,-1),-0.0305052 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,2),(14,-1),0.0686757 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,12),(14,11),-0.0828767 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,10),0.0801685 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,9),-0.144248 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,8),-0.0619707 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,7),0.0809641 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,5),-0.105201 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,4),-0.102186 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,3),-0.106085 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,2),-0.146463 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,-1),-0.0029084 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,11),(14,10),-0.0215171 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,9),-0.141933 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,8),-0.0428544 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,7),-0.0206124 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,5),-0.103916 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,4),-0.100901 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,3),-0.104575 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,2),-0.144148 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,-1),-0.0624959 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,10),(14,9),-0.0961845 # DEPENDENCYPART_TRISIBL
(14,13),(14,10),(14,8),-0.0411774 # DEPENDENCYPART_TRISIBL
(14,13),(14,10),(14,7),0.0723317 # DEPENDENCYPART_TRISIBL
(14,13),(14,10),(14,5),-0.103381 # DEPENDENCYPART_TRISIBL
(14,13),(14,10),(14,4),-0.100366 # DEPENDENCYPART_TRISIBL
(14,13),(14,10),(14,3),-0.10404 # DEPENDENCYPART_TRISIBL
(14,13),(14,10),(14,2),-0.0984426 # DEPENDENCYPART_TRISIBL
(14,13),(14,10),(14,-1),-0.0335589 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,9),(14,8),-0.0619707 # DEPENDENCYPART_TRISIBL
(14,13),(14,9),(14,7),0.0813324 # DEPENDENCYPART_TRISIBL
(14,13),(14,9),(14,5),-0.105158 # DEPENDENCYPART_TRISIBL
(14,13),(14,9),(14,4),-0.102143 # DEPENDENCYPART_TRISIBL
(14,13),(14,9),(14,3),-0.106041 # DEPENDENCYPART_TRISIBL
(14,13),(14,9),(14,2),-0.146461 # DEPENDENCYPART_TRISIBL
(14,13),(14,9),(14,-1),-0.00361184 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,8),(14,7),-0.0322074 # DEPENDENCYPART_TRISIBL
(14,13),(14,8),(14,5),-0.104119 # DEPENDENCYPART_TRISIBL
(14,13),(14,8),(14,4),-0.101104 # DEPENDENCYPART_TRISIBL
(14,13),(14,8),(14,3),-0.104778 # DEPENDENCYPART_TRISIBL
(14,13),(14,8),(14,2),-0.140994 # DEPENDENCYPART_TRISIBL
(14,13),(14,8),(14,-1),-0.0567093 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,7),(14,5),-0.101761 # DEPENDENCYPART_TRISIBL
(14,13),(14,7),(14,4),-0.098746 # DEPENDENCYPART_TRISIBL
(14,13),(14,7),(14,3),-0.10242 # DEPENDENCYPART_TRISIBL
(14,13),(14,7),(14,2),-0.0988816 # DEPENDENCYPART_TRISIBL
(14,13),(14,7),(14,-1),-0.0121691 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,5),(14,4),-0.124605 # DEPENDENCYPART_TRISIBL
(14,13),(14,5),(14,3),-0.131452 # DEPENDENCYPART_TRISIBL
(14,13),(14,5),(14,2),-0.185868 # DEPENDENCYPART_TRISIBL
(14,13),(14,5),(14,-1),0.00098268 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,4),(14,3),-0.131533 # DEPENDENCYPART_TRISIBL
(14,13),(14,4),(14,2),-0.186049 # DEPENDENCYPART_TRISIBL
(14,13),(14,4),(14,-1),0.000720464 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,3),(14,2),-0.18736 # DEPENDENCYPART_TRISIBL
(14,13),(14,3),(14,-1),0.0324328 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,2),(14,-1),-0.00688818 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,11),(14,10),-0.0250565 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,9),-0.154427 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,8),-0.0173189 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,7),-0.00761162 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,5),-0.0824067 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,4),-0.0834735 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,3),-0.095365 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,2),-0.155159 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,-1),-0.0621214 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,10),(14,9),-0.169851 # DEPENDENCYPART_TRISIBL
(14,12),(14,10),(14,8),-0.0285626 # DEPENDENCYPART_TRISIBL
(14,12),(14,10),(14,7),-0.00761427 # DEPENDENCYPART_TRISIBL
(14,12),(14,10),(14,5),-0.12774 # DEPENDENCYPART_TRISIBL
(14,12),(14,10),(14,4),-0.12881 # DEPENDENCYPART_TRISIBL
(14,12),(14,10),(14,3),-0.139244 # DEPENDENCYPART_TRISIBL
(14,12),(14,10),(14,2),-0.170583 # DEPENDENCYPART_TRISIBL
(14,12),(14,10),(14,-1),-0.00474124 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,9),(14,8),-0.0354659 # DEPENDENCYPART_TRISIBL
(14,12),(14,9),(14,7),-0.0147175 # DEPENDENCYPART_TRISIBL
(14,12),(14,9),(14,5),-0.107493 # DEPENDENCYPART_TRISIBL
(14,12),(14,9),(14,4),-0.108793 # DEPENDENCYPART_TRISIBL
(14,12),(14,9),(14,3),-0.118971 # DEPENDENCYPART_TRISIBL
(14,12),(14,9),(14,2),-0.238865 # DEPENDENCYPART_TRISIBL
(14,12),(14,9),(14,-1),-0.0692097 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,8),(14,7),-0.011103 # DEPENDENCYPART_TRISIBL
(14,12),(14,8),(14,5),-0.0939991 # DEPENDENCYPART_TRISIBL
(14,12),(14,8),(14,4),-0.0950781 # DEPENDENCYPART_TRISIBL
(14,12),(14,8),(14,3),-0.105439 # DEPENDENCYPART_TRISIBL
(14,12),(14,8),(14,2),-0.188141 # DEPENDENCYPART_TRISIBL
(14,12),(14,8),(14,-1),0.0580284 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,7),(14,5),-0.128065 # DEPENDENCYPART_TRISIBL
(14,12),(14,7),(14,4),-0.129136 # DEPENDENCYPART_TRISIBL
(14,12),(14,7),(14,3),-0.139569 # DEPENDENCYPART_TRISIBL
(14,12),(14,7),(14,2),-0.170409 # DEPENDENCYPART_TRISIBL
(14,12),(14,7),(14,-1),0.00820283 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,5),(14,4),-0.0819758 # DEPENDENCYPART_TRISIBL
(14,12),(14,5),(14,3),-0.0930675 # DEPENDENCYPART_TRISIBL
(14,12),(14,5),(14,2),-0.210706 # DEPENDENCYPART_TRISIBL
(14,12),(14,5),(14,-1),-0.048402 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,4),(14,3),-0.093099 # DEPENDENCYPART_TRISIBL
(14,12),(14,4),(14,2),-0.210711 # DEPENDENCYPART_TRISIBL
(14,12),(14,4),(14,-1),-0.0493994 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,3),(14,2),-0.211806 # DEPENDENCYPART_TRISIBL
(14,12),(14,3),(14,-1),-0.0350435 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,2),(14,-1),-0.0692674 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,10),(14,9),-0.0915897 # DEPENDENCYPART_TRISIBL
(14,11),(14,10),(14,8),-0.0623683 # DEPENDENCYPART_TRISIBL
(14,11),(14,10),(14,7),-0.0684195 # DEPENDENCYPART_TRISIBL
(14,11),(14,10),(14,5),-0.0891064 # DEPENDENCYPART_TRISIBL
(14,11),(14,10),(14,4),-0.0892467 # DEPENDENCYPART_TRISIBL
(14,11),(14,10),(14,3),-0.0893926 # DEPENDENCYPART_TRISIBL
(14,11),(14,10),(14,2),-0.0917075 # DEPENDENCYPART_TRISIBL
(14,11),(14,10),(14,-1),-0.0161167 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,9),(14,8),-0.0435037 # DEPENDENCYPART_TRISIBL
(14,11),(14,9),(14,7),-0.0789832 # DEPENDENCYPART_TRISIBL
(14,11),(14,9),(14,5),-0.0869936 # DEPENDENCYPART_TRISIBL
(14,11),(14,9),(14,4),-0.0870645 # DEPENDENCYPART_TRISIBL
(14,11),(14,9),(14,3),-0.0873003 # DEPENDENCYPART_TRISIBL
(14,11),(14,9),(14,2),-0.0919238 # DEPENDENCYPART_TRISIBL
(14,11),(14,9),(14,-1),-0.106178 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,8),(14,7),-0.0695638 # DEPENDENCYPART_TRISIBL
(14,11),(14,8),(14,5),-0.0858462 # DEPENDENCYPART_TRISIBL
(14,11),(14,8),(14,4),-0.0859171 # DEPENDENCYPART_TRISIBL
(14,11),(14,8),(14,3),-0.0861319 # DEPENDENCYPART_TRISIBL
(14,11),(14,8),(14,2),-0.0900427 # DEPENDENCYPART_TRISIBL
(14,11),(14,8),(14,-1),-0.062029 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,7),(14,5),-0.0887664 # DEPENDENCYPART_TRISIBL
(14,11),(14,7),(14,4),-0.0889066 # DEPENDENCYPART_TRISIBL
(14,11),(14,7),(14,3),-0.0890526 # DEPENDENCYPART_TRISIBL
(14,11),(14,7),(14,2),-0.091374 # DEPENDENCYPART_TRISIBL
(14,11),(14,7),(14,-1),-0.0217116 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,5),(14,4),-0.0879626 # DEPENDENCYPART_TRISIBL
(14,11),(14,5),(14,3),-0.0881775 # DEPENDENCYPART_TRISIBL
(14,11),(14,5),(14,2),-0.0902772 # DEPENDENCYPART_TRISIBL
(14,11),(14,5),(14,-1),-0.108544 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,4),(14,3),-0.0881775 # DEPENDENCYPART_TRISIBL
(14,11),(14,4),(14,2),-0.0902772 # DEPENDENCYPART_TRISIBL
(14,11),(14,4),(14,-1),-0.108544 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,3),(14,2),-0.0902772 # DEPENDENCYPART_TRISIBL
(14,11),(14,3),(14,-1),-0.110176 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,2),(14,-1),-0.106178 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,10),(14,9),(14,8),-0.0763652 # DEPENDENCYPART_TRISIBL
(14,10),(14,9),(14,7),-0.146692 # DEPENDENCYPART_TRISIBL
(14,10),(14,9),(14,5),-0.126461 # DEPENDENCYPART_TRISIBL
(14,10),(14,9),(14,4),-0.128354 # DEPENDENCYPART_TRISIBL
(14,10),(14,9),(14,3),-0.125014 # DEPENDENCYPART_TRISIBL
(14,10),(14,9),(14,2),-0.134817 # DEPENDENCYPART_TRISIBL
(14,10),(14,9),(14,-1),-0.106151 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,10),(14,8),(14,7),-0.112194 # DEPENDENCYPART_TRISIBL
(14,10),(14,8),(14,5),-0.111702 # DEPENDENCYPART_TRISIBL
(14,10),(14,8),(14,4),-0.113595 # DEPENDENCYPART_TRISIBL
(14,10),(14,8),(14,3),-0.110254 # DEPENDENCYPART_TRISIBL
(14,10),(14,8),(14,2),-0.105722 # DEPENDENCYPART_TRISIBL
(14,10),(14,8),(14,-1),-0.125165 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,10),(14,7),(14,5),-0.112245 # DEPENDENCYPART_TRISIBL
(14,10),(14,7),(14,4),-0.114602 # DEPENDENCYPART_TRISIBL
(14,10),(14,7),(14,3),-0.111391 # DEPENDENCYPART_TRISIBL
(14,10),(14,7),(14,2),-0.12961 # DEPENDENCYPART_TRISIBL
(14,10),(14,7),(14,-1),-0.0930196 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,10),(14,5),(14,4),-0.125531 # DEPENDENCYPART_TRISIBL
(14,10),(14,5),(14,3),-0.122086 # DEPENDENCYPART_TRISIBL
(14,10),(14,5),(14,2),-0.128312 # DEPENDENCYPART_TRISIBL
(14,10),(14,5),(14,-1),-0.15287 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,10),(14,4),(14,3),-0.12262 # DEPENDENCYPART_TRISIBL
(14,10),(14,4),(14,2),-0.128312 # DEPENDENCYPART_TRISIBL
(14,10),(14,4),(14,-1),-0.152874 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,10),(14,3),(14,2),-0.128375 # DEPENDENCYPART_TRISIBL
(14,10),(14,3),(14,-1),-0.154546 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,10),(14,2),(14,-1),-0.10649 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,9),(14,8),(14,7),-0.0111029 # DEPENDENCYPART_TRISIBL
(14,9),(14,8),(14,5),-0.093743 # DEPENDENCYPART_TRISIBL
(14,9),(14,8),(14,4),-0.094822 # DEPENDENCYPART_TRISIBL
(14,9),(14,8),(14,3),-0.105183 # DEPENDENCYPART_TRISIBL
(14,9),(14,8),(14,2),-0.187858 # DEPENDENCYPART_TRISIBL
(14,9),(14,8),(14,-1),0.0600042 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,9),(14,7),(14,5),-0.127596 # DEPENDENCYPART_TRISIBL
(14,9),(14,7),(14,4),-0.128667 # DEPENDENCYPART_TRISIBL
(14,9),(14,7),(14,3),-0.139101 # DEPENDENCYPART_TRISIBL
(14,9),(14,7),(14,2),-0.170126 # DEPENDENCYPART_TRISIBL
(14,9),(14,7),(14,-1),0.0078255 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,9),(14,5),(14,4),-0.0816777 # DEPENDENCYPART_TRISIBL
(14,9),(14,5),(14,3),-0.0927695 # DEPENDENCYPART_TRISIBL
(14,9),(14,5),(14,2),-0.210423 # DEPENDENCYPART_TRISIBL
(14,9),(14,5),(14,-1),-0.0498797 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,9),(14,4),(14,3),-0.0928009 # DEPENDENCYPART_TRISIBL
(14,9),(14,4),(14,2),-0.210428 # DEPENDENCYPART_TRISIBL
(14,9),(14,4),(14,-1),-0.0508772 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,9),(14,3),(14,2),-0.211522 # DEPENDENCYPART_TRISIBL
(14,9),(14,3),(14,-1),-0.0365212 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,9),(14,2),(14,-1),-0.0707463 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,8),(14,7),(14,5),-0.0526857 # DEPENDENCYPART_TRISIBL
(14,8),(14,7),(14,4),-0.0526947 # DEPENDENCYPART_TRISIBL
(14,8),(14,7),(14,3),-0.0534175 # DEPENDENCYPART_TRISIBL
(14,8),(14,7),(14,2),-0.104715 # DEPENDENCYPART_TRISIBL
(14,8),(14,7),(14,-1),-0.0548484 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,8),(14,5),(14,4),-0.0497731 # DEPENDENCYPART_TRISIBL
(14,8),(14,5),(14,3),-0.0505435 # DEPENDENCYPART_TRISIBL
(14,8),(14,5),(14,2),-0.0967372 # DEPENDENCYPART_TRISIBL
(14,8),(14,5),(14,-1),-0.141661 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,8),(14,4),(14,3),-0.0505435 # DEPENDENCYPART_TRISIBL
(14,8),(14,4),(14,2),-0.0967372 # DEPENDENCYPART_TRISIBL
(14,8),(14,4),(14,-1),-0.141661 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,8),(14,3),(14,2),-0.0967372 # DEPENDENCYPART_TRISIBL
(14,8),(14,3),(14,-1),-0.142177 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,8),(14,2),(14,-1),-0.0845981 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,7),(14,5),(14,4),-0.121774 # DEPENDENCYPART_TRISIBL
(14,7),(14,5),(14,3),-0.118329 # DEPENDENCYPART_TRISIBL
(14,7),(14,5),(14,2),-0.136963 # DEPENDENCYPART_TRISIBL
(14,7),(14,5),(14,-1),-0.100968 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,7),(14,4),(14,3),-0.118863 # DEPENDENCYPART_TRISIBL
(14,7),(14,4),(14,2),-0.136963 # DEPENDENCYPART_TRISIBL
(14,7),(14,4),(14,-1),-0.100972 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,7),(14,3),(14,2),-0.137025 # DEPENDENCYPART_TRISIBL
(14,7),(14,3),(14,-1),-0.102644 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,7),(14,2),(14,-1),-0.0457978 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,5),(14,4),(14,3),-0.16653 # DEPENDENCYPART_TRISIBL
(14,5),(14,4),(14,2),-0.0783627 # DEPENDENCYPART_TRISIBL
(14,5),(14,4),(14,-1),-0.155782 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,5),(14,3),(14,2),-0.0788549 # DEPENDENCYPART_TRISIBL
(14,5),(14,3),(14,-1),-0.154594 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,5),(14,2),(14,-1),-0.0921666 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,4),(14,3),(14,2),-0.0802742 # DEPENDENCYPART_TRISIBL
(14,4),(14,3),(14,-1),-0.167038 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,4),(14,2),(14,-1),-0.10394 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,3),(14,2),(14,-1),-0.0850746 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,16),(15,20),-0.10419 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,22),-0.115623 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,15),(15,20),(15,22),-0.121607 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,16),(15,20),(15,22),-0.129732 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,17),(16,19),-0.0558497 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,20),-0.0318513 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,21),-0.200598 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,22),-0.680489 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,19),(16,20),-0.105311 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,21),-0.114873 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,22),-0.121261 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,20),(16,21),-0.114624 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,22),-0.121607 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,21),(16,22),-0.216513 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,17),(16,19),(16,20),-0.0837595 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,21),-0.240184 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,22),-0.0989269 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,20),(16,21),-0.240184 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,22),-0.0993928 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,21),(16,22),-0.278389 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,20),(16,21),-0.0873449 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,22),-0.128673 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,21),(16,22),-0.0341184 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,20),(16,21),(16,22),-0.0232411 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,15),(16,14),-0.125381 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,15),(16,13),-0.177953 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,15),(16,12),-0.19094 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,15),(16,8),-0.0434456 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,15),(16,-1),-0.166734 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,14),(16,13),-0.0289098 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,14),(16,12),-0.0199607 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,14),(16,8),-0.0298374 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,14),(16,-1),-0.224896 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,13),(16,12),-0.0760294 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,13),(16,8),-0.152461 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,13),(16,-1),-0.399755 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,12),(16,8),-0.0434456 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,12),(16,-1),-0.174061 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,8),(16,-1),-0.167555 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,15),(16,14),(16,13),-0.133709 # DEPENDENCYPART_TRISIBL
(16,15),(16,14),(16,12),-0.0837446 # DEPENDENCYPART_TRISIBL
(16,15),(16,14),(16,8),0.084312 # DEPENDENCYPART_TRISIBL
(16,15),(16,14),(16,-1),-0.225192 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,15),(16,13),(16,12),-0.154346 # DEPENDENCYPART_TRISIBL
(16,15),(16,13),(16,8),0.00247869 # DEPENDENCYPART_TRISIBL
(16,15),(16,13),(16,-1),-0.23643 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,15),(16,12),(16,8),-0.000373456 # DEPENDENCYPART_TRISIBL
(16,15),(16,12),(16,-1),-0.108102 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,15),(16,8),(16,-1),-0.0176233 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,14),(16,13),(16,12),-0.0190605 # DEPENDENCYPART_TRISIBL
(16,14),(16,13),(16,8),0.00831838 # DEPENDENCYPART_TRISIBL
(16,14),(16,13),(16,-1),-0.217669 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,14),(16,12),(16,8),0.0136281 # DEPENDENCYPART_TRISIBL
(16,14),(16,12),(16,-1),-0.137654 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,14),(16,8),(16,-1),0.0558257 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,13),(16,12),(16,8),0.00607344 # DEPENDENCYPART_TRISIBL
(16,13),(16,12),(16,-1),-0.123206 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,13),(16,8),(16,-1),-0.227025 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,12),(16,8),(16,-1),-0.01826 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,18),(18,17),(18,-1),-0.474371 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,19),(19,21),(19,22),-0.222981 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(19,19),(19,18),(19,-1),-0.169018 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,20),(20,21),(20,22),-0.208361 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(20,20),(20,19),(20,18),-0.0432893 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,19),(20,17),-0.173136 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,19),(20,16),-0.193698 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,19),(20,15),-0.193698 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,19),(20,11),-0.0865048 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,19),(20,10),-0.187947 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,19),(20,8),-0.0432893 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,19),(20,-1),-0.169783 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,20),(20,18),(20,17),-0.0075335 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,18),(20,16),-0.165451 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,18),(20,15),-0.165451 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,18),(20,11),-0.162743 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,18),(20,10),-0.181736 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,18),(20,8),-0.12799 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,18),(20,-1),-0.166602 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,20),(20,17),(20,16),-0.0765441 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,17),(20,15),-0.0765441 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,17),(20,11),-0.115026 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,17),(20,10),-0.222089 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,17),(20,8),-0.152334 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,17),(20,-1),-0.399186 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,20),(20,16),(20,15),-0.193355 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,16),(20,11),-0.0865048 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,16),(20,10),-0.187866 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
