# _root_ John Fitzsimmons , chief executive officer of Data Systems , said the company was profitable and expected sales of nearly $ 100 million this year .
#goldHeads=2,11,2,6,6,2,6,9,7,2,0,13,16,16,14,11,16,17,18,21,19,21,21,25,17,11,
#predictedHeads=2,11,2,6,6,2,6,9,7,2,0,13,16,16,14,11,16,17,18,21,19,21,21,25,21,11,
(6,11),(6,16),(6,26),-0.0958408 # DEPENDENCYPART_TRISIBL
(6,11),(6,16),(6,27),-0.152316 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,11),(6,17),(6,18),-0.071757 # DEPENDENCYPART_TRISIBL
(6,11),(6,17),(6,20),-0.0749398 # DEPENDENCYPART_TRISIBL
(6,11),(6,17),(6,26),-0.118903 # DEPENDENCYPART_TRISIBL
(6,11),(6,17),(6,27),-0.0961975 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,11),(6,18),(6,20),-0.0697109 # DEPENDENCYPART_TRISIBL
(6,11),(6,18),(6,26),-0.0454456 # DEPENDENCYPART_TRISIBL
(6,11),(6,18),(6,27),-0.104381 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,11),(6,20),(6,26),-0.0581233 # DEPENDENCYPART_TRISIBL
(6,11),(6,20),(6,27),-0.0943422 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,11),(6,26),(6,27),-0.0583482 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,13),(6,14),(6,15),-0.0775275 # DEPENDENCYPART_TRISIBL
(6,13),(6,14),(6,16),-0.129699 # DEPENDENCYPART_TRISIBL
(6,13),(6,14),(6,17),-0.0947612 # DEPENDENCYPART_TRISIBL
(6,13),(6,14),(6,18),-0.0695781 # DEPENDENCYPART_TRISIBL
(6,13),(6,14),(6,20),-0.0666975 # DEPENDENCYPART_TRISIBL
(6,13),(6,14),(6,26),-0.0942637 # DEPENDENCYPART_TRISIBL
(6,13),(6,14),(6,27),-0.134672 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,13),(6,15),(6,16),-0.121434 # DEPENDENCYPART_TRISIBL
(6,13),(6,15),(6,17),-0.0846858 # DEPENDENCYPART_TRISIBL
(6,13),(6,15),(6,18),-0.0737252 # DEPENDENCYPART_TRISIBL
(6,13),(6,15),(6,20),-0.069733 # DEPENDENCYPART_TRISIBL
(6,13),(6,15),(6,26),-0.0974272 # DEPENDENCYPART_TRISIBL
(6,13),(6,15),(6,27),-0.0725857 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,13),(6,16),(6,17),-0.0895637 # DEPENDENCYPART_TRISIBL
(6,13),(6,16),(6,18),-0.0859956 # DEPENDENCYPART_TRISIBL
(6,13),(6,16),(6,20),-0.0713139 # DEPENDENCYPART_TRISIBL
(6,13),(6,16),(6,26),-0.0851904 # DEPENDENCYPART_TRISIBL
(6,13),(6,16),(6,27),-0.171184 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,13),(6,17),(6,18),-0.0717439 # DEPENDENCYPART_TRISIBL
(6,13),(6,17),(6,20),-0.0665185 # DEPENDENCYPART_TRISIBL
(6,13),(6,17),(6,26),-0.092937 # DEPENDENCYPART_TRISIBL
(6,13),(6,17),(6,27),-0.127157 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,13),(6,18),(6,20),-0.0753278 # DEPENDENCYPART_TRISIBL
(6,13),(6,18),(6,26),-0.0878523 # DEPENDENCYPART_TRISIBL
(6,13),(6,18),(6,27),-0.110874 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,13),(6,20),(6,26),-0.101033 # DEPENDENCYPART_TRISIBL
(6,13),(6,20),(6,27),-0.0875741 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,13),(6,26),(6,27),-0.0340929 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,14),(6,15),(6,16),-0.10507 # DEPENDENCYPART_TRISIBL
(6,14),(6,15),(6,17),-0.0985904 # DEPENDENCYPART_TRISIBL
(6,14),(6,15),(6,18),-0.0640958 # DEPENDENCYPART_TRISIBL
(6,14),(6,15),(6,20),-0.0716651 # DEPENDENCYPART_TRISIBL
(6,14),(6,15),(6,26),-0.0630721 # DEPENDENCYPART_TRISIBL
(6,14),(6,15),(6,27),-0.107636 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,14),(6,16),(6,17),-0.101961 # DEPENDENCYPART_TRISIBL
(6,14),(6,16),(6,18),-0.0691929 # DEPENDENCYPART_TRISIBL
(6,14),(6,16),(6,20),-0.072248 # DEPENDENCYPART_TRISIBL
(6,14),(6,16),(6,26),-0.0945661 # DEPENDENCYPART_TRISIBL
(6,14),(6,16),(6,27),-0.162944 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,14),(6,17),(6,18),-0.0715535 # DEPENDENCYPART_TRISIBL
(6,14),(6,17),(6,20),-0.073565 # DEPENDENCYPART_TRISIBL
(6,14),(6,17),(6,26),-0.108694 # DEPENDENCYPART_TRISIBL
(6,14),(6,17),(6,27),-0.109588 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,14),(6,18),(6,20),-0.0686503 # DEPENDENCYPART_TRISIBL
(6,14),(6,18),(6,26),-0.0407231 # DEPENDENCYPART_TRISIBL
(6,14),(6,18),(6,27),-0.11717 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,14),(6,20),(6,26),-0.0544605 # DEPENDENCYPART_TRISIBL
(6,14),(6,20),(6,27),-0.108475 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,14),(6,26),(6,27),-0.0845767 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,15),(6,16),(6,17),-0.0561487 # DEPENDENCYPART_TRISIBL
(6,15),(6,16),(6,18),-0.0757135 # DEPENDENCYPART_TRISIBL
(6,15),(6,16),(6,20),-0.0822454 # DEPENDENCYPART_TRISIBL
(6,15),(6,16),(6,26),-0.0686132 # DEPENDENCYPART_TRISIBL
(6,15),(6,16),(6,27),-0.106298 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,15),(6,17),(6,18),-0.0704681 # DEPENDENCYPART_TRISIBL
(6,15),(6,17),(6,20),-0.0797532 # DEPENDENCYPART_TRISIBL
(6,15),(6,17),(6,26),-0.0965976 # DEPENDENCYPART_TRISIBL
(6,15),(6,17),(6,27),-0.0881132 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,15),(6,18),(6,20),-0.0812451 # DEPENDENCYPART_TRISIBL
(6,15),(6,18),(6,26),-0.0890881 # DEPENDENCYPART_TRISIBL
(6,15),(6,18),(6,27),-0.0926151 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,15),(6,20),(6,26),-0.0652412 # DEPENDENCYPART_TRISIBL
(6,15),(6,20),(6,27),-0.0818009 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,15),(6,26),(6,27),-0.0859549 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,16),(6,17),(6,18),-0.0921122 # DEPENDENCYPART_TRISIBL
(6,16),(6,17),(6,20),-0.054365 # DEPENDENCYPART_TRISIBL
(6,16),(6,17),(6,26),-0.0781564 # DEPENDENCYPART_TRISIBL
(6,16),(6,17),(6,27),-0.101965 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,16),(6,18),(6,20),-0.0556633 # DEPENDENCYPART_TRISIBL
(6,16),(6,18),(6,26),-0.0811335 # DEPENDENCYPART_TRISIBL
(6,16),(6,18),(6,27),-0.149538 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,16),(6,20),(6,26),-0.0671478 # DEPENDENCYPART_TRISIBL
(6,16),(6,20),(6,27),-0.0930113 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,16),(6,26),(6,27),-0.0754878 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,17),(6,18),(6,20),-0.069749 # DEPENDENCYPART_TRISIBL
(6,17),(6,18),(6,26),-0.0402009 # DEPENDENCYPART_TRISIBL
(6,17),(6,18),(6,27),-0.117363 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,17),(6,20),(6,26),-0.0529968 # DEPENDENCYPART_TRISIBL
(6,17),(6,20),(6,27),-0.108562 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,17),(6,26),(6,27),-0.0765758 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,18),(6,20),(6,26),-0.102872 # DEPENDENCYPART_TRISIBL
(6,18),(6,20),(6,27),-0.091241 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,18),(6,26),(6,27),-0.0349508 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,20),(6,26),(6,27),-0.139316 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,5),(6,4),-0.0195924 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,5),(6,3),-0.172815 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,5),(6,2),-0.163195 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,5),(6,1),-0.175795 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,5),(6,-1),-0.207745 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,4),(6,3),-0.116536 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,4),(6,2),-0.0811869 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,4),(6,1),-0.0865037 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,4),(6,-1),-0.111721 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,3),(6,2),-0.0518976 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,3),(6,1),-0.0573829 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,3),(6,-1),-0.408309 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,2),(6,1),-0.175908 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,2),(6,-1),-0.176065 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,1),(6,-1),-0.158288 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,5),(6,4),(6,3),-0.158521 # DEPENDENCYPART_TRISIBL
(6,5),(6,4),(6,2),-0.0300112 # DEPENDENCYPART_TRISIBL
(6,5),(6,4),(6,1),-0.0319692 # DEPENDENCYPART_TRISIBL
(6,5),(6,4),(6,-1),-0.038453 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,5),(6,3),(6,2),-0.144012 # DEPENDENCYPART_TRISIBL
(6,5),(6,3),(6,1),-0.146049 # DEPENDENCYPART_TRISIBL
(6,5),(6,3),(6,-1),-0.213373 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,5),(6,2),(6,1),-0.0276945 # DEPENDENCYPART_TRISIBL
(6,5),(6,2),(6,-1),-0.0774149 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,5),(6,1),(6,-1),-0.0884905 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,4),(6,3),(6,2),-0.0717235 # DEPENDENCYPART_TRISIBL
(6,4),(6,3),(6,1),-0.0717295 # DEPENDENCYPART_TRISIBL
(6,4),(6,3),(6,-1),-0.236785 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,4),(6,2),(6,1),0.00847712 # DEPENDENCYPART_TRISIBL
(6,4),(6,2),(6,-1),-0.089954 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,4),(6,1),(6,-1),-0.0899639 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,3),(6,2),(6,1),0.000978887 # DEPENDENCYPART_TRISIBL
(6,3),(6,2),(6,-1),-0.126136 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,3),(6,1),(6,-1),-0.126725 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,2),(6,1),(6,-1),-0.108279 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,8),(7,9),-0.0945082 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,10),0.0741576 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,11),-0.129028 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,13),-0.0896342 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,16),-0.200173 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,18),-0.104941 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,27),0.313448 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,9),(7,10),0.0704603 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,11),-0.129397 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,13),-0.095534 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,16),-0.197222 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,18),-0.110841 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,27),0.319898 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,10),(7,11),-0.127849 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,13),-0.099976 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,16),-0.0978408 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,18),-0.140633 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,27),-0.21382 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,11),(7,13),-0.0512717 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,16),-0.130026 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,18),-0.0672102 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,27),0.134333 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,13),(7,16),-0.199894 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,13),(7,18),-0.105403 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,13),(7,27),0.320321 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,16),(7,18),-0.10098 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,16),(7,27),0.212535 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,18),(7,27),0.329013 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,8),(7,9),(7,10),-0.0440683 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,11),-0.0638849 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,13),-0.141829 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,16),-0.180382 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,18),-0.135043 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,27),-0.0915527 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,10),(7,11),-0.0171295 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,13),-0.187174 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,16),-0.139972 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,18),-0.174855 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,27),-0.0258783 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,11),(7,13),-0.123568 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,16),-0.148722 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,18),-0.116931 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,27),-0.114769 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,13),(7,16),-0.180414 # DEPENDENCYPART_TRISIBL
(7,8),(7,13),(7,18),-0.134987 # DEPENDENCYPART_TRISIBL
(7,8),(7,13),(7,27),-0.0911217 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,16),(7,18),-0.155807 # DEPENDENCYPART_TRISIBL
(7,8),(7,16),(7,27),-0.197575 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,18),(7,27),-0.0964671 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,10),(7,11),-0.0243087 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,13),-0.19238 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,16),-0.139955 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,18),-0.180061 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,27),-0.0266052 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,11),(7,13),-0.128558 # DEPENDENCYPART_TRISIBL
(7,9),(7,11),(7,16),-0.148705 # DEPENDENCYPART_TRISIBL
(7,9),(7,11),(7,18),-0.121921 # DEPENDENCYPART_TRISIBL
(7,9),(7,11),(7,27),-0.115367 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,13),(7,16),-0.180397 # DEPENDENCYPART_TRISIBL
(7,9),(7,13),(7,18),-0.144616 # DEPENDENCYPART_TRISIBL
(7,9),(7,13),(7,27),-0.0911033 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,16),(7,18),-0.160802 # DEPENDENCYPART_TRISIBL
(7,9),(7,16),(7,27),-0.19342 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,18),(7,27),-0.0964487 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,11),(7,13),-0.0698982 # DEPENDENCYPART_TRISIBL
(7,10),(7,11),(7,16),-0.0824869 # DEPENDENCYPART_TRISIBL
(7,10),(7,11),(7,18),-0.0686253 # DEPENDENCYPART_TRISIBL
(7,10),(7,11),(7,27),-0.114706 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,13),(7,16),-0.0841971 # DEPENDENCYPART_TRISIBL
(7,10),(7,13),(7,18),-0.09204 # DEPENDENCYPART_TRISIBL
(7,10),(7,13),(7,27),-0.160752 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,16),(7,18),-0.0702887 # DEPENDENCYPART_TRISIBL
(7,10),(7,16),(7,27),-0.146589 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,18),(7,27),-0.169367 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,11),(7,13),(7,16),-0.117254 # DEPENDENCYPART_TRISIBL
(7,11),(7,13),(7,18),-0.0759115 # DEPENDENCYPART_TRISIBL
(7,11),(7,13),(7,27),-0.0726071 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,11),(7,16),(7,18),-0.0713848 # DEPENDENCYPART_TRISIBL
(7,11),(7,16),(7,27),-0.106517 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,11),(7,18),(7,27),-0.0702206 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,13),(7,16),(7,18),-0.163358 # DEPENDENCYPART_TRISIBL
(7,13),(7,16),(7,27),-0.180288 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,13),(7,18),(7,27),-0.080021 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,16),(7,18),(7,27),-0.179744 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,6),(7,-1),-0.200802 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,10),(9,11),-0.145926 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,13),-0.0110223 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,16),-0.0139564 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,27),-0.689475 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,11),(9,13),-0.115798 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,11),(9,16),-0.121101 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,11),(9,27),-0.11944 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,13),(9,16),-0.131637 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,13),(9,27),-0.123831 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,16),(9,27),-0.0808338 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,10),(9,11),(9,13),-0.0233754 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,16),-0.0573027 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,27),-0.0634664 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,13),(9,16),-0.062724 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,27),-0.086609 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,16),(9,27),-0.0943448 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,13),(9,16),-0.102 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,27),-0.105726 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,16),(9,27),-0.150629 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,16),(9,27),-0.173955 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,8),(9,6),-0.194056 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,8),(9,-1),-0.174928 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,6),(9,-1),-0.168939 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,8),(9,6),(9,-1),-0.0954198 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,11),(11,12),(11,13),-0.130273 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,14),-0.0384615 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,15),-0.109642 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,16),-0.109498 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,17),-0.0481929 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,18),-0.151002 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,19),-0.149521 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,20),-0.0609078 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,25),-0.0867542 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,26),-0.0210874 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,27),-0.0809435 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,13),(11,14),0.00224953 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,15),-0.0703536 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,16),-0.0304284 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,17),-0.00622341 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,18),-0.0397693 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,19),-0.0510442 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,20),-0.0205612 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,25),0.0339916 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,26),0.0243277 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,27),-0.0395225 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,14),(11,15),-0.106011 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,16),-0.104776 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,17),0.0131268 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,18),-0.059307 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,19),-0.115726 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,20),-0.0622437 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,25),0.00361191 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,26),0.089065 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,27),0.0906152 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,15),(11,16),-0.0548246 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,15),(11,17),0.0239733 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,15),(11,18),-0.0586082 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,15),(11,19),-0.0880063 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,15),(11,20),-0.0383532 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,15),(11,25),0.0147669 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,15),(11,26),0.0293111 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,15),(11,27),0.00452924 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,16),(11,17),0.0385792 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,16),(11,18),-0.0397163 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,16),(11,19),-0.0130736 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,16),(11,20),0.0449202 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,16),(11,25),0.0326825 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,16),(11,26),0.145582 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,16),(11,27),0.015721 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,17),(11,18),-0.056954 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,17),(11,19),-0.109593 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,17),(11,20),-0.0624245 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,17),(11,25),0.00596494 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,17),(11,26),0.110991 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,17),(11,27),0.0987873 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,18),(11,19),-0.0643056 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,18),(11,20),-0.00635954 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,18),(11,25),0.026437 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,18),(11,26),0.035348 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,18),(11,27),-0.0207724 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,19),(11,20),-0.0883153 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
