# _root_ `` We must do more to help the Japanese here in Baja if we want them to invest elsewhere , '' says Mr. Ruffo , the governor-elect of the National Action Party and himself a succesful businessman .
#goldHeads=22,3,22,3,4,7,4,9,7,7,10,11,15,15,4,18,18,15,18,22,22,0,24,22,24,27,33,27,32,32,32,28,24,33,37,37,34,22,
#predictedHeads=22,3,22,3,4,7,4,9,7,7,7,11,15,15,7,18,18,15,18,22,22,0,24,22,24,27,24,27,32,32,32,33,28,37,37,37,33,22,
(33,31),(33,26),(33,20),-0.113833 # DEPENDENCYPART_TRISIBL
(33,31),(33,26),(33,19),-0.0445945 # DEPENDENCYPART_TRISIBL
(33,31),(33,26),(33,18),-0.189866 # DEPENDENCYPART_TRISIBL
(33,31),(33,26),(33,17),-0.123899 # DEPENDENCYPART_TRISIBL
(33,31),(33,26),(33,16),-0.0548067 # DEPENDENCYPART_TRISIBL
(33,31),(33,26),(33,15),-0.189958 # DEPENDENCYPART_TRISIBL
(33,31),(33,26),(33,14),-0.0538662 # DEPENDENCYPART_TRISIBL
(33,31),(33,26),(33,13),-0.120834 # DEPENDENCYPART_TRISIBL
(33,31),(33,26),(33,12),-0.141024 # DEPENDENCYPART_TRISIBL
(33,31),(33,26),(33,11),-0.0743663 # DEPENDENCYPART_TRISIBL
(33,31),(33,26),(33,10),-0.0536666 # DEPENDENCYPART_TRISIBL
(33,31),(33,26),(33,7),-0.189239 # DEPENDENCYPART_TRISIBL
(33,31),(33,26),(33,6),-0.123899 # DEPENDENCYPART_TRISIBL
(33,31),(33,26),(33,4),-0.18951 # DEPENDENCYPART_TRISIBL
(33,31),(33,26),(33,3),-0.110644 # DEPENDENCYPART_TRISIBL
(33,31),(33,26),(33,1),-0.018453 # DEPENDENCYPART_TRISIBL
(33,31),(33,26),(33,-1),0.0650835 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,25),(33,24),0.117926 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,23),0.11506 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,22),-0.230947 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,20),-0.121269 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,19),-0.0722563 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,18),-0.213589 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,17),-0.0927183 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,16),-0.065816 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,15),-0.213769 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,14),-0.064871 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,13),-0.0816632 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,12),0.117926 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,11),-0.00103586 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,10),-0.0851555 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,7),-0.212099 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,6),-0.0927183 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,4),-0.211708 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,3),-0.146568 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,1),-0.0980246 # DEPENDENCYPART_TRISIBL
(33,31),(33,25),(33,-1),-0.240149 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,24),(33,23),-0.150802 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,22),-0.19909 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,20),-0.153436 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,19),-0.0417641 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,18),-0.193074 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,17),-0.13506 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,16),0.00917617 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,15),-0.193166 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,14),0.0100505 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,13),-0.161181 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,12),-0.147461 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,11),-0.117651 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,10),-0.0507823 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,7),-0.192449 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,6),-0.13506 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,4),-0.192729 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,3),-0.113339 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,1),-0.0709468 # DEPENDENCYPART_TRISIBL
(33,31),(33,24),(33,-1),-0.0623804 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,23),(33,22),-0.199103 # DEPENDENCYPART_TRISIBL
(33,31),(33,23),(33,20),-0.153445 # DEPENDENCYPART_TRISIBL
(33,31),(33,23),(33,19),-0.0419649 # DEPENDENCYPART_TRISIBL
(33,31),(33,23),(33,18),-0.193088 # DEPENDENCYPART_TRISIBL
(33,31),(33,23),(33,17),-0.13506 # DEPENDENCYPART_TRISIBL
(33,31),(33,23),(33,16),0.00917617 # DEPENDENCYPART_TRISIBL
(33,31),(33,23),(33,15),-0.19318 # DEPENDENCYPART_TRISIBL
(33,31),(33,23),(33,14),0.0100505 # DEPENDENCYPART_TRISIBL
(33,31),(33,23),(33,13),-0.161213 # DEPENDENCYPART_TRISIBL
(33,31),(33,23),(33,12),-0.147998 # DEPENDENCYPART_TRISIBL
(33,31),(33,23),(33,11),-0.117682 # DEPENDENCYPART_TRISIBL
(33,31),(33,23),(33,10),-0.0509831 # DEPENDENCYPART_TRISIBL
(33,31),(33,23),(33,7),-0.192463 # DEPENDENCYPART_TRISIBL
(33,31),(33,23),(33,6),-0.13506 # DEPENDENCYPART_TRISIBL
(33,31),(33,23),(33,4),-0.192743 # DEPENDENCYPART_TRISIBL
(33,31),(33,23),(33,3),-0.113341 # DEPENDENCYPART_TRISIBL
(33,31),(33,23),(33,1),-0.0709468 # DEPENDENCYPART_TRISIBL
(33,31),(33,23),(33,-1),-0.0762356 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,22),(33,20),-0.111838 # DEPENDENCYPART_TRISIBL
(33,31),(33,22),(33,19),-0.0423247 # DEPENDENCYPART_TRISIBL
(33,31),(33,22),(33,18),-0.219332 # DEPENDENCYPART_TRISIBL
(33,31),(33,22),(33,17),-0.14167 # DEPENDENCYPART_TRISIBL
(33,31),(33,22),(33,16),-0.0637636 # DEPENDENCYPART_TRISIBL
(33,31),(33,22),(33,15),-0.219423 # DEPENDENCYPART_TRISIBL
(33,31),(33,22),(33,14),-0.0636481 # DEPENDENCYPART_TRISIBL
(33,31),(33,22),(33,13),-0.0808531 # DEPENDENCYPART_TRISIBL
(33,31),(33,22),(33,12),-0.133596 # DEPENDENCYPART_TRISIBL
(33,31),(33,22),(33,11),-0.0278495 # DEPENDENCYPART_TRISIBL
(33,31),(33,22),(33,10),-0.0514353 # DEPENDENCYPART_TRISIBL
(33,31),(33,22),(33,7),-0.218824 # DEPENDENCYPART_TRISIBL
(33,31),(33,22),(33,6),-0.14167 # DEPENDENCYPART_TRISIBL
(33,31),(33,22),(33,4),-0.219178 # DEPENDENCYPART_TRISIBL
(33,31),(33,22),(33,3),-0.125921 # DEPENDENCYPART_TRISIBL
(33,31),(33,22),(33,1),-0.0952617 # DEPENDENCYPART_TRISIBL
(33,31),(33,22),(33,-1),-0.112957 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,20),(33,19),-0.0722563 # DEPENDENCYPART_TRISIBL
(33,31),(33,20),(33,18),-0.213589 # DEPENDENCYPART_TRISIBL
(33,31),(33,20),(33,17),-0.0927183 # DEPENDENCYPART_TRISIBL
(33,31),(33,20),(33,16),-0.065816 # DEPENDENCYPART_TRISIBL
(33,31),(33,20),(33,15),-0.213769 # DEPENDENCYPART_TRISIBL
(33,31),(33,20),(33,14),-0.064871 # DEPENDENCYPART_TRISIBL
(33,31),(33,20),(33,13),-0.0816632 # DEPENDENCYPART_TRISIBL
(33,31),(33,20),(33,12),0.117926 # DEPENDENCYPART_TRISIBL
(33,31),(33,20),(33,11),-0.00103586 # DEPENDENCYPART_TRISIBL
(33,31),(33,20),(33,10),-0.0851555 # DEPENDENCYPART_TRISIBL
(33,31),(33,20),(33,7),-0.212099 # DEPENDENCYPART_TRISIBL
(33,31),(33,20),(33,6),-0.0927183 # DEPENDENCYPART_TRISIBL
(33,31),(33,20),(33,4),-0.211708 # DEPENDENCYPART_TRISIBL
(33,31),(33,20),(33,3),-0.146568 # DEPENDENCYPART_TRISIBL
(33,31),(33,20),(33,1),-0.0980246 # DEPENDENCYPART_TRISIBL
(33,31),(33,20),(33,-1),-0.240149 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,19),(33,18),-0.175169 # DEPENDENCYPART_TRISIBL
(33,31),(33,19),(33,17),-0.114586 # DEPENDENCYPART_TRISIBL
(33,31),(33,19),(33,16),-0.0595272 # DEPENDENCYPART_TRISIBL
(33,31),(33,19),(33,15),-0.17526 # DEPENDENCYPART_TRISIBL
(33,31),(33,19),(33,14),-0.0585292 # DEPENDENCYPART_TRISIBL
(33,31),(33,19),(33,13),-0.0966342 # DEPENDENCYPART_TRISIBL
(33,31),(33,19),(33,12),-0.121252 # DEPENDENCYPART_TRISIBL
(33,31),(33,19),(33,11),-0.056213 # DEPENDENCYPART_TRISIBL
(33,31),(33,19),(33,10),-0.0591479 # DEPENDENCYPART_TRISIBL
(33,31),(33,19),(33,7),-0.174541 # DEPENDENCYPART_TRISIBL
(33,31),(33,19),(33,6),-0.114586 # DEPENDENCYPART_TRISIBL
(33,31),(33,19),(33,4),-0.174812 # DEPENDENCYPART_TRISIBL
(33,31),(33,19),(33,3),-0.111449 # DEPENDENCYPART_TRISIBL
(33,31),(33,19),(33,1),-0.0666985 # DEPENDENCYPART_TRISIBL
(33,31),(33,19),(33,-1),-0.0232809 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,18),(33,17),-0.141657 # DEPENDENCYPART_TRISIBL
(33,31),(33,18),(33,16),-0.0636387 # DEPENDENCYPART_TRISIBL
(33,31),(33,18),(33,15),-0.222971 # DEPENDENCYPART_TRISIBL
(33,31),(33,18),(33,14),-0.0635233 # DEPENDENCYPART_TRISIBL
(33,31),(33,18),(33,13),-0.0922502 # DEPENDENCYPART_TRISIBL
(33,31),(33,18),(33,12),-0.130847 # DEPENDENCYPART_TRISIBL
(33,31),(33,18),(33,11),-0.0392466 # DEPENDENCYPART_TRISIBL
(33,31),(33,18),(33,10),-0.0578002 # DEPENDENCYPART_TRISIBL
(33,31),(33,18),(33,7),-0.222372 # DEPENDENCYPART_TRISIBL
(33,31),(33,18),(33,6),-0.141657 # DEPENDENCYPART_TRISIBL
(33,31),(33,18),(33,4),-0.222726 # DEPENDENCYPART_TRISIBL
(33,31),(33,18),(33,3),-0.1259 # DEPENDENCYPART_TRISIBL
(33,31),(33,18),(33,1),-0.0952428 # DEPENDENCYPART_TRISIBL
(33,31),(33,18),(33,-1),-0.108993 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,17),(33,16),-0.0543988 # DEPENDENCYPART_TRISIBL
(33,31),(33,17),(33,15),-0.17942 # DEPENDENCYPART_TRISIBL
(33,31),(33,17),(33,14),-0.0534582 # DEPENDENCYPART_TRISIBL
(33,31),(33,17),(33,13),-0.0976367 # DEPENDENCYPART_TRISIBL
(33,31),(33,17),(33,12),-0.158825 # DEPENDENCYPART_TRISIBL
(33,31),(33,17),(33,11),-0.052583 # DEPENDENCYPART_TRISIBL
(33,31),(33,17),(33,10),-0.0611618 # DEPENDENCYPART_TRISIBL
(33,31),(33,17),(33,7),-0.178702 # DEPENDENCYPART_TRISIBL
(33,31),(33,17),(33,6),-0.114415 # DEPENDENCYPART_TRISIBL
(33,31),(33,17),(33,4),-0.178972 # DEPENDENCYPART_TRISIBL
(33,31),(33,17),(33,3),-0.110012 # DEPENDENCYPART_TRISIBL
(33,31),(33,17),(33,1),-0.0766331 # DEPENDENCYPART_TRISIBL
(33,31),(33,17),(33,-1),-0.0965035 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,16),(33,15),-0.18385 # DEPENDENCYPART_TRISIBL
(33,31),(33,16),(33,14),-0.0527657 # DEPENDENCYPART_TRISIBL
(33,31),(33,16),(33,13),-0.106209 # DEPENDENCYPART_TRISIBL
(33,31),(33,16),(33,12),-0.109778 # DEPENDENCYPART_TRISIBL
(33,31),(33,16),(33,11),-0.0613783 # DEPENDENCYPART_TRISIBL
(33,31),(33,16),(33,10),-0.063687 # DEPENDENCYPART_TRISIBL
(33,31),(33,16),(33,7),-0.183132 # DEPENDENCYPART_TRISIBL
(33,31),(33,16),(33,6),-0.125708 # DEPENDENCYPART_TRISIBL
(33,31),(33,16),(33,4),-0.183402 # DEPENDENCYPART_TRISIBL
(33,31),(33,16),(33,3),-0.121522 # DEPENDENCYPART_TRISIBL
(33,31),(33,16),(33,1),-0.0836005 # DEPENDENCYPART_TRISIBL
(33,31),(33,16),(33,-1),0.00148843 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,15),(33,14),-0.0635615 # DEPENDENCYPART_TRISIBL
(33,31),(33,15),(33,13),-0.0922502 # DEPENDENCYPART_TRISIBL
(33,31),(33,15),(33,12),-0.133054 # DEPENDENCYPART_TRISIBL
(33,31),(33,15),(33,11),-0.0392466 # DEPENDENCYPART_TRISIBL
(33,31),(33,15),(33,10),-0.0578893 # DEPENDENCYPART_TRISIBL
(33,31),(33,15),(33,7),-0.222421 # DEPENDENCYPART_TRISIBL
(33,31),(33,15),(33,6),-0.141657 # DEPENDENCYPART_TRISIBL
(33,31),(33,15),(33,4),-0.222775 # DEPENDENCYPART_TRISIBL
(33,31),(33,15),(33,3),-0.1259 # DEPENDENCYPART_TRISIBL
(33,31),(33,15),(33,1),-0.0965092 # DEPENDENCYPART_TRISIBL
(33,31),(33,15),(33,-1),-0.106266 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,14),(33,13),-0.106247 # DEPENDENCYPART_TRISIBL
(33,31),(33,14),(33,12),-0.109954 # DEPENDENCYPART_TRISIBL
(33,31),(33,14),(33,11),-0.0614154 # DEPENDENCYPART_TRISIBL
(33,31),(33,14),(33,10),-0.0636869 # DEPENDENCYPART_TRISIBL
(33,31),(33,14),(33,7),-0.183118 # DEPENDENCYPART_TRISIBL
(33,31),(33,14),(33,6),-0.125708 # DEPENDENCYPART_TRISIBL
(33,31),(33,14),(33,4),-0.183388 # DEPENDENCYPART_TRISIBL
(33,31),(33,14),(33,3),-0.121522 # DEPENDENCYPART_TRISIBL
(33,31),(33,14),(33,1),-0.0836012 # DEPENDENCYPART_TRISIBL
(33,31),(33,14),(33,-1),-0.00510123 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,13),(33,12),-0.131681 # DEPENDENCYPART_TRISIBL
(33,31),(33,13),(33,11),-0.0717029 # DEPENDENCYPART_TRISIBL
(33,31),(33,13),(33,10),-0.0231012 # DEPENDENCYPART_TRISIBL
(33,31),(33,13),(33,7),-0.207221 # DEPENDENCYPART_TRISIBL
(33,31),(33,13),(33,6),-0.119324 # DEPENDENCYPART_TRISIBL
(33,31),(33,13),(33,4),-0.207671 # DEPENDENCYPART_TRISIBL
(33,31),(33,13),(33,3),-0.118681 # DEPENDENCYPART_TRISIBL
(33,31),(33,13),(33,1),-0.0813845 # DEPENDENCYPART_TRISIBL
(33,31),(33,13),(33,-1),0.0139324 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,12),(33,11),-0.117651 # DEPENDENCYPART_TRISIBL
(33,31),(33,12),(33,10),-0.0507823 # DEPENDENCYPART_TRISIBL
(33,31),(33,12),(33,7),-0.192449 # DEPENDENCYPART_TRISIBL
(33,31),(33,12),(33,6),-0.13506 # DEPENDENCYPART_TRISIBL
(33,31),(33,12),(33,4),-0.192729 # DEPENDENCYPART_TRISIBL
(33,31),(33,12),(33,3),-0.113339 # DEPENDENCYPART_TRISIBL
(33,31),(33,12),(33,1),-0.0709468 # DEPENDENCYPART_TRISIBL
(33,31),(33,12),(33,-1),-0.0623804 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,11),(33,10),-0.0532337 # DEPENDENCYPART_TRISIBL
(33,31),(33,11),(33,7),-0.205611 # DEPENDENCYPART_TRISIBL
(33,31),(33,11),(33,6),-0.119619 # DEPENDENCYPART_TRISIBL
(33,31),(33,11),(33,4),-0.206061 # DEPENDENCYPART_TRISIBL
(33,31),(33,11),(33,3),-0.118498 # DEPENDENCYPART_TRISIBL
(33,31),(33,11),(33,1),-0.0812277 # DEPENDENCYPART_TRISIBL
(33,31),(33,11),(33,-1),-0.0457554 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,10),(33,7),-0.174541 # DEPENDENCYPART_TRISIBL
(33,31),(33,10),(33,6),-0.114586 # DEPENDENCYPART_TRISIBL
(33,31),(33,10),(33,4),-0.174812 # DEPENDENCYPART_TRISIBL
(33,31),(33,10),(33,3),-0.111449 # DEPENDENCYPART_TRISIBL
(33,31),(33,10),(33,1),-0.0666986 # DEPENDENCYPART_TRISIBL
(33,31),(33,10),(33,-1),-0.0237682 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,7),(33,6),-0.141703 # DEPENDENCYPART_TRISIBL
(33,31),(33,7),(33,4),-0.222726 # DEPENDENCYPART_TRISIBL
(33,31),(33,7),(33,3),-0.125906 # DEPENDENCYPART_TRISIBL
(33,31),(33,7),(33,1),-0.0952428 # DEPENDENCYPART_TRISIBL
(33,31),(33,7),(33,-1),-0.108994 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,6),(33,4),-0.178972 # DEPENDENCYPART_TRISIBL
(33,31),(33,6),(33,3),-0.110012 # DEPENDENCYPART_TRISIBL
(33,31),(33,6),(33,1),-0.0766331 # DEPENDENCYPART_TRISIBL
(33,31),(33,6),(33,-1),-0.0965035 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,4),(33,3),-0.125905 # DEPENDENCYPART_TRISIBL
(33,31),(33,4),(33,1),-0.0952448 # DEPENDENCYPART_TRISIBL
(33,31),(33,4),(33,-1),-0.110178 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,3),(33,1),-0.0782584 # DEPENDENCYPART_TRISIBL
(33,31),(33,3),(33,-1),-0.0969869 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,31),(33,1),(33,-1),-0.0515916 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,30),(33,29),(33,28),-0.119533 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,27),-0.143205 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,26),0.0418858 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,25),-0.113999 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,24),-0.143205 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,23),-0.146023 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,22),-0.189459 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,20),-0.113999 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,19),-0.0419958 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,18),-0.183791 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,17),-0.123899 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,16),-0.056421 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,15),-0.183883 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,14),-0.0554805 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,13),-0.120905 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,12),-0.143205 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,11),-0.0744377 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,10),-0.0510678 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,7),-0.183164 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,6),-0.123899 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,4),-0.183435 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,3),-0.110662 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,1),-0.019232 # DEPENDENCYPART_TRISIBL
(33,30),(33,29),(33,-1),0.0537433 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,30),(33,28),(33,27),-0.137133 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,26),0.063249 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,25),-0.099363 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,24),-0.137133 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,23),-0.139951 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,22),-0.204586 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,20),-0.099363 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,19),-0.0341646 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,18),-0.20244 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,17),-0.1196 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,16),-0.0603243 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,15),-0.202534 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,14),-0.0593352 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,13),-0.116339 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,12),-0.137133 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,11),-0.0681066 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,10),-0.0435129 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,7),-0.201813 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,6),-0.1196 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,4),-0.202263 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,3),-0.118569 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,1),-0.081962 # DEPENDENCYPART_TRISIBL
(33,30),(33,28),(33,-1),-0.0606534 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,30),(33,27),(33,26),0.0551517 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,25),-0.153604 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,24),-0.148586 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,23),-0.151927 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,22),-0.186855 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,20),-0.153604 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,19),-0.0391654 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,18),-0.18084 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,17),-0.13506 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,16),0.00592617 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,15),-0.180931 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,14),0.00680049 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,13),-0.161244 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,12),-0.148586 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,11),-0.117713 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,10),-0.0481836 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,7),-0.180214 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,6),-0.13506 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,4),-0.180494 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,3),-0.113357 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,1),-0.0721109 # DEPENDENCYPART_TRISIBL
(33,30),(33,27),(33,-1),-0.0662215 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,30),(33,26),(33,25),-0.113999 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,24),-0.143205 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,23),-0.146023 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,22),-0.189459 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,20),-0.113999 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,19),-0.0419958 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,18),-0.183791 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,17),-0.123899 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,16),-0.056421 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,15),-0.183883 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,14),-0.0554805 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,13),-0.120905 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,12),-0.143205 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,11),-0.0744377 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,10),-0.0510678 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,7),-0.183164 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,6),-0.123899 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,4),-0.183435 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,3),-0.110662 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,1),-0.019232 # DEPENDENCYPART_TRISIBL
(33,30),(33,26),(33,-1),0.0537433 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,30),(33,25),(33,24),0.11523 # DEPENDENCYPART_TRISIBL
(33,30),(33,25),(33,23),0.112364 # DEPENDENCYPART_TRISIBL
(33,30),(33,25),(33,22),-0.224833 # DEPENDENCYPART_TRISIBL
(33,30),(33,25),(33,20),-0.121434 # DEPENDENCYPART_TRISIBL
(33,30),(33,25),(33,19),-0.0675998 # DEPENDENCYPART_TRISIBL
(33,30),(33,25),(33,18),-0.207474 # DEPENDENCYPART_TRISIBL
(33,30),(33,25),(33,17),-0.0927183 # DEPENDENCYPART_TRISIBL
(33,30),(33,25),(33,16),-0.0674304 # DEPENDENCYPART_TRISIBL
(33,30),(33,25),(33,15),-0.207654 # DEPENDENCYPART_TRISIBL
(33,30),(33,25),(33,14),-0.0664854 # DEPENDENCYPART_TRISIBL
(33,30),(33,25),(33,13),-0.0817317 # DEPENDENCYPART_TRISIBL
(33,30),(33,25),(33,12),0.11523 # DEPENDENCYPART_TRISIBL
(33,30),(33,25),(33,11),-0.00110435 # DEPENDENCYPART_TRISIBL
(33,30),(33,25),(33,10),-0.080499 # DEPENDENCYPART_TRISIBL
(33,30),(33,25),(33,7),-0.205984 # DEPENDENCYPART_TRISIBL
(33,30),(33,25),(33,6),-0.0927183 # DEPENDENCYPART_TRISIBL
(33,30),(33,25),(33,4),-0.205593 # DEPENDENCYPART_TRISIBL
(33,30),(33,25),(33,3),-0.146605 # DEPENDENCYPART_TRISIBL
