# _root_ Since the recent deterioration of the junk-bond market , at least two other junk issuers have said they plan to scale back planned high-yield offerings , and several issues have been postponed .
#goldHeads=16,4,4,1,4,8,8,5,16,15,10,10,15,15,16,0,16,19,27,21,19,21,25,25,21,27,17,29,30,27,30,31,16,
#predictedHeads=16,4,4,1,4,8,8,5,4,15,10,10,15,15,16,27,16,19,17,21,19,21,25,25,21,27,0,29,30,27,30,31,27,
(17,14),(27,13),0.103938 # DEPENDENCYPART_HEADBIGRAM
(17,15),(4,14),-0.104925 # DEPENDENCYPART_HEADBIGRAM
(17,15),(8,14),-0.0883078 # DEPENDENCYPART_HEADBIGRAM
(17,15),(10,14),-0.106122 # DEPENDENCYPART_HEADBIGRAM
(17,15),(12,14),-0.195816 # DEPENDENCYPART_HEADBIGRAM
(17,15),(13,14),-0.210482 # DEPENDENCYPART_HEADBIGRAM
(17,15),(15,14),-0.0163995 # DEPENDENCYPART_HEADBIGRAM
(17,15),(16,14),-0.134622 # DEPENDENCYPART_HEADBIGRAM
(17,15),(17,14),0.209304 # DEPENDENCYPART_HEADBIGRAM
(17,15),(19,14),0.117538 # DEPENDENCYPART_HEADBIGRAM
(17,15),(27,14),-0.00533515 # DEPENDENCYPART_HEADBIGRAM
(17,16),(4,15),-0.0982447 # DEPENDENCYPART_HEADBIGRAM
(17,16),(5,15),-0.0645268 # DEPENDENCYPART_HEADBIGRAM
(17,16),(8,15),-0.103263 # DEPENDENCYPART_HEADBIGRAM
(17,16),(10,15),-0.0715911 # DEPENDENCYPART_HEADBIGRAM
(17,16),(16,15),-0.123379 # DEPENDENCYPART_HEADBIGRAM
(17,16),(17,15),-0.0299472 # DEPENDENCYPART_HEADBIGRAM
(17,16),(19,15),0.0752898 # DEPENDENCYPART_HEADBIGRAM
(17,16),(21,15),0.0820795 # DEPENDENCYPART_HEADBIGRAM
(17,16),(27,15),0.0966345 # DEPENDENCYPART_HEADBIGRAM
(17,16),(30,15),0.0790651 # DEPENDENCYPART_HEADBIGRAM
(17,18),(0,17),-0.0832022 # DEPENDENCYPART_HEADBIGRAM
(17,18),(4,17),-0.0812949 # DEPENDENCYPART_HEADBIGRAM
(17,18),(12,17),-0.0553317 # DEPENDENCYPART_HEADBIGRAM
(17,18),(14,17),-0.0692784 # DEPENDENCYPART_HEADBIGRAM
(17,18),(15,17),-0.0509506 # DEPENDENCYPART_HEADBIGRAM
(17,18),(16,17),-0.0590485 # DEPENDENCYPART_HEADBIGRAM
(17,18),(19,17),0.0603555 # DEPENDENCYPART_HEADBIGRAM
(17,18),(25,17),0.0762641 # DEPENDENCYPART_HEADBIGRAM
(17,18),(27,17),0.0594585 # DEPENDENCYPART_HEADBIGRAM
(17,18),(30,17),0.0590856 # DEPENDENCYPART_HEADBIGRAM
(17,19),(16,18),-0.0841061 # DEPENDENCYPART_HEADBIGRAM
(17,19),(17,18),0.0971692 # DEPENDENCYPART_HEADBIGRAM
(17,19),(19,18),0.304892 # DEPENDENCYPART_HEADBIGRAM
(17,19),(21,18),0.0472015 # DEPENDENCYPART_HEADBIGRAM
(17,19),(23,18),0.0783348 # DEPENDENCYPART_HEADBIGRAM
(17,19),(27,18),0.0650496 # DEPENDENCYPART_HEADBIGRAM
(17,20),(0,19),-0.0232886 # DEPENDENCYPART_HEADBIGRAM
(17,20),(4,19),-0.0759828 # DEPENDENCYPART_HEADBIGRAM
(17,20),(10,19),-0.0447752 # DEPENDENCYPART_HEADBIGRAM
(17,20),(15,19),-0.0840088 # DEPENDENCYPART_HEADBIGRAM
(17,20),(16,19),-0.044058 # DEPENDENCYPART_HEADBIGRAM
(17,20),(17,19),0.0556409 # DEPENDENCYPART_HEADBIGRAM
(17,20),(18,19),0.0954764 # DEPENDENCYPART_HEADBIGRAM
(17,20),(21,19),0.0836637 # DEPENDENCYPART_HEADBIGRAM
(17,20),(27,19),0.0520625 # DEPENDENCYPART_HEADBIGRAM
(17,20),(30,19),0.0960994 # DEPENDENCYPART_HEADBIGRAM
(17,21),(10,20),-0.0598274 # DEPENDENCYPART_HEADBIGRAM
(17,21),(16,20),-0.0951445 # DEPENDENCYPART_HEADBIGRAM
(17,21),(17,20),0.0157867 # DEPENDENCYPART_HEADBIGRAM
(17,21),(19,20),0.0191978 # DEPENDENCYPART_HEADBIGRAM
(17,21),(21,20),0.40896 # DEPENDENCYPART_HEADBIGRAM
(17,21),(23,20),0.0703825 # DEPENDENCYPART_HEADBIGRAM
(17,21),(24,20),0.0703825 # DEPENDENCYPART_HEADBIGRAM
(17,21),(25,20),0.0671327 # DEPENDENCYPART_HEADBIGRAM
(17,21),(27,20),0.0807655 # DEPENDENCYPART_HEADBIGRAM
(17,21),(30,20),0.0462894 # DEPENDENCYPART_HEADBIGRAM
(17,23),(19,22),0.0947714 # DEPENDENCYPART_HEADBIGRAM
(17,23),(21,22),0.0947697 # DEPENDENCYPART_HEADBIGRAM
(17,25),(19,24),0.0455064 # DEPENDENCYPART_HEADBIGRAM
(17,25),(21,24),0.0455104 # DEPENDENCYPART_HEADBIGRAM
(17,25),(23,24),0.11374 # DEPENDENCYPART_HEADBIGRAM
(17,25),(25,24),0.0867744 # DEPENDENCYPART_HEADBIGRAM
(17,25),(27,24),0.105868 # DEPENDENCYPART_HEADBIGRAM
(17,25),(29,24),0.040414 # DEPENDENCYPART_HEADBIGRAM
(17,25),(30,24),0.0515954 # DEPENDENCYPART_HEADBIGRAM
(17,26),(16,25),-0.00143496 # DEPENDENCYPART_HEADBIGRAM
(17,26),(17,25),0.0115936 # DEPENDENCYPART_HEADBIGRAM
(17,26),(19,25),0.161917 # DEPENDENCYPART_HEADBIGRAM
(17,26),(20,25),0.0873837 # DEPENDENCYPART_HEADBIGRAM
(17,26),(21,25),0.138691 # DEPENDENCYPART_HEADBIGRAM
(17,26),(22,25),0.066329 # DEPENDENCYPART_HEADBIGRAM
(17,26),(23,25),0.125395 # DEPENDENCYPART_HEADBIGRAM
(17,26),(27,25),0.00052681 # DEPENDENCYPART_HEADBIGRAM
(17,26),(29,25),-0.0199848 # DEPENDENCYPART_HEADBIGRAM
(17,26),(30,25),0.109036 # DEPENDENCYPART_HEADBIGRAM
(17,27),(4,26),-0.0730458 # DEPENDENCYPART_HEADBIGRAM
(17,27),(8,26),-0.0770049 # DEPENDENCYPART_HEADBIGRAM
(17,27),(16,26),-0.116323 # DEPENDENCYPART_HEADBIGRAM
(17,27),(17,26),-0.0201446 # DEPENDENCYPART_HEADBIGRAM
(17,27),(19,26),0.0325752 # DEPENDENCYPART_HEADBIGRAM
(17,27),(21,26),0.0422117 # DEPENDENCYPART_HEADBIGRAM
(17,27),(25,26),0.0722514 # DEPENDENCYPART_HEADBIGRAM
(17,27),(27,26),0.170595 # DEPENDENCYPART_HEADBIGRAM
(17,27),(29,26),0.0653898 # DEPENDENCYPART_HEADBIGRAM
(17,27),(30,26),0.0210095 # DEPENDENCYPART_HEADBIGRAM
(17,30),(19,29),0.13376 # DEPENDENCYPART_HEADBIGRAM
(17,30),(20,29),0.129289 # DEPENDENCYPART_HEADBIGRAM
(17,30),(21,29),0.146053 # DEPENDENCYPART_HEADBIGRAM
(17,30),(23,29),0.100153 # DEPENDENCYPART_HEADBIGRAM
(17,30),(25,29),0.0531041 # DEPENDENCYPART_HEADBIGRAM
(17,30),(27,29),0.132446 # DEPENDENCYPART_HEADBIGRAM
(17,30),(28,29),0.113475 # DEPENDENCYPART_HEADBIGRAM
(17,30),(30,29),0.125438 # DEPENDENCYPART_HEADBIGRAM
(17,30),(31,29),0.0683879 # DEPENDENCYPART_HEADBIGRAM
(17,30),(32,29),0.0630306 # DEPENDENCYPART_HEADBIGRAM
(17,31),(0,30),-0.0541127 # DEPENDENCYPART_HEADBIGRAM
(17,31),(16,30),-0.0236958 # DEPENDENCYPART_HEADBIGRAM
(17,31),(17,30),-0.00356773 # DEPENDENCYPART_HEADBIGRAM
(17,31),(19,30),0.138154 # DEPENDENCYPART_HEADBIGRAM
(17,31),(21,30),0.13476 # DEPENDENCYPART_HEADBIGRAM
(17,31),(23,30),0.0945201 # DEPENDENCYPART_HEADBIGRAM
(17,31),(25,30),0.101202 # DEPENDENCYPART_HEADBIGRAM
(17,31),(27,30),0.0781467 # DEPENDENCYPART_HEADBIGRAM
(17,31),(28,30),0.0963959 # DEPENDENCYPART_HEADBIGRAM
(17,31),(29,30),0.0891882 # DEPENDENCYPART_HEADBIGRAM
(17,32),(0,31),-0.0539684 # DEPENDENCYPART_HEADBIGRAM
(17,32),(17,31),-0.00832858 # DEPENDENCYPART_HEADBIGRAM
(17,32),(19,31),0.139305 # DEPENDENCYPART_HEADBIGRAM
(17,32),(21,31),0.135753 # DEPENDENCYPART_HEADBIGRAM
(17,32),(25,31),0.0855598 # DEPENDENCYPART_HEADBIGRAM
(17,32),(27,31),0.0825758 # DEPENDENCYPART_HEADBIGRAM
(17,32),(28,31),0.108666 # DEPENDENCYPART_HEADBIGRAM
(17,32),(29,31),0.0874459 # DEPENDENCYPART_HEADBIGRAM
(17,32),(30,31),0.150498 # DEPENDENCYPART_HEADBIGRAM
(17,32),(33,31),0.0811797 # DEPENDENCYPART_HEADBIGRAM
(17,33),(0,32),-0.0780661 # DEPENDENCYPART_HEADBIGRAM
(17,33),(17,32),0.0676746 # DEPENDENCYPART_HEADBIGRAM
(17,33),(19,32),0.100945 # DEPENDENCYPART_HEADBIGRAM
(17,33),(25,32),0.0783212 # DEPENDENCYPART_HEADBIGRAM
(17,33),(27,32),0.0875373 # DEPENDENCYPART_HEADBIGRAM
(17,33),(28,32),0.160341 # DEPENDENCYPART_HEADBIGRAM
(17,33),(29,32),0.110842 # DEPENDENCYPART_HEADBIGRAM
(17,33),(30,32),0.143105 # DEPENDENCYPART_HEADBIGRAM
(17,33),(31,32),0.131521 # DEPENDENCYPART_HEADBIGRAM
(17,33),(33,32),0.0295757 # DEPENDENCYPART_HEADBIGRAM
(18,19),(16,18),-0.0664227 # DEPENDENCYPART_HEADBIGRAM
(18,19),(17,18),-0.0659542 # DEPENDENCYPART_HEADBIGRAM
(18,19),(19,18),0.0192255 # DEPENDENCYPART_HEADBIGRAM
(18,19),(21,18),0.0583109 # DEPENDENCYPART_HEADBIGRAM
(18,19),(23,18),0.0713872 # DEPENDENCYPART_HEADBIGRAM
(18,19),(27,18),0.0884984 # DEPENDENCYPART_HEADBIGRAM
(18,21),(10,20),-0.058231 # DEPENDENCYPART_HEADBIGRAM
(18,21),(16,20),-0.0610268 # DEPENDENCYPART_HEADBIGRAM
(18,21),(17,20),-0.0615324 # DEPENDENCYPART_HEADBIGRAM
(18,21),(19,20),0.0654999 # DEPENDENCYPART_HEADBIGRAM
(18,21),(21,20),0.177655 # DEPENDENCYPART_HEADBIGRAM
(18,21),(23,20),0.0799306 # DEPENDENCYPART_HEADBIGRAM
(18,21),(24,20),0.0799306 # DEPENDENCYPART_HEADBIGRAM
(18,21),(25,20),0.0798671 # DEPENDENCYPART_HEADBIGRAM
(18,21),(27,20),0.0811353 # DEPENDENCYPART_HEADBIGRAM
(18,21),(30,20),0.0791082 # DEPENDENCYPART_HEADBIGRAM
(19,4),(1,3),-0.115314 # DEPENDENCYPART_HEADBIGRAM
(19,4),(2,3),-0.104918 # DEPENDENCYPART_HEADBIGRAM
(19,4),(4,3),0.0135586 # DEPENDENCYPART_HEADBIGRAM
(19,4),(5,3),-0.121093 # DEPENDENCYPART_HEADBIGRAM
(19,4),(8,3),-0.137607 # DEPENDENCYPART_HEADBIGRAM
(19,4),(16,3),-0.134718 # DEPENDENCYPART_HEADBIGRAM
(19,4),(27,3),0.108177 # DEPENDENCYPART_HEADBIGRAM
(19,9),(1,8),-0.0499796 # DEPENDENCYPART_HEADBIGRAM
(19,9),(3,8),-0.137512 # DEPENDENCYPART_HEADBIGRAM
(19,9),(4,8),-0.190776 # DEPENDENCYPART_HEADBIGRAM
(19,9),(5,8),-0.202817 # DEPENDENCYPART_HEADBIGRAM
(19,9),(10,8),-0.0650945 # DEPENDENCYPART_HEADBIGRAM
(19,9),(13,8),-0.120964 # DEPENDENCYPART_HEADBIGRAM
(19,9),(15,8),-0.197691 # DEPENDENCYPART_HEADBIGRAM
(19,9),(16,8),-0.0713903 # DEPENDENCYPART_HEADBIGRAM
(19,9),(27,8),0.00542905 # DEPENDENCYPART_HEADBIGRAM
(19,9),(30,8),0.136832 # DEPENDENCYPART_HEADBIGRAM
(19,10),(4,9),-0.158554 # DEPENDENCYPART_HEADBIGRAM
(19,10),(5,9),-0.099185 # DEPENDENCYPART_HEADBIGRAM
(19,10),(8,9),-0.139517 # DEPENDENCYPART_HEADBIGRAM
(19,10),(10,9),-0.0897706 # DEPENDENCYPART_HEADBIGRAM
(19,10),(16,9),-0.0331657 # DEPENDENCYPART_HEADBIGRAM
(19,10),(17,9),-0.0414081 # DEPENDENCYPART_HEADBIGRAM
(19,10),(19,9),0.153275 # DEPENDENCYPART_HEADBIGRAM
(19,10),(21,9),0.228675 # DEPENDENCYPART_HEADBIGRAM
(19,10),(27,9),0.0354364 # DEPENDENCYPART_HEADBIGRAM
(19,10),(30,9),0.235765 # DEPENDENCYPART_HEADBIGRAM
(19,11),(4,10),-0.118371 # DEPENDENCYPART_HEADBIGRAM
(19,11),(8,10),-0.126646 # DEPENDENCYPART_HEADBIGRAM
(19,11),(12,10),-0.107774 # DEPENDENCYPART_HEADBIGRAM
(19,11),(14,10),-0.117503 # DEPENDENCYPART_HEADBIGRAM
(19,11),(15,10),-0.117503 # DEPENDENCYPART_HEADBIGRAM
(19,11),(16,10),-0.110276 # DEPENDENCYPART_HEADBIGRAM
(19,11),(17,10),-0.10974 # DEPENDENCYPART_HEADBIGRAM
(19,11),(19,10),0.080582 # DEPENDENCYPART_HEADBIGRAM
(19,11),(21,10),0.0821184 # DEPENDENCYPART_HEADBIGRAM
(19,11),(27,10),0.0817461 # DEPENDENCYPART_HEADBIGRAM
(19,12),(7,11),-0.102944 # DEPENDENCYPART_HEADBIGRAM
(19,12),(8,11),-0.102944 # DEPENDENCYPART_HEADBIGRAM
(19,12),(10,11),-0.101497 # DEPENDENCYPART_HEADBIGRAM
(19,12),(12,11),-0.100742 # DEPENDENCYPART_HEADBIGRAM
(19,12),(14,11),-0.108621 # DEPENDENCYPART_HEADBIGRAM
(19,12),(16,11),-0.107829 # DEPENDENCYPART_HEADBIGRAM
(19,12),(19,11),0.0853026 # DEPENDENCYPART_HEADBIGRAM
(19,12),(30,11),0.0868985 # DEPENDENCYPART_HEADBIGRAM
(19,13),(8,12),-0.0997982 # DEPENDENCYPART_HEADBIGRAM
(19,13),(10,12),-0.106321 # DEPENDENCYPART_HEADBIGRAM
(19,13),(13,12),-0.104452 # DEPENDENCYPART_HEADBIGRAM
(19,13),(14,12),-0.106983 # DEPENDENCYPART_HEADBIGRAM
(19,13),(15,12),-0.106985 # DEPENDENCYPART_HEADBIGRAM
(19,13),(16,12),-0.106896 # DEPENDENCYPART_HEADBIGRAM
(19,13),(19,12),0.0830318 # DEPENDENCYPART_HEADBIGRAM
(19,13),(21,12),0.0877669 # DEPENDENCYPART_HEADBIGRAM
(19,13),(27,12),0.084143 # DEPENDENCYPART_HEADBIGRAM
(19,13),(30,12),0.0874619 # DEPENDENCYPART_HEADBIGRAM
(19,14),(4,13),-0.128099 # DEPENDENCYPART_HEADBIGRAM
(19,14),(8,13),-0.139572 # DEPENDENCYPART_HEADBIGRAM
(19,14),(10,13),-0.118769 # DEPENDENCYPART_HEADBIGRAM
(19,14),(12,13),-0.108681 # DEPENDENCYPART_HEADBIGRAM
(19,14),(14,13),0.00349033 # DEPENDENCYPART_HEADBIGRAM
(19,14),(15,13),-0.140666 # DEPENDENCYPART_HEADBIGRAM
(19,14),(16,13),-0.139392 # DEPENDENCYPART_HEADBIGRAM
(19,14),(17,13),-0.140736 # DEPENDENCYPART_HEADBIGRAM
(19,14),(19,13),0.0411594 # DEPENDENCYPART_HEADBIGRAM
(19,14),(27,13),0.105667 # DEPENDENCYPART_HEADBIGRAM
(19,15),(4,14),-0.0933139 # DEPENDENCYPART_HEADBIGRAM
(19,15),(8,14),-0.0766966 # DEPENDENCYPART_HEADBIGRAM
(19,15),(10,14),-0.131317 # DEPENDENCYPART_HEADBIGRAM
(19,15),(12,14),-0.138107 # DEPENDENCYPART_HEADBIGRAM
(19,15),(13,14),-0.152781 # DEPENDENCYPART_HEADBIGRAM
(19,15),(15,14),0.0037586 # DEPENDENCYPART_HEADBIGRAM
(19,15),(16,14),-0.135102 # DEPENDENCYPART_HEADBIGRAM
(19,15),(17,14),-0.131043 # DEPENDENCYPART_HEADBIGRAM
(19,15),(19,14),0.0160006 # DEPENDENCYPART_HEADBIGRAM
(19,15),(27,14),-0.000726282 # DEPENDENCYPART_HEADBIGRAM
(19,16),(4,15),-0.0990304 # DEPENDENCYPART_HEADBIGRAM
(19,16),(5,15),-0.0886231 # DEPENDENCYPART_HEADBIGRAM
(19,16),(8,15),-0.0931243 # DEPENDENCYPART_HEADBIGRAM
(19,16),(10,15),-0.107076 # DEPENDENCYPART_HEADBIGRAM
(19,16),(16,15),-0.0732646 # DEPENDENCYPART_HEADBIGRAM
(19,16),(17,15),-0.121248 # DEPENDENCYPART_HEADBIGRAM
(19,16),(19,15),0.0010065 # DEPENDENCYPART_HEADBIGRAM
(19,16),(21,15),0.0759433 # DEPENDENCYPART_HEADBIGRAM
(19,16),(27,15),0.088347 # DEPENDENCYPART_HEADBIGRAM
(19,16),(30,15),0.068917 # DEPENDENCYPART_HEADBIGRAM
(19,17),(0,16),-0.0865149 # DEPENDENCYPART_HEADBIGRAM
(19,17),(4,16),-0.107093 # DEPENDENCYPART_HEADBIGRAM
(19,17),(8,16),-0.0846554 # DEPENDENCYPART_HEADBIGRAM
(19,17),(10,16),-0.0957537 # DEPENDENCYPART_HEADBIGRAM
(19,17),(14,16),-0.0714793 # DEPENDENCYPART_HEADBIGRAM
(19,17),(15,16),-0.0714791 # DEPENDENCYPART_HEADBIGRAM
(19,17),(17,16),-0.149179 # DEPENDENCYPART_HEADBIGRAM
(19,17),(19,16),0.0297864 # DEPENDENCYPART_HEADBIGRAM
(19,17),(27,16),0.0718577 # DEPENDENCYPART_HEADBIGRAM
(19,17),(30,16),0.108827 # DEPENDENCYPART_HEADBIGRAM
(19,18),(0,17),-0.114831 # DEPENDENCYPART_HEADBIGRAM
(19,18),(4,17),-0.0907985 # DEPENDENCYPART_HEADBIGRAM
(19,18),(12,17),-0.101015 # DEPENDENCYPART_HEADBIGRAM
(19,18),(14,17),-0.0935931 # DEPENDENCYPART_HEADBIGRAM
(19,18),(15,17),-0.0731658 # DEPENDENCYPART_HEADBIGRAM
(19,18),(16,17),-0.0293139 # DEPENDENCYPART_HEADBIGRAM
(19,18),(19,17),0.035731 # DEPENDENCYPART_HEADBIGRAM
(19,18),(25,17),0.106693 # DEPENDENCYPART_HEADBIGRAM
(19,18),(27,17),0.0677099 # DEPENDENCYPART_HEADBIGRAM
(19,18),(30,17),0.0974987 # DEPENDENCYPART_HEADBIGRAM
(19,20),(0,19),-0.0467476 # DEPENDENCYPART_HEADBIGRAM
(19,20),(4,19),-0.0192763 # DEPENDENCYPART_HEADBIGRAM
(19,20),(10,19),-0.0640899 # DEPENDENCYPART_HEADBIGRAM
(19,20),(15,19),-0.00257024 # DEPENDENCYPART_HEADBIGRAM
(19,20),(16,19),0.0133697 # DEPENDENCYPART_HEADBIGRAM
(19,20),(17,19),0.040198 # DEPENDENCYPART_HEADBIGRAM
(19,20),(18,19),-0.0349985 # DEPENDENCYPART_HEADBIGRAM
(19,20),(21,19),0.122821 # DEPENDENCYPART_HEADBIGRAM
(19,20),(27,19),0.0548486 # DEPENDENCYPART_HEADBIGRAM
(19,20),(30,19),0.12613 # DEPENDENCYPART_HEADBIGRAM
(19,21),(10,20),-0.0619157 # DEPENDENCYPART_HEADBIGRAM
(19,21),(16,20),-0.0949269 # DEPENDENCYPART_HEADBIGRAM
(19,21),(17,20),-0.0953267 # DEPENDENCYPART_HEADBIGRAM
(19,21),(19,20),0.00892007 # DEPENDENCYPART_HEADBIGRAM
(19,21),(21,20),0.476126 # DEPENDENCYPART_HEADBIGRAM
(19,21),(23,20),0.0735901 # DEPENDENCYPART_HEADBIGRAM
(19,21),(24,20),0.0735901 # DEPENDENCYPART_HEADBIGRAM
(19,21),(25,20),0.0688188 # DEPENDENCYPART_HEADBIGRAM
(19,21),(27,20),0.0802761 # DEPENDENCYPART_HEADBIGRAM
(19,21),(30,20),0.0474052 # DEPENDENCYPART_HEADBIGRAM
(19,22),(0,21),-0.0697844 # DEPENDENCYPART_HEADBIGRAM
(19,22),(4,21),-0.0631851 # DEPENDENCYPART_HEADBIGRAM
(19,22),(16,21),-0.0592839 # DEPENDENCYPART_HEADBIGRAM
(19,22),(17,21),-0.0593181 # DEPENDENCYPART_HEADBIGRAM
(19,22),(18,21),-0.0582586 # DEPENDENCYPART_HEADBIGRAM
(19,22),(19,21),0.0545928 # DEPENDENCYPART_HEADBIGRAM
(19,22),(20,21),0.0862883 # DEPENDENCYPART_HEADBIGRAM
(19,22),(25,21),0.0759922 # DEPENDENCYPART_HEADBIGRAM
(19,22),(27,21),0.0757547 # DEPENDENCYPART_HEADBIGRAM
(19,22),(30,21),0.0801839 # DEPENDENCYPART_HEADBIGRAM
(19,23),(19,22),0.0885755 # DEPENDENCYPART_HEADBIGRAM
(19,23),(21,22),0.0946217 # DEPENDENCYPART_HEADBIGRAM
(19,24),(16,23),-0.0580578 # DEPENDENCYPART_HEADBIGRAM
(19,24),(17,23),-0.0580615 # DEPENDENCYPART_HEADBIGRAM
(19,24),(19,23),0.0784894 # DEPENDENCYPART_HEADBIGRAM
(19,24),(21,23),0.0901003 # DEPENDENCYPART_HEADBIGRAM
(19,24),(24,23),0.0920002 # DEPENDENCYPART_HEADBIGRAM
(19,24),(25,23),0.0809712 # DEPENDENCYPART_HEADBIGRAM
(19,24),(27,23),0.0775822 # DEPENDENCYPART_HEADBIGRAM
(19,24),(29,23),0.0811081 # DEPENDENCYPART_HEADBIGRAM
(19,24),(30,23),0.0802959 # DEPENDENCYPART_HEADBIGRAM
(19,24),(32,23),0.0802959 # DEPENDENCYPART_HEADBIGRAM
(19,25),(19,24),0.0678975 # DEPENDENCYPART_HEADBIGRAM
(19,25),(21,24),0.0469739 # DEPENDENCYPART_HEADBIGRAM
(19,25),(23,24),0.113793 # DEPENDENCYPART_HEADBIGRAM
(19,25),(25,24),0.157258 # DEPENDENCYPART_HEADBIGRAM
(19,25),(27,24),0.107597 # DEPENDENCYPART_HEADBIGRAM
(19,25),(29,24),0.0420085 # DEPENDENCYPART_HEADBIGRAM
(19,25),(30,24),0.0523332 # DEPENDENCYPART_HEADBIGRAM
(19,26),(16,25),-0.0137439 # DEPENDENCYPART_HEADBIGRAM
(19,26),(17,25),-0.0313141 # DEPENDENCYPART_HEADBIGRAM
(19,26),(19,25),0.100082 # DEPENDENCYPART_HEADBIGRAM
(19,26),(20,25),0.0832192 # DEPENDENCYPART_HEADBIGRAM
(19,26),(21,25),0.130672 # DEPENDENCYPART_HEADBIGRAM
(19,26),(22,25),0.066329 # DEPENDENCYPART_HEADBIGRAM
(19,26),(23,25),0.127435 # DEPENDENCYPART_HEADBIGRAM
(19,26),(27,25),0.00337461 # DEPENDENCYPART_HEADBIGRAM
(19,26),(29,25),-0.00511235 # DEPENDENCYPART_HEADBIGRAM
(19,26),(30,25),0.0985625 # DEPENDENCYPART_HEADBIGRAM
(19,27),(4,26),-0.0758559 # DEPENDENCYPART_HEADBIGRAM
(19,27),(8,26),-0.079815 # DEPENDENCYPART_HEADBIGRAM
(19,27),(16,26),-0.112618 # DEPENDENCYPART_HEADBIGRAM
(19,27),(17,26),-0.110177 # DEPENDENCYPART_HEADBIGRAM
(19,27),(19,26),-0.00863622 # DEPENDENCYPART_HEADBIGRAM
(19,27),(21,26),0.0470202 # DEPENDENCYPART_HEADBIGRAM
(19,27),(25,26),0.0698697 # DEPENDENCYPART_HEADBIGRAM
(19,27),(27,26),0.133241 # DEPENDENCYPART_HEADBIGRAM
(19,27),(29,26),0.06253 # DEPENDENCYPART_HEADBIGRAM
(19,27),(30,26),0.0249313 # DEPENDENCYPART_HEADBIGRAM
(19,28),(0,27),-0.0491779 # DEPENDENCYPART_HEADBIGRAM
(19,28),(16,27),-0.0641088 # DEPENDENCYPART_HEADBIGRAM
(19,28),(17,27),-0.0627425 # DEPENDENCYPART_HEADBIGRAM
(19,28),(19,27),0.086494 # DEPENDENCYPART_HEADBIGRAM
(19,28),(20,27),0.0942117 # DEPENDENCYPART_HEADBIGRAM
(19,28),(21,27),0.0845301 # DEPENDENCYPART_HEADBIGRAM
(19,28),(23,27),0.0892303 # DEPENDENCYPART_HEADBIGRAM
(19,28),(25,27),0.0934817 # DEPENDENCYPART_HEADBIGRAM
(19,28),(29,27),0.0800373 # DEPENDENCYPART_HEADBIGRAM
(19,28),(30,27),0.071523 # DEPENDENCYPART_HEADBIGRAM
(19,29),(19,28),0.06651 # DEPENDENCYPART_HEADBIGRAM
(19,29),(21,28),0.0573179 # DEPENDENCYPART_HEADBIGRAM
(19,29),(23,28),0.121297 # DEPENDENCYPART_HEADBIGRAM
(19,29),(24,28),0.121297 # DEPENDENCYPART_HEADBIGRAM
(19,29),(25,28),0.0603447 # DEPENDENCYPART_HEADBIGRAM
(19,29),(27,28),0.137591 # DEPENDENCYPART_HEADBIGRAM
(19,29),(29,28),0.145875 # DEPENDENCYPART_HEADBIGRAM
(19,29),(30,28),0.0530611 # DEPENDENCYPART_HEADBIGRAM
(19,29),(31,28),0.0479852 # DEPENDENCYPART_HEADBIGRAM
(19,29),(32,28),0.047986 # DEPENDENCYPART_HEADBIGRAM
(19,30),(19,29),0.061088 # DEPENDENCYPART_HEADBIGRAM
(19,30),(20,29),0.110799 # DEPENDENCYPART_HEADBIGRAM
(19,30),(21,29),0.119413 # DEPENDENCYPART_HEADBIGRAM
(19,30),(23,29),0.100403 # DEPENDENCYPART_HEADBIGRAM
(19,30),(25,29),0.0473007 # DEPENDENCYPART_HEADBIGRAM
(19,30),(27,29),0.11096 # DEPENDENCYPART_HEADBIGRAM
(19,30),(28,29),0.113724 # DEPENDENCYPART_HEADBIGRAM
(19,30),(30,29),0.130273 # DEPENDENCYPART_HEADBIGRAM
(19,30),(31,29),0.0585158 # DEPENDENCYPART_HEADBIGRAM
(19,30),(32,29),0.0531585 # DEPENDENCYPART_HEADBIGRAM
(19,31),(0,30),-0.0533791 # DEPENDENCYPART_HEADBIGRAM
(19,31),(16,30),-0.0360292 # DEPENDENCYPART_HEADBIGRAM
(19,31),(17,30),-0.0472071 # DEPENDENCYPART_HEADBIGRAM
(19,31),(19,30),0.0078246 # DEPENDENCYPART_HEADBIGRAM
(19,31),(21,30),0.115578 # DEPENDENCYPART_HEADBIGRAM
(19,31),(23,30),0.0878176 # DEPENDENCYPART_HEADBIGRAM
(19,31),(25,30),0.101436 # DEPENDENCYPART_HEADBIGRAM
(19,31),(27,30),0.0791942 # DEPENDENCYPART_HEADBIGRAM
(19,31),(28,30),0.0896934 # DEPENDENCYPART_HEADBIGRAM
(19,31),(29,30),0.0894227 # DEPENDENCYPART_HEADBIGRAM
(19,32),(0,31),-0.0532348 # DEPENDENCYPART_HEADBIGRAM
(19,32),(17,31),-0.0471357 # DEPENDENCYPART_HEADBIGRAM
(19,32),(19,31),0.00175133 # DEPENDENCYPART_HEADBIGRAM
(19,32),(21,31),0.116571 # DEPENDENCYPART_HEADBIGRAM
(19,32),(25,31),0.0857943 # DEPENDENCYPART_HEADBIGRAM
(19,32),(27,31),0.0836233 # DEPENDENCYPART_HEADBIGRAM
