# _root_ A század első negyedében Alsógöd , Felsőgöd és Sződliget kialakuló református gyülekezetei előbb a váci anyaegyház leány- , majd fiókegyházaiként növekedtek .
#goldHeads=2,4,4,21,12,12,12,12,12,12,12,21,21,16,16,20,20,20,20,21,0,21,
#predictedHeads=2,4,4,8,7,7,12,12,10,12,12,21,21,16,16,20,21,21,21,21,0,21,
(21,14),(21,19),0.116909 # DEPENDENCYPART_SIBL
(21,14),(21,20),0.0174639 # DEPENDENCYPART_SIBL
(21,14),(21,22),-0.0634118 # DEPENDENCYPART_SIBL
(21,15),(21,16),-0.0161507 # DEPENDENCYPART_SIBL
(21,15),(21,17),0.00966955 # DEPENDENCYPART_SIBL
(21,15),(21,18),0.048812 # DEPENDENCYPART_SIBL
(21,15),(21,19),0.150622 # DEPENDENCYPART_SIBL
(21,15),(21,20),-0.0161507 # DEPENDENCYPART_SIBL
(21,15),(21,22),0.00510272 # DEPENDENCYPART_SIBL
(21,16),(21,17),-0.0436365 # DEPENDENCYPART_SIBL
(21,16),(21,18),0.0956371 # DEPENDENCYPART_SIBL
(21,16),(21,19),0.191445 # DEPENDENCYPART_SIBL
(21,16),(21,20),-0.0309984 # DEPENDENCYPART_SIBL
(21,16),(21,22),0.00695274 # DEPENDENCYPART_SIBL
(21,17),(21,18),0.0640007 # DEPENDENCYPART_SIBL
(21,17),(21,19),0.112706 # DEPENDENCYPART_SIBL
(21,17),(21,20),-0.0662931 # DEPENDENCYPART_SIBL
(21,17),(21,22),-0.057308 # DEPENDENCYPART_SIBL
(21,18),(21,19),0.186586 # DEPENDENCYPART_SIBL
(21,18),(21,20),-0.00692861 # DEPENDENCYPART_SIBL
(21,18),(21,22),0.0213227 # DEPENDENCYPART_SIBL
(21,19),(21,20),-0.0329954 # DEPENDENCYPART_SIBL
(21,19),(21,22),0.0548278 # DEPENDENCYPART_SIBL
(21,20),(21,22),0.00695274 # DEPENDENCYPART_SIBL
(0,3),(3,2),0.474889 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),0.476776 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),0.243093 # DEPENDENCYPART_GRANDPAR
(0,4),(4,19),0.55252 # DEPENDENCYPART_GRANDPAR
(0,8),(8,4),0.0484386 # DEPENDENCYPART_GRANDPAR
(0,8),(8,5),0.238638 # DEPENDENCYPART_GRANDPAR
(0,8),(8,6),0.514135 # DEPENDENCYPART_GRANDPAR
(0,8),(8,7),0.0946814 # DEPENDENCYPART_GRANDPAR
(0,8),(8,9),-0.0977098 # DEPENDENCYPART_GRANDPAR
(0,8),(8,10),0.31054 # DEPENDENCYPART_GRANDPAR
(0,8),(8,11),0.121923 # DEPENDENCYPART_GRANDPAR
(0,8),(8,12),0.0274339 # DEPENDENCYPART_GRANDPAR
(0,8),(8,13),0.21776 # DEPENDENCYPART_GRANDPAR
(0,8),(8,15),0.102709 # DEPENDENCYPART_GRANDPAR
(0,8),(8,16),-0.0329581 # DEPENDENCYPART_GRANDPAR
(0,8),(8,18),0.186565 # DEPENDENCYPART_GRANDPAR
(0,8),(8,19),0.760224 # DEPENDENCYPART_GRANDPAR
(0,8),(8,21),1.19763 # DEPENDENCYPART_GRANDPAR
(0,8),(8,22),2.14385 # DEPENDENCYPART_GRANDPAR
(0,10),(10,2),0.552781 # DEPENDENCYPART_GRANDPAR
(0,10),(10,5),0.350981 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),0.122825 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),0.207024 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),0.0140864 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),0.0718378 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),-0.112364 # DEPENDENCYPART_GRANDPAR
(0,10),(10,16),0.0499322 # DEPENDENCYPART_GRANDPAR
(0,10),(10,19),0.52444 # DEPENDENCYPART_GRANDPAR
(0,10),(10,21),0.841216 # DEPENDENCYPART_GRANDPAR
(0,10),(10,22),1.8441 # DEPENDENCYPART_GRANDPAR
(0,13),(13,2),0.512661 # DEPENDENCYPART_GRANDPAR
(0,13),(13,5),0.30888 # DEPENDENCYPART_GRANDPAR
(0,13),(13,6),0.153838 # DEPENDENCYPART_GRANDPAR
(0,13),(13,7),0.164923 # DEPENDENCYPART_GRANDPAR
(0,13),(13,8),0.0915387 # DEPENDENCYPART_GRANDPAR
(0,13),(13,9),0.0297362 # DEPENDENCYPART_GRANDPAR
(0,13),(13,10),0.145262 # DEPENDENCYPART_GRANDPAR
(0,13),(13,11),-0.0439219 # DEPENDENCYPART_GRANDPAR
(0,13),(13,12),0.15488 # DEPENDENCYPART_GRANDPAR
(0,13),(13,15),-0.115695 # DEPENDENCYPART_GRANDPAR
(0,13),(13,16),0.129956 # DEPENDENCYPART_GRANDPAR
(0,13),(13,18),0.277049 # DEPENDENCYPART_GRANDPAR
(0,13),(13,19),0.579385 # DEPENDENCYPART_GRANDPAR
(0,13),(13,20),-0.197228 # DEPENDENCYPART_GRANDPAR
(0,13),(13,21),0.832476 # DEPENDENCYPART_GRANDPAR
(0,13),(13,22),1.88131 # DEPENDENCYPART_GRANDPAR
(0,19),(19,5),0.335765 # DEPENDENCYPART_GRANDPAR
(0,19),(19,6),0.532021 # DEPENDENCYPART_GRANDPAR
(0,19),(19,7),0.191808 # DEPENDENCYPART_GRANDPAR
(0,19),(19,8),0.139731 # DEPENDENCYPART_GRANDPAR
(0,19),(19,9),0.0566212 # DEPENDENCYPART_GRANDPAR
(0,19),(19,10),0.146519 # DEPENDENCYPART_GRANDPAR
(0,19),(19,11),-0.042664 # DEPENDENCYPART_GRANDPAR
(0,19),(19,12),0.181765 # DEPENDENCYPART_GRANDPAR
(0,19),(19,13),0.188543 # DEPENDENCYPART_GRANDPAR
(0,19),(19,14),-0.473075 # DEPENDENCYPART_GRANDPAR
(0,19),(19,15),-0.0608617 # DEPENDENCYPART_GRANDPAR
(0,19),(19,16),0.121373 # DEPENDENCYPART_GRANDPAR
(0,19),(19,17),0.0261306 # DEPENDENCYPART_GRANDPAR
(0,19),(19,18),0.567926 # DEPENDENCYPART_GRANDPAR
(0,19),(19,20),-0.240542 # DEPENDENCYPART_GRANDPAR
(0,19),(19,21),1.13066 # DEPENDENCYPART_GRANDPAR
(0,19),(19,22),2.21062 # DEPENDENCYPART_GRANDPAR
(0,21),(21,2),0.384565 # DEPENDENCYPART_GRANDPAR
(0,21),(21,5),0.191588 # DEPENDENCYPART_GRANDPAR
(0,21),(21,6),0.0397018 # DEPENDENCYPART_GRANDPAR
(0,21),(21,7),0.0476313 # DEPENDENCYPART_GRANDPAR
(0,21),(21,8),-0.094533 # DEPENDENCYPART_GRANDPAR
(0,21),(21,9),-0.0875551 # DEPENDENCYPART_GRANDPAR
(0,21),(21,10),0.0192425 # DEPENDENCYPART_GRANDPAR
(0,21),(21,11),-0.169941 # DEPENDENCYPART_GRANDPAR
(0,21),(21,12),0.0375886 # DEPENDENCYPART_GRANDPAR
(0,21),(21,13),-0.00598183 # DEPENDENCYPART_GRANDPAR
(0,21),(21,14),-0.675691 # DEPENDENCYPART_GRANDPAR
(0,21),(21,15),-0.188141 # DEPENDENCYPART_GRANDPAR
(0,21),(21,16),-0.0228034 # DEPENDENCYPART_GRANDPAR
(0,21),(21,17),-0.179899 # DEPENDENCYPART_GRANDPAR
(0,21),(21,18),0.075607 # DEPENDENCYPART_GRANDPAR
(0,21),(21,19),0.566879 # DEPENDENCYPART_GRANDPAR
(0,21),(21,20),-0.349988 # DEPENDENCYPART_GRANDPAR
(0,21),(21,22),2.22595 # DEPENDENCYPART_GRANDPAR
(1,3),(3,2),0.00174347 # DEPENDENCYPART_GRANDPAR
(2,1),(1,3),-0.341944 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.550476 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),0.0962583 # DEPENDENCYPART_GRANDPAR
(2,4),(4,19),-0.114904 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-1.03224 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.497338 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),0.0979135 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),-0.37779 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),-0.225976 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.198884 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),-0.251078 # DEPENDENCYPART_GRANDPAR
(2,5),(5,12),-0.293552 # DEPENDENCYPART_GRANDPAR
(2,5),(5,18),-0.0565749 # DEPENDENCYPART_GRANDPAR
(2,5),(5,21),-0.149369 # DEPENDENCYPART_GRANDPAR
(2,5),(5,22),-0.647454 # DEPENDENCYPART_GRANDPAR
(2,13),(13,2),-0.584005 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,13),(13,5),-0.176376 # DEPENDENCYPART_GRANDPAR
(2,13),(13,6),-0.210577 # DEPENDENCYPART_GRANDPAR
(2,13),(13,7),-0.178442 # DEPENDENCYPART_GRANDPAR
(2,13),(13,8),-0.142707 # DEPENDENCYPART_GRANDPAR
(2,13),(13,9),-0.230636 # DEPENDENCYPART_GRANDPAR
(2,13),(13,10),-0.087742 # DEPENDENCYPART_GRANDPAR
(2,13),(13,11),-0.142672 # DEPENDENCYPART_GRANDPAR
(2,13),(13,12),-0.27311 # DEPENDENCYPART_GRANDPAR
(2,13),(13,15),-0.46195 # DEPENDENCYPART_GRANDPAR
(2,13),(13,16),-0.420318 # DEPENDENCYPART_GRANDPAR
(2,13),(13,18),-0.0969555 # DEPENDENCYPART_GRANDPAR
(2,13),(13,19),-0.0441848 # DEPENDENCYPART_GRANDPAR
(2,13),(13,20),-0.381926 # DEPENDENCYPART_GRANDPAR
(2,13),(13,21),-0.248888 # DEPENDENCYPART_GRANDPAR
(2,13),(13,22),-0.715527 # DEPENDENCYPART_GRANDPAR
(2,19),(19,5),-0.16974 # DEPENDENCYPART_GRANDPAR
(2,19),(19,6),-0.175434 # DEPENDENCYPART_GRANDPAR
(2,19),(19,7),-0.171806 # DEPENDENCYPART_GRANDPAR
(2,19),(19,8),-0.190318 # DEPENDENCYPART_GRANDPAR
(2,19),(19,9),-0.224 # DEPENDENCYPART_GRANDPAR
(2,19),(19,10),-0.155157 # DEPENDENCYPART_GRANDPAR
(2,19),(19,11),-0.210086 # DEPENDENCYPART_GRANDPAR
(2,19),(19,12),-0.266474 # DEPENDENCYPART_GRANDPAR
(2,19),(19,13),-0.174671 # DEPENDENCYPART_GRANDPAR
(2,19),(19,14),-0.4408 # DEPENDENCYPART_GRANDPAR
(2,19),(19,15),-0.343905 # DEPENDENCYPART_GRANDPAR
(2,19),(19,16),-0.359058 # DEPENDENCYPART_GRANDPAR
(2,19),(19,17),-0.173235 # DEPENDENCYPART_GRANDPAR
(2,19),(19,18),-0.00603342 # DEPENDENCYPART_GRANDPAR
(2,19),(19,20),-0.394223 # DEPENDENCYPART_GRANDPAR
(2,19),(19,21),-0.297281 # DEPENDENCYPART_GRANDPAR
(2,19),(19,22),-0.657623 # DEPENDENCYPART_GRANDPAR
(2,21),(21,2),-0.646208 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,21),(21,5),-0.231358 # DEPENDENCYPART_GRANDPAR
(2,21),(21,6),-0.32759 # DEPENDENCYPART_GRANDPAR
(2,21),(21,7),-0.233424 # DEPENDENCYPART_GRANDPAR
(2,21),(21,8),-0.183033 # DEPENDENCYPART_GRANDPAR
(2,21),(21,9),-0.285618 # DEPENDENCYPART_GRANDPAR
(2,21),(21,10),-0.0343765 # DEPENDENCYPART_GRANDPAR
(2,21),(21,11),-0.0893058 # DEPENDENCYPART_GRANDPAR
(2,21),(21,12),-0.328092 # DEPENDENCYPART_GRANDPAR
(2,21),(21,13),-0.147942 # DEPENDENCYPART_GRANDPAR
(2,21),(21,14),-0.464013 # DEPENDENCYPART_GRANDPAR
(2,21),(21,15),-0.22313 # DEPENDENCYPART_GRANDPAR
(2,21),(21,16),-0.420676 # DEPENDENCYPART_GRANDPAR
(2,21),(21,17),-0.161958 # DEPENDENCYPART_GRANDPAR
(2,21),(21,18),-0.158189 # DEPENDENCYPART_GRANDPAR
(2,21),(21,19),0.0178324 # DEPENDENCYPART_GRANDPAR
(2,21),(21,20),-0.382285 # DEPENDENCYPART_GRANDPAR
(2,21),(21,22),-0.664586 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.17388 # DEPENDENCYPART_GRANDPAR
(3,2),(2,4),-0.402348 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-0.47226 # DEPENDENCYPART_GRANDPAR
(3,2),(2,13),-0.540117 # DEPENDENCYPART_GRANDPAR
(3,2),(2,19),-0.634443 # DEPENDENCYPART_GRANDPAR
(3,2),(2,21),-0.305317 # DEPENDENCYPART_GRANDPAR
(3,2),(2,22),-0.984013 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),0.173183 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-0.687491 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),-0.849418 # DEPENDENCYPART_GRANDPAR
(4,2),(2,13),-0.664993 # DEPENDENCYPART_GRANDPAR
(4,2),(2,19),-0.714303 # DEPENDENCYPART_GRANDPAR
(4,2),(2,21),-0.772934 # DEPENDENCYPART_GRANDPAR
(4,2),(2,22),-1.07363 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.466819 # DEPENDENCYPART_GRANDPAR
(4,19),(19,5),-0.411229 # DEPENDENCYPART_GRANDPAR
(4,19),(19,6),-0.323301 # DEPENDENCYPART_GRANDPAR
(4,19),(19,7),-0.448533 # DEPENDENCYPART_GRANDPAR
(4,19),(19,8),-0.227742 # DEPENDENCYPART_GRANDPAR
(4,19),(19,9),-0.574238 # DEPENDENCYPART_GRANDPAR
(4,19),(19,10),0.0695875 # DEPENDENCYPART_GRANDPAR
(4,19),(19,11),0.0852372 # DEPENDENCYPART_GRANDPAR
(4,19),(19,12),-1.01134 # DEPENDENCYPART_GRANDPAR
(4,19),(19,13),-0.319087 # DEPENDENCYPART_GRANDPAR
(4,19),(19,14),-0.267327 # DEPENDENCYPART_GRANDPAR
(4,19),(19,15),0.0567186 # DEPENDENCYPART_GRANDPAR
(4,19),(19,16),-0.704134 # DEPENDENCYPART_GRANDPAR
(4,19),(19,17),-0.540154 # DEPENDENCYPART_GRANDPAR
(4,19),(19,18),-0.266656 # DEPENDENCYPART_GRANDPAR
(4,19),(19,20),-1.22737 # DEPENDENCYPART_GRANDPAR
(4,19),(19,21),-0.45074 # DEPENDENCYPART_GRANDPAR
(4,19),(19,22),-0.688509 # DEPENDENCYPART_GRANDPAR
(5,1),(1,3),-0.404215 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),-0.339271 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),-0.23407 # DEPENDENCYPART_GRANDPAR
(5,2),(2,5),-1.09456 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,2),(2,13),-0.485239 # DEPENDENCYPART_GRANDPAR
(5,2),(2,19),-0.416559 # DEPENDENCYPART_GRANDPAR
(5,2),(2,21),-0.725196 # DEPENDENCYPART_GRANDPAR
(5,2),(2,22),-0.974457 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),-0.462327 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-0.452852 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),-0.555842 # DEPENDENCYPART_GRANDPAR
(5,4),(4,19),-0.377096 # DEPENDENCYPART_GRANDPAR
(5,7),(7,1),-0.980929 # DEPENDENCYPART_GRANDPAR
(5,7),(7,2),-0.832506 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),-0.79859 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-0.496629 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),-0.186732 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),-0.17262 # DEPENDENCYPART_GRANDPAR
(5,7),(7,12),-0.324024 # DEPENDENCYPART_GRANDPAR
(5,7),(7,16),-0.316351 # DEPENDENCYPART_GRANDPAR
(5,7),(7,21),-0.320712 # DEPENDENCYPART_GRANDPAR
(5,7),(7,22),-0.578686 # DEPENDENCYPART_GRANDPAR
(5,9),(9,1),-0.980929 # DEPENDENCYPART_GRANDPAR
(5,9),(9,3),-0.79859 # DEPENDENCYPART_GRANDPAR
(5,9),(9,5),-0.496629 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,9),(9,6),-0.186732 # DEPENDENCYPART_GRANDPAR
(5,9),(9,7),-0.0272372 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),-0.117672 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),-0.156228 # DEPENDENCYPART_GRANDPAR
(5,9),(9,11),-0.26007 # DEPENDENCYPART_GRANDPAR
(5,9),(9,12),-0.324024 # DEPENDENCYPART_GRANDPAR
(5,9),(9,16),-0.316351 # DEPENDENCYPART_GRANDPAR
(5,9),(9,18),-0.0519419 # DEPENDENCYPART_GRANDPAR
(5,9),(9,21),-0.320712 # DEPENDENCYPART_GRANDPAR
(5,9),(9,22),-0.578686 # DEPENDENCYPART_GRANDPAR
(5,12),(12,1),-0.980929 # DEPENDENCYPART_GRANDPAR
(5,12),(12,2),-0.832506 # DEPENDENCYPART_GRANDPAR
(5,12),(12,3),-0.79859 # DEPENDENCYPART_GRANDPAR
(5,12),(12,5),-0.496629 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,12),(12,6),-0.186732 # DEPENDENCYPART_GRANDPAR
(5,12),(12,7),-0.0272372 # DEPENDENCYPART_GRANDPAR
(5,12),(12,8),-0.117672 # DEPENDENCYPART_GRANDPAR
(5,12),(12,9),-0.0516793 # DEPENDENCYPART_GRANDPAR
(5,12),(12,10),-0.0513148 # DEPENDENCYPART_GRANDPAR
(5,12),(12,11),-0.157412 # DEPENDENCYPART_GRANDPAR
(5,12),(12,13),-0.107496 # DEPENDENCYPART_GRANDPAR
(5,12),(12,16),-0.316351 # DEPENDENCYPART_GRANDPAR
(5,12),(12,17),-0.0854708 # DEPENDENCYPART_GRANDPAR
(5,12),(12,18),-0.0519419 # DEPENDENCYPART_GRANDPAR
(5,12),(12,19),-0.0562203 # DEPENDENCYPART_GRANDPAR
(5,21),(21,2),-0.771936 # DEPENDENCYPART_GRANDPAR
(5,21),(21,5),-0.654309 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,21),(21,6),-0.315261 # DEPENDENCYPART_GRANDPAR
(5,21),(21,7),-0.184917 # DEPENDENCYPART_GRANDPAR
(5,21),(21,8),-0.166034 # DEPENDENCYPART_GRANDPAR
(5,21),(21,9),-0.209359 # DEPENDENCYPART_GRANDPAR
(5,21),(21,10),-0.0211367 # DEPENDENCYPART_GRANDPAR
(5,21),(21,11),-0.12595 # DEPENDENCYPART_GRANDPAR
(5,21),(21,12),-0.360763 # DEPENDENCYPART_GRANDPAR
(5,21),(21,13),-0.0972311 # DEPENDENCYPART_GRANDPAR
(5,21),(21,14),-0.448155 # DEPENDENCYPART_GRANDPAR
(5,21),(21,15),-0.265315 # DEPENDENCYPART_GRANDPAR
(5,21),(21,16),-0.35309 # DEPENDENCYPART_GRANDPAR
(5,21),(21,17),-0.144701 # DEPENDENCYPART_GRANDPAR
(5,21),(21,18),-0.153465 # DEPENDENCYPART_GRANDPAR
(5,21),(21,19),-0.0336063 # DEPENDENCYPART_GRANDPAR
(5,21),(21,20),-0.372872 # DEPENDENCYPART_GRANDPAR
(5,21),(21,22),-0.595539 # DEPENDENCYPART_GRANDPAR
(7,1),(1,3),-0.309147 # DEPENDENCYPART_GRANDPAR
(7,2),(2,1),-0.350396 # DEPENDENCYPART_GRANDPAR
(7,2),(2,4),-0.167406 # DEPENDENCYPART_GRANDPAR
(7,2),(2,5),0.0531104 # DEPENDENCYPART_GRANDPAR
(7,2),(2,13),-0.573138 # DEPENDENCYPART_GRANDPAR
(7,2),(2,19),-0.48685 # DEPENDENCYPART_GRANDPAR
(7,2),(2,21),-0.785263 # DEPENDENCYPART_GRANDPAR
(7,2),(2,22),-0.965183 # DEPENDENCYPART_GRANDPAR
(7,3),(3,2),-0.259772 # DEPENDENCYPART_GRANDPAR
(7,5),(5,1),-0.407422 # DEPENDENCYPART_GRANDPAR
(7,5),(5,2),-0.118956 # DEPENDENCYPART_GRANDPAR
(7,5),(5,3),-0.240433 # DEPENDENCYPART_GRANDPAR
(7,5),(5,4),-0.15423 # DEPENDENCYPART_GRANDPAR
(7,5),(5,6),-0.0484671 # DEPENDENCYPART_GRANDPAR
(7,5),(5,7),-1.15351 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,5),(5,9),-0.768439 # DEPENDENCYPART_GRANDPAR
(7,5),(5,12),-0.93281 # DEPENDENCYPART_GRANDPAR
(7,5),(5,18),-0.465458 # DEPENDENCYPART_GRANDPAR
(7,5),(5,21),-0.785261 # DEPENDENCYPART_GRANDPAR
(7,5),(5,22),-0.965183 # DEPENDENCYPART_GRANDPAR
(7,9),(9,1),-0.992054 # DEPENDENCYPART_GRANDPAR
(7,9),(9,3),-0.703522 # DEPENDENCYPART_GRANDPAR
(7,9),(9,5),-0.544421 # DEPENDENCYPART_GRANDPAR
(7,9),(9,6),-0.449502 # DEPENDENCYPART_GRANDPAR
(7,9),(9,7),-0.555578 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,9),(9,8),-0.170051 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),-0.185518 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),-0.284569 # DEPENDENCYPART_GRANDPAR
(7,9),(9,12),-0.45582 # DEPENDENCYPART_GRANDPAR
(7,9),(9,16),-0.382246 # DEPENDENCYPART_GRANDPAR
(7,9),(9,18),-0.0914294 # DEPENDENCYPART_GRANDPAR
(7,9),(9,21),-0.380779 # DEPENDENCYPART_GRANDPAR
(7,9),(9,22),-0.569412 # DEPENDENCYPART_GRANDPAR
(7,12),(12,1),-0.992054 # DEPENDENCYPART_GRANDPAR
(7,12),(12,2),-0.629951 # DEPENDENCYPART_GRANDPAR
(7,12),(12,3),-0.703522 # DEPENDENCYPART_GRANDPAR
(7,12),(12,5),-0.544421 # DEPENDENCYPART_GRANDPAR
(7,12),(12,6),-0.449502 # DEPENDENCYPART_GRANDPAR
(7,12),(12,7),-0.555578 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,12),(12,8),-0.170051 # DEPENDENCYPART_GRANDPAR
(7,12),(12,9),-0.170508 # DEPENDENCYPART_GRANDPAR
(7,12),(12,10),-0.0806045 # DEPENDENCYPART_GRANDPAR
(7,12),(12,11),-0.181911 # DEPENDENCYPART_GRANDPAR
(7,12),(12,13),-0.195395 # DEPENDENCYPART_GRANDPAR
(7,12),(12,16),-0.382246 # DEPENDENCYPART_GRANDPAR
(7,12),(12,17),-0.100066 # DEPENDENCYPART_GRANDPAR
(7,12),(12,18),-0.0914294 # DEPENDENCYPART_GRANDPAR
(7,12),(12,19),-0.126512 # DEPENDENCYPART_GRANDPAR
(7,16),(16,1),-0.992054 # DEPENDENCYPART_GRANDPAR
(7,16),(16,2),-0.629951 # DEPENDENCYPART_GRANDPAR
(7,16),(16,7),-0.555578 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,16),(16,8),-0.170051 # DEPENDENCYPART_GRANDPAR
(7,16),(16,9),-0.170508 # DEPENDENCYPART_GRANDPAR
(7,16),(16,10),-0.0806045 # DEPENDENCYPART_GRANDPAR
(7,16),(16,11),-0.181911 # DEPENDENCYPART_GRANDPAR
(7,16),(16,12),-0.334879 # DEPENDENCYPART_GRANDPAR
(7,16),(16,13),-0.220633 # DEPENDENCYPART_GRANDPAR
(7,16),(16,14),-0.41071 # DEPENDENCYPART_GRANDPAR
(7,16),(16,15),-0.349392 # DEPENDENCYPART_GRANDPAR
(7,16),(16,17),-0.100066 # DEPENDENCYPART_GRANDPAR
(7,16),(16,18),-0.0914294 # DEPENDENCYPART_GRANDPAR
(7,16),(16,19),-0.126512 # DEPENDENCYPART_GRANDPAR
(7,16),(16,20),-0.454316 # DEPENDENCYPART_GRANDPAR
(7,16),(16,21),-0.380779 # DEPENDENCYPART_GRANDPAR
(7,21),(21,2),-0.569381 # DEPENDENCYPART_GRANDPAR
(7,21),(21,5),-0.482865 # DEPENDENCYPART_GRANDPAR
(7,21),(21,6),-0.457311 # DEPENDENCYPART_GRANDPAR
(7,21),(21,7),-0.713258 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,21),(21,8),-0.218413 # DEPENDENCYPART_GRANDPAR
(7,21),(21,9),-0.328188 # DEPENDENCYPART_GRANDPAR
(7,21),(21,10),-0.0504264 # DEPENDENCYPART_GRANDPAR
(7,21),(21,11),-0.150449 # DEPENDENCYPART_GRANDPAR
(7,21),(21,12),-0.492559 # DEPENDENCYPART_GRANDPAR
(7,21),(21,13),-0.18513 # DEPENDENCYPART_GRANDPAR
(7,21),(21,14),-0.436334 # DEPENDENCYPART_GRANDPAR
(7,21),(21,15),-0.316066 # DEPENDENCYPART_GRANDPAR
(7,21),(21,16),-0.418985 # DEPENDENCYPART_GRANDPAR
(7,21),(21,17),-0.159296 # DEPENDENCYPART_GRANDPAR
(7,21),(21,18),-0.192952 # DEPENDENCYPART_GRANDPAR
(7,21),(21,19),-0.103898 # DEPENDENCYPART_GRANDPAR
(7,21),(21,20),-0.491055 # DEPENDENCYPART_GRANDPAR
(7,21),(21,22),-0.586265 # DEPENDENCYPART_GRANDPAR
(8,4),(4,2),-0.0943574 # DEPENDENCYPART_GRANDPAR
(8,4),(4,3),-0.276245 # DEPENDENCYPART_GRANDPAR
(8,4),(4,19),-0.665949 # DEPENDENCYPART_GRANDPAR
(8,5),(5,1),-0.169451 # DEPENDENCYPART_GRANDPAR
(8,5),(5,2),-0.110797 # DEPENDENCYPART_GRANDPAR
(8,5),(5,3),-0.250096 # DEPENDENCYPART_GRANDPAR
(8,5),(5,4),0.119631 # DEPENDENCYPART_GRANDPAR
(8,5),(5,6),-0.288978 # DEPENDENCYPART_GRANDPAR
(8,5),(5,7),-0.0543003 # DEPENDENCYPART_GRANDPAR
(8,5),(5,9),-0.702505 # DEPENDENCYPART_GRANDPAR
(8,5),(5,12),-0.667594 # DEPENDENCYPART_GRANDPAR
(8,5),(5,18),-0.492478 # DEPENDENCYPART_GRANDPAR
(8,5),(5,21),-0.679953 # DEPENDENCYPART_GRANDPAR
(8,5),(5,22),-0.840339 # DEPENDENCYPART_GRANDPAR
(8,7),(7,1),-0.169451 # DEPENDENCYPART_GRANDPAR
(8,7),(7,2),-0.110797 # DEPENDENCYPART_GRANDPAR
(8,7),(7,3),-0.250096 # DEPENDENCYPART_GRANDPAR
(8,7),(7,5),-0.264559 # DEPENDENCYPART_GRANDPAR
(8,7),(7,6),-0.321232 # DEPENDENCYPART_GRANDPAR
(8,7),(7,9),-0.702505 # DEPENDENCYPART_GRANDPAR
(8,7),(7,12),-0.667594 # DEPENDENCYPART_GRANDPAR
(8,7),(7,16),-0.846417 # DEPENDENCYPART_GRANDPAR
(8,7),(7,21),-0.679953 # DEPENDENCYPART_GRANDPAR
(8,7),(7,22),-0.840339 # DEPENDENCYPART_GRANDPAR
(8,9),(9,1),-0.653245 # DEPENDENCYPART_GRANDPAR
(8,9),(9,3),-0.649831 # DEPENDENCYPART_GRANDPAR
(8,9),(9,5),-0.999811 # DEPENDENCYPART_GRANDPAR
