# _root_ A Kreml 234 szobáját egy 180_millió dolláros megrendelés keretében rekordidő , nyolc hónap alatt varázsolta újjá , s ezért magától Jelcintől vehetett át kitüntetést .
#goldHeads=2,4,4,15,8,7,8,9,15,14,14,13,14,15,18,15,18,0,22,22,22,18,22,22,18,
#predictedHeads=2,4,4,15,8,7,8,9,15,15,15,13,14,15,18,15,18,0,22,21,22,18,22,22,18,
(19,14),(19,20),-0.0294319 # DEPENDENCYPART_SIBL
(19,14),(19,21),0.00548095 # DEPENDENCYPART_SIBL
(19,14),(19,22),-0.0351267 # DEPENDENCYPART_SIBL
(19,14),(19,23),-0.00658218 # DEPENDENCYPART_SIBL
(19,14),(19,24),0.00548095 # DEPENDENCYPART_SIBL
(19,14),(19,25),0.0716539 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.237304 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.236951 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.0182102 # DEPENDENCYPART_SIBL
(19,15),(19,21),-0.015732 # DEPENDENCYPART_SIBL
(19,15),(19,22),0.0221272 # DEPENDENCYPART_SIBL
(19,15),(19,23),-0.0238847 # DEPENDENCYPART_SIBL
(19,15),(19,24),-0.015732 # DEPENDENCYPART_SIBL
(19,15),(19,25),0.10649 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.47843 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.00180689 # DEPENDENCYPART_SIBL
(19,17),(19,21),0.0448419 # DEPENDENCYPART_SIBL
(19,17),(19,22),0.06001 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.0310585 # DEPENDENCYPART_SIBL
(19,17),(19,24),0.0448419 # DEPENDENCYPART_SIBL
(19,17),(19,25),0.152099 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.0320803 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.0219606 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.0864127 # DEPENDENCYPART_SIBL
(19,18),(19,23),0.0213234 # DEPENDENCYPART_SIBL
(19,18),(19,24),0.0219606 # DEPENDENCYPART_SIBL
(19,18),(19,25),0.244847 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.0572369 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.00388938 # DEPENDENCYPART_SIBL
(19,20),(19,23),0.03338 # DEPENDENCYPART_SIBL
(19,20),(19,24),0.0572369 # DEPENDENCYPART_SIBL
(19,20),(19,25),6.38264e-05 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.0242547 # DEPENDENCYPART_SIBL
(19,21),(19,23),0.00889328 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.00794853 # DEPENDENCYPART_SIBL
(19,21),(19,25),0.044829 # DEPENDENCYPART_SIBL
(19,22),(19,23),0.00623637 # DEPENDENCYPART_SIBL
(19,22),(19,24),0.000753963 # DEPENDENCYPART_SIBL
(19,22),(19,25),0.0408688 # DEPENDENCYPART_SIBL
(19,23),(19,24),0.118357 # DEPENDENCYPART_SIBL
(19,23),(19,25),0.0164298 # DEPENDENCYPART_SIBL
(19,24),(19,25),0.044829 # DEPENDENCYPART_SIBL
(20,15),(20,18),0.153401 # DEPENDENCYPART_SIBL
(20,15),(20,19),0.0542062 # DEPENDENCYPART_SIBL
(20,15),(20,22),5.10862e-05 # DEPENDENCYPART_SIBL
(20,15),(20,24),0.0158606 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.0403868 # DEPENDENCYPART_SIBL
(20,18),(20,22),0.0238781 # DEPENDENCYPART_SIBL
(20,18),(20,24),0.0202406 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0226405 # DEPENDENCYPART_SIBL
(20,19),(20,24),0.0457899 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.007161 # DEPENDENCYPART_SIBL
(21,15),(21,17),0.313879 # DEPENDENCYPART_SIBL
(21,15),(21,18),0.269884 # DEPENDENCYPART_SIBL
(21,15),(21,19),-0.0278774 # DEPENDENCYPART_SIBL
(21,15),(21,20),-0.0167469 # DEPENDENCYPART_SIBL
(21,15),(21,24),-0.00602675 # DEPENDENCYPART_SIBL
(21,17),(21,18),0.435474 # DEPENDENCYPART_SIBL
(21,17),(21,19),-0.0569562 # DEPENDENCYPART_SIBL
(21,17),(21,20),-0.0339115 # DEPENDENCYPART_SIBL
(21,17),(21,24),-0.00844461 # DEPENDENCYPART_SIBL
(21,18),(21,19),-0.00541389 # DEPENDENCYPART_SIBL
(21,18),(21,20),0.0151251 # DEPENDENCYPART_SIBL
(21,18),(21,24),-0.0244192 # DEPENDENCYPART_SIBL
(21,19),(21,20),-0.0699559 # DEPENDENCYPART_SIBL
(21,19),(21,24),0.0212142 # DEPENDENCYPART_SIBL
(21,20),(21,24),0.00584014 # DEPENDENCYPART_SIBL
(22,2),(22,3),-0.0132903 # DEPENDENCYPART_SIBL
(22,2),(22,4),-0.0241335 # DEPENDENCYPART_SIBL
(22,2),(22,6),-0.0132903 # DEPENDENCYPART_SIBL
(22,2),(22,7),0.000765644 # DEPENDENCYPART_SIBL
(22,2),(22,8),-0.0241335 # DEPENDENCYPART_SIBL
(22,2),(22,9),-0.0318922 # DEPENDENCYPART_SIBL
(22,2),(22,10),-0.0241335 # DEPENDENCYPART_SIBL
(22,2),(22,11),0.0964407 # DEPENDENCYPART_SIBL
(22,2),(22,12),-0.0125175 # DEPENDENCYPART_SIBL
(22,2),(22,13),-0.0461353 # DEPENDENCYPART_SIBL
(22,2),(22,14),0.053253 # DEPENDENCYPART_SIBL
(22,2),(22,15),-0.00816235 # DEPENDENCYPART_SIBL
(22,2),(22,16),0.00299373 # DEPENDENCYPART_SIBL
(22,2),(22,17),0.0964407 # DEPENDENCYPART_SIBL
(22,2),(22,18),0.0503901 # DEPENDENCYPART_SIBL
(22,2),(22,19),-0.144503 # DEPENDENCYPART_SIBL
(22,2),(22,20),-0.0693705 # DEPENDENCYPART_SIBL
(22,2),(22,21),-0.0241335 # DEPENDENCYPART_SIBL
(22,2),(22,23),0.0384021 # DEPENDENCYPART_SIBL
(22,2),(22,24),-0.00324626 # DEPENDENCYPART_SIBL
(22,2),(22,25),0.011744 # DEPENDENCYPART_SIBL
(22,3),(22,4),0.00950272 # DEPENDENCYPART_SIBL
(22,3),(22,6),-0.0294505 # DEPENDENCYPART_SIBL
(22,3),(22,7),-0.0484559 # DEPENDENCYPART_SIBL
(22,3),(22,8),0.00950272 # DEPENDENCYPART_SIBL
(22,3),(22,9),0.00457605 # DEPENDENCYPART_SIBL
(22,3),(22,10),0.00950272 # DEPENDENCYPART_SIBL
(22,3),(22,11),0.0619685 # DEPENDENCYPART_SIBL
(22,3),(22,12),-0.0295462 # DEPENDENCYPART_SIBL
(22,3),(22,13),-0.00122019 # DEPENDENCYPART_SIBL
(22,3),(22,14),0.066964 # DEPENDENCYPART_SIBL
(22,3),(22,15),-0.02856 # DEPENDENCYPART_SIBL
(22,3),(22,16),0.0201495 # DEPENDENCYPART_SIBL
(22,3),(22,17),0.0619685 # DEPENDENCYPART_SIBL
(22,3),(22,18),0.115929 # DEPENDENCYPART_SIBL
(22,3),(22,19),-0.131928 # DEPENDENCYPART_SIBL
(22,3),(22,20),-0.0969102 # DEPENDENCYPART_SIBL
(22,3),(22,21),0.00950272 # DEPENDENCYPART_SIBL
(22,3),(22,23),0.112518 # DEPENDENCYPART_SIBL
(22,3),(22,24),0.0124944 # DEPENDENCYPART_SIBL
(22,3),(22,25),0.00142063 # DEPENDENCYPART_SIBL
(22,4),(22,6),-0.0141115 # DEPENDENCYPART_SIBL
(22,4),(22,7),0.000897477 # DEPENDENCYPART_SIBL
(22,4),(22,8),-0.0309984 # DEPENDENCYPART_SIBL
(22,4),(22,9),-0.0387571 # DEPENDENCYPART_SIBL
(22,4),(22,10),-0.0309984 # DEPENDENCYPART_SIBL
(22,4),(22,11),0.0956371 # DEPENDENCYPART_SIBL
(22,4),(22,12),-0.0133387 # DEPENDENCYPART_SIBL
(22,4),(22,13),-0.0530002 # DEPENDENCYPART_SIBL
(22,4),(22,14),0.0524318 # DEPENDENCYPART_SIBL
(22,4),(22,15),-0.00898354 # DEPENDENCYPART_SIBL
(22,4),(22,16),0.0064991 # DEPENDENCYPART_SIBL
(22,4),(22,17),0.0956371 # DEPENDENCYPART_SIBL
(22,4),(22,18),0.0495689 # DEPENDENCYPART_SIBL
(22,4),(22,19),-0.144714 # DEPENDENCYPART_SIBL
(22,4),(22,20),-0.0695817 # DEPENDENCYPART_SIBL
(22,4),(22,21),-0.0309984 # DEPENDENCYPART_SIBL
(22,4),(22,23),0.0337388 # DEPENDENCYPART_SIBL
(22,4),(22,24),-0.00785634 # DEPENDENCYPART_SIBL
(22,4),(22,25),0.00976821 # DEPENDENCYPART_SIBL
(22,6),(22,7),-0.0484559 # DEPENDENCYPART_SIBL
(22,6),(22,8),0.00950272 # DEPENDENCYPART_SIBL
(22,6),(22,9),0.00457605 # DEPENDENCYPART_SIBL
(22,6),(22,10),0.00950272 # DEPENDENCYPART_SIBL
(22,6),(22,11),0.0619685 # DEPENDENCYPART_SIBL
(22,6),(22,12),-0.0295462 # DEPENDENCYPART_SIBL
(22,6),(22,13),-0.00122019 # DEPENDENCYPART_SIBL
(22,6),(22,14),0.066964 # DEPENDENCYPART_SIBL
(22,6),(22,15),-0.02856 # DEPENDENCYPART_SIBL
(22,6),(22,16),0.0201495 # DEPENDENCYPART_SIBL
(22,6),(22,17),0.0619685 # DEPENDENCYPART_SIBL
(22,6),(22,18),0.115929 # DEPENDENCYPART_SIBL
(22,6),(22,19),-0.131928 # DEPENDENCYPART_SIBL
(22,6),(22,20),-0.0969102 # DEPENDENCYPART_SIBL
(22,6),(22,21),0.00950272 # DEPENDENCYPART_SIBL
(22,6),(22,23),0.112518 # DEPENDENCYPART_SIBL
(22,6),(22,24),0.0124944 # DEPENDENCYPART_SIBL
(22,6),(22,25),0.00142063 # DEPENDENCYPART_SIBL
(22,7),(22,8),-0.0171196 # DEPENDENCYPART_SIBL
(22,7),(22,9),-0.0220465 # DEPENDENCYPART_SIBL
(22,7),(22,10),-0.0171196 # DEPENDENCYPART_SIBL
(22,7),(22,11),0.0463825 # DEPENDENCYPART_SIBL
(22,7),(22,12),-0.0367256 # DEPENDENCYPART_SIBL
(22,7),(22,13),-0.0259568 # DEPENDENCYPART_SIBL
(22,7),(22,14),0.078093 # DEPENDENCYPART_SIBL
(22,7),(22,15),-0.00366617 # DEPENDENCYPART_SIBL
(22,7),(22,16),-0.0189514 # DEPENDENCYPART_SIBL
(22,7),(22,17),0.0463825 # DEPENDENCYPART_SIBL
(22,7),(22,18),0.106565 # DEPENDENCYPART_SIBL
(22,7),(22,19),-0.11451 # DEPENDENCYPART_SIBL
(22,7),(22,20),-0.0683884 # DEPENDENCYPART_SIBL
(22,7),(22,21),-0.0171196 # DEPENDENCYPART_SIBL
(22,7),(22,23),0.0334031 # DEPENDENCYPART_SIBL
(22,7),(22,24),0.010988 # DEPENDENCYPART_SIBL
(22,7),(22,25),0.00586423 # DEPENDENCYPART_SIBL
(22,8),(22,9),-0.0387571 # DEPENDENCYPART_SIBL
(22,8),(22,10),-0.0309984 # DEPENDENCYPART_SIBL
(22,8),(22,11),0.0956371 # DEPENDENCYPART_SIBL
(22,8),(22,12),-0.0133387 # DEPENDENCYPART_SIBL
(22,8),(22,13),-0.0530002 # DEPENDENCYPART_SIBL
(22,8),(22,14),0.0524318 # DEPENDENCYPART_SIBL
(22,8),(22,15),-0.00898354 # DEPENDENCYPART_SIBL
(22,8),(22,16),0.0064991 # DEPENDENCYPART_SIBL
(22,8),(22,17),0.0956371 # DEPENDENCYPART_SIBL
(22,8),(22,18),0.0495689 # DEPENDENCYPART_SIBL
(22,8),(22,19),-0.144714 # DEPENDENCYPART_SIBL
(22,8),(22,20),-0.0695817 # DEPENDENCYPART_SIBL
(22,8),(22,21),-0.0309984 # DEPENDENCYPART_SIBL
(22,8),(22,23),0.0337388 # DEPENDENCYPART_SIBL
(22,8),(22,24),-0.00785634 # DEPENDENCYPART_SIBL
(22,8),(22,25),0.00976821 # DEPENDENCYPART_SIBL
(22,9),(22,10),-0.0448068 # DEPENDENCYPART_SIBL
(22,9),(22,11),0.0854358 # DEPENDENCYPART_SIBL
(22,9),(22,12),-0.0193488 # DEPENDENCYPART_SIBL
(22,9),(22,13),-0.0668087 # DEPENDENCYPART_SIBL
(22,9),(22,14),0.0464308 # DEPENDENCYPART_SIBL
(22,9),(22,15),-0.0154532 # DEPENDENCYPART_SIBL
(22,9),(22,16),0.00138608 # DEPENDENCYPART_SIBL
(22,9),(22,17),0.0854358 # DEPENDENCYPART_SIBL
(22,9),(22,18),0.044106 # DEPENDENCYPART_SIBL
(22,9),(22,19),-0.150712 # DEPENDENCYPART_SIBL
(22,9),(22,20),-0.0755793 # DEPENDENCYPART_SIBL
(22,9),(22,21),-0.0448068 # DEPENDENCYPART_SIBL
(22,9),(22,23),0.0261705 # DEPENDENCYPART_SIBL
(22,9),(22,24),-0.020449 # DEPENDENCYPART_SIBL
(22,9),(22,25),-0.0033392 # DEPENDENCYPART_SIBL
(22,10),(22,11),0.0956371 # DEPENDENCYPART_SIBL
(22,10),(22,12),-0.0133387 # DEPENDENCYPART_SIBL
(22,10),(22,13),-0.0530002 # DEPENDENCYPART_SIBL
(22,10),(22,14),0.0524318 # DEPENDENCYPART_SIBL
(22,10),(22,15),-0.00898354 # DEPENDENCYPART_SIBL
(22,10),(22,16),0.0064991 # DEPENDENCYPART_SIBL
(22,10),(22,17),0.0956371 # DEPENDENCYPART_SIBL
(22,10),(22,18),0.0495689 # DEPENDENCYPART_SIBL
(22,10),(22,19),-0.144714 # DEPENDENCYPART_SIBL
(22,10),(22,20),-0.0695817 # DEPENDENCYPART_SIBL
(22,10),(22,21),-0.0309984 # DEPENDENCYPART_SIBL
(22,10),(22,23),0.0337388 # DEPENDENCYPART_SIBL
(22,10),(22,24),-0.00785634 # DEPENDENCYPART_SIBL
(22,10),(22,25),0.00976821 # DEPENDENCYPART_SIBL
(22,11),(22,12),-0.0319273 # DEPENDENCYPART_SIBL
(22,11),(22,13),-0.0225056 # DEPENDENCYPART_SIBL
(22,11),(22,14),0.0334315 # DEPENDENCYPART_SIBL
(22,11),(22,15),0.0172402 # DEPENDENCYPART_SIBL
(22,11),(22,16),-0.0175091 # DEPENDENCYPART_SIBL
(22,11),(22,17),0.00654042 # DEPENDENCYPART_SIBL
(22,11),(22,18),0.206212 # DEPENDENCYPART_SIBL
(22,11),(22,19),-0.119196 # DEPENDENCYPART_SIBL
(22,11),(22,20),-0.0585729 # DEPENDENCYPART_SIBL
(22,11),(22,21),-0.00552088 # DEPENDENCYPART_SIBL
(22,11),(22,23),-0.0221422 # DEPENDENCYPART_SIBL
(22,11),(22,24),-0.0151981 # DEPENDENCYPART_SIBL
(22,11),(22,25),0.0241381 # DEPENDENCYPART_SIBL
(22,12),(22,13),-0.00413518 # DEPENDENCYPART_SIBL
(22,12),(22,14),0.0654135 # DEPENDENCYPART_SIBL
(22,12),(22,15),-0.029539 # DEPENDENCYPART_SIBL
(22,12),(22,16),0.0191434 # DEPENDENCYPART_SIBL
(22,12),(22,17),0.0608302 # DEPENDENCYPART_SIBL
(22,12),(22,18),0.117538 # DEPENDENCYPART_SIBL
(22,12),(22,19),-0.132891 # DEPENDENCYPART_SIBL
(22,12),(22,20),-0.0978731 # DEPENDENCYPART_SIBL
(22,12),(22,21),0.00658773 # DEPENDENCYPART_SIBL
(22,12),(22,23),0.099424 # DEPENDENCYPART_SIBL
(22,12),(22,24),0.00311801 # DEPENDENCYPART_SIBL
(22,12),(22,25),-0.013751 # DEPENDENCYPART_SIBL
(22,13),(22,14),0.0451429 # DEPENDENCYPART_SIBL
(22,13),(22,15),-0.0153973 # DEPENDENCYPART_SIBL
(22,13),(22,16),-0.000320536 # DEPENDENCYPART_SIBL
(22,13),(22,17),0.0821726 # DEPENDENCYPART_SIBL
(22,13),(22,18),0.0431131 # DEPENDENCYPART_SIBL
(22,13),(22,19),-0.1511 # DEPENDENCYPART_SIBL
(22,13),(22,20),-0.075967 # DEPENDENCYPART_SIBL
(22,13),(22,21),-0.0477172 # DEPENDENCYPART_SIBL
(22,13),(22,23),0.0502897 # DEPENDENCYPART_SIBL
(22,13),(22,24),-0.00514258 # DEPENDENCYPART_SIBL
(22,13),(22,25),0.0147175 # DEPENDENCYPART_SIBL
(22,14),(22,15),-0.0418429 # DEPENDENCYPART_SIBL
(22,14),(22,16),0.0279536 # DEPENDENCYPART_SIBL
(22,14),(22,17),0.0389658 # DEPENDENCYPART_SIBL
(22,14),(22,18),0.0175927 # DEPENDENCYPART_SIBL
(22,14),(22,19),-0.0722559 # DEPENDENCYPART_SIBL
(22,14),(22,20),-0.0353146 # DEPENDENCYPART_SIBL
(22,14),(22,21),0.056635 # DEPENDENCYPART_SIBL
(22,14),(22,23),0.057537 # DEPENDENCYPART_SIBL
(22,14),(22,24),0.0141977 # DEPENDENCYPART_SIBL
(22,14),(22,25),-0.0118656 # DEPENDENCYPART_SIBL
(22,15),(22,16),-0.013863 # DEPENDENCYPART_SIBL
(22,15),(22,17),0.0793449 # DEPENDENCYPART_SIBL
(22,15),(22,18),0.0231634 # DEPENDENCYPART_SIBL
(22,15),(22,19),-0.11603 # DEPENDENCYPART_SIBL
(22,15),(22,20),-0.0706482 # DEPENDENCYPART_SIBL
(22,15),(22,21),-0.0263397 # DEPENDENCYPART_SIBL
(22,15),(22,23),0.0152873 # DEPENDENCYPART_SIBL
(22,15),(22,24),-0.00591394 # DEPENDENCYPART_SIBL
(22,15),(22,25),0.0185718 # DEPENDENCYPART_SIBL
(22,16),(22,17),0.0389749 # DEPENDENCYPART_SIBL
(22,16),(22,18),0.0236763 # DEPENDENCYPART_SIBL
(22,16),(22,19),-0.0450086 # DEPENDENCYPART_SIBL
(22,16),(22,20),-0.0347228 # DEPENDENCYPART_SIBL
(22,16),(22,21),0.00845773 # DEPENDENCYPART_SIBL
(22,16),(22,23),0.0801598 # DEPENDENCYPART_SIBL
(22,16),(22,24),0.00919762 # DEPENDENCYPART_SIBL
(22,16),(22,25),0.0119093 # DEPENDENCYPART_SIBL
(22,17),(22,18),0.206212 # DEPENDENCYPART_SIBL
(22,17),(22,19),-0.119196 # DEPENDENCYPART_SIBL
(22,17),(22,20),-0.0585729 # DEPENDENCYPART_SIBL
(22,17),(22,21),-0.00552088 # DEPENDENCYPART_SIBL
(22,17),(22,23),-0.0221422 # DEPENDENCYPART_SIBL
(22,17),(22,24),-0.0151981 # DEPENDENCYPART_SIBL
(22,17),(22,25),0.0241381 # DEPENDENCYPART_SIBL
(22,18),(22,19),-0.123793 # DEPENDENCYPART_SIBL
(22,18),(22,20),-0.0551669 # DEPENDENCYPART_SIBL
(22,18),(22,21),-0.0622445 # DEPENDENCYPART_SIBL
(22,18),(22,23),0.0271575 # DEPENDENCYPART_SIBL
(22,18),(22,24),-0.0394661 # DEPENDENCYPART_SIBL
(22,18),(22,25),0.183262 # DEPENDENCYPART_SIBL
(22,19),(22,20),-0.142266 # DEPENDENCYPART_SIBL
(22,19),(22,21),0.049471 # DEPENDENCYPART_SIBL
(22,19),(22,23),0.0611615 # DEPENDENCYPART_SIBL
(22,19),(22,24),0.0106199 # DEPENDENCYPART_SIBL
(22,19),(22,25),-0.0337747 # DEPENDENCYPART_SIBL
(22,20),(22,21),-0.00919382 # DEPENDENCYPART_SIBL
(22,20),(22,23),0.058673 # DEPENDENCYPART_SIBL
(22,20),(22,24),-0.0241731 # DEPENDENCYPART_SIBL
(22,20),(22,25),-0.0245512 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.0337388 # DEPENDENCYPART_SIBL
(22,21),(22,24),-0.00785634 # DEPENDENCYPART_SIBL
(22,21),(22,25),0.00976821 # DEPENDENCYPART_SIBL
(22,23),(22,24),0.0874627 # DEPENDENCYPART_SIBL
(22,23),(22,25),-0.0144635 # DEPENDENCYPART_SIBL
(22,24),(22,25),-1.62179e-05 # DEPENDENCYPART_SIBL
(23,14),(23,15),0.0875941 # DEPENDENCYPART_SIBL
(23,14),(23,20),0.0814324 # DEPENDENCYPART_SIBL
(23,14),(23,24),0.129303 # DEPENDENCYPART_SIBL
(23,15),(23,20),0.119554 # DEPENDENCYPART_SIBL
(23,15),(23,24),0.0906937 # DEPENDENCYPART_SIBL
(23,20),(23,24),0.23923 # DEPENDENCYPART_SIBL
(24,12),(24,15),0.0966391 # DEPENDENCYPART_SIBL
(24,12),(24,18),0.471373 # DEPENDENCYPART_SIBL
(24,12),(24,19),0.0125752 # DEPENDENCYPART_SIBL
(24,12),(24,20),0.0169565 # DEPENDENCYPART_SIBL
(24,12),(24,21),-0.0100132 # DEPENDENCYPART_SIBL
(24,12),(24,23),0.0872527 # DEPENDENCYPART_SIBL
(24,15),(24,18),0.269884 # DEPENDENCYPART_SIBL
(24,15),(24,19),-0.0278774 # DEPENDENCYPART_SIBL
(24,15),(24,20),-0.0167469 # DEPENDENCYPART_SIBL
(24,15),(24,21),-0.0504274 # DEPENDENCYPART_SIBL
(24,15),(24,23),0.0440598 # DEPENDENCYPART_SIBL
(24,18),(24,19),-0.00541389 # DEPENDENCYPART_SIBL
(24,18),(24,20),0.0151251 # DEPENDENCYPART_SIBL
(24,18),(24,21),-0.00357015 # DEPENDENCYPART_SIBL
(24,18),(24,23),0.0874464 # DEPENDENCYPART_SIBL
(24,19),(24,20),-0.0699559 # DEPENDENCYPART_SIBL
(24,19),(24,21),-0.0172348 # DEPENDENCYPART_SIBL
(24,19),(24,23),0.136705 # DEPENDENCYPART_SIBL
(24,20),(24,21),-0.0413933 # DEPENDENCYPART_SIBL
(24,20),(24,23),0.0912006 # DEPENDENCYPART_SIBL
(24,21),(24,23),0.193466 # DEPENDENCYPART_SIBL
(0,15),(15,1),0.0314744 # DEPENDENCYPART_GRANDPAR
(0,15),(15,2),0.379345 # DEPENDENCYPART_GRANDPAR
(0,15),(15,3),-0.0487832 # DEPENDENCYPART_GRANDPAR
(0,15),(15,4),0.214976 # DEPENDENCYPART_GRANDPAR
(0,15),(15,5),-0.517739 # DEPENDENCYPART_GRANDPAR
(0,15),(15,6),-0.143444 # DEPENDENCYPART_GRANDPAR
(0,15),(15,7),-0.138939 # DEPENDENCYPART_GRANDPAR
(0,15),(15,8),0.0446417 # DEPENDENCYPART_GRANDPAR
(0,15),(15,9),-0.0291929 # DEPENDENCYPART_GRANDPAR
(0,15),(15,10),0.137982 # DEPENDENCYPART_GRANDPAR
(0,15),(15,11),0.156776 # DEPENDENCYPART_GRANDPAR
(0,15),(15,12),-0.0895499 # DEPENDENCYPART_GRANDPAR
(0,15),(15,13),-0.520547 # DEPENDENCYPART_GRANDPAR
(0,15),(15,14),-0.143698 # DEPENDENCYPART_GRANDPAR
(0,15),(15,16),0.0249968 # DEPENDENCYPART_GRANDPAR
(0,15),(15,17),0.426265 # DEPENDENCYPART_GRANDPAR
(0,15),(15,18),0.419046 # DEPENDENCYPART_GRANDPAR
(0,15),(15,19),0.301213 # DEPENDENCYPART_GRANDPAR
(0,15),(15,20),-0.313979 # DEPENDENCYPART_GRANDPAR
(0,15),(15,21),-0.23211 # DEPENDENCYPART_GRANDPAR
(0,15),(15,22),0.347288 # DEPENDENCYPART_GRANDPAR
(0,15),(15,23),-0.170808 # DEPENDENCYPART_GRANDPAR
(0,15),(15,24),-0.0736163 # DEPENDENCYPART_GRANDPAR
(0,15),(15,25),2.52236 # DEPENDENCYPART_GRANDPAR
(0,16),(16,8),0.162597 # DEPENDENCYPART_GRANDPAR
(0,16),(16,9),0.0971447 # DEPENDENCYPART_GRANDPAR
(0,16),(16,10),0.255937 # DEPENDENCYPART_GRANDPAR
(0,16),(16,11),0.271394 # DEPENDENCYPART_GRANDPAR
(0,16),(16,13),-0.395146 # DEPENDENCYPART_GRANDPAR
(0,16),(16,14),0.0545167 # DEPENDENCYPART_GRANDPAR
(0,16),(16,15),1.0595 # DEPENDENCYPART_GRANDPAR
(0,16),(16,17),0.468949 # DEPENDENCYPART_GRANDPAR
(0,16),(16,18),0.469794 # DEPENDENCYPART_GRANDPAR
(0,16),(16,24),-0.127034 # DEPENDENCYPART_GRANDPAR
(0,18),(18,2),0.564892 # DEPENDENCYPART_GRANDPAR
(0,18),(18,3),0.208265 # DEPENDENCYPART_GRANDPAR
(0,18),(18,4),0.400836 # DEPENDENCYPART_GRANDPAR
(0,18),(18,6),0.113604 # DEPENDENCYPART_GRANDPAR
(0,18),(18,7),0.0562464 # DEPENDENCYPART_GRANDPAR
(0,18),(18,8),0.230502 # DEPENDENCYPART_GRANDPAR
(0,18),(18,9),0.165483 # DEPENDENCYPART_GRANDPAR
(0,18),(18,10),0.323842 # DEPENDENCYPART_GRANDPAR
(0,18),(18,11),0.826468 # DEPENDENCYPART_GRANDPAR
(0,18),(18,12),0.166326 # DEPENDENCYPART_GRANDPAR
(0,18),(18,13),-0.328256 # DEPENDENCYPART_GRANDPAR
(0,18),(18,14),0.0343269 # DEPENDENCYPART_GRANDPAR
(0,18),(18,15),1.22244 # DEPENDENCYPART_GRANDPAR
(0,18),(18,17),0.936667 # DEPENDENCYPART_GRANDPAR
(0,18),(18,19),0.464183 # DEPENDENCYPART_GRANDPAR
(0,18),(18,21),-0.259456 # DEPENDENCYPART_GRANDPAR
(0,18),(18,22),0.778718 # DEPENDENCYPART_GRANDPAR
(0,18),(18,24),-0.100962 # DEPENDENCYPART_GRANDPAR
(0,18),(18,25),2.65072 # DEPENDENCYPART_GRANDPAR
(0,19),(19,14),0.0435964 # DEPENDENCYPART_GRANDPAR
(0,19),(19,15),1.00952 # DEPENDENCYPART_GRANDPAR
(0,19),(19,17),0.529183 # DEPENDENCYPART_GRANDPAR
(0,19),(19,18),0.749099 # DEPENDENCYPART_GRANDPAR
(0,19),(19,20),-0.489259 # DEPENDENCYPART_GRANDPAR
(0,19),(19,21),-0.378749 # DEPENDENCYPART_GRANDPAR
(0,19),(19,22),0.197085 # DEPENDENCYPART_GRANDPAR
(0,19),(19,23),-0.313704 # DEPENDENCYPART_GRANDPAR
(0,19),(19,24),-0.220255 # DEPENDENCYPART_GRANDPAR
(0,19),(19,25),2.14549 # DEPENDENCYPART_GRANDPAR
(0,20),(20,15),0.948935 # DEPENDENCYPART_GRANDPAR
(0,20),(20,18),0.679218 # DEPENDENCYPART_GRANDPAR
(0,20),(20,19),0.283768 # DEPENDENCYPART_GRANDPAR
(0,20),(20,22),0.134239 # DEPENDENCYPART_GRANDPAR
(0,20),(20,24),-0.221412 # DEPENDENCYPART_GRANDPAR
(0,22),(22,2),0.38216 # DEPENDENCYPART_GRANDPAR
(0,22),(22,3),-0.0459677 # DEPENDENCYPART_GRANDPAR
(0,22),(22,4),0.217792 # DEPENDENCYPART_GRANDPAR
(0,22),(22,6),-0.140629 # DEPENDENCYPART_GRANDPAR
(0,22),(22,7),-0.136123 # DEPENDENCYPART_GRANDPAR
(0,22),(22,8),0.0474572 # DEPENDENCYPART_GRANDPAR
(0,22),(22,9),-0.0263774 # DEPENDENCYPART_GRANDPAR
(0,22),(22,10),0.140798 # DEPENDENCYPART_GRANDPAR
(0,22),(22,11),0.159591 # DEPENDENCYPART_GRANDPAR
(0,22),(22,12),-0.0867345 # DEPENDENCYPART_GRANDPAR
(0,22),(22,13),-0.517732 # DEPENDENCYPART_GRANDPAR
(0,22),(22,14),-0.140882 # DEPENDENCYPART_GRANDPAR
(0,22),(22,15),0.700471 # DEPENDENCYPART_GRANDPAR
(0,22),(22,16),-0.1223 # DEPENDENCYPART_GRANDPAR
(0,22),(22,17),0.26979 # DEPENDENCYPART_GRANDPAR
