# _root_ berrogei urte hor_nonbait kalkulatu zizkion , gizonak gaztaroa aspaldi utzi eta heldutasunaren goi_mailara heltzen direneko adina , nahiz_eta arintasun fisikoa jadanik gain_behera joan .
#goldHeads=2,4,4,0,4,5,10,10,10,11,16,13,14,11,14,2,16,0,23,19,23,23,4,23,
#predictedHeads=2,4,4,11,4,5,10,10,10,11,0,13,14,11,14,14,16,0,23,19,23,23,14,23,
(14,16),(14,21),-0.0023908 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.00230077 # DEPENDENCYPART_SIBL
(14,16),(14,23),-0.0138811 # DEPENDENCYPART_SIBL
(14,17),(14,18),-0.0531074 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.0970364 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.0643255 # DEPENDENCYPART_SIBL
(14,17),(14,21),-0.184046 # DEPENDENCYPART_SIBL
(14,17),(14,22),-0.183461 # DEPENDENCYPART_SIBL
(14,17),(14,23),-0.0385745 # DEPENDENCYPART_SIBL
(14,18),(14,19),-0.0149916 # DEPENDENCYPART_SIBL
(14,18),(14,20),0.000692346 # DEPENDENCYPART_SIBL
(14,18),(14,21),0.02741 # DEPENDENCYPART_SIBL
(14,18),(14,22),0.021951 # DEPENDENCYPART_SIBL
(14,18),(14,23),-0.00835325 # DEPENDENCYPART_SIBL
(14,19),(14,20),-0.00766809 # DEPENDENCYPART_SIBL
(14,19),(14,21),-0.0023908 # DEPENDENCYPART_SIBL
(14,19),(14,22),-0.00230077 # DEPENDENCYPART_SIBL
(14,19),(14,23),-0.0138809 # DEPENDENCYPART_SIBL
(14,20),(14,21),0.0329977 # DEPENDENCYPART_SIBL
(14,20),(14,22),0.0330859 # DEPENDENCYPART_SIBL
(14,20),(14,23),-0.00483936 # DEPENDENCYPART_SIBL
(14,21),(14,22),-0.00835719 # DEPENDENCYPART_SIBL
(14,21),(14,23),-0.0187209 # DEPENDENCYPART_SIBL
(14,22),(14,23),-0.0226434 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.071277 # DEPENDENCYPART_SIBL
(16,10),(16,11),0.0663881 # DEPENDENCYPART_SIBL
(16,10),(16,12),0.0296295 # DEPENDENCYPART_SIBL
(16,10),(16,13),0.0296295 # DEPENDENCYPART_SIBL
(16,10),(16,14),-0.049639 # DEPENDENCYPART_SIBL
(16,10),(16,15),-0.00854206 # DEPENDENCYPART_SIBL
(16,10),(16,17),-0.00474698 # DEPENDENCYPART_SIBL
(16,10),(16,18),0.00588544 # DEPENDENCYPART_SIBL
(16,10),(16,19),-0.0104734 # DEPENDENCYPART_SIBL
(16,10),(16,20),0.0155885 # DEPENDENCYPART_SIBL
(16,10),(16,21),0.00270256 # DEPENDENCYPART_SIBL
(16,10),(16,22),0.00990691 # DEPENDENCYPART_SIBL
(16,10),(16,23),0.0362891 # DEPENDENCYPART_SIBL
(16,10),(16,24),-0.0372397 # DEPENDENCYPART_SIBL
(16,11),(16,12),-0.107484 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.107484 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.12615 # DEPENDENCYPART_SIBL
(16,11),(16,15),-0.0690259 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.051318 # DEPENDENCYPART_SIBL
(16,11),(16,18),0.015691 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.0227569 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.0504345 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.0498631 # DEPENDENCYPART_SIBL
(16,11),(16,22),-0.0430282 # DEPENDENCYPART_SIBL
(16,11),(16,23),0.00148733 # DEPENDENCYPART_SIBL
(16,11),(16,24),-0.0591 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.00783131 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.0131457 # DEPENDENCYPART_SIBL
(16,12),(16,15),-0.00316401 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.0483478 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.00461192 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.00621019 # DEPENDENCYPART_SIBL
(16,12),(16,20),-0.0080158 # DEPENDENCYPART_SIBL
(16,12),(16,21),-0.0494462 # DEPENDENCYPART_SIBL
(16,12),(16,22),-0.0302835 # DEPENDENCYPART_SIBL
(16,12),(16,23),0.0191506 # DEPENDENCYPART_SIBL
(16,12),(16,24),-0.0274133 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.0131457 # DEPENDENCYPART_SIBL
(16,13),(16,15),-0.00316401 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.0483478 # DEPENDENCYPART_SIBL
(16,13),(16,18),0.00461192 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.00621019 # DEPENDENCYPART_SIBL
(16,13),(16,20),-0.0080158 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.0494462 # DEPENDENCYPART_SIBL
(16,13),(16,22),-0.0302835 # DEPENDENCYPART_SIBL
(16,13),(16,23),0.0191506 # DEPENDENCYPART_SIBL
(16,13),(16,24),-0.0274133 # DEPENDENCYPART_SIBL
(16,14),(16,15),-0.00744624 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0029932 # DEPENDENCYPART_SIBL
(16,14),(16,18),0.0033802 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.000666955 # DEPENDENCYPART_SIBL
(16,14),(16,20),0.0120224 # DEPENDENCYPART_SIBL
(16,14),(16,21),0.00068558 # DEPENDENCYPART_SIBL
(16,14),(16,22),0.00788993 # DEPENDENCYPART_SIBL
(16,14),(16,23),0.0301742 # DEPENDENCYPART_SIBL
(16,14),(16,24),-0.037191 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.00803387 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0195053 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0300525 # DEPENDENCYPART_SIBL
(16,15),(16,20),-0.0278745 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.0366276 # DEPENDENCYPART_SIBL
(16,15),(16,22),-0.0304346 # DEPENDENCYPART_SIBL
(16,15),(16,23),0.0188456 # DEPENDENCYPART_SIBL
(16,15),(16,24),-0.0278324 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0423454 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.049334 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.028174 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.137187 # DEPENDENCYPART_SIBL
(16,17),(16,22),-0.136642 # DEPENDENCYPART_SIBL
(16,17),(16,23),-0.0413815 # DEPENDENCYPART_SIBL
(16,17),(16,24),-0.224837 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.0156573 # DEPENDENCYPART_SIBL
(16,18),(16,20),0.00432544 # DEPENDENCYPART_SIBL
(16,18),(16,21),0.0357949 # DEPENDENCYPART_SIBL
(16,18),(16,22),0.0302952 # DEPENDENCYPART_SIBL
(16,18),(16,23),-0.0199733 # DEPENDENCYPART_SIBL
(16,18),(16,24),-0.07478 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.00483983 # DEPENDENCYPART_SIBL
(16,19),(16,21),0.0221262 # DEPENDENCYPART_SIBL
(16,19),(16,22),0.022175 # DEPENDENCYPART_SIBL
(16,19),(16,23),-0.0353371 # DEPENDENCYPART_SIBL
(16,19),(16,24),-0.0887528 # DEPENDENCYPART_SIBL
(16,20),(16,21),0.0579171 # DEPENDENCYPART_SIBL
(16,20),(16,22),0.0579647 # DEPENDENCYPART_SIBL
(16,20),(16,23),-0.0450104 # DEPENDENCYPART_SIBL
(16,20),(16,24),-0.0776367 # DEPENDENCYPART_SIBL
(16,21),(16,22),0.0107831 # DEPENDENCYPART_SIBL
(16,21),(16,23),-0.013465 # DEPENDENCYPART_SIBL
(16,21),(16,24),-0.0888922 # DEPENDENCYPART_SIBL
(16,22),(16,23),-0.0172902 # DEPENDENCYPART_SIBL
(16,22),(16,24),-0.0886223 # DEPENDENCYPART_SIBL
(16,23),(16,24),-0.0695889 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.0308262 # DEPENDENCYPART_SIBL
(17,14),(17,19),0.0961931 # DEPENDENCYPART_SIBL
(17,14),(17,20),0.128422 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.0393022 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.0181942 # DEPENDENCYPART_SIBL
(17,19),(17,20),0.0473212 # DEPENDENCYPART_SIBL
(18,10),(18,14),-0.0218255 # DEPENDENCYPART_SIBL
(18,10),(18,17),-0.0865583 # DEPENDENCYPART_SIBL
(18,10),(18,19),-0.108971 # DEPENDENCYPART_SIBL
(18,10),(18,23),0.0677054 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.0848369 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.0898384 # DEPENDENCYPART_SIBL
(18,14),(18,23),0.0641162 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0215557 # DEPENDENCYPART_SIBL
(18,17),(18,23),-0.012797 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.101899 # DEPENDENCYPART_SIBL
(19,14),(19,16),0.0319319 # DEPENDENCYPART_SIBL
(19,14),(19,17),-0.012718 # DEPENDENCYPART_SIBL
(19,14),(19,20),0.0120224 # DEPENDENCYPART_SIBL
(19,14),(19,21),0.00068558 # DEPENDENCYPART_SIBL
(19,14),(19,22),0.00788993 # DEPENDENCYPART_SIBL
(19,14),(19,23),0.0301742 # DEPENDENCYPART_SIBL
(19,14),(19,24),-0.037191 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.0259473 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.0080158 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.0494462 # DEPENDENCYPART_SIBL
(19,16),(19,22),-0.0302835 # DEPENDENCYPART_SIBL
(19,16),(19,23),0.0175078 # DEPENDENCYPART_SIBL
(19,16),(19,24),-0.0290679 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0288967 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.0536769 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.046404 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.0392793 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.0822575 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.0579171 # DEPENDENCYPART_SIBL
(19,20),(19,22),0.0579647 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.0450104 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.0776367 # DEPENDENCYPART_SIBL
(19,21),(19,22),0.0107831 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.013465 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.0888922 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.0172902 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.0886223 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.0695889 # DEPENDENCYPART_SIBL
(20,13),(20,16),0.054671 # DEPENDENCYPART_SIBL
(20,13),(20,19),0.0538948 # DEPENDENCYPART_SIBL
(20,13),(20,21),0.0138227 # DEPENDENCYPART_SIBL
(20,13),(20,22),0.0206037 # DEPENDENCYPART_SIBL
(20,13),(20,23),0.0235934 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.0517173 # DEPENDENCYPART_SIBL
(20,16),(20,21),0.0138227 # DEPENDENCYPART_SIBL
(20,16),(20,22),0.0206037 # DEPENDENCYPART_SIBL
(20,16),(20,23),0.0219506 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.0138227 # DEPENDENCYPART_SIBL
(20,19),(20,22),0.0206037 # DEPENDENCYPART_SIBL
(20,19),(20,23),0.0235934 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.0135679 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.0130203 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.016957 # DEPENDENCYPART_SIBL
(21,16),(21,18),0.0121032 # DEPENDENCYPART_SIBL
(21,16),(21,19),0.0104817 # DEPENDENCYPART_SIBL
(21,16),(21,22),-0.000394528 # DEPENDENCYPART_SIBL
(21,18),(21,19),-0.0275361 # DEPENDENCYPART_SIBL
(21,18),(21,22),-0.0135239 # DEPENDENCYPART_SIBL
(21,19),(21,22),-0.000394528 # DEPENDENCYPART_SIBL
(22,18),(22,19),-0.0275361 # DEPENDENCYPART_SIBL
(22,18),(22,21),0.0180427 # DEPENDENCYPART_SIBL
(22,18),(22,23),0.0110307 # DEPENDENCYPART_SIBL
(22,18),(22,24),-0.0364994 # DEPENDENCYPART_SIBL
(22,19),(22,21),0.0531858 # DEPENDENCYPART_SIBL
(22,19),(22,23),0.0185943 # DEPENDENCYPART_SIBL
(22,19),(22,24),-0.00431006 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.0324234 # DEPENDENCYPART_SIBL
(22,21),(22,24),0.0279615 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.0120276 # DEPENDENCYPART_SIBL
(23,2),(23,3),-0.0167679 # DEPENDENCYPART_SIBL
(23,2),(23,4),0.00909961 # DEPENDENCYPART_SIBL
(23,2),(23,7),-0.019275 # DEPENDENCYPART_SIBL
(23,2),(23,8),-0.0192744 # DEPENDENCYPART_SIBL
(23,2),(23,9),-0.0206675 # DEPENDENCYPART_SIBL
(23,2),(23,10),0.0172467 # DEPENDENCYPART_SIBL
(23,2),(23,11),0.0381533 # DEPENDENCYPART_SIBL
(23,2),(23,12),-0.0192744 # DEPENDENCYPART_SIBL
(23,2),(23,13),-0.0192744 # DEPENDENCYPART_SIBL
(23,2),(23,14),0.00909961 # DEPENDENCYPART_SIBL
(23,2),(23,15),0.00916864 # DEPENDENCYPART_SIBL
(23,2),(23,16),-0.0203085 # DEPENDENCYPART_SIBL
(23,2),(23,17),-0.0688619 # DEPENDENCYPART_SIBL
(23,2),(23,18),-0.00136035 # DEPENDENCYPART_SIBL
(23,2),(23,19),-0.0192744 # DEPENDENCYPART_SIBL
(23,2),(23,20),-0.0178456 # DEPENDENCYPART_SIBL
(23,2),(23,21),0.0139507 # DEPENDENCYPART_SIBL
(23,2),(23,22),-0.0167679 # DEPENDENCYPART_SIBL
(23,2),(23,24),0.0606497 # DEPENDENCYPART_SIBL
(23,3),(23,4),0.019528 # DEPENDENCYPART_SIBL
(23,3),(23,7),0.00607295 # DEPENDENCYPART_SIBL
(23,3),(23,8),0.00607314 # DEPENDENCYPART_SIBL
(23,3),(23,9),-0.040726 # DEPENDENCYPART_SIBL
(23,3),(23,10),0.0118597 # DEPENDENCYPART_SIBL
(23,3),(23,11),0.0307096 # DEPENDENCYPART_SIBL
(23,3),(23,12),0.00607314 # DEPENDENCYPART_SIBL
(23,3),(23,13),0.00607314 # DEPENDENCYPART_SIBL
(23,3),(23,14),0.019528 # DEPENDENCYPART_SIBL
(23,3),(23,15),0.0301734 # DEPENDENCYPART_SIBL
(23,3),(23,16),0.00514806 # DEPENDENCYPART_SIBL
(23,3),(23,17),-0.036643 # DEPENDENCYPART_SIBL
(23,3),(23,18),0.0134016 # DEPENDENCYPART_SIBL
(23,3),(23,19),0.00607314 # DEPENDENCYPART_SIBL
(23,3),(23,20),0.0129733 # DEPENDENCYPART_SIBL
(23,3),(23,21),-0.0112973 # DEPENDENCYPART_SIBL
(23,3),(23,22),-0.0375066 # DEPENDENCYPART_SIBL
(23,3),(23,24),0.127042 # DEPENDENCYPART_SIBL
(23,4),(23,7),0.0164468 # DEPENDENCYPART_SIBL
(23,4),(23,8),0.016447 # DEPENDENCYPART_SIBL
(23,4),(23,9),-0.00299281 # DEPENDENCYPART_SIBL
(23,4),(23,10),-0.024293 # DEPENDENCYPART_SIBL
(23,4),(23,11),0.00631574 # DEPENDENCYPART_SIBL
(23,4),(23,12),0.016447 # DEPENDENCYPART_SIBL
(23,4),(23,13),0.016447 # DEPENDENCYPART_SIBL
(23,4),(23,14),-0.0171549 # DEPENDENCYPART_SIBL
(23,4),(23,15),-0.00883157 # DEPENDENCYPART_SIBL
(23,4),(23,16),0.0145966 # DEPENDENCYPART_SIBL
(23,4),(23,17),-0.0746875 # DEPENDENCYPART_SIBL
(23,4),(23,18),-0.00142919 # DEPENDENCYPART_SIBL
(23,4),(23,19),0.016447 # DEPENDENCYPART_SIBL
(23,4),(23,20),0.00518392 # DEPENDENCYPART_SIBL
(23,4),(23,21),0.0141004 # DEPENDENCYPART_SIBL
(23,4),(23,22),0.000226651 # DEPENDENCYPART_SIBL
(23,4),(23,24),-0.0330899 # DEPENDENCYPART_SIBL
(23,7),(23,8),-0.0162828 # DEPENDENCYPART_SIBL
(23,7),(23,9),-0.0205211 # DEPENDENCYPART_SIBL
(23,7),(23,10),0.0216959 # DEPENDENCYPART_SIBL
(23,7),(23,11),0.0202912 # DEPENDENCYPART_SIBL
(23,7),(23,12),-0.0162828 # DEPENDENCYPART_SIBL
(23,7),(23,13),-0.0162828 # DEPENDENCYPART_SIBL
(23,7),(23,14),0.0135488 # DEPENDENCYPART_SIBL
(23,7),(23,15),0.0125356 # DEPENDENCYPART_SIBL
(23,7),(23,16),-0.0173169 # DEPENDENCYPART_SIBL
(23,7),(23,17),-0.0676519 # DEPENDENCYPART_SIBL
(23,7),(23,18),-0.0157338 # DEPENDENCYPART_SIBL
(23,7),(23,19),-0.0162828 # DEPENDENCYPART_SIBL
(23,7),(23,20),-0.0151832 # DEPENDENCYPART_SIBL
(23,7),(23,21),0.0140972 # DEPENDENCYPART_SIBL
(23,7),(23,22),-0.0166214 # DEPENDENCYPART_SIBL
(23,7),(23,24),0.0363175 # DEPENDENCYPART_SIBL
(23,8),(23,9),-0.0196246 # DEPENDENCYPART_SIBL
(23,8),(23,10),0.01594 # DEPENDENCYPART_SIBL
(23,8),(23,11),0.0190536 # DEPENDENCYPART_SIBL
(23,8),(23,12),-0.0144719 # DEPENDENCYPART_SIBL
(23,8),(23,13),-0.0144719 # DEPENDENCYPART_SIBL
(23,8),(23,14),0.00779286 # DEPENDENCYPART_SIBL
(23,8),(23,15),0.0091271 # DEPENDENCYPART_SIBL
(23,8),(23,16),-0.015506 # DEPENDENCYPART_SIBL
(23,8),(23,17),-0.0688895 # DEPENDENCYPART_SIBL
(23,8),(23,18),-0.0169714 # DEPENDENCYPART_SIBL
(23,8),(23,19),-0.0144719 # DEPENDENCYPART_SIBL
(23,8),(23,20),-0.0164208 # DEPENDENCYPART_SIBL
(23,8),(23,21),0.0149937 # DEPENDENCYPART_SIBL
(23,8),(23,22),-0.015725 # DEPENDENCYPART_SIBL
(23,8),(23,24),0.0328116 # DEPENDENCYPART_SIBL
(23,9),(23,10),0.0118597 # DEPENDENCYPART_SIBL
(23,9),(23,11),0.0307096 # DEPENDENCYPART_SIBL
(23,9),(23,12),0.00607314 # DEPENDENCYPART_SIBL
(23,9),(23,13),0.00607314 # DEPENDENCYPART_SIBL
(23,9),(23,14),0.019528 # DEPENDENCYPART_SIBL
(23,9),(23,15),0.0301734 # DEPENDENCYPART_SIBL
(23,9),(23,16),0.00514806 # DEPENDENCYPART_SIBL
(23,9),(23,17),-0.036643 # DEPENDENCYPART_SIBL
(23,9),(23,18),0.0134016 # DEPENDENCYPART_SIBL
(23,9),(23,19),0.00607314 # DEPENDENCYPART_SIBL
(23,9),(23,20),0.0129733 # DEPENDENCYPART_SIBL
(23,9),(23,21),-0.0112973 # DEPENDENCYPART_SIBL
(23,9),(23,22),-0.0375066 # DEPENDENCYPART_SIBL
(23,9),(23,24),0.123593 # DEPENDENCYPART_SIBL
(23,10),(23,11),7.99892e-05 # DEPENDENCYPART_SIBL
(23,10),(23,12),0.0211002 # DEPENDENCYPART_SIBL
(23,10),(23,13),0.0211002 # DEPENDENCYPART_SIBL
(23,10),(23,14),-0.0240871 # DEPENDENCYPART_SIBL
(23,10),(23,15),-0.00978484 # DEPENDENCYPART_SIBL
(23,10),(23,16),0.0192497 # DEPENDENCYPART_SIBL
(23,10),(23,17),-0.0755455 # DEPENDENCYPART_SIBL
(23,10),(23,18),-0.00487902 # DEPENDENCYPART_SIBL
(23,10),(23,19),0.0211002 # DEPENDENCYPART_SIBL
(23,10),(23,20),0.00431715 # DEPENDENCYPART_SIBL
(23,10),(23,21),0.0130157 # DEPENDENCYPART_SIBL
(23,10),(23,22),-0.000857979 # DEPENDENCYPART_SIBL
(23,10),(23,24),-0.0538351 # DEPENDENCYPART_SIBL
(23,11),(23,12),-0.100616 # DEPENDENCYPART_SIBL
(23,11),(23,13),-0.100616 # DEPENDENCYPART_SIBL
(23,11),(23,14),-0.0336669 # DEPENDENCYPART_SIBL
(23,11),(23,15),-0.0471791 # DEPENDENCYPART_SIBL
(23,11),(23,16),-0.101521 # DEPENDENCYPART_SIBL
(23,11),(23,17),-0.0899084 # DEPENDENCYPART_SIBL
(23,11),(23,18),-0.0336013 # DEPENDENCYPART_SIBL
(23,11),(23,19),-0.100616 # DEPENDENCYPART_SIBL
(23,11),(23,20),-0.0605453 # DEPENDENCYPART_SIBL
(23,11),(23,21),-0.0138577 # DEPENDENCYPART_SIBL
(23,11),(23,22),-0.0278351 # DEPENDENCYPART_SIBL
(23,11),(23,24),-0.0306966 # DEPENDENCYPART_SIBL
(23,12),(23,13),-0.0144719 # DEPENDENCYPART_SIBL
(23,12),(23,14),0.00779286 # DEPENDENCYPART_SIBL
(23,12),(23,15),0.0091271 # DEPENDENCYPART_SIBL
(23,12),(23,16),-0.015506 # DEPENDENCYPART_SIBL
(23,12),(23,17),-0.0688895 # DEPENDENCYPART_SIBL
(23,12),(23,18),-0.0169714 # DEPENDENCYPART_SIBL
(23,12),(23,19),-0.0144719 # DEPENDENCYPART_SIBL
(23,12),(23,20),-0.0164208 # DEPENDENCYPART_SIBL
(23,12),(23,21),0.0149937 # DEPENDENCYPART_SIBL
(23,12),(23,22),-0.015725 # DEPENDENCYPART_SIBL
(23,12),(23,24),0.0328116 # DEPENDENCYPART_SIBL
(23,13),(23,14),0.00779286 # DEPENDENCYPART_SIBL
(23,13),(23,15),0.0091271 # DEPENDENCYPART_SIBL
(23,13),(23,16),-0.015506 # DEPENDENCYPART_SIBL
(23,13),(23,17),-0.0688895 # DEPENDENCYPART_SIBL
(23,13),(23,18),-0.0169714 # DEPENDENCYPART_SIBL
(23,13),(23,19),-0.0144719 # DEPENDENCYPART_SIBL
(23,13),(23,20),-0.0164208 # DEPENDENCYPART_SIBL
(23,13),(23,21),0.0149937 # DEPENDENCYPART_SIBL
(23,13),(23,22),-0.015725 # DEPENDENCYPART_SIBL
(23,13),(23,24),0.0328116 # DEPENDENCYPART_SIBL
(23,14),(23,15),-0.00883157 # DEPENDENCYPART_SIBL
(23,14),(23,16),0.0145966 # DEPENDENCYPART_SIBL
(23,14),(23,17),-0.0746875 # DEPENDENCYPART_SIBL
(23,14),(23,18),-0.00142919 # DEPENDENCYPART_SIBL
(23,14),(23,19),0.016447 # DEPENDENCYPART_SIBL
(23,14),(23,20),0.00518392 # DEPENDENCYPART_SIBL
(23,14),(23,21),0.0141004 # DEPENDENCYPART_SIBL
(23,14),(23,22),0.000226651 # DEPENDENCYPART_SIBL
(23,14),(23,24),-0.0331028 # DEPENDENCYPART_SIBL
(23,15),(23,16),0.0106889 # DEPENDENCYPART_SIBL
(23,15),(23,17),-0.0402613 # DEPENDENCYPART_SIBL
(23,15),(23,18),0.00747021 # DEPENDENCYPART_SIBL
(23,15),(23,19),0.0115941 # DEPENDENCYPART_SIBL
(23,15),(23,20),-0.00784836 # DEPENDENCYPART_SIBL
(23,15),(23,21),0.0267664 # DEPENDENCYPART_SIBL
(23,15),(23,22),0.00973406 # DEPENDENCYPART_SIBL
(23,15),(23,24),0.102096 # DEPENDENCYPART_SIBL
(23,16),(23,17),-0.0694649 # DEPENDENCYPART_SIBL
(23,16),(23,18),-0.0175468 # DEPENDENCYPART_SIBL
(23,16),(23,19),-0.0172248 # DEPENDENCYPART_SIBL
(23,16),(23,20),-0.0169962 # DEPENDENCYPART_SIBL
(23,16),(23,21),0.0144183 # DEPENDENCYPART_SIBL
(23,16),(23,22),-0.0163004 # DEPENDENCYPART_SIBL
(23,16),(23,24),0.0278771 # DEPENDENCYPART_SIBL
(23,17),(23,18),-0.0902993 # DEPENDENCYPART_SIBL
(23,17),(23,19),-0.164514 # DEPENDENCYPART_SIBL
(23,17),(23,20),-0.0971265 # DEPENDENCYPART_SIBL
(23,17),(23,21),-0.103846 # DEPENDENCYPART_SIBL
(23,17),(23,22),-0.117823 # DEPENDENCYPART_SIBL
(23,17),(23,24),-0.0174912 # DEPENDENCYPART_SIBL
(23,18),(23,19),-0.0214101 # DEPENDENCYPART_SIBL
(23,18),(23,20),0.00168902 # DEPENDENCYPART_SIBL
(23,18),(23,21),0.01816 # DEPENDENCYPART_SIBL
(23,18),(23,22),0.00418269 # DEPENDENCYPART_SIBL
(23,18),(23,24),0.0347648 # DEPENDENCYPART_SIBL
(23,19),(23,20),-0.0164208 # DEPENDENCYPART_SIBL
(23,19),(23,21),0.0149937 # DEPENDENCYPART_SIBL
(23,19),(23,22),-0.015725 # DEPENDENCYPART_SIBL
(23,19),(23,24),0.0328116 # DEPENDENCYPART_SIBL
(23,20),(23,21),-0.00798857 # DEPENDENCYPART_SIBL
(23,20),(23,22),-0.0219659 # DEPENDENCYPART_SIBL
(23,20),(23,24),0.0119205 # DEPENDENCYPART_SIBL
(23,21),(23,22),-0.0431818 # DEPENDENCYPART_SIBL
(23,21),(23,24),0.13008 # DEPENDENCYPART_SIBL
(23,22),(23,24),0.127042 # DEPENDENCYPART_SIBL
(0,1),(1,2),0.0362096 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.236447 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),-0.196399 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),0.22754 # DEPENDENCYPART_GRANDPAR
(0,2),(2,11),0.230722 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.121236 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),0.239975 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),-0.0601651 # DEPENDENCYPART_GRANDPAR
(0,3),(3,21),-0.104208 # DEPENDENCYPART_GRANDPAR
(0,3),(3,22),-0.544949 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),0.230424 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),0.160661 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),-0.058302 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),0.480665 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),0.0315542 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),0.229344 # DEPENDENCYPART_GRANDPAR
(0,4),(4,8),0.0736885 # DEPENDENCYPART_GRANDPAR
(0,4),(4,9),-0.136425 # DEPENDENCYPART_GRANDPAR
(0,4),(4,10),0.202201 # DEPENDENCYPART_GRANDPAR
(0,4),(4,11),0.37456 # DEPENDENCYPART_GRANDPAR
(0,4),(4,12),-0.238193 # DEPENDENCYPART_GRANDPAR
(0,4),(4,13),-0.171535 # DEPENDENCYPART_GRANDPAR
(0,4),(4,14),0.147663 # DEPENDENCYPART_GRANDPAR
(0,4),(4,15),-0.672434 # DEPENDENCYPART_GRANDPAR
(0,4),(4,16),0.331991 # DEPENDENCYPART_GRANDPAR
(0,4),(4,19),-0.0672848 # DEPENDENCYPART_GRANDPAR
(0,4),(4,23),0.043 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),0.078259 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),-0.18799 # DEPENDENCYPART_GRANDPAR
