# _root_ jarritako helburuetan lan_egiteko , hamabost kidek osatutako batzorde iraunkorra izendatu zen , eta horiek bost lan batzordetan lan_egin dute ordutik_hona .
#goldHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,16,17,18,16,13,18,18,20,
#predictedHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,18,16,17,18,13,18,18,20,
(0,7),(7,5),0.0153245 # DEPENDENCYPART_GRANDPAR
(0,7),(7,6),-0.0958994 # DEPENDENCYPART_GRANDPAR
(0,7),(7,8),0.171644 # DEPENDENCYPART_GRANDPAR
(0,7),(7,9),-0.0934809 # DEPENDENCYPART_GRANDPAR
(0,7),(7,10),0.259589 # DEPENDENCYPART_GRANDPAR
(0,7),(7,11),0.317268 # DEPENDENCYPART_GRANDPAR
(0,7),(7,12),-0.114148 # DEPENDENCYPART_GRANDPAR
(0,7),(7,16),0.0829405 # DEPENDENCYPART_GRANDPAR
(0,7),(7,17),0.104368 # DEPENDENCYPART_GRANDPAR
(0,7),(7,18),-0.220678 # DEPENDENCYPART_GRANDPAR
(0,7),(7,19),0.202994 # DEPENDENCYPART_GRANDPAR
(0,9),(9,2),-0.0424103 # DEPENDENCYPART_GRANDPAR
(0,9),(9,6),-0.102474 # DEPENDENCYPART_GRANDPAR
(0,9),(9,7),-0.126054 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),0.0109632 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),0.215202 # DEPENDENCYPART_GRANDPAR
(0,9),(9,12),-0.0810416 # DEPENDENCYPART_GRANDPAR
(0,10),(10,1),0.103027 # DEPENDENCYPART_GRANDPAR
(0,10),(10,2),-0.0214732 # DEPENDENCYPART_GRANDPAR
(0,10),(10,3),0.133548 # DEPENDENCYPART_GRANDPAR
(0,10),(10,4),0.0741947 # DEPENDENCYPART_GRANDPAR
(0,10),(10,5),0.0140232 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),-0.0936722 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),-0.11437 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),0.0576296 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),-0.279508 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),0.317421 # DEPENDENCYPART_GRANDPAR
(0,10),(10,12),-0.114011 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),0.222381 # DEPENDENCYPART_GRANDPAR
(0,10),(10,15),-0.121832 # DEPENDENCYPART_GRANDPAR
(0,10),(10,16),0.0883278 # DEPENDENCYPART_GRANDPAR
(0,10),(10,17),0.109756 # DEPENDENCYPART_GRANDPAR
(0,10),(10,18),-0.219967 # DEPENDENCYPART_GRANDPAR
(0,10),(10,19),0.203147 # DEPENDENCYPART_GRANDPAR
(0,10),(10,20),0.092693 # DEPENDENCYPART_GRANDPAR
(0,11),(11,8),-0.0500218 # DEPENDENCYPART_GRANDPAR
(0,11),(11,9),-0.422245 # DEPENDENCYPART_GRANDPAR
(0,11),(11,12),-0.120343 # DEPENDENCYPART_GRANDPAR
(0,11),(11,13),0.134611 # DEPENDENCYPART_GRANDPAR
(0,11),(11,19),-0.101475 # DEPENDENCYPART_GRANDPAR
(0,12),(12,7),0.0706744 # DEPENDENCYPART_GRANDPAR
(0,12),(12,11),-0.193967 # DEPENDENCYPART_GRANDPAR
(0,12),(12,13),0.313719 # DEPENDENCYPART_GRANDPAR
(0,12),(12,18),-0.146797 # DEPENDENCYPART_GRANDPAR
(0,13),(13,1),0.116954 # DEPENDENCYPART_GRANDPAR
(0,13),(13,3),0.141422 # DEPENDENCYPART_GRANDPAR
(0,13),(13,5),-0.170116 # DEPENDENCYPART_GRANDPAR
(0,13),(13,6),-0.33548 # DEPENDENCYPART_GRANDPAR
(0,13),(13,7),-0.0890786 # DEPENDENCYPART_GRANDPAR
(0,13),(13,8),-0.231699 # DEPENDENCYPART_GRANDPAR
(0,13),(13,9),-0.57412 # DEPENDENCYPART_GRANDPAR
(0,13),(13,10),0.215293 # DEPENDENCYPART_GRANDPAR
(0,13),(13,11),-0.314103 # DEPENDENCYPART_GRANDPAR
(0,13),(13,12),-0.0917274 # DEPENDENCYPART_GRANDPAR
(0,13),(13,14),-0.458925 # DEPENDENCYPART_GRANDPAR
(0,13),(13,15),-0.357134 # DEPENDENCYPART_GRANDPAR
(0,13),(13,16),-0.230102 # DEPENDENCYPART_GRANDPAR
(0,13),(13,17),-0.220025 # DEPENDENCYPART_GRANDPAR
(0,13),(13,18),-0.27384 # DEPENDENCYPART_GRANDPAR
(0,14),(14,10),0.145319 # DEPENDENCYPART_GRANDPAR
(0,14),(14,13),0.19288 # DEPENDENCYPART_GRANDPAR
(0,14),(14,16),-0.166054 # DEPENDENCYPART_GRANDPAR
(0,14),(14,17),-0.155427 # DEPENDENCYPART_GRANDPAR
(0,15),(15,14),-0.344163 # DEPENDENCYPART_GRANDPAR
(0,15),(15,16),-0.164222 # DEPENDENCYPART_GRANDPAR
(0,15),(15,17),-0.153595 # DEPENDENCYPART_GRANDPAR
(0,18),(18,2),-0.0219331 # DEPENDENCYPART_GRANDPAR
(0,18),(18,5),0.0203856 # DEPENDENCYPART_GRANDPAR
(0,18),(18,6),-0.0941321 # DEPENDENCYPART_GRANDPAR
(0,18),(18,7),-0.113584 # DEPENDENCYPART_GRANDPAR
(0,18),(18,8),0.0571697 # DEPENDENCYPART_GRANDPAR
(0,18),(18,10),0.193617 # DEPENDENCYPART_GRANDPAR
(0,18),(18,11),-0.0738461 # DEPENDENCYPART_GRANDPAR
(0,18),(18,13),0.200716 # DEPENDENCYPART_GRANDPAR
(0,18),(18,14),-0.27496 # DEPENDENCYPART_GRANDPAR
(0,18),(18,15),-0.207397 # DEPENDENCYPART_GRANDPAR
(0,18),(18,16),-0.0456674 # DEPENDENCYPART_GRANDPAR
(0,18),(18,17),-0.0405981 # DEPENDENCYPART_GRANDPAR
(0,18),(18,19),0.220513 # DEPENDENCYPART_GRANDPAR
(0,18),(18,20),0.103327 # DEPENDENCYPART_GRANDPAR
(0,19),(19,16),-0.0567991 # DEPENDENCYPART_GRANDPAR
(0,19),(19,17),-0.0614383 # DEPENDENCYPART_GRANDPAR
(0,19),(19,20),-0.0994142 # DEPENDENCYPART_GRANDPAR
(0,20),(20,16),-0.0753899 # DEPENDENCYPART_GRANDPAR
(0,20),(20,17),-0.0801638 # DEPENDENCYPART_GRANDPAR
(0,20),(20,21),-0.585343 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.360705 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.128235 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),0.217044 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.0409544 # DEPENDENCYPART_GRANDPAR
(1,2),(2,15),-0.133129 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.542727 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.0418507 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),0.199307 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),0.0409083 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.103403 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),-0.0436393 # DEPENDENCYPART_GRANDPAR
(1,3),(3,10),-0.160759 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),-0.284882 # DEPENDENCYPART_GRANDPAR
(1,3),(3,13),-0.171993 # DEPENDENCYPART_GRANDPAR
(1,3),(3,18),-0.220101 # DEPENDENCYPART_GRANDPAR
(1,3),(3,19),-0.620212 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-0.19474 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,2),0.249301 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),0.114212 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.111746 # DEPENDENCYPART_GRANDPAR
(1,4),(4,18),-0.229143 # DEPENDENCYPART_GRANDPAR
(1,5),(5,2),0.0564199 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),0.100886 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),0.0161632 # DEPENDENCYPART_GRANDPAR
(1,6),(6,1),-0.357911 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,6),(6,2),0.0932427 # DEPENDENCYPART_GRANDPAR
(1,6),(6,3),-0.0515643 # DEPENDENCYPART_GRANDPAR
(1,6),(6,4),0.106081 # DEPENDENCYPART_GRANDPAR
(1,6),(6,5),0.0593937 # DEPENDENCYPART_GRANDPAR
(1,6),(6,7),-0.0161636 # DEPENDENCYPART_GRANDPAR
(1,6),(6,8),-0.0534922 # DEPENDENCYPART_GRANDPAR
(1,6),(6,9),-0.514258 # DEPENDENCYPART_GRANDPAR
(1,6),(6,11),-0.376092 # DEPENDENCYPART_GRANDPAR
(1,6),(6,15),-0.141843 # DEPENDENCYPART_GRANDPAR
(1,9),(9,2),0.0748812 # DEPENDENCYPART_GRANDPAR
(1,9),(9,6),0.0390789 # DEPENDENCYPART_GRANDPAR
(1,9),(9,7),-0.022395 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),-0.0602885 # DEPENDENCYPART_GRANDPAR
(1,9),(9,10),-0.0905773 # DEPENDENCYPART_GRANDPAR
(1,9),(9,12),-0.136177 # DEPENDENCYPART_GRANDPAR
(1,11),(11,8),-0.0905777 # DEPENDENCYPART_GRANDPAR
(1,11),(11,9),-0.635441 # DEPENDENCYPART_GRANDPAR
(1,11),(11,12),-0.260953 # DEPENDENCYPART_GRANDPAR
(1,11),(11,13),-0.248713 # DEPENDENCYPART_GRANDPAR
(1,11),(11,19),-0.748334 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-0.783977 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-1.14956 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.231922 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.53839 # DEPENDENCYPART_GRANDPAR
(2,1),(1,6),-0.314641 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-0.617963 # DEPENDENCYPART_GRANDPAR
(2,1),(1,11),-0.672152 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.0935706 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.463558 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),0.102599 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),0.159535 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),-0.197656 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-0.0615165 # DEPENDENCYPART_GRANDPAR
(2,3),(3,10),-0.247375 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),-0.477289 # DEPENDENCYPART_GRANDPAR
(2,3),(3,13),0.0499785 # DEPENDENCYPART_GRANDPAR
(2,3),(3,18),-0.495003 # DEPENDENCYPART_GRANDPAR
(2,3),(3,19),-0.504778 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.0660718 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.357762 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),-0.587723 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),-0.341899 # DEPENDENCYPART_GRANDPAR
(2,4),(4,18),-0.569658 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.409907 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,4),-0.0167725 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),0.0156902 # DEPENDENCYPART_GRANDPAR
(2,15),(15,14),0.0761443 # DEPENDENCYPART_GRANDPAR
(2,15),(15,16),-0.228259 # DEPENDENCYPART_GRANDPAR
(2,15),(15,17),-0.292156 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),0.0943749 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-0.729831 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),0.0288018 # DEPENDENCYPART_GRANDPAR
(3,1),(1,5),-0.0705417 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),-0.0752709 # DEPENDENCYPART_GRANDPAR
(3,1),(1,9),-0.517054 # DEPENDENCYPART_GRANDPAR
(3,1),(1,11),-0.758847 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.0159417 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-0.633745 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),0.180754 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-0.0114843 # DEPENDENCYPART_GRANDPAR
(3,2),(2,15),-0.11121 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.312914 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.160518 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.224346 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),0.15981 # DEPENDENCYPART_GRANDPAR
(3,4),(4,18),-0.442126 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-0.196797 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),-0.067358 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-0.387298 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,4),0.245658 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),0.326952 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),-0.0468389 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),-0.0527237 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),-0.0901744 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),-0.52831 # DEPENDENCYPART_GRANDPAR
(3,6),(6,15),0.14519 # DEPENDENCYPART_GRANDPAR
(3,7),(7,1),-0.291816 # DEPENDENCYPART_GRANDPAR
(3,7),(7,2),-0.225925 # DEPENDENCYPART_GRANDPAR
(3,7),(7,3),-0.56988 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,7),(7,4),0.2724 # DEPENDENCYPART_GRANDPAR
(3,7),(7,5),0.147408 # DEPENDENCYPART_GRANDPAR
(3,7),(7,6),0.237248 # DEPENDENCYPART_GRANDPAR
(3,7),(7,8),-0.0555814 # DEPENDENCYPART_GRANDPAR
(3,7),(7,9),-0.0840582 # DEPENDENCYPART_GRANDPAR
(3,7),(7,10),-0.263068 # DEPENDENCYPART_GRANDPAR
(3,7),(7,11),-0.448147 # DEPENDENCYPART_GRANDPAR
(3,7),(7,12),-0.0966453 # DEPENDENCYPART_GRANDPAR
(3,7),(7,16),-0.227713 # DEPENDENCYPART_GRANDPAR
(3,7),(7,17),-0.569544 # DEPENDENCYPART_GRANDPAR
(3,7),(7,18),-0.435467 # DEPENDENCYPART_GRANDPAR
(3,7),(7,19),-0.921072 # DEPENDENCYPART_GRANDPAR
(3,8),(8,1),-0.196852 # DEPENDENCYPART_GRANDPAR
(3,8),(8,3),-0.375943 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,8),(8,4),0.2581 # DEPENDENCYPART_GRANDPAR
(3,8),(8,5),0.312983 # DEPENDENCYPART_GRANDPAR
(3,8),(8,6),0.323136 # DEPENDENCYPART_GRANDPAR
(3,8),(8,7),0.0321224 # DEPENDENCYPART_GRANDPAR
(3,8),(8,9),-0.0862874 # DEPENDENCYPART_GRANDPAR
(3,8),(8,10),-0.15822 # DEPENDENCYPART_GRANDPAR
(3,8),(8,11),-0.520053 # DEPENDENCYPART_GRANDPAR
(3,8),(8,13),0.330546 # DEPENDENCYPART_GRANDPAR
(3,8),(8,15),0.15919 # DEPENDENCYPART_GRANDPAR
(3,8),(8,16),-0.163401 # DEPENDENCYPART_GRANDPAR
(3,8),(8,17),-0.547645 # DEPENDENCYPART_GRANDPAR
(3,8),(8,18),-0.331001 # DEPENDENCYPART_GRANDPAR
(3,10),(10,1),-0.291817 # DEPENDENCYPART_GRANDPAR
(3,10),(10,2),-0.226111 # DEPENDENCYPART_GRANDPAR
(3,10),(10,3),-0.570527 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,10),(10,4),0.271754 # DEPENDENCYPART_GRANDPAR
(3,10),(10,5),0.143458 # DEPENDENCYPART_GRANDPAR
(3,10),(10,6),0.23712 # DEPENDENCYPART_GRANDPAR
(3,10),(10,7),-0.166085 # DEPENDENCYPART_GRANDPAR
(3,10),(10,8),-0.0933471 # DEPENDENCYPART_GRANDPAR
(3,10),(10,9),-0.228038 # DEPENDENCYPART_GRANDPAR
(3,10),(10,11),-0.446217 # DEPENDENCYPART_GRANDPAR
(3,10),(10,12),-0.094721 # DEPENDENCYPART_GRANDPAR
(3,10),(10,13),0.289535 # DEPENDENCYPART_GRANDPAR
(3,10),(10,15),0.0546584 # DEPENDENCYPART_GRANDPAR
(3,10),(10,16),-0.21877 # DEPENDENCYPART_GRANDPAR
(3,10),(10,17),-0.560601 # DEPENDENCYPART_GRANDPAR
(3,10),(10,18),-0.433354 # DEPENDENCYPART_GRANDPAR
(3,10),(10,19),-0.919142 # DEPENDENCYPART_GRANDPAR
(3,10),(10,20),-0.0634889 # DEPENDENCYPART_GRANDPAR
(3,11),(11,8),-0.0977628 # DEPENDENCYPART_GRANDPAR
(3,11),(11,9),-0.221367 # DEPENDENCYPART_GRANDPAR
(3,11),(11,12),-0.0852527 # DEPENDENCYPART_GRANDPAR
(3,11),(11,13),0.216062 # DEPENDENCYPART_GRANDPAR
(3,11),(11,19),-1.04525 # DEPENDENCYPART_GRANDPAR
(3,13),(13,1),-0.380866 # DEPENDENCYPART_GRANDPAR
(3,13),(13,3),-0.449423 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,13),(13,5),0.18458 # DEPENDENCYPART_GRANDPAR
(3,13),(13,6),0.288921 # DEPENDENCYPART_GRANDPAR
(3,13),(13,7),-0.0358362 # DEPENDENCYPART_GRANDPAR
(3,13),(13,8),-0.0770615 # DEPENDENCYPART_GRANDPAR
(3,13),(13,9),-0.181009 # DEPENDENCYPART_GRANDPAR
(3,13),(13,10),-0.153853 # DEPENDENCYPART_GRANDPAR
(3,13),(13,11),-0.586912 # DEPENDENCYPART_GRANDPAR
(3,13),(13,12),-0.196745 # DEPENDENCYPART_GRANDPAR
(3,13),(13,14),-0.261507 # DEPENDENCYPART_GRANDPAR
(3,13),(13,15),0.0899778 # DEPENDENCYPART_GRANDPAR
(3,13),(13,16),-0.141301 # DEPENDENCYPART_GRANDPAR
(3,13),(13,17),-0.493392 # DEPENDENCYPART_GRANDPAR
(3,13),(13,18),-0.387545 # DEPENDENCYPART_GRANDPAR
(3,18),(18,2),-0.191016 # DEPENDENCYPART_GRANDPAR
(3,18),(18,5),0.146255 # DEPENDENCYPART_GRANDPAR
(3,18),(18,6),0.231435 # DEPENDENCYPART_GRANDPAR
(3,18),(18,7),-0.170153 # DEPENDENCYPART_GRANDPAR
(3,18),(18,8),-0.0990323 # DEPENDENCYPART_GRANDPAR
(3,18),(18,10),-0.287004 # DEPENDENCYPART_GRANDPAR
(3,18),(18,11),-0.415491 # DEPENDENCYPART_GRANDPAR
(3,18),(18,13),0.267764 # DEPENDENCYPART_GRANDPAR
(3,18),(18,14),-0.258095 # DEPENDENCYPART_GRANDPAR
(3,18),(18,15),0.0376379 # DEPENDENCYPART_GRANDPAR
(3,18),(18,16),-0.271126 # DEPENDENCYPART_GRANDPAR
(3,18),(18,17),-0.60873 # DEPENDENCYPART_GRANDPAR
(3,18),(18,19),-0.928583 # DEPENDENCYPART_GRANDPAR
(3,18),(18,20),-0.0726652 # DEPENDENCYPART_GRANDPAR
(3,19),(19,16),-0.250258 # DEPENDENCYPART_GRANDPAR
(3,19),(19,17),-0.592046 # DEPENDENCYPART_GRANDPAR
(3,19),(19,20),-0.154229 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),-0.022572 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),0.209707 # DEPENDENCYPART_GRANDPAR
(4,1),(1,4),-0.290039 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,1),(1,5),-0.0984315 # DEPENDENCYPART_GRANDPAR
(4,1),(1,6),-0.25513 # DEPENDENCYPART_GRANDPAR
(4,1),(1,9),-0.287809 # DEPENDENCYPART_GRANDPAR
(4,1),(1,11),-0.0204057 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),0.186247 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),0.347128 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-0.115224 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),-0.0634647 # DEPENDENCYPART_GRANDPAR
(4,2),(2,15),-0.230754 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),0.117968 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.0181595 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-0.290028 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,6),-0.26269 # DEPENDENCYPART_GRANDPAR
(4,3),(3,7),-0.272567 # DEPENDENCYPART_GRANDPAR
(4,3),(3,8),-0.34969 # DEPENDENCYPART_GRANDPAR
(4,3),(3,10),-0.242973 # DEPENDENCYPART_GRANDPAR
(4,3),(3,11),-0.020395 # DEPENDENCYPART_GRANDPAR
(4,3),(3,13),-0.23004 # DEPENDENCYPART_GRANDPAR
(4,3),(3,18),-0.320011 # DEPENDENCYPART_GRANDPAR
(4,3),(3,19),0.0667292 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-0.252194 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.101241 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),0.0971357 # DEPENDENCYPART_GRANDPAR
(4,18),(18,2),-0.35919 # DEPENDENCYPART_GRANDPAR
(4,18),(18,5),0.19245 # DEPENDENCYPART_GRANDPAR
(4,18),(18,6),0.0746241 # DEPENDENCYPART_GRANDPAR
(4,18),(18,7),0.0682542 # DEPENDENCYPART_GRANDPAR
(4,18),(18,8),0.0002173 # DEPENDENCYPART_GRANDPAR
(4,18),(18,10),0.0984295 # DEPENDENCYPART_GRANDPAR
(4,18),(18,11),0.197146 # DEPENDENCYPART_GRANDPAR
(4,18),(18,13),0.102312 # DEPENDENCYPART_GRANDPAR
(4,18),(18,14),0.0440096 # DEPENDENCYPART_GRANDPAR
(4,18),(18,15),0.0221613 # DEPENDENCYPART_GRANDPAR
(4,18),(18,16),0.01154 # DEPENDENCYPART_GRANDPAR
(4,18),(18,17),0.0361867 # DEPENDENCYPART_GRANDPAR
(4,18),(18,19),0.228464 # DEPENDENCYPART_GRANDPAR
(4,18),(18,20),0.0613505 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),-0.129899 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),0.0224983 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),-0.107742 # DEPENDENCYPART_GRANDPAR
(5,2),(2,5),-0.703396 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,2),(2,15),-0.370629 # DEPENDENCYPART_GRANDPAR
(5,4),(4,1),-0.190797 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-0.205988 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),-0.137433 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-0.67361 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,18),-0.383383 # DEPENDENCYPART_GRANDPAR
(5,6),(6,1),-0.34312 # DEPENDENCYPART_GRANDPAR
(5,6),(6,2),-0.408935 # DEPENDENCYPART_GRANDPAR
(5,6),(6,3),-0.287002 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),-0.292303 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-0.341862 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),-0.214919 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),-0.174814 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),-0.170931 # DEPENDENCYPART_GRANDPAR
(5,6),(6,11),-0.25324 # DEPENDENCYPART_GRANDPAR
(5,6),(6,15),-0.125904 # DEPENDENCYPART_GRANDPAR
(6,1),(1,2),-0.346343 # DEPENDENCYPART_GRANDPAR
(6,1),(1,3),-0.142963 # DEPENDENCYPART_GRANDPAR
(6,1),(1,4),-0.208915 # DEPENDENCYPART_GRANDPAR
(6,1),(1,5),0.168576 # DEPENDENCYPART_GRANDPAR
(6,1),(1,6),-0.760076 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,1),(1,9),-0.436592 # DEPENDENCYPART_GRANDPAR
(6,1),(1,11),-0.589371 # DEPENDENCYPART_GRANDPAR
(6,2),(2,1),-0.0972272 # DEPENDENCYPART_GRANDPAR
(6,2),(2,3),-0.0123045 # DEPENDENCYPART_GRANDPAR
(6,2),(2,4),-0.223978 # DEPENDENCYPART_GRANDPAR
(6,2),(2,5),0.272745 # DEPENDENCYPART_GRANDPAR
(6,2),(2,15),-0.630539 # DEPENDENCYPART_GRANDPAR
(6,3),(3,1),-0.109444 # DEPENDENCYPART_GRANDPAR
(6,3),(3,2),-0.188364 # DEPENDENCYPART_GRANDPAR
(6,3),(3,4),-0.208571 # DEPENDENCYPART_GRANDPAR
(6,3),(3,6),-0.782093 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,3),(3,7),-0.723014 # DEPENDENCYPART_GRANDPAR
(6,3),(3,8),-0.549331 # DEPENDENCYPART_GRANDPAR
(6,3),(3,10),-0.696216 # DEPENDENCYPART_GRANDPAR
(6,3),(3,11),-0.596595 # DEPENDENCYPART_GRANDPAR
(6,3),(3,13),-0.32236 # DEPENDENCYPART_GRANDPAR
(6,3),(3,18),-0.844036 # DEPENDENCYPART_GRANDPAR
(6,3),(3,19),-0.513964 # DEPENDENCYPART_GRANDPAR
(6,4),(4,1),-0.185887 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),-0.36493 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),-0.331795 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),0.196473 # DEPENDENCYPART_GRANDPAR
(6,4),(4,18),-0.816527 # DEPENDENCYPART_GRANDPAR
(6,5),(5,2),-0.331135 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),0.0639851 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-0.673813 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,1),-0.409922 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),-0.68159 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.557681 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),-0.390877 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-0.0810263 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-0.447201 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),-0.0410782 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),-0.0341593 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),-0.390284 # DEPENDENCYPART_GRANDPAR
(6,7),(7,11),-0.393832 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),-0.127557 # DEPENDENCYPART_GRANDPAR
(6,7),(7,16),-0.0997644 # DEPENDENCYPART_GRANDPAR
(6,7),(7,17),-0.116308 # DEPENDENCYPART_GRANDPAR
