# _root_ Dışişleri_Bakanlığı , Türkiye'nin devlet _ olarak dava sürecine müdahil _ olmama kararını , Yunan mevzuatına _ dayanarak aldı .
#goldHeads=18,0,12,5,6,11,8,11,11,11,12,18,0,15,17,17,18,19,0,
#predictedHeads=18,0,5,5,6,10,8,10,10,11,12,18,0,15,16,17,18,19,0,
(5,10),(10,5),-0.615651 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,10),(10,6),-0.113558 # DEPENDENCYPART_GRANDPAR
(5,10),(10,7),-0.445355 # DEPENDENCYPART_GRANDPAR
(5,10),(10,8),-0.683831 # DEPENDENCYPART_GRANDPAR
(5,10),(10,9),-0.210722 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),-0.174692 # DEPENDENCYPART_GRANDPAR
(5,10),(10,12),-0.402499 # DEPENDENCYPART_GRANDPAR
(5,10),(10,13),-0.195436 # DEPENDENCYPART_GRANDPAR
(5,10),(10,14),-0.23135 # DEPENDENCYPART_GRANDPAR
(5,10),(10,15),-0.307235 # DEPENDENCYPART_GRANDPAR
(5,10),(10,16),0.120698 # DEPENDENCYPART_GRANDPAR
(5,10),(10,17),-0.025368 # DEPENDENCYPART_GRANDPAR
(5,10),(10,18),-0.643533 # DEPENDENCYPART_GRANDPAR
(5,10),(10,19),-0.480398 # DEPENDENCYPART_GRANDPAR
(5,11),(11,1),-0.394673 # DEPENDENCYPART_GRANDPAR
(5,11),(11,2),-0.161281 # DEPENDENCYPART_GRANDPAR
(5,11),(11,3),-0.305451 # DEPENDENCYPART_GRANDPAR
(5,11),(11,4),-0.330511 # DEPENDENCYPART_GRANDPAR
(5,11),(11,6),-0.048592 # DEPENDENCYPART_GRANDPAR
(5,11),(11,7),-0.199964 # DEPENDENCYPART_GRANDPAR
(5,11),(11,8),-0.438439 # DEPENDENCYPART_GRANDPAR
(5,11),(11,9),-0.158834 # DEPENDENCYPART_GRANDPAR
(5,11),(11,10),-0.215269 # DEPENDENCYPART_GRANDPAR
(5,11),(11,12),-0.281318 # DEPENDENCYPART_GRANDPAR
(5,12),(12,2),-0.161281 # DEPENDENCYPART_GRANDPAR
(5,12),(12,3),-0.305451 # DEPENDENCYPART_GRANDPAR
(5,12),(12,4),-0.330511 # DEPENDENCYPART_GRANDPAR
(5,12),(12,5),-0.389184 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,12),(12,6),-0.048592 # DEPENDENCYPART_GRANDPAR
(5,12),(12,7),-0.199964 # DEPENDENCYPART_GRANDPAR
(5,12),(12,8),-0.438439 # DEPENDENCYPART_GRANDPAR
(5,12),(12,9),-0.158834 # DEPENDENCYPART_GRANDPAR
(5,12),(12,10),-0.215269 # DEPENDENCYPART_GRANDPAR
(5,12),(12,11),-0.190044 # DEPENDENCYPART_GRANDPAR
(5,12),(12,13),-0.182838 # DEPENDENCYPART_GRANDPAR
(5,12),(12,14),-0.0922824 # DEPENDENCYPART_GRANDPAR
(5,12),(12,15),-0.186054 # DEPENDENCYPART_GRANDPAR
(5,12),(12,18),-0.48611 # DEPENDENCYPART_GRANDPAR
(5,13),(13,5),-0.80594 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,13),(13,6),-0.099944 # DEPENDENCYPART_GRANDPAR
(5,13),(13,7),-0.458254 # DEPENDENCYPART_GRANDPAR
(5,13),(13,8),-0.69673 # DEPENDENCYPART_GRANDPAR
(5,13),(13,9),-0.271608 # DEPENDENCYPART_GRANDPAR
(5,13),(13,10),-0.632025 # DEPENDENCYPART_GRANDPAR
(5,13),(13,11),-0.448334 # DEPENDENCYPART_GRANDPAR
(5,13),(13,12),-0.676141 # DEPENDENCYPART_GRANDPAR
(5,13),(13,14),-0.0181167 # DEPENDENCYPART_GRANDPAR
(5,13),(13,15),-0.105906 # DEPENDENCYPART_GRANDPAR
(5,13),(13,16),0.1138 # DEPENDENCYPART_GRANDPAR
(5,13),(13,18),0.028507 # DEPENDENCYPART_GRANDPAR
(5,13),(13,19),-0.400865 # DEPENDENCYPART_GRANDPAR
(5,15),(15,9),-0.158834 # DEPENDENCYPART_GRANDPAR
(5,15),(15,10),-0.215269 # DEPENDENCYPART_GRANDPAR
(5,15),(15,11),-0.190044 # DEPENDENCYPART_GRANDPAR
(5,15),(15,12),-0.41785 # DEPENDENCYPART_GRANDPAR
(5,15),(15,13),-0.426278 # DEPENDENCYPART_GRANDPAR
(5,15),(15,14),-0.233919 # DEPENDENCYPART_GRANDPAR
(5,15),(15,16),-0.102551 # DEPENDENCYPART_GRANDPAR
(5,15),(15,17),0.138169 # DEPENDENCYPART_GRANDPAR
(5,16),(16,1),-0.142914 # DEPENDENCYPART_GRANDPAR
(5,16),(16,6),-0.113558 # DEPENDENCYPART_GRANDPAR
(5,16),(16,7),-0.445355 # DEPENDENCYPART_GRANDPAR
(5,16),(16,8),-0.683831 # DEPENDENCYPART_GRANDPAR
(5,16),(16,10),-0.441736 # DEPENDENCYPART_GRANDPAR
(5,16),(16,11),-0.435436 # DEPENDENCYPART_GRANDPAR
(5,16),(16,12),-0.663242 # DEPENDENCYPART_GRANDPAR
(5,16),(16,13),-0.498899 # DEPENDENCYPART_GRANDPAR
(5,16),(16,14),-0.479311 # DEPENDENCYPART_GRANDPAR
(5,16),(16,15),-0.567978 # DEPENDENCYPART_GRANDPAR
(5,16),(16,17),-0.025368 # DEPENDENCYPART_GRANDPAR
(5,16),(16,18),-0.643533 # DEPENDENCYPART_GRANDPAR
(5,17),(17,1),-0.373783 # DEPENDENCYPART_GRANDPAR
(5,17),(17,3),-0.284512 # DEPENDENCYPART_GRANDPAR
(5,17),(17,4),-0.309621 # DEPENDENCYPART_GRANDPAR
(5,17),(17,7),-0.311726 # DEPENDENCYPART_GRANDPAR
(5,17),(17,8),-0.550201 # DEPENDENCYPART_GRANDPAR
(5,17),(17,11),-0.301806 # DEPENDENCYPART_GRANDPAR
(5,17),(17,12),-0.529612 # DEPENDENCYPART_GRANDPAR
(5,17),(17,13),-0.445693 # DEPENDENCYPART_GRANDPAR
(5,17),(17,14),-0.345681 # DEPENDENCYPART_GRANDPAR
(5,17),(17,15),-0.434348 # DEPENDENCYPART_GRANDPAR
(5,17),(17,16),-0.0803433 # DEPENDENCYPART_GRANDPAR
(5,18),(18,1),-0.409952 # DEPENDENCYPART_GRANDPAR
(5,18),(18,2),-0.238337 # DEPENDENCYPART_GRANDPAR
(5,18),(18,3),-0.320681 # DEPENDENCYPART_GRANDPAR
(5,18),(18,4),-0.34579 # DEPENDENCYPART_GRANDPAR
(5,18),(18,5),-0.489856 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,18),(18,6),0.0183991 # DEPENDENCYPART_GRANDPAR
(5,18),(18,7),-0.243726 # DEPENDENCYPART_GRANDPAR
(5,18),(18,8),-0.482202 # DEPENDENCYPART_GRANDPAR
(5,18),(18,9),-0.121102 # DEPENDENCYPART_GRANDPAR
(5,18),(18,10),-0.315941 # DEPENDENCYPART_GRANDPAR
(5,18),(18,11),-0.233806 # DEPENDENCYPART_GRANDPAR
(5,18),(18,12),-0.461613 # DEPENDENCYPART_GRANDPAR
(5,18),(18,13),-0.425287 # DEPENDENCYPART_GRANDPAR
(5,18),(18,14),-0.277682 # DEPENDENCYPART_GRANDPAR
(5,18),(18,15),-0.366349 # DEPENDENCYPART_GRANDPAR
(5,18),(18,16),-0.258956 # DEPENDENCYPART_GRANDPAR
(5,18),(18,17),0.107071 # DEPENDENCYPART_GRANDPAR
(5,18),(18,19),-0.575118 # DEPENDENCYPART_GRANDPAR
(6,1),(1,2),-0.35713 # DEPENDENCYPART_GRANDPAR
(6,1),(1,18),-0.243982 # DEPENDENCYPART_GRANDPAR
(6,2),(2,1),-0.0370229 # DEPENDENCYPART_GRANDPAR
(6,2),(2,16),-0.227816 # DEPENDENCYPART_GRANDPAR
(6,2),(2,18),-0.262145 # DEPENDENCYPART_GRANDPAR
(6,3),(3,1),-0.111341 # DEPENDENCYPART_GRANDPAR
(6,3),(3,2),-0.185966 # DEPENDENCYPART_GRANDPAR
(6,4),(4,1),-0.0989167 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),-0.185966 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),-0.0432902 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),-0.138387 # DEPENDENCYPART_GRANDPAR
(6,5),(5,1),0.0538438 # DEPENDENCYPART_GRANDPAR
(6,5),(5,2),-0.00911382 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),0.0970113 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),0.297217 # DEPENDENCYPART_GRANDPAR
(6,5),(5,7),0.0308789 # DEPENDENCYPART_GRANDPAR
(6,5),(5,8),-0.0326971 # DEPENDENCYPART_GRANDPAR
(6,5),(5,10),-0.200671 # DEPENDENCYPART_GRANDPAR
(6,5),(5,11),0.028232 # DEPENDENCYPART_GRANDPAR
(6,5),(5,12),-0.0513776 # DEPENDENCYPART_GRANDPAR
(6,5),(5,13),-0.255527 # DEPENDENCYPART_GRANDPAR
(6,5),(5,15),-0.112177 # DEPENDENCYPART_GRANDPAR
(6,5),(5,16),-0.245424 # DEPENDENCYPART_GRANDPAR
(6,5),(5,17),-0.112309 # DEPENDENCYPART_GRANDPAR
(6,5),(5,18),-0.26679 # DEPENDENCYPART_GRANDPAR
(7,3),(3,1),-0.484891 # DEPENDENCYPART_GRANDPAR
(7,3),(3,2),-0.450366 # DEPENDENCYPART_GRANDPAR
(7,4),(4,1),-0.457202 # DEPENDENCYPART_GRANDPAR
(7,4),(4,2),-0.44656 # DEPENDENCYPART_GRANDPAR
(7,4),(4,3),-0.398845 # DEPENDENCYPART_GRANDPAR
(7,4),(4,5),-0.181146 # DEPENDENCYPART_GRANDPAR
(7,5),(5,1),-0.406976 # DEPENDENCYPART_GRANDPAR
(7,5),(5,2),-0.284563 # DEPENDENCYPART_GRANDPAR
(7,5),(5,3),-0.359915 # DEPENDENCYPART_GRANDPAR
(7,5),(5,4),-0.0273326 # DEPENDENCYPART_GRANDPAR
(7,5),(5,7),-0.711796 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,5),(5,8),-0.426244 # DEPENDENCYPART_GRANDPAR
(7,5),(5,10),-0.347621 # DEPENDENCYPART_GRANDPAR
(7,5),(5,11),-0.393493 # DEPENDENCYPART_GRANDPAR
(7,5),(5,12),-0.0244936 # DEPENDENCYPART_GRANDPAR
(7,5),(5,13),-0.117079 # DEPENDENCYPART_GRANDPAR
(7,5),(5,15),-0.304133 # DEPENDENCYPART_GRANDPAR
(7,5),(5,16),-0.104977 # DEPENDENCYPART_GRANDPAR
(7,5),(5,17),-0.374126 # DEPENDENCYPART_GRANDPAR
(7,5),(5,18),-0.24279 # DEPENDENCYPART_GRANDPAR
(7,6),(6,1),-0.450429 # DEPENDENCYPART_GRANDPAR
(7,6),(6,2),-0.472052 # DEPENDENCYPART_GRANDPAR
(7,6),(6,3),-0.399382 # DEPENDENCYPART_GRANDPAR
(7,6),(6,4),-0.0865054 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),0.0316181 # DEPENDENCYPART_GRANDPAR
(7,8),(8,2),-0.553634 # DEPENDENCYPART_GRANDPAR
(7,8),(8,3),-0.73749 # DEPENDENCYPART_GRANDPAR
(7,8),(8,4),-0.432156 # DEPENDENCYPART_GRANDPAR
(7,8),(8,5),-0.377516 # DEPENDENCYPART_GRANDPAR
(7,8),(8,6),-0.0684178 # DEPENDENCYPART_GRANDPAR
(7,8),(8,7),-0.624245 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,8),(8,9),-0.0828197 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),-0.0744486 # DEPENDENCYPART_GRANDPAR
(7,8),(8,14),-0.219101 # DEPENDENCYPART_GRANDPAR
(7,8),(8,18),-0.0745909 # DEPENDENCYPART_GRANDPAR
(7,9),(9,4),-0.425413 # DEPENDENCYPART_GRANDPAR
(7,9),(9,5),-0.40393 # DEPENDENCYPART_GRANDPAR
(7,9),(9,6),-0.0983473 # DEPENDENCYPART_GRANDPAR
(7,9),(9,7),-0.760304 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,9),(9,8),-0.474751 # DEPENDENCYPART_GRANDPAR
(7,9),(9,14),-0.208299 # DEPENDENCYPART_GRANDPAR
(7,9),(9,15),-0.113529 # DEPENDENCYPART_GRANDPAR
(7,18),(18,1),-0.767067 # DEPENDENCYPART_GRANDPAR
(7,18),(18,2),-0.57589 # DEPENDENCYPART_GRANDPAR
(7,18),(18,3),-0.710844 # DEPENDENCYPART_GRANDPAR
(7,18),(18,4),-0.405535 # DEPENDENCYPART_GRANDPAR
(7,18),(18,5),-0.419245 # DEPENDENCYPART_GRANDPAR
(7,18),(18,6),-0.0572674 # DEPENDENCYPART_GRANDPAR
(7,18),(18,7),-0.695409 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,18),(18,8),-0.409856 # DEPENDENCYPART_GRANDPAR
(7,18),(18,9),-0.191105 # DEPENDENCYPART_GRANDPAR
(7,18),(18,10),-0.266536 # DEPENDENCYPART_GRANDPAR
(7,18),(18,11),-0.377106 # DEPENDENCYPART_GRANDPAR
(7,18),(18,12),-0.00810615 # DEPENDENCYPART_GRANDPAR
(7,18),(18,13),-0.231648 # DEPENDENCYPART_GRANDPAR
(7,18),(18,14),-0.382516 # DEPENDENCYPART_GRANDPAR
(7,18),(18,15),-0.287745 # DEPENDENCYPART_GRANDPAR
(7,18),(18,16),-0.0238926 # DEPENDENCYPART_GRANDPAR
(7,18),(18,17),-0.368873 # DEPENDENCYPART_GRANDPAR
(7,18),(18,19),-0.282253 # DEPENDENCYPART_GRANDPAR
(8,2),(2,1),-0.156609 # DEPENDENCYPART_GRANDPAR
(8,2),(2,16),-0.371343 # DEPENDENCYPART_GRANDPAR
(8,2),(2,18),-0.475537 # DEPENDENCYPART_GRANDPAR
(8,3),(3,1),-0.577135 # DEPENDENCYPART_GRANDPAR
(8,3),(3,2),-0.261331 # DEPENDENCYPART_GRANDPAR
(8,4),(4,1),-0.549447 # DEPENDENCYPART_GRANDPAR
(8,4),(4,2),-0.257526 # DEPENDENCYPART_GRANDPAR
(8,4),(4,3),-0.0625874 # DEPENDENCYPART_GRANDPAR
(8,4),(4,5),0.0660207 # DEPENDENCYPART_GRANDPAR
(8,5),(5,1),-0.498518 # DEPENDENCYPART_GRANDPAR
(8,5),(5,2),-0.0947381 # DEPENDENCYPART_GRANDPAR
(8,5),(5,3),-0.0229542 # DEPENDENCYPART_GRANDPAR
(8,5),(5,4),-0.122257 # DEPENDENCYPART_GRANDPAR
(8,5),(5,7),-0.402489 # DEPENDENCYPART_GRANDPAR
(8,5),(5,8),-0.531716 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,5),(5,10),-0.403474 # DEPENDENCYPART_GRANDPAR
(8,5),(5,11),-0.422139 # DEPENDENCYPART_GRANDPAR
(8,5),(5,12),0.0242853 # DEPENDENCYPART_GRANDPAR
(8,5),(5,13),-0.0904107 # DEPENDENCYPART_GRANDPAR
(8,5),(5,15),-0.245842 # DEPENDENCYPART_GRANDPAR
(8,5),(5,16),-0.270786 # DEPENDENCYPART_GRANDPAR
(8,5),(5,17),-0.394506 # DEPENDENCYPART_GRANDPAR
(8,5),(5,18),-0.357893 # DEPENDENCYPART_GRANDPAR
(8,6),(6,1),-0.541712 # DEPENDENCYPART_GRANDPAR
(8,6),(6,2),-0.282098 # DEPENDENCYPART_GRANDPAR
(8,6),(6,3),-0.0621634 # DEPENDENCYPART_GRANDPAR
(8,6),(6,4),-0.181172 # DEPENDENCYPART_GRANDPAR
(8,6),(6,5),0.286914 # DEPENDENCYPART_GRANDPAR
(8,7),(7,3),-0.0748321 # DEPENDENCYPART_GRANDPAR
(8,7),(7,4),-0.198575 # DEPENDENCYPART_GRANDPAR
(8,7),(7,5),0.168679 # DEPENDENCYPART_GRANDPAR
(8,7),(7,6),-0.404864 # DEPENDENCYPART_GRANDPAR
(8,7),(7,8),-0.681699 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,7),(7,9),-0.416829 # DEPENDENCYPART_GRANDPAR
(8,7),(7,18),-0.389053 # DEPENDENCYPART_GRANDPAR
(8,9),(9,4),-0.521217 # DEPENDENCYPART_GRANDPAR
(8,9),(9,5),-0.156763 # DEPENDENCYPART_GRANDPAR
(8,9),(9,6),-0.55958 # DEPENDENCYPART_GRANDPAR
(8,9),(9,7),-0.419631 # DEPENDENCYPART_GRANDPAR
(8,9),(9,8),-0.580224 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,9),(9,14),-0.0483081 # DEPENDENCYPART_GRANDPAR
(8,9),(9,15),-0.0501284 # DEPENDENCYPART_GRANDPAR
(8,10),(10,1),-0.736126 # DEPENDENCYPART_GRANDPAR
(8,10),(10,3),-0.251401 # DEPENDENCYPART_GRANDPAR
(8,10),(10,4),-0.377977 # DEPENDENCYPART_GRANDPAR
(8,10),(10,5),-0.111428 # DEPENDENCYPART_GRANDPAR
(8,10),(10,6),-0.419872 # DEPENDENCYPART_GRANDPAR
(8,10),(10,7),-0.276391 # DEPENDENCYPART_GRANDPAR
(8,10),(10,8),-0.657814 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,10),(10,9),-0.311631 # DEPENDENCYPART_GRANDPAR
(8,10),(10,11),-0.18453 # DEPENDENCYPART_GRANDPAR
(8,10),(10,12),0.261894 # DEPENDENCYPART_GRANDPAR
(8,10),(10,13),0.0868939 # DEPENDENCYPART_GRANDPAR
(8,10),(10,14),-0.0183176 # DEPENDENCYPART_GRANDPAR
(8,10),(10,15),-0.0082338 # DEPENDENCYPART_GRANDPAR
(8,10),(10,16),0.0648584 # DEPENDENCYPART_GRANDPAR
(8,10),(10,17),-0.345674 # DEPENDENCYPART_GRANDPAR
(8,10),(10,18),-0.186966 # DEPENDENCYPART_GRANDPAR
(8,10),(10,19),-0.176847 # DEPENDENCYPART_GRANDPAR
(8,14),(14,9),-0.320217 # DEPENDENCYPART_GRANDPAR
(8,14),(14,10),-0.225309 # DEPENDENCYPART_GRANDPAR
(8,14),(14,11),-0.334588 # DEPENDENCYPART_GRANDPAR
(8,14),(14,12),0.111836 # DEPENDENCYPART_GRANDPAR
(8,14),(14,13),-0.240357 # DEPENDENCYPART_GRANDPAR
(8,14),(14,15),-0.0754263 # DEPENDENCYPART_GRANDPAR
(8,14),(14,16),0.00947464 # DEPENDENCYPART_GRANDPAR
(8,18),(18,1),-0.859487 # DEPENDENCYPART_GRANDPAR
(8,18),(18,2),-0.385936 # DEPENDENCYPART_GRANDPAR
(8,18),(18,3),-0.374763 # DEPENDENCYPART_GRANDPAR
(8,18),(18,4),-0.501339 # DEPENDENCYPART_GRANDPAR
(8,18),(18,5),-0.172078 # DEPENDENCYPART_GRANDPAR
(8,18),(18,6),-0.5185 # DEPENDENCYPART_GRANDPAR
(8,18),(18,7),-0.399752 # DEPENDENCYPART_GRANDPAR
(8,18),(18,8),-0.515329 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,18),(18,9),-0.279514 # DEPENDENCYPART_GRANDPAR
(8,18),(18,10),-0.322389 # DEPENDENCYPART_GRANDPAR
(8,18),(18,11),-0.405751 # DEPENDENCYPART_GRANDPAR
(8,18),(18,12),0.0406727 # DEPENDENCYPART_GRANDPAR
(8,18),(18,13),-0.20498 # DEPENDENCYPART_GRANDPAR
(8,18),(18,14),-0.227634 # DEPENDENCYPART_GRANDPAR
(8,18),(18,15),-0.229455 # DEPENDENCYPART_GRANDPAR
(8,18),(18,16),-0.189702 # DEPENDENCYPART_GRANDPAR
(8,18),(18,17),-0.389253 # DEPENDENCYPART_GRANDPAR
(8,18),(18,19),-0.29246 # DEPENDENCYPART_GRANDPAR
(9,4),(4,1),-0.276871 # DEPENDENCYPART_GRANDPAR
(9,4),(4,2),-0.426429 # DEPENDENCYPART_GRANDPAR
(9,4),(4,3),-0.175508 # DEPENDENCYPART_GRANDPAR
(9,4),(4,5),-0.0795582 # DEPENDENCYPART_GRANDPAR
(9,5),(5,1),-0.200087 # DEPENDENCYPART_GRANDPAR
(9,5),(5,2),-0.429197 # DEPENDENCYPART_GRANDPAR
(9,5),(5,3),-0.124324 # DEPENDENCYPART_GRANDPAR
(9,5),(5,4),-0.0961145 # DEPENDENCYPART_GRANDPAR
(9,5),(5,7),-0.376185 # DEPENDENCYPART_GRANDPAR
(9,5),(5,8),-0.21506 # DEPENDENCYPART_GRANDPAR
(9,5),(5,10),-0.26607 # DEPENDENCYPART_GRANDPAR
(9,5),(5,11),-0.233864 # DEPENDENCYPART_GRANDPAR
(9,5),(5,12),-0.259403 # DEPENDENCYPART_GRANDPAR
(9,5),(5,13),-0.185549 # DEPENDENCYPART_GRANDPAR
(9,5),(5,15),-0.15824 # DEPENDENCYPART_GRANDPAR
(9,5),(5,16),-0.358565 # DEPENDENCYPART_GRANDPAR
(9,5),(5,17),-0.108791 # DEPENDENCYPART_GRANDPAR
(9,5),(5,18),-0.278802 # DEPENDENCYPART_GRANDPAR
(9,6),(6,1),-0.291559 # DEPENDENCYPART_GRANDPAR
(9,6),(6,2),-0.519465 # DEPENDENCYPART_GRANDPAR
(9,6),(6,3),-0.206836 # DEPENDENCYPART_GRANDPAR
(9,6),(6,4),-0.198301 # DEPENDENCYPART_GRANDPAR
(9,6),(6,5),0.03949 # DEPENDENCYPART_GRANDPAR
(9,7),(7,3),-0.178248 # DEPENDENCYPART_GRANDPAR
(9,7),(7,4),-0.187456 # DEPENDENCYPART_GRANDPAR
(9,7),(7,5),-0.0348616 # DEPENDENCYPART_GRANDPAR
(9,7),(7,6),0.130215 # DEPENDENCYPART_GRANDPAR
(9,7),(7,8),-0.058862 # DEPENDENCYPART_GRANDPAR
(9,7),(7,9),-0.458286 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,7),(7,18),-0.242189 # DEPENDENCYPART_GRANDPAR
(9,8),(8,2),-0.418408 # DEPENDENCYPART_GRANDPAR
(9,8),(8,3),-0.168169 # DEPENDENCYPART_GRANDPAR
(9,8),(8,4),-0.177376 # DEPENDENCYPART_GRANDPAR
(9,8),(8,5),-0.027037 # DEPENDENCYPART_GRANDPAR
(9,8),(8,6),0.138039 # DEPENDENCYPART_GRANDPAR
(9,8),(8,7),-0.0537262 # DEPENDENCYPART_GRANDPAR
(9,8),(8,9),-0.458286 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,8),(8,10),-0.221937 # DEPENDENCYPART_GRANDPAR
(9,8),(8,14),-0.256151 # DEPENDENCYPART_GRANDPAR
(9,8),(8,18),-0.242189 # DEPENDENCYPART_GRANDPAR
(9,14),(14,9),-0.356846 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,14),(14,10),-0.0455043 # DEPENDENCYPART_GRANDPAR
(9,14),(14,11),-0.184571 # DEPENDENCYPART_GRANDPAR
(9,14),(14,12),-0.21011 # DEPENDENCYPART_GRANDPAR
(9,14),(14,13),-0.136528 # DEPENDENCYPART_GRANDPAR
(9,14),(14,15),0.0434652 # DEPENDENCYPART_GRANDPAR
(9,14),(14,16),-0.0935882 # DEPENDENCYPART_GRANDPAR
(9,15),(15,9),-0.356846 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,15),(15,10),-0.0455043 # DEPENDENCYPART_GRANDPAR
(9,15),(15,11),-0.184571 # DEPENDENCYPART_GRANDPAR
(9,15),(15,12),-0.21011 # DEPENDENCYPART_GRANDPAR
(9,15),(15,13),-0.136528 # DEPENDENCYPART_GRANDPAR
(9,15),(15,14),-0.102997 # DEPENDENCYPART_GRANDPAR
(9,15),(15,16),-0.0935882 # DEPENDENCYPART_GRANDPAR
(9,15),(15,17),0.0138775 # DEPENDENCYPART_GRANDPAR
(10,1),(1,2),-0.614671 # DEPENDENCYPART_GRANDPAR
(10,1),(1,18),-0.353552 # DEPENDENCYPART_GRANDPAR
(10,3),(3,1),-0.260666 # DEPENDENCYPART_GRANDPAR
(10,3),(3,2),-0.367245 # DEPENDENCYPART_GRANDPAR
(10,4),(4,1),-0.246494 # DEPENDENCYPART_GRANDPAR
(10,4),(4,2),-0.36679 # DEPENDENCYPART_GRANDPAR
(10,4),(4,3),-0.400926 # DEPENDENCYPART_GRANDPAR
(10,4),(4,5),-0.283584 # DEPENDENCYPART_GRANDPAR
(10,5),(5,1),-0.378453 # DEPENDENCYPART_GRANDPAR
(10,5),(5,2),-0.38383 # DEPENDENCYPART_GRANDPAR
(10,5),(5,3),-0.546571 # DEPENDENCYPART_GRANDPAR
(10,5),(5,4),-0.40232 # DEPENDENCYPART_GRANDPAR
(10,5),(5,7),-0.398229 # DEPENDENCYPART_GRANDPAR
(10,5),(5,8),-0.602213 # DEPENDENCYPART_GRANDPAR
(10,5),(5,10),-0.511078 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,5),(5,11),-0.0411159 # DEPENDENCYPART_GRANDPAR
(10,5),(5,12),-0.0878886 # DEPENDENCYPART_GRANDPAR
(10,5),(5,13),-0.212249 # DEPENDENCYPART_GRANDPAR
(10,5),(5,15),-0.1851 # DEPENDENCYPART_GRANDPAR
(10,5),(5,16),-0.0762723 # DEPENDENCYPART_GRANDPAR
(10,5),(5,17),-0.0782506 # DEPENDENCYPART_GRANDPAR
(10,5),(5,18),-0.241947 # DEPENDENCYPART_GRANDPAR
(10,6),(6,1),-0.280046 # DEPENDENCYPART_GRANDPAR
(10,6),(6,2),-0.446729 # DEPENDENCYPART_GRANDPAR
(10,6),(6,3),-0.443533 # DEPENDENCYPART_GRANDPAR
(10,6),(6,4),-0.317593 # DEPENDENCYPART_GRANDPAR
(10,6),(6,5),0.223754 # DEPENDENCYPART_GRANDPAR
(10,7),(7,3),-0.384727 # DEPENDENCYPART_GRANDPAR
(10,7),(7,4),-0.26936 # DEPENDENCYPART_GRANDPAR
(10,7),(7,5),-0.212389 # DEPENDENCYPART_GRANDPAR
(10,7),(7,6),-0.0367831 # DEPENDENCYPART_GRANDPAR
(10,7),(7,8),-0.356821 # DEPENDENCYPART_GRANDPAR
(10,7),(7,9),-0.192944 # DEPENDENCYPART_GRANDPAR
(10,7),(7,18),-0.353552 # DEPENDENCYPART_GRANDPAR
(10,8),(8,2),-0.373363 # DEPENDENCYPART_GRANDPAR
(10,8),(8,3),-0.413682 # DEPENDENCYPART_GRANDPAR
(10,8),(8,4),-0.298315 # DEPENDENCYPART_GRANDPAR
(10,8),(8,5),-0.229697 # DEPENDENCYPART_GRANDPAR
(10,8),(8,6),-0.0540911 # DEPENDENCYPART_GRANDPAR
(10,8),(8,7),-0.0219077 # DEPENDENCYPART_GRANDPAR
(10,8),(8,9),-0.192944 # DEPENDENCYPART_GRANDPAR
(10,8),(8,10),-0.613329 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,8),(8,14),-0.361245 # DEPENDENCYPART_GRANDPAR
(10,8),(8,18),-0.353552 # DEPENDENCYPART_GRANDPAR
(10,9),(9,4),-0.369653 # DEPENDENCYPART_GRANDPAR
(10,9),(9,5),-0.0977404 # DEPENDENCYPART_GRANDPAR
(10,9),(9,6),-0.0604451 # DEPENDENCYPART_GRANDPAR
(10,9),(9,7),-0.100139 # DEPENDENCYPART_GRANDPAR
(10,9),(9,8),-0.297393 # DEPENDENCYPART_GRANDPAR
(10,9),(9,14),-0.298385 # DEPENDENCYPART_GRANDPAR
(10,9),(9,15),-0.374 # DEPENDENCYPART_GRANDPAR
(10,11),(11,1),-0.629621 # DEPENDENCYPART_GRANDPAR
