# _root_ Hem _ eminim ki , benim de benden daha büyük bir kardeşim olsaydı , o da _ aynılarını yapardı .
#goldHeads=20,3,13,2,19,13,6,10,10,12,12,13,19,0,19,15,18,19,20,0,
#predictedHeads=3,3,4,19,0,12,6,13,10,12,12,13,14,19,19,15,18,19,20,0,
(4,3),(3,1),0.329105 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.0660023 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-0.512686 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,9),-0.312321 # DEPENDENCYPART_GRANDPAR
(4,3),(3,12),-0.482735 # DEPENDENCYPART_GRANDPAR
(4,3),(3,13),-0.462745 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),-0.420292 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),-0.241976 # DEPENDENCYPART_GRANDPAR
(5,2),(2,6),-0.298394 # DEPENDENCYPART_GRANDPAR
(5,2),(2,8),-0.343769 # DEPENDENCYPART_GRANDPAR
(5,2),(2,12),-0.275134 # DEPENDENCYPART_GRANDPAR
(5,3),(3,1),0.0730351 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),0.157361 # DEPENDENCYPART_GRANDPAR
(5,3),(3,4),-0.0361538 # DEPENDENCYPART_GRANDPAR
(5,3),(3,9),-0.239389 # DEPENDENCYPART_GRANDPAR
(5,3),(3,12),-0.301229 # DEPENDENCYPART_GRANDPAR
(5,3),(3,13),-0.377719 # DEPENDENCYPART_GRANDPAR
(5,4),(4,1),-0.237556 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-0.263681 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),-0.207675 # DEPENDENCYPART_GRANDPAR
(5,13),(13,1),-0.261474 # DEPENDENCYPART_GRANDPAR
(5,13),(13,2),-0.314904 # DEPENDENCYPART_GRANDPAR
(5,13),(13,3),-0.249392 # DEPENDENCYPART_GRANDPAR
(5,13),(13,4),-0.138561 # DEPENDENCYPART_GRANDPAR
(5,13),(13,5),-0.314379 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,13),(13,6),-0.0495783 # DEPENDENCYPART_GRANDPAR
(5,13),(13,7),-0.256936 # DEPENDENCYPART_GRANDPAR
(5,13),(13,8),-0.0773826 # DEPENDENCYPART_GRANDPAR
(5,13),(13,9),-0.110376 # DEPENDENCYPART_GRANDPAR
(5,13),(13,10),0.0726869 # DEPENDENCYPART_GRANDPAR
(5,13),(13,11),-0.289438 # DEPENDENCYPART_GRANDPAR
(5,13),(13,12),-0.022321 # DEPENDENCYPART_GRANDPAR
(5,13),(13,14),-0.119912 # DEPENDENCYPART_GRANDPAR
(5,13),(13,15),-0.0394503 # DEPENDENCYPART_GRANDPAR
(5,13),(13,16),-0.332466 # DEPENDENCYPART_GRANDPAR
(5,13),(13,18),-0.0299343 # DEPENDENCYPART_GRANDPAR
(5,13),(13,19),-0.098321 # DEPENDENCYPART_GRANDPAR
(5,13),(13,20),-0.280809 # DEPENDENCYPART_GRANDPAR
(5,19),(19,1),-0.261474 # DEPENDENCYPART_GRANDPAR
(5,19),(19,2),-0.314904 # DEPENDENCYPART_GRANDPAR
(5,19),(19,3),-0.249392 # DEPENDENCYPART_GRANDPAR
(5,19),(19,4),-0.138561 # DEPENDENCYPART_GRANDPAR
(5,19),(19,5),-0.314379 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,19),(19,6),-0.0495783 # DEPENDENCYPART_GRANDPAR
(5,19),(19,7),-0.256936 # DEPENDENCYPART_GRANDPAR
(5,19),(19,8),-0.0773826 # DEPENDENCYPART_GRANDPAR
(5,19),(19,9),-0.110376 # DEPENDENCYPART_GRANDPAR
(5,19),(19,10),0.0726869 # DEPENDENCYPART_GRANDPAR
(5,19),(19,11),-0.289438 # DEPENDENCYPART_GRANDPAR
(5,19),(19,12),-0.022321 # DEPENDENCYPART_GRANDPAR
(5,19),(19,13),-0.0820334 # DEPENDENCYPART_GRANDPAR
(5,19),(19,14),-0.243572 # DEPENDENCYPART_GRANDPAR
(5,19),(19,15),-0.101443 # DEPENDENCYPART_GRANDPAR
(5,19),(19,16),-0.328341 # DEPENDENCYPART_GRANDPAR
(5,19),(19,17),0.186501 # DEPENDENCYPART_GRANDPAR
(5,19),(19,18),-0.116795 # DEPENDENCYPART_GRANDPAR
(5,19),(19,20),-0.28518 # DEPENDENCYPART_GRANDPAR
(6,5),(5,1),-0.122849 # DEPENDENCYPART_GRANDPAR
(6,5),(5,2),-0.244932 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),-0.211088 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),-0.124702 # DEPENDENCYPART_GRANDPAR
(6,5),(5,13),-0.557151 # DEPENDENCYPART_GRANDPAR
(6,5),(5,19),-0.542826 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.627094 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),-0.28593 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-0.11549 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,3),(3,1),0.267569 # DEPENDENCYPART_GRANDPAR
(7,3),(3,2),-0.184716 # DEPENDENCYPART_GRANDPAR
(7,3),(3,4),-0.037312 # DEPENDENCYPART_GRANDPAR
(7,3),(3,9),-0.44578 # DEPENDENCYPART_GRANDPAR
(7,3),(3,12),-0.492369 # DEPENDENCYPART_GRANDPAR
(7,3),(3,13),-0.510559 # DEPENDENCYPART_GRANDPAR
(7,4),(4,1),0.119721 # DEPENDENCYPART_GRANDPAR
(7,4),(4,2),-0.321128 # DEPENDENCYPART_GRANDPAR
(7,4),(4,3),-0.311266 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),0.152966 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-0.649554 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,5),(5,1),-0.0603835 # DEPENDENCYPART_GRANDPAR
(8,5),(5,2),-0.2079 # DEPENDENCYPART_GRANDPAR
(8,5),(5,3),-0.169347 # DEPENDENCYPART_GRANDPAR
(8,5),(5,4),-0.0205437 # DEPENDENCYPART_GRANDPAR
(8,5),(5,13),-0.546876 # DEPENDENCYPART_GRANDPAR
(8,5),(5,19),-0.690974 # DEPENDENCYPART_GRANDPAR
(8,6),(6,5),0.0132062 # DEPENDENCYPART_GRANDPAR
(8,6),(6,7),0.386944 # DEPENDENCYPART_GRANDPAR
(8,7),(7,3),-0.347904 # DEPENDENCYPART_GRANDPAR
(8,7),(7,4),-0.043429 # DEPENDENCYPART_GRANDPAR
(8,7),(7,6),0.0289272 # DEPENDENCYPART_GRANDPAR
(8,9),(9,3),-0.577847 # DEPENDENCYPART_GRANDPAR
(8,9),(9,5),-0.216704 # DEPENDENCYPART_GRANDPAR
(8,9),(9,6),-0.155865 # DEPENDENCYPART_GRANDPAR
(8,9),(9,7),0.157224 # DEPENDENCYPART_GRANDPAR
(8,9),(9,8),-0.520052 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,9),(9,15),-0.386258 # DEPENDENCYPART_GRANDPAR
(9,3),(3,1),-0.401187 # DEPENDENCYPART_GRANDPAR
(9,3),(3,2),-0.598802 # DEPENDENCYPART_GRANDPAR
(9,3),(3,4),-0.340749 # DEPENDENCYPART_GRANDPAR
(9,3),(3,9),-0.493761 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,3),(3,12),-0.350136 # DEPENDENCYPART_GRANDPAR
(9,3),(3,13),-0.384514 # DEPENDENCYPART_GRANDPAR
(9,5),(5,1),-0.478931 # DEPENDENCYPART_GRANDPAR
(9,5),(5,2),-0.786375 # DEPENDENCYPART_GRANDPAR
(9,5),(5,3),-0.486544 # DEPENDENCYPART_GRANDPAR
(9,5),(5,4),-0.409083 # DEPENDENCYPART_GRANDPAR
(9,5),(5,13),-0.371139 # DEPENDENCYPART_GRANDPAR
(9,5),(5,19),-0.438713 # DEPENDENCYPART_GRANDPAR
(9,6),(6,5),-0.417293 # DEPENDENCYPART_GRANDPAR
(9,6),(6,7),-0.290605 # DEPENDENCYPART_GRANDPAR
(9,7),(7,3),-0.56802 # DEPENDENCYPART_GRANDPAR
(9,7),(7,4),-0.36487 # DEPENDENCYPART_GRANDPAR
(9,7),(7,6),-0.230468 # DEPENDENCYPART_GRANDPAR
(9,8),(8,5),-0.436253 # DEPENDENCYPART_GRANDPAR
(9,8),(8,6),-0.22669 # DEPENDENCYPART_GRANDPAR
(9,8),(8,7),-0.284589 # DEPENDENCYPART_GRANDPAR
(9,8),(8,9),-0.515176 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,15),(15,12),-0.265614 # DEPENDENCYPART_GRANDPAR
(9,15),(15,14),-0.193926 # DEPENDENCYPART_GRANDPAR
(9,15),(15,16),-0.209795 # DEPENDENCYPART_GRANDPAR
(10,3),(3,1),-0.150033 # DEPENDENCYPART_GRANDPAR
(10,3),(3,2),-0.192953 # DEPENDENCYPART_GRANDPAR
(10,3),(3,4),0.082471 # DEPENDENCYPART_GRANDPAR
(10,3),(3,9),-0.0104638 # DEPENDENCYPART_GRANDPAR
(10,3),(3,12),-0.263918 # DEPENDENCYPART_GRANDPAR
(10,3),(3,13),-0.283656 # DEPENDENCYPART_GRANDPAR
(10,5),(5,1),-0.155398 # DEPENDENCYPART_GRANDPAR
(10,5),(5,2),-0.167961 # DEPENDENCYPART_GRANDPAR
(10,5),(5,3),-0.149245 # DEPENDENCYPART_GRANDPAR
(10,5),(5,4),0.015466 # DEPENDENCYPART_GRANDPAR
(10,5),(5,13),-0.259103 # DEPENDENCYPART_GRANDPAR
(10,5),(5,19),-0.24197 # DEPENDENCYPART_GRANDPAR
(10,6),(6,5),-0.339414 # DEPENDENCYPART_GRANDPAR
(10,6),(6,7),0.0176357 # DEPENDENCYPART_GRANDPAR
(10,7),(7,3),-0.259 # DEPENDENCYPART_GRANDPAR
(10,7),(7,4),0.0300105 # DEPENDENCYPART_GRANDPAR
(10,7),(7,6),-0.14507 # DEPENDENCYPART_GRANDPAR
(10,8),(8,5),-0.3768 # DEPENDENCYPART_GRANDPAR
(10,8),(8,6),-0.10725 # DEPENDENCYPART_GRANDPAR
(10,8),(8,7),0.0314055 # DEPENDENCYPART_GRANDPAR
(10,8),(8,9),-0.0162794 # DEPENDENCYPART_GRANDPAR
(10,9),(9,3),-0.342051 # DEPENDENCYPART_GRANDPAR
(10,9),(9,5),-0.423604 # DEPENDENCYPART_GRANDPAR
(10,9),(9,6),-0.149118 # DEPENDENCYPART_GRANDPAR
(10,9),(9,7),-0.0328426 # DEPENDENCYPART_GRANDPAR
(10,9),(9,8),-0.0595461 # DEPENDENCYPART_GRANDPAR
(10,9),(9,15),-0.110111 # DEPENDENCYPART_GRANDPAR
(10,12),(12,1),-0.321214 # DEPENDENCYPART_GRANDPAR
(10,12),(12,2),-0.412298 # DEPENDENCYPART_GRANDPAR
(10,12),(12,4),-0.0772812 # DEPENDENCYPART_GRANDPAR
(10,12),(12,5),-0.558753 # DEPENDENCYPART_GRANDPAR
(10,12),(12,6),-0.304117 # DEPENDENCYPART_GRANDPAR
(10,12),(12,7),-0.159223 # DEPENDENCYPART_GRANDPAR
(10,12),(12,8),-0.227396 # DEPENDENCYPART_GRANDPAR
(10,12),(12,9),-0.105827 # DEPENDENCYPART_GRANDPAR
(10,12),(12,10),-0.304495 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,12),(12,11),-0.215738 # DEPENDENCYPART_GRANDPAR
(10,12),(12,13),-0.0526248 # DEPENDENCYPART_GRANDPAR
(10,12),(12,14),0.0454618 # DEPENDENCYPART_GRANDPAR
(10,12),(12,15),0.0705252 # DEPENDENCYPART_GRANDPAR
(10,12),(12,16),0.0125548 # DEPENDENCYPART_GRANDPAR
(10,12),(12,18),-0.0209762 # DEPENDENCYPART_GRANDPAR
(10,12),(12,19),-0.035491 # DEPENDENCYPART_GRANDPAR
(10,15),(15,12),-0.171299 # DEPENDENCYPART_GRANDPAR
(10,15),(15,14),-0.115311 # DEPENDENCYPART_GRANDPAR
(10,15),(15,16),0.150394 # DEPENDENCYPART_GRANDPAR
(11,10),(10,3),-0.273241 # DEPENDENCYPART_GRANDPAR
(11,10),(10,5),-0.218767 # DEPENDENCYPART_GRANDPAR
(11,10),(10,6),-0.0151735 # DEPENDENCYPART_GRANDPAR
(11,10),(10,7),-0.102424 # DEPENDENCYPART_GRANDPAR
(11,10),(10,8),0.0416238 # DEPENDENCYPART_GRANDPAR
(11,10),(10,9),0.205593 # DEPENDENCYPART_GRANDPAR
(11,10),(10,12),-0.278695 # DEPENDENCYPART_GRANDPAR
(11,10),(10,15),-0.238748 # DEPENDENCYPART_GRANDPAR
(12,2),(2,1),-0.0833874 # DEPENDENCYPART_GRANDPAR
(12,2),(2,4),-0.00450773 # DEPENDENCYPART_GRANDPAR
(12,2),(2,6),-0.319373 # DEPENDENCYPART_GRANDPAR
(12,2),(2,8),-0.25987 # DEPENDENCYPART_GRANDPAR
(12,2),(2,12),-1.02898 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,4),(4,1),-0.142062 # DEPENDENCYPART_GRANDPAR
(12,4),(4,2),-0.302745 # DEPENDENCYPART_GRANDPAR
(12,4),(4,3),-0.156342 # DEPENDENCYPART_GRANDPAR
(12,5),(5,1),-0.144215 # DEPENDENCYPART_GRANDPAR
(12,5),(5,2),-0.460243 # DEPENDENCYPART_GRANDPAR
(12,5),(5,3),0.0189303 # DEPENDENCYPART_GRANDPAR
(12,5),(5,4),0.0286476 # DEPENDENCYPART_GRANDPAR
(12,5),(5,13),-0.109377 # DEPENDENCYPART_GRANDPAR
(12,5),(5,19),-0.453919 # DEPENDENCYPART_GRANDPAR
(12,6),(6,5),-0.138992 # DEPENDENCYPART_GRANDPAR
(12,6),(6,7),0.123791 # DEPENDENCYPART_GRANDPAR
(12,7),(7,3),-0.161453 # DEPENDENCYPART_GRANDPAR
(12,7),(7,4),0.00611638 # DEPENDENCYPART_GRANDPAR
(12,7),(7,6),-0.183009 # DEPENDENCYPART_GRANDPAR
(12,8),(8,5),-0.17618 # DEPENDENCYPART_GRANDPAR
(12,8),(8,6),-0.176214 # DEPENDENCYPART_GRANDPAR
(12,8),(8,7),0.021583 # DEPENDENCYPART_GRANDPAR
(12,8),(8,9),0.024308 # DEPENDENCYPART_GRANDPAR
(12,9),(9,3),-0.24344 # DEPENDENCYPART_GRANDPAR
(12,9),(9,5),-0.170304 # DEPENDENCYPART_GRANDPAR
(12,9),(9,6),-0.173485 # DEPENDENCYPART_GRANDPAR
(12,9),(9,7),0.0243115 # DEPENDENCYPART_GRANDPAR
(12,9),(9,8),-0.120521 # DEPENDENCYPART_GRANDPAR
(12,9),(9,15),-0.386208 # DEPENDENCYPART_GRANDPAR
(12,10),(10,3),-0.201069 # DEPENDENCYPART_GRANDPAR
(12,10),(10,5),-0.119392 # DEPENDENCYPART_GRANDPAR
(12,10),(10,6),-0.169696 # DEPENDENCYPART_GRANDPAR
(12,10),(10,7),-0.00595993 # DEPENDENCYPART_GRANDPAR
(12,10),(10,8),-0.112305 # DEPENDENCYPART_GRANDPAR
(12,10),(10,9),0.284524 # DEPENDENCYPART_GRANDPAR
(12,10),(10,12),-1.15238 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,10),(10,15),-0.369466 # DEPENDENCYPART_GRANDPAR
(12,11),(11,10),0.0658904 # DEPENDENCYPART_GRANDPAR
(12,13),(13,1),-0.30361 # DEPENDENCYPART_GRANDPAR
(12,13),(13,2),-0.575468 # DEPENDENCYPART_GRANDPAR
(12,13),(13,3),-0.421424 # DEPENDENCYPART_GRANDPAR
(12,13),(13,4),-0.0769532 # DEPENDENCYPART_GRANDPAR
(12,13),(13,5),-0.251508 # DEPENDENCYPART_GRANDPAR
(12,13),(13,6),-0.341525 # DEPENDENCYPART_GRANDPAR
(12,13),(13,7),0.0106111 # DEPENDENCYPART_GRANDPAR
(12,13),(13,8),-0.297371 # DEPENDENCYPART_GRANDPAR
(12,13),(13,9),-0.0039015 # DEPENDENCYPART_GRANDPAR
(12,13),(13,10),-0.101031 # DEPENDENCYPART_GRANDPAR
(12,13),(13,11),-0.0820674 # DEPENDENCYPART_GRANDPAR
(12,13),(13,12),-0.998103 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,13),(13,14),-0.00142995 # DEPENDENCYPART_GRANDPAR
(12,13),(13,15),-0.14228 # DEPENDENCYPART_GRANDPAR
(12,13),(13,16),-0.250862 # DEPENDENCYPART_GRANDPAR
(12,13),(13,18),-0.0109461 # DEPENDENCYPART_GRANDPAR
(12,13),(13,19),-0.195566 # DEPENDENCYPART_GRANDPAR
(12,13),(13,20),-0.211006 # DEPENDENCYPART_GRANDPAR
(12,14),(14,1),-0.36796 # DEPENDENCYPART_GRANDPAR
(12,14),(14,2),-0.621065 # DEPENDENCYPART_GRANDPAR
(12,14),(14,3),-0.463347 # DEPENDENCYPART_GRANDPAR
(12,14),(14,4),-0.142289 # DEPENDENCYPART_GRANDPAR
(12,14),(14,5),-0.345205 # DEPENDENCYPART_GRANDPAR
(12,14),(14,6),-0.388415 # DEPENDENCYPART_GRANDPAR
(12,14),(14,7),-0.111728 # DEPENDENCYPART_GRANDPAR
(12,14),(14,8),-0.335314 # DEPENDENCYPART_GRANDPAR
(12,14),(14,9),-0.0982301 # DEPENDENCYPART_GRANDPAR
(12,14),(14,10),-0.148629 # DEPENDENCYPART_GRANDPAR
(12,14),(14,11),-0.133898 # DEPENDENCYPART_GRANDPAR
(12,14),(14,12),-1.07404 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,14),(14,13),-0.0904618 # DEPENDENCYPART_GRANDPAR
(12,14),(14,18),0.361834 # DEPENDENCYPART_GRANDPAR
(12,14),(14,19),0.0301282 # DEPENDENCYPART_GRANDPAR
(12,14),(14,20),-0.117921 # DEPENDENCYPART_GRANDPAR
(12,15),(15,12),-1.04225 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,15),(15,14),-0.152307 # DEPENDENCYPART_GRANDPAR
(12,15),(15,16),-0.250451 # DEPENDENCYPART_GRANDPAR
(12,16),(16,9),-0.0559249 # DEPENDENCYPART_GRANDPAR
(12,16),(16,13),0.0285989 # DEPENDENCYPART_GRANDPAR
(12,16),(16,15),-0.319036 # DEPENDENCYPART_GRANDPAR
(12,18),(18,3),-0.376822 # DEPENDENCYPART_GRANDPAR
(12,18),(18,4),-0.0747176 # DEPENDENCYPART_GRANDPAR
(12,18),(18,5),-0.229257 # DEPENDENCYPART_GRANDPAR
(12,18),(18,6),-0.342515 # DEPENDENCYPART_GRANDPAR
(12,18),(18,7),-0.0706195 # DEPENDENCYPART_GRANDPAR
(12,18),(18,8),-0.29222 # DEPENDENCYPART_GRANDPAR
(12,18),(18,9),-0.0170248 # DEPENDENCYPART_GRANDPAR
(12,18),(18,11),-0.0804715 # DEPENDENCYPART_GRANDPAR
(12,18),(18,12),-0.92213 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,18),(18,13),0.0887664 # DEPENDENCYPART_GRANDPAR
(12,18),(18,14),-0.162327 # DEPENDENCYPART_GRANDPAR
(12,18),(18,15),-0.262277 # DEPENDENCYPART_GRANDPAR
(12,18),(18,16),-0.081983 # DEPENDENCYPART_GRANDPAR
(12,18),(18,17),-0.151325 # DEPENDENCYPART_GRANDPAR
(12,19),(19,1),-0.30361 # DEPENDENCYPART_GRANDPAR
(12,19),(19,2),-0.575468 # DEPENDENCYPART_GRANDPAR
(12,19),(19,3),-0.421424 # DEPENDENCYPART_GRANDPAR
(12,19),(19,4),-0.0769532 # DEPENDENCYPART_GRANDPAR
(12,19),(19,5),-0.251508 # DEPENDENCYPART_GRANDPAR
(12,19),(19,6),-0.341525 # DEPENDENCYPART_GRANDPAR
(12,19),(19,7),0.0106111 # DEPENDENCYPART_GRANDPAR
(12,19),(19,8),-0.297371 # DEPENDENCYPART_GRANDPAR
(12,19),(19,9),-0.0039015 # DEPENDENCYPART_GRANDPAR
(12,19),(19,10),-0.101031 # DEPENDENCYPART_GRANDPAR
(12,19),(19,11),-0.0820674 # DEPENDENCYPART_GRANDPAR
(12,19),(19,12),-0.998103 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,19),(19,13),0.0751657 # DEPENDENCYPART_GRANDPAR
(12,19),(19,14),-0.126656 # DEPENDENCYPART_GRANDPAR
(12,19),(19,15),-0.27049 # DEPENDENCYPART_GRANDPAR
(12,19),(19,16),-0.128656 # DEPENDENCYPART_GRANDPAR
(12,19),(19,17),-0.193697 # DEPENDENCYPART_GRANDPAR
(12,19),(19,18),-0.196509 # DEPENDENCYPART_GRANDPAR
(12,19),(19,20),-0.211006 # DEPENDENCYPART_GRANDPAR
(13,2),(2,1),-0.211409 # DEPENDENCYPART_GRANDPAR
(13,2),(2,4),0.333341 # DEPENDENCYPART_GRANDPAR
(13,2),(2,6),0.225082 # DEPENDENCYPART_GRANDPAR
(13,2),(2,8),-0.0203984 # DEPENDENCYPART_GRANDPAR
(13,2),(2,12),-0.152321 # DEPENDENCYPART_GRANDPAR
(13,3),(3,1),-0.30181 # DEPENDENCYPART_GRANDPAR
(13,3),(3,2),-0.268651 # DEPENDENCYPART_GRANDPAR
(13,3),(3,4),0.477191 # DEPENDENCYPART_GRANDPAR
(13,3),(3,9),-0.0410898 # DEPENDENCYPART_GRANDPAR
(13,3),(3,12),0.0516795 # DEPENDENCYPART_GRANDPAR
(13,3),(3,13),-1.3133 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,4),(4,1),-0.277317 # DEPENDENCYPART_GRANDPAR
(13,4),(4,2),-0.394448 # DEPENDENCYPART_GRANDPAR
(13,4),(4,3),0.0788428 # DEPENDENCYPART_GRANDPAR
(13,5),(5,1),-0.270371 # DEPENDENCYPART_GRANDPAR
(13,5),(5,2),-0.649472 # DEPENDENCYPART_GRANDPAR
(13,5),(5,3),0.460427 # DEPENDENCYPART_GRANDPAR
(13,5),(5,4),0.121089 # DEPENDENCYPART_GRANDPAR
(13,5),(5,13),-1.21757 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,5),(5,19),-0.893332 # DEPENDENCYPART_GRANDPAR
(13,6),(6,5),0.0197612 # DEPENDENCYPART_GRANDPAR
(13,6),(6,7),0.23172 # DEPENDENCYPART_GRANDPAR
(13,7),(7,3),0.203768 # DEPENDENCYPART_GRANDPAR
(13,7),(7,4),0.228195 # DEPENDENCYPART_GRANDPAR
(13,7),(7,6),0.427738 # DEPENDENCYPART_GRANDPAR
(13,8),(8,5),0.00392744 # DEPENDENCYPART_GRANDPAR
(13,8),(8,6),0.432555 # DEPENDENCYPART_GRANDPAR
(13,8),(8,7),0.0599294 # DEPENDENCYPART_GRANDPAR
(13,8),(8,9),-0.0930574 # DEPENDENCYPART_GRANDPAR
(13,9),(9,3),0.0479231 # DEPENDENCYPART_GRANDPAR
(13,9),(9,5),-0.00387732 # DEPENDENCYPART_GRANDPAR
(13,9),(9,6),0.420054 # DEPENDENCYPART_GRANDPAR
(13,9),(9,7),0.034883 # DEPENDENCYPART_GRANDPAR
(13,9),(9,8),0.172699 # DEPENDENCYPART_GRANDPAR
(13,9),(9,15),-0.682 # DEPENDENCYPART_GRANDPAR
(13,10),(10,3),-0.076102 # DEPENDENCYPART_GRANDPAR
(13,10),(10,5),-0.0213844 # DEPENDENCYPART_GRANDPAR
(13,10),(10,6),0.410145 # DEPENDENCYPART_GRANDPAR
(13,10),(10,7),-0.0405222 # DEPENDENCYPART_GRANDPAR
(13,10),(10,8),0.146435 # DEPENDENCYPART_GRANDPAR
(13,10),(10,9),0.136032 # DEPENDENCYPART_GRANDPAR
(13,10),(10,12),0.0441182 # DEPENDENCYPART_GRANDPAR
(13,10),(10,15),-0.64707 # DEPENDENCYPART_GRANDPAR
(13,11),(11,10),0.0913377 # DEPENDENCYPART_GRANDPAR
(13,12),(12,1),-0.329002 # DEPENDENCYPART_GRANDPAR
(13,12),(12,2),-0.329487 # DEPENDENCYPART_GRANDPAR
(13,12),(12,4),0.107112 # DEPENDENCYPART_GRANDPAR
(13,12),(12,5),0.0709665 # DEPENDENCYPART_GRANDPAR
(13,12),(12,6),0.380287 # DEPENDENCYPART_GRANDPAR
(13,12),(12,7),-0.107118 # DEPENDENCYPART_GRANDPAR
(13,12),(12,8),0.100464 # DEPENDENCYPART_GRANDPAR
(13,12),(12,9),0.00816112 # DEPENDENCYPART_GRANDPAR
(13,12),(12,10),0.230026 # DEPENDENCYPART_GRANDPAR
(13,12),(12,11),0.218483 # DEPENDENCYPART_GRANDPAR
(13,12),(12,13),-1.24603 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,12),(12,14),-0.173963 # DEPENDENCYPART_GRANDPAR
(13,12),(12,15),-0.689711 # DEPENDENCYPART_GRANDPAR
(13,12),(12,16),-0.294243 # DEPENDENCYPART_GRANDPAR
(13,12),(12,18),-0.383181 # DEPENDENCYPART_GRANDPAR
(13,12),(12,19),-0.921788 # DEPENDENCYPART_GRANDPAR
(13,14),(14,1),-0.390873 # DEPENDENCYPART_GRANDPAR
(13,14),(14,2),-0.595593 # DEPENDENCYPART_GRANDPAR
(13,14),(14,3),-0.211904 # DEPENDENCYPART_GRANDPAR
(13,14),(14,4),0.151927 # DEPENDENCYPART_GRANDPAR
(13,14),(14,5),-0.164968 # DEPENDENCYPART_GRANDPAR
(13,14),(14,6),0.214558 # DEPENDENCYPART_GRANDPAR
(13,14),(14,7),-0.00590786 # DEPENDENCYPART_GRANDPAR
(13,14),(14,8),-0.0348764 # DEPENDENCYPART_GRANDPAR
(13,14),(14,9),-0.130968 # DEPENDENCYPART_GRANDPAR
(13,14),(14,10),0.0267356 # DEPENDENCYPART_GRANDPAR
(13,14),(14,11),-0.0448195 # DEPENDENCYPART_GRANDPAR
(13,14),(14,12),0.0695342 # DEPENDENCYPART_GRANDPAR
(13,14),(14,13),-1.4155 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,14),(14,18),-0.0704183 # DEPENDENCYPART_GRANDPAR
(13,14),(14,19),-0.224184 # DEPENDENCYPART_GRANDPAR
(13,14),(14,20),-0.323428 # DEPENDENCYPART_GRANDPAR
(13,15),(15,12),0.0317695 # DEPENDENCYPART_GRANDPAR
(13,15),(15,14),-0.224364 # DEPENDENCYPART_GRANDPAR
(13,15),(15,16),-0.188326 # DEPENDENCYPART_GRANDPAR
(13,16),(16,9),-0.159545 # DEPENDENCYPART_GRANDPAR
(13,16),(16,13),-1.20874 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,16),(16,15),-0.594489 # DEPENDENCYPART_GRANDPAR
(13,18),(18,3),-0.24036 # DEPENDENCYPART_GRANDPAR
(13,18),(18,4),0.11013 # DEPENDENCYPART_GRANDPAR
(13,18),(18,5),-0.135603 # DEPENDENCYPART_GRANDPAR
(13,18),(18,6),0.150732 # DEPENDENCYPART_GRANDPAR
(13,18),(18,7),-0.0571711 # DEPENDENCYPART_GRANDPAR
(13,18),(18,8),-0.101802 # DEPENDENCYPART_GRANDPAR
(13,18),(18,9),-0.148676 # DEPENDENCYPART_GRANDPAR
(13,18),(18,11),-0.0915119 # DEPENDENCYPART_GRANDPAR
(13,18),(18,12),-0.0812116 # DEPENDENCYPART_GRANDPAR
(13,18),(18,13),-1.15549 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,18),(18,14),-0.22905 # DEPENDENCYPART_GRANDPAR
(13,18),(18,15),-0.51583 # DEPENDENCYPART_GRANDPAR
